,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2008-12,7.336B,7.336B,6.651B,685.00M,859.00M,,56.00M,,-56.00M,,859.00M,-174.00M,,56.00M,-56.00M,-136.00M,-56.00M,-366.00M,242.00M,-608.00M,,0.00,,-608.00M,-608.00M,-120.00M,190.00M,-310.00M,,-1.068,0.00,-1.068,-1.068,,-1.068,0.00,-1.068,-1.068,,566.79M,566.79M,0.1361,,,Restated
2008-09,9.307B,9.307B,7.883B,1.424B,850.00M,-495.00M,54.00M,,-54.00M,,850.00M,574.00M,,54.00M,-54.00M,-464.00M,-54.00M,56.00M,55.00M,1.00M,,15.00M,,16.00M,337.75M,312.00M,202.00M,110.00M,,0.0314,0.00,0.5992,0.0314,,0.0314,0.00,0.5925,0.0314,,566.70M,573.48M,0.1361,,AOR,Restated
2008-06,9.865B,9.865B,8.38B,1.485B,877.00M,0.00,69.00M,,-69.00M,,877.00M,608.00M,,69.00M,-69.00M,37.00M,-69.00M,576.00M,121.00M,455.00M,,-16.00M,,439.00M,439.00M,841.00M,196.00M,645.00M,,0.7749,0.00,0.7749,0.7749,,0.7644,0.00,0.7644,0.7644,,566.22M,573.86M,0.1361,,,Restated
2008-03,9.406B,9.406B,8.096B,1.31B,888.00M,0.00,66.00M,,-66.00M,,888.00M,422.00M,,66.00M,-66.00M,31.00M,-66.00M,387.00M,81.00M,306.00M,,-17.00M,,289.00M,289.00M,647.00M,194.00M,453.00M,,0.5131,0.00,0.5131,0.5131,,0.5026,0.00,0.5026,0.5026,,566.12M,573.67M,0.1361,,,Restated
2007-12,9.484B,9.484B,8.177B,1.307B,950.00M,,,,,,950.00M,357.00M,,,,17.00M,,305.00M,64.00M,235.00M,,-6.00M,,235.00M,235.00M,548.00M,191.00M,357.00M,,0.4188,0.00,0.4188,0.4188,,0.4084,0.00,0.4084,0.4084,,561.06M,575.45M,0.1361,,,
2007-09,9.011B,9.011B,7.586B,1.425B,786.00M,,,,,,786.00M,639.00M,,,,21.00M,,592.00M,124.00M,469.00M,-3.00M,1.00M,,466.00M,469.00M,892.00M,164.00M,728.00M,,2.484,-0.0159,2.484,2.468,,2.484,-0.0159,2.484,2.468,,188.83M,188.83M,0.3456,,AOR,Restated
2007-06,8.911B,8.911B,7.527B,1.384B,831.00M,,,,,,831.00M,553.00M,,,,20.00M,,502.00M,106.00M,396.00M,,,,396.00M,396.00M,747.00M,194.00M,553.00M,,8.419,0.00,8.419,8.419,,8.293,0.00,8.293,8.293,,47.04M,47.75M,1.382,,,
2007-03,8.492B,8.492B,7.299B,1.193B,861.00M,,,,,,861.00M,332.00M,,,,19.00M,,282.00M,17.00M,262.00M,-34.00M,-3.00M,,228.00M,262.00M,520.00M,188.00M,332.00M,,5.571,-0.7120,5.571,4.859,,5.487,-0.7120,5.487,4.775,,46.93M,47.75M,1.382,,,
2006-12,8.21B,8.21B,7.136B,1.074B,803.00M,,,,,,803.00M,271.00M,,,,29.00M,,231.00M,53.00M,168.00M,-6.00M,-10.00M,,162.00M,168.00M,457.00M,186.00M,271.00M,,0.3037,-0.0105,0.3037,0.2932,,0.2932,-0.0105,0.2932,0.2827,,46.91M,46.91M,1.382,,,
2006-09,8.15B,8.15B,6.904B,1.246B,732.00M,-1.00M,,,,,732.00M,514.00M,,,,39.00M,,478.00M,100.00M,368.00M,-1.00M,-10.00M,,360.00M,368.79M,610.00M,181.00M,429.00M,,7.723,-0.0214,7.740,7.702,,7.723,-0.0214,7.740,7.702,,46.74M,46.74M,1.173,,AOR,Restated
2006-06,8.39B,8.39B,7.178B,1.212B,736.00M,-197.00M,,,,,736.00M,476.00M,,,,-169.00M,,233.00M,-111.00M,336.00M,2.00M,-8.00M,,338.00M,454.20M,654.00M,178.00M,476.00M,,7.204,0.0419,9.738,7.246,,7.120,0.0419,9.625,7.162,,46.65M,47.19M,1.173,,,
2006-03,8.167B,8.167B,7.114B,1.053B,787.00M,-8.00M,,,,,787.00M,266.00M,,,,12.00M,,209.00M,36.00M,162.00M,3.00M,-11.00M,,165.00M,168.62M,447.00M,181.00M,266.00M,,3.476,0.0838,3.619,3.560,,3.476,0.0419,3.618,3.518,,46.35M,46.90M,1.173,,,
2005-12,7.528B,7.528B,6.606B,922.00M,681.00M,,,,,,681.00M,241.00M,,,,24.00M,,218.00M,38.00M,167.00M,-2.00M,-13.00M,,165.00M,167.00M,406.00M,165.00M,241.00M,,3.644,-0.0419,3.644,3.602,,3.602,-0.0419,3.602,3.560,,45.81M,46.35M,1.173,,,
2005-09,6.90B,6.90B,5.951B,949.00M,513.00M,-3.00M,,,,,513.00M,436.00M,,,,10.00M,,415.00M,110.00M,292.00M,-9.00M,-13.00M,,283.00M,294.20M,438.00M,167.00M,271.00M,,6.366,-0.2094,6.414,6.157,,6.325,-0.2094,6.372,6.115,,46.05M,46.31M,1.047,,AOR,Restated
2005-06,7.062B,7.062B,6.162B,900.00M,532.00M,-8.00M,,,,,532.00M,368.00M,,,,11.00M,,356.00M,94.00M,255.00M,,-7.00M,,255.00M,260.89M,519.00M,151.00M,368.00M,,5.571,0.00,5.699,5.571,,5.487,0.00,5.614,5.487,,45.78M,46.47M,1.047,,,
2005-03,6.899B,6.899B,6.072B,827.00M,574.00M,-222.00M,,,,,574.00M,253.00M,,,,-203.00M,,22.00M,-38.00M,54.00M,149.00M,-6.00M,,203.00M,187.20M,416.30M,163.30M,253.00M,,1.173,3.267,4.086,4.440,,1.173,3.183,4.031,4.356,,45.72M,46.60M,1.047,,,
2004-12,6.618B,6.618B,5.812B,805.40M,586.10M,-4.20M,,,,,586.10M,219.30M,,,,17.10M,,209.90M,38.90M,156.20M,12.20M,-14.80M,,168.40M,159.62M,377.00M,157.70M,219.30M,,3.435,0.2513,3.509,3.686,,3.393,0.2513,3.467,3.644,,45.69M,46.21M,1.047,,,
2004-09,5.679B,5.679B,4.928B,750.80M,450.80M,-96.60M,,,,0.00,450.80M,300.00M,,,,-52.70M,,303.20M,50.60M,254.50M,18.50M,1.90M,,273.00M,334.98M,381.00M,117.80M,263.20M,,5.654,0.4188,7.434,6.073,,5.529,0.3770,7.257,5.906,,45.22M,46.58M,0.9424,,AOR,Restated
2004-06,6.476B,6.476B,5.602B,873.90M,530.80M,-20.70M,,,,,530.80M,343.10M,,,,-2.30M,,319.60M,91.00M,209.30M,13.00M,-19.30M,,222.30M,224.11M,503.80M,160.70M,343.10M,,4.607,0.2932,4.934,4.901,,4.524,0.2932,4.844,4.817,,45.36M,46.15M,0.9424,,,
