,NetIncome,Gain/LossonSaleBusiness,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,CashfromDiscontinuedOperationsAdjustment,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2018-06,546.00M,0.00,-25.00M,-36.00M,-61.00M,,,227.00M,227.00M,1.00M,,27.00M,-11.00M,-347.00M,-2.00M,297.00M,-71.00M,,-49.00M,-172.00M,170.00M,727.00M,,-201.00M,13.00M,13.00M,,-22.00M,0.00,,-294.00M,,-416.00M,450.00M,34.00M,-56.00M,-56.00M,-241.00M,-241.00M,3.00M,-2.00M,-274.00M,,244.00M,167.00M,-145.00M,267.00M,,,0.00,-416.00M,-56.00M,,AOR,Restated
2018-03,218.00M,0.00,-26.00M,-36.00M,-62.00M,,,212.00M,212.00M,1.00M,,23.00M,-25.00M,-97.00M,-13.00M,155.00M,-37.00M,,-102.00M,-94.00M,397.00M,670.00M,,-166.00M,5.00M,5.00M,,88.00M,4.00M,,-297.00M,,-93.00M,-395.00M,-488.00M,-49.00M,-49.00M,-241.00M,-241.00M,20.00M,-55.00M,-804.00M,,551.00M,-331.00M,44.00M,244.00M,,105.00M,1.00M,-94.00M,-49.00M,,AOR,Restated
2017-12,-47.00M,-114.00M,-33.00M,-36.00M,-183.00M,,,210.00M,210.00M,-80.00M,,27.00M,5.00M,-10.00M,-196.00M,182.00M,-137.00M,,96.00M,-65.00M,,-133.00M,,-114.00M,5.00M,5.00M,,2.011B,-22.00M,,1.88B,,-1.348B,292.00M,-1.056B,-150.00M,-150.00M,-232.00M,-232.00M,16.00M,-28.00M,-1.45B,,332.00M,202.00M,17.00M,551.00M,,-105.00M,885.00M,-2.233B,-150.00M,,AOR,Restated
2017-09,-63.00M,0.00,74.00M,-349.00M,-275.00M,,,0.00,0.00,-483.00M,,20.00M,-81.00M,94.00M,534.00M,1.709B,146.00M,,73.00M,2.556B,,1.403B,,236.00M,6.00M,6.00M,,-12.00M,-46.00M,,-415.00M,,1.00M,-744.00M,-743.00M,-225.00M,-225.00M,-233.00M,-233.00M,27.00M,-1.372B,-3.249B,,458.00M,-243.00M,42.00M,301.00M,,,304.00M,-303.00M,-225.00M,,AOR,Restated
2017-06,629.00M,,-50.00M,18.00M,-32.00M,,,281.00M,281.00M,-3.00M,,33.00M,16.00M,-298.00M,-215.00M,-62.00M,-108.00M,,-25.00M,-708.00M,,216.00M,,-362.00M,5.00M,5.00M,,0.00,-3.00M,,-360.00M,,-140.00M,832.00M,692.00M,-307.00M,-307.00M,-234.00M,-234.00M,42.00M,-40.00M,153.00M,,412.00M,9.00M,37.00M,458.00M,,,1.00M,-141.00M,-307.00M,,AOR,Restated
2017-03,-115.00M,0.00,-52.00M,-47.00M,-99.00M,,,292.00M,292.00M,479.00M,,44.00M,13.00M,-58.00M,-228.00M,74.00M,-63.00M,,27.00M,-248.00M,,366.00M,,-263.00M,16.00M,16.00M,,130.00M,-24.00M,,-141.00M,,1.477B,-1.257B,220.00M,-119.00M,-119.00M,-235.00M,-235.00M,59.00M,-145.00M,-220.00M,,377.00M,5.00M,30.00M,412.00M,,,1.545B,-68.00M,-119.00M,,AOR,Restated
2016-12,378.00M,,-64.00M,-155.00M,-219.00M,,,346.00M,346.00M,580.00M,,37.00M,-231.00M,37.00M,-142.00M,-2.604B,-87.00M,,20.00M,-2.776B,,-1.885B,,-371.00M,2.00M,2.00M,,44.00M,-6.00M,,-331.00M,,-756.00M,1.312B,556.00M,,,,,29.00M,1.379B,1.964B,,579.00M,-147.00M,-55.00M,377.00M,,,7.00M,-763.00M,,,AOR,Restated
2016-09,-1.132B,14.00M,-44.00M,507.00M,477.00M,,,273.00M,273.00M,-1.577B,,66.00M,77.00M,-231.00M,234.00M,2.757B,195.00M,,73.00M,3.028B,,1.212B,,-427.00M,4.00M,4.00M,,464.00M,-48.00M,-9.00M,-16.00M,,1.026B,-1.529B,-503.00M,-26.00M,-26.00M,-371.00M,-371.00M,36.00M,-122.00M,-986.00M,,347.00M,225.00M,7.00M,579.00M,,,1.501B,-475.00M,-26.00M,,AOR,Restated
2016-06,459.00M,-14.00M,5.00M,-13.00M,-22.00M,,,235.00M,235.00M,5.00M,,25.00M,1.00M,-188.00M,-65.00M,-195.00M,-181.00M,,1.00M,-628.00M,,75.00M,,-279.00M,14.00M,14.00M,,14.00M,0.00,-3.00M,-254.00M,,-10.00M,945.00M,935.00M,-475.00M,-475.00M,-188.00M,-188.00M,14.00M,-12.00M,274.00M,,292.00M,41.00M,14.00M,347.00M,,,0.00,-10.00M,-475.00M,,AOR,Restated
2016-03,-469.00M,,-101.00M,-17.00M,-118.00M,,,219.00M,219.00M,345.00M,,23.00M,-1.00M,-124.00M,-98.00M,474.00M,242.00M,,141.00M,635.00M,,634.00M,,-261.00M,5.00M,5.00M,,22.00M,0.00,1.00M,-233.00M,,-807.00M,619.00M,-188.00M,0.00,0.00,-188.00M,-188.00M,4.00M,-76.00M,-448.00M,,356.00M,-55.00M,-9.00M,292.00M,,,0.00,-807.00M,0.00,,AOR,Restated
2015-12,490.00M,,-110.00M,-17.00M,-127.00M,,,226.00M,226.00M,-14.00M,,28.00M,-18.00M,199.00M,-70.00M,-545.00M,-108.00M,,-74.00M,-598.00M,,-13.00M,,-282.00M,9.00M,9.00M,,-115.00M,0.00,4.00M,-384.00M,,-7.00M,521.00M,514.00M,,,-168.00M,-168.00M,16.00M,-148.00M,214.00M,,553.00M,-197.00M,0.00,356.00M,,,0.00,-7.00M,,,AOR,Restated
2015-09,369.00M,-1.14B,95.00M,412.00M,-633.00M,,,213.00M,213.00M,-321.00M,,18.00M,-150.00M,-241.00M,74.00M,1.211B,21.00M,,176.00M,1.241B,,737.00M,,-315.00M,12.00M,12.00M,,1.505B,0.00,-30.00M,1.172B,,-6.00M,-928.00M,-934.00M,-362.00M,-362.00M,-170.00M,-170.00M,44.00M,-46.00M,-1.468B,,213.00M,442.00M,-57.00M,553.00M,,,0.00,-6.00M,-362.00M,,AOR,Restated
2015-06,207.00M,0.00,-70.00M,-1.00M,-71.00M,,,218.00M,218.00M,400.00M,,26.00M,-24.00M,-167.00M,-72.00M,210.00M,-27.00M,,-37.00M,-93.00M,,663.00M,,-264.00M,8.00M,8.00M,,0.00,1.00M,7.00M,-248.00M,,254.00M,-305.00M,-51.00M,-190.00M,-190.00M,-170.00M,-170.00M,69.00M,-18.00M,-360.00M,,164.00M,55.00M,-6.00M,213.00M,,,299.00M,-45.00M,-190.00M,,AOR,Restated
2015-03,557.00M,-200.00M,-77.00M,-1.00M,-278.00M,,,205.00M,205.00M,152.00M,,25.00M,-24.00M,-299.00M,-81.00M,149.00M,22.00M,,-68.00M,-277.00M,,360.00M,,-294.00M,3.00M,3.00M,,132.00M,-47.00M,6.00M,-200.00M,,-131.00M,267.00M,136.00M,-210.00M,-210.00M,-171.00M,-171.00M,57.00M,-34.00M,-222.00M,,168.00M,-43.00M,39.00M,164.00M,,,,-131.00M,-210.00M,,AOR,Restated
2014-12,546.00M,,-92.00M,-14.00M,-106.00M,,,224.00M,224.00M,96.00M,,21.00M,-29.00M,410.00M,-20.00M,-1.096B,-129.00M,,-77.00M,-912.00M,,-160.00M,,-262.00M,14.00M,14.00M,,-13.00M,2.00M,5.00M,-254.00M,,-9.00M,898.00M,889.00M,-600.00M,-600.00M,-146.00M,-146.00M,105.00M,-19.00M,229.00M,,409.00M,-184.00M,-57.00M,168.00M,,,,-9.00M,-600.00M,,AOR,Restated
2014-09,346.00M,0.00,-76.00M,296.00M,220.00M,,,224.00M,224.00M,-269.00M,,21.00M,-7.00M,-221.00M,2.00M,938.00M,-39.00M,,17.00M,697.00M,,1.232B,,-323.00M,18.00M,18.00M,,250.00M,16.00M,3.00M,-36.00M,,-4.00M,-740.00M,-744.00M,-50.00M,-50.00M,-146.00M,-146.00M,13.00M,-25.00M,-952.00M,,160.00M,254.00M,-5.00M,409.00M,,,3.00M,-7.00M,-50.00M,,AOR,Restated
2014-06,199.00M,120.00M,49.00M,9.00M,178.00M,,,240.00M,240.00M,-7.00M,,20.00M,79.00M,10.00M,-152.00M,116.00M,-45.00M,,76.00M,5.00M,,714.00M,,-274.00M,12.00M,12.00M,,-1.643B,-3.00M,4.00M,-1.904B,,1.686B,-446.00M,1.24B,0.00,0.00,-146.00M,-146.00M,56.00M,-6.00M,1.144B,,209.00M,-73.00M,24.00M,160.00M,,,1.696B,-10.00M,0.00,,AOR,Restated
2014-03,296.00M,-9.00M,-71.00M,7.00M,-73.00M,,,247.00M,247.00M,-67.00M,,23.00M,-21.00M,-338.00M,-66.00M,858.00M,-67.00M,,-62.00M,325.00M,,730.00M,,-257.00M,28.00M,28.00M,,0.00,3.00M,4.00M,-222.00M,,-810.00M,392.00M,-418.00M,0.00,0.00,-146.00M,-146.00M,33.00M,5.00M,-526.00M,,245.00M,-16.00M,-20.00M,209.00M,,,0.00,-810.00M,0.00,,AOR,Restated
2013-12,502.00M,,-93.00M,9.00M,-84.00M,,,244.00M,244.00M,14.00M,,18.00M,-33.00M,531.00M,-95.00M,-1.275B,-41.00M,,-62.00M,-942.00M,,-281.00M,,-345.00M,21.00M,21.00M,,-115.00M,3.00M,5.00M,-431.00M,,296.00M,867.00M,1.163B,-1.199B,-1.199B,-130.00M,-130.00M,84.00M,4.00M,-78.00M,,1.055B,-791.00M,-19.00M,245.00M,,,302.00M,-6.00M,-1.199B,,AOR,Restated
2013-09,144.00M,-454.00M,-61.00M,-470.00M,-985.00M,,,256.00M,256.00M,282.00M,,18.00M,489.00M,-188.00M,54.00M,796.00M,104.00M,,167.00M,933.00M,,1.137B,,-448.00M,63.00M,63.00M,,751.00M,17.00M,0.00,383.00M,,-349.00M,-192.00M,-541.00M,-125.00M,-125.00M,-130.00M,-130.00M,81.00M,-67.00M,-782.00M,,391.00M,734.00M,-70.00M,1.055B,,,23.00M,-372.00M,-125.00M,,AOR,Restated
2013-06,572.00M,-29.00M,50.00M,8.00M,29.00M,,,239.00M,239.00M,-144.00M,,15.00M,15.00M,60.00M,-32.00M,207.00M,7.00M,,66.00M,308.00M,,1.034B,,-265.00M,7.00M,7.00M,,0.00,-10.00M,0.00,-268.00M,,-4.00M,-642.00M,-646.00M,-175.00M,-175.00M,-130.00M,-130.00M,88.00M,7.00M,-856.00M,,481.00M,-90.00M,0.00,391.00M,,,0.00,-4.00M,-175.00M,,AOR,Restated
2013-03,192.00M,,-133.00M,3.00M,-130.00M,,,234.00M,234.00M,140.00M,,15.00M,-17.00M,-295.00M,-91.00M,204.00M,-70.00M,,35.00M,-217.00M,,217.00M,,-293.00M,29.00M,29.00M,,-113.00M,0.00,47.00M,-330.00M,,-4.00M,245.00M,241.00M,-50.00M,-50.00M,0.00,0.00,51.00M,27.00M,269.00M,,314.00M,156.00M,11.00M,481.00M,,,1.00M,-5.00M,-50.00M,,AOR,Restated
2012-12,389.00M,,-48.00M,-16.00M,-64.00M,,,223.00M,223.00M,-5.00M,,16.00M,-19.00M,241.00M,-28.00M,-199.00M,-222.00M,,-34.00M,-242.00M,,298.00M,,-371.00M,17.00M,17.00M,,0.00,-17.00M,6.00M,-365.00M,,-19.00M,392.00M,373.00M,0.00,0.00,-253.00M,-253.00M,34.00M,1.00M,155.00M,,265.00M,88.00M,-39.00M,314.00M,,,90.00M,-109.00M,0.00,,AOR,Restated
2012-09,-22.00M,-5.00M,68.00M,460.00M,523.00M,,,221.00M,221.00M,-319.00M,,56.00M,-41.00M,-59.00M,239.00M,148.00M,-124.00M,,172.00M,376.00M,,794.00M,,-398.00M,46.00M,46.00M,,14.00M,4.00M,0.00,-334.00M,,1.00M,-607.00M,-606.00M,-60.00M,-60.00M,-123.00M,-123.00M,12.00M,-11.00M,-788.00M,,602.00M,-328.00M,-9.00M,265.00M,,,7.00M,-6.00M,-60.00M,,AOR,Restated
2012-06,456.00M,0.00,-45.00M,6.00M,-39.00M,,,207.00M,207.00M,42.00M,,,-17.00M,16.00M,-61.00M,39.00M,-48.00M,,24.00M,-30.00M,,619.00M,,-447.00M,6.00M,6.00M,,0.00,-31.00M,25.00M,-447.00M,,4.00M,403.00M,407.00M,-9.00M,-9.00M,-122.00M,-122.00M,7.00M,-125.00M,158.00M,,240.00M,330.00M,32.00M,602.00M,,,18.00M,-14.00M,-9.00M,,AOR,Restated
2012-03,417.00M,-35.00M,-71.00M,6.00M,-100.00M,-182.00M,-14.00M,200.00M,200.00M,-26.00M,,-19.00M,29.00M,-277.00M,-74.00M,92.00M,-9.00M,,10.00M,-258.00M,,243.00M,,-448.00M,3.00M,3.00M,,72.00M,2.00M,-9.00M,-380.00M,,127.00M,186.00M,313.00M,-33.00M,-33.00M,-123.00M,-123.00M,16.00M,-17.00M,156.00M,,241.00M,19.00M,-20.00M,240.00M,,,136.00M,-9.00M,-33.00M,,AOR,Restated
2011-12,459.00M,,-102.00M,7.00M,-95.00M,182.00M,14.00M,196.00M,196.00M,69.00M,,19.00M,-343.00M,206.00M,5.00M,-417.00M,-186.00M,,-10.00M,-402.00M,,-97.00M,,-538.00M,3.00M,3.00M,,-11.00M,-75.00M,-10.00M,-631.00M,,1.092B,-284.00M,808.00M,,,-109.00M,-109.00M,5.00M,-23.00M,681.00M,,257.00M,-47.00M,31.00M,241.00M,,,1.099B,-7.00M,,,AOR,Restated
2011-09,364.00M,,-24.00M,,386.00M,-511.00M,-36.00M,184.00M,184.00M,-161.00M,,10.00M,-463.00M,-305.00M,44.00M,461.00M,,,185.00M,267.00M,,587.00M,,-425.00M,18.00M,18.00M,,-139.00M,-12.00M,,-558.00M,,0.00,11.00M,11.00M,0.00,0.00,,-109.00M,10.00M,-30.00M,-118.00M,,335.00M,-89.00M,11.00M,257.00M,,,23.00M,-23.00M,0.00,,AOR,Restated
2011-06,380.00M,,-7.00M,,-7.00M,180.00M,13.00M,193.00M,193.00M,-95.00M,0.00,13.00M,-22.00M,99.00M,-133.00M,38.00M,,,-142.00M,-138.00M,,360.00M,,-365.00M,18.00M,18.00M,,-458.00M,-78.00M,,-883.00M,,89.00M,486.00M,575.00M,0.00,0.00,,-108.00M,10.00M,-14.00M,463.00M,,401.00M,-60.00M,-6.00M,335.00M,,,94.00M,-5.00M,0.00,,AOR,Restated
2011-03,385.00M,,-51.00M,,-51.00M,173.00M,12.00M,185.00M,185.00M,0.00,0.00,14.00M,40.00M,-562.00M,-200.00M,348.00M,,,-87.00M,-501.00M,,36.00M,,-275.00M,7.00M,7.00M,,-534.00M,-38.00M,,-840.00M,,1.065B,-89.00M,976.00M,0.00,0.00,,-109.00M,24.00M,-3.00M,888.00M,,321.00M,84.00M,-4.00M,401.00M,,,1.732B,-667.00M,0.00,,AOR,Restated
2010-12,403.00M,,-22.00M,,-22.00M,158.00M,11.00M,169.00M,169.00M,0.00,,22.00M,-4.00M,47.00M,-99.00M,-373.00M,,,-50.00M,-475.00M,,93.00M,,-260.00M,11.00M,11.00M,,-95.00M,-12.00M,,-356.00M,,-89.00M,102.00M,13.00M,,,,-87.00M,61.00M,19.00M,6.00M,,560.00M,-257.00M,18.00M,321.00M,,,3.00M,-92.00M,,,AOR,Restated
2010-09,293.00M,,-4.00M,,374.00M,156.00M,11.00M,167.00M,167.00M,-60.00M,-30.00M,12.00M,-683.00M,-390.00M,-52.00M,-45.00M,443.00M,,-39.00M,-83.00M,,-10.00M,,-195.00M,13.00M,13.00M,56.00M,-29.00M,-26.00M,,-237.00M,,-6.00M,-6.00M,-12.00M,,,,-88.00M,8.00M,-2.00M,-94.00M,,908.00M,-341.00M,-7.00M,560.00M,,,-4.00M,-2.00M,,,AOR,Restated
2010-06,426.00M,,6.00M,,6.00M,158.00M,10.00M,168.00M,168.00M,-51.00M,11.00M,8.00M,9.00M,-182.00M,-111.00M,233.00M,-58.00M,,-32.00M,-150.00M,,427.00M,,-271.00M,10.00M,10.00M,-56.00M,-17.00M,-45.00M,38.00M,-285.00M,,-15.00M,10.00M,-5.00M,,,,-87.00M,12.00M,-3.00M,-83.00M,,770.00M,59.00M,79.00M,908.00M,,,6.00M,-21.00M,,,AOR,
2010-03,297.00M,,-32.00M,,-32.00M,165.00M,11.00M,176.00M,176.00M,18.00M,19.00M,9.00M,24.00M,-388.00M,-41.00M,221.00M,-24.00M,,-66.00M,-298.00M,,213.00M,,-112.00M,5.00M,5.00M,22.00M,-15.00M,-25.00M,-38.00M,-185.00M,,250.00M,-295.00M,-45.00M,,,,-87.00M,19.00M,-4.00M,-117.00M,,791.00M,-89.00M,68.00M,770.00M,,,513.00M,-263.00M,,,AOR,Restated
2009-12,366.00M,,-12.00M,,-12.00M,169.00M,11.00M,180.00M,180.00M,-62.00M,,20.00M,9.00M,352.00M,-56.00M,156.00M,-87.00M,,-58.00M,307.00M,,808.00M,,-199.00M,19.00M,19.00M,-22.00M,0.00,-5.00M,,-185.00M,,-240.00M,-284.00M,-524.00M,,,,-77.00M,13.00M,-13.00M,-601.00M,,761.00M,22.00M,8.00M,791.00M,,,0.00,-240.00M,,,AOR,Restated
2009-09,303.00M,,30.00M,,30.00M,172.00M,12.00M,184.00M,184.00M,-196.00M,0.00,13.00M,99.00M,-501.00M,81.00M,1.006B,-400.00M,,-61.00M,125.00M,,558.00M,,-50.00M,20.00M,20.00M,68.00M,-6.00M,-26.00M,-92.00M,-154.00M,,-48.00M,49.00M,1.00M,,,,-78.00M,5.00M,-124.00M,-196.00M,,543.00M,208.00M,,761.00M,,,3.00M,-51.00M,,,AOR,Restated
2009-06,167.00M,,-4.00M,,-4.00M,172.00M,8.00M,180.00M,180.00M,-20.00M,0.00,19.00M,28.00M,-27.00M,135.00M,75.00M,-6.00M,,-53.00M,124.00M,,494.00M,,-171.00M,5.00M,5.00M,-68.00M,0.00,-21.00M,48.00M,-139.00M,,-7.00M,-23.00M,-30.00M,,,,-77.00M,2.00M,-18.00M,-123.00M,,311.00M,232.00M,,543.00M,,,2.00M,-9.00M,,,AOR,Restated
2009-03,-212.00M,,27.00M,,27.00M,182.00M,9.00M,191.00M,191.00M,-78.00M,46.00M,8.00M,-1.00M,196.00M,263.00M,-249.00M,-92.00M,,83.00M,201.00M,,182.00M,,-158.00M,0.00,0.00,,-10.00M,-15.00M,5.00M,-178.00M,,556.00M,-362.00M,194.00M,,,,-77.00M,1.00M,-13.00M,105.00M,,202.00M,109.00M,,311.00M,,,878.00M,-322.00M,,,AOR,Restated
2008-12,-608.00M,,184.00M,,184.00M,181.00M,9.00M,190.00M,190.00M,300.00M,110.00M,20.00M,15.00M,1.128B,78.00M,-1.767B,85.00M,,-52.00M,-528.00M,,-317.00M,,-268.00M,3.00M,3.00M,,-22.00M,-48.00M,-22.00M,-357.00M,,-9.00M,549.00M,540.00M,,,,-77.00M,,29.00M,492.00M,,384.00M,-182.00M,,202.00M,,,,-9.00M,,,,Restated
2008-09,,,-25.00M,,-25.00M,192.00M,10.00M,202.00M,202.00M,33.00M,43.00M,5.00M,12.00M,21.00M,158.00M,-184.00M,205.00M,,430.00M,630.00M,,900.00M,,-239.00M,10.00M,10.00M,17.00M,-204.00M,-32.00M,-29.00M,-494.00M,,-8.00M,-176.00M,-184.00M,4.00M,4.00M,,-77.00M,,-2.00M,-225.00M,,256.00M,181.00M,,384.00M,,,-176.00M,-8.00M,4.00M,,AOR,Restated
2008-06,,,10.00M,,10.00M,187.00M,9.00M,196.00M,196.00M,-53.00M,0.00,10.00M,473.00M,-169.00M,-57.00M,308.00M,-156.00M,,-10.00M,-84.00M,,552.00M,,-207.00M,10.00M,10.00M,-17.00M,-4.00M,12.00M,-99.00M,-288.00M,,-208.00M,66.00M,-142.00M,0.00,0.00,,-77.00M,,-22.00M,-241.00M,,233.00M,23.00M,,256.00M,,,73.00M,-215.00M,0.00,,,Restated
2008-03,-235.00M,,0.00,,-47.00M,185.00M,9.00M,194.00M,194.00M,-29.00M,0.00,33.00M,546.00M,-57.00M,-68.00M,61.00M,-57.00M,-25.00M,-18.00M,-164.00M,,298.00M,,-174.00M,17.00M,204.00M,,-43.00M,0.00,-42.00M,-242.00M,,-479.00M,283.00M,-89.00M,-38.00M,-38.00M,,-78.00M,,-25.00M,-230.00M,,407.00M,-174.00M,,233.00M,,,516.00M,-712.00M,-38.00M,,,Restated
2007-12,235.00M,,,,47.00M,181.00M,10.00M,191.00M,191.00M,9.00M,,,20.00M,486.00M,-82.00M,-835.00M,96.00M,25.00M,-14.00M,-324.00M,,178.00M,,-187.00M,15.00M,-172.00M,,-26.00M,-12.00M,-36.00M,-246.00M,,,,-107.00M,-35.00M,-35.00M,,-65.00M,,8.00M,-199.00M,,674.00M,-267.00M,,407.00M,,,,,-35.00M,,,
