,NetIncome,Gain/LossonSaleBusiness,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2016-12,368.00M,,,-322.00M,,134.00M,134.00M,,32.00M,,872.00M,665.00M,-67.00M,27.00M,240.00M,,,-740.00M,125.00M,,1.531B,-312.00M,,,,,,112.00M,-200.00M,670.00M,,670.00M,,-398.00M,-398.00M,-158.00M,-158.00M,,-7.00M,107.00M,1.103B,1.438B,2.541B,,,-79.00M,-398.00M
2016-09,602.00M,,,113.00M,,113.00M,113.00M,,24.00M,,-24.00M,-183.00M,184.00M,-151.00M,-12.00M,,,185.00M,23.00M,,738.00M,-137.00M,,,,,,1.00M,-136.00M,0.00,,0.00,,-467.00M,-467.00M,-160.00M,-160.00M,,-11.00M,-638.00M,1.139B,-36.00M,1.103B,,,0.00,-467.00M
2016-06,517.00M,,,106.00M,,106.00M,106.00M,,23.00M,,-17.00M,-133.00M,-81.00M,11.00M,128.00M,,,50.00M,-25.00M,,604.00M,-173.00M,,,,,,2.00M,-171.00M,0.00,,0.00,,-400.00M,-400.00M,-163.00M,-163.00M,,-8.00M,-571.00M,1.277B,-138.00M,1.139B,,,0.00,-400.00M
2016-03,556.00M,,,103.00M,,103.00M,103.00M,,14.00M,,-6.00M,-514.00M,-89.00M,-4.00M,-190.00M,,,70.00M,-727.00M,,-60.00M,-298.00M,,,,,,,-298.00M,-107.00M,,-107.00M,,-282.00M,-282.00M,-159.00M,-159.00M,,-136.00M,-684.00M,2.319B,-1.042B,1.277B,,,-107.00M,-282.00M
2015-12,459.00M,,,138.00M,,138.00M,138.00M,,29.00M,8.00M,-20.00M,433.00M,50.00M,16.00M,58.00M,,,462.00M,1.019B,,1.633B,-137.00M,,,,,,4.00M,-133.00M,0.00,,0.00,,-318.00M,-318.00M,-145.00M,-145.00M,,-10.00M,-473.00M,1.292B,1.027B,2.319B,,0.00,0.00,-318.00M
2015-09,516.00M,,,113.00M,,113.00M,113.00M,,23.00M,-5.00M,-24.00M,-119.00M,-13.00M,-21.00M,1.00M,,,86.00M,-66.00M,,557.00M,-102.00M,,,,,,38.00M,-64.00M,0.00,,0.00,,-948.00M,-948.00M,-149.00M,-149.00M,,-11.00M,-1.108B,1.907B,-615.00M,1.292B,,0.00,0.00,-948.00M
2015-06,531.00M,,,117.00M,,117.00M,117.00M,,23.00M,-1.00M,20.00M,-19.00M,-41.00M,32.00M,-33.00M,,,-3.00M,-64.00M,,626.00M,-115.00M,,,,,,-4.00M,-119.00M,0.00,,0.00,,-1.091B,-1.091B,-153.00M,-153.00M,,-2.00M,-1.246B,2.646B,-739.00M,1.907B,,0.00,0.00,-1.091B
2015-03,484.00M,,,99.00M,,99.00M,99.00M,,24.00M,-105.00M,-12.00M,-325.00M,-76.00M,16.00M,-523.00M,,,-236.00M,-1.144B,,-654.00M,-117.00M,,,,,,2.00M,-115.00M,600.00M,,600.00M,,-825.00M,-825.00M,-156.00M,-156.00M,,-67.00M,-448.00M,3.863B,-1.217B,2.646B,,600.00M,,-825.00M
2014-12,506.00M,,,140.00M,,140.00M,140.00M,,41.00M,-6.00M,-19.00M,426.00M,-67.00M,43.00M,308.00M,,,118.00M,828.00M,,1.49B,-276.00M,,,,,,-12.00M,-288.00M,0.00,,0.00,,-610.00M,-610.00M,-140.00M,-140.00M,,9.00M,-741.00M,3.402B,461.00M,3.863B,,0.00,,-610.00M
2014-09,473.00M,,,105.00M,,105.00M,105.00M,,42.00M,-1.00M,-25.00M,46.00M,76.00M,-7.00M,172.00M,,,52.00M,339.00M,,933.00M,-109.00M,,,,,,0.00,-109.00M,0.00,,0.00,,-757.00M,-757.00M,-143.00M,-143.00M,,2.00M,-898.00M,3.476B,-74.00M,3.402B,,0.00,,-757.00M
2014-06,511.00M,,,108.00M,,108.00M,108.00M,,29.00M,-6.00M,-6.00M,-46.00M,33.00M,-17.00M,-9.00M,,,-25.00M,-64.00M,,572.00M,-116.00M,,,,,,0.00,-116.00M,0.00,,0.00,,-731.00M,-731.00M,-148.00M,-148.00M,,14.00M,-865.00M,3.885B,-409.00M,3.476B,,0.00,,-731.00M
2014-03,579.00M,,,109.00M,,109.00M,109.00M,,22.00M,-68.00M,-19.00M,-531.00M,-66.00M,-6.00M,-476.00M,,,54.00M,-1.025B,,-402.00M,-60.00M,,,,,,-72.00M,-132.00M,0.00,,0.00,,-570.00M,-570.00M,-132.00M,-132.00M,,-29.00M,-731.00M,5.15B,-1.265B,3.885B,,0.00,,-570.00M
2013-12,478.00M,,,150.00M,,150.00M,150.00M,,26.00M,-6.00M,19.00M,318.00M,91.00M,2.00M,37.00M,,,89.00M,537.00M,,1.204B,-186.00M,,,,,,9.00M,-177.00M,0.00,,0.00,,-710.00M,-710.00M,-134.00M,-134.00M,,23.00M,-821.00M,4.944B,206.00M,5.15B,,0.00,0.00,-710.00M
2013-09,497.00M,,,120.00M,,120.00M,120.00M,,47.00M,-10.00M,-2.00M,121.00M,-52.00M,-59.00M,166.00M,,,122.00M,298.00M,,950.00M,-90.00M,,,,,,3.00M,-87.00M,0.00,,0.00,,-740.00M,-740.00M,-139.00M,-139.00M,,56.00M,-823.00M,4.904B,40.00M,4.944B,,0.00,0.00,-740.00M
2013-06,488.00M,,,115.00M,,115.00M,115.00M,,47.00M,-10.00M,44.00M,-73.00M,187.00M,15.00M,-19.00M,,,-466.00M,-356.00M,,328.00M,-48.00M,,,,,,4.00M,-44.00M,1.964B,,1.964B,,-465.00M,-465.00M,-142.00M,-142.00M,,80.00M,1.437B,3.183B,1.721B,4.904B,,2.841B,-877.00M,-465.00M
2013-03,489.00M,,,110.00M,,110.00M,110.00M,,24.00M,-17.00M,-27.00M,-195.00M,-125.00M,-9.00M,-351.00M,,,102.00M,-578.00M,,1.00M,-40.00M,,,,,,2.00M,-38.00M,,,,,-456.00M,-456.00M,-130.00M,-130.00M,,-56.00M,-642.00M,3.862B,-679.00M,3.183B,,,,-456.00M
2012-12,533.00M,,,139.00M,,139.00M,139.00M,,72.00M,-4.00M,8.00M,117.00M,-178.00M,25.00M,286.00M,,,59.00M,309.00M,,1.057B,-135.00M,,,,,0.00,-10.00M,-145.00M,0.00,,0.00,,-470.00M,-470.00M,-134.00M,-134.00M,-153.00M,182.00M,-575.00M,3.525B,337.00M,3.862B,,0.00,0.00,-470.00M
2012-09,459.00M,,,128.00M,,128.00M,128.00M,,35.00M,-12.00M,-1.00M,148.00M,81.00M,5.00M,137.00M,,,-168.00M,203.00M,,812.00M,-64.00M,,,,,0.00,-37.00M,-101.00M,0.00,,0.00,,-291.00M,-291.00M,-136.00M,-136.00M,86.00M,7.00M,-334.00M,3.148B,377.00M,3.525B,,0.00,0.00,-291.00M
2012-06,480.00M,,,123.00M,,123.00M,123.00M,,50.00M,-2.00M,-4.00M,92.00M,83.00M,24.00M,-9.00M,,,39.00M,229.00M,,876.00M,-51.00M,,,,,0.00,44.00M,-7.00M,0.00,,0.00,,-292.00M,-292.00M,-138.00M,-138.00M,27.00M,0.00,-403.00M,2.682B,466.00M,3.148B,,0.00,0.00,-292.00M
2012-03,506.00M,,,120.00M,,120.00M,120.00M,,26.00M,-27.00M,-15.00M,-267.00M,60.00M,-119.00M,-466.00M,,,77.00M,-715.00M,,-105.00M,-81.00M,,,,,250.00M,,169.00M,,,,,-263.00M,-263.00M,-127.00M,-127.00M,40.00M,-34.00M,-384.00M,3.002B,-320.00M,2.682B,,,,-263.00M
2011-12,550.00M,,,210.00M,-53.00M,157.00M,157.00M,,43.00M,7.00M,-6.00M,370.00M,-24.00M,5.00M,471.00M,,,-252.00M,570.00M,0.00,1.321B,-166.00M,,,,1.429B,-250.00M,-1.422B,-409.00M,-18.00M,,-18.00M,,-697.00M,-697.00M,,-129.00M,4.00M,-16.00M,-856.00M,2.946B,56.00M,3.002B,,,-18.00M,-697.00M
2011-09,1.57B,,,116.00M,16.00M,132.00M,132.00M,,31.00M,-3.00M,-1.002B,144.00M,16.00M,6.00M,-96.00M,-79.00M,,229.00M,220.00M,0.00,948.00M,-109.00M,,,,-1.429B,0.00,1.437B,-101.00M,0.00,,0.00,,-585.00M,-585.00M,,-137.00M,11.00M,0.00,-711.00M,2.81B,136.00M,2.946B,,,0.00,-585.00M
2011-06,0.00,,,115.00M,19.00M,134.00M,134.00M,,33.00M,-12.00M,570.00M,81.00M,-24.00M,8.00M,-410.00M,60.00M,,-474.00M,-759.00M,0.00,-34.00M,-94.00M,,123.00M,,0.00,0.00,3.00M,-91.00M,0.00,,0.00,,-1.00B,-1.00B,,-140.00M,43.00M,13.00M,-1.084B,4.019B,-1.209B,2.81B,,,0.00,-1.00B
2011-03,-34.00M,,,103.00M,18.00M,121.00M,121.00M,,33.00M,-9.00M,504.00M,-245.00M,30.00M,-3.00M,-338.00M,19.00M,,34.00M,-503.00M,-232.00M,-120.00M,-123.00M,,-123.00M,,1.429B,0.00,38.00M,1.281B,-750.00M,,-750.00M,,-13.00M,-13.00M,,-137.00M,43.00M,14.00M,-843.00M,3.701B,318.00M,4.019B,,,-750.00M,-13.00M
2010-12,321.00M,,,134.00M,26.00M,160.00M,160.00M,,33.00M,-10.00M,17.00M,87.00M,-18.00M,38.00M,582.00M,,,-289.00M,400.00M,247.00M,1.387B,-284.00M,,301.00M,,0.00,,3.00M,-379.00M,564.00M,,564.00M,,-117.00M,-117.00M,,-137.00M,30.00M,5.00M,166.00M,2.528B,1.174B,3.701B,,1.484B,-920.00M,-117.00M
2010-09,1.628B,,,110.00M,26.00M,136.00M,136.00M,,34.00M,-2.00M,-1.207B,31.00M,-23.00M,3.00M,79.00M,,,137.00M,227.00M,162.00M,978.00M,-123.00M,,-123.00M,,-13.00M,,7.00M,-163.00M,-1.00M,,-1.00M,,-205.00M,-205.00M,,-138.00M,9.00M,4.00M,-331.00M,2.044B,484.00M,2.528B,,,-1.00M,-205.00M
2010-06,-440.00M,,,103.00M,27.00M,130.00M,130.00M,,31.00M,-5.00M,1.185B,124.00M,64.00M,-2.00M,-325.00M,,,-210.00M,-349.00M,67.00M,619.00M,-72.00M,,-75.00M,3.00M,13.00M,,3.00M,-83.00M,-3.00M,,-3.00M,,-348.00M,-348.00M,,-141.00M,103.00M,-64.00M,-453.00M,1.961B,83.00M,2.044B,,-2.00M,-1.00M,-348.00M
2010-03,410.00M,,,99.00M,30.00M,129.00M,129.00M,,38.00M,-5.00M,-26.00M,-713.00M,-87.00M,-3.00M,-292.00M,,,97.00M,-998.00M,-79.00M,-531.00M,-106.00M,,-103.00M,-3.00M,,,3.00M,-135.00M,-87.00M,,-87.00M,,-507.00M,-507.00M,,-129.00M,,75.00M,-648.00M,3.275B,-1.314B,1.961B,,2.00M,-89.00M,-507.00M
2009-12,318.00M,,,161.00M,38.00M,199.00M,199.00M,,22.00M,0.00,-371.00M,361.00M,-7.00M,33.00M,254.00M,,,164.00M,805.00M,-42.00M,931.00M,-228.00M,,-218.00M,-10.00M,1.65B,12.00M,,1.406B,-408.00M,-16.00M,-424.00M,,-450.00M,-450.00M,,-134.00M,22.00M,0.00,-986.00M,1.924B,1.351B,3.275B,,-11.00M,-413.00M,-450.00M
2009-09,490.00M,,,146.00M,38.00M,184.00M,184.00M,,28.00M,-2.00M,-67.00M,283.00M,-143.00M,35.00M,-5.00M,,,-306.00M,-136.00M,47.00M,544.00M,-160.00M,,-139.00M,-21.00M,0.00,-17.00M,,-177.00M,849.00M,1.00M,850.00M,,-227.00M,-227.00M,,-136.00M,12.00M,2.00M,501.00M,1.056B,868.00M,1.924B,,851.00M,-1.00M,-227.00M
2009-06,417.00M,0.0,0.00,142.00M,37.00M,179.00M,179.00M,,20.00M,0.00,-17.00M,1.401B,259.00M,-43.00M,-247.00M,,,-1.192B,178.00M,53.00M,830.00M,-154.00M,,-135.00M,-19.00M,-33.00M,1.00M,,-186.00M,-71.00M,3.00M,-68.00M,,-273.00M,-273.00M,,-138.00M,9.00M,,-470.00M,882.00M,174.00M,1.056B,,3.00M,-71.00M,-273.00M
2009-03,366.00M,0.0,0.00,136.00M,38.00M,174.00M,174.00M,,35.00M,0.00,5.00M,-1.748B,-355.00M,-31.00M,-88.00M,,,1.426B,-796.00M,44.00M,-172.00M,-180.00M,,-162.00M,-18.00M,,4.00M,,-176.00M,-1.00M,,-1.00M,,-150.00M,-150.00M,,-131.00M,8.00M,,-274.00M,1.504B,-622.00M,882.00M,,,-1.00M,-150.00M
2008-12,-2.624B,,54.00M,567.00M,,3.00M,3.00M,-122.00M,,,-36.00M,4.467B,10.00M,23.00M,478.00M,,-130.00M,-4.575B,273.00M,170.00M,1.037B,-347.00M,-10.00M,-247.00M,,-92.00M,,101.00M,-327.00M,,,-8.00M,-95.00M,-93.00M,-188.00M,,-130.00M,,1.00M,-222.00M,1.016B,488.00M,1.504B,-95.00M,,,-93.00M
2008-09,512.00M,,2.00M,-276.00M,-104.00M,184.00M,184.00M,1.00M,,,34.00M,-1.154B,-227.00M,-3.00M,98.00M,,-3.156B,5.083B,641.00M,-1.00M,1.373B,-167.00M,1.00M,-166.00M,,0.00,,-1.00M,-167.00M,,,5.00M,13.00M,-657.00M,-644.00M,,-134.00M,,2.00M,-771.00M,581.00M,435.00M,1.016B,13.00M,,,-657.00M
2008-06,495.00M,,-57.00M,140.00M,45.00M,185.00M,185.00M,95.00M,,,5.00M,-1.611B,-38.00M,-25.00M,-39.00M,,3.174B,-1.584B,-123.00M,7.00M,607.00M,-99.00M,6.00M,-93.00M,,175.00M,,-66.00M,16.00M,,,-145.00M,13.00M,-205.00M,-192.00M,,-135.00M,,1.00M,-471.00M,429.00M,152.00M,581.00M,13.00M,,,-205.00M
2008-03,264.00M,,1.00M,136.00M,59.00M,195.00M,195.00M,26.00M,,,33.00M,-2.08B,-266.00M,-15.00M,254.00M,,112.00M,1.673B,-322.00M,-3.00M,194.00M,-178.00M,3.00M,-175.00M,,,,27.00M,-148.00M,,,33.00M,69.00M,-600.00M,-531.00M,,-126.00M,,44.00M,-580.00M,963.00M,-534.00M,429.00M,69.00M,,,-600.00M
2007-12,454.00M,,4.00M,578.00M,141.00M,197.00M,197.00M,150.00M,,,128.00M,-1.994B,98.00M,26.00M,137.00M,,-118.00M,1.633B,-218.00M,19.00M,734.00M,-254.00M,6.00M,-248.00M,,-5.00M,,-31.00M,-284.00M,,,0.00,28.00M,-81.00M,-53.00M,,-126.00M,,-21.00M,-200.00M,713.00M,250.00M,963.00M,28.00M,,,-81.00M
2007-09,489.00M,,-20.00M,-276.00M,-63.00M,183.00M,183.00M,15.00M,,,13.00M,-1.544B,16.00M,-27.00M,132.00M,,-3.039B,4.83B,368.00M,-33.00M,1.015B,-53.00M,6.00M,-47.00M,,-101.00M,,-81.00M,-229.00M,,,-30.00M,50.00M,-502.00M,-452.00M,,-124.00M,,12.00M,-594.00M,521.00M,192.00M,713.00M,50.00M,,,-502.00M
2007-06,460.00M,,12.00M,141.00M,32.00M,173.00M,173.00M,14.00M,,,19.00M,-1.519B,-10.00M,-7.00M,115.00M,,1.531B,-47.00M,63.00M,,741.00M,-190.00M,10.00M,-180.00M,,-6.00M,,16.00M,-170.00M,,,-336.00M,40.00M,8.00M,48.00M,,-133.00M,,9.00M,-412.00M,362.00M,159.00M,521.00M,40.00M,,,8.00M
2007-03,387.00M,,,135.00M,31.00M,166.00M,166.00M,-4.00M,,,22.00M,-1.43B,-96.00M,17.00M,-276.00M,,1.567B,47.00M,-171.00M,,400.00M,-188.00M,,-188.00M,,-578.00M,,19.00M,-747.00M,,,207.00M,156.00M,-600.00M,-444.00M,,-121.00M,,52.00M,-306.00M,1.015B,-653.00M,362.00M,156.00M,,,-600.00M
2006-12,453.00M,,-113.00M,154.00M,29.00M,183.00M,183.00M,78.00M,,,58.00M,1.715B,85.00M,6.00M,2.406B,,-718.00M,-3.889B,-395.00M,7.00M,271.00M,-244.00M,11.00M,-233.00M,,0.00,209.00M,-135.00M,-159.00M,,,-482.00M,21.00M,0.00,21.00M,,-104.00M,,5.00M,-560.00M,1.463B,-448.00M,1.015B,21.00M,,,0.00
2006-09,285.00M,,5.00M,137.00M,28.00M,165.00M,165.00M,74.00M,,,69.00M,-1.213B,-34.00M,17.00M,179.00M,,-26.00M,1.421B,344.00M,20.00M,962.00M,-169.00M,0.00,-169.00M,,0.00,0.00,-22.00M,-191.00M,,,6.00M,34.00M,0.00,34.00M,,-104.00M,,5.00M,-59.00M,751.00M,712.00M,1.463B,34.00M,,,0.00
2006-06,447.00M,,18.00M,143.00M,27.00M,170.00M,170.00M,4.00M,,,59.00M,-1.212B,45.00M,-74.00M,57.00M,,-1.325B,2.468B,-41.00M,-19.00M,638.00M,-151.00M,-22.00M,-173.00M,,43.00M,-35.00M,57.00M,-108.00M,,,-72.00M,13.00M,-38.00M,-25.00M,,-102.00M,,47.00M,-152.00M,373.00M,378.00M,751.00M,13.00M,,,-38.00M
2006-03,357.00M,,,135.00M,38.00M,173.00M,173.00M,27.00M,,,28.00M,-1.499B,-169.00M,42.00M,-221.00M,,1.229B,,-618.00M,-82.00M,-115.00M,-173.00M,32.00M,-141.00M,,,,-2.00M,-143.00M,,,-420.00M,325.00M,-787.00M,-462.00M,,-92.00M,,,-974.00M,1.605B,-1.232B,373.00M,325.00M,,,-787.00M
2005-12,342.00M,,0.00,163.00M,48.00M,211.00M,211.00M,-231.00M,,,94.00M,-1.151B,37.00M,39.00M,5.252B,,-3.85B,-131.00M,196.00M,48.00M,660.00M,-305.00M,60.00M,-245.00M,,-65.00M,14.00M,50.00M,-246.00M,,,-7.00M,77.00M,-500.00M,-423.00M,,-91.00M,,,-521.00M,1.712B,-107.00M,1.605B,77.00M,,,-500.00M
2005-09,294.00M,,-138.00M,136.00M,52.00M,188.00M,188.00M,336.00M,,,169.00M,-1.118B,-171.00M,-104.00M,425.00M,,893.00M,131.00M,56.00M,-14.00M,891.00M,-173.00M,-53.00M,-226.00M,,17.00M,81.00M,-9.00M,-137.00M,,,4.00M,34.00M,-203.00M,-169.00M,,-92.00M,,,-257.00M,1.215B,497.00M,1.712B,34.00M,,,-203.00M
2005-06,366.00M,,42.00M,133.00M,49.00M,182.00M,182.00M,,,,-38.00M,-1.945B,19.00M,-18.00M,180.00M,,2.025B,,261.00M,,813.00M,-149.00M,1.00M,-148.00M,,0.00,0.00,-14.00M,-162.00M,,,-10.00M,31.00M,-147.00M,-116.00M,,-94.00M,,,-220.00M,784.00M,431.00M,1.215B,31.00M,,,-147.00M
2005-03,398.00M,,-48.00M,124.00M,49.00M,173.00M,173.00M,,,,14.00M,-1.101B,-116.00M,-2.00M,-260.00M,,1.205B,,-274.00M,,263.00M,-197.00M,60.00M,-137.00M,,-313.00M,143.00M,-3.00M,-310.00M,,,22.00M,21.00M,-360.00M,-339.00M,,-82.00M,,,-399.00M,1.23B,-446.00M,784.00M,21.00M,,,-360.00M
2004-12,263.00M,,-79.00M,131.00M,53.00M,184.00M,184.00M,-12.00M,,,244.00M,-1.331B,243.00M,-13.00M,5.118B,,-4.335B,,-318.00M,42.00M,324.00M,-248.00M,78.00M,-170.00M,,,0.00,541.00M,371.00M,,,-622.00M,747.00M,-307.00M,440.00M,,-85.00M,,,-267.00M,850.00M,428.00M,1.23B,747.00M,,,-307.00M
2004-09,291.00M,,34.00M,132.00M,53.00M,185.00M,185.00M,103.00M,,,-83.00M,-1.374B,-96.00M,7.00M,215.00M,,1.447B,,199.00M,10.00M,739.00M,-157.00M,5.00M,-152.00M,,,0.00,-48.00M,-200.00M,,,-6.00M,23.00M,-184.00M,-161.00M,,-82.00M,,1.00M,-248.00M,559.00M,291.00M,850.00M,23.00M,,,-184.00M
2004-06,298.00M,,35.00M,122.00M,52.00M,174.00M,174.00M,,,,-19.00M,-1.493B,5.00M,-7.00M,239.00M,,1.377B,,121.00M,1.00M,610.00M,-136.00M,10.00M,-126.00M,,,0.00,-3.00M,-129.00M,,,-193.00M,26.00M,-131.00M,-105.00M,,-83.00M,,-1.00M,-379.00M,457.00M,102.00M,559.00M,26.00M,,,-131.00M
