,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-06,,879.00M,49.00M,928.00M,1.077B,1.109B,2.224B,158.00M,,,277.00M,3.587B,,,,,,415.00M,11.84B,6.297B,18.14B,110.00M,108.00M,19.04B,22.63B,,1.997B,121.00M,2.118B,,2.118B,,101.00M,,101.00M,940.00M,940.00M,7.00M,3.166B,10.63B,,10.63B,813.00M,813.00M,250.00M,406.00M,11.85B,15.01B,,10.84B,665.00M,4.033B,-104.00M,7.364B,,AOR,Restated
2018-03,,960.00M,47.00M,1.007B,1.235B,1.032B,2.295B,148.00M,,,274.00M,3.724B,,,,,,432.00M,12.04B,6.58B,18.62B,101.00M,113.00M,19.51B,23.24B,,2.045B,106.00M,2.151B,,2.151B,,104.00M,,104.00M,934.00M,934.00M,10.00M,3.199B,10.34B,,10.34B,828.00M,828.00M,257.00M,413.00M,11.58B,14.78B,,10.80B,605.00M,3.46B,254.00M,8.196B,,AOR,Restated
2017-12,,959.00M,46.00M,1.005B,1.229B,883.00M,2.144B,146.00M,,,259.00M,3.554B,324.00M,153.00M,446.00M,923.00M,-483.00M,440.00M,11.85B,6.591B,18.44B,78.00M,109.00M,19.30B,22.86B,,322.00M,72.00M,394.00M,1.008B,1.402B,,103.00M,,103.00M,985.00M,985.00M,10.00M,3.156B,10.12B,,10.12B,895.00M,895.00M,249.00M,440.00M,11.46B,14.61B,,10.78B,538.00M,3.374B,49.00M,7.995B,,AOR,Restated
2017-09,,1.103B,44.00M,1.147B,1.044B,828.00M,1.915B,146.00M,,,284.00M,3.492B,,,,,,428.00M,11.60B,6.567B,18.16B,75.00M,93.00M,18.95B,22.44B,,1.894B,60.00M,1.954B,,1.954B,,103.00M,,103.00M,782.00M,782.00M,14.00M,2.853B,9.651B,,9.651B,2.014B,2.014B,243.00M,420.00M,12.08B,14.94B,,10.76B,-166.00M,3.252B,-79.00M,7.264B,,AOR,Restated
2017-06,,902.00M,43.00M,945.00M,1.087B,771.00M,1.886B,153.00M,,,275.00M,3.259B,,,,,,430.00M,11.26B,6.493B,17.75B,70.00M,94.00M,18.52B,21.78B,,1.678B,73.00M,1.751B,,1.751B,,94.00M,,94.00M,801.00M,801.00M,14.00M,2.66B,8.858B,,8.858B,2.069B,2.069B,235.00M,421.00M,11.35B,14.01B,,10.72B,-255.00M,2.694B,-233.00M,7.539B,,AOR,Restated
2017-03,,862.00M,43.00M,905.00M,1.027B,765.00M,1.807B,134.00M,,,271.00M,3.117B,,,,,,410.00M,10.92B,6.398B,17.31B,72.00M,92.00M,18.07B,21.18B,,1.627B,75.00M,1.702B,,1.702B,,91.00M,,91.00M,791.00M,791.00M,12.00M,2.596B,8.254B,,8.254B,2.14B,2.14B,229.00M,393.00M,10.79B,13.38B,,10.66B,-325.00M,2.316B,-444.00M,7.571B,,AOR,Restated
2016-12,,1.198B,40.00M,1.238B,998.00M,723.00M,1.741B,123.00M,,,235.00M,3.337B,333.00M,98.00M,338.00M,769.00M,-363.00M,406.00M,10.73B,6.39B,17.12B,82.00M,89.00M,17.87B,21.21B,,250.00M,76.00M,326.00M,883.00M,1.209B,,92.00M,,92.00M,774.00M,774.00M,20.00M,2.705B,7.108B,,7.108B,2.133B,2.133B,227.00M,402.00M,9.643B,12.35B,,10.60B,-399.00M,1.00B,-570.00M,8.633B,,AOR,Restated
2016-09,,1.210B,39.88M,1.250B,552.33M,660.80M,1.234B,57.32M,2.547M,,99.64M,2.643B,,,,,,184.19M,691.44M,346.82M,1.038B,68.39M,95.82M,1.486B,4.129B,,904.10M,15.95M,920.05M,,920.05M,,48.50M,,48.50M,624.08M,624.08M,27.32M,1.620B,2.387B,,2.387B,13.10M,13.10M,231.50M,190.56M,2.591B,4.211B,,48.76M,-221.22M,,-140.98M,-313.43M,,AOR,Restated
2016-06,,955.68M,37.79M,993.47M,624.58M,645.46M,1.278B,66.44M,3.489M,0.00,94.71M,2.437B,,,,,,189.63M,716.64M,352.76M,1.069B,65.19M,104.86M,1.526B,3.963B,,865.15M,30.35M,895.50M,,895.50M,,48.50M,,48.50M,608.74M,608.74M,47.54M,1.600B,2.398B,,2.398B,12.69M,12.69M,229.58M,180.69M,2.591B,4.191B,,1.193M,-320.38M,,-139.09M,-458.29M,,AOR,Restated
2016-03,,1.053B,36.71M,1.090B,531.30M,648.62M,1.198B,55.84M,3.566M,0.00,89.92M,2.437B,,,,,,189.01M,719.65M,362.26M,1.082B,85.54M,94.85M,1.546B,3.983B,,852.32M,29.54M,881.86M,,881.86M,,48.52M,,48.52M,618.93M,618.93M,28.84M,1.578B,2.409B,,2.409B,14.85M,14.85M,228.87M,187.34M,2.611B,4.189B,,25.92M,-354.97M,,-105.76M,-434.81M,,AOR,Restated
2015-12,,977.00M,0.00,977.00M,554.00M,614.00M,1.20B,51.00M,,101.00M,83.00M,2.412B,187.00M,66.00M,257.00M,510.00M,-322.00M,188.00M,720.00M,368.00M,1.088B,85.00M,43.00M,1.514B,3.926B,,145.00M,35.00M,180.00M,360.00M,540.00M,,49.00M,,49.00M,585.00M,585.00M,19.00M,1.594B,2.419B,,2.419B,66.00M,66.00M,228.00M,183.00M,2.668B,4.262B,,9.00M,-462.00M,0.00,-111.00M,-564.00M,,AOR,Restated
2015-09,,1.082B,,1.082B,556.72M,574.47M,1.185B,51.47M,2.61M,111.85M,87.36M,2.520B,,,,,,194.74M,724.01M,374.42M,1.098B,77.19M,34.52M,1.514B,4.034B,,871.21M,25.97M,897.18M,,897.18M,,48.50M,,48.50M,558.83M,558.83M,19.46M,1.524B,2.430B,,2.430B,89.56M,89.56M,226.10M,170.10M,2.690B,4.214B,,239.59M,-550.15M,,-95.46M,-406.02M,,AOR,Restated
2015-06,,803.62M,,803.62M,506.24M,584.85M,1.154B,57.45M,3.146M,115.96M,85.68M,2.220B,,,,,,176.77M,463.61M,263.22M,726.83M,71.70M,34.69M,1.122B,3.342B,,758.41M,32.66M,791.07M,,791.07M,,48.51M,,48.51M,502.48M,502.48M,11.75M,1.354B,2.441B,,2.441B,57.92M,57.92M,0.078M,190.76M,2.690B,4.043B,,28.52M,-661.43M,,-68.84M,-701.76M,,AOR,Restated
2015-03,,779.07M,,779.07M,451.70M,556.29M,1.051B,59.83M,2.741M,117.93M,88.67M,2.099B,,,,,,179.49M,462.99M,270.54M,733.53M,69.16M,35.64M,1.138B,3.237B,,722.87M,36.87M,759.74M,,759.74M,,5.94M,,5.94M,527.68M,527.68M,27.34M,1.321B,2.288B,,2.288B,58.95M,58.95M,0.08M,181.08M,2.528B,3.849B,,178.97M,-702.40M,,-88.95M,-612.39M,,AOR,Restated
2014-12,,867.36M,,867.36M,444.94M,532.31M,1.021B,44.63M,2.882M,118.52M,92.09M,2.146B,185.94M,70.06M,240.23M,496.22M,-305.93M,190.30M,464.43M,280.24M,744.68M,66.01M,35.97M,1.150B,3.296B,,108.74M,55.69M,164.44M,330.39M,494.83M,,0.826M,,0.826M,543.30M,543.30M,29.69M,1.472B,2.283B,,2.283B,61.80M,61.80M,0.049M,183.66M,2.528B,4.000B,,143.83M,-788.80M,,-59.09M,-704.06M,,AOR,Restated
2014-09,,645.03M,,645.03M,474.72M,559.85M,1.050B,51.53M,3.519M,94.18M,94.39M,1.939B,,,,,,190.86M,468.62M,288.27M,756.89M,68.46M,31.28M,1.168B,3.107B,,830.39M,19.22M,849.61M,,849.61M,,20.68M,,20.68M,526.00M,526.00M,30.49M,1.427B,2.023B,,2.023B,25.58M,25.58M,0.027M,167.99M,2.216B,3.643B,,368.01M,-877.22M,,-27.04M,-536.26M,,AOR,Restated
2014-06,,636.47M,,636.47M,440.71M,525.68M,981.23M,56.84M,3.296M,92.84M,94.03M,1.865B,,,,,,196.38M,410.33M,282.50M,692.83M,67.42M,33.69M,1.114B,2.979B,,751.65M,32.81M,784.46M,,784.46M,,20.72M,,20.72M,516.08M,516.08M,31.81M,1.353B,2.027B,,2.027B,33.90M,33.90M,-0.061M,186.38M,2.247B,3.600B,,346.08M,-969.88M,,2.244M,-621.55M,,AOR,Restated
2014-03,,741.38M,,741.38M,435.07M,515.13M,964.90M,52.89M,3.373M,92.86M,92.42M,1.948B,,,,,,195.85M,409.52M,289.09M,698.61M,66.70M,33.43M,1.114B,3.062B,,768.87M,46.70M,815.56M,,815.56M,,15.57M,,15.57M,511.44M,511.44M,33.90M,1.376B,2.031B,,2.031B,35.56M,35.56M,-0.051M,178.13M,2.245B,3.621B,,495.92M,-1.055B,,-0.393M,-559.47M,,AOR,Restated
2013-12,,778.14M,,778.14M,408.96M,516.94M,940.38M,42.80M,2.712M,92.12M,89.54M,1.946B,184.73M,73.54M,222.86M,481.13M,-281.55M,199.58M,409.63M,298.05M,707.68M,63.28M,32.86M,1.121B,3.067B,,100.62M,35.78M,136.39M,324.05M,460.44M,,10.43M,,10.43M,538.58M,538.58M,35.65M,1.482B,2.036B,,2.036B,37.54M,37.54M,-0.072M,178.91M,2.252B,3.734B,,478.14M,-1.145B,,-0.376M,-667.41M,,AOR,Restated
2013-09,,609.71M,,609.71M,398.44M,499.14M,911.72M,42.12M,3.317M,69.55M,80.77M,1.717B,,,,,,197.39M,412.46M,310.19M,722.65M,61.43M,32.43M,1.125B,2.842B,,758.64M,25.85M,784.50M,,784.50M,,4.091M,,4.091M,511.00M,511.00M,34.80M,1.334B,2.042B,,2.042B,16.61M,16.61M,-0.005M,160.98M,2.220B,3.554B,,510.10M,-1.218B,,-3.892M,-711.97M,,AOR,Restated
2013-06,,585.72M,,585.72M,377.55M,491.51M,893.72M,48.60M,2.321M,65.42M,78.09M,1.674B,,,,,,196.75M,295.26M,271.73M,566.99M,58.12M,41.14M,974.31M,2.648B,,708.58M,27.60M,736.19M,,736.19M,,0.141M,,0.141M,459.57M,459.57M,42.83M,1.239B,2.045B,,2.045B,8.362M,8.362M,0.17M,153.82M,2.207B,3.446B,,505.07M,-1.285B,,-18.19M,-798.06M,,AOR,Restated
2013-03,,454.29M,,454.29M,334.87M,446.07M,800.02M,41.31M,3.88M,67.19M,72.81M,1.439B,,,,,,190.17M,297.57M,274.00M,571.57M,57.58M,32.40M,987.21M,2.427B,,671.45M,17.06M,688.50M,,688.50M,,34.74M,,34.74M,454.11M,454.11M,44.63M,1.222B,2.355B,,2.355B,16.00M,16.00M,0.328M,156.25M,2.527B,3.749B,,9.227M,-1.323B,,-8.387M,-1.323B,,AOR,Restated
2012-12,,567.73M,,567.73M,346.73M,400.61M,762.97M,33.35M,2.822M,69.04M,74.08M,1.510B,182.55M,71.53M,197.38M,451.46M,-257.47M,194.00M,302.43M,272.81M,575.24M,55.10M,37.31M,989.16M,2.499B,,84.71M,9.639M,94.35M,297.47M,391.82M,,55.71M,,55.71M,456.59M,456.59M,44.23M,1.309B,2.366B,,2.366B,11.62M,11.62M,0.479M,171.32M,2.549B,3.858B,,4.554M,-1.372B,,7.695M,-1.360B,,AOR,Restated
