,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,,AsOriginallyReported,Restated
2014-09,1.061B,1.400B,1.030B,369.96M,219.03M,-1.793M,25.05M,0.602M,-24.45M,219.03M,150.94M,0.602M,25.05M,-24.45M,5.983M,-24.45M,132.47M,41.26M,92.73M,-0.079M,92.65M,93.89M,187.70M,30.18M,157.52M,,0.73,0.7397,0.73,,0.71,0.7195,0.71,,127.46M,130.63M,,AOR,Restated
2014-06,1.035B,1.341B,980.07M,360.96M,219.01M,-0.948M,24.80M,0.994M,-23.80M,219.01M,141.95M,0.994M,24.80M,-23.80M,-4.004M,-23.80M,114.14M,32.40M,85.11M,0.01M,85.12M,85.80M,168.78M,29.84M,138.94M,,0.66,0.6653,0.66,,0.64,0.6451,0.64,,128.98M,132.04M,,AOR,Restated
2014-03,1.005B,1.308B,946.28M,361.57M,219.24M,-1.008M,24.70M,1.255M,-23.45M,219.24M,142.32M,1.255M,24.70M,-23.45M,3.836M,-23.45M,122.71M,37.39M,90.21M,-0.031M,90.18M,90.88M,176.50M,29.09M,147.42M,,0.69,0.6954,0.69,,0.68,0.6853,0.68,,129.90M,133.04M,,AOR,Restated
2013-12,1.004B,1.379B,1.017B,361.98M,232.80M,-5.462M,26.83M,1.581M,-25.24M,232.80M,129.19M,1.581M,26.83M,-25.24M,-3.899M,-25.24M,100.04M,27.56M,72.93M,0.062M,73.00M,76.95M,157.42M,30.55M,126.87M,,0.58,0.6106,0.58,,0.55,0.5798,0.55,,129.19M,132.86M,,AOR,Restated
2013-09,932.73M,1.196B,863.81M,332.03M,199.57M,-7.201M,28.76M,1.119M,-27.64M,199.57M,132.46M,1.119M,28.76M,-27.64M,-10.42M,-27.64M,94.40M,27.46M,66.58M,0.185M,66.77M,71.87M,150.48M,27.32M,123.15M,,0.52,0.5596,0.52,,0.50,0.5383,0.50,,128.92M,133.27M,,AOR,Restated
2013-06,944.24M,1.296B,969.11M,326.57M,228.84M,-19.38M,31.88M,0.785M,-31.10M,228.84M,97.73M,0.785M,31.88M,-31.10M,-19.92M,-31.10M,46.72M,8.83M,38.35M,0.164M,38.52M,54.23M,103.59M,24.99M,78.60M,,0.31,0.4381,0.31,,0.30,0.4242,0.30,,122.71M,126.58M,,AOR,Restated
2013-03,927.44M,1.229B,912.52M,316.33M,199.30M,-1.859M,36.04M,0.452M,-35.59M,199.30M,117.02M,0.452M,36.04M,-35.59M,0.523M,-35.59M,81.96M,32.12M,48.16M,0.153M,48.31M,49.44M,142.64M,24.64M,118.00M,,,0.3835,0.3747,,,0.3835,0.3747,,128.92M,128.92M,,AOR,Restated
2012-12,945.76M,1.279B,961.30M,317.28M,215.64M,-8.497M,38.38M,1.472M,-36.91M,215.64M,101.65M,1.472M,38.38M,-36.91M,-9.653M,-36.91M,55.08M,20.01M,34.84M,0.138M,34.97M,40.38M,119.04M,25.57M,93.47M,,,0.3219,0.2787,,,0.3166,0.2742,,125.47M,127.55M,,AOR,Restated
2012-09,913.59M,1.200B,898.09M,301.48M,192.78M,0.434M,33.51M,0.848M,-32.66M,192.78M,108.70M,0.848M,33.51M,-32.66M,-3.416M,-32.66M,72.62M,21.54M,51.98M,0.123M,52.10M,51.79M,131.86M,25.73M,106.13M,,,0.4128,0.4152,,,0.4060,0.4084,,125.47M,127.55M,,AOR,
2012-06,944.91M,1.231B,914.08M,316.69M,203.54M,-12.26M,33.13M,0.322M,-32.81M,203.54M,113.15M,0.322M,33.13M,-32.81M,-6.104M,-32.81M,74.24M,27.56M,47.01M,0.189M,47.20M,54.91M,131.08M,23.72M,107.37M,,,0.4377,0.3762,,,0.4305,0.3700,,125.47M,127.55M,,AOR,
2012-03,888.04M,1.157B,859.11M,297.47M,205.80M,0.31M,29.34M,0.425M,-28.92M,205.80M,91.68M,0.425M,29.34M,-28.92M,2.729M,-28.92M,65.49M,24.25M,42.81M,0.465M,43.27M,43.08M,118.10M,23.27M,94.83M,,,0.3433,0.3449,,,0.3377,0.3393,,125.47M,127.55M,,AOR,
