,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2013-09,88.91M,,17.45M,0.591M,18.04M,82.13M,82.13M,58.98M,,8.047M,,0.605M,0.617M,2.27M,8.943M,82.11M,,,,93.94M,350.65M,-115.39M,0.00,-115.39M,-12.30M,-26.01M,2.66M,-151.04M,10.00M,10.00M,0.00,-25.96M,-25.96M,-220.54M,-220.54M,,-18.04M,-254.55M,1.349B,-54.94M,,1.294B,0.00,102.00M,-92.00M,-25.96M,0.489M,21.26M
2013-06,265.75M,,-3.447M,1.965M,6.466M,70.49M,70.49M,8.604M,,8.612M,,-66.72M,-125.11M,-79.64M,6.174M,108.32M,,,,-90.25M,202.95M,-98.84M,3.512M,-95.33M,-2.00M,34.58M,-13.70M,-76.45M,-313.97M,-313.97M,0.00,-153.04M,-153.04M,-162.70M,-162.70M,,-19.81M,-649.53M,1.872B,-523.02M,,1.349B,0.00,97.50M,-411.47M,-153.04M,318.72M,25.74M
2013-03,343.37M,,-53.74M,0.628M,-53.12M,71.76M,71.76M,-20.53M,,8.58M,,-69.55M,14.76M,-151.17M,3.866M,100.59M,,,,-31.95M,248.56M,-71.96M,2.29M,-69.67M,0.00,-34.97M,,-104.64M,-53.00M,-53.00M,146.89M,-9.329M,137.56M,-102.16M,-102.16M,,-11.57M,-29.18M,1.758B,114.74M,,1.872B,146.89M,57.00M,-110.00M,-9.329M,17.38M,20.82M
2012-12,399.99M,,63.31M,0.532M,44.32M,64.71M,64.71M,72.68M,,13.80M,,-28.69M,66.69M,165.82M,-26.06M,-282.37M,,,,-75.92M,490.90M,-127.73M,0.00,-127.73M,2.00M,-349.74M,,-477.47M,-10.00M,-10.00M,0.00,-14.37M,-14.37M,-275.48M,-275.48M,,-13.29M,-313.14M,2.057B,-299.71M,,1.758B,0.00,64.00M,-74.00M,-14.37M,361.30M,24.52M
2012-09,610.65M,,-21.27M,0.273M,-20.99M,65.11M,65.11M,25.41M,,7.908M,,-28.90M,-80.05M,-175.63M,-1.238M,340.01M,,,,83.10M,742.28M,-79.52M,0.00,-79.52M,0.00,-9.666M,,-89.18M,61.00M,61.00M,0.00,-0.922M,-0.922M,-132.65M,-132.65M,,104.68M,32.11M,1.372B,685.21M,,2.057B,0.00,424.00M,-363.00M,-0.922M,320.46M,28.26M
2012-06,502.37M,,-2.159M,-0.138M,-2.297M,56.95M,56.95M,-0.219M,,8.006M,,-51.60M,128.92M,35.34M,19.76M,-521.63M,,,,-337.62M,175.60M,-66.63M,0.00,-66.63M,-0.80M,-8.34M,,-75.77M,-17.24M,-17.24M,0.00,-130.49M,-130.49M,-123.94M,-123.94M,,-115.51M,-387.18M,1.660B,-287.35M,,1.372B,0.00,63.00M,-80.24M,-130.49M,274.85M,24.51M
2012-03,247.02M,,12.12M,0.034M,12.16M,56.10M,56.10M,-2.464M,,9.485M,,-0.868M,-24.88M,-230.54M,-1.831M,189.72M,,,,-67.53M,253.90M,-61.39M,0.00,-61.39M,-1.20M,-6.093M,,-68.68M,91.99M,91.99M,0.00,-63.82M,-63.82M,-126.02M,-126.02M,,-6.734M,-104.58M,1.579B,80.65M,,1.660B,0.00,330.75M,-238.76M,-63.82M,27.01M,24.42M
2011-12,235.85M,,,0.189M,-5.554M,53.33M,53.33M,-13.38M,,11.29M,,-12.72M,-209.81M,138.75M,-21.99M,73.42M,,,,-19.63M,249.19M,-100.02M,,-100.02M,,-76.10M,0.581M,-184.66M,-10.19M,-10.19M,75.82M,-5.481M,70.33M,-252.13M,-122.76M,,-5.873M,-68.48M,1.583B,-3.955M,,1.579B,75.82M,25.00M,-35.19M,-5.481M,326.99M,27.91M
2011-09,531.01M,,,0.28M,0.28M,43.24M,43.24M,8.088M,,9.973M,,-22.83M,533.99M,-100.64M,20.87M,-392.77M,,,,61.44M,631.21M,-117.92M,,-117.92M,,-86.02M,872.16M,668.22M,15.98M,15.98M,-16.50M,-35.96M,-52.46M,15.98M,-113.39M,,6.614M,-143.25M,426.69M,1.156B,,1.583B,-16.50M,29.00M,-13.02M,-35.96M,135.56M,16.31M
2011-06,201.83M,,,-0.082M,0.283M,31.83M,31.83M,-3.09M,,3.808M,,6.261M,33.38M,-21.84M,-20.07M,95.06M,,,,86.53M,327.45M,-82.27M,,-82.27M,,-31.74M,,-114.01M,4.00M,4.00M,16.50M,-0.945M,15.56M,-15.98M,-8.00M,,-22.42M,-10.87M,224.11M,202.58M,,426.69M,16.50M,34.00M,-30.00M,-0.945M,89.93M,21.66M
2011-03,91.01M,,,,-0.365M,31.31M,31.31M,-0.478M,,1.754M,,-11.63M,-20.36M,-73.09M,6.978M,105.41M,,,,18.94M,130.54M,-74.04M,,-74.04M,,-67.01M,,-141.05M,23.00M,23.00M,,-2.051M,-2.051M,,-7.984M,,-7.444M,5.521M,229.10M,-4.987M,,224.11M,,30.00M,-7.00M,-2.051M,0.008M,12.60M
2010-12,24.25M,,,0.076M,1.54M,31.81M,31.81M,18.33M,,3.684M,,-22.80M,-27.34M,13.65M,0.673M,5.692M,-2.195M,,,-9.522M,47.29M,-85.29M,,-85.29M,,0.00,,-85.29M,2.76M,2.76M,0.00,-2.764M,-2.764M,-31.87M,-7.979M,-0.061M,3.231M,-4.813M,271.92M,-42.82M,,229.10M,0.00,14.00M,-11.24M,-2.764M,17.04M,17.62M
2010-09,59.39M,,,0.306M,0.306M,29.14M,29.14M,22.45M,,2.374M,,-4.419M,18.03M,7.131M,16.52M,46.70M,0.00,,,88.38M,197.62M,-51.41M,,-51.41M,,0.00,,-51.41M,1.655M,1.655M,-5.00M,0.00,-5.00M,15.90M,-7.988M,0.00,-3.172M,-14.50M,140.21M,131.71M,,271.92M,-5.00M,13.00M,-11.34M,0.00,44.00M,17.60M
2010-06,72.67M,,,0.10M,0.581M,28.82M,28.82M,5.093M,,2.533M,,1.77M,151.02M,-0.124M,13.59M,-147.58M,0.00,,,16.90M,128.37M,-45.43M,,-45.43M,,0.00,,-45.43M,131.12M,131.12M,3.75M,-0.253M,3.497M,-15.90M,-7.975M,0.00,-162.66M,-36.02M,93.29M,46.92M,,140.21M,3.75M,153.54M,-22.42M,-0.253M,1.043M,19.57M
2010-03,-23.25M,,,,-0.481M,27.76M,27.76M,-22.03M,,2.907M,,-3.813M,-113.26M,-117.51M,-30.42M,187.89M,2.195M,,,-71.11M,-90.02M,-31.10M,,-31.10M,,0.00,,-31.10M,-35.00M,-35.00M,1.25M,-1.055M,0.195M,,-7.926M,0.061M,132.48M,89.82M,124.60M,-31.31M,,93.29M,1.25M,343.00M,-378.00M,-1.055M,0.00,11.88M
2009-12,-22.36M,,,1.309M,-14.78M,29.54M,29.54M,11.93M,,0.97M,,4.869M,-180.87M,55.91M,-7.829M,154.51M,,,,21.72M,31.89M,-56.53M,,-56.53M,-103.13M,0.00,,-159.66M,61.00M,61.00M,89.90M,0.616M,90.52M,,-31.04M,,33.36M,153.83M,98.53M,26.07M,,124.60M,89.90M,142.00M,-81.00M,0.616M,1.125M,19.44M
2009-09,31.08M,,,-0.711M,-0.442M,24.27M,24.27M,7.412M,,2.242M,,1.94M,-10.68M,-34.23M,-0.373M,16.89M,0.00,,,-28.40M,38.10M,-62.63M,,-62.63M,0.00,0.00,,-62.63M,27.00M,27.00M,-8.89M,0.00,-8.89M,,-17.26M,,13.51M,14.36M,108.69M,-10.16M,,98.53M,-8.89M,98.00M,-71.00M,0.00,6.29M,7.547M
2009-06,21.14M,,,-0.598M,0.004M,25.50M,25.50M,16.21M,,2.89M,,0.219M,-301.01M,-2.39M,-8.108M,389.41M,0.00,,,77.90M,143.86M,-84.16M,,-84.16M,-157.81M,0.00,,-241.98M,110.92M,110.92M,62.51M,0.00,62.51M,,-7.52M,,-12.99M,152.92M,53.88M,54.81M,,108.69M,62.51M,272.92M,-162.00M,0.00,8.472M,4.234M
2009-03,23.40M,,,,0.32M,20.32M,20.32M,1.971M,,1.447M,,-22.56M,-14.91M,-37.19M,0.494M,24.39M,0.00,,,-27.22M,-2.315M,-99.23M,,-99.23M,,28.89M,,-70.34M,95.00M,95.00M,4.795M,-1.83M,2.965M,,-7.502M,,-4.736M,85.73M,40.80M,13.07M,,53.88M,4.795M,108.00M,-13.00M,-1.83M,3.457M,8.774M
2008-12,56.64M,,,3.067M,-14.40M,17.81M,17.81M,31.16M,,7.467M,,-39.21M,336.39M,15.10M,2.796M,-459.25M,,2.327M,34.25M,-68.39M,-5.204M,-126.63M,0.00,-126.63M,13.25M,37.48M,-7.295M,-83.18M,29.00M,5.00M,17.51M,0.795M,18.31M,,-7.479M,,-22.64M,-6.814M,136.01M,-95.20M,,40.80M,17.51M,114.00M,-85.00M,0.795M,21.08M,14.35M
2008-09,48.60M,,,-3.067M,8.442M,16.74M,16.74M,-3.331M,,-2.695M,,2.523M,220.56M,18.56M,-3.931M,-222.81M,,-2.327M,-34.25M,-24.20M,46.08M,-92.65M,0.00,-92.65M,-7.295M,46.57M,7.295M,-46.08M,-20.00M,4.00M,-2.942M,-15.02M,-17.97M,,-9.953M,,5.152M,-18.77M,154.77M,-18.76M,,136.01M,-2.942M,-40.00M,20.00M,-15.02M,-3.993M,-6.489M
2008-06,11.94M,,,0.00,0.00,15.93M,15.93M,6.733M,,2.517M,,-2.701M,-168.15M,-24.28M,-1.118M,173.37M,,,1.337M,-18.84M,15.76M,-126.02M,0.00,-126.02M,0.00,114.05M,,-11.98M,10.00M,10.00M,-0.062M,-34.03M,-34.09M,,-5.222M,,-0.258M,-29.57M,180.55M,-25.78M,,154.77M,-0.062M,30.00M,-20.00M,-34.03M,3.695M,1.409M
2008-03,9.451M,,,3.067M,3.067M,13.31M,13.31M,-1.623M,,0.178M,,0.178M,-46.81M,5.626M,1.855M,115.14M,,,-1.337M,74.47M,98.85M,-72.76M,171.00M,98.24M,7.295M,-22.08M,,83.46M,10.00M,10.00M,3.498M,-102.85M,-99.35M,,-6.41M,,-0.365M,-96.13M,94.37M,86.18M,,180.55M,3.498M,10.00M,,-102.85M,0.298M,5.08M
2007-12,49.83M,,,,15.05M,10.83M,10.83M,11.63M,,,,-14.93M,-35.40M,39.17M,3.74M,75.99M,,0.128M,,83.63M,166.04M,-48.04M,,-48.04M,,35.56M,,-12.48M,,,40.37M,-123.10M,-82.73M,,-6.557M,,-8.94M,-98.22M,39.03M,55.34M,,94.37M,40.37M,,,-123.10M,,
2007-09,58.13M,,,,-14.12M,10.53M,10.53M,10.56M,,,,6.882M,-191.39M,-36.11M,1.383M,162.62M,,-31.11M,-1.267M,-95.87M,-23.88M,-40.68M,,-40.68M,,34.53M,,-6.158M,,,0.06M,-33.00M,-32.94M,,-6.601M,,1.483M,-38.06M,107.14M,-68.10M,,39.03M,0.06M,,,-33.00M,,
2007-06,158.63M,,,,0.667M,10.64M,10.64M,0.947M,,,,0.215M,-41.54M,1.736M,-4.636M,34.61M,,31.42M,1.595M,23.19M,194.28M,-45.78M,,-45.78M,,-174.86M,,-220.65M,,,0.284M,-15.26M,-14.98M,,-5.573M,,2.87M,-17.68M,151.18M,-44.04M,,107.14M,0.284M,,,-15.26M,,
2007-03,67.54M,,,,2.089M,11.45M,11.45M,-0.072M,,,,1.231M,44.74M,-15.76M,1.33M,-25.48M,,-0.443M,-0.328M,4.06M,86.30M,-26.75M,,-26.75M,,-27.02M,,-53.78M,,,0.263M,-35.84M,-35.57M,,-4.477M,,4.587M,-35.46M,154.12M,-2.938M,,151.18M,0.263M,,,-35.84M,,
2006-12,47.66M,,,,-11.61M,11.53M,11.53M,2.585M,,,,1.624M,-9.802M,-25.38M,9.356M,-9.075M,,6.265M,13.75M,-14.88M,36.91M,-31.25M,,-31.25M,0.00,-6.29M,,-37.54M,,,0.221M,-37.02M,-36.80M,,-4.527M,,1.445M,-39.89M,194.63M,-40.51M,,154.12M,0.221M,,,-37.02M,,
2006-09,79.00M,,,,7.029M,9.48M,9.48M,6.046M,,,,1.064M,68.36M,41.53M,-4.543M,-50.58M,,-15.16M,-13.75M,25.86M,128.48M,-21.69M,,-21.69M,0.00,18.90M,,-2.786M,,,0.243M,-46.04M,-45.79M,,-4.609M,,1.484M,-48.92M,117.86M,76.77M,,194.63M,0.243M,,,-46.04M,,
2006-06,93.10M,,,,-2.101M,10.68M,10.68M,1.11M,,,,2.819M,-86.12M,3.477M,-6.988M,69.00M,,10.08M,3.075M,-7.477M,98.14M,-35.26M,,-35.26M,0.00,-8.501M,,-43.76M,,,0.78M,-33.06M,-32.28M,,-2.909M,,4.061M,-31.13M,94.61M,23.24M,,117.86M,0.78M,,,-33.06M,,
2006-03,46.80M,,,,-20.26M,8.574M,8.574M,-1.761M,,,,,30.57M,-53.42M,0.787M,-35.71M,,9.154M,-3.075M,-51.70M,-18.34M,-32.24M,,-32.24M,48.87M,103.25M,,119.89M,,,1.401M,-59.27M,-57.87M,,-2.957M,,4.826M,-56.00M,49.06M,45.55M,,94.61M,1.401M,,,-59.27M,,
2005-12,39.88M,,,,3.507M,9.481M,9.481M,-5.953M,,,,-3.819M,70.74M,3.133M,0.805M,-21.91M,,-11.78M,4.274M,45.26M,88.36M,-48.20M,,-47.37M,0.00,-8.615M,-0.686M,-56.67M,,-8.572M,51.83M,-49.86M,1.962M,,6.475M,,-58.80M,-58.93M,76.31M,-27.24M,,49.06M,51.83M,,,-49.86M,,
2005-09,61.72M,,,,1.706M,9.39M,9.39M,-0.698M,,,,4.349M,-78.90M,13.40M,1.601M,74.49M,,7.606M,-4.274M,13.93M,90.40M,-29.42M,,-29.42M,18.51M,-63.18M,-38.95M,-113.04M,,0.00,0.167M,-53.99M,-53.82M,,-12.66M,,53.84M,-12.64M,111.60M,-35.29M,,76.31M,0.167M,,,-53.99M,,
2005-06,52.42M,,,,1.943M,13.13M,13.13M,0.012M,,,,-2.741M,-4.768M,17.12M,-2.363M,-30.46M,,19.52M,1.865M,0.908M,65.67M,106.08M,,106.08M,-140.36M,-2.90M,18.51M,-18.67M,,34.58M,0.246M,-26.10M,-25.86M,,-2.537M,,-5.027M,1.159M,63.44M,48.16M,,111.60M,0.246M,,,-26.10M,,
2005-03,13.63M,,,,4.778M,11.82M,11.82M,0.817M,,,,,-104.64M,-31.86M,0.752M,122.56M,,-9.187M,-1.865M,-24.24M,6.807M,-134.73M,,-134.73M,,20.65M,-17.67M,-131.75M,,122.38M,2.323M,-0.808M,1.515M,,-2.52M,,-0.445M,120.92M,67.46M,-4.021M,,63.44M,2.323M,,,-0.808M,,
