,NetIncome,Gain/LossonSaleBusiness,OperatingGainsLosses,DepreciationExpense,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2018-03,330.08M,,53.10M,,193.42M,193.42M,105.24M,,21.13M,,-2.961M,-257.07M,-69.40M,6.183M,134.07M,,,-338.29M,-524.52M,187.73M,,-114.04M,13.03M,-101.00M,-55.96M,0.00,3.252M,-153.72M,,189.66M,8.035M,197.70M,,-160.43M,-160.43M,-187.82M,-187.82M,66.09M,-17.61M,-102.07M,,1.114B,-68.06M,1.235M,1.047B,,,1.000B,-810.36M,-160.43M,142.22M,90.60M,,AOR,Restated
2017-12,284.11M,,,,190.65M,190.65M,40.71M,,23.66M,,13.34M,394.70M,33.62M,-5.172M,-213.00M,,,76.65M,286.80M,850.43M,,-122.32M,2.156M,-120.16M,-147.64M,,,-267.80M,,-1.229M,-114.84M,-116.06M,,-200.43M,-200.43M,-172.06M,-172.06M,115.22M,-9.492M,-382.82M,,909.20M,199.80M,4.94M,1.114B,,,3.953M,-5.182M,-200.43M,47.13M,64.22M,,AOR,Restated
2017-09,367.64M,,,,179.66M,179.66M,-3.706M,,27.96M,,14.04M,-294.99M,-166.99M,-28.31M,24.69M,,,-46.22M,-511.82M,82.78M,,-136.26M,1.722M,-134.54M,,,,-134.54M,,-3.674M,745.10M,741.43M,,-550.10M,-550.10M,-174.86M,-174.86M,57.08M,-0.644M,72.90M,,869.50M,21.13M,18.57M,909.20M,,,1.512M,-5.186M,-550.10M,28.71M,72.06M,,AOR,Restated
2017-06,305.17M,,,,234.72M,234.72M,-11.56M,,18.32M,,13.74M,312.98M,-32.99M,2.331M,336.96M,,,-30.95M,588.34M,1.150B,,-272.60M,4.624M,-267.98M,-11.34M,,,-272.53M,,754.94M,-1.167B,-411.81M,,-355.05M,-355.05M,-176.84M,-176.84M,29.47M,-3.748M,-917.98M,,855.13M,-40.36M,54.73M,869.50M,,,751.82M,3.116M,-355.05M,88.31M,21.60M,,AOR,Restated
2017-03,238.28M,,,,218.32M,218.32M,-21.97M,,22.80M,,11.01M,-317.04M,94.52M,4.336M,207.04M,,,-25.59M,-36.73M,443.02M,,-128.08M,7.452M,-120.63M,0.00,,,-120.63M,,-57.08M,286.87M,229.80M,,-350.76M,-350.76M,-178.42M,-178.42M,61.41M,-10.35M,-248.33M,,847.29M,74.06M,-66.22M,855.13M,,,-28.93M,-28.15M,-350.76M,213.40M,134.53M,,AOR,Restated
2016-12,275.17M,,,,237.27M,237.27M,-29.69M,,17.63M,,14.08M,164.54M,-25.42M,14.15M,-297.11M,,,10.40M,-133.44M,385.46M,,-143.44M,7.378M,-136.06M,0.00,,,-136.06M,,6.042M,556.80M,562.84M,,-580.17M,-580.17M,-170.09M,-170.09M,81.61M,-15.55M,-121.36M,,759.90M,128.04M,-40.65M,847.29M,,,29.74M,-23.70M,-580.17M,435.28M,10.46M,,AOR,Restated
2016-09,323.89M,,,,211.68M,211.68M,11.37M,,25.13M,,-0.269M,-140.03M,-149.76M,-12.66M,-3.183M,,,-15.73M,-321.36M,253.94M,,-142.26M,4.261M,-137.99M,-2.910B,,,-3.048B,,-93.73M,442.78M,349.04M,,-600.14M,-600.14M,-173.29M,-173.29M,32.31M,-2.846M,-394.93M,,3.919B,-3.189B,30.04M,759.90M,,,1.201M,-94.94M,-600.14M,24.41M,118.43M,,AOR,Restated
2016-06,215.67M,,101.23M,,202.05M,202.05M,-31.66M,,13.13M,23.94M,51.31M,147.52M,73.76M,-29.00M,350.35M,,,-123.71M,418.92M,999.37M,,-166.46M,10.89M,-155.58M,-51.52M,-11.40M,-168.27M,-386.77M,,3.057B,,3.057B,,-237.96M,-237.96M,-175.20M,-175.20M,59.66M,-63.80M,2.640B,,610.84M,3.252B,-112.22M,3.919B,,,3.106B,-48.96M,-237.96M,14.66M,41.22M,,AOR,Restated
2016-03,217.14M,,0.00,,179.26M,179.26M,-27.90M,,22.29M,-11.85M,19.00M,-123.97M,62.54M,10.72M,183.98M,,,-16.62M,116.65M,520.10M,,-112.65M,1.796M,-110.85M,-69.55M,-34.65M,0.00,-215.05M,,-42.40M,0.00,-42.40M,,-189.84M,-189.84M,-175.23M,-175.23M,90.83M,12.24M,-304.41M,,595.60M,0.643M,14.59M,610.84M,,,16.29M,-58.69M,-189.84M,132.75M,52.36M,,AOR,Restated
2015-12,272.40M,,0.00,,145.44M,145.44M,28.79M,,32.41M,-7.811M,-3.481M,160.18M,93.50M,9.647M,4.468M,,,-13.72M,254.07M,730.36M,,-126.99M,9.321M,-117.67M,-14.56M,,0.00,-132.22M,,1.993B,-717.60M,1.275B,,-1.522B,-1.522B,-169.40M,-169.40M,77.20M,-19.20M,-357.93M,,388.26M,240.21M,-32.86M,595.60M,,,2.008B,-15.50M,-1.522B,19.86M,12.62M,,AOR,Restated
2015-09,244.42M,,86.46M,,135.96M,135.96M,124.63M,,11.64M,-4.28M,1.65M,-211.04M,-162.87M,0.165M,-441.00M,,,-48.77M,-863.51M,-261.48M,,-121.24M,1.506M,-119.74M,-83.60M,,168.27M,-35.06M,,-5.050B,717.60M,-4.332B,,,,-179.04M,-179.04M,54.77M,18.78M,-4.437B,,5.130B,-4.734B,-7.841M,388.26M,,,4.148M,-5.054B,,13.30M,93.98M,,AOR,Restated
2015-06,73.03M,,,,141.18M,141.18M,-9.942M,,12.07M,-1.557M,-10.14M,165.28M,-27.84M,-12.05M,379.24M,,,-15.01M,489.61M,694.98M,,-105.54M,9.068M,-96.48M,-86.68M,0.00,0.67M,-182.49M,,-324.14M,0.00,-324.14M,,0.00,0.00,-178.73M,-178.73M,38.41M,1.557M,-462.90M,,5.085B,49.59M,-4.253M,5.130B,,,-4.313M,-319.82M,0.00,30.88M,76.97M,,AOR,Restated
2015-03,176.96M,,,,137.19M,137.19M,-1.567M,,17.24M,-6.034M,-3.905M,4.859M,116.72M,-4.997M,13.63M,,,-49.87M,80.34M,408.06M,,-139.22M,13.27M,-125.94M,0.00,0.00,-0.743M,-126.69M,,24.28M,0.00,24.28M,,0.00,0.00,-175.89M,-175.89M,79.27M,6.034M,-66.30M,,4.908B,215.07M,-38.04M,5.085B,,,36.84M,-12.57M,0.00,156.09M,42.21M,,AOR,Restated
2014-12,157.98M,,,,140.66M,140.66M,-3.136M,,32.30M,-7.174M,15.26M,85.72M,37.89M,13.56M,-97.32M,,,10.72M,50.58M,389.82M,,-179.25M,1.004M,-178.24M,2.897M,,-0.028M,-175.37M,,4.977B,-398.60M,4.579B,,0.00,0.00,-170.60M,-170.60M,87.31M,-153.07M,4.342B,,384.90M,4.557B,-33.90M,4.908B,,,4.995B,-17.41M,0.00,173.71M,23.84M,,AOR,Restated
2014-09,278.81M,,,,134.00M,134.00M,9.94M,,12.16M,-0.689M,2.523M,-267.60M,-252.00M,-7.019M,208.52M,,,-62.09M,-380.18M,62.62M,,-118.82M,1.126M,-117.70M,-32.07M,,-20.02M,-169.79M,,9.694M,268.60M,278.29M,,,,-170.05M,-170.05M,35.18M,-58.89M,84.53M,,413.05M,-22.64M,-5.506M,384.90M,,,13.90M,-4.207M,,15.83M,49.92M,,AOR,Restated
2014-06,254.17M,,,,138.70M,138.70M,8.787M,,13.46M,-2.289M,6.351M,114.44M,-61.05M,-8.537M,181.51M,,,-14.33M,212.03M,644.75M,,-135.76M,2.095M,-133.66M,-38.88M,,12.46M,-160.08M,,3.285M,-311.10M,-307.81M,,0.00,0.00,-169.44M,-169.44M,61.62M,1.908M,-413.73M,,341.09M,70.94M,1.011M,413.05M,,,6.543M,-3.258M,0.00,110.60M,12.68M,,AOR,Restated
2014-03,180.94M,,,,137.92M,137.92M,-12.33M,,16.96M,-1.971M,3.081M,-237.04M,-24.75M,-2.162M,345.99M,,,-24.94M,57.11M,389.90M,,-117.02M,0.215M,-116.80M,-18.00M,,-0.029M,-134.83M,,-197.64M,41.12M,-156.51M,,-65.74M,-65.74M,-169.49M,-169.49M,33.57M,-4.561M,-362.74M,,449.86M,-107.67M,-1.10M,341.09M,,,15.56M,-213.19M,-65.74M,112.13M,52.99M,,AOR,Restated
2013-12,210.84M,,,,137.40M,137.40M,-12.20M,,30.44M,-3.733M,0.083M,120.72M,24.81M,0.178M,-227.80M,,,3.927M,-78.16M,288.94M,,-134.68M,12.91M,-121.78M,-21.12M,,-0.004M,-142.90M,,5.304M,68.66M,73.97M,,-16.04M,-16.04M,-164.14M,-164.14M,63.83M,-11.53M,-53.91M,,359.53M,92.13M,-1.796M,449.86M,,,12.95M,-7.647M,-16.04M,346.38M,11.05M,,AOR,Restated
2013-09,285.59M,,,,133.74M,133.74M,-14.93M,,13.46M,-0.487M,1.646M,-234.44M,-134.85M,-14.27M,130.18M,,,-4.86M,-258.24M,169.23M,,-135.75M,10.57M,-125.18M,-1.341M,,-12.51M,-139.03M,,-3.629M,235.81M,232.18M,,-250.60M,-250.60M,-164.14M,-164.14M,96.59M,0.487M,-85.48M,,412.28M,-55.28M,2.527M,359.53M,,,1.78M,-5.409M,-250.60M,22.22M,52.14M,,AOR,Restated
2013-06,283.04M,,,,130.06M,130.06M,13.94M,,13.40M,-2.722M,3.395M,214.43M,25.97M,6.878M,77.20M,,,-19.58M,304.89M,752.19M,,-138.81M,3.412M,-135.40M,-187.41M,,-0.058M,-322.87M,,-6.337M,95.50M,89.16M,,-400.57M,-400.57M,-166.22M,-166.22M,130.96M,2.722M,-343.95M,,331.52M,85.37M,-4.602M,412.28M,,,10.84M,-17.18M,-400.57M,118.63M,9.925M,,AOR,Restated
2013-03,201.42M,,,,130.40M,130.40M,-2.466M,,17.33M,-1.478M,1.823M,-251.11M,15.93M,3.459M,230.35M,,,14.33M,12.95M,372.62M,,-111.47M,8.886M,-102.59M,-15.80M,,-0.023M,-118.41M,,-259.40M,-48.10M,-307.50M,,-177.52M,-177.52M,-166.13M,-166.13M,406.84M,1.478M,-242.83M,,320.80M,11.38M,-0.668M,331.52M,,,7.147M,-266.55M,-177.52M,906.29M,185.34M,,AOR,Restated
2012-12,221.37M,,,,128.93M,128.93M,-10.96M,,28.70M,-0.348M,-0.487M,49.37M,-45.56M,17.56M,-257.39M,,,32.78M,-203.25M,173.58M,,-105.90M,1.836M,-104.07M,-134.08M,,-0.014M,-238.16M,,33.01M,48.10M,81.11M,,-141.39M,-141.39M,-157.66M,-157.66M,54.63M,0.348M,-162.96M,,548.42M,-227.53M,-0.078M,320.80M,,,42.38M,-9.366M,-141.39M,-460.73M,-117.70M,,AOR,Restated
2012-09,286.60M,,,,120.66M,120.66M,-28.64M,,10.72M,-0.008M,0.241M,-206.44M,-176.61M,-6.192M,183.71M,,,22.37M,-183.16M,213.20M,,-155.67M,1.393M,-154.28M,-60.16M,,-18.00M,-232.45M,,-0.317M,0.00,-0.317M,,-2.139M,-2.139M,-158.24M,-158.24M,36.22M,0.008M,-124.47M,,688.87M,-143.71M,3.262M,548.42M,,,1.106M,-1.423M,-2.139M,55.94M,54.11M,,AOR,Restated
2012-06,309.27M,,,,111.98M,111.98M,99.04M,,15.99M,0.00,0.309M,118.83M,68.75M,3.902M,-108.18M,,,-127.70M,-44.39M,495.89M,,-151.30M,2.333M,-148.97M,-27.25M,,13.06M,-163.16M,,542.29M,-393.24M,149.05M,,0.00,0.00,-158.06M,-158.06M,16.89M,-2.942M,4.943M,,350.46M,337.67M,0.729M,688.87M,,,741.51M,-199.21M,0.00,1.390B,223.68M,,AOR,Restated
2012-03,259.55M,,,,104.24M,104.24M,18.85M,,15.57M,-0.005M,-0.456M,-202.34M,-15.68M,-8.329M,165.31M,,,24.52M,-36.51M,369.77M,,-199.34M,1.537M,-197.80M,-46.59M,,-8.256M,-252.65M,,-1.447M,15.75M,14.30M,,0.00,0.00,-157.67M,-157.67M,37.13M,0.002M,-106.24M,,336.53M,10.89M,3.043M,350.46M,,,0.909M,-2.356M,0.00,-174.60M,-51.62M,,AOR,Restated
2011-12,250.11M,,,,101.08M,101.08M,-5.13M,,28.92M,-0.006M,-1.037M,172.12M,-69.97M,4.296M,-318.42M,,,107.14M,-104.82M,283.17M,,-207.31M,2.223M,-205.09M,-0.647M,,-8.258M,-213.99M,,-0.706M,264.14M,263.44M,,-138.93M,-138.93M,-153.35M,-153.35M,14.20M,-0.968M,-15.61M,,284.10M,53.57M,-1.141M,336.53M,,,1.197M,-1.903M,-138.93M,-421.13M,-5.235M,,AOR,Restated
2011-09,302.65M,,,,99.64M,99.64M,-290.67M,,9.842M,-0.004M,0.226M,-195.45M,-82.32M,-6.347M,403.25M,,,7.447M,126.58M,255.34M,,-226.55M,2.092M,-224.46M,-36.12M,,-13.26M,-273.83M,,-1.181M,-68.62M,-69.81M,,-133.37M,-133.37M,-153.79M,-153.79M,31.22M,0.004M,-325.75M,,639.76M,-344.23M,-11.43M,284.10M,,,0.984M,-2.165M,-133.37M,-21.91M,-52.76M,,AOR,Restated
2011-06,336.31M,,,,104.28M,104.28M,79.42M,,10.72M,-0.144M,-2.168M,49.29M,-10.10M,7.827M,-58.38M,,,-98.29M,-109.66M,425.76M,,-182.39M,3.783M,-178.60M,-65.66M,0.28M,-0.028M,-244.02M,,-188.65M,,-6.671M,-103.33M,0.00,-103.33M,,-151.66M,,0.144M,71.17M,,385.67M,252.91M,1.185M,639.76M,,-103.33M,-186.43M,-2.216M,0.00,249.76M,7.126M,,AOR,Restated
2011-03,258.48M,,,,100.08M,100.08M,-63.36M,,10.84M,-0.008M,-5.736M,-306.82M,-76.72M,-8.669M,406.18M,,,52.76M,66.72M,383.11M,,-136.63M,12.37M,-124.26M,-8.94M,0.33M,24.09M,-108.78M,,13.21M,,13.21M,37.77M,-6.158M,31.62M,,-151.32M,,0.001M,-106.50M,,209.76M,167.84M,8.078M,385.67M,,37.77M,15.20M,-1.995M,-6.158M,190.17M,52.78M,,AOR,Restated
2010-12,258.17M,,,,96.52M,96.52M,17.60M,,27.53M,0.00,-3.523M,183.39M,-82.26M,6.141M,-490.93M,,,29.38M,-354.29M,55.86M,,-174.50M,2.562M,-171.94M,-2.655M,0.308M,-5.047M,-179.33M,,172.77M,,172.77M,24.72M,-168.74M,-144.02M,,-147.22M,,0.00,-118.48M,,448.37M,-241.94M,3.322M,209.76M,,24.72M,175.01M,-2.248M,-168.74M,432.61M,4.838M,,AOR,Restated
2010-09,299.07M,,,,101.71M,101.71M,-198.90M,,10.15M,-0.277M,1.973M,-178.50M,-85.65M,-4.958M,243.00M,,,33.50M,7.385M,226.78M,,-142.92M,0.354M,-142.57M,-23.89M,24.08M,-5.044M,-147.43M,,-1.647M,,-1.647M,40.83M,-116.70M,-75.86M,,-146.87M,,0.277M,-224.10M,,585.44M,-144.75M,7.682M,448.37M,,40.83M,0.626M,-2.273M,-116.70M,35.18M,54.30M,,AOR,Restated
2010-06,337.78M,,,,105.76M,105.76M,30.37M,,14.38M,-0.25M,3.662M,3.094M,-27.16M,0.298M,86.44M,,,-148.38M,-85.71M,408.90M,,-156.53M,17.60M,-138.93M,-8.413M,-23.62M,11.10M,-159.86M,,-0.827M,,-0.827M,-54.07M,-138.15M,-192.22M,,-147.85M,,0.25M,-245.90M,,586.85M,3.146M,-4.557M,585.44M,,-54.07M,1.672M,-2.499M,-138.15M,168.61M,7.691M,,AOR,Restated
2010-03,247.65M,,,,94.78M,94.78M,20.52M,,12.07M,-0.043M,-1.648M,-115.92M,42.62M,-7.876M,52.86M,,,-27.11M,-55.44M,330.11M,,-190.50M,1.684M,-188.81M,-11.72M,60.28M,-6.907M,-147.16M,,-1.756M,,-1.756M,17.15M,-41.02M,-23.87M,,-148.15M,,0.036M,-173.74M,,574.88M,9.21M,2.759M,586.85M,,17.15M,0.839M,-2.595M,-41.02M,213.65M,52.05M,,AOR,Restated
2009-12,268.35M,,,,95.52M,95.52M,34.79M,,27.16M,-0.01M,-7.459M,46.57M,-35.46M,5.549M,-329.98M,,,-20.04M,-333.36M,104.82M,,-138.17M,1.076M,-137.09M,-0.827M,-32.94M,-6.928M,-177.79M,,-0.845M,,-0.845M,15.01M,0.00,15.01M,,-142.04M,,0.01M,-127.86M,,773.77M,-200.84M,1.957M,574.88M,,15.01M,2.163M,-3.008M,0.00,424.87M,8.161M,,AOR,Restated
2009-09,326.20M,,,,93.91M,93.91M,-207.55M,,12.75M,-0.465M,7.995M,-100.17M,-86.17M,-4.242M,107.02M,,,-107.68M,-191.24M,41.60M,,-109.40M,1.346M,-108.06M,-8.334M,-27.22M,-27.90M,-171.51M,,-0.176M,,-0.176M,21.91M,0.00,21.91M,,-141.73M,,0.465M,-119.53M,,1.019B,-249.44M,4.555M,773.77M,,21.91M,2.417M,-2.593M,0.00,334.83M,59.51M,,AOR,Restated
2009-06,315.31M,,,,98.19M,98.19M,-789.89M,,9.286M,,10.18M,114.62M,80.97M,3.479M,820.31M,,,-70.43M,948.95M,592.02M,,-149.70M,22.02M,-127.68M,-164.21M,0.00,-0.144M,-292.03M,,1.756M,,1.756M,13.33M,0.00,13.33M,,-141.56M,,-0.583M,-127.06M,,899.12M,172.93M,18.28M,1.019B,,13.33M,4.151M,-2.395M,0.00,225.62M,8.139M,,AOR,Restated
2009-03,226.17M,,,,93.54M,93.54M,158.28M,,11.62M,,30.33M,47.36M,154.48M,-6.301M,-293.72M,,,1.226M,-96.96M,422.98M,,-136.26M,1.147M,-135.12M,-37.59M,0.00,-0.173M,-172.88M,,490.98M,,490.98M,12.82M,-80.09M,-67.27M,,-142.00M,,-2.963M,278.74M,,373.07M,528.84M,-2.797M,899.12M,,12.82M,493.14M,-2.168M,-80.09M,436.32M,44.89M,,AOR,Restated
2008-12,237.65M,,0.02M,,96.26M,96.26M,154.63M,,24.30M,,18.77M,192.43M,42.79M,7.315M,-341.71M,,,65.93M,-33.24M,498.38M,,-98.55M,1.054M,-97.50M,-2.743M,0.00,-0.464M,-100.70M,,4.134M,,4.134M,12.09M,-240.36M,-228.27M,,-132.30M,,-0.226M,-356.66M,,345.62M,41.01M,-13.56M,373.07M,,12.09M,8.163M,-4.029M,-240.36M,31.40M,11.13M,,,Restated
2008-09,276.81M,,-0.02M,,94.35M,94.35M,182.82M,,10.83M,,11.77M,-165.66M,-100.65M,-5.171M,-177.99M,,,-63.73M,-513.21M,63.37M,,-80.05M,1.023M,-79.02M,-13.53M,0.00,-0.49M,-93.05M,,-0.428M,,-0.428M,73.54M,-118.39M,-44.85M,,-132.38M,,3.00M,-174.66M,,551.55M,-204.34M,-1.585M,345.62M,,73.54M,1.153M,-1.581M,-118.39M,42.42M,44.45M,,,Restated
2008-06,334.11M,,-0.251M,,96.78M,96.78M,192.91M,,19.50M,,6.258M,10.41M,1.942M,-1.334M,-74.33M,-4.427M,,21.94M,-45.80M,603.51M,,-123.26M,1.892M,-121.36M,-4.795M,,-0.452M,-126.61M,,-64.66M,,-64.66M,25.80M,0.00,25.80M,,-132.13M,,1.052M,-169.94M,,243.92M,306.96M,0.675M,551.55M,,25.80M,2.08M,-66.74M,0.00,143.60M,9.816M,,,Restated
2008-03,240.90M,,-1.843M,,95.11M,95.11M,149.29M,,18.04M,3.029M,-14.16M,-1.881M,53.39M,2.291M,21.30M,4.427M,,-2.175M,77.36M,591.72M,,-115.15M,6.717M,-108.44M,-15.74M,,1.376M,-122.80M,,265.24M,-361.95M,-96.72M,18.09M,-176.35M,-158.26M,232.13M,-133.20M,,-3.862M,-392.04M,,168.79M,76.88M,-1.745M,243.92M,,18.09M,752.55M,-487.32M,-176.35M,109.12M,32.84M,,,Restated
2007-12,264.15M,,-0.451M,,90.18M,90.18M,146.11M,,27.92M,-0.246M,27.68M,7.64M,-28.02M,52.91M,-361.10M,,,1.228M,-327.34M,209.14M,,-146.01M,3.64M,-142.37M,-8.979M,,-0.756M,-152.10M,,-0.854M,167.83M,166.98M,31.51M,-163.35M,-131.84M,-115.79M,-115.79M,,0.239M,-80.41M,,190.15M,-23.38M,2.008M,168.79M,,31.51M,2.569M,-3.423M,-163.35M,257.62M,20.51M,,AOR,
