,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,AmortizationExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2017-12,1.359B,1.376B,347.80M,1.028B,38.80M,544.60M,583.40M,,,,23.60M,6.40M,-17.20M,,583.40M,444.40M,6.40M,23.60M,-17.20M,-27.80M,-17.20M,399.40M,-23.20M,422.60M,,-14.40M,,408.20M,408.20M,457.60M,34.60M,423.00M,,1.00,,,1.00,1.00,,0.99,,,0.99,0.99,,410.00M,410.80M,0.29,,AOR,Restated
2017-09,1.322B,1.338B,388.10M,949.60M,29.50M,559.80M,589.30M,,,,23.60M,2.50M,-21.10M,,589.30M,360.30M,2.50M,23.60M,-21.10M,58.50M,-21.10M,397.70M,123.10M,274.60M,,-7.10M,,267.50M,267.50M,451.00M,29.70M,421.30M,,0.65,,,0.65,0.65,,0.65,,,0.65,0.65,,410.00M,410.50M,0.29,,AOR,Restated
2017-06,1.238B,1.254B,366.20M,888.20M,29.10M,540.80M,569.90M,,3.20M,-1.90M,23.60M,1.60M,-22.00M,,569.90M,318.30M,1.60M,23.60M,-22.00M,45.80M,-22.00M,342.20M,92.60M,249.60M,,-10.00M,,239.60M,237.41M,392.00M,26.20M,365.80M,,0.58,,,0.5745,0.58,,0.58,,,0.5745,0.58,,397.50M,397.90M,0.29,,AOR,Restated
2017-03,1.173B,1.193B,397.50M,795.10M,24.40M,512.80M,537.20M,,,,24.00M,2.90M,-21.10M,,537.20M,257.90M,2.90M,24.00M,-21.10M,53.10M,-21.10M,289.90M,75.70M,214.20M,,-2.20M,,212.00M,212.00M,340.20M,26.30M,313.90M,,0.52,,,0.52,0.52,,0.52,,,0.52,0.52,,395.50M,395.80M,0.28,,AOR,Restated
2016-12,1.174B,1.195B,329.60M,865.10M,35.20M,490.70M,525.90M,,,,23.50M,3.50M,-20.00M,,525.90M,339.20M,3.50M,23.50M,-20.00M,-8.20M,-20.00M,311.00M,92.90M,218.10M,,8.40M,,226.50M,226.50M,360.20M,25.70M,334.50M,,0.55,,,0.55,0.55,,0.55,,,0.55,0.55,,396.30M,396.60M,0.28,,AOR,Restated
2016-09,1.183B,1.202B,345.10M,856.50M,26.40M,523.80M,550.20M,,,,23.90M,2.60M,-21.30M,,550.20M,306.30M,2.60M,23.90M,-21.30M,60.70M,-21.30M,345.70M,89.80M,255.90M,,-14.70M,,241.20M,241.20M,395.20M,25.60M,369.60M,,0.58,,,0.58,0.58,,0.58,,,0.58,0.58,,400.20M,400.50M,0.28,,AOR,Restated
2016-06,1.159B,1.189B,350.30M,839.10M,28.30M,509.30M,537.60M,,,,22.10M,2.50M,-19.60M,,537.60M,301.50M,2.50M,22.10M,-19.60M,38.30M,-19.60M,320.20M,83.70M,236.50M,,-11.00M,,225.50M,225.50M,367.50M,25.20M,342.30M,,0.54,,,0.54,0.54,,0.54,,,0.54,0.54,,406.40M,406.60M,0.28,,AOR,Restated
2016-03,1.126B,1.149B,344.40M,804.30M,24.90M,505.00M,529.90M,,,,23.90M,3.60M,-20.30M,,529.90M,274.40M,3.60M,23.90M,-20.30M,-24.40M,-20.30M,229.70M,71.90M,157.80M,,3.20M,,161.00M,161.00M,278.30M,24.70M,253.60M,,0.38,,,0.38,0.38,,0.38,,,0.38,0.38,,407.70M,407.90M,0.27,,AOR,Restated
2015-12,1.212B,1.240B,349.80M,889.90M,34.10M,552.20M,586.30M,,,,23.00M,5.50M,-17.50M,,586.30M,303.60M,5.50M,23.00M,-17.50M,-4.40M,-17.50M,281.70M,86.90M,194.80M,,7.10M,,201.90M,201.90M,329.70M,25.00M,304.70M,,0.48,0.00,,0.48,0.48,,0.48,0.00,,0.48,0.48,,412.30M,412.70M,0.27,,AOR,Restated
2015-09,1.247B,1.274B,337.60M,935.90M,24.90M,558.30M,583.20M,,,,20.40M,2.40M,-18.00M,,583.20M,352.70M,2.40M,20.40M,-18.00M,7.00M,-18.00M,341.70M,100.40M,241.30M,,8.00M,,249.30M,249.30M,384.70M,22.60M,362.10M,,0.58,,,0.58,0.58,,0.58,,,0.58,0.58,,418.00M,418.30M,0.27,,AOR,Restated
2015-06,1.282B,1.318B,347.20M,970.90M,29.70M,577.20M,606.90M,,,,19.60M,2.60M,-17.00M,,606.90M,364.00M,2.60M,19.60M,-17.00M,6.40M,-17.00M,353.40M,109.40M,244.00M,,13.30M,,257.30M,257.30M,396.30M,23.30M,373.00M,,0.60,,,0.60,0.60,,0.60,,,0.60,0.60,,420.90M,421.20M,0.27,,AOR,Restated
2015-03,1.262B,1.292B,360.90M,930.70M,26.70M,565.90M,592.60M,,,,18.70M,2.50M,-16.20M,,592.60M,338.10M,2.50M,18.70M,-16.20M,63.40M,-16.20M,385.30M,101.30M,284.00M,,-24.40M,,259.60M,259.60M,426.70M,22.70M,404.00M,,0.60,,,0.60,0.60,,0.60,,,0.60,0.60,,420.90M,421.20M,0.25,,AOR,Restated
2014-12,1.244B,1.277B,345.70M,931.00M,31.90M,550.90M,582.80M,,,,-80.00M,-145.20M,-65.20M,,582.80M,348.20M,-145.20M,-80.00M,-65.20M,43.60M,-65.20M,326.60M,99.70M,226.90M,-1.00M,43.90M,,269.80M,270.80M,268.60M,22.00M,246.60M,,0.63,-0.01,,0.63,0.62,,0.62,-0.01,,0.62,0.62,,421.10M,421.70M,0.25,,AOR,Restated
2014-09,1.278B,1.311B,343.80M,967.20M,26.60M,611.00M,637.60M,,,,55.60M,56.00M,0.40M,,637.60M,329.60M,56.00M,55.60M,0.40M,17.10M,0.40M,347.10M,94.90M,252.20M,-0.60M,4.40M,,256.00M,256.60M,424.30M,21.60M,402.70M,,0.59,0.00,,0.59,0.59,,0.59,0.00,,0.59,0.59,,422.60M,423.10M,0.25,,AOR,Restated
2014-06,1.252B,1.290B,342.90M,947.00M,30.20M,562.00M,592.20M,,,,48.50M,51.10M,2.60M,,592.20M,354.80M,51.10M,48.50M,2.60M,66.20M,2.60M,423.60M,107.00M,316.60M,0.20M,-42.30M,,274.50M,274.30M,494.50M,22.40M,472.10M,,0.63,0.00,,0.63,0.63,,0.63,0.00,,0.63,0.63,,423.70M,424.40M,0.25,,AOR,Restated
2014-03,1.235B,1.270B,362.10M,907.40M,23.40M,639.70M,663.10M,,,,49.00M,51.20M,2.20M,,663.10M,244.30M,51.20M,49.00M,2.20M,51.30M,2.20M,297.80M,89.00M,208.80M,-2.00M,-19.00M,,187.80M,189.80M,370.20M,23.40M,346.80M,,0.43,0.00,,0.43,0.43,,0.43,0.00,,0.43,0.43,,423.50M,424.10M,0.225,,AOR,Restated
2013-12,1.194B,1.225B,333.40M,891.70M,30.00M,568.40M,598.40M,,,0.00,41.70M,45.70M,4.00M,,598.40M,293.30M,45.70M,41.70M,4.00M,41.30M,4.00M,338.60M,74.20M,264.40M,66.40M,-43.40M,,287.40M,221.00M,402.70M,22.40M,380.30M,,0.50,0.15,,0.50,0.65,,0.50,-0.01,,0.50,0.64,,383.90M,384.60M,0.225,,AOR,Restated
2013-09,1.140B,1.172B,330.30M,841.50M,22.60M,532.90M,555.50M,,,0.00,43.20M,49.00M,5.80M,,555.50M,286.00M,49.00M,43.20M,5.80M,51.20M,5.80M,343.00M,92.90M,250.10M,-1.40M,-20.60M,,228.10M,229.50M,408.00M,21.80M,386.20M,,0.51,0.00,,0.51,0.51,,0.51,0.00,,0.51,0.51,,447.90M,448.80M,0.225,,AOR,Restated
2013-06,1.107B,1.136B,324.10M,811.40M,23.80M,511.90M,535.70M,,,-1.80M,40.60M,52.80M,12.20M,,535.70M,275.70M,52.80M,40.60M,12.20M,3.90M,12.20M,291.80M,83.50M,208.30M,-4.60M,-1.10M,,202.60M,208.49M,354.30M,21.90M,332.40M,,0.46,-0.01,,0.4629,0.45,,0.45,-0.01,,0.4529,0.45,,449.10M,450.10M,0.225,,AOR,Restated
2013-03,1.087B,1.112B,341.50M,770.70M,22.20M,480.10M,502.30M,,,-1.40M,42.40M,52.50M,10.10M,,502.30M,268.40M,52.50M,42.40M,10.10M,3.30M,10.10M,281.80M,86.30M,195.50M,4.10M,22.60M,,222.20M,219.07M,346.50M,22.30M,324.20M,,0.49,0.01,,0.4922,0.50,,0.49,-0.01,,0.4922,0.49,,447.80M,449.00M,0.1725,,AOR,Restated
2012-12,1.020B,1.047B,322.00M,724.70M,23.10M,493.50M,516.60M,,,-18.60M,46.60M,54.80M,8.20M,,516.60M,208.10M,54.80M,46.60M,8.20M,-43.50M,8.20M,172.80M,55.60M,117.20M,10.80M,30.70M,,158.70M,160.52M,241.90M,22.50M,219.40M,,0.33,0.02,,0.3580,0.36,,0.33,0.00,,0.3579,0.35,,449.90M,451.40M,0.1725,,AOR,Restated
2012-09,989.60M,1.014B,315.20M,698.70M,26.30M,458.50M,484.80M,,,-3.00M,54.50M,71.20M,16.70M,,484.80M,213.90M,71.20M,54.50M,16.70M,-4.60M,16.70M,226.00M,72.30M,153.70M,3.20M,13.70M,,170.60M,169.44M,302.10M,21.60M,280.50M,,0.37,0.01,,0.3745,0.38,,0.37,0.00,,0.3745,0.38,,451.30M,452.80M,0.1725,,AOR,Restated
2012-06,955.90M,981.80M,288.30M,693.50M,26.40M,466.20M,492.60M,,,-1.10M,60.30M,70.90M,10.60M,,492.60M,200.90M,70.90M,60.30M,10.60M,75.30M,10.60M,286.80M,61.20M,225.60M,2.00M,-73.70M,,153.90M,92.01M,373.70M,26.60M,347.10M,,0.33,0.01,,0.1980,0.34,,0.33,0.01,,0.1985,0.34,,453.80M,455.30M,0.1725,,AOR,Restated
2012-03,1.001B,1.034B,318.50M,715.20M,26.70M,457.20M,483.90M,,,-1.50M,59.20M,71.40M,12.20M,,483.90M,231.30M,71.40M,59.20M,12.20M,-95.10M,12.20M,148.40M,73.60M,74.80M,,119.10M,,193.90M,274.11M,231.90M,24.30M,207.60M,,0.43,,,0.6066,0.43,,0.43,,,0.6059,0.43,,454.30M,455.90M,0.1225,,AOR,Restated
2011-12,751.80M,887.20M,1.181B,-293.50M,20.40M,-538.90M,-518.50M,,,219.70M,66.10M,76.30M,10.20M,,-518.50M,225.00M,76.30M,66.10M,10.20M,134.70M,10.20M,369.90M,69.90M,300.00M,,-107.60M,,202.30M,14.22M,458.10M,22.10M,436.00M,,0.42,0.02,,0.0300,0.45,,0.42,0.00,,0.0313,0.44,,456.90M,458.40M,0.1225,,AOR,Restated
2011-09,997.80M,997.80M,,997.80M,13.10M,756.90M,770.00M,,,-112.80M,64.00M,83.40M,19.40M,,770.00M,227.80M,83.40M,64.00M,19.40M,-104.70M,19.40M,142.50M,59.10M,83.40M,,83.50M,,166.90M,240.22M,241.80M,35.30M,206.50M,,0.36,0.00,,0.5196,0.36,,0.36,0.00,,0.5190,0.36,,459.50M,461.00M,0.1225,,AOR,Restated
2011-06,1.07B,1.07B,,1.07B,26.10M,810.90M,837.00M,,,-58.70M,62.50M,82.20M,19.70M,,837.00M,233.00M,82.20M,62.50M,19.70M,-47.90M,19.70M,204.80M,75.40M,129.40M,,53.60M,,183.00M,220.09M,299.40M,32.10M,267.30M,,0.39,0.00,,0.4697,0.39,,0.39,0.00,,0.4694,0.39,,465.50M,467.40M,0.1225,,AOR,Restated
2011-03,1.027B,1.027B,,1.027B,25.70M,775.90M,801.60M,,,-77.60M,56.20M,76.30M,20.10M,,801.60M,225.70M,76.30M,56.20M,20.10M,-70.90M,20.10M,174.90M,75.60M,99.30M,,78.20M,,177.50M,227.94M,259.00M,27.90M,231.10M,,0.38,0.00,,0.4873,0.38,,0.38,0.00,,0.4868,0.38,,469.90M,472.10M,0.11,,AOR,Restated
2010-12,933.30M,1.028B,1.115B,-86.40M,25.60M,-460.70M,-435.10M,,,-302.20M,52.60M,68.60M,16.00M,,-435.10M,348.70M,68.60M,52.60M,16.00M,-152.30M,16.00M,212.40M,55.70M,156.70M,,18.50M,,175.20M,398.15M,296.30M,31.30M,265.00M,,0.37,,,0.8438,0.37,,0.37,,,0.8413,0.37,,470.60M,473.10M,0.11,,AOR,Restated
2010-09,953.10M,953.10M,,953.10M,19.60M,750.60M,770.20M,,,-133.70M,51.70M,73.70M,22.00M,,770.20M,182.90M,73.70M,51.70M,22.00M,-123.00M,22.00M,81.90M,54.50M,27.40M,,127.30M,,154.70M,241.60M,159.90M,26.30M,133.60M,,0.32,0.00,,0.5023,0.32,,0.32,0.00,,0.5014,0.32,,476.60M,479.10M,0.11,,AOR,
2010-06,787.00M,787.00M,,787.00M,17.60M,698.00M,715.60M,,,177.90M,39.70M,54.90M,15.20M,,715.60M,71.40M,54.90M,39.70M,15.20M,188.30M,15.20M,274.90M,36.70M,238.20M,,-197.40M,,40.80M,-113.35M,335.40M,20.80M,314.60M,,0.09,0.00,,-0.2488,0.09,,0.09,0.00,,-0.2467,0.09,,455.00M,457.80M,0.11,,AOR,Restated
2010-03,719.10M,719.10M,,719.10M,28.30M,553.90M,582.20M,,,101.00M,33.20M,54.10M,20.90M,,582.20M,136.90M,54.10M,33.20M,20.90M,106.80M,20.90M,264.60M,50.10M,214.50M,,-119.50M,,95.00M,13.12M,316.10M,18.30M,297.80M,,0.22,0.00,,0.0335,0.22,,0.21,0.00,,0.0249,0.21,,439.00M,442.40M,0.1025,,AOR,Restated
2009-12,747.80M,747.80M,,747.80M,30.40M,556.90M,587.30M,,,25.90M,15.20M,2.10M,-13.10M,,587.30M,160.50M,2.10M,15.20M,-13.10M,35.00M,-13.10M,182.40M,48.20M,134.20M,,-23.30M,,110.90M,91.84M,222.50M,24.90M,197.60M,,0.26,0.00,,0.2161,0.26,,0.25,0.00,,0.2068,0.25,,434.30M,441.00M,0.1025,,AOR,Restated
2009-09,705.80M,705.80M,,705.80M,27.70M,526.50M,554.20M,,,4.10M,16.90M,1.70M,-15.20M,,554.20M,151.60M,1.70M,16.90M,-15.20M,12.00M,-15.20M,148.40M,43.70M,104.70M,,0.50M,,105.20M,102.31M,185.30M,20.00M,165.30M,,0.24,0.00,,0.2333,0.24,,0.24,0.00,,0.2334,0.24,,431.60M,437.70M,0.1025,,AOR,Restated
2009-06,625.10M,625.10M,,625.10M,23.90M,490.80M,514.70M,,,-38.40M,16.50M,1.20M,-15.30M,,514.70M,110.40M,1.20M,16.50M,-15.30M,-30.90M,-15.30M,64.20M,36.00M,28.20M,,47.50M,,75.70M,100.66M,97.40M,16.70M,80.70M,,0.18,0.00,,0.2408,0.18,,0.18,0.00,,0.2399,0.18,,410.60M,416.80M,0.1025,,AOR,Restated
2009-03,548.60M,548.60M,,548.60M,26.90M,459.90M,486.80M,,,-90.70M,15.90M,4.80M,-11.10M,,486.80M,61.80M,4.80M,15.90M,-11.10M,-88.20M,-11.10M,-37.50M,20.30M,-57.80M,,88.50M,,30.70M,89.66M,-5.60M,16.00M,-21.60M,,0.08,0.00,,0.2296,0.08,,0.08,0.00,,0.2274,0.08,,394.10M,399.90M,0.10,,AOR,Restated
2008-12,634.40M,634.40M,,634.40M,31.30M,518.60M,549.90M,,,-78.70M,17.80M,7.20M,-10.60M,,549.90M,84.50M,7.20M,17.80M,-10.60M,-67.40M,-10.60M,6.50M,35.80M,-29.30M,,61.20M,,31.90M,83.06M,41.50M,17.20M,24.30M,,0.09,0.00,,0.2224,0.09,,0.09,0.00,,0.2206,0.09,,386.30M,391.80M,0.10,,AOR,Restated
2008-09,827.20M,827.20M,,827.20M,34.80M,597.20M,632.00M,,,-7.60M,18.30M,8.00M,-10.30M,,632.00M,195.20M,8.00M,18.30M,-10.30M,0.40M,-10.30M,185.30M,49.20M,136.10M,,-4.30M,,131.80M,137.38M,220.30M,16.70M,203.60M,,0.34,0.00,,0.3544,0.34,,0.33,0.00,,0.3440,0.33,,388.40M,399.30M,0.10,,,Restated
2008-06,935.60M,935.60M,,935.60M,38.20M,657.40M,695.60M,,,39.20M,19.30M,10.50M,-8.80M,,695.60M,240.00M,10.50M,19.30M,-8.80M,48.80M,-8.80M,280.00M,77.20M,202.80M,,-40.00M,,162.80M,134.41M,316.40M,17.10M,299.30M,,0.42,0.00,,0.3472,0.42,,0.41,0.00,,0.3391,0.41,,390.10M,400.70M,0.10,,,Restated
2008-03,910.40M,910.40M,,910.40M,43.90M,638.40M,682.30M,,,-50.80M,21.50M,11.50M,-10.00M,,682.30M,228.10M,11.50M,21.50M,-10.00M,-32.90M,-10.00M,185.20M,73.80M,111.40M,,43.80M,,155.20M,185.76M,223.30M,16.60M,206.70M,,0.40,0.00,,0.4784,0.40,,0.39,0.00,,0.4662,0.39,,390.00M,400.80M,0.22,,,Restated
2007-12,1.023B,1.023B,,,,,536.90M,,,-180.40M,,,,,779.40M,243.70M,,,,-159.40M,,320.90M,91.30M,175.90M,,-53.70M,,175.90M,304.97M,243.70M,-77.80M,243.70M,,0.44,0.00,,0.8152,0.44,,0.43,0.00,,0.7875,0.43,,344.00M,361.00M,0.00,,,
2007-09,976.60M,976.60M,,,,,720.10M,,,55.00M,,,,,720.10M,256.50M,,,,69.90M,,324.10M,92.70M,167.00M,,-64.40M,,167.00M,127.73M,366.20M,109.70M,256.50M,,0.42,0.00,,0.3218,0.42,,0.41,0.00,,0.3143,0.41,,400.00M,410.50M,0.164,,,
2007-06,979.00M,979.00M,,,,,717.00M,,,69.60M,,,,,717.00M,262.00M,,,,76.00M,,331.70M,91.40M,175.50M,,-64.80M,,175.50M,125.08M,277.90M,15.90M,262.00M,,0.44,0.00,,0.3768,0.44,,0.43,0.00,,0.3668,0.43,,797.80M,797.80M,0.208,,,
2007-03,900.20M,900.20M,,,,,668.10M,,,37.50M,,,,,668.10M,232.10M,,,,43.30M,,267.10M,81.90M,155.20M,,-30.00M,,155.20M,129.20M,248.40M,16.30M,232.10M,,0.39,0.00,,0.3587,0.39,,0.38,0.00,,0.3487,0.38,,831.89M,831.89M,0.00,,,
2006-12,1.487B,1.487B,,,,,1.020B,,,66.60M,,,,,1.250B,237.20M,,,,70.90M,,527.90M,76.10M,156.10M,,-295.70M,,156.10M,99.10M,237.20M,-90.10M,237.20M,,0.81,0.00,,0.7379,0.81,,0.79,0.00,,0.7197,0.79,,791.00M,810.70M,0.00,,,
2006-09,587.10M,587.10M,,,,,430.30M,,,6.80M,,,,,430.30M,156.80M,,,,6.80M,,150.50M,48.30M,102.00M,,-0.20M,,102.00M,97.38M,237.40M,80.60M,156.80M,,0.13,0.00,,0.1242,0.13,,0.13,0.00,,0.1243,0.13,,790.30M,809.60M,0.154,,,
2006-06,588.10M,588.10M,,,,,396.40M,,,6.60M,,,,,396.40M,191.70M,,,,6.60M,,184.20M,66.80M,117.10M,,-0.30M,,117.10M,112.89M,191.70M,,191.70M,,0.30,0.00,,0.2893,0.30,,0.30,0.00,,0.2895,0.30,,391.62M,401.98M,0.00,,,
2006-03,584.12M,584.12M,253.36M,330.76M,36.16M,107.96M,144.12M,,,,,,,,144.12M,186.64M,,,,,,171.70M,63.43M,107.57M,,-0.696M,,107.57M,107.57M,186.64M,,186.64M,,0.14,0.00,,0.14,0.14,,0.13,0.00,,0.13,0.13,,790.85M,827.47M,0.1905,,,
2005-12,1.251B,1.251B,,,,,868.90M,,,-226.00M,,,,,1.156B,94.40M,,,,-225.30M,,140.90M,27.80M,2.50M,,-110.60M,,2.50M,183.91M,128.70M,34.30M,94.40M,,0.0031,,,0.2248,0.0031,,0.0031,,,0.2248,0.0031,,818.11M,818.11M,0.00,,,
2005-09,536.20M,536.20M,,,,,423.10M,,,21.90M,,,,,423.10M,113.10M,,,,21.90M,,119.10M,43.80M,74.90M,,-0.40M,,74.90M,61.05M,131.13M,18.03M,113.10M,,0.09,0.00,,0.0726,0.09,,0.09,0.00,,0.0729,0.09,,794.10M,807.50M,0.1446,,,
2005-06,547.79M,547.79M,,,,,413.88M,,,-2.324M,,,,22.35M,436.23M,111.56M,,,,-2.324M,,111.56M,39.92M,71.27M,,-0.376M,,71.27M,72.76M,132.66M,21.10M,111.56M,,0.09,0.00,,0.0919,0.09,,0.09,0.00,,0.0919,0.09,,793.82M,801.16M,0.00,,,
2005-03,540.45M,540.45M,410.38M,130.07M,,,,,,2.661M,,,,,0.001M,130.07M,,,,2.661M,,111.64M,39.89M,71.60M,,-0.147M,,71.60M,69.89M,151.13M,21.07M,130.07M,,0.0907,0.00,,0.0885,0.0907,,0.0888,0.00,,0.0867,0.0888,,793.43M,800.67M,0.1879,,,
2004-12,569.49M,569.49M,,,,,,,,413.21M,,,,,1.622B,141.49M,,,,413.21M,,122.79M,50.54M,71.81M,,-0.444M,,71.81M,-176.12M,196.78M,55.29M,141.49M,,0.0886,,,-0.2172,0.0886,,0.0886,,,-0.2172,0.0886,,810.66M,810.66M,0.00,,,
