,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2018-06,241.90M,,,-7.30M,-7.30M,,32.40M,32.40M,40.90M,,18.50M,-171.30M,290.70M,0.70M,,120.10M,449.00M,,-25.60M,,-25.60M,,-1.469B,-27.10M,,-1.520B,,922.10M,,922.10M,,-7.60M,-7.60M,-124.40M,,-124.40M,,49.40M,839.50M,,2.122B,-231.20M,-57.20M,1.834B,,,1.347B,-425.30M,-7.60M,,,,AOR,Restated
2018-03,265.20M,,,-9.70M,-9.70M,,33.60M,33.60M,40.90M,,-3.40M,26.40M,-377.50M,-28.60M,,-379.70M,-52.20M,,-20.60M,,-20.60M,,,-277.20M,,-297.80M,,51.10M,,51.10M,,-39.30M,-39.30M,-119.60M,,-119.60M,,63.20M,-44.60M,,2.518B,-394.60M,38.50M,2.122B,,,53.00M,-1.90M,-39.30M,,,,AOR,Restated
2017-12,422.60M,,-81.00M,-3.60M,-84.60M,,34.60M,34.60M,40.40M,,41.60M,-285.10M,250.80M,-36.70M,,-71.00M,384.80M,,-29.00M,,-29.00M,,0.00,-500.90M,,-471.70M,,477.30M,,477.30M,,-5.20M,-5.20M,-118.90M,,-118.90M,,36.60M,389.80M,,2.202B,302.90M,12.60M,2.518B,,,925.00M,-447.70M,-5.20M,,,,AOR,Restated
2017-09,274.60M,,38.10M,-12.90M,25.20M,,29.70M,29.70M,42.40M,,-72.30M,-809.80M,954.50M,-59.60M,,85.10M,389.80M,,-22.80M,,-22.80M,,-299.20M,-273.00M,,-562.40M,,422.80M,,422.80M,,-1.30M,-1.30M,-119.00M,,-119.00M,,64.60M,367.10M,,1.974B,194.50M,33.90M,2.202B,,,428.10M,-5.30M,-1.30M,,,,AOR,Restated
2017-06,249.60M,,-27.20M,-10.50M,-37.70M,,26.20M,26.20M,43.30M,,-2.50M,-1.167B,1.279B,-137.70M,,-25.20M,256.70M,,-32.80M,,-32.80M,,,110.70M,,103.50M,,-340.50M,,-340.50M,,-4.80M,-4.80M,-118.90M,,-118.90M,,100.00M,-364.20M,,1.933B,-4.00M,43.20M,1.974B,,,519.30M,-859.80M,-4.80M,,,,AOR,Restated
2017-03,214.20M,,-10.90M,-17.70M,-28.60M,,26.30M,26.30M,49.20M,,-6.20M,-1.158B,956.10M,66.40M,,-135.20M,126.50M,,-27.10M,,-27.10M,,,-19.80M,,-43.80M,,-186.00M,,-186.00M,,-52.50M,-52.50M,-114.80M,,-114.80M,,129.60M,-223.70M,,2.070B,-141.00M,14.40M,1.933B,,,940.00M,-1.126B,-52.50M,,,,AOR,Restated
2016-12,218.10M,,,-11.40M,-18.80M,,25.70M,25.70M,41.30M,,2.50M,-1.135B,1.190B,-268.70M,,-213.20M,72.20M,,-46.40M,,-46.40M,,0.00,-201.00M,,-254.10M,,555.20M,,555.20M,,-110.30M,-110.30M,-114.10M,,-114.10M,,162.50M,493.30M,,1.581B,311.40M,-55.10M,2.070B,,,567.80M,-12.60M,-110.30M,151.00M,20.80M,,AOR,Restated
2016-09,255.90M,,,-5.50M,-5.50M,,25.60M,25.60M,39.30M,,-33.90M,-433.60M,574.40M,-69.40M,,71.40M,368.20M,,-36.00M,,-36.00M,,0.00,-240.20M,,-269.00M,,318.50M,,318.50M,,-180.70M,-180.70M,-115.70M,,-115.70M,,30.90M,53.00M,,1.446B,152.20M,-17.10M,1.581B,,,372.80M,-54.30M,-180.70M,49.50M,27.10M,,AOR,Restated
2016-06,236.50M,,,-4.60M,-4.60M,,25.20M,25.20M,40.40M,,-20.80M,-830.40M,959.50M,-160.30M,,-31.20M,245.80M,,-39.30M,,-39.30M,,-88.70M,-259.80M,,-375.70M,,358.20M,,358.20M,,-82.40M,-82.40M,-117.60M,,-117.60M,,15.10M,173.30M,,1.454B,43.40M,-51.70M,1.446B,,,387.30M,-29.10M,-82.40M,44.70M,20.50M,,AOR,Restated
2016-03,157.80M,,,12.20M,12.20M,,24.70M,24.70M,38.70M,,29.30M,-993.50M,679.80M,18.20M,,-295.50M,-32.20M,,-26.00M,,-26.00M,,-33.20M,-58.60M,,-107.10M,,-46.80M,,-46.80M,,-161.60M,-161.60M,-113.00M,,-113.00M,,71.90M,-249.50M,,1.851B,-388.80M,-8.10M,1.454B,,,0.00,-46.80M,-161.60M,53.90M,12.80M,,AOR,Restated
2015-12,194.80M,,38.60M,-3.10M,35.50M,,25.00M,25.00M,37.40M,,-15.50M,-321.50M,451.80M,164.50M,,294.80M,572.80M,,-36.40M,,-36.40M,,,-144.30M,,-175.30M,,280.40M,,280.40M,,-289.70M,-289.70M,-113.70M,,-113.70M,1.60M,16.40M,-105.00M,,1.591B,292.50M,-31.80M,1.851B,,,495.50M,-215.10M,-289.70M,156.00M,18.50M,,AOR,Restated
2015-09,241.30M,,6.60M,-8.20M,-1.60M,,22.60M,22.60M,36.20M,,16.40M,-2.118B,2.207B,-322.40M,,-234.30M,97.10M,,-37.70M,,-37.70M,,,-64.70M,,-91.70M,,430.10M,,430.10M,,-175.90M,-175.90M,-116.20M,,-116.20M,0.90M,18.50M,157.40M,,1.466B,162.80M,-37.80M,1.591B,,,1.146B,-715.80M,-175.90M,92.60M,15.20M,,AOR,Restated
2015-06,244.00M,,-1.80M,-12.00M,-13.80M,,23.30M,23.30M,36.00M,,28.50M,-417.00M,545.90M,67.20M,,196.10M,514.80M,,-27.40M,,-27.40M,,0.00,-23.60M,,-31.30M,,-66.40M,,-66.40M,,-81.50M,-81.50M,-116.50M,,-116.50M,0.50M,-19.00M,-282.90M,,1.220B,200.60M,45.40M,1.466B,,,10.00M,-76.40M,-81.50M,50.50M,21.10M,,AOR,Restated
2015-03,284.00M,,-6.40M,-11.80M,-18.20M,,22.70M,22.70M,40.70M,,-27.10M,-1.633B,1.313B,-38.90M,,-359.10M,-56.30M,,-23.00M,,-23.00M,,,-358.20M,,-366.50M,,370.10M,,370.10M,,-76.60M,-76.60M,-108.10M,,-108.10M,0.70M,-7.20M,178.90M,,1.514B,-243.90M,-50.60M,1.220B,,,935.90M,-565.80M,-76.60M,89.60M,12.70M,,AOR,Restated
2014-12,225.90M,,-4.60M,-6.40M,-11.00M,,22.00M,22.00M,33.70M,,43.20M,-32.00M,45.80M,-145.40M,,-131.60M,183.00M,,-46.50M,,-46.50M,,0.00,-335.80M,,-377.60M,,440.20M,0.00,440.20M,,-50.00M,-50.00M,-108.30M,,-108.30M,2.40M,102.10M,386.40M,,1.353B,191.80M,-30.20M,1.514B,,,656.70M,-216.50M,-50.00M,153.20M,20.60M,,AOR,Restated
2014-09,251.60M,,-4.30M,-10.90M,-15.20M,,21.60M,21.60M,34.30M,,1.20M,168.90M,-42.50M,43.80M,,170.20M,467.10M,,-36.90M,,-36.90M,,0.00,-450.80M,,-479.80M,,414.80M,0.00,414.80M,,-50.00M,-50.00M,-108.60M,,-108.60M,3.40M,-52.30M,207.30M,,1.196B,194.60M,-38.00M,1.353B,,,624.60M,-209.80M,-50.00M,97.30M,16.50M,,AOR,Restated
2014-06,316.80M,,-5.00M,-5.50M,-10.50M,,22.40M,22.40M,33.50M,,-53.00M,118.20M,-109.50M,437.00M,,445.70M,769.50M,,-28.40M,,-28.40M,,60.80M,-479.80M,,-425.30M,,-134.40M,0.00,-134.40M,,-50.00M,-50.00M,-109.10M,,-109.10M,3.70M,150.30M,-139.50M,,978.70M,204.70M,12.60M,1.196B,,,0.00,-134.40M,-50.00M,64.90M,22.20M,,AOR,Restated
2014-03,206.80M,,-6.50M,-10.00M,-16.50M,,23.40M,23.40M,36.50M,,-33.10M,-520.90M,272.10M,-188.30M,,-437.10M,-219.20M,,-21.40M,,-21.40M,,,-526.90M,,-544.50M,,553.90M,-35.70M,518.20M,,-119.60M,-119.60M,-98.00M,,-98.00M,1.50M,106.20M,408.30M,,1.331B,-355.40M,2.90M,978.70M,,,715.00M,-161.10M,-119.60M,90.20M,1.40M,,AOR,Restated
2013-12,330.80M,-65.30M,,-10.20M,-77.50M,,22.40M,22.40M,30.10M,,-60.00M,117.30M,-32.90M,-140.80M,,-56.40M,190.30M,,-21.20M,,-21.20M,,137.00M,-348.80M,-0.70M,-221.00M,,620.60M,35.70M,656.30M,,-350.00M,-350.00M,-100.50M,,-100.50M,4.90M,-34.50M,176.20M,,1.174B,145.50M,11.20M,1.331B,,,1.480B,-859.00M,-350.00M,85.90M,11.90M,,AOR,Restated
2013-09,248.70M,0.00,,-10.30M,-10.30M,,21.80M,21.80M,33.60M,,-40.90M,1.50M,153.60M,-87.40M,,67.70M,334.30M,,-26.70M,,-26.70M,,0.00,70.80M,0.00,59.50M,,-39.20M,0.00,-39.20M,,0.00,0.00,-100.80M,,-100.80M,2.20M,-36.90M,-174.70M,,916.20M,219.10M,39.20M,1.174B,,,457.90M,-497.10M,0.00,41.10M,4.10M,,AOR,Restated
2013-06,203.70M,0.10M,,-6.90M,-6.80M,,21.90M,21.90M,35.90M,,1.20M,-105.30M,180.20M,408.50M,,483.40M,740.20M,,-22.20M,,-22.20M,,0.00,-207.50M,-1.20M,-224.80M,,-277.30M,0.00,-277.30M,,-75.50M,-75.50M,-101.20M,,-101.20M,5.60M,-31.20M,-479.60M,,884.70M,35.80M,-4.30M,916.20M,,,-324.10M,46.80M,-75.50M,100.60M,13.80M,,AOR,Restated
2013-03,199.60M,0.40M,,-8.10M,-7.70M,,22.30M,22.30M,33.50M,,3.40M,-606.60M,353.80M,-483.90M,,-736.70M,-484.60M,,-18.10M,,-18.10M,,,160.70M,,146.40M,,581.50M,0.00,581.50M,,-45.00M,-45.00M,-77.20M,,-77.20M,5.20M,-45.70M,418.80M,,835.50M,80.60M,-31.40M,884.70M,,,733.50M,-152.00M,-45.00M,41.30M,2.60M,,AOR,Restated
2012-12,128.00M,-0.40M,-61.30M,-7.90M,-92.60M,,22.50M,22.50M,33.50M,-34.00M,118.70M,-38.10M,110.10M,252.60M,,324.60M,501.60M,,-30.90M,0.00,-30.90M,0.00,,-63.20M,-31.60M,-117.90M,,-126.40M,,-126.40M,,-75.00M,-75.00M,-77.50M,,-77.50M,5.80M,-155.40M,-428.50M,,880.10M,-44.80M,0.20M,835.50M,,,959.40M,-1.086B,-75.00M,60.00M,13.80M,,AOR,Restated
2012-09,156.90M,0.00,25.80M,-5.20M,20.60M,,21.60M,21.60M,35.90M,3.70M,-18.40M,-111.20M,209.90M,-250.10M,,-151.40M,70.50M,,-31.20M,0.00,-31.20M,16.40M,,233.70M,0.00,222.40M,,53.20M,,53.20M,,-40.00M,-40.00M,-77.80M,,-77.80M,5.10M,-84.80M,-144.30M,,718.40M,148.60M,13.10M,880.10M,,,53.20M,0.00,-40.00M,58.20M,12.60M,,AOR,Restated
2012-06,227.60M,0.10M,-53.30M,-6.90M,-60.10M,,26.60M,26.60M,37.00M,1.30M,7.70M,356.10M,-286.80M,84.00M,,153.30M,405.50M,,-18.80M,0.00,-18.80M,,,-5.30M,-0.50M,-22.20M,,-87.80M,,-87.80M,,-75.00M,-75.00M,-78.00M,,-78.00M,1.90M,-13.20M,-252.10M,,592.30M,131.20M,-5.10M,718.40M,,,127.30M,-215.10M,-75.00M,62.00M,14.80M,,AOR,Restated
2012-03,74.80M,-0.60M,88.80M,-9.70M,78.50M,,24.30M,24.30M,30.00M,29.00M,-18.60M,-93.00M,-154.40M,-129.90M,,-377.30M,-158.30M,,-18.40M,0.60M,-17.80M,,,-148.10M,-5.10M,-164.70M,,290.40M,,290.40M,,-75.00M,-75.00M,-55.70M,,-55.70M,10.20M,9.10M,179.00M,,727.40M,-144.00M,8.90M,592.30M,,,290.40M,,-75.00M,34.20M,11.60M,,AOR,Restated
2011-12,309.90M,-5.80M,-87.30M,-25.00M,-123.90M,,22.10M,22.10M,29.10M,-58.40M,-193.40M,172.10M,42.70M,,-296.30M,171.70M,322.80M,,-46.40M,0.00,-46.40M,,5.40M,44.00M,,-5.70M,,-183.40M,,-183.40M,,-103.50M,-103.50M,,,-55.90M,1.40M,-5.40M,-346.80M,,757.00M,-29.70M,0.10M,727.40M,,,,-183.40M,-103.50M,62.10M,14.40M,,AOR,Restated
2011-09,83.40M,0.00,266.50M,9.00M,145.00M,,35.30M,35.30M,29.20M,1.30M,30.50M,301.70M,-364.70M,,264.80M,201.80M,496.00M,,-19.90M,12.60M,-7.30M,,0.00,121.60M,,123.90M,,-382.60M,,-382.60M,,0.00,0.00,,,-56.50M,1.10M,-27.80M,-465.80M,,621.50M,154.10M,-18.60M,757.00M,,,,-382.60M,0.00,27.80M,11.90M,,AOR,Restated
2011-06,129.40M,0.00,-8.90M,-9.30M,40.50M,,32.10M,32.10M,-18.20M,70.10M,51.90M,118.30M,-166.00M,,44.90M,-2.80M,251.10M,,-19.90M,0.00,-19.90M,,-0.30M,200.20M,,196.50M,,103.40M,,103.40M,,-279.90M,-279.90M,,,-56.90M,1.20M,-68.50M,-300.70M,,471.90M,146.90M,2.70M,621.50M,,,,103.40M,-279.90M,68.20M,15.20M,,AOR,Restated
2011-03,99.30M,0.00,-31.40M,-5.20M,41.00M,,27.90M,27.90M,75.00M,-13.00M,62.00M,-378.70M,56.80M,,-13.40M,-335.30M,-105.10M,,-20.80M,0.00,-20.80M,,-20.00M,71.80M,,33.40M,,-81.70M,,-81.70M,,-53.10M,-53.10M,,,-51.60M,8.70M,-31.10M,-208.80M,,740.50M,-280.50M,11.90M,471.90M,,,,-81.70M,-53.10M,41.70M,12.00M,,AOR,Restated
2010-12,156.70M,,-76.60M,-36.20M,32.40M,,31.30M,31.30M,-22.40M,62.80M,-141.60M,572.70M,-599.20M,,95.20M,-267.50M,3.70M,,-32.20M,0.00,-32.20M,,-24.50M,386.90M,,306.60M,,-120.50M,,-120.50M,,-64.50M,-64.50M,,,-51.60M,8.80M,-7.60M,-235.40M,,664.10M,74.90M,1.50M,740.50M,,,,-690.50M,-64.50M,52.90M,15.70M,,AOR,Restated
2010-09,27.40M,,-35.30M,9.90M,108.30M,,26.30M,26.30M,39.90M,-1.90M,38.00M,-507.70M,749.30M,,-2.70M,238.90M,438.90M,,-21.70M,0.00,-21.70M,,-12.90M,-52.50M,,-85.30M,,-64.40M,,-64.40M,,-127.70M,-127.70M,,,-52.60M,4.60M,-24.70M,-264.80M,,555.60M,88.80M,19.70M,664.10M,,,,-64.40M,-127.70M,39.90M,13.30M,,AOR,
2010-06,452.70M,,-95.20M,-9.30M,-282.40M,,20.80M,20.80M,53.80M,-5.50M,-126.50M,160.80M,-95.70M,,23.60M,88.70M,113.60M,,-20.20M,,-20.20M,,-712.20M,32.40M,,-693.20M,,595.90M,,595.90M,,0.00,0.00,,,-48.90M,2.50M,-5.90M,543.60M,,597.00M,-36.00M,-5.40M,555.60M,,,,595.90M,0.00,44.70M,12.00M,,AOR,Restated
2010-03,,,32.70M,-4.60M,-72.90M,,18.30M,18.30M,46.50M,-6.80M,214.50M,-449.10M,188.60M,,-116.10M,-376.60M,-177.00M,,-15.50M,,-15.50M,,0.00,135.60M,,134.10M,,-48.30M,,-48.30M,,0.00,0.00,,,-44.80M,3.70M,-19.90M,-109.30M,,762.00M,-152.20M,-12.80M,597.00M,,,,-48.30M,0.00,34.80M,9.60M,,AOR,Restated
2009-12,134.20M,0.00,0.00,-8.20M,-34.10M,,24.90M,24.90M,22.70M,-48.30M,-64.70M,13.40M,35.90M,,10.30M,59.60M,201.30M,,-16.20M,0.40M,-15.80M,,,-13.50M,0.90M,-62.60M,,-294.20M,,-294.20M,0.00,,0.00,,,-44.70M,39.50M,-4.70M,-304.10M,,923.80M,-165.40M,3.60M,762.00M,,0.00,,-294.20M,,30.50M,18.50M,,AOR,Restated
2009-09,104.70M,-1.20M,0.30M,-6.30M,-11.30M,,20.00M,20.00M,24.20M,7.30M,31.50M,-119.30M,129.50M,,9.10M,19.30M,164.20M,,-6.20M,6.10M,-0.10M,,,-46.70M,9.10M,-37.70M,,0.00,,0.00,0.00,,0.00,,,-44.00M,30.90M,-7.70M,-20.80M,,817.70M,105.70M,0.40M,923.80M,,0.00,,0.00,,26.70M,10.00M,,AOR,Restated
2009-06,28.20M,-0.10M,-36.90M,18.30M,26.70M,,16.70M,16.70M,20.20M,31.60M,45.70M,-300.80M,372.80M,-14.00M,25.60M,83.60M,177.20M,,-11.80M,0.00,-11.80M,,,12.30M,,0.50M,,-112.00M,,-112.00M,441.80M,,441.80M,,,-41.30M,7.90M,-10.60M,285.80M,,333.10M,463.50M,21.10M,817.70M,,441.80M,,-112.00M,,31.20M,31.90M,,AOR,Restated
2009-03,-57.80M,0.10M,7.80M,-2.50M,89.10M,,16.00M,16.00M,23.70M,0.00,29.80M,-61.70M,-233.10M,14.00M,,-280.80M,-180.00M,,-5.30M,0.30M,-5.00M,,,2.40M,,-2.60M,,-3.00M,,-3.00M,,,,,,-38.90M,1.70M,-21.40M,-61.60M,,585.20M,-244.20M,-7.90M,333.10M,,,,-3.00M,,,,,AOR,Restated
2008-12,-29.30M,0.00,-1.10M,18.50M,97.00M,,17.20M,17.20M,8.00M,2.10M,6.60M,628.80M,-560.90M,55.10M,,85.90M,187.50M,,-14.60M,0.10M,-14.50M,,-43.40M,38.10M,-28.10M,-47.90M,,-48.40M,,-48.40M,0.00,-0.10M,-0.10M,,,-38.70M,11.30M,-154.10M,-230.00M,,740.60M,-90.40M,-65.00M,585.20M,,0.00,-45.60M,-2.80M,-0.10M,17.90M,22.20M,,AOR,Restated
2008-09,136.10M,-0.20M,5.80M,-8.00M,0.00,,16.70M,16.70M,31.70M,0.10M,7.90M,287.00M,-167.90M,-41.80M,,77.30M,269.80M,,-21.30M,0.10M,-21.20M,,0.00,69.20M,0.00,48.00M,,-15.00M,,-15.00M,0.00,-100.30M,-100.30M,,,-38.80M,16.40M,-47.30M,-185.00M,,644.80M,132.80M,-37.00M,740.60M,,0.00,-15.00M,0.00,-100.30M,42.30M,11.50M,,,Restated
2008-06,202.80M,-1.90M,4.40M,-9.60M,-49.20M,,17.10M,17.10M,31.30M,-9.20M,11.10M,222.20M,-222.70M,-0.80M,,-1.30M,202.60M,,-34.00M,0.00,-34.00M,,-1.30M,44.30M,28.10M,37.10M,,-200.00M,,-200.00M,0.00,-44.80M,-44.80M,,,-129.60M,25.50M,-39.50M,-388.40M,,802.30M,-148.70M,-8.80M,644.80M,,0.00,-200.00M,0.00,-44.80M,106.40M,23.70M,,,Restated
2008-03,111.40M,0.10M,13.20M,-17.90M,31.40M,,16.60M,16.60M,26.70M,-9.80M,29.30M,-19.20M,-308.30M,-12.50M,,-340.00M,-134.40M,,-14.20M,0.00,-14.20M,,-129.60M,8.20M,,-135.60M,,289.50M,,289.50M,,-168.20M,-168.20M,,,0.00,26.60M,-10.90M,137.00M,,915.80M,-133.00M,19.50M,802.30M,,,289.50M,0.00,-168.20M,71.80M,13.80M,,,Restated
2007-12,180.20M,,,,149.50M,-77.80M,-77.80M,-77.80M,,,-103.20M,433.90M,-333.60M,-22.10M,,78.20M,226.90M,,-11.30M,0.10M,-11.20M,,-43.60M,-146.80M,196.00M,-5.60M,,,,205.90M,38.30M,-479.10M,-440.80M,,,-68.60M,,-84.10M,-387.60M,,1.102B,-166.30M,-9.60M,915.80M,,38.30M,,,-479.10M,,,,,
2007-09,162.70M,,,,26.50M,109.70M,109.70M,109.70M,,,-56.70M,69.60M,62.20M,17.30M,15.00M,164.10M,406.30M,,-9.00M,-12.00M,-21.00M,,-4.30M,-9.70M,-78.40M,-113.40M,,,,0.00,22.30M,-77.60M,-55.30M,,,0.00,,50.30M,-5.00M,,791.80M,287.90M,12.00M,1.102B,,22.30M,,,-77.60M,,,,,
2007-06,175.50M,,,,-34.60M,15.90M,15.90M,15.90M,,,56.00M,74.40M,-18.50M,,8.60M,64.50M,277.30M,,-8.20M,12.00M,3.80M,,-6.50M,-45.60M,11.30M,-37.00M,,,,-150.10M,33.50M,-52.30M,-18.80M,,,-86.40M,,36.30M,-219.00M,,764.50M,21.30M,6.00M,791.80M,,33.50M,,,-52.30M,,,,,
2007-03,155.20M,,,,10.10M,16.30M,16.30M,16.30M,,,0.70M,-637.50M,482.00M,,-23.60M,-179.10M,3.20M,,-8.20M,,-8.20M,,,50.70M,67.10M,109.60M,,,,21.10M,43.30M,-107.00M,-63.70M,,,,,-86.60M,-129.20M,,778.90M,-16.40M,2.00M,764.50M,,43.30M,,,-107.00M,,,,,
2005-12,-156.30M,,,,256.10M,34.30M,34.30M,34.30M,,,-88.60M,,,,-173.80M,-199.30M,-153.80M,,-14.10M,,-11.90M,,-0.10M,-82.30M,,91.00M,,,,127.90M,6.00M,,6.00M,,,-59.10M,,-22.00M,52.80M,,722.20M,-10.00M,-2.70M,709.50M,,6.00M,,,,,,,,
2005-09,113.02M,,,,-60.14M,18.03M,18.03M,18.03M,,,,,,,191.81M,191.81M,262.72M,,-5.636M,,-5.636M,,56.06M,-4.426M,,46.00M,,,,-25.02M,0.956M,,0.956M,,,-0.019M,,,-24.09M,,436.50M,284.63M,1.099M,722.20M,,0.956M,,,,,,,,
