,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,LiabilityonCreditLine,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-06,1.834B,,1.834B,730.00M,953.70M,1.684B,,12.32B,,,15.84B,,,,,,,,,475.70M,7.292B,2.174B,9.466B,6.625B,,,52.80M,16.62B,32.46B,,819.70M,,13.13B,13.95B,,13.95B,,,,,,14.40B,7.970B,,7.970B,303.50M,303.50M,318.90M,297.00M,352.30M,8.923B,23.32B,,98.10M,5.747B,6.256B,2.72B,,,,-563.70M,8.817B,,AOR,Restated
2018-03,2.122B,,2.122B,752.50M,837.60M,1.590B,,13.03B,,,16.74B,,,,,,,,,484.40M,6.604B,1.559B,8.164B,6.167B,,,64.50M,14.88B,31.62B,,820.80M,,13.71B,14.53B,,14.53B,,,,,,14.91B,6.579B,,6.579B,313.40M,313.40M,294.70M,281.00M,349.50M,7.523B,22.43B,,98.10M,5.627B,6.217B,2.715B,,,,-331.40M,8.895B,,AOR,Restated
2017-12,2.518B,,2.518B,754.00M,793.80M,1.548B,,12.57B,,,16.63B,0.00,87.50M,882.90M,,44.80M,204.40M,1.220B,-728.90M,490.70M,6.591B,1.559B,8.149B,6.333B,,,61.70M,15.03B,31.67B,,320.10M,155.50M,13.23B,13.70B,302.30M,14.01B,,,,60.40M,,14.76B,6.876B,,6.876B,275.50M,275.50M,259.50M,243.20M,556.20M,7.950B,22.71B,,98.10M,5.489B,6.282B,2.782B,,,,-391.20M,8.696B,,AOR,Restated
2017-09,2.202B,,2.202B,617.60M,830.40M,1.448B,,12.23B,,,15.88B,,,,,,,,,483.00M,6.573B,1.561B,8.135B,5.815B,,,64.10M,14.50B,30.37B,,901.90M,,12.91B,13.82B,,13.82B,,,,,,14.42B,6.399B,,6.399B,351.50M,351.50M,234.80M,309.60M,339.90M,7.400B,21.82B,,98.10M,5.200B,6.248B,2.784B,,,,-448.50M,8.314B,,AOR,Restated
2017-06,1.974B,,1.974B,637.40M,1.018B,1.655B,,10.84B,,,14.46B,,,,,,,,,482.20M,6.270B,1.397B,7.666B,5.560B,,,75.70M,13.78B,28.25B,,788.30M,,11.72B,12.51B,,12.51B,,,,,,12.98B,6.004B,,6.004B,366.50M,366.50M,201.50M,328.30M,393.20M,7.092B,20.07B,,98.10M,5.051B,6.206B,2.789B,,,,-594.20M,7.972B,,AOR,Restated
2017-03,1.933B,,1.933B,669.10M,944.20M,1.613B,,9.348B,,,12.89B,,,,,,,,,467.90M,6.169B,1.400B,7.569B,5.580B,,,88.00M,13.70B,26.60B,,766.70M,,10.15B,10.92B,,10.92B,,,,,,11.31B,6.366B,,6.366B,390.30M,390.30M,169.90M,207.70M,490.90M,7.455B,18.77B,,98.10M,4.931B,6.168B,2.789B,,,,-743.70M,7.663B,,AOR,Restated
2016-12,2.070B,,2.070B,650.40M,672.90M,1.323B,,8.341B,,,11.73B,0.00,68.20M,709.70M,,117.00M,210.90M,1.106B,-641.10M,464.70M,6.129B,1.399B,7.529B,5.911B,,,95.00M,14.00B,25.73B,,274.30M,91.60M,8.884B,9.249B,280.60M,9.53B,,,,87.70M,,10.27B,6.506B,,6.506B,309.70M,309.70M,108.00M,283.70M,751.60M,7.850B,18.12B,,98.10M,4.833B,6.227B,2.846B,,,,-809.30M,7.504B,,AOR,Restated
2016-09,1.896B,,1.896B,575.20M,688.10M,1.263B,,7.518B,,,10.68B,,,,,,,,,444.60M,6.243B,1.408B,7.650B,5.281B,,,83.50M,13.46B,24.14B,,868.30M,,8.050B,8.918B,,8.918B,,,,,,9.424B,5.933B,,5.933B,341.00M,341.00M,87.60M,347.00M,268.10M,6.889B,16.31B,,98.10M,4.721B,6.206B,2.715B,,,,-573.70M,7.737B,,AOR,Restated
2016-06,1.704B,0.00,1.704B,698.40M,1.203B,1.901B,,6.748B,,,10.35B,,,,,,,,,432.10M,6.239B,1.480B,7.719B,4.929B,,,68.80M,13.15B,23.50B,,928.40M,,7.813B,8.742B,,8.742B,,,,,,9.154B,5.602B,,5.602B,390.10M,390.10M,74.20M,312.60M,314.00M,6.619B,15.77B,,98.10M,4.596B,6.149B,2.673B,,,,-513.90M,7.656B,,AOR,Restated
2016-03,1.622B,,1.622B,653.50M,957.30M,1.611B,,6.706B,,,9.939B,,,,,,,,,428.90M,6.292B,1.361B,7.654B,4.559B,,,78.00M,12.72B,22.66B,,754.90M,,7.512B,8.267B,,8.267B,,,,,,8.598B,5.134B,,5.134B,374.40M,374.40M,58.50M,407.30M,181.50M,6.098B,14.70B,,98.10M,4.488B,6.140B,2.473B,,,,-348.70M,7.904B,,AOR,Restated
2015-12,2.215B,319.10M,2.534B,701.60M,566.30M,1.268B,,6.173B,,,9.974B,0.00,58.90M,687.10M,,85.80M,198.20M,1.03B,-603.10M,426.90M,6.176B,1.354B,7.530B,7.035B,,,107.00M,15.10B,25.07B,,302.60M,78.80M,6.613B,6.995B,328.60M,7.323B,,,,69.20M,,8.054B,7.510B,,7.510B,288.90M,288.90M,810.40M,167.30M,357.60M,8.324B,16.38B,,98.10M,4.440B,6.198B,2.404B,,,,-446.00M,7.885B,,AOR,Restated
2015-09,2.178B,325.50M,2.504B,664.80M,979.80M,1.645B,,5.627B,,,9.775B,,,,,,,,,415.90M,6.270B,1.357B,7.627B,7.059B,,,85.60M,15.19B,24.96B,,882.40M,,6.463B,7.345B,,7.345B,,,,,,7.917B,7.359B,,7.359B,316.30M,316.30M,763.10M,176.40M,338.10M,8.190B,16.11B,,98.10M,4.351B,6.166B,2.195B,,,,-328.30M,8.093B,,AOR,Restated
2015-06,1.780B,321.50M,2.102B,637.10M,1.119B,1.756B,,3.592B,,,7.451B,,,,,,,,,410.30M,6.449B,1.360B,7.810B,7.145B,,,83.20M,15.45B,22.90B,,881.30M,,4.565B,5.446B,,5.446B,,,,,,5.921B,7.030B,,7.030B,367.00M,367.00M,756.80M,169.10M,326.80M,7.892B,13.81B,,98.10M,4.218B,6.131B,2.024B,,,,-94.80M,8.328B,,AOR,Restated
2015-03,1.614B,314.20M,1.928B,643.20M,1.362B,2.005B,,2.699B,,,6.632B,,,,,,,,,393.10M,6.333B,1.363B,7.696B,7.150B,,,90.70M,15.33B,21.96B,,824.50M,,3.936B,4.760B,,4.760B,,,,,,5.132B,7.080B,,7.080B,387.70M,387.70M,795.80M,167.60M,320.70M,7.956B,13.09B,,98.10M,4.078B,6.091B,1.936B,,,,-253.60M,8.077B,,AOR,Restated
2014-12,1.918B,305.80M,2.224B,707.20M,732.40M,1.440B,,1.83B,,,5.494B,0.00,62.30M,637.20M,,84.00M,196.10M,979.60M,-577.00M,402.60M,6.579B,1.247B,7.826B,6.648B,,,79.50M,14.96B,20.45B,,343.50M,95.20M,2.428B,2.867B,263.80M,3.130B,,,,54.80M,,3.853B,6.726B,,6.726B,304.80M,304.80M,793.80M,165.50M,280.90M,7.478B,11.33B,,98.10M,3.944B,6.134B,1.898B,,,,48.80M,8.326B,,AOR,Restated
2014-09,1.591B,334.50M,1.926B,650.70M,999.10M,1.650B,,1.613B,,,5.188B,,,,,,,,,367.30M,6.720B,1.252B,7.972B,6.442B,,,110.70M,14.89B,20.08B,,766.40M,,2.504B,3.270B,,3.270B,,,,,,3.810B,6.299B,,6.299B,325.30M,325.30M,715.00M,157.50M,349.20M,7.131B,10.94B,,98.10M,3.821B,6.104B,1.852B,,,,252.90M,8.424B,,AOR,Restated
2014-06,1.488B,326.80M,1.815B,639.50M,1.229B,1.868B,,1.648B,,,5.332B,,,,,,,,,354.80M,6.920B,1.258B,8.178B,5.890B,,,144.20M,14.57B,19.90B,,755.60M,,2.760B,3.515B,,3.515B,,,,,,3.978B,5.890B,,5.890B,351.90M,351.90M,773.20M,155.00M,201.00M,6.598B,10.58B,,98.10M,3.680B,6.069B,1.808B,,,,509.90M,8.550B,,AOR,Restated
2014-03,1.759B,275.80M,2.034B,714.40M,1.511B,2.225B,,1.444B,,,5.703B,,,,,,,,,342.40M,6.810B,1.261B,8.071B,6.042B,,,187.40M,14.64B,20.35B,,734.00M,,2.850B,3.584B,,3.584B,,,,,,3.976B,6.351B,,6.351B,390.00M,390.00M,625.80M,101.90M,621.80M,7.465B,11.44B,,98.10M,3.526B,6.044B,1.768B,,,,379.90M,8.280B,,AOR,Restated
2013-12,1.915B,108.50M,2.023B,559.10M,932.40M,1.492B,,1.517B,,,5.032B,0.00,65.80M,594.30M,,54.40M,185.70M,900.20M,-549.40M,350.80M,6.867B,1.264B,8.131B,5.574B,,,182.10M,14.24B,19.27B,,334.60M,123.60M,2.310B,2.768B,248.60M,3.017B,35.70M,35.70M,35.70M,8.30M,,3.738B,5.770B,,5.770B,323.60M,323.60M,584.70M,0.00,461.80M,6.556B,10.29B,,98.10M,3.466B,6.101B,1.700B,,,,427.90M,8.393B,,AOR,Restated
2013-09,1.620B,94.30M,1.714B,537.80M,1.003B,1.541B,,1.560B,10.90M,,4.933B,,,,,,,,,336.40M,6.899B,1.269B,8.167B,5.220B,,,107.60M,13.83B,18.76B,,660.30M,,2.443B,3.103B,,3.103B,,,,,,3.669B,5.391B,,5.391B,333.80M,333.80M,588.60M,,251.00M,5.976B,9.644B,,98.10M,3.281B,6.080B,1.364B,,,,434.80M,8.531B,,AOR,Restated
2013-06,1.277B,567.20M,1.844B,598.00M,1.059B,1.657B,,1.279B,37.30M,100.50M,5.019B,,,,,,,,,328.80M,6.740B,1.270B,8.010B,4.688B,,49.80M,28.90M,13.12B,18.14B,,,34.60M,2.290B,2.324B,,2.324B,,206.00M,206.00M,,899.60M,3.430B,5.284B,,5.284B,360.30M,360.30M,589.50M,,296.00M,5.955B,9.385B,,98.10M,3.146B,6.046B,1.369B,,,,243.90M,8.164B,,AOR,Restated
2013-03,1.649B,359.90M,2.009B,578.60M,941.80M,1.520B,,1.261B,34.60M,78.70M,4.904B,,,,,,,,,337.20M,6.892B,1.278B,8.170B,5.023B,,50.10M,27.80M,13.63B,18.53B,,,68.10M,2.147B,2.215B,,2.215B,,,,,1.072B,3.288B,5.736B,,5.736B,346.80M,346.80M,643.00M,,302.20M,6.408B,9.695B,,98.10M,3.054B,6.024B,1.315B,,,,334.50M,8.196B,,AOR,Restated
2012-12,1.123B,0.00,1.123B,533.50M,550.10M,1.084B,,1.254B,38.40M,,3.499B,0.00,70.80M,569.00M,,47.40M,185.90M,873.10M,-523.50M,349.60M,7.048B,1.288B,8.336B,5.161B,,,146.80M,13.99B,17.49B,,287.90M,77.90M,1.734B,2.099B,233.20M,2.332B,0.00,0.00,0.00,,,2.942B,5.085B,,5.085B,311.40M,311.40M,732.20M,,104.30M,5.501B,8.443B,,98.10M,2.930B,6.141B,1.383B,,,,530.50M,8.317B,,AOR,Restated
2012-09,1.433B,364.20M,1.797B,464.40M,596.00M,1.060B,,55.80M,26.50M,1.221B,4.161B,,,,,,,,,329.90M,7.040B,1.296B,8.336B,4.941B,30.10M,46.00M,17.20M,13.70B,17.86B,,1.738B,64.40M,,1.802B,,1.802B,,333.50M,333.50M,,1.049B,3.184B,4.807B,,4.807B,313.50M,313.50M,882.30M,,359.20M,5.479B,8.664B,,98.10M,2.879B,6.123B,1.323B,,,,538.20M,8.315B,,AOR,Restated
2012-06,1.099B,344.50M,1.443B,513.10M,487.10M,1.000B,,51.40M,24.20M,1.154B,3.673B,,,,,,,,,314.60M,6.916B,1.302B,8.218B,6.270B,75.00M,43.80M,18.40M,14.94B,18.61B,,1.538B,50.10M,,1.588B,,1.588B,,333.50M,333.50M,,803.00M,2.725B,6.078B,,6.078B,307.80M,307.80M,953.00M,,383.80M,6.769B,9.494B,,98.10M,2.879B,6.100B,1.302B,,,,389.90M,8.166B,,AOR,Restated
2012-03,1.069B,337.70M,1.407B,558.60M,719.30M,1.278B,,56.80M,27.90M,1.245B,4.014B,,,,,,,,,312.10M,6.997B,1.313B,8.310B,6.559B,71.90M,43.90M,17.80M,15.32B,19.33B,,1.856B,55.00M,,1.911B,,1.911B,,548.60M,548.60M,,914.60M,3.374B,6.122B,,6.122B,311.80M,311.80M,941.80M,,387.00M,6.821B,10.20B,,98.10M,2.778B,6.074B,1.239B,,,,481.10M,8.192B,,AOR,Restated
2011-12,1.110B,283.70M,1.393B,522.90M,444.40M,967.30M,,1.295B,28.70M,150.00M,3.834B,0.00,65.70M,551.20M,,44.20M,176.60M,837.70M,-524.90M,312.80M,6.908B,1.323B,8.231B,6.830B,,40.50M,17.90M,15.51B,19.35B,,272.60M,59.60M,1.683B,2.015B,504.60M,2.520B,,215.10M,215.10M,,175.10M,2.974B,6.582B,,6.582B,274.00M,274.00M,1.018B,,297.30M,7.235B,10.21B,,98.10M,2.748B,6.181B,1.280B,,,,373.30M,8.119B,,AOR,Restated
2011-09,1.114B,295.20M,1.409B,520.80M,605.50M,1.126B,,56.70M,29.70M,1.361B,3.982B,,,,,,,,,275.80M,6.858B,1.303B,8.161B,7.158B,92.70M,40.40M,27.80M,15.76B,19.74B,,1.861B,54.90M,,1.916B,,1.916B,,215.10M,215.10M,,982.30M,3.113B,7.041B,,7.041B,274.70M,274.70M,1.018B,,341.50M,7.657B,10.77B,,98.10M,2.500B,6.176B,1.197B,,,,372.40M,7.949B,,AOR,Restated
2011-06,1.244B,352.00M,1.596B,595.20M,674.20M,1.269B,,62.70M,33.10M,1.498B,4.459B,,,,,,,,,281.80M,7.091B,1.319B,8.409B,7.544B,152.00M,43.20M,26.90M,16.46B,20.92B,,2.041B,45.40M,,2.086B,,2.086B,,215.10M,215.10M,,1.064B,3.365B,7.661B,,7.661B,269.60M,269.60M,1.010B,,422.30M,8.353B,11.72B,,98.10M,2.497B,6.153B,1.204B,,,,644.50M,8.188B,,AOR,Restated
2011-03,1.129B,344.20M,1.473B,686.30M,826.40M,1.513B,,64.00M,29.00M,1.450B,4.529B,,,,,,,,,276.10M,7.073B,1.330B,8.403B,7.720B,140.30M,43.90M,27.20M,16.61B,21.14B,,2.149B,53.90M,,2.203B,,2.203B,,,,,1.220B,3.423B,7.624B,,7.624B,267.90M,267.90M,1.080B,,410.70M,8.302B,11.73B,,98.10M,2.419B,6.123B,922.90M,,,,615.70M,8.334B,,AOR,Restated
2010-12,1.377B,308.80M,1.686B,583.50M,513.40M,1.097B,,64.00M,30.40M,1.397B,4.274B,0.00,72.10M,584.50M,,19.60M,159.20M,835.40M,-563.00M,272.40M,6.980B,1.337B,8.317B,7.370B,,42.20M,166.30M,16.17B,20.44B,,302.50M,72.20M,1.800B,2.175B,584.20M,2.759B,,,,,505.40M,3.264B,7.181B,,7.181B,229.00M,229.00M,1.096B,,408.60M,7.819B,11.08B,,98.10M,2.400B,6.263B,991.50M,,,,495.50M,8.265B,,AOR,Restated
2010-06,555.60M,314.00M,869.60M,426.50M,685.20M,1.112B,,67.70M,64.80M,1.544B,3.658B,,,,,,,,,232.10M,6.689B,1.323B,8.012B,6.936B,,40.30M,19.70M,15.25B,18.90B,,1.795B,58.80M,,1.854B,,1.854B,,,,,921.10M,2.775B,6.800B,,6.800B,258.00M,258.00M,711.20M,,250.70M,7.309B,10.08B,,94.20M,2.398B,6.249B,846.40M,,,,213.60M,8.109B,,AOR,Restated
2010-03,597.00M,154.00M,751.00M,370.00M,758.10M,1.128B,,68.50M,65.70M,1.632B,3.645B,,,,,,,,,221.10M,6.426B,135.90M,6.562B,6.248B,,86.30M,18.50M,13.15B,16.79B,,1.957B,84.40M,,2.041B,,2.041B,,,,,659.80M,2.701B,745.70M,,745.70M,,,697.90M,,5.344B,6.090B,8.791B,,91.90M,1.687B,5.652B,852.50M,,,,340.50M,7.303B,,AOR,Restated
2009-12,790.00M,182.40M,972.40M,289.30M,383.10M,672.40M,,57.60M,57.70M,1.361B,3.121B,0.00,72.50M,513.80M,,11.50M,141.30M,739.10M,-518.40M,220.70M,6.468B,139.10M,6.607B,842.40M,,89.60M,13.00M,7.789B,10.91B,,148.10M,82.80M,1.651B,1.882B,394.70M,2.276B,,,,,21.90M,2.298B,745.70M,,745.70M,0.00,0.00,707.90M,,244.70M,990.40M,3.289B,,91.90M,1.631B,5.688B,892.40M,,,,393.60M,6.913B,,AOR,Restated
2009-09,923.80M,174.20M,1.098B,299.90M,505.80M,805.70M,,59.60M,51.10M,1.297B,3.312B,,,,,,,,,209.20M,6.379B,142.30M,6.521B,799.10M,,87.20M,,7.638B,10.95B,,1.680B,72.10M,,1.752B,,1.752B,,294.20M,294.20M,,506.30M,2.553B,745.70M,,745.70M,,,697.60M,,227.00M,972.70M,3.525B,,91.90M,1.565B,5.705B,971.90M,,,,336.40M,6.727B,,AOR,Restated
2009-06,817.70M,147.30M,965.00M,238.70M,562.20M,800.90M,,62.50M,50.00M,1.178B,3.056B,,,,,,,,,219.10M,6.272B,145.00M,6.417B,792.50M,,66.40M,,7.522B,10.58B,,1.606B,32.70M,,1.638B,,1.638B,,294.20M,294.20M,,475.80M,2.408B,745.70M,,745.70M,,,707.40M,,220.90M,966.60M,3.375B,,91.90M,1.504B,5.708B,1.033B,,,,223.80M,6.495B,,AOR,Restated
2009-03,333.10M,107.20M,440.30M,223.50M,445.60M,669.10M,,72.60M,47.70M,920.80M,2.150B,,,,,,,,,201.20M,5.904B,139.60M,6.044B,827.20M,,51.70M,,7.155B,9.306B,,1.224B,0.40M,,1.225B,,1.225B,,301.70M,301.70M,,373.80M,1.900B,850.00M,,850.00M,,,758.30M,,192.30M,1.042B,2.943B,,85.30M,1.468B,5.272B,1.049B,,,,-172.40M,5.605B,,AOR,Restated
2008-12,585.20M,123.60M,708.80M,239.30M,303.70M,543.00M,,55.60M,86.10M,980.50M,2.374B,0.00,65.00M,281.80M,191.90M,,132.60M,671.30M,-466.00M,205.30M,5.967B,142.80M,6.110B,965.10M,,61.70M,4.90M,7.383B,9.757B,,1.128B,37.90M,,1.166B,,1.166B,,297.20M,297.20M,,639.80M,2.103B,862.00M,,862.00M,,,906.70M,,195.30M,1.057B,3.161B,,85.30M,1.476B,5.353B,1.129B,,,,-95.80M,5.690B,,AOR,Restated
2008-09,831.60M,158.80M,990.40M,257.10M,526.20M,783.30M,,62.60M,,1.575B,3.412B,,,,,,,819.10M,-607.40M,211.70M,6.555B,146.20M,6.701B,,,125.20M,1.050B,8.088B,11.50B,,,,,,,,,,,,,2.670B,1.322B,,1.322B,,,950.30M,,191.00M,1.513B,4.183B,,85.30M,1.483B,5.387B,1.171B,,,,582.10M,6.366B,,,Restated
2008-06,693.90M,183.60M,877.50M,307.50M,653.20M,960.70M,,69.10M,,1.878B,3.785B,,,,,,,815.00M,-607.40M,207.60M,6.864B,147.90M,7.012B,,,118.80M,1.126B,8.465B,12.25B,,,,,,,,,,,,,3.082B,1.337B,,1.337B,,,970.10M,,177.30M,1.514B,4.597B,,85.30M,1.390B,5.374B,1.106B,,979.80M,-39.70M,940.10M,6.683B,,,Restated
2008-03,851.40M,149.80M,1.001B,301.90M,844.40M,1.146B,,67.10M,,1.922B,4.136B,,,,,,,794.10M,-607.40M,186.70M,6.844B,151.40M,6.996B,,,148.30M,1.415B,8.745B,12.88B,,,,,,,,,,,,,3.368B,1.537B,,1.537B,,,1.082B,,325.20M,1.862B,5.230B,,85.30M,1.267B,5.353B,1.107B,,1.009B,-39.40M,969.70M,6.569B,,,Restated
2007-12,952.40M,177.20M,1.130B,451.80M,605.50M,1.057B,,65.90M,32.50M,1.909B,4.194B,0.00,84.10M,465.40M,237.90M,,,787.40M,-607.40M,180.00M,6.848B,154.20M,7.002B,,,133.80M,1.415B,8.731B,12.93B,,235.40M,,,235.40M,692.70M,928.10M,,,,,2.713B,3.641B,1.276B,,1.276B,,,1.121B,,296.10M,1.572B,5.213B,,84.90M,1.202B,5.306B,954.40M,,987.90M,-35.80M,952.10M,6.591B,,,
2007-09,1.102B,126.50M,1.229B,1.480B,,1.480B,,,,1.893B,4.601B,,,,,,,554.80M,-405.20M,149.60M,5.190B,267.40M,5.457B,,,248.70M,210.70M,6.066B,10.67B,,1.811B,,,1.811B,,1.811B,,,,,2.235B,4.046B,1.143B,,1.143B,,,13.40M,,472.60M,1.616B,5.662B,,84.60M,1.542B,328.50M,105.20M,,,,3.142B,4.992B,,,
2007-06,812.00M,126.80M,938.80M,1.328B,,1.328B,,,,1.848B,4.116B,,,,,,,562.90M,-405.20M,157.70M,5.056B,274.90M,5.330B,,,236.40M,208.50M,5.933B,10.05B,,1.580B,,,1.580B,,1.580B,,,,,2.178B,3.758B,1.143B,,1.143B,,,6.00M,,465.30M,1.608B,5.366B,,84.30M,1.325B,302.70M,36.80M,,,,3.001B,4.677B,,,
