,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2018-03,370.00M,99.00M,469.00M,1.356B,,1.356B,300.00M,107.00M,643.00M,1.05B,118.00M,,,2.993B,,,,,,,,1.183B,891.00M,429.00M,1.32B,,,,134.00M,2.637B,5.63B,1.008B,,,1.008B,646.00M,1.654B,116.00M,116.00M,,116.00M,,,,1.77B,2.971B,,2.971B,,,255.00M,706.00M,3.677B,5.447B,308.00M,-296.00M,0.00,,,,-84.00M,-72.00M
2017-12,1.194B,108.00M,1.302B,1.066B,,1.066B,277.00M,105.00M,402.00M,784.00M,111.00M,,,3.263B,0.0,110.00M,681.00M,1.874B,,2.665B,-1.536B,1.129B,841.00M,187.00M,1.028B,13.00M,,45.00M,56.00M,2.271B,5.534B,824.00M,33.00M,27.00M,884.00M,585.00M,1.469B,116.00M,116.00M,,116.00M,32.00M,32.00M,,1.667B,2.969B,,2.969B,,,236.00M,715.00M,3.684B,5.351B,310.00M,-298.00M,0.00,,,,-65.00M,-53.00M
2017-09,1.141B,77.00M,1.218B,1.128B,,1.128B,280.00M,108.00M,478.00M,866.00M,96.00M,,,3.308B,,,,,,,,1.097B,801.00M,156.00M,957.00M,,,,121.00M,2.175B,5.483B,916.00M,,,916.00M,675.00M,1.591B,117.00M,117.00M,,117.00M,,,,1.708B,2.969B,,2.969B,,,219.00M,746.00M,3.715B,5.423B,311.00M,-343.00M,0.00,,,,-127.00M,-159.00M
2017-06,992.00M,144.00M,1.136B,1.231B,,1.231B,277.00M,102.00M,471.00M,850.00M,89.00M,,,3.306B,,,,,,,,1.08B,797.00M,156.00M,953.00M,,,,150.00M,2.183B,5.489B,960.00M,,,960.00M,615.00M,1.575B,117.00M,117.00M,,117.00M,,,,1.692B,2.967B,,2.967B,,,201.00M,760.00M,3.727B,5.419B,315.00M,-288.00M,0.00,,,,-158.00M,-131.00M
2017-03,689.00M,194.00M,883.00M,1.144B,,1.144B,263.00M,100.00M,463.00M,826.00M,105.00M,,,2.958B,,,,,,,,1.074B,835.00M,154.00M,989.00M,,,,118.00M,2.181B,5.139B,903.00M,,,903.00M,518.00M,1.421B,3.00M,3.00M,,3.00M,,,,1.424B,2.996B,,2.996B,,,209.00M,778.00M,3.774B,5.198B,316.00M,-370.00M,0.00,,,,-214.00M,-268.00M
2016-12,990.00M,201.00M,1.191B,917.00M,,917.00M,254.00M,92.00M,366.00M,712.00M,114.00M,,,2.934B,0.0,111.00M,712.00M,1.795B,,2.618B,-1.558B,1.06B,832.00M,154.00M,986.00M,18.00M,,68.00M,71.00M,2.203B,5.137B,800.00M,32.00M,19.00M,851.00M,555.00M,1.406B,2.00M,2.00M,,2.00M,,,,1.46B,2.995B,,2.995B,,,195.00M,785.00M,3.78B,5.24B,318.00M,-381.00M,,,,,-235.00M,-298.00M
2016-09,1.041B,182.00M,1.223B,1.054B,,1.054B,243.00M,93.00M,422.00M,758.00M,87.00M,,,3.122B,,,,,,,,1.049B,841.00M,155.00M,996.00M,,,,206.00M,2.251B,5.373B,866.00M,,,866.00M,642.00M,1.508B,3.00M,3.00M,,3.00M,,,,1.511B,2.993B,,2.993B,,,201.00M,766.00M,3.759B,5.27B,325.00M,-253.00M,0.00,,,,-170.00M,-98.00M
2016-06,956.00M,135.00M,1.091B,1.113B,,1.113B,237.00M,95.00M,433.00M,765.00M,88.00M,,,3.057B,,,,,,,,1.039B,840.00M,156.00M,996.00M,,,,232.00M,2.267B,5.324B,913.00M,,,913.00M,716.00M,1.629B,3.00M,3.00M,,3.00M,,,,1.632B,2.993B,,2.993B,,,187.00M,629.00M,3.622B,5.254B,326.00M,-273.00M,0.00,,,,-170.00M,-117.00M
2016-03,2.175B,195.00M,2.37B,1.036B,,1.036B,244.00M,91.00M,420.00M,755.00M,87.00M,,,4.248B,,,,,,,,1.04B,844.00M,158.00M,1.002B,,,,264.00M,2.306B,6.554B,834.00M,,,834.00M,652.00M,1.486B,1.303B,1.303B,,1.303B,,,,2.789B,2.993B,,2.993B,,,210.00M,688.00M,3.681B,6.47B,329.00M,-310.00M,0.00,,,,-145.00M,-126.00M
2015-12,1.468B,248.00M,1.716B,853.00M,,853.00M,238.00M,91.00M,358.00M,687.00M,72.00M,,,3.328B,0.0,115.00M,672.00M,1.787B,,2.574B,-1.547B,1.027B,839.00M,160.00M,999.00M,48.00M,,184.00M,78.00M,2.336B,5.664B,749.00M,32.00M,25.00M,806.00M,545.00M,1.351B,1.004B,1.004B,,1.004B,,,,2.403B,2.403B,,2.403B,,,193.00M,800.00M,3.203B,5.606B,330.00M,-300.00M,0.00,,,,-165.00M,-135.00M
2015-09,1.279B,255.00M,1.534B,1.006B,,1.006B,258.00M,99.00M,392.00M,749.00M,74.00M,177.00M,,3.54B,,,,,,,,1.025B,843.00M,163.00M,1.006B,,,,156.00M,2.187B,5.727B,827.00M,,,827.00M,727.00M,1.554B,6.00M,6.00M,,6.00M,,,,1.56B,3.418B,,3.418B,,,187.00M,721.00M,4.139B,5.699B,332.00M,-332.00M,0.00,,,,-159.00M,-159.00M
2015-06,1.297B,210.00M,1.507B,1.105B,,1.105B,264.00M,99.00M,416.00M,779.00M,72.00M,127.00M,,3.59B,,,,,,,,1.027B,845.00M,164.00M,1.009B,,,,243.00M,2.279B,5.869B,889.00M,,,889.00M,695.00M,1.584B,6.00M,6.00M,,6.00M,,,,1.59B,3.419B,,3.419B,,,178.00M,729.00M,4.148B,5.738B,339.00M,-239.00M,0.00,,,,-147.00M,-47.00M
2015-03,1.578B,197.00M,1.775B,1.248B,,1.248B,291.00M,105.00M,467.00M,863.00M,74.00M,219.00M,,4.179B,,,,,,,,1.106B,1.878B,158.00M,2.036B,,,,147.00M,3.289B,7.468B,1.019B,,,1.019B,682.00M,1.701B,506.00M,506.00M,,506.00M,,,,2.207B,3.418B,,3.418B,114.00M,114.00M,190.00M,770.00M,4.302B,6.509B,343.00M,606.00M,0.00,,,,-180.00M,769.00M
2014-12,1.379B,306.00M,1.685B,820.00M,,820.00M,251.00M,100.00M,361.00M,712.00M,68.00M,,,3.62B,0.0,122.00M,715.00M,1.79B,,2.627B,-1.581B,1.046B,840.00M,142.00M,982.00M,50.00M,,293.00M,1.217B,3.588B,7.208B,721.00M,32.00M,25.00M,778.00M,588.00M,1.366B,505.00M,505.00M,,505.00M,,,300.00M,2.211B,2.919B,,2.919B,,,204.00M,781.00M,3.869B,6.08B,345.00M,690.00M,0.00,,,,-111.00M,924.00M
2014-09,1.282B,275.00M,1.557B,1.229B,,1.229B,289.00M,114.00M,459.00M,862.00M,353.00M,,,4.001B,,,,,,,,1.153B,1.891B,147.00M,2.038B,,,,181.00M,3.372B,7.373B,505.00M,,,505.00M,890.00M,1.395B,1.02B,1.02B,,1.02B,,,,2.415B,2.919B,,2.919B,681.00M,681.00M,211.00M,,3.60B,6.015B,350.00M,716.00M,17.00M,,,,64.00M,1.147B
2014-06,1.195B,228.00M,1.423B,1.306B,,1.306B,296.00M,118.00M,480.00M,894.00M,160.00M,,,3.783B,,,,,,,,1.216B,1.902B,149.00M,2.051B,,,,177.00M,3.444B,7.227B,507.00M,,,507.00M,833.00M,1.34B,1.122B,1.122B,,1.122B,,,,2.462B,2.921B,,2.921B,942.00M,942.00M,216.00M,,3.863B,6.325B,349.00M,205.00M,13.00M,,,,119.00M,686.00M
2014-03,906.00M,305.00M,1.211B,1.215B,,1.215B,273.00M,110.00M,455.00M,838.00M,154.00M,,,3.418B,,,,,,,,1.232B,1.903B,150.00M,2.053B,,,,177.00M,3.462B,6.88B,954.00M,,,954.00M,760.00M,1.714B,6.00M,6.00M,,6.00M,,,,1.72B,3.421B,,3.421B,938.00M,938.00M,239.00M,,4.359B,6.079B,349.00M,98.00M,0.00,,,,115.00M,562.00M
2013-12,1.223B,321.00M,1.544B,1.004B,,1.004B,268.00M,99.00M,398.00M,765.00M,82.00M,73.00M,,3.468B,0.0,135.00M,809.00M,2.046B,,2.99B,-1.738B,1.252B,1.903B,149.00M,2.052B,113.00M,,,72.00M,3.489B,6.957B,902.00M,27.00M,60.00M,989.00M,643.00M,1.632B,6.00M,6.00M,,6.00M,,,,1.686B,3.421B,,3.421B,397.00M,397.00M,228.00M,666.00M,4.484B,6.17B,349.00M,79.00M,16.00M,,,,115.00M,559.00M
2013-09,1.011B,277.00M,1.288B,1.211B,,1.211B,256.00M,94.00M,427.00M,777.00M,119.00M,,,3.493B,,,,,,,,1.257B,1.90B,149.00M,2.049B,,,,260.00M,3.566B,7.059B,986.00M,,,986.00M,847.00M,1.833B,5.00M,5.00M,,5.00M,,,49.00M,1.887B,3.421B,,3.421B,1.065B,1.065B,212.00M,,4.486B,6.373B,349.00M,36.00M,8.00M,,,,81.00M,474.00M
2013-06,1.223B,,1.223B,1.255B,,1.255B,261.00M,95.00M,435.00M,791.00M,109.00M,,,3.479B,,,,,,,,1.276B,1.894B,149.00M,2.043B,,,,264.00M,3.583B,7.062B,998.00M,,,998.00M,789.00M,1.787B,207.00M,207.00M,,207.00M,,,48.00M,2.042B,3.421B,,3.421B,1.05B,1.05B,193.00M,,4.471B,6.513B,349.00M,-40.00M,0.00,,,,47.00M,356.00M
2013-03,1.032B,,1.032B,1.174B,,1.174B,261.00M,94.00M,408.00M,763.00M,107.00M,,,3.174B,,,,,,,,1.294B,1.891B,150.00M,2.041B,,,,270.00M,3.605B,6.779B,863.00M,,,863.00M,714.00M,1.577B,206.00M,206.00M,,206.00M,,,43.00M,1.826B,3.421B,,3.421B,1.037B,1.037B,213.00M,,4.458B,6.284B,349.00M,-103.00M,0.00,,,,36.00M,282.00M
2012-12,1.04B,311.00M,1.351B,933.00M,,933.00M,261.00M,96.00M,369.00M,726.00M,107.00M,,,3.217B,0.0,140.00M,819.00M,2.054B,,3.013B,-1.687B,1.326B,1.894B,151.00M,2.045B,95.00M,2.00M,,190.00M,3.658B,6.875B,788.00M,27.00M,51.00M,866.00M,699.00M,1.565B,206.00M,206.00M,,206.00M,,,51.00M,1.862B,3.422B,,3.422B,1.053B,1.053B,212.00M,,4.479B,6.341B,349.00M,-102.00M,16.00M,,,,59.00M,322.00M
2012-09,1.166B,,1.166B,,,1.156B,290.00M,91.00M,449.00M,830.00M,83.00M,,,3.255B,,,,,,,,1.484B,1.891B,193.00M,2.084B,,,,193.00M,3.761B,7.016B,866.00M,,,866.00M,884.00M,1.75B,207.00M,207.00M,,207.00M,,,10.00M,1.967B,3.422B,,3.422B,953.00M,953.00M,207.00M,,4.375B,6.342B,349.00M,-15.00M,34.00M,,,,99.00M,467.00M
2012-06,1.853B,,1.853B,,,1.206B,288.00M,95.00M,461.00M,844.00M,68.00M,,,3.99B,,,,,,,,1.489B,1.885B,194.00M,2.079B,,,,201.00M,3.769B,7.759B,941.00M,,,941.00M,850.00M,1.791B,751.00M,751.00M,,751.00M,,,9.00M,2.551B,3.622B,,3.622B,967.00M,967.00M,190.00M,,4.589B,7.14B,348.00M,-30.00M,50.00M,,,,61.00M,429.00M
2012-03,1.788B,,1.788B,,,1.19B,283.00M,99.00M,446.00M,828.00M,78.00M,,,3.901B,,,,,,,,1.545B,1.895B,195.00M,2.09B,,,,214.00M,3.849B,7.75B,904.00M,,,904.00M,712.00M,1.616B,754.00M,754.00M,,754.00M,,,8.00M,2.378B,3.622B,,3.622B,958.00M,958.00M,233.00M,,4.58B,6.958B,349.00M,45.00M,62.00M,,,,103.00M,559.00M
2011-12,1.656B,,1.656B,914.00M,,914.00M,280.00M,99.00M,390.00M,769.00M,70.00M,,,3.429B,0.0,183.00M,1.004B,2.159B,,3.346B,-1.779B,1.567B,1.891B,196.00M,2.087B,112.00M,1.00M,,101.00M,3.868B,7.297B,770.00M,27.00M,28.00M,825.00M,668.00M,1.493B,803.00M,803.00M,,803.00M,,,35.00M,2.363B,3.222B,,3.222B,970.00M,970.00M,215.00M,,4.192B,6.555B,348.00M,38.00M,65.00M,,,,76.00M,527.00M
2011-09,1.61B,,1.61B,,,1.133B,297.00M,96.00M,457.00M,850.00M,118.00M,,,3.711B,,,,,,,,1.656B,2.387B,256.00M,2.643B,,,,202.00M,4.501B,8.212B,866.00M,,,866.00M,813.00M,1.679B,806.00M,806.00M,,806.00M,,,,2.485B,3.224B,,3.224B,1.016B,1.016B,220.00M,,4.24B,6.725B,348.00M,638.00M,50.00M,,,,231.00M,1.267B
2011-06,1.611B,,1.611B,,,1.188B,307.00M,101.00M,493.00M,901.00M,131.00M,,,3.831B,,,,,,,,1.698B,2.399B,266.00M,2.665B,,,,224.00M,4.587B,8.418B,921.00M,,,921.00M,814.00M,1.735B,65.00M,65.00M,,65.00M,,,,1.80B,4.027B,,4.027B,1.054B,1.054B,222.00M,,5.081B,6.881B,348.00M,628.00M,37.00M,,,,302.00M,1.315B
2011-03,1.505B,,1.505B,,,1.113B,265.00M,111.00M,463.00M,839.00M,138.00M,,,3.595B,,,,,,,,1.719B,2.395B,268.00M,2.663B,,,,269.00M,4.651B,8.246B,787.00M,,,787.00M,773.00M,1.56B,66.00M,66.00M,,66.00M,,,,1.626B,4.03B,,4.03B,1.04B,1.04B,224.00M,,5.07B,6.696B,348.00M,647.00M,21.00M,,,,310.00M,1.326B
2010-12,1.715B,,1.715B,,,888.00M,246.00M,93.00M,393.00M,732.00M,129.00M,,,3.464B,0.0,190.00M,1.03B,2.419B,,3.639B,-1.902B,1.737B,2.383B,269.00M,2.652B,,,,287.00M,4.676B,8.14B,602.00M,,,602.00M,819.00M,1.421B,66.00M,66.00M,,66.00M,,,,1.487B,4.032B,,4.032B,1.039B,1.039B,198.00M,,5.071B,6.558B,349.00M,720.00M,42.00M,,,,273.00M,1.384B
2010-06,1.384B,,1.384B,,,1.157B,275.00M,112.00M,453.00M,840.00M,297.00M,,,3.678B,,,,,,,,1.851B,3.077B,283.00M,3.36B,,,,302.00M,5.513B,9.191B,729.00M,,,729.00M,823.00M,1.552B,66.00M,66.00M,,66.00M,,,,1.618B,4.038B,,4.038B,927.00M,927.00M,161.00M,,4.965B,6.583B,348.00M,1.814B,23.00M,,,,262.00M,2.447B
2010-03,1.378B,,1.378B,,,1.147B,266.00M,109.00M,430.00M,805.00M,310.00M,,,3.64B,,,,,,,,1.92B,3.095B,286.00M,3.381B,,,,345.00M,5.646B,9.286B,673.00M,,,673.00M,777.00M,1.45B,66.00M,66.00M,,66.00M,,,,1.516B,4.10B,,4.10B,967.00M,967.00M,185.00M,,5.067B,6.583B,348.00M,1.837B,8.00M,,,,325.00M,2.518B
2009-12,1.413B,,1.413B,,,983.00M,247.00M,91.00M,405.00M,743.00M,312.00M,,,3.451B,0.0,195.00M,1.044B,2.42B,,3.659B,-1.678B,1.981B,3.108B,290.00M,3.398B,,,,345.00M,5.724B,9.175B,578.00M,,,578.00M,839.00M,1.417B,364.00M,364.00M,,364.00M,,,,1.781B,3.604B,,3.604B,973.00M,973.00M,188.00M,,4.577B,6.358B,350.00M,1.871B,42.00M,,,,366.00M,2.629B
2009-09,1.199B,,1.199B,,,1.193B,283.00M,89.00M,426.00M,798.00M,325.00M,,,3.515B,,,,,,,,2.007B,3.387B,293.00M,3.68B,,,,360.00M,6.047B,9.562B,623.00M,,,623.00M,867.00M,1.49B,369.00M,369.00M,,369.00M,,,,1.859B,3.606B,,3.606B,1.028B,1.028B,181.00M,,4.634B,6.493B,350.00M,2.083B,34.00M,,,,421.00M,2.888B
2009-06,926.00M,,926.00M,,,1.236B,308.00M,103.00M,475.00M,886.00M,346.00M,,,3.394B,,,,,,,,2.066B,3.378B,295.00M,3.673B,,,,354.00M,6.093B,9.487B,637.00M,,,637.00M,862.00M,1.499B,370.00M,370.00M,,370.00M,,,,1.869B,3.61B,,3.61B,1.003B,1.003B,163.00M,,4.613B,6.482B,350.00M,2.082B,23.00M,,,,387.00M,2.842B
2009-03,813.00M,,813.00M,,,1.138B,310.00M,115.00M,476.00M,901.00M,326.00M,,,3.178B,,,,,,,,2.076B,3.361B,296.00M,3.657B,,,,358.00M,6.091B,9.269B,603.00M,,,603.00M,821.00M,1.424B,369.00M,369.00M,,369.00M,,,,1.793B,3.611B,,3.611B,999.00M,999.00M,156.00M,,4.61B,6.403B,350.00M,2.054B,2.00M,,,,304.00M,2.71B
2008-12,1.028B,,1.028B,,,999.00M,333.00M,125.00M,483.00M,941.00M,332.00M,,,3.30B,0.0,203.00M,1.056B,2.486B,,3.745B,-1.609B,2.136B,3.371B,299.00M,3.67B,,,,377.00M,6.183B,9.483B,531.00M,,,531.00M,945.00M,1.476B,71.00M,71.00M,,71.00M,,,,1.547B,3.915B,,3.915B,1.04B,1.04B,160.00M,,4.955B,6.502B,351.00M,2.162B,0.00,,,,308.00M,2.821B
2008-09,1.03B,,1.03B,1.442B,,1.442B,390.00M,134.00M,556.00M,1.08B,284.00M,,,3.836B,,,,,,3.817B,-1.623B,2.194B,3.888B,316.00M,4.204B,,,,403.00M,6.801B,10.64B,717.00M,,,717.00M,1.068B,1.785B,115.00M,115.00M,,115.00M,,,,1.90B,3.961B,,3.961B,1.026B,1.026B,,,4.987B,6.887B,351.00M,2.737B,,,723.00M,-61.00M,662.00M,3.75B
2008-06,853.00M,,853.00M,1.567B,,1.567B,422.00M,143.00M,614.00M,1.179B,321.00M,,27.00M,3.947B,,,,,,3.872B,-1.623B,2.249B,3.944B,320.00M,4.264B,,,,433.00M,6.946B,10.89B,808.00M,,,808.00M,997.00M,1.805B,116.00M,116.00M,,116.00M,,,18.00M,1.939B,3.96B,,3.96B,1.04B,1.04B,,,5.00B,6.939B,352.00M,2.784B,,,,,818.00M,3.954B
2008-03,630.00M,,630.00M,1.541B,,1.541B,412.00M,138.00M,610.00M,1.16B,345.00M,,112.00M,3.788B,,,,,,3.884B,-1.623B,2.261B,3.942B,321.00M,4.263B,,,,577.00M,7.101B,10.89B,768.00M,,,768.00M,932.00M,1.70B,117.00M,117.00M,,117.00M,,,46.00M,1.863B,3.996B,,3.996B,1.038B,1.038B,,,5.034B,6.897B,355.00M,2.808B,,,894.00M,-65.00M,829.00M,3.992B
2007-12,922.00M,,922.00M,,,1.405B,418.00M,156.00M,552.00M,1.126B,355.00M,,,3.808B,0.0,214.00M,1.135B,2.641B,,3.99B,-1.623B,2.367B,3.938B,323.00M,4.261B,,,,471.00M,7.099B,10.91B,714.00M,,,714.00M,1.072B,1.786B,122.00M,122.00M,,122.00M,,,,1.908B,3.966B,,3.966B,1.008B,1.008B,,,4.974B,6.882B,359.00M,2.969B,,,,,697.00M,4.025B
2007-09,690.00M,,690.00M,1.762B,,1.762B,450.00M,157.00M,600.00M,1.207B,320.00M,,,3.979B,,,,,,3.828B,-1.477B,2.351B,4.108B,371.00M,4.479B,,,,523.00M,7.353B,11.33B,839.00M,,,839.00M,1.149B,1.988B,24.00M,24.00M,,24.00M,,,,2.012B,4.043B,,4.043B,1.074B,1.074B,,,5.117B,7.129B,361.00M,3.216B,,,742.00M,-116.00M,626.00M,4.203B
2007-06,853.00M,,853.00M,1.866B,,1.866B,469.00M,156.00M,644.00M,1.269B,317.00M,,,4.305B,,,,,,3.811B,-1.477B,2.334B,4.086B,375.00M,4.461B,,,,553.00M,7.348B,11.65B,943.00M,,,943.00M,1.14B,2.083B,325.00M,325.00M,,325.00M,,,,2.408B,4.022B,,4.022B,1.077B,1.077B,,,5.099B,7.507B,367.00M,3.226B,,,671.00M,-118.00M,553.00M,4.146B
2007-03,1.165B,,1.165B,1.779B,,1.779B,460.00M,159.00M,660.00M,1.279B,313.00M,,,4.536B,,,,,,3.828B,-1.477B,2.351B,3.965B,304.00M,4.269B,,,,529.00M,7.149B,11.68B,890.00M,,,890.00M,1.126B,2.016B,323.00M,323.00M,,323.00M,,,,2.339B,4.044B,,4.044B,1.041B,1.041B,,,5.085B,7.424B,376.00M,3.364B,,,639.00M,-118.00M,521.00M,4.261B
2006-12,1.958B,,1.958B,1.613B,,1.613B,480.00M,173.00M,610.00M,1.263B,281.00M,,,5.115B,0.0,205.00M,1.069B,2.566B,,3.84B,-1.477B,2.363B,3.957B,306.00M,4.263B,,,,584.00M,7.21B,12.32B,815.00M,,,815.00M,1.128B,1.943B,1.446B,1.446B,,1.446B,,,,3.389B,3.533B,,3.533B,932.00M,932.00M,,,4.465B,7.854B,384.00M,3.575B,,,627.00M,-115.00M,512.00M,4.471B
