,NetIncome,OperatingGainsLosses,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2001-03,115.00M,0.30M,23.00M,23.00M,23.00M,,-96.63M,-45.56M,-27.81M,,,-170.00M,,-31.70M,-65.26M,,-65.26M,-77.62M,,-63.12M,-206.00M,,,265.63M,,-48.14M,-48.14M,,-59.79M,,,157.70M,169.43M,-80.00M,,89.43M,,,,-48.14M
2000-12,44.90M,-69.76M,,190.53M,190.53M,,105.71M,5.53M,-118.02M,,,-84.14M,,241.39M,-134.53M,,-134.53M,-76.63M,,126.92M,-84.24M,,,29.82M,0.04M,-181.70M,-181.66M,,-55.20M,,38.09M,-168.95M,181.23M,-11.80M,,169.43M,0.04M,,,-181.70M
2000-09,187.40M,8.73M,,17.70M,17.70M,,-0.16M,15.06M,62.63M,,,77.53M,,291.36M,-83.66M,,-83.66M,-2.20M,,-119.59M,-205.45M,,,-32.00M,156.00M,-57.19M,98.81M,,-56.22M,,-38.09M,-27.50M,122.82M,58.41M,,181.23M,156.00M,,,-57.19M
2000-06,185.40M,-5.93M,,15.90M,15.90M,,15.89M,-45.78M,17.08M,,,-12.81M,,182.56M,-83.73M,,-83.73M,-339.59M,,-77.22M,-500.54M,,,441.05M,,-20.56M,-20.56M,,-53.91M,,,366.58M,74.22M,48.60M,,122.82M,,,,-20.56M
2000-03,174.00M,-22.99M,,14.20M,14.20M,,-133.53M,-64.62M,51.47M,,,-146.68M,,18.53M,-86.11M,,-86.11M,-170.36M,,-128.41M,-384.88M,,,263.14M,,,,,-53.35M,,,209.79M,230.78M,-156.56M,,74.22M,,,,
1999-12,178.70M,-65.30M,,150.10M,150.10M,-64.90M,67.80M,-4.70M,-34.20M,,-29.90M,-1.00M,,202.80M,-106.00M,,-106.00M,,,51.00M,-55.00M,,,-7.30M,,0.40M,0.40M,,-53.40M,,-2.20M,-62.50M,145.50M,85.30M,,230.80M,,,,0.40M
1999-09,128.00M,12.20M,,13.40M,13.40M,64.90M,-104.00M,-33.60M,41.40M,,,-96.20M,,122.30M,-511.90M,,-511.90M,,,-32.70M,-544.60M,,,501.60M,,0.00,0.00,,-37.10M,,13.60M,478.10M,78.40M,55.80M,,145.50M,,,,0.00
1999-06,111.00M,-16.70M,,10.00M,10.00M,,48.00M,13.10M,7.10M,,-49.90M,18.30M,,122.60M,-455.50M,,-455.50M,62.70M,,8.90M,-383.90M,,,116.90M,,-58.00M,-58.00M,,-37.30M,,0.10M,21.70M,329.30M,-239.60M,,78.40M,,,,-58.00M
1999-03,151.90M,4.50M,,8.30M,8.30M,,-128.60M,-43.10M,,,49.90M,-121.80M,,42.90M,-72.50M,,-72.50M,-62.70M,,-13.30M,-148.50M,,,-32.20M,,-48.80M,-48.80M,,-37.20M,,,-118.20M,553.20M,-223.80M,,329.30M,,,,-48.80M
1998-12,137.80M,-124.90M,,136.10M,136.10M,4.20M,73.80M,17.10M,-40.60M,,13.60M,63.90M,,278.80M,-173.60M,54.60M,-119.00M,,,-25.40M,-144.40M,,,53.60M,,,,,7.80M,,0.00,-28.70M,447.50M,105.70M,,553.20M,,,,
1998-09,199.70M,18.80M,,7.80M,7.80M,-4.20M,-75.60M,-38.80M,60.90M,,-15.80M,-69.30M,,152.80M,-128.70M,28.40M,-100.30M,,,40.00M,-60.30M,,,56.00M,,,,,-82.60M,,-44.40M,-71.00M,0.00,21.50M,,447.50M,,,,
1998-06,117.00M,-18.80M,,6.80M,6.80M,14.50M,8.70M,-12.40M,,,43.50M,39.80M,,159.30M,-68.20M,54.60M,-13.60M,,-54.60M,-65.00M,-133.20M,,,251.40M,,,,,-35.80M,,0.10M,215.70M,0.00,241.80M,,0.00,,,,
