,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDiluted,,SharesData(Quarterly),DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2001-07,169.79M,169.79M,112.88M,56.92M,41.68M,,0.067M,,,,,41.68M,15.23M,,,,0.067M,,13.75M,5.362M,8.387M,,,8.387M,8.346M,15.23M,,2001-07,0.3704,0.00,0.3704,,2001-07,0.3598,0.00,0.3598,,2001-07,0.1693,,2001-07,,
2001-04,161.45M,161.45M,111.43M,50.02M,35.76M,,0.579M,,,,0.00,35.76M,14.26M,,,,0.579M,,13.00M,4.144M,8.853M,,0.00,8.853M,8.459M,14.26M,,2001-04,0.29,0.04,0.29,,2001-04,0.24,0.04,0.28,,2001-04,0.1693,,2001-04,,
2001-01,153.63M,153.63M,101.18M,52.44M,39.69M,,-0.038M,,,,,39.69M,12.75M,,,,-0.038M,,11.09M,4.051M,7.039M,,,7.039M,7.063M,12.75M,,2001-01,0.29,0.00,0.29,,2001-01,0.29,0.00,0.29,,2001-01,0.1693,,2001-01,,
2000-10,169.84M,169.84M,115.46M,54.37M,40.66M,,-2.302M,,,,2.152M,42.81M,11.56M,,,,-2.302M,,10.15M,3.945M,6.209M,,,6.209M,7.617M,11.56M,,2000-10,0.25,0.00,0.25,,2000-10,0.24,0.00,0.24,,2000-10,0.1693,,2000-10,,
2000-07,166.33M,166.33M,110.40M,55.92M,39.86M,,-0.199M,,,,,39.86M,16.07M,,,,-0.199M,,15.72M,6.161M,9.558M,,-0.992M,8.566M,9.679M,16.07M,,2000-07,0.34,-0.04,0.30,,2000-07,0.34,-0.04,0.30,,2000-07,0.1693,,2000-07,,
2000-04,166.00M,166.00M,,,,,,,,,,,601.33M,,,,,,,,0.884M,,,0.884M,0.884M,601.33M,,2000-04,0.0656,,0.0656,,2000-04,0.0656,,0.0656,,2000-04,0.1587,,2000-04,AOR,Restated
2000-01,150.43M,150.43M,95.94M,54.49M,41.44M,,0.173M,,,,4.805M,46.24M,8.249M,,,,0.173M,,7.716M,2.753M,4.963M,,,4.963M,4.852M,8.249M,,2000-01,0.1799,0.00,0.1799,,2000-01,0.1799,0.00,0.1799,,2000-01,0.1587,,2000-01,AOR,
1999-10,164.00M,164.00M,109.10M,54.90M,39.80M,,0.30M,,,,,39.80M,15.10M,,,,0.30M,,15.20M,5.80M,9.40M,,,9.40M,9.214M,15.10M,,1999-10,0.6929,,0.6929,,1999-10,0.6929,,0.6929,,1999-10,0.1587,,1999-10,AOR,
1999-07,161.50M,161.50M,103.50M,58.00M,40.80M,,0.40M,,,,,40.80M,17.20M,,,,0.40M,,17.80M,6.80M,11.00M,,,11.00M,10.75M,17.20M,,1999-07,0.8109,,0.8109,,1999-07,0.8109,,0.8109,,1999-07,0.1587,,1999-07,AOR,
1999-04,166.46M,166.46M,,,,,,,,,,,568.26M,,,,,,,,10.53M,,,10.53M,10.53M,568.26M,,1999-04,0.7744,,0.7744,,1999-04,0.7744,,0.7744,,1999-04,0.1481,,1999-04,AOR,Restated
1999-01,140.80M,140.80M,91.70M,49.10M,35.50M,,0.10M,,,,,35.50M,13.60M,,,,0.10M,,13.80M,5.60M,8.20M,,,8.20M,8.14M,13.60M,,1999-01,0.6029,,0.6029,,1999-01,0.6029,,0.6029,,1999-01,0.1481,,1999-01,AOR,
1998-10,154.90M,154.90M,103.20M,51.70M,37.40M,,0.60M,,,,,37.40M,14.30M,,,,0.60M,,14.70M,5.60M,9.10M,,,9.10M,8.729M,14.30M,,1998-10,0.6690,,0.6690,,1998-10,0.6690,,0.6690,,1998-10,0.1481,,1998-10,AOR,
1998-07,150.50M,150.50M,96.60M,53.90M,37.30M,,0.90M,,,,,37.30M,16.60M,,,,0.90M,,17.40M,7.00M,10.40M,,,10.40M,9.86M,16.60M,,1998-07,0.7646,,0.7646,,1998-07,0.7646,,0.7646,,1998-07,0.1481,,1998-07,AOR,
