,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2014-11,222.20M,,,,-12.70M,-12.70M,40.10M,11.50M,51.60M,51.60M,12.70M,3.20M,,,14.20M,22.50M,-49.50M,-171.30M,-37.70M,26.80M,,,,-231.70M,82.00M,,-233.10M,,-233.10M,-21.40M,,1.00M,-253.50M,,122.70M,,122.70M,,,,0.00,0.00,12.10M,0.70M,135.50M,,104.30M,-36.00M,-1.00M,67.30M,,,653.60M,-530.90M,,,AOR,Restated
2014-08,195.80M,,,,,,39.30M,14.20M,53.50M,53.50M,28.00M,3.20M,,,16.20M,-18.70M,-7.00M,-2.50M,-13.30M,180.60M,,,,157.80M,435.80M,,-176.80M,,-176.80M,0.00,,6.90M,-169.90M,,-10.70M,,-10.70M,,,,0.00,0.00,11.30M,-538.70M,-538.10M,,378.00M,-272.20M,-1.50M,104.30M,,,18.90M,-29.60M,,,AOR,Restated
2014-05,206.70M,,,,,,39.00M,10.50M,49.50M,49.50M,39.60M,2.60M,,,11.70M,7.60M,-24.30M,-31.80M,-17.40M,-11.90M,,,,-85.40M,232.30M,,-131.40M,,-131.40M,,,-4.90M,-136.30M,,173.30M,,173.30M,,,,0.00,0.00,10.80M,29.00M,213.10M,,63.90M,309.10M,5.00M,378.00M,,,178.10M,-4.80M,,,AOR,Restated
2014-02,157.20M,,,,52.10M,52.10M,37.70M,4.30M,42.00M,42.00M,31.50M,-8.30M,0.00,,12.40M,-40.50M,41.20M,71.10M,-12.00M,-149.60M,,,,-49.30M,197.10M,,-137.60M,,-137.60M,-0.30M,,31.60M,-106.30M,,-119.10M,,-119.10M,,,,,,30.30M,0.70M,-88.10M,,65.20M,2.70M,-4.00M,63.90M,,,-113.30M,-5.80M,,,AOR,Restated
2013-11,211.00M,,,,-13.00M,-13.00M,38.00M,4.10M,42.10M,42.10M,0.50M,3.30M,0.00,,11.90M,-5.50M,-13.10M,-179.60M,-5.80M,88.30M,,,,-110.20M,140.10M,,-36.70M,,-36.70M,-8.10M,,6.70M,-38.10M,,-182.20M,,-182.20M,,,,,,15.60M,10.90M,-155.70M,,116.80M,-53.70M,2.10M,65.20M,,,-101.50M,-80.70M,,,AOR,Restated
2013-08,1.522B,,,,-1.645B,-1.645B,36.60M,5.60M,42.20M,42.20M,-11.40M,3.30M,300.90M,,12.80M,10.90M,-9.80M,36.70M,23.80M,199.70M,,,,250.40M,485.70M,,-27.20M,,-27.20M,-4.673B,,0.70M,-4.699B,,2.221B,,2.221B,,,,,,17.60M,1.487B,3.725B,,609.30M,-488.40M,-4.10M,116.80M,,,2.226B,-5.00M,,,AOR,Restated
2013-05,52.90M,,,,-35.70M,-35.70M,27.50M,1.50M,29.00M,29.00M,21.00M,1.70M,,,12.80M,14.00M,18.20M,30.70M,-6.20M,-135.10M,,,,-92.40M,3.30M,,-22.00M,,-22.00M,,,2.00M,-20.00M,,1.766B,,1.766B,,,,,,62.40M,-1.533B,295.50M,,331.50M,278.80M,-1.00M,609.30M,,,1.771B,-4.90M,,,AOR,Restated
2013-02,81.70M,,0.10M,,-15.90M,-15.80M,28.20M,1.70M,29.90M,29.90M,-1.30M,1.80M,-2.80M,,9.50M,21.20M,65.30M,106.70M,-9.30M,-119.60M,,,,43.10M,167.30M,,-9.90M,,-9.90M,0.00,,3.30M,-6.60M,,-702.20M,,-702.20M,,0.00,0.00,,,25.60M,649.90M,-26.70M,,200.50M,134.00M,-3.00M,331.50M,,,-372.60M,-329.60M,0.00,,AOR,Restated
2012-11,109.50M,,0.40M,,24.10M,24.50M,27.60M,1.90M,29.50M,29.50M,8.60M,1.80M,0.00,,9.90M,-8.30M,-53.10M,-233.90M,0.70M,131.30M,,,,-155.00M,20.50M,,-16.60M,,-16.60M,0.40M,,0.00,-16.20M,,-11.30M,,-11.30M,,0.00,0.00,,,24.50M,4.70M,17.90M,,178.50M,22.20M,-0.20M,200.50M,,,0.00,-11.30M,0.00,,AOR,Restated
2012-08,124.60M,,0.40M,,27.40M,27.80M,26.10M,1.80M,27.90M,27.90M,19.60M,-0.20M,0.00,,9.80M,-11.60M,-23.60M,6.00M,-0.20M,92.00M,,,,74.20M,272.10M,,-16.00M,,-16.00M,-159.70M,,2.80M,-172.90M,,560.30M,,560.30M,,0.00,0.00,,,100.20M,-652.50M,8.00M,,69.10M,107.20M,2.20M,178.50M,,,650.00M,-89.70M,0.00,,AOR,Restated
2012-05,72.00M,,-0.90M,,-28.00M,-28.90M,26.30M,1.80M,28.10M,28.10M,12.30M,1.40M,2.80M,,11.60M,27.10M,-27.50M,31.20M,-0.80M,-32.90M,,,,-30.00M,96.40M,,-19.60M,,-19.60M,,,8.50M,-11.10M,,293.40M,,293.40M,,-383.00M,-383.00M,,,12.40M,-20.70M,-97.90M,,85.80M,-12.60M,-4.10M,69.10M,,,1.40B,-1.107B,-383.00M,,AOR,Restated
2012-02,103.00M,3.00M,,2.50M,-24.50M,-19.00M,26.80M,-3.60M,23.20M,23.20M,11.20M,,,,10.10M,-16.50M,133.90M,89.30M,-7.10M,-229.40M,,,,-13.30M,143.30M,,-14.30M,,-14.30M,-3.90M,0.00,1.80M,-16.40M,,21.20M,,21.20M,-2.40M,-132.40M,-134.80M,,,13.70M,-0.20M,-100.10M,,55.80M,26.80M,3.20M,85.80M,,-2.40M,26.60M,-5.40M,-132.40M,,AOR,Restated
2011-11,104.80M,-2.20M,,-2.50M,17.10M,12.30M,25.60M,2.70M,28.30M,28.30M,12.10M,,,,13.30M,-12.50M,-55.00M,-156.50M,5.90M,170.70M,,,,-34.90M,123.40M,,-14.90M,,-14.90M,-49.60M,20.20M,-1.20M,-45.50M,,59.30M,,59.30M,0.00,-93.80M,-93.80M,,,3.30M,0.50M,-30.70M,,10.00M,47.20M,-1.40M,55.80M,,0.00,109.90M,-50.60M,-93.80M,,AOR,Restated
2011-08,162.70M,0.60M,,,12.40M,13.00M,22.80M,2.60M,25.40M,25.40M,13.90M,,,,10.50M,-3.70M,-42.10M,51.20M,-3.70M,48.90M,,,,54.30M,276.10M,,-18.20M,,-18.20M,-21.30M,,0.10M,-39.40M,,-57.80M,,-57.80M,2.40M,-187.50M,-185.10M,,,2.50M,0.70M,-239.70M,,13.40M,-3.00M,-0.40M,10.00M,,2.40M,-55.20M,-2.60M,-187.50M,,AOR,Restated
