,Cash,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-05,,210.00M,210.00M,827.90M,827.90M,162.40M,1.318B,587.60M,2.068B,498.50M,,3.605B,,,,,4.816B,,4.816B,,4.816B,8.050B,3.302B,11.35B,1.041B,2.194B,88.50M,19.49B,23.10B,,650.30M,,,650.30M,649.60M,1.300B,,239.70M,138.00M,312.90M,690.60M,,690.60M,,,,1.990B,9.416B,,9.416B,,,9.40M,1.124B,10.54B,12.53B,,2.90M,12.00B,2.835B,3.905B,,,,-378.60M,10.56B,,AOR,Restated
2018-02,,90.30M,90.30M,776.20M,1.107B,160.80M,1.383B,540.40M,2.084B,59.20M,133.40M,3.474B,0.00,438.00M,883.00M,3.642B,,1.072B,6.035B,-1.484B,4.551B,8.083B,3.305B,11.39B,793.70M,0.00,331.70M,17.06B,20.54B,,592.20M,77.20M,,669.40M,444.70M,1.114B,,,,,769.10M,,769.10M,,,156.40M,2.040B,9.418B,,9.418B,1.090B,1.090B,16.60M,,10.51B,12.55B,,2.90M,9.157B,2.825B,3.807B,,,,-202.90M,7.975B,,AOR,Restated
2017-11,,154.50M,154.50M,779.50M,779.50M,157.00M,1.444B,566.80M,2.168B,444.00M,,3.546B,,,,,4.551B,,4.551B,,4.551B,8.086B,3.304B,11.39B,,,621.00M,16.56B,20.11B,,742.20M,,,742.20M,557.70M,1.300B,1.213B,,,23.20M,1.236B,,1.236B,,,,2.536B,8.114B,,8.114B,1.234B,1.234B,15.20M,214.30M,9.562B,12.10B,,2.90M,8.402B,2.809B,3.011B,,,,-209.00M,7.994B,,AOR,Restated
2017-08,,125.60M,125.60M,853.30M,853.30M,172.90M,1.192B,564.40M,1.930B,464.80M,,3.373B,,,,,4.464B,,4.464B,,4.464B,8.114B,3.309B,11.42B,,,157.50M,16.04B,19.42B,,601.70M,,,601.70M,577.80M,1.180B,814.00M,,,96.50M,910.50M,,910.50M,,,,2.09B,8.037B,,8.037B,1.167B,1.167B,17.20M,179.10M,9.383B,11.47B,,2.90M,8.011B,2.788B,2.786B,,,,-87.40M,7.928B,,AOR,Restated
2017-05,,199.10M,199.10M,832.00M,832.00M,169.50M,1.190B,577.60M,1.937B,392.50M,,3.360B,,,,,4.187B,,4.187B,,4.187B,7.972B,3.290B,11.26B,,,150.00M,15.60B,18.96B,,558.80M,,,558.80M,489.30M,1.048B,988.10M,,,146.20M,1.134B,,1.134B,,,,2.182B,8.077B,,8.077B,1.136B,1.136B,8.10M,166.50M,9.379B,11.56B,,2.90M,7.612B,2.760B,2.773B,,,,-212.30M,7.390B,,AOR,Restated
2017-02,,177.40M,177.40M,737.00M,915.70M,149.70M,1.260B,545.30M,1.955B,57.80M,124.00M,3.23B,0.00,400.40M,736.10M,3.204B,,636.90M,4.977B,-1.277B,3.700B,7.920B,3.378B,11.30B,,,374.00M,15.37B,18.60B,,559.80M,104.80M,,664.60M,352.90M,1.018B,,,,,1.517B,,1.517B,,,162.70M,2.698B,7.721B,,7.721B,1.134B,1.134B,-6.40M,165.70M,9.02B,11.72B,,2.90M,7.31B,2.756B,2.778B,,,,-399.80M,6.891B,,AOR,Restated
2016-11,,197.30M,197.30M,856.00M,856.00M,140.50M,1.383B,599.90M,2.123B,268.40M,,3.445B,,,,,3.708B,,3.708B,,3.708B,7.518B,3.494B,11.01B,,,155.20M,14.88B,18.32B,,772.30M,33.00M,,805.30M,562.20M,1.368B,353.40M,,,915.70M,1.269B,,1.269B,,,,2.637B,7.362B,,7.362B,1.124B,1.124B,-20.30M,199.30M,8.686B,11.32B,,2.90M,6.935B,2.706B,2.029B,,,,-596.70M,7.018B,,AOR,Restated
2016-08,,177.30M,177.30M,831.10M,831.10M,137.80M,1.147B,570.40M,1.855B,306.20M,,3.170B,,,,,3.632B,,3.632B,,3.632B,7.357B,3.442B,10.80B,,,117.20M,14.55B,17.72B,,624.50M,35.90M,,660.40M,531.80M,1.192B,114.30M,,,893.10M,1.007B,,1.007B,,,,2.200B,7.022B,,7.022B,1.164B,1.164B,-8.30M,158.00M,8.344B,10.54B,,2.90M,6.609B,2.675B,1.662B,,,,-443.10M,7.182B,,AOR,Restated
2016-05,,167.30M,167.30M,773.30M,773.30M,118.40M,1.157B,643.30M,1.919B,359.10M,,3.218B,,,,,3.507B,,3.507B,,3.507B,7.350B,3.440B,10.79B,,,113.70M,14.41B,17.63B,,558.50M,39.70M,,598.20M,482.90M,1.081B,29.80M,,,1.588B,1.618B,,1.618B,,,,2.699B,6.691B,,6.691B,1.092B,1.092B,140.60M,159.90M,7.943B,10.64B,,2.90M,6.329B,2.634B,1.662B,,,,-456.50M,6.848B,,AOR,Restated
2016-02,,83.10M,83.10M,732.50M,857.00M,107.20M,1.219B,525.70M,1.852B,82.60M,103.30M,2.978B,0.00,338.70M,809.10M,2.328B,,792.40M,4.268B,-1.179B,3.089B,7.139B,3.404B,10.54B,,,356.00M,13.99B,16.96B,,429.30M,58.60M,,487.90M,315.80M,803.70M,408.30M,,,856.70M,1.265B,,1.265B,,,203.60M,2.272B,6.816B,,6.816B,1.022B,1.022B,132.20M,162.50M,8.001B,10.27B,,2.90M,6.090B,2.589B,1.670B,,,,-452.50M,6.560B,,AOR,Restated
2015-11,,491.30M,491.30M,714.70M,714.70M,91.10M,1.289B,504.40M,1.885B,370.30M,,3.461B,,,,,2.949B,,2.949B,,2.949B,6.382B,3.187B,9.569B,,,177.10M,12.70B,16.16B,,420.90M,32.50M,,453.40M,579.40M,1.033B,31.10M,,,856.90M,888.00M,,888.00M,,,,1.921B,6.515B,,6.515B,986.40M,986.40M,104.30M,137.70M,7.639B,9.560B,,2.90M,5.908B,2.564B,1.638B,,,,-344.90M,6.492B,,AOR,Restated
2015-08,,329.70M,329.70M,723.50M,723.50M,94.30M,1.144B,538.80M,1.777B,301.20M,,3.132B,,,,,2.773B,,2.773B,,2.773B,6.417B,3.189B,9.606B,,,163.10M,12.54B,15.67B,,373.30M,26.90M,,400.20M,626.60M,1.027B,29.30M,,,156.10M,185.40M,,185.40M,,,,1.212B,7.238B,,7.238B,894.40M,894.40M,102.20M,163.60M,8.296B,9.508B,,2.80M,5.698B,2.369B,1.638B,,,,-370.20M,6.063B,,AOR,Restated
2015-05,,130.70M,130.70M,696.20M,696.20M,98.40M,1.168B,516.80M,1.784B,368.70M,,2.979B,,,,,2.742B,,2.742B,,2.742B,6.200B,3.167B,9.367B,,,158.90M,12.27B,15.25B,,289.10M,30.80M,,319.90M,521.00M,840.90M,100.90M,,,178.50M,279.40M,,279.40M,,,,1.120B,7.038B,,7.038B,860.00M,860.00M,109.40M,176.90M,8.075B,9.195B,,2.80M,5.456B,2.307B,1.639B,,,,-184.80M,5.942B,,AOR,Restated
2015-02,,110.10M,110.10M,598.90M,732.70M,106.00M,1.244B,477.20M,1.827B,91.70M,149.10M,2.911B,0.00,350.10M,580.30M,1.902B,,669.60M,3.502B,-1.050B,2.451B,6.208B,3.181B,9.389B,,,341.60M,12.18B,15.09B,,285.80M,28.70M,,314.50M,296.50M,611.00M,52.40M,,,158.10M,210.50M,,210.50M,,,309.20M,1.131B,7.086B,,7.086B,818.90M,818.90M,110.60M,176.10M,8.081B,9.212B,,2.80M,5.278B,2.270B,1.648B,,,,-130.90M,5.771B,,AOR,Restated
2014-11,,67.30M,67.30M,701.30M,701.30M,89.10M,1.291B,547.30M,1.927B,335.00M,,3.031B,,,,,2.419B,,2.419B,,2.419B,6.164B,3.195B,9.359B,,,171.80M,11.95B,14.98B,,445.90M,108.40M,1.30M,555.60M,249.40M,805.00M,100.30M,,,137.00M,237.30M,,237.30M,44.50M,44.50M,161.70M,1.248B,7.082B,,7.082B,831.40M,831.40M,,184.10M,8.097B,9.346B,,2.80M,5.063B,2.228B,1.65B,,,,-8.60M,5.635B,,AOR,Restated
2014-08,,104.30M,104.30M,656.90M,656.90M,82.60M,1.122B,574.30M,1.779B,298.00M,,2.838B,,,,,2.300B,,2.300B,,2.300B,6.149B,3.213B,9.362B,,,156.60M,11.82B,14.66B,,441.90M,107.20M,1.40M,550.50M,276.00M,826.50M,253.00M,,,615.70M,868.70M,,868.70M,44.50M,44.50M,136.60M,1.876B,6.323B,,6.323B,815.00M,815.00M,,155.50M,7.294B,9.17B,,2.80M,4.841B,2.189B,1.65B,,,,104.80M,5.487B,,AOR,Restated
2014-05,,378.00M,378.00M,651.30M,651.30M,78.80M,1.149B,553.50M,1.782B,326.40M,,3.137B,,,,,2.157B,,2.157B,,2.157B,6.153B,3.229B,9.382B,,,165.60M,11.71B,14.84B,,345.70M,96.90M,559.40M,1.002B,212.00M,1.214B,235.20M,,,614.40M,849.60M,,849.60M,48.60M,48.60M,142.50M,2.255B,6.346B,,6.346B,795.90M,795.90M,,159.20M,7.301B,9.555B,,2.80M,4.645B,2.158B,1.652B,,,,133.40M,5.287B,,AOR,Restated
2014-02,,63.90M,63.90M,626.20M,743.70M,87.80M,1.235B,420.60M,1.744B,81.60M,114.20M,2.747B,0.00,334.00M,519.50M,1.634B,,231.00M,2.719B,-924.70M,1.794B,6.147B,3.231B,9.378B,,,382.80M,11.55B,14.30B,,295.20M,73.10M,555.70M,924.00M,278.70M,1.203B,57.20M,,,590.00M,647.20M,,647.20M,52.80M,52.80M,123.00M,2.026B,6.373B,,6.373B,762.60M,762.60M,0.00,159.20M,7.295B,9.321B,,2.80M,4.438B,2.117B,1.662B,,,,86.00M,4.981B,,AOR,Restated
2013-11,,65.20M,65.20M,668.80M,774.80M,81.40M,1.306B,436.20M,1.824B,80.40M,91.00M,2.835B,0.00,333.10M,512.90M,1.618B,,122.10M,2.586B,-898.60M,1.688B,6.15B,3.237B,9.387B,,,425.80M,11.50B,14.34B,,462.40M,66.80M,552.40M,1.082B,247.00M,1.329B,170.50M,,,67.10M,237.60M,,237.60M,52.80M,52.80M,136.00M,1.755B,6.897B,,6.897B,710.00M,710.00M,,184.50M,7.792B,9.546B,,2.80M,4.281B,2.076B,1.664B,,,,94.00M,4.790B,,AOR,Restated
2013-08,,116.80M,116.80M,655.90M,754.40M,90.60M,1.116B,436.70M,1.643B,71.70M,84.20M,2.670B,0.00,330.40M,507.90M,1.580B,,95.70M,2.514B,-858.50M,1.656B,6.139B,3.244B,9.383B,,,413.60M,11.45B,14.12B,,341.20M,72.50M,556.50M,970.20M,262.80M,1.233B,272.10M,,,115.70M,387.80M,,387.80M,52.70M,52.70M,137.10M,1.811B,6.913B,,6.913B,696.80M,696.80M,,192.30M,7.802B,9.612B,,2.80M,4.07B,2.037B,1.664B,,,,64.60M,4.510B,,AOR,Restated
2013-05,,609.30M,609.30M,453.80M,453.80M,50.60M,1.099B,294.20M,1.444B,216.40M,,2.723B,,,,,1.208B,,1.208B,,1.208B,2.714B,866.20M,3.581B,,,1.941B,6.729B,9.452B,,150.00M,17.50M,,167.50M,375.40M,542.90M,221.00M,,,33.30M,254.30M,,254.30M,,,,797.20M,4.818B,,4.818B,631.10M,631.10M,,209.00M,5.658B,6.455B,,2.80M,2.548B,2.004B,1.666B,,,,108.60M,2.997B,,AOR,Restated
2013-02,,331.50M,331.50M,471.90M,589.20M,45.50M,1.168B,267.30M,1.481B,20.20M,49.40M,2.471B,0.00,304.60M,342.00M,1.138B,,47.90M,1.832B,-817.90M,1.014B,2.722B,871.40M,3.594B,,,558.70M,5.167B,7.638B,,209.00M,30.10M,,239.10M,222.20M,461.30M,0.00,,,27.60M,27.60M,,27.60M,49.30M,49.30M,139.70M,677.90M,3.278B,,3.278B,599.60M,599.60M,,222.50M,4.100B,4.778B,,2.70M,2.495B,1.907B,1.677B,,,,132.10M,2.860B,,AOR,Restated
2012-11,200.50M,200.50M,200.50M,539.10M,539.10M,45.90M,1.23B,320.40M,1.596B,144.70M,,2.481B,,,,,,,,,1.237B,2.738B,876.60M,3.615B,,,990.40M,5.842B,8.323B,,300.40M,18.10M,,318.50M,402.80M,721.30M,16.60M,,,49.90M,66.50M,,66.50M,,,,787.80M,3.929B,,3.929B,618.40M,618.40M,,212.30M,4.760B,5.547B,,2.70M,2.413B,1.873B,1.679B,,,,165.30M,2.775B,,AOR,Restated
2012-08,178.50M,178.50M,178.50M,487.10M,487.10M,46.90M,973.00M,345.00M,1.365B,147.40M,,2.178B,,,,,,,,,1.234B,2.739B,878.20M,3.618B,,,1.012B,5.863B,8.040B,,185.60M,27.70M,,213.30M,383.70M,597.00M,15.20M,,,43.80M,59.00M,,59.00M,,,,656.00M,3.929B,,3.929B,618.50M,618.50M,,219.20M,4.766B,5.422B,,2.70M,2.304B,1.833B,1.679B,,,,157.70M,2.618B,,AOR,Restated
2012-05,69.10M,69.10M,69.10M,457.80M,457.80M,48.60M,967.90M,308.70M,1.325B,119.30M,,1.971B,,,,,,,,,1.219B,2.599B,854.70M,3.454B,,,363.80M,5.037B,7.008B,,117.20M,23.40M,,140.60M,311.70M,452.30M,97.90M,,,37.70M,135.60M,,135.60M,,,,587.90M,3.285B,,3.285B,607.10M,607.10M,,228.00M,4.120B,4.708B,,2.60M,2.179B,1.717B,1.682B,,,,83.10M,2.300B,,AOR,Restated
2012-02,,85.80M,85.80M,437.60M,437.60M,47.60M,1.048B,278.50M,1.374B,136.40M,,2.034B,0.00,308.80M,341.60M,1.074B,,43.00M,1.768B,-723.10M,1.044B,2.633B,866.40M,3.499B,,,531.80M,5.076B,7.110B,,130.50M,24.80M,,155.30M,159.00M,314.30M,377.90M,,,330.20M,708.10M,,708.10M,35.70M,35.70M,141.50M,1.200B,2.421B,,2.421B,608.70M,608.70M,,204.20M,3.234B,4.434B,,2.60M,2.107B,1.691B,1.299B,,,,173.70M,2.676B,,AOR,Restated
2011-11,55.80M,55.80M,55.80M,569.20M,569.20M,41.80M,1.110B,311.60M,1.464B,90.00M,,2.178B,,,,,,,,,1.252B,2.602B,897.60M,3.500B,,,295.20M,5.047B,7.225B,,270.60M,23.50M,,294.10M,357.40M,651.50M,352.30M,,,174.40M,526.70M,,526.70M,,,,1.178B,2.578B,,2.578B,594.30M,594.30M,,236.80M,3.409B,4.587B,,2.60M,2.004B,1.673B,1.169B,,,,127.80M,2.638B,,AOR,Restated
2011-08,10.00M,10.00M,10.00M,501.70M,501.70M,46.60M,902.20M,310.40M,1.259B,148.70M,,1.920B,,,,,,,,,1.241B,2.633B,895.40M,3.528B,,,346.00M,5.115B,7.035B,,138.70M,26.40M,,165.10M,410.00M,575.10M,198.00M,,,13.70M,211.70M,,211.70M,,,,786.80M,2.735B,,2.735B,596.90M,596.90M,,217.20M,3.549B,4.336B,,2.60M,1.900B,1.655B,1.075B,,,,216.80M,2.699B,,AOR,Restated
2011-05,13.40M,13.40M,13.40M,459.30M,459.30M,41.50M,953.00M,314.50M,1.309B,174.40M,,1.956B,,,,,,,,,1.231B,2.633B,896.40M,3.529B,,,359.60M,5.119B,7.075B,,104.80M,23.30M,,128.10M,391.80M,519.90M,252.70M,,,10.80M,263.50M,,263.50M,,,,783.40M,2.729B,,2.729B,590.80M,590.80M,,257.20M,3.577B,4.360B,,2.60M,1.737B,1.643B,891.20M,,,,223.70M,2.715B,,AOR,Restated
2011-02,,9.20M,9.20M,417.40M,417.40M,38.20M,1.012B,319.00M,1.369B,287.10M,,2.083B,0.00,298.90M,326.80M,943.00M,198.90M,86.40M,1.854B,-634.40M,1.220B,2.620B,886.30M,3.506B,,,358.90M,5.085B,7.168B,,129.20M,14.20M,,143.40M,419.90M,563.30M,83.70M,,,15.90M,99.60M,,99.60M,,,,662.90M,3.137B,,3.137B,583.10M,583.10M,,233.00M,3.953B,4.616B,,2.60M,1.662B,1.602B,904.20M,,,,188.80M,2.552B,,AOR,Restated
2010-11,16.00M,16.00M,16.00M,868.90M,868.90M,47.00M,1.336B,483.70M,1.867B,93.30M,,2.845B,,,,,,,,,1.556B,2.590B,922.00M,3.512B,,,344.70M,5.413B,8.258B,,334.80M,65.40M,,400.20M,521.50M,921.70M,355.80M,,,237.80M,593.60M,,593.60M,,,,1.515B,3.133B,,3.133B,565.40M,565.40M,,325.10M,4.024B,5.539B,,2.60M,1.382B,1.573B,904.90M,,,,665.90M,2.719B,,AOR,Restated
2010-08,13.90M,13.90M,13.90M,720.70M,720.70M,45.80M,1.163B,513.90M,1.722B,103.00M,,2.56B,,,,,,,,,1.529B,2.566B,920.10M,3.486B,,,301.90M,5.317B,7.877B,,253.50M,57.70M,,311.20M,482.80M,794.00M,347.00M,,,308.70M,655.70M,,655.70M,,,,1.450B,3.128B,,3.128B,544.00M,544.00M,,325.80M,3.998B,5.447B,,2.60M,1.243B,1.538B,904.90M,,,,550.60M,2.430B,,AOR,Restated
2010-05,20.90M,20.90M,20.90M,636.50M,636.50M,46.50M,1.219B,529.80M,1.796B,109.00M,,2.562B,,,,,,,,,1.523B,2.571B,922.70M,3.494B,,,317.60M,5.334B,7.896B,,224.80M,50.80M,,275.60M,441.80M,717.40M,564.70M,,,252.10M,816.80M,,816.80M,,,,1.534B,3.201B,,3.201B,547.50M,547.50M,,316.00M,4.064B,5.599B,,2.60M,1.152B,1.521B,905.80M,,,,527.50M,2.297B,,AOR,Restated
2010-02,,43.50M,43.50M,514.70M,514.70M,44.30M,1.328B,507.70M,1.880B,151.00M,,2.589B,0.00,327.30M,416.10M,1.291B,211.60M,44.00M,2.29B,-722.80M,1.567B,2.571B,925.00M,3.496B,,,442.40M,5.505B,8.094B,,268.80M,43.80M,,312.60M,501.60M,814.20M,371.20M,,,187.20M,558.40M,,558.40M,,,,1.373B,3.277B,,3.277B,536.20M,536.20M,,332.10M,4.145B,5.518B,,2.60M,1.103B,1.493B,609.50M,,,,587.20M,2.576B,,AOR,Restated
2009-11,50.30M,50.30M,50.30M,901.70M,901.70M,60.70M,1.346B,585.70M,1.992B,149.10M,,3.094B,,,,,,,,,1.650B,2.572B,1.043B,3.614B,,,371.30M,5.635B,8.729B,,376.70M,76.20M,,452.90M,642.30M,1.095B,381.70M,,,99.50M,481.20M,,481.20M,,,,1.576B,3.616B,,3.616B,550.10M,550.10M,,288.90M,4.455B,6.031B,,2.50M,1.154B,1.474B,610.50M,,,,677.90M,2.697B,,AOR,Restated
2009-08,19.70M,19.70M,19.70M,787.30M,787.30M,63.40M,1.143B,617.70M,1.824B,187.60M,,2.819B,,,,,,,,,1.622B,2.551B,1.025B,3.577B,,,416.20M,5.615B,8.434B,,298.50M,81.60M,,380.10M,575.40M,955.50M,195.90M,,,277.40M,473.30M,,473.30M,,,,1.429B,3.691B,,3.691B,527.70M,527.70M,,271.30M,4.490B,5.919B,,2.50M,1.110B,1.458B,611.30M,,,,556.00M,2.515B,,AOR,Restated
2009-05,16.80M,16.80M,16.80M,715.90M,715.90M,62.60M,1.203B,580.60M,1.846B,188.00M,,2.767B,,,,,,,,,1.633B,2.540B,1.020B,3.56B,,,441.80M,5.635B,8.402B,,276.20M,69.80M,,346.00M,600.00M,946.00M,353.50M,,,256.20M,609.70M,,609.70M,,,,1.556B,3.712B,,3.712B,524.00M,524.00M,,284.50M,4.521B,6.076B,,2.50M,1.01B,1.437B,612.00M,,,,488.00M,2.325B,,AOR,Restated
2009-02,,13.10M,13.10M,524.60M,524.60M,57.90M,1.218B,552.40M,1.829B,168.10M,,2.534B,0.00,515.80M,409.50M,1.250B,,48.10M,2.224B,-676.20M,1.548B,2.615B,1.001B,3.616B,,,338.90M,5.502B,8.036B,,288.70M,57.60M,,346.30M,517.60M,863.90M,227.30M,,,235.20M,462.50M,,462.50M,,,,1.326B,3.971B,,3.971B,543.60M,543.60M,,287.10M,4.802B,6.128B,,2.50M,1.004B,1.426B,618.20M,,,,94.20M,1.908B,,AOR,Restated
