,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,TotalReceivables,TotalCurrentAssets,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,GrossLoans,AllowforLoan/LeaseLoss,UnearnedIncome,NetLoanAssets,LongTermInvestments,TotalLongTermAssets,TotalAssets,,TotalPayables,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,TotalDeposits,MinorityInterestOwnership,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2017-12,548.00M,1.33B,15.16B,16.49B,,17.00B,234.00M,720.00M,852.00M,,135.00M,1.941B,-847.00M,1.094B,1.014B,2.00M,1.016B,44.82B,518.00M,,44.31B,17.11B,64.44B,66.29B,,,,,,3.60B,3.60B,3.60B,4.976B,58.00M,382.00M,1.00M,383.00M,52.62B,,53.06B,58.61B,,5.011B,2.807B,0.00,,566.00M,-139.00M,7.679B,,AOR,Restated
2017-09,541.00M,1.306B,15.24B,16.55B,,17.02B,,,,,,,,1.083B,1.014B,3.00M,1.017B,44.23B,541.00M,,43.69B,17.05B,63.79B,65.56B,,,,,,,,,4.624B,59.00M,382.00M,1.00M,383.00M,52.10B,,52.54B,57.80B,,5.118B,2.70B,,,566.00M,-57.00M,7.761B,,AOR,Restated
2017-06,481.00M,1.648B,15.34B,16.99B,,17.42B,,,,,,,,1.069B,1.014B,5.00M,1.019B,43.74B,544.00M,,43.19B,17.19B,63.37B,65.45B,,,,,,,,,4.342B,63.00M,382.00M,1.00M,383.00M,52.38B,,52.82B,57.70B,,5.226B,2.572B,,,566.00M,-49.00M,7.749B,,AOR,Restated
2017-03,566.00M,2.327B,15.61B,17.93B,,18.30B,,,,,,,,1.047B,1.014B,7.00M,1.021B,42.87B,544.00M,,42.33B,17.43B,62.77B,65.46B,,,,,,,,,3.137B,60.00M,382.00M,1.00M,383.00M,53.48B,,53.92B,57.73B,,5.406B,2.435B,,,710.00M,-111.00M,7.73B,,AOR,Restated
2016-12,737.00M,2.148B,13.37B,15.52B,,16.09B,229.00M,683.00M,813.00M,,140.00M,1.865B,-845.00M,1.02B,1.014B,8.00M,1.022B,42.82B,567.00M,,42.25B,15.24B,60.52B,63.24B,,,,,,500.00M,500.00M,500.00M,827.00M,65.00M,534.00M,1.00M,535.00M,53.24B,,53.84B,55.60B,,5.435B,2.321B,,,710.00M,-122.00M,7.634B,,AOR,Restated
2016-09,553.15M,2.042B,10.36B,12.40B,,14.08B,,,,,,,,986.55M,1.014B,10.33M,1.024B,42.70B,597.18M,,42.10B,12.08B,57.31B,61.04B,,,,,,,,,1.116B,61.62M,569.60M,0.784M,570.38M,50.85B,,51.48B,53.36B,,5.458B,2.212B,,,709.60M,10.00M,7.679B,,AOR,Restated
2016-06,560.26M,2.715B,9.477B,12.19B,,12.81B,,,,,,,,955.54M,1.014B,12.28M,1.026B,42.65B,608.34M,,42.04B,11.16B,56.30B,59.64B,,,,,,,,,270.26M,64.78M,697.88M,0.827M,698.71M,50.27B,,51.03B,52.02B,,5.493B,2.110B,,,709.60M,23.65M,7.626B,,AOR,Restated
2016-03,517.80M,3.557B,8.702B,12.26B,,13.85B,,,,,,,,925.43M,1.014B,14.26M,1.028B,41.53B,611.89M,,40.92B,10.26B,54.03B,59.18B,,,,,,,,,232.19M,69.03M,801.58M,0.869M,802.45M,49.89B,,50.76B,51.55B,,5.606B,2.031B,,,828.49M,-11.65M,7.626B,,AOR,Restated
2015-12,798.32M,6.906B,7.643B,14.55B,,15.17B,229.69M,598.64M,755.40M,,138.76M,1.723B,-817.04M,905.46M,1.014B,16.27M,1.030B,40.80B,606.05M,,40.19B,9.085B,52.13B,59.66B,,,,,,0.00,0.00,0.00,346.99M,74.84M,811.45M,0.912M,812.37M,50.37B,,51.26B,52.16B,,5.595B,1.967B,,,828.49M,-54.61M,7.508B,,AOR,Restated
2015-09,602.69M,7.161B,6.000B,13.16B,,14.49B,,,,,,,,873.80M,1.014B,18.55M,1.033B,40.25B,596.44M,,39.66B,7.469B,49.91B,58.41B,,,,,,,,,272.39M,81.39M,943.80M,0.95M,944.75M,48.92B,,49.95B,50.77B,,5.760B,1.895B,,,1.004B,-16.98M,7.638B,,AOR,Restated
2015-06,758.24M,8.420B,4.652B,13.07B,,14.48B,,,,,,,,856.58M,1.014B,20.84M,1.035B,40.18B,609.38M,,39.57B,6.161B,48.53B,58.37B,,,,,,,,,227.12M,79.96M,1.050B,0.987M,1.051B,48.94B,,50.07B,50.84B,,5.742B,1.823B,,,1.004B,-35.17M,7.530B,,AOR,Restated
2015-03,720.86M,7.513B,4.451B,11.96B,,13.48B,,,,,,,,844.90M,1.014B,23.16M,1.037B,40.31B,620.01M,,39.69B,5.983B,48.51B,57.56B,,,,,,,,,203.60M,82.29M,1.088B,1.025M,1.089B,48.12B,,49.29B,50.10B,,5.733B,1.837B,,,1.004B,-114.91M,7.454B,,AOR,Restated
2014-12,841.94M,8.020B,3.844B,11.86B,,13.25B,233.30M,551.60M,698.37M,,133.62M,1.617B,-787.09M,829.81M,1.014B,25.52M,1.040B,40.20B,604.66M,,39.59B,5.428B,47.78B,57.21B,,,,,,1.20M,1.20M,1.20M,244.22M,81.08M,1.091B,1.062M,1.092B,47.85B,,49.02B,49.84B,,5.728B,1.770B,,,1.004B,-128.04M,7.370B,,AOR,Restated
2014-09,588.69M,8.054B,3.563B,11.62B,,11.97B,,,,,,,,811.13M,1.014B,28.16M,1.042B,39.85B,610.28M,,39.24B,5.084B,47.02B,55.46B,,,,,,,,,191.80M,79.38M,1.113B,0.605M,1.114B,46.27B,,47.46B,48.14B,,5.721B,1.712B,,,1.004B,-110.93M,7.322B,,AOR,Restated
2014-06,1.384B,7.770B,3.463B,11.23B,,11.71B,,,,,,,,803.21M,1.014B,30.83M,1.045B,39.79B,675.91M,,39.12B,4.989B,46.83B,55.11B,,,,,,,,,258.40M,95.47M,1.933B,,1.933B,45.67B,,47.70B,48.41B,,5.196B,1.641B,,,1.004B,-136.84M,6.700B,,AOR,Restated
2014-03,1.341B,9.499B,3.423B,12.92B,,13.30B,,,,,,,,785.52M,1.014B,33.56M,1.048B,39.32B,736.95M,,38.59B,4.934B,46.16B,56.08B,,,,,,,,,279.84M,88.69M,2.159B,,2.159B,46.53B,,48.78B,49.49B,,5.189B,1.542B,,,1.004B,-145.46M,6.586B,,AOR,Restated
2013-12,1.175B,9.350B,3.702B,13.05B,,13.33B,185.12M,509.15M,664.56M,,129.06M,1.488B,-761.51M,726.37M,1.014B,36.44M,1.051B,39.21B,746.29M,,38.47B,5.181B,46.35B,56.03B,,,,,,0.00,0.00,0.00,340.35M,89.70M,2.273B,0.639M,2.274B,46.36B,,48.73B,49.57B,,5.183B,1.474B,,,1.004B,-192.10M,6.465B,,AOR,Restated
2013-09,1.365B,9.546B,3.334B,12.88B,,13.09B,,,,,,,,720.36M,1.014B,39.67M,1.054B,38.39B,797.52M,,37.59B,5.001B,45.37B,55.19B,,,,,,0.00,0.00,0.00,273.77M,84.15M,2.304B,,2.304B,45.67B,0.00,48.06B,48.86B,,5.177B,1.540B,,,1.004B,-384.50M,6.333B,,AOR,Restated
2013-06,1.183B,9.363B,3.193B,12.56B,,12.78B,,,,,,,,717.30M,1.014B,43.24M,1.057B,38.35B,813.91M,,37.54B,4.856B,45.24B,54.90B,,,,,,0.00,0.00,0.00,256.62M,104.08M,2.173B,,2.173B,45.02B,0.00,47.29B,48.04B,,5.896B,1.338B,,,1.729B,-374.56M,6.860B,,AOR,Restated
2013-03,928.82M,6.714B,3.288B,10.00B,,12.34B,,,,,,,,706.75M,1.014B,47.00M,1.061B,37.92B,841.78M,,37.08B,4.908B,44.97B,54.11B,,,,,,0.00,0.00,0.00,326.77M,100.46M,2.353B,,2.353B,44.49B,-4.752M,46.94B,47.76B,,5.472B,1.290B,,,1.301B,-406.90M,6.355B,,AOR,Restated
2012-12,1.842B,7.821B,3.091B,10.91B,,13.69B,184.76M,497.45M,622.17M,,121.95M,1.426B,-717.45M,708.88M,1.014B,50.82M,1.065B,37.92B,896.09M,,37.02B,4.732B,44.82B,55.51B,,,,4.951M,0.00,0.458M,5.409M,5.409M,352.62M,106.81M,2.336B,0.682M,2.337B,46.13B,-3.428M,48.58B,49.46B,,5.294B,1.204B,,,1.128B,-446.16M,6.052B,,AOR,Restated
2012-09,,6.580B,,6.580B,,8.541B,,,,,,,,709.19M,1.015B,55.03M,1.070B,37.39B,925.34M,,36.47B,4.757B,44.43B,53.09B,,,,,,6.608M,6.608M,6.608M,457.82M,,2.327B,,2.327B,43.77B,-2.862M,46.10B,47.17B,,5.285B,1.170B,,,1.123B,-534.74M,5.921B,,AOR,Restated
2012-06,,9.012B,,9.012B,,9.095B,,,,,,,,714.91M,1.015B,59.28M,1.074B,37.01B,971.72M,,36.04B,4.829B,44.17B,53.41B,,,,,,7.621M,7.621M,7.621M,767.21M,,2.275B,,2.275B,43.16B,-2.608M,45.43B,46.92B,,5.958B,1.110B,,,1.800B,-576.15M,6.492B,,AOR,Restated
2012-03,,8.712B,,8.712B,,8.764B,,,,,,,,715.82M,1.015B,63.54M,1.079B,36.78B,1.010B,,35.77B,4.914B,43.97B,52.90B,,,,,,19.84M,19.84M,19.84M,506.65M,,2.283B,,2.283B,43.10B,-2.335M,45.38B,46.51B,,5.900B,1.061B,,,1.738B,-571.57M,6.389B,,AOR,Restated
2011-12,1.224B,8.245B,3.231B,11.48B,,11.58B,187.19M,488.98M,593.05M,,120.02M,1.389B,-669.96M,719.28M,1.015B,67.83M,1.083B,37.46B,1.052B,,36.41B,4.944B,44.65B,53.15B,,,,66.88M,3.063M,0.327M,70.27M,70.27M,722.86M,102.42M,1.954B,0.721M,1.954B,42.88B,-2.08M,44.93B,46.17B,,6.541B,1.037B,,,2.378B,-592.08M,6.985B,,AOR,Restated
2011-09,,6.221B,,6.221B,,6.386B,,,,,,,,726.50M,1.015B,72.57M,1.088B,37.01B,1.149B,-126.36M,35.73B,5.672B,44.94B,51.53B,,,,,,125.29M,125.29M,125.29M,756.19M,,1.898B,,1.898B,41.36B,-1.849M,43.26B,44.61B,,2.355B,994.38M,4.161B,,2.355B,-588.83M,6.921B,,AOR,Restated
2011-06,,5.960B,,5.960B,,6.083B,,,,,,,,722.60M,1.015B,77.35M,1.093B,37.11B,1.238B,-122.72M,35.74B,5.824B,45.04B,51.36B,,,,,,147.94M,147.94M,147.94M,778.00M,,1.880B,,1.880B,41.19B,-1.502M,43.07B,44.45B,,6.488B,931.34M,,,2.329B,-504.49M,6.915B,,AOR,Restated
2011-03,,5.638B,,5.638B,,5.706B,,,,,,,,721.49M,1.015B,82.20M,1.097B,36.86B,1.350B,-120.72M,35.39B,5.866B,44.83B,50.81B,,,,,,182.17M,182.17M,182.17M,909.93M,,1.913B,,1.913B,40.59B,-1.265M,42.51B,44.06B,,6.341B,904.25M,,,2.162B,-499.16M,6.746B,,AOR,Restated
2010-12,,5.500B,,5.500B,,5.630B,191.61M,475.83M,581.46M,,119.03M,1.368B,-646.95M,720.98M,1.015B,87.90M,1.103B,37.07B,1.440B,-120.34M,35.51B,5.953B,45.10B,51.03B,,,,,,166.39M,166.39M,166.39M,888.65M,,1.943B,,1.943B,40.94B,-1.065M,42.88B,44.39B,,2.057B,889.28M,4.164B,,2.057B,-461.30M,6.648B,,AOR,Restated
2010-09,,5.529B,,5.529B,,5.646B,,,,,,,,719.59M,1.015B,94.13M,1.109B,37.89B,1.530B,-120.04M,36.24B,5.039B,45.04B,51.05B,,,,,,236.51M,236.51M,236.51M,975.06M,,1.939B,,1.939B,40.96B,-0.841M,42.90B,44.55B,,5.946B,1.017B,,,1.875B,-452.55M,6.495B,,AOR,Restated
2010-06,,5.931B,,5.931B,,6.034B,,,,,,,,705.37M,1.015B,100.42M,1.116B,38.32B,1.564B,-125.78M,36.63B,5.222B,45.70B,52.15B,,,,,,,,,1.208B,,1.919B,,1.919B,42.01B,-0.74M,43.93B,45.73B,,1.807B,1.100B,3.964B,,1.807B,-433.02M,6.422B,,AOR,Restated
2010-03,,4.456B,,4.456B,,4.573B,,,,,,,,707.39M,1.015B,106.84M,1.122B,39.31B,1.582B,-131.72M,37.60B,5.265B,46.73B,51.71B,,,,,3.123M,,3.123M,3.123M,956.91M,,2.192B,,2.192B,42.10B,14.71M,44.29B,45.86B,,5.050B,1.236B,,,1.532B,-428.18M,5.842B,,AOR,Restated
2009-12,,2.023B,,2.023B,,2.102B,185.81M,445.63M,586.65M,,115.10M,1.333B,-622.65M,710.53M,1.015B,113.42M,1.129B,40.54B,1.531B,-137.70M,38.87B,5.649B,48.63B,51.12B,,,,,,121.27M,121.27M,121.27M,907.29M,,2.033B,,2.033B,41.84B,17.60M,43.87B,45.41B,,1.503B,1.308B,3.318B,,1.503B,-436.90M,5.693B,,AOR,Restated
2009-09,,3.227B,,3.227B,,3.324B,,,,,,,,698.22M,1.017B,123.55M,1.141B,42.01B,1.567B,,40.45B,5.562B,49.72B,53.40B,,,,,2.449M,42.96M,45.41M,45.41M,1.563B,,2.619B,,2.619B,43.01B,21.53M,45.63B,47.88B,,4.499B,1.488B,,,1.525B,-469.11M,5.502B,,AOR,Restated
2009-06,,2.234B,,2.234B,,2.682B,,,,,,,,703.61M,1.017B,121.68M,1.139B,41.78B,1.248B,-130.04M,40.40B,5.967B,49.90B,52.87B,,,,,1.019M,,1.019M,1.019M,1.854B,,2.197B,,2.197B,42.64B,24.02M,44.84B,47.29B,,1.492B,1.669B,2.780B,,1.492B,-368.16M,5.558B,,AOR,Restated
2009-03,,3.275B,,3.275B,,3.593B,,,,,,,,701.74M,1.034B,124.58M,1.159B,42.32B,832.88M,-124.75M,41.36B,5.853B,50.73B,54.55B,,,,,0.984M,,0.984M,0.984M,1.807B,,3.273B,,3.273B,43.31B,26.83M,46.58B,48.97B,,1.587B,1.714B,2.608B,,1.587B,-340.73M,5.553B,,AOR,Restated
2008-12,,3.809B,,3.809B,,4.179B,181.85M,412.03M,574.16M,117.43M,,1.285B,-598.37M,687.10M,1.651B,125.94M,1.777B,41.73B,687.00M,132.50M,41.17B,5.553B,50.72B,55.09B,,,,,15.45M,,15.45M,15.45M,1.881B,,4.661B,,4.661B,41.32B,27.32M,45.98B,48.56B,,4.182B,2.433B,,,1.582B,-98.96M,6.502B,,,Restated
2008-09,,2.011B,,2.011B,,2.455B,,,,,,,,675.48M,,,2.143B,42.03B,609.43M,-140.77M,41.28B,4.755B,51.52B,53.97B,,,,,,4.455B,4.455B,4.455B,6.398B,,2.698B,,2.698B,38.59B,30.29M,41.29B,48.38B,,286.95M,2.968B,2.483B,,286.95M,-171.68M,5.566B,,,
2008-06,,2.256B,,2.256B,,3.015B,,,,,,,,656.01M,,,2.142B,42.03B,548.96M,-159.76M,41.32B,4.784B,51.62B,54.63B,,,,,,4.936B,4.936B,4.936B,8.372B,,2.796B,,2.796B,37.61B,25.53M,40.40B,49.33B,,240.00M,2.981B,2.224B,,240.00M,-171.99M,5.274B,,,Restated
2008-03,,2.904B,,2.904B,,3.716B,,,,,,,,657.18M,,,2.150B,40.06B,501.28M,-158.14M,39.40B,6.117B,49.69B,53.41B,,,,,,4.055B,4.055B,4.055B,7.201B,,2.712B,,2.712B,37.52B,30.41M,40.23B,48.05B,,240.00M,2.958B,2.220B,,240.00M,-89.62M,5.328B,,,Restated
2007-12,,2.582B,,2.582B,,3.355B,,,,,,,,655.71M,,,2.159B,39.25B,459.38M,-164.33M,38.63B,6.895B,49.59B,52.95B,,,,,,3.182B,3.182B,3.182B,7.168B,,2.889B,,2.889B,36.92B,30.94M,39.81B,47.62B,,240.00M,2.911B,2.212B,,240.00M,-70.13M,5.293B,,,
2007-09,,1.995B,,1.995B,,2.503B,,,,,,,,670.27M,,,2.194B,37.98B,418.16M,-156.62M,37.40B,6.305B,47.54B,50.04B,,,,,,2.449B,2.449B,2.449B,5.932B,,2.483B,,2.483B,35.77B,37.41M,38.26B,44.75B,,240.00M,2.914B,2.200B,,240.00M,-97.69M,5.257B,,,
2007-06,,1.681B,,1.681B,,2.285B,,,,,,,,648.73M,,,2.194B,36.94B,380.30M,-153.59M,36.41B,6.262B,46.41B,48.69B,,,,,,893.12M,893.12M,893.12M,4.205B,,2.442B,,2.442B,36.19B,32.09M,38.63B,43.43B,,240.00M,2.829B,2.280B,,240.00M,-123.63M,5.225B,,,
2007-03,,1.592B,,1.592B,,2.559B,,,,,,,,655.07M,,,2.205B,36.10B,371.21M,-154.09M,35.57B,5.609B,46.00B,48.56B,,,,,,510.58M,510.58M,510.58M,2.643B,,2.512B,,2.512B,36.33B,38.69M,38.84B,43.26B,,240.00M,2.720B,2.382B,,240.00M,-79.84M,5.261B,,,
2006-12,,1.982B,,1.982B,,2.308B,,,,,,,,609.47M,,,2.063B,34.82B,365.15M,-151.38M,34.30B,6.790B,44.66B,46.97B,,,,,,738.43M,738.43M,738.43M,3.716B,,2.495B,,2.495B,34.98B,42.79M,37.48B,41.94B,,240.00M,2.602B,2.230B,,240.00M,-85.47M,4.987B,,,
2006-09,,1.657B,,1.657B,,2.001B,,,,,,,,587.81M,,,2.052B,33.85B,356.34M,-145.69M,33.35B,5.818B,43.78B,45.78B,,,,,,579.03M,579.03M,579.03M,4.028B,,2.767B,,2.767B,33.64B,41.16M,36.41B,41.09B,,,2.502B,2.240B,,,-98.92M,4.643B,,,
2006-06,,1.861B,,1.861B,,2.349B,,,,,,,,574.15M,,,2.059B,32.82B,348.48M,-142.63M,32.33B,5.797B,42.79B,45.14B,,,,,,1.462B,1.462B,1.462B,4.056B,,2.566B,,2.566B,33.25B,28.62M,35.82B,40.67B,,,2.386B,2.219B,,,-157.75M,4.447B,,,
2006-03,,1.637B,,1.637B,,2.054B,,,,,,,,565.33M,,,2.073B,31.27B,341.26M,-129.52M,30.80B,5.984B,41.26B,43.32B,,,,,,157.55M,157.55M,157.55M,2.794B,,2.602B,,2.602B,32.87B,28.90M,35.47B,38.95B,,2.197B,2.279B,,,,-132.81M,4.344B,,,
2005-12,,1.729B,,1.729B,,2.373B,,,,,,,,564.74M,,,2.087B,30.25B,338.40M,-125.32M,29.79B,6.057B,40.41B,42.78B,,,,,,185.99M,185.99M,185.99M,2.534B,,2.746B,,2.746B,32.64B,27.55M,35.39B,38.51B,,,2.180B,2.157B,,,-99.35M,4.237B,,,
2005-09,,1.123B,,1.123B,,2.111B,,,,,,,,410.80M,,,686.79M,24.04B,287.24M,-106.92M,23.64B,4.992B,31.31B,33.42B,,,,,,162.15M,162.15M,162.15M,2.513B,,1.912B,,1.912B,25.40B,26.72M,27.31B,30.40B,,971.00M,2.084B,,,,-56.27M,2.999B,,,
2005-06,,1.244B,,1.244B,,1.833B,,,,,,,,409.49M,,,690.33M,23.93B,281.43M,-103.71M,23.54B,4.905B,31.04B,32.88B,,,,,,390.04M,390.04M,390.04M,3.030B,,1.939B,,1.939B,24.40B,24.66M,26.34B,29.91B,,961.51M,1.994B,,,,-17.62M,2.938B,,,
2005-03,,1.102B,,1.102B,,1.686B,,,,,,,,407.26M,,,690.94M,23.07B,273.91M,-102.51M,22.69B,4.940B,30.20B,31.88B,,,,,,303.46M,303.46M,303.46M,2.630B,,1.902B,,1.902B,23.88B,26.34M,25.78B,29.04B,,969.74M,1.908B,,,,-55.70M,2.822B,,,
2004-12,,852.25M,,852.25M,,1.444B,,,,,,,,409.21M,,,698.08M,22.73B,271.12M,-104.96M,22.36B,5.121B,30.03B,31.47B,,,,,,181.40M,181.40M,181.40M,3.016B,,1.919B,,1.919B,23.29B,23.36M,25.21B,28.66B,,972.06M,1.830B,,,,-12.15M,2.790B,,,
2004-09,,1.069B,,1.069B,,1.875B,,,,,,,,404.23M,,,700.31M,21.61B,269.41M,-104.08M,21.24B,5.059B,28.86B,30.73B,,,,,,186.45M,186.45M,186.45M,2.355B,,1.922B,,1.922B,23.17B,24.48M,25.09B,27.98B,,965.17M,1.754B,,,,5.161M,2.724B,,,
2004-06,,1.129B,,1.129B,,1.956B,,,,,,,,402.20M,,,712.78M,21.60B,271.55M,-101.42M,21.23B,5.028B,28.94B,30.89B,,,,,,605.24M,605.24M,605.24M,3.204B,,1.954B,,1.954B,22.47B,21.72M,24.42B,28.24B,,974.48M,1.680B,,,,-18.27M,2.636B,,,
2004-03,,1.060B,,1.060B,,1.893B,,,,,,,,404.25M,,,714.60M,20.71B,271.23M,-93.40M,20.35B,4.857B,27.90B,29.79B,,,,,,506.50M,506.50M,506.50M,3.118B,,1.839B,,1.839B,21.49B,23.85M,23.32B,27.14B,,973.51M,1.610B,,,,38.28M,2.622B,,,
2003-12,,1.120B,,1.120B,,1.688B,,,,,,,,407.82M,,,722.90M,20.02B,268.51M,-96.28M,19.65B,4.818B,26.87B,28.56B,,,,,,215.35M,215.35M,215.35M,2.691B,,1.969B,,1.969B,20.90B,19.78M,22.87B,26.00B,,985.90M,1.539B,,,,15.44M,2.540B,,,
2003-09,,1.169B,,1.169B,,1.658B,,,,,,,,403.09M,,,726.43M,19.53B,281.31M,-95.02M,19.15B,4.340B,25.95B,27.60B,,,,,,15.79M,15.79M,15.79M,1.874B,,1.875B,,1.875B,20.87B,20.22M,22.75B,25.10B,,991.87M,1.470B,,,,24.04M,2.486B,,,
2003-06,,1.228B,,1.228B,,1.289B,,,,,,,,406.95M,,,805.89M,19.53B,281.49M,-94.46M,19.16B,4.228B,26.52B,27.81B,,,,,,267.77M,267.77M,267.77M,1.601B,,1.372B,,1.372B,20.63B,23.00M,22.00B,25.30B,,987.02M,1.435B,,2.931M,,60.42M,2.479B,,,
2003-03,,1.089B,,1.089B,,2.237B,,,,,,,,401.83M,,,809.44M,19.22B,280.53M,-90.62M,18.85B,3.664B,24.97B,27.21B,,,,,,6.602M,6.602M,6.602M,1.861B,,1.631B,,1.631B,20.80B,23.28M,22.43B,24.77B,,1.013B,1.361B,,,,38.56M,2.413B,,,
