,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2018-03,238.00M,,,,,,,43.00M,43.00M,13.00M,,,13.00M,,-8.00M,,,48.00M,4.00M,4.00M,23.00M,275.00M,,-28.00M,,-28.00M,,-89.00M,-1.00M,-429.00M,,0.00,-110.00M,-110.00M,10.00M,-122.00M,-112.00M,,,,,-49.00M,,76.00M,,548.00M,-78.00M,470.00M,,10.00M,1.89B,-2.00B,-122.00M,1.00M,44.00M,,AOR,Restated
2017-12,123.00M,,,,,,,48.00M,48.00M,150.00M,,,4.00M,,-8.00M,,,-80.00M,-34.00M,-92.00M,-180.00M,125.00M,,-36.00M,,-36.00M,,-186.00M,4.00M,-842.00M,,0.00,352.00M,352.00M,5.00M,-104.00M,-99.00M,0.00,0.00,,,-40.00M,,724.00M,,541.00M,7.00M,548.00M,,5.00M,2.352B,-2.00B,-104.00M,40.00M,39.00M,,AOR,Restated
2017-09,161.00M,,,,,,,47.00M,47.00M,-4.00M,,,4.00M,,-11.00M,,,-42.00M,84.00M,5.00M,29.00M,227.00M,,-39.00M,,-39.00M,,486.00M,4.00M,-24.00M,,0.00,282.00M,282.00M,2.00M,-115.00M,-113.00M,0.00,0.00,,,-34.00M,,-143.00M,,481.00M,60.00M,541.00M,,2.00M,1.132B,-850.00M,-115.00M,84.00M,27.00M,,AOR,Restated
2017-06,169.00M,,,,,,,47.00M,47.00M,-5.00M,,,5.00M,,-10.00M,,,12.00M,-63.00M,-22.00M,-20.00M,196.00M,,-44.00M,,-44.00M,,787.00M,6.00M,-173.00M,,0.00,1.204B,1.204B,9.00M,-52.00M,-43.00M,-144.00M,-144.00M,,,-26.00M,,-108.00M,,566.00M,-85.00M,481.00M,,9.00M,1.454B,-250.00M,-196.00M,122.00M,30.00M,,AOR,Restated
2017-03,139.00M,,,,,,,37.00M,37.00M,13.00M,,,12.00M,,-14.00M,,,21.00M,42.00M,76.00M,175.00M,380.00M,,-50.00M,,-50.00M,,-2.718B,2.00M,-2.88B,,-153.00M,2.311B,2.158B,9.00M,-50.00M,-41.00M,,,,,-29.00M,,2.329B,,737.00M,-171.00M,566.00M,,9.00M,2.311B,-153.00M,-50.00M,,22.00M,,AOR,Restated
2016-12,137.00M,,,,,,,35.00M,35.00M,1.00M,,,4.00M,,9.00M,,,212.00M,-214.00M,-7.00M,1.00M,181.00M,,-53.00M,,-53.00M,,-1.813B,2.00M,-2.005B,,-36.00M,-288.00M,-324.00M,17.00M,-46.00M,-29.00M,0.00,0.00,,,-27.00M,1.00M,2.008B,,553.00M,184.00M,737.00M,,17.00M,-288.00M,-36.00M,-46.00M,60.00M,22.00M,,AOR,Restated
2016-09,128.00M,,,,,,,34.00M,34.00M,2.00M,,,6.00M,,-19.00M,,,-4.00M,52.00M,11.00M,47.00M,213.00M,,-51.00M,,-51.00M,,-1.34B,2.00M,-1.441B,,-129.00M,845.00M,716.00M,5.00M,-45.00M,-40.00M,0.00,0.00,,,-31.00M,1.00M,1.221B,,560.00M,-7.00M,553.00M,,5.00M,768.00M,-52.00M,-45.00M,53.00M,18.00M,,AOR,Restated
2016-06,113.00M,,,,,,,29.00M,29.00M,-6.00M,,,5.00M,,-8.00M,,,-225.00M,145.00M,-53.00M,-169.00M,-5.00M,,-52.00M,,-52.00M,,1.009B,1.00M,-142.00M,,-104.00M,38.00M,-66.00M,2.00M,-5.00M,-3.00M,-126.00M,-126.00M,,,-23.00M,,189.00M,,518.00M,42.00M,560.00M,,2.00M,0.00,-181.00M,-131.00M,101.00M,25.00M,,AOR,Restated
2016-03,91.00M,,,,,,,25.00M,25.00M,-5.00M,,,11.00M,,3.00M,,,7.00M,18.00M,-18.00M,46.00M,207.00M,,-40.00M,,-40.00M,,979.00M,2.00M,152.00M,,-11.00M,-115.00M,-126.00M,1.00M,-1.00M,0.00,,,,,-27.00M,,-639.00M,,798.00M,-280.00M,518.00M,,1.00M,,-11.00M,-1.00M,,18.00M,,AOR,Restated
2015-12,102.02M,,-11.73M,,-11.73M,,,-23.56M,-23.56M,21.06M,,,,,-10.92M,,,-65.01M,8.738M,24.95M,-40.58M,77.63M,,-50.88M,,-50.88M,,-525.13M,-28.94M,-1.085B,,-123.92M,74.83M,-49.09M,2.369M,-7.00M,-4.631M,-176.00M,-176.00M,,,-28.30M,6.279M,1.202B,,602.69M,195.25M,798.00M,,2.369M,,-123.92M,-183.00M,31.50M,28.78M,,AOR,Restated
2015-09,101.00M,,0.053M,,0.053M,,,40.28M,40.28M,-10.03M,,,,,-15.46M,,,31.18M,21.52M,0.97M,76.99M,212.52M,,-38.75M,,-38.75M,,-135.24M,17.61M,-271.23M,,-111.48M,45.27M,-66.21M,13.60M,0.00,13.60M,0.00,0.00,,,-27.42M,0.172M,-96.84M,,758.24M,-155.54M,602.69M,,13.60M,,-111.48M,0.00,8.679M,22.16M,,AOR,Restated
2015-06,13.96M,,138.44M,,138.44M,,,35.11M,35.11M,-44.43M,,,,,-0.07M,,,32.08M,-61.83M,-2.899M,-56.22M,85.03M,,-33.84M,,-33.84M,,-955.68M,25.97M,-810.04M,,-44.42M,23.53M,-20.89M,5.07M,,5.07M,0.00,0.00,,,-29.04M,-6.512M,762.38M,,720.86M,37.38M,758.24M,,5.07M,,-44.42M,0.00,91.83M,28.94M,,AOR,Restated
2015-03,92.02M,,0.239M,,0.239M,,,34.17M,34.17M,3.402M,,,,,-3.549M,,,-65.25M,25.57M,-1.021M,-37.19M,88.82M,,-33.53M,,-33.53M,,-285.94M,3.351M,-413.16M,,-8.185M,-40.63M,-48.81M,0.962M,,0.962M,,,,,-23.23M,-0.939M,203.26M,,841.94M,-121.08M,720.86M,,0.962M,,-8.185M,,,22.12M,,AOR,Restated
2014-12,81.81M,,11.62M,,11.62M,,,-39.72M,-39.72M,3.57M,,,,,-29.82M,,,-42.24M,67.23M,-15.18M,-12.34M,28.41M,,-36.92M,,-36.92M,,-1.085B,15.12M,-1.356B,,-27.15M,52.42M,25.27M,2.358M,,-3.231M,,,,,-24.94M,5.609M,1.584B,,585.67M,256.27M,841.94M,,2.358M,,-27.15M,,1.653M,29.98M,,AOR,Restated
2014-09,95.89M,,13.90M,,58.32M,,,33.86M,33.86M,2.96M,,,,,-5.745M,,,4.739M,33.92M,1.241M,93.72M,208.27M,,-26.15M,,-26.15M,,-1.026B,12.80M,-1.158B,,-870.40M,-66.60M,-937.00M,519.56M,,519.56M,,,,,-23.24M,0.112M,153.85M,,1.381B,-795.59M,585.67M,,519.56M,,-870.40M,,58.64M,41.14M,,AOR,Restated
2014-06,119.55M,,-5.026M,,-5.053M,,,31.15M,31.15M,-58.87M,,,,,9.937M,,,-16.69M,19.28M,-0.247M,-35.68M,13.39M,,-35.82M,,-35.82M,,1.637B,1.38M,1.174B,,-236.40M,-21.44M,-257.84M,1.641M,,1.641M,,,,,-24.21M,-3.388M,-1.145B,,1.339B,42.33M,1.381B,,1.641M,,-236.40M,,122.66M,40.82M,,AOR,Restated
2014-03,101.21M,,-30.91M,,-30.89M,,,32.40M,32.40M,78.28M,,,,,2.336M,,,3.226M,-77.80M,-21.86M,-51.45M,130.27M,,-76.92M,,-76.92M,,297.50M,5.617M,71.61M,,-124.76M,-60.51M,-185.27M,2.88M,,2.88M,,,,,-23.74M,-0.303M,-36.01M,,1.173B,165.87M,1.339B,,2.88M,,-124.76M,,,40.85M,,AOR,Restated
2013-12,-41.47M,,6.624M,,228.27M,,,27.76M,27.76M,-59.50M,,,,,8.951M,,,12.14M,15.51M,3.719M,-66.71M,72.31M,,-25.14M,,-25.14M,-3.786M,-128.01M,2.923M,-873.82M,,-122.46M,66.57M,-55.89M,1.586M,,1.586M,0.00,0.00,,,-25.45M,-2.543M,610.12M,,1.365B,-191.40M,1.173B,,1.586M,162.00M,-284.46M,0.00,24.86M,42.85M,,AOR,Restated
2013-09,111.51M,,-1.58M,,7.487M,,,42.67M,42.67M,5.832M,,,,,-5.606M,,,70.75M,28.05M,-11.88M,136.62M,273.01M,,-20.90M,,-20.90M,3.786M,-143.80M,-0.062M,-241.38M,,116.31M,17.16M,133.47M,200.04M,,200.04M,-799.47M,-799.47M,,,-34.94M,-2.061M,150.35M,,1.183B,181.98M,1.365B,,200.04M,116.46M,-0.153M,-799.47M,32.45M,45.13M,,AOR,Restated
2013-06,83.03M,,1.153M,,45.65M,,,21.94M,21.94M,-7.726M,,,,,3.585M,,,121.10M,2.967M,1.882M,159.39M,287.50M,,-26.73M,,-26.73M,,-187.58M,12.65M,-645.46M,,-226.34M,-70.15M,-296.49M,423.12M,,423.12M,,,,,-35.05M,-5.209M,612.23M,,928.82M,254.28M,1.183B,,423.12M,348.58M,-574.92M,,120.44M,41.78M,,AOR,Restated
2013-03,110.39M,,-3.299M,,6.818M,,,38.26M,38.26M,1.282M,,,,,-12.15M,,,51.58M,-48.48M,-0.011M,93.09M,202.29M,,-15.80M,,-15.80M,,508.95M,7.388M,407.66M,,0.964M,-25.85M,-24.89M,169.40M,,169.40M,,,,,-24.23M,-0.439M,-1.523B,,1.842B,-913.09M,928.82M,,169.40M,19.36M,-18.40M,,3.565M,62.13M,,AOR,Restated
2012-12,57.69M,,,,72.64M,,,18.07M,18.07M,-15.72M,,,,,20.23M,,,-38.36M,68.66M,-14.33M,-9.628M,133.83M,,-20.93M,,-20.93M,0.00,-1.217B,,-1.562B,,-0.966M,-126.91M,-127.87M,0.724M,,0.724M,0.00,0.00,,,-24.49M,-0.134M,2.209B,,1.061B,780.99M,1.842B,,0.724M,109.14M,-110.11M,0.00,55.89M,41.96M,,AOR,Restated
2012-09,109.60M,,,,3.045M,,,47.81M,47.81M,6.458M,,,,,-13.69M,,,21.31M,-10.69M,6.576M,-60.03M,93.57M,,-15.14M,,-15.14M,2.667M,639.61M,,313.82M,,41.48M,-392.56M,-351.09M,0.513M,,0.513M,-700.00M,-700.00M,,,-32.77M,-0.092M,-471.14M,,1.125B,-63.76M,1.061B,,0.513M,49.08M,-7.604M,-700.00M,67.77M,65.38M,,AOR,Restated
2012-06,91.46M,,,,12.82M,,,62.17M,62.17M,-0.63M,,,,,3.544M,,,38.40M,-11.73M,-1.506M,75.62M,260.71M,,-17.66M,,-17.66M,0.00,-225.02M,,-567.89M,,11.60M,318.04M,329.64M,141.66M,,141.66M,-142.50M,-142.50M,,,-35.52M,-4.767M,349.67M,,1.082B,42.49M,1.125B,,141.66M,266.64M,-255.04M,-142.50M,59.68M,44.54M,,AOR,Restated
2012-03,89.40M,,,,18.04M,,,57.14M,57.14M,19.68M,,,,,-21.92M,,,50.42M,-18.80M,21.24M,73.78M,248.10M,,-15.16M,,-15.16M,-22.57M,-507.27M,,-63.88M,,332.61M,-168.83M,163.78M,0.342M,,0.342M,-700.00M,-700.00M,,,-40.80M,-2.54M,-326.38M,,1.224B,-142.16M,1.082B,,0.342M,332.75M,-0.141M,-700.00M,,62.79M,,AOR,Restated
2011-12,88.77M,,,,94.36M,,,-7.399M,-7.399M,-13.66M,-21.60M,,,,-46.68M,,,179.68M,-7.431M,,140.59M,237.40M,,-15.44M,,-15.44M,0.00,-1.117B,,-1.576B,,52.15M,-63.46M,-11.31M,0.042M,,0.042M,,0.00,,,-40.93M,-0.108M,1.460B,,1.103B,121.58M,1.224B,,0.042M,52.29M,-0.141M,,,49.80M,,AOR,Restated
2011-09,108.72M,,,,-34.11M,,,52.29M,52.29M,41.56M,13.33M,,,,49.92M,,,-83.10M,33.70M,,-28.16M,215.90M,,-22.75M,,-22.75M,0.00,-228.36M,,-260.79M,,15.34M,-34.50M,-19.16M,0.237M,,0.237M,,0.00,,,-40.30M,-0.09M,112.62M,,1.035B,67.74M,1.103B,,0.237M,23.53M,-8.191M,,,71.22M,,AOR,Restated
2011-06,72.61M,,,,14.36M,,,105.79M,105.79M,33.91M,5.158M,,,,-2.734M,,,46.73M,29.93M,,117.70M,346.23M,,-19.30M,,-19.30M,0.00,-255.63M,,-655.84M,,30.08M,-190.68M,-160.60M,0.195M,,0.195M,,0.00,,,-40.30M,-2.603M,395.51M,,949.14M,85.89M,1.035B,,0.195M,30.25M,-0.175M,,,51.04M,,AOR,Restated
2011-03,52.59M,,,,19.75M,,,89.81M,89.81M,53.79M,3.105M,,,,-2.20M,,,10.27M,-36.82M,,1.919M,269.22M,,-20.18M,,-20.18M,0.00,0.568M,,28.50M,,-0.156M,80.09M,79.94M,25.21M,,25.21M,,0.00,,,-34.60M,-0.707M,-272.70M,,924.13M,25.01M,949.14M,,25.21M,,-0.156M,,,91.28M,,AOR,Restated
2010-12,-72.39M,,,,223.50M,,,164.75M,164.75M,44.33M,-73.04M,,,,-113.16M,,,158.18M,-133.99M,,-21.16M,340.44M,,-20.85M,,-20.85M,,-1.235B,160.71M,-512.36M,,64.88M,-85.82M,-20.94M,116.38M,,116.38M,,,,,-34.68M,-0.25M,35.39M,,1.061B,-136.52M,924.13M,,116.38M,65.00M,-0.123M,,,73.24M,,AOR,Restated
2010-09,-47.46M,,,,-79.12M,,,65.49M,65.49M,-21.04M,23.71M,,,,88.15M,,,143.36M,37.24M,,157.12M,372.63M,,-25.64M,,-25.64M,,502.10M,36.46M,753.05M,,14.95M,-175.15M,-160.20M,110.04M,,110.04M,,,,,-29.77M,-0.142M,-1.134B,,1.069B,-8.109M,1.061B,,110.04M,22.95M,-7.999M,,,92.59M,,AOR,Restated
2010-06,-113.36M,,,,38.15M,,,96.26M,96.26M,-15.80M,18.06M,,,,-4.887M,,,-147.24M,1.92M,,-159.56M,88.01M,,-17.04M,,-17.04M,,-1.199B,-3.059M,-528.83M,,-42.61M,12.00M,-30.61M,600.81M,,600.81M,,,,,-21.98M,-2.226M,464.18M,,1.045B,23.36M,1.069B,,600.81M,22.77M,-65.38M,,,89.65M,,AOR,Restated
2010-03,-63.14M,,,,12.64M,,,46.25M,46.25M,-36.16M,31.26M,,,,-3.72M,,,76.22M,336.78M,,437.97M,670.54M,,-15.55M,,-15.55M,,-2.579B,16.61M,-1.648B,,39.64M,229.42M,269.06M,149.91M,,149.91M,,,,,-22.88M,-0.661M,652.85M,,1.370B,-324.80M,1.045B,,149.91M,39.70M,-0.061M,,,102.67M,,AOR,Restated
2009-12,1.036B,-0.056M,53.17M,,130.41M,,,52.07M,52.07M,134.58M,101.53M,,,,-1.342B,,265.79M,-569.17M,-423.15M,,-726.54M,-203.59M,,-31.23M,147.61M,116.38M,-0.223M,1.464B,,2.561B,,-291.80M,-651.26M,-943.06M,152.85M,,152.85M,-0.684M,-0.684M,,,-23.10M,-0.669M,-1.980B,,992.94M,377.25M,1.370B,,152.85M,6.98M,-950.04M,-0.684M,101.26M,114.95M,,AOR,Restated
2009-09,-157.67M,-169.13M,1.899M,,-87.78M,-37.09M,-36.02M,87.85M,87.85M,-50.47M,7.227M,1.75M,-15.34M,,141.77M,-37.19M,-171.70M,359.24M,67.58M,,217.94M,747.73M,,-8.226M,162.88M,154.66M,452.42M,-604.84M,-515.02M,-123.73M,,296.20M,-361.00M,-64.79M,187.52M,1.10M,188.62M,-0.152M,-0.152M,9.218M,41.33M,-22.63M,103.75M,-860.27M,,1.229B,-236.26M,992.94M,,187.52M,405.81M,-2.702B,0.948M,29.92M,139.08M,,AOR,Restated
2009-06,-51.94M,,-13.22M,2.763M,-535.43M,18.48M,18.24M,36.72M,36.72M,59.42M,102.96M,-1.75M,7.207M,0.017M,-3.415M,9.851M,-94.54M,-89.65M,18.28M,,-156.06M,228.31M,,-20.41M,0.021M,-20.39M,-113.47M,744.94M,481.89M,981.46M,,45.59M,-400.87M,-355.28M,123.74M,-0.977M,122.76M,-46.33M,-46.33M,-4.617M,-20.23M,-24.85M,-127.44M,-1.303B,,1.322B,-92.77M,1.229B,,123.74M,36.06M,1.840B,-47.31M,,323.77M,,AOR,Restated
2009-03,-826.58M,,-23.33M,-2.763M,-74.29M,18.61M,17.78M,36.40M,36.40M,-158.61M,917.06M,,8.137M,-0.017M,-10.32M,27.34M,0.448M,152.86M,-85.85M,,94.79M,286.02M,,-37.28M,4.715M,-32.56M,113.47M,-149.16M,33.13M,223.91M,,245.50M,-1.831B,-1.585B,,-0.123M,-0.123M,,,-4.601M,-21.09M,-25.69M,0.017M,-663.93M,,1.476B,-154.00M,1.322B,,,255.17M,-1.840B,-0.123M,,,,AOR,Restated
2008-12,-488.04M,,20.61M,-0.793M,20.48M,73.17M,67.04M,38.38M,38.38M,-112.05M,,,31.85M,-1.059M,186.96M,34.29M,-70.79M,307.78M,7.448M,-214.91M,63.82M,390.07M,,-40.89M,12.15M,-28.74M,0.00,-1.665B,3.353B,-1.715B,,-235.53M,-2.482B,-2.718B,,-2.881M,-246.60M,,1.292B,-173.90M,-21.78M,-49.25M,354.83M,1.359B,,1.442B,34.02M,1.476B,,1.339B,-232.84M,-3.512B,-2.881M,303.18M,1.012B,,,Restated
2008-09,45.06M,,-9.152M,1.947M,-663.25M,-34.91M,-29.27M,37.65M,37.65M,-48.29M,-87.48M,,-14.38M,0.399M,1.120B,-22.22M,20.18M,81.27M,32.63M,205.74M,317.61M,495.30M,,-29.46M,-8.428M,-37.89M,688.94M,240.72M,-1.236B,745.17M,,97.08M,-2.138B,-2.041B,-1.441M,2.58M,244.86M,,46.45M,91.57M,4.907M,-49.95M,-1.798M,-1.550B,,1.752B,-309.77M,1.442B,,-1.441M,236.34M,-139.26M,2.58M,,-554.66M,,,
2008-06,66.47M,,-10.94M,8.121M,366.66M,16.66M,18.90M,35.56M,35.56M,-38.66M,39.79M,,7.784M,-0.142M,-325.95M,5.466M,-152.18M,-187.70M,55.12M,-5.83M,-285.13M,-17.72M,,-18.03M,1.17M,-16.86M,,958.41M,-1.365B,-1.254B,,10.47M,1.309B,1.319B,0.222M,-2.343M,-2.121M,,0.00,-45.56M,-2.454M,-48.02M,2.13M,1.363B,,1.661B,91.18M,1.752B,,0.222M,28.50M,-18.02M,-2.343M,-20.43M,252.64M,,,Restated
2008-03,105.18M,,-12.63M,-10.07M,257.90M,18.25M,10.36M,28.61M,28.61M,-32.24M,47.69M,,6.596M,-0.257M,-307.58M,16.75M,63.24M,106.42M,-87.75M,5.83M,104.49M,306.30M,,-25.78M,7.258M,-18.52M,,108.49M,-680.19M,-848.53M,,0.00,-197.96M,-197.96M,1.219M,-0.237M,0.982M,,,-46.01M,-2.453M,-48.46M,-0.48M,347.62M,,1.855B,-194.62M,1.661B,,1.219M,,,-0.237M,20.43M,302.02M,,,Restated
2007-12,45.54M,,-0.596M,,-5.66M,,,31.00M,31.00M,-106.60M,,,,,236.19M,,-8.606M,,,28.62M,20.01M,220.48M,,-27.27M,,-27.27M,18.16M,-1.270B,-1.449B,-2.727B,,55.71M,1.533B,1.589B,,,2.999M,,,,,-49.29M,0.124M,2.881B,,1.481B,373.92M,1.855B,,,,-240.58M,,,,,,
2007-09,135.73M,,-11.13M,,-17.36M,,,31.33M,31.33M,-30.08M,,,,,62.50M,,15.72M,,,8.253M,23.97M,206.10M,,-18.69M,,-18.69M,-19.96M,-407.89M,-987.14M,-1.434B,,-8.346M,1.727B,1.719B,,,-86.11M,,,,,-49.91M,0.947M,1.068B,,1.641B,-159.71M,1.481B,,,,-8.346M,,,,,,
2007-06,159.21M,,-0.113M,,-2.153M,,,32.48M,32.48M,-1.294M,,,,,14.28M,,-86.06M,,,62.61M,-23.45M,179.08M,,-24.35M,,-24.35M,-1.668M,736.24M,-951.02M,-240.80M,,-20.33M,446.00M,425.67M,,,-110.78M,,,,,-50.10M,2.837M,128.14M,,1.575B,66.43M,1.641B,,,,-20.33M,,,,,,
2007-03,153.26M,,-8.899M,,-12.81M,,,30.17M,30.17M,-20.73M,,,,,1.371M,,99.12M,,,-123.14M,-24.02M,127.23M,,-20.78M,,-20.78M,48.91M,-239.97M,-442.49M,-654.34M,,-15.15M,36.67M,21.52M,,,-68.66M,,,,,-46.35M,7.756M,162.82M,,1.939B,-364.29M,1.575B,,,,-15.15M,,,,,,
2006-12,146.51M,,-5.321M,,-11.17M,,,33.97M,33.97M,10.48M,,,,,37.87M,,-15.17M,,,188.50M,173.33M,391.00M,,-37.03M,,-37.03M,0.00,8.954M,-969.43M,-997.51M,,-373.20M,-210.14M,-583.34M,,,-14.05M,,,,,-45.94M,-4.848M,928.40M,,1.617B,321.90M,1.939B,,,4.962M,-378.16M,,,,,,
2006-09,153.67M,,-14.74M,,-18.32M,,,35.44M,35.44M,-1.212M,,,,,40.08M,,27.12M,,,-39.26M,-12.15M,197.51M,,-31.94M,,-31.94M,0.00,253.02M,-1.053B,-831.61M,,246.00M,-129.82M,116.18M,,,12.99M,,,,,-38.42M,-0.348M,477.18M,,1.774B,-156.92M,1.617B,,,144.85M,101.15M,,,,,,
