,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,AmortizationExpense,SpecialIncomeandCharges,TotalOperatingExpenses,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2016-03,570.00M,570.00M,6.00M,265.00M,271.00M,2.00M,,273.00M,0.00,453.00M,132.00M,41.00M,91.00M,,,,12.00M,91.00M,91.00M,25.00M,154.00M,,0.38,,,,0.38,0.38,,0.38,,,,0.38,0.38,,203.97M,204.10M,0.06,,AOR,Restated
2015-12,566.97M,566.97M,5.378M,245.10M,250.48M,2.026M,,252.50M,0.705M,448.57M,146.56M,44.54M,102.02M,,,,13.43M,102.02M,102.02M,-23.56M,171.08M,,0.43,,,,0.43,0.43,,0.43,,,,0.43,0.43,,203.89M,204.26M,0.06,,AOR,Restated
2015-09,551.32M,551.32M,6.136M,250.52M,256.66M,2.298M,,258.96M,2.022M,425.38M,141.78M,40.78M,101.00M,,,,16.76M,101.00M,101.00M,40.28M,172.63M,,0.41,,,,0.41,0.41,,0.41,,,,0.41,0.41,,203.67M,204.16M,0.06,,AOR,Restated
2015-06,419.02M,419.02M,6.511M,259.74M,266.25M,2.318M,,268.57M,-131.75M,423.70M,19.46M,5.499M,13.96M,,,,15.06M,13.96M,13.96M,35.11M,50.99M,,-0.01,,,,-0.01,-0.01,,-0.01,,,,-0.01,-0.01,,202.89M,202.89M,0.06,,AOR,Restated
2015-03,534.68M,534.68M,6.975M,251.64M,258.61M,2.358M,,260.97M,2.026M,417.35M,143.20M,51.18M,92.02M,,,,16.75M,92.02M,92.02M,34.17M,174.30M,,0.37,,,,0.37,0.37,,0.37,,,,0.37,0.37,,202.60M,202.94M,0.04,,AOR,Restated
2014-12,543.90M,543.90M,5.805M,246.76M,252.57M,2.64M,,255.21M,-2.975M,430.43M,125.57M,43.76M,81.81M,,,,15.05M,81.81M,81.81M,-39.72M,157.10M,,0.36,,,,0.36,0.36,,0.36,,,,0.36,0.36,,202.90M,203.38M,0.04,,AOR,Restated
2014-09,532.89M,532.89M,6.094M,253.72M,259.82M,2.665M,,262.48M,-13.42M,416.82M,149.00M,53.11M,95.89M,,,,16.76M,95.89M,95.89M,33.86M,192.45M,,0.40,,,,0.40,0.40,,0.40,,,,0.40,0.40,,196.69M,197.27M,0.04,,AOR,Restated
2014-06,541.13M,541.13M,6.803M,246.78M,253.58M,2.736M,,256.32M,5.605M,416.28M,189.52M,69.97M,119.55M,,,,15.06M,119.55M,119.55M,31.15M,236.43M,,0.56,,,,0.56,0.56,,0.56,,,,0.56,0.56,,184.67M,185.29M,0.04,,AOR,Restated
2014-03,554.78M,554.78M,6.398M,241.32M,247.72M,2.882M,,250.60M,23.26M,416.47M,157.33M,56.12M,101.21M,,,,25.02M,101.21M,101.21M,32.40M,208.43M,,0.41,,,,0.41,0.41,,0.41,,,,0.41,0.41,,184.44M,185.12M,0.04,,AOR,Restated
2013-12,400.88M,400.88M,5.571M,235.39M,240.96M,3.224M,,244.18M,-153.39M,432.07M,-63.33M,-21.86M,-41.47M,,,0.00,17.96M,-41.47M,-41.47M,27.76M,-5.345M,,-0.32,,,,-0.32,-0.32,,-0.32,,,,-0.32,-0.32,,184.21M,184.76M,0.04,,AOR,Restated
2013-09,537.71M,537.71M,6.091M,238.58M,244.67M,3.57M,,248.24M,-8.725M,415.52M,172.62M,61.11M,111.51M,,,0.00,27.51M,111.51M,111.51M,42.67M,230.51M,,1.13,,,,1.13,1.13,,1.12,,,,1.12,1.12,,184.11M,184.74M,0.04,,AOR,Restated
2013-06,555.80M,555.80M,5.807M,237.45M,243.26M,3.762M,,247.02M,-6.118M,430.66M,126.12M,43.09M,83.03M,,,0.00,27.64M,83.03M,83.03M,21.94M,188.69M,,0.30,,,,0.30,0.30,,0.30,,,,0.30,0.30,,183.65M,184.06M,0.04,,AOR,Restated
2013-03,539.33M,539.33M,5.893M,239.50M,245.39M,3.819M,,249.21M,-9.431M,418.12M,171.02M,60.63M,110.39M,,,0.336M,22.40M,110.72M,110.72M,38.26M,237.65M,,0.48,,,,0.48,0.48,,0.48,,,,0.48,0.48,,183.40M,183.66M,0.01,,AOR,Restated
2012-12,484.12M,484.12M,5.969M,230.80M,236.77M,4.216M,,240.98M,-79.01M,429.96M,87.50M,29.82M,57.69M,,,0.566M,22.65M,58.25M,58.25M,18.07M,155.80M,,0.19,,,,0.19,0.19,,0.19,,,,0.19,0.19,,183.30M,183.46M,0.01,,AOR,Restated
2012-09,563.39M,563.39M,7.326M,231.50M,238.83M,4.241M,,243.07M,-2.827M,438.16M,170.30M,60.70M,109.60M,,,0.254M,47.53M,109.85M,109.85M,47.81M,241.14M,,0.34,,,,0.34,0.34,,0.34,,,,0.34,0.34,,183.24M,183.38M,0.01,,AOR,Restated
2012-06,555.01M,555.01M,6.618M,231.21M,237.83M,4.262M,,242.09M,-8.466M,426.34M,142.50M,51.04M,91.46M,,,0.273M,36.52M,91.74M,91.74M,62.17M,228.74M,,0.30,,,,0.30,0.30,,0.30,,,,0.30,0.30,,182.98M,183.14M,0.01,,AOR,Restated
2012-03,549.30M,549.30M,5.807M,235.55M,241.36M,4.291M,,245.65M,-4.744M,437.48M,141.26M,51.86M,89.40M,,,0.273M,64.19M,89.68M,89.68M,57.14M,222.66M,,0.14,,,,0.14,0.14,,0.14,,,,0.14,0.14,,182.80M,182.96M,0.01,,AOR,Restated
2011-12,573.24M,573.24M,7.78M,232.30M,240.08M,4.741M,,244.82M,-35.41M,445.56M,136.65M,47.88M,88.77M,,,0.248M,44.60M,89.02M,89.02M,-7.399M,214.21M,,0.24,,,,0.24,0.24,,0.24,,,,0.24,0.24,,182.70M,182.83M,0.01,,AOR,Restated
2011-09,595.62M,595.62M,6.511M,229.43M,235.94M,4.773M,-11.13M,229.58M,18.32M,470.60M,168.07M,59.35M,108.72M,,,0.375M,43.93M,109.09M,112.31M,52.29M,251.87M,,0.35,0.00,,,0.3676,0.35,,0.35,0.00,,,0.3675,0.35,,182.68M,183.86M,0.01,,AOR,Restated
2011-06,532.44M,532.44M,5.962M,237.37M,243.33M,4.855M,-3.254M,244.93M,-4.032M,416.17M,126.94M,54.32M,72.61M,,,0.265M,43.84M,72.88M,68.60M,105.79M,269.43M,,0.16,0.00,,,0.1366,0.16,,0.16,0.00,,,0.1366,0.16,,182.47M,182.73M,0.01,,AOR,Restated
2011-03,553.08M,553.08M,6.911M,239.11M,246.02M,5.701M,6.435M,258.16M,0.838M,423.86M,89.62M,37.03M,52.59M,,,0.226M,38.05M,52.82M,44.73M,89.81M,218.16M,,0.08,0.00,,,0.0355,0.08,,0.08,0.00,,,0.0355,0.08,,181.71M,182.00M,0.01,,AOR,Restated
2010-12,472.52M,472.52M,7.099M,232.92M,240.02M,6.23M,,246.25M,-86.12M,393.72M,-96.49M,-24.10M,-72.39M,,,0.194M,38.09M,-72.20M,-72.20M,164.75M,70.68M,,-0.61,,,,-0.61,-0.61,,-0.61,,,,-0.61,-0.61,,178.23M,178.23M,0.01,,AOR,Restated
2010-09,576.91M,576.91M,5.575M,233.65M,239.23M,6.296M,-24.82M,220.71M,7.346M,451.88M,-78.64M,-31.18M,-47.46M,,,0.132M,33.14M,-47.32M,-37.41M,65.49M,51.42M,,-0.47,0.00,,,-0.4127,-0.47,,-0.47,0.00,,,-0.4127,-0.47,,172.86M,172.86M,0.01,,AOR,Restated
2010-06,531.94M,531.94M,5.772M,232.21M,237.99M,6.414M,-18.54M,225.86M,-0.97M,413.35M,-136.26M,-22.90M,-113.36M,,,0.368M,25.34M,-112.99M,-102.24M,96.26M,34.13M,,-0.84,0.00,,,-0.7735,-0.84,,-0.84,0.00,,,-0.7735,-0.84,,161.81M,161.81M,0.01,,AOR,Restated
2010-03,586.47M,586.47M,6.374M,228.54M,234.92M,6.577M,-11.13M,230.36M,-1.909M,455.30M,-91.78M,-28.64M,-63.14M,,,2.927M,26.31M,-60.21M,-66.93M,46.25M,33.05M,,-0.57,0.00,,,-0.6145,-0.57,,-0.57,0.00,,,-0.6145,-0.57,,151.07M,151.07M,0.01,,AOR,Restated
2009-12,609.14M,609.14M,5.738M,179.71M,185.44M,10.14M,-70.21M,125.37M,-503.27M,456.89M,-311.30M,-125.81M,-185.49M,,,1.423M,77.05M,-184.06M,-451.51M,52.07M,-162.06M,,-1.05,0.00,,,-2.960,-1.05,,-1.05,0.00,,,-2.960,-1.05,,140.03M,140.03M,0.01,,AOR,Restated
2009-09,796.84M,796.84M,4.418M,214.51M,218.93M,7.575M,-143.29M,83.21M,0.095M,472.18M,-257.72M,-100.05M,-157.67M,,,2.394M,26.60M,-155.28M,-69.05M,87.85M,-98.10M,,-1.43,0.00,,,-0.7542,-1.43,,-1.43,0.00,,,-0.7542,-1.43,,127.58M,127.58M,0.01,,AOR,Restated
2009-06,1.149B,1.149B,5.678M,252.78M,258.46M,7.078M,-111.13M,154.41M,-10.26M,493.69M,-75.70M,-23.76M,-51.94M,,,1.209M,25.45M,-50.73M,-313.23M,36.72M,68.31M,,-0.21,0.00,,,-2.475,-0.21,,-0.21,0.00,,,-2.475,-0.21,,115.91M,115.91M,0.04,,AOR,Restated
2009-03,403.78M,403.78M,7.148M,212.57M,219.72M,6.886M,-115.19M,111.42M,-197.43M,474.78M,-978.31M,-151.73M,-826.58M,,,0.54M,26.29M,-826.04M,-733.66M,36.40M,-813.38M,,-7.47,0.00,,,-6.660,-7.47,,-7.47,0.00,,,-6.660,-7.47,,114.11M,114.11M,0.04,,AOR,Restated
2008-12,683.83M,683.83M,10.08M,228.32M,238.39M,,-371.06M,-132.67M,-22.83M,508.44M,-614.55M,-126.51M,-488.04M,,,1.52M,15.11M,-482.98M,-188.30M,38.38M,-397.79M,,-4.62,0.00,,,-2.037,-4.62,,-4.62,0.00,,,-2.037,-4.62,,114.10M,114.10M,0.32,,,Restated
2008-09,581.61M,581.61M,6.782M,209.00M,215.78M,,-2.623M,213.15M,13.11M,492.00M,48.97M,11.21M,37.76M,,,-3.757M,4.409M,37.76M,39.78M,37.65M,292.62M,,0.31,0.00,,,0.3287,0.31,,0.31,0.00,,,0.3286,0.31,,108.41M,108.50M,0.43,,,
2008-06,604.00M,604.00M,7.52M,214.45M,221.97M,8.191M,-97.19M,132.98M,0.078M,484.74M,88.51M,22.04M,66.47M,,,5.729M,2.454M,72.20M,145.19M,35.56M,326.70M,,0.65,0.00,,,1.335,0.65,,0.65,0.00,,,1.334,0.65,,106.60M,106.71M,0.43,,,Restated
2008-03,628.18M,628.18M,6.351M,223.35M,229.70M,8.82M,-92.12M,146.40M,-3.429M,486.46M,155.07M,49.90M,105.18M,,,1.572M,2.453M,106.75M,169.23M,28.61M,458.73M,,0.97,0.00,,,1.557,0.97,,0.97,0.00,,,1.556,0.97,,106.51M,106.69M,0.43,,,Restated
2007-12,616.86M,616.86M,6.322M,191.14M,197.46M,,-160.82M,36.64M,0.596M,478.88M,34.51M,-11.04M,45.54M,,,-1.197M,3.343M,45.54M,150.07M,31.00M,383.14M,,0.41,0.00,,,1.392,0.41,,0.41,0.00,,,1.388,0.41,,106.45M,106.92M,0.43,,,
2007-09,622.46M,622.46M,6.624M,204.49M,211.11M,,-0.682M,210.43M,11.13M,476.64M,207.58M,71.85M,135.73M,,,-7.49M,3.77M,135.73M,136.18M,31.33M,548.69M,,1.24,0.00,,,1.244,1.24,,1.22,0.00,,,1.224,1.22,,106.81M,107.88M,0.43,,,
2007-06,610.69M,610.69M,7.517M,198.67M,206.18M,,-1.491M,204.69M,11.38M,469.35M,245.28M,86.06M,159.21M,,,-0.034M,3.607M,159.21M,160.18M,32.48M,565.55M,,1.44,0.00,,,1.449,1.44,,1.43,0.00,,,1.439,1.43,,107.80M,109.12M,0.43,,,
2007-03,602.50M,602.50M,6.457M,205.59M,212.04M,,,212.04M,20.61M,457.08M,242.11M,88.85M,153.26M,,,0.705M,3.603M,153.26M,153.26M,30.17M,555.48M,,1.38,0.00,,,1.38,1.38,,1.36,0.00,,,1.36,1.36,,108.41M,110.11M,0.39,,,
2006-12,598.92M,598.92M,7.10M,189.63M,196.73M,,-10.76M,185.96M,12.29M,459.04M,226.59M,80.08M,146.51M,,,-2.73M,,146.51M,153.47M,33.97M,529.26M,,1.34,0.00,,,1.405,1.34,,1.32,0.00,,,1.384,1.32,,106.46M,108.26M,0.39,,,
2006-09,591.84M,591.84M,6.566M,190.55M,197.12M,,-2.549M,194.57M,13.18M,446.51M,237.46M,83.79M,153.67M,,,-9.985M,,153.67M,155.32M,35.44M,522.70M,,1.45,0.00,,,1.466,1.45,,1.42,0.00,,,1.435,1.42,,106.28M,108.06M,0.36,,,
2006-06,573.84M,573.84M,6.814M,185.64M,192.46M,,-8.906M,183.55M,3.392M,436.33M,224.13M,78.82M,145.31M,,,0.343M,,145.31M,151.08M,32.34M,474.42M,,1.37,0.00,,,1.424,1.37,,1.35,0.00,,,1.404,1.35,,106.00M,107.88M,0.36,,,
2006-03,552.78M,552.78M,6.146M,186.05M,192.20M,,,192.20M,0.801M,422.85M,212.89M,75.26M,137.63M,,,0.523M,,137.63M,127.63M,32.01M,428.11M,,1.30,0.00,,,1.205,1.30,,1.28,0.00,,,1.187,1.28,,105.47M,107.72M,0.36,,,
2005-12,494.34M,494.34M,6.061M,154.94M,161.00M,,-5.454M,155.55M,18.32M,374.82M,197.25M,69.14M,128.11M,,,-0.693M,,128.11M,131.65M,29.39M,370.83M,,1.35,0.00,,,1.387,1.35,,1.32,0.00,,,1.356,1.32,,95.04M,97.16M,0.36,,,
2005-09,451.15M,451.15M,5.875M,142.59M,148.46M,,-0.207M,148.26M,1.089M,340.65M,191.17M,68.20M,122.97M,,,-0.152M,,122.97M,123.10M,24.78M,333.80M,,1.37,0.00,,,1.371,1.37,,1.34,0.00,,,1.341,1.34,,89.98M,91.60M,0.36,,,
2005-06,437.48M,437.48M,5.335M,138.24M,143.58M,,,143.58M,-2.778M,330.93M,185.14M,66.33M,118.81M,,,1.743M,,118.81M,118.81M,23.95M,309.95M,,1.32,0.00,,,1.32,1.32,,1.30,0.00,,,1.30,1.30,,89.85M,91.61M,0.36,,,
2005-03,417.95M,417.95M,4.093M,138.13M,142.22M,,,142.22M,-0.054M,314.95M,169.98M,59.75M,110.23M,,,0.754M,,110.23M,98.52M,22.55M,277.87M,,1.23,0.00,,,1.100,1.23,,1.20,0.00,,,1.072,1.20,,89.88M,91.49M,0.36,,,
2004-12,408.33M,408.33M,4.93M,138.06M,142.99M,,-0.632M,142.36M,-4.709M,323.06M,157.62M,52.64M,104.98M,,,0.622M,,104.98M,105.40M,10.82M,252.55M,,1.17,0.00,,,1.175,1.17,,1.16,0.00,,,1.165,1.16,,89.72M,91.07M,0.32,,,
2004-09,404.27M,404.27M,4.789M,133.61M,138.40M,,-0.972M,137.43M,4.277M,291.12M,160.64M,58.14M,102.50M,,,-0.858M,,102.50M,103.12M,34.73M,248.92M,,1.14,0.00,,,1.147,1.14,,1.13,0.00,,,1.137,1.13,,89.62M,90.96M,0.32,,,
2004-06,391.52M,391.52M,5.186M,129.35M,134.54M,,,134.54M,-5.302M,280.90M,153.47M,54.63M,98.84M,,,2.226M,,98.84M,98.84M,24.90M,231.71M,,1.10,0.00,,,1.10,1.10,,1.09,0.00,,,1.09,1.09,,89.59M,90.66M,0.32,,,
2004-03,388.23M,388.23M,4.842M,130.28M,135.12M,,,135.12M,-4.114M,282.18M,154.38M,54.71M,99.67M,,,-0.268M,,99.67M,99.67M,24.34M,223.58M,,1.11,0.00,,,1.11,1.11,,1.10,0.00,,,1.10,1.10,,89.72M,90.90M,0.30,,,
2003-12,381.01M,381.01M,5.103M,122.72M,127.83M,,19.69M,147.51M,-0.725M,278.25M,147.50M,51.89M,95.61M,0.00,,0.44M,,95.61M,82.85M,23.27M,216.31M,,1.06,0.00,,,0.9181,1.06,,1.05,0.00,,,0.9099,1.05,,89.91M,91.07M,0.30,,,
2003-09,467.26M,467.26M,4.188M,122.55M,126.74M,,-99.84M,26.90M,76.52M,277.08M,130.71M,66.51M,64.20M,-2.115M,,2.849M,,62.08M,124.10M,25.74M,203.02M,,0.72,-0.03,,,1.387,0.69,,0.71,-0.03,,,1.370,0.68,,89.75M,90.81M,0.30,,,
2003-06,374.76M,374.76M,4.941M,122.98M,127.93M,,,127.93M,-6.241M,273.95M,141.36M,48.96M,92.41M,0.017M,,1.159M,,92.42M,92.41M,24.43M,220.95M,,1.03,0.00,,,1.03,1.03,,1.02,0.00,,,1.02,1.02,,90.01M,90.59M,0.21,,,
2003-03,362.55M,362.55M,3.98M,123.59M,127.57M,,,127.57M,-5.769M,266.21M,133.77M,46.39M,87.38M,0.328M,,2.737M,,87.70M,87.38M,21.10M,216.96M,,0.96,0.01,,,0.96,0.97,,0.96,0.01,,,0.96,0.97,,90.53M,90.65M,0.21,,,
2002-12,365.15M,365.15M,4.644M,119.32M,123.96M,,,123.96M,6.39M,258.58M,131.02M,46.96M,84.06M,3.437M,0.00,0.449M,,87.50M,84.06M,12.80M,228.06M,,0.92,0.04,0.00,,0.92,0.96,,0.92,0.04,-0.0008,,0.92,0.95,,90.94M,91.04M,0.20,,,
2002-09,336.12M,336.12M,3.631M,124.98M,128.61M,,,128.61M,-20.94M,261.31M,97.14M,31.77M,65.37M,-25.92M,,2.486M,,39.45M,65.37M,22.79M,202.45M,,0.71,-0.28,,,0.71,0.43,,0.71,-0.28,,,0.71,0.43,,91.50M,92.02M,0.20,,,
2002-06,360.65M,360.65M,6.639M,119.84M,126.48M,,,126.48M,0.58M,259.04M,129.81M,44.95M,84.86M,-2.789M,,0.575M,,82.08M,84.86M,31.11M,239.45M,,0.92,-0.03,,,0.92,0.89,,0.92,-0.03,,,0.92,0.89,,91.78M,92.63M,0.20,,,
2002-03,350.04M,350.04M,5.663M,113.88M,119.55M,,,119.55M,0.664M,256.21M,126.84M,44.02M,82.82M,-3.186M,-32.37M,0.15M,,47.26M,82.82M,20.39M,235.62M,,0.90,-0.03,0.00,,0.90,0.52,,0.89,-0.03,-0.3516,,0.89,0.51,,92.06M,92.81M,0.20,,,
2001-12,360.12M,360.12M,5.64M,117.24M,122.88M,,,122.88M,-26.52M,251.82M,101.48M,34.98M,66.50M,,0.00,1.16M,,71.89M,66.50M,17.01M,226.08M,,0.72,-0.02,0.00,,0.72,0.78,,0.72,-0.02,0.0002,,0.72,0.78,,92.04M,92.57M,0.20,,,
2001-09,353.16M,353.16M,4.933M,110.74M,115.67M,,,115.67M,14.97M,247.12M,120.36M,43.03M,77.33M,-4.533M,,3.251M,,72.80M,77.33M,43.56M,274.46M,,0.84,-0.05,,,0.84,0.79,,0.83,-0.05,,,0.83,0.78,,92.31M,93.51M,0.20,,,
2001-06,328.91M,328.91M,6.378M,106.89M,113.26M,,,113.26M,2.23M,235.02M,112.55M,38.95M,73.60M,,,1.783M,,73.60M,73.60M,34.14M,284.94M,,0.80,0.00,,,0.80,0.80,,0.79,0.00,,,0.79,0.79,,92.16M,93.21M,0.20,,,
2001-03,327.70M,327.70M,5.869M,107.12M,112.98M,,,112.98M,23.48M,215.84M,113.04M,41.14M,71.90M,,-7.159M,1.604M,,64.74M,71.90M,24.90M,304.12M,,0.81,-0.08,0.00,,0.81,0.73,,0.80,-0.08,-0.0811,,0.80,0.72,,88.25M,89.50M,0.20,,,
2000-12,195.38M,195.38M,9.262M,95.03M,104.29M,,,104.29M,5.58M,209.76M,100.50M,34.52M,65.97M,,,-0.28M,,65.97M,65.97M,42.93M,316.26M,,0.76,0.00,,,0.76,0.76,,0.76,0.00,,,0.76,0.76,,87.01M,87.97M,0.20,,,
2000-09,283.38M,283.38M,6.029M,86.75M,92.78M,,,92.78M,5.768M,208.03M,100.29M,35.65M,64.64M,,,-1.043M,,64.64M,64.64M,,316.74M,,0.74,0.00,,,0.74,0.74,,0.74,0.00,,,0.74,0.74,,86.91M,87.61M,0.20,,,
2000-06,265.20M,265.20M,5.561M,86.37M,91.94M,,,91.94M,2.321M,194.60M,91.03M,31.44M,59.58M,,,-0.643M,,59.58M,59.58M,,293.05M,,0.70,0.00,,,0.70,0.70,,0.69,0.00,,,0.69,0.69,,85.71M,86.32M,0.20,,,
2000-03,,,,,,,,,,,,,-28.49M,,,,,-28.49M,-28.49M,19.92M,-28.49M,,-0.33,0.00,,,-0.33,-0.33,,-0.33,0.00,,,-0.33,-0.33,,86.46M,86.46M,0.29,,,
