,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2014-12,528.71M,528.71M,226.75M,301.96M,66.67M,88.70M,47.58M,-1.003M,14.22M,4.924M,-9.299M,,202.95M,99.01M,4.924M,14.22M,-9.299M,-3.522M,-9.299M,86.19M,1.393M,84.80M,,,1.259M,86.06M,87.04M,173.72M,73.30M,100.41M,0.43,,,0.4349,0.43,0.39,,,0.3944,0.39,201.20M,223.49M,0.3565
2014-09,546.24M,546.24M,238.79M,307.45M,71.11M,88.81M,45.43M,-0.775M,14.02M,4.531M,-9.488M,,205.36M,102.09M,4.531M,14.02M,-9.488M,-1.901M,-9.488M,90.70M,-1.334M,92.04M,,,1.603M,93.64M,94.14M,175.54M,70.82M,104.72M,0.47,,,0.4725,0.47,0.42,,,0.4222,0.42,200.63M,225.28M,0.35600000000000004
2014-06,528.88M,528.88M,222.36M,306.52M,69.26M,84.37M,36.64M,-0.304M,13.68M,4.742M,-8.936M,,190.27M,116.25M,4.742M,13.68M,-8.936M,-0.323M,-8.936M,106.99M,17.08M,89.91M,,,0.00,89.91M,90.16M,181.66M,60.99M,120.67M,0.45,,,0.4513,0.45,0.4,,,0.4011,0.4,200.19M,224.53M,0.3555
2014-03,493.38M,493.38M,202.80M,290.59M,65.34M,77.36M,21.31M,-0.533M,11.96M,4.309M,-7.652M,,164.02M,126.57M,4.309M,11.96M,-7.652M,-0.694M,-7.652M,118.22M,6.729M,111.50M,,,0.00,111.50M,112.00M,175.62M,45.44M,130.18M,0.56,,,0.5625,0.56,0.5,,,0.5023,0.5,199.63M,222.69M,0.355
2013-12,482.37M,482.37M,199.65M,282.72M,66.86M,76.34M,21.80M,-0.801M,12.54M,4.241M,-8.304M,,165.00M,117.72M,4.241M,12.54M,-8.304M,3.173M,-8.304M,112.59M,7.187M,105.40M,,,0.00,105.40M,106.15M,170.38M,45.24M,125.13M,0.53,,,0.5338,0.53,0.48,,,0.4834,0.48,198.76M,219.09M,0.3545
2013-09,492.67M,492.67M,203.81M,288.86M,69.37M,78.25M,23.74M,0.011M,12.35M,4.01M,-8.344M,,171.37M,117.50M,4.01M,12.35M,-8.344M,2.053M,-8.344M,111.21M,11.40M,99.81M,,,0.00,99.81M,99.80M,171.61M,48.05M,123.56M,0.5,,,0.5,0.5,0.46,,,0.46,0.46,197.82M,216.48M,0.354
2013-06,462.79M,462.79M,196.22M,266.57M,65.71M,73.08M,27.68M,-1.701M,11.86M,3.925M,-7.931M,,166.47M,100.10M,3.925M,11.86M,-7.931M,-1.835M,-7.931M,90.34M,11.76M,78.58M,,,,78.58M,80.06M,152.60M,50.41M,102.19M,0.4,,,0.4075,0.4,0.37,,,0.377,0.37,196.95M,212.27M,0.3535
2013-03,430.14M,430.14M,191.10M,239.04M,64.74M,70.44M,39.92M,-7.222M,9.932M,3.671M,-6.261M,,175.10M,63.94M,3.671M,9.932M,-6.261M,-8.172M,-6.261M,49.50M,-10.19M,59.69M,,,,59.69M,64.38M,123.06M,63.63M,59.43M,0.3,,,0.324,0.3,0.28,,,0.3024,0.28,195.91M,209.44M,0.353
2012-12,416.05M,416.05M,215.62M,200.43M,69.37M,71.38M,39.71M,-2.559M,11.08M,3.813M,-7.264M,,180.46M,19.97M,3.813M,11.08M,-7.264M,-3.016M,-7.264M,9.692M,-0.481M,10.17M,,,,10.17M,11.84M,84.78M,64.01M,20.77M,0.05,,,0.0585,0.05,0.05,,,0.0581,0.05,194.96M,204.40M,0.35200000000000004
2012-09,383.30M,383.30M,189.10M,194.20M,71.77M,64.08M,27.86M,-22.39M,10.76M,3.744M,-7.014M,,163.71M,30.49M,3.744M,10.76M,-7.014M,-21.36M,-7.014M,2.119M,23.30M,-21.18M,,,,-21.18M,-6.628M,64.09M,51.21M,12.88M,-0.11,,,-0.035,-0.11,-0.11,,,-0.035,-0.11,194.06M,194.06M,0.35100000000000003
2012-06,352.13M,352.13M,147.34M,204.80M,55.59M,48.83M,4.046M,0.00,9.148M,4.332M,-4.816M,,108.46M,96.33M,4.332M,9.148M,-4.816M,-0.653M,-4.816M,90.86M,12.15M,78.71M,,,,78.71M,78.71M,125.26M,25.24M,100.01M,0.41,,,0.41,0.41,0.39,,,0.39,0.39,193.45M,203.70M,0.35
2012-03,338.91M,338.91M,143.26M,195.65M,49.72M,47.71M,2.802M,-1.497M,8.346M,5.584M,-2.762M,,100.24M,95.41M,5.584M,8.346M,-2.762M,-0.722M,-2.762M,91.92M,11.29M,80.64M,,,,80.64M,81.95M,124.52M,24.25M,100.27M,0.42,,,0.4268,0.42,0.39,,,0.3964,0.39,192.57M,206.02M,0.349
2011-12,329.16M,329.16M,143.67M,185.49M,51.09M,44.26M,2.678M,0.66M,8.994M,4.374M,-4.62M,,98.02M,87.47M,4.374M,8.994M,-4.62M,0.83M,-4.62M,83.68M,6.188M,77.49M,,,,77.49M,76.88M,117.31M,24.64M,92.67M,0.4,,,0.3968,0.4,0.38,,,0.377,0.38,191.64M,203.29M,0.348
2011-09,340.60M,340.60M,143.90M,196.70M,51.00M,45.38M,2.703M,-2.454M,8.911M,4.028M,-4.883M,,99.08M,97.62M,4.028M,8.911M,-4.883M,-2.467M,-4.883M,90.27M,10.98M,79.29M,,,,79.29M,81.44M,124.36M,25.18M,99.18M,0.42,0.0,,0.4313,0.42,0.4,0.0,,0.4108,0.4,190.81M,200.20M,0.34700000000000003
2011-06,374.51M,374.51M,154.76M,219.75M,57.59M,45.30M,,1.036M,8.015M,4.006M,-4.009M,,102.89M,116.86M,4.006M,8.015M,-4.009M,0.975M,-4.009M,113.83M,14.53M,99.29M,,,,99.29M,98.39M,147.19M,25.35M,121.84M,0.52,0.0,,0.5152,0.52,0.49,0.0,,0.4856,0.49,190.11M,204.57M,0.34600000000000003
2011-03,379.98M,379.98M,147.58M,232.41M,51.29M,44.16M,,-1.933M,8.065M,3.631M,-4.434M,,107.86M,124.55M,3.631M,8.065M,-4.434M,-0.084M,-4.434M,120.03M,-10.58M,130.61M,-5.084M,,,125.53M,131.87M,154.55M,26.46M,128.09M,0.69,-0.02,,0.6966,0.67,0.65,-0.02,,0.6562,0.62,188.93M,201.83M,0.345
2010-12,367.82M,367.82M,151.43M,216.40M,56.10M,42.20M,,-0.271M,7.672M,3.955M,-3.717M,,98.30M,118.10M,3.955M,7.672M,-3.717M,0.009M,-3.717M,114.39M,12.46M,101.93M,-1.154M,,,100.78M,102.17M,149.24M,27.18M,122.06M,0.54,-0.01,,0.5413,0.54,0.52,-0.01,,0.5212,0.51,187.49M,196.26M,0.344
2010-09,382.27M,382.27M,157.27M,225.00M,57.58M,43.72M,,1.315M,8.045M,4.07M,-3.975M,,101.30M,123.70M,4.07M,8.045M,-3.975M,1.272M,-3.975M,121.00M,16.25M,104.75M,-1.668M,,,103.08M,103.61M,156.58M,27.54M,129.04M,0.56,-0.01,,0.5539,0.55,0.55,-0.01,,0.544,0.54,186.30M,190.70M,0.34299999999999997
2010-06,357.12M,357.12M,149.68M,207.44M,57.21M,40.53M,,-0.976M,7.739M,4.346M,-3.393M,,97.74M,109.70M,4.346M,7.739M,-3.393M,-1.028M,-3.393M,105.28M,13.40M,91.88M,-2.311M,,,89.57M,92.73M,138.46M,25.44M,113.02M,0.5,-0.02,,0.5046,0.48,0.48,-0.02,,0.4845,0.47,185.54M,190.07M,0.342
2010-03,278.02M,278.02M,109.55M,168.47M,46.70M,33.29M,,0.75M,7.838M,2.598M,-5.24M,,79.98M,88.49M,2.598M,7.838M,-5.24M,0.75M,-5.24M,84.00M,8.248M,75.75M,0.00,,,75.75M,75.07M,114.16M,22.32M,91.84M,0.41,0.0,,0.4063,0.41,0.4,0.0,,0.3964,0.4,184.66M,189.05M,0.341
2009-12,250.10M,250.10M,104.10M,146.00M,43.10M,30.33M,,0.128M,7.763M,4.946M,-2.817M,,73.43M,72.57M,4.946M,7.763M,-2.817M,0.128M,-2.817M,69.88M,0.476M,69.40M,0.00,,,69.40M,69.28M,100.08M,22.44M,77.64M,0.38,0.0,,0.3793,0.38,0.37,0.0,,0.3693,0.37,183.86M,187.86M,0.34
2009-09,226.66M,226.66M,103.32M,123.34M,41.05M,29.57M,,2.107M,8.03M,4.479M,-3.551M,,70.61M,52.73M,4.479M,8.03M,-3.551M,2.107M,-3.551M,51.28M,6.797M,44.48M,0.00,,,44.48M,42.66M,81.95M,22.64M,59.31M,0.24,0.0,,0.23,0.24,0.24,0.0,,0.2302,0.24,183.19M,186.92M,0.33899999999999997
2009-06,192.95M,192.95M,96.51M,96.44M,36.38M,27.64M,,4.456M,7.519M,3.302M,-4.217M,,64.02M,32.42M,3.302M,7.519M,-4.217M,4.456M,-4.217M,32.66M,5.287M,27.37M,0.00,,,27.37M,23.63M,62.83M,22.66M,40.17M,0.15,0.0,,0.1296,0.15,0.15,0.0,,0.1299,0.15,182.86M,185.53M,0.33899999999999997
2009-03,173.25M,173.25M,89.29M,83.97M,33.34M,25.66M,,5.674M,7.832M,4.784M,-3.048M,,58.99M,24.98M,4.784M,7.832M,-3.048M,5.674M,-3.048M,27.60M,5.637M,21.96M,,,,21.96M,17.45M,58.69M,23.26M,35.43M,0.12,0.0,,0.0952,0.12,0.12,0.0,,0.0955,0.12,182.39M,184.17M,0.33899999999999997
2008-12,192.17M,192.17M,87.38M,104.79M,36.84M,26.97M,,-20.88M,7.096M,7.41M,0.314M,,63.81M,40.97M,7.41M,7.096M,0.314M,-20.88M,0.314M,20.41M,-51.95M,72.36M,,,,72.36M,85.93M,52.11M,24.60M,27.51M,0.4,0.0,,0.4746,0.4,0.39,0.0,,0.4638,0.39,181.96M,184.00M,0.33899999999999997
2008-09,269.71M,269.71M,105.55M,164.15M,45.63M,31.34M,,1.671M,6.87M,10.15M,3.282M,,76.97M,87.18M,10.15M,6.87M,3.282M,1.671M,3.282M,92.13M,16.41M,75.72M,,,,75.72M,74.35M,123.13M,24.12M,99.00M,0.41,0.0,,0.4025,0.41,0.4,0.0,,0.3927,0.4,183.62M,187.94M,0.33799999999999997
2008-06,268.17M,268.17M,104.58M,163.60M,45.41M,31.55M,,2.745M,,,,,76.96M,86.63M,,,,2.745M,,93.18M,16.86M,76.31M,,,,76.31M,74.06M,110.69M,24.06M,86.63M,0.41,0.0,,0.3982,0.41,0.4,0.0,,0.3882,0.4,191.05M,191.05M,0.33
2008-03,260.42M,260.42M,101.78M,158.63M,45.40M,31.51M,,1.356M,,,,,50.14M,108.50M,,,,1.356M,,88.82M,12.17M,76.65M,,,,76.65M,75.48M,132.21M,23.71M,108.50M,0.42,0.0,,0.4135,0.42,0.4,0.0,,0.3937,0.4,180.74M,184.90M,0.32
2007-12,252.60M,252.60M,99.55M,153.05M,43.50M,30.31M,,0.205M,,,,,73.81M,79.24M,,,,0.205M,,91.28M,11.15M,80.12M,,,,80.12M,79.94M,103.05M,23.81M,79.24M,0.39,0.0,,0.3891,0.39,0.38,0.0,,0.3791,0.38,207.00M,211.34M,0.31
2007-09,258.65M,258.65M,103.94M,154.71M,42.97M,29.31M,,-26.71M,,,,26.76M,99.04M,55.67M,,,,-26.71M,,70.14M,9.465M,60.68M,,,,60.68M,83.79M,81.57M,25.89M,55.67M,0.28,0.0,,0.3866,0.28,0.27,0.0,,0.3741,0.27,216.80M,222.00M,0.295
2007-06,264.07M,264.07M,105.53M,158.54M,43.78M,29.75M,,0.822M,,,,,73.53M,85.02M,,,,0.822M,,100.74M,20.45M,80.29M,,,,80.29M,79.64M,111.92M,26.90M,85.02M,0.37,0.0,,0.367,0.37,0.36,0.0,,0.3571,0.36,218.11M,223.59M,0.28
2007-03,258.18M,258.18M,103.58M,154.60M,40.76M,28.55M,,-0.14M,,,,,69.31M,85.29M,,,,-0.14M,,99.35M,-28.36M,127.71M,,,,127.71M,127.80M,113.67M,28.38M,85.29M,0.59,0.0,,0.5904,0.59,0.58,0.0,,0.5804,0.58,218.18M,223.88M,0.265
2006-12,251.00M,251.00M,101.29M,149.71M,40.18M,28.04M,,0.26M,,,,,68.23M,81.48M,,,,0.26M,,95.85M,23.00M,72.85M,,,,72.85M,72.65M,111.06M,29.58M,81.48M,0.34,0.0,,0.3391,0.34,0.33,0.0,,0.3291,0.33,215.71M,220.92M,0.25
2006-09,267.93M,267.93M,105.97M,161.96M,41.52M,29.08M,,0.016M,,,,,70.60M,91.36M,,,,0.016M,,104.59M,25.10M,79.49M,,,,79.49M,79.48M,121.05M,29.69M,91.36M,0.37,0.0,,0.3699,0.37,0.36,0.0,,0.3599,0.36,215.02M,220.13M,0.235
2006-06,262.56M,262.56M,104.07M,158.48M,40.78M,28.02M,,0.176M,,,,,68.80M,89.68M,,,,0.176M,,101.30M,24.31M,76.98M,,,,76.98M,76.85M,118.20M,28.52M,89.68M,0.36,0.0,,0.3594,0.36,0.35,0.0,,0.3494,0.35,214.18M,219.79M,0.215
2006-03,247.17M,247.17M,98.63M,148.55M,34.58M,24.52M,,0.463M,,,,,59.09M,89.45M,,,,0.463M,,99.43M,23.86M,75.57M,,,,75.57M,75.22M,117.03M,27.58M,89.45M,0.35,0.0,,0.3483,0.35,0.35,0.0,,0.3484,0.35,211.75M,217.22M,0.19
2005-12,234.90M,234.90M,94.63M,140.27M,32.30M,23.38M,,0.374M,,,,,55.68M,84.59M,,,,0.374M,,93.07M,52.95M,40.12M,,,,40.12M,39.90M,111.67M,27.08M,84.59M,0.19,0.0,,0.1889,0.19,0.19,0.0,,0.189,0.19,210.84M,215.67M,0.16
2005-09,227.30M,227.30M,92.74M,134.56M,31.62M,23.64M,,0.077M,,,,,55.26M,79.30M,,,,0.077M,,86.38M,20.73M,65.65M,,,,65.65M,65.59M,107.21M,27.91M,79.30M,0.31,0.0,,0.3097,0.31,0.31,0.0,,0.3097,0.31,209.42M,214.69M,0.125
2005-06,218.53M,218.53M,91.02M,127.50M,31.08M,23.40M,,1.121M,,,,,54.48M,73.03M,,,,1.121M,,80.30M,19.27M,61.02M,,,,61.02M,60.17M,101.14M,28.11M,73.03M,0.29,0.0,,0.2859,0.29,0.29,0.0,,0.286,0.29,208.40M,213.10M,0.095
2005-03,208.08M,208.08M,88.73M,119.35M,27.90M,23.33M,,0.713M,,,,0.00,51.23M,68.12M,,,,0.713M,,74.21M,17.81M,56.40M,,,,56.40M,55.86M,97.22M,29.10M,68.12M,0.27,0.0,,0.2674,0.27,0.27,0.0,,0.2674,0.27,207.37M,212.46M,0.07
2004-12,205.38M,205.38M,88.60M,116.79M,28.06M,23.11M,,-0.342M,,,,,51.17M,65.62M,,,,-0.342M,,69.92M,16.78M,53.14M,,,,53.14M,53.40M,96.15M,30.52M,65.62M,0.26,0.0,,0.2613,0.26,0.25,0.0,,0.2512,0.25,206.71M,211.73M,0.052000000000000005
2004-09,220.69M,220.69M,94.32M,126.38M,28.01M,23.32M,,0.421M,,,,,51.33M,75.05M,,,,0.421M,,79.53M,19.09M,60.44M,,,,60.44M,60.12M,106.34M,31.29M,75.05M,0.29,0.0,,0.2884,0.29,0.29,0.0,,0.2885,0.29,206.19M,211.40M,0.046
2004-06,212.78M,212.78M,91.32M,121.46M,27.22M,23.28M,,-20.14M,,,,21.10M,71.60M,49.85M,,,,-20.14M,,53.60M,9.804M,43.80M,,,,43.80M,60.25M,79.41M,29.55M,49.85M,0.21,0.0,,0.2896,0.21,0.21,0.0,,0.2873,0.21,206.69M,212.96M,0.04
2004-03,191.52M,191.52M,85.30M,106.22M,24.79M,22.10M,,1.606M,,,,0.00,46.89M,59.34M,,,,1.606M,,62.88M,16.04M,46.84M,,,,46.84M,45.65M,88.01M,28.67M,59.34M,0.23,0.0,,0.2242,0.23,0.22,0.0,,0.2143,0.22,208.00M,211.53M,0.035
2003-12,177.97M,177.97M,80.95M,97.02M,23.06M,20.86M,,0.731M,,,,-0.747M,43.17M,53.85M,,,,0.731M,,54.97M,14.13M,40.84M,,,,40.84M,40.30M,53.85M,-2.743M,53.85M,0.2,0.0,,0.1974,0.2,0.19,0.0,,0.1875,0.19,207.14M,215.34M,0.03
2003-09,168.49M,168.49M,77.29M,91.19M,22.45M,21.15M,,0.036M,,,,,43.60M,47.59M,,,,0.036M,,48.46M,12.36M,36.10M,,,,36.10M,36.08M,74.46M,26.87M,47.59M,0.18,0.0,,0.1799,0.18,0.17,0.0,,0.1699,0.17,205.09M,212.58M,0.024
2003-06,161.28M,161.28M,105.76M,55.52M,22.12M,21.28M,,-1.275M,,,,1.612M,45.01M,10.51M,,,,-1.275M,,11.59M,-1.884M,13.47M,,,,13.47M,14.24M,69.34M,58.83M,10.51M,0.07,0.0,,0.0738,0.07,0.06,0.0,,0.0636,0.06,203.90M,210.16M,0.024
