,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2018-03,187.50M,187.50M,1.24B,,1.24B,248.30M,194.30M,235.60M,678.20M,,,225.50M,2.332B,,,,,,3.032B,-1.914B,1.118B,1.005B,167.20M,1.172B,215.50M,442.80M,2.948B,5.280B,1.064B,,1.064B,173.10M,1.238B,370.30M,370.30M,,,473.60M,2.081B,1.343B,1.343B,170.20M,170.20M,596.50M,,2.109B,4.191B,124.10M,2.648B,848.40M,1.891B,,,-639.60M,1.090B
2017-12,224.40M,224.40M,1.180B,,1.209B,214.60M,179.80M,215.20M,609.60M,,,188.40M,2.238B,0.0,31.10M,638.90M,2.188B,142.70M,3.001B,-1.903B,1.098B,985.10M,166.30M,1.151B,196.30M,453.40M,2.899B,5.137B,1.007B,49.20M,1.056B,650.00M,1.706B,265.40M,265.40M,,,,1.972B,1.316B,1.316B,173.30M,173.30M,629.30M,,2.119B,4.091B,124.10M,2.597B,862.60M,1.857B,,,-680.50M,1.046B
2017-09,232.30M,232.30M,1.185B,,1.185B,222.10M,182.60M,215.30M,620.00M,,,239.40M,2.283B,,,,,,2.941B,-1.894B,1.047B,977.10M,170.10M,1.147B,347.40M,445.10M,2.987B,5.27B,949.20M,,949.20M,226.10M,1.175B,383.00M,383.00M,,,465.00M,2.023B,1.298B,1.298B,134.70M,134.70M,678.70M,,2.112B,4.135B,124.10M,2.693B,854.60M,1.838B,,,-699.10M,1.135B
2017-06,209.40M,209.40M,1.138B,,1.138B,214.20M,189.50M,214.80M,618.50M,,,235.50M,2.210B,,,,,,2.866B,-1.848B,1.018B,950.40M,168.10M,1.118B,325.10M,420.60M,2.882B,5.092B,930.90M,,930.90M,188.80M,1.120B,444.00M,444.00M,,,408.70M,1.972B,1.276B,1.276B,117.30M,117.30M,656.00M,,2.050B,4.022B,124.10M,2.622B,845.90M,1.806B,,,-716.40M,1.070B
2017-03,294.90M,294.90M,1.100B,,1.100B,209.20M,172.20M,198.50M,579.90M,,,202.30M,2.185B,,,,,,2.736B,-1.796B,940.30M,826.40M,83.40M,909.80M,317.80M,413.40M,2.581B,4.766B,906.10M,,906.10M,168.20M,1.074B,333.20M,333.20M,,,351.80M,1.759B,1.250B,1.250B,91.90M,91.90M,649.90M,,1.992B,3.751B,124.10M,2.538B,839.20M,1.774B,,,-712.50M,1.015B
2016-12,195.10M,195.10M,1.001B,,1.031B,185.00M,156.80M,177.30M,519.10M,,,152.50M,1.905B,0.0,29.30M,565.30M,1.950B,117.30M,2.661B,-1.746B,915.20M,793.60M,66.70M,860.30M,313.20M,402.90M,2.492B,4.396B,841.90M,37.90M,879.80M,545.40M,1.425B,579.10M,579.10M,,,,2.004B,713.40M,713.40M,92.30M,92.30M,660.90M,,1.467B,3.471B,124.10M,2.473B,852.00M,1.772B,,,-751.90M,925.50M
2016-09,189.40M,189.40M,1.070B,,1.070B,207.80M,172.10M,185.40M,565.30M,,,183.30M,2.014B,,,,,,2.686B,-1.780B,905.40M,821.60M,70.90M,892.50M,390.70M,398.20M,2.587B,4.600B,866.70M,,866.70M,207.80M,1.074B,587.60M,587.60M,,,394.00M,2.056B,713.00M,713.00M,104.40M,104.40M,684.50M,,1.502B,3.558B,124.10M,2.444B,843.10M,1.700B,,,-669.00M,1.042B
2016-06,216.10M,216.10M,1.028B,,1.028B,197.40M,162.00M,164.70M,524.10M,,,169.60M,1.942B,,,,,,2.601B,-1.762B,838.70M,691.00M,36.40M,727.40M,390.40M,395.80M,2.352B,4.295B,867.90M,,867.90M,525.30M,1.393B,199.00M,199.00M,,,,1.592B,962.90M,962.90M,108.70M,108.70M,674.50M,,1.746B,3.338B,124.10M,2.386B,834.40M,1.699B,,,-688.80M,956.50M
2016-03,169.60M,169.60M,1.019B,,1.019B,197.90M,155.50M,166.10M,519.50M,,,176.70M,1.887B,,,,,,2.639B,-1.791B,847.90M,695.10M,41.30M,736.40M,381.80M,395.90M,2.362B,4.249B,836.90M,,836.90M,492.40M,1.329B,264.90M,264.90M,,,,1.594B,963.30M,963.30M,111.50M,111.50M,612.10M,,1.687B,3.281B,124.10M,2.330B,828.70M,1.653B,,,-661.20M,968.30M
2015-12,158.80M,158.80M,964.70M,,995.60M,180.50M,143.00M,155.20M,478.70M,,,139.80M,1.775B,0.0,30.40M,579.30M,1.922B,67.90M,2.600B,-1.752B,847.90M,686.20M,45.80M,732.00M,372.20M,406.20M,2.358B,4.134B,814.60M,45.10M,859.70M,504.10M,1.364B,95.30M,95.30M,,,,1.459B,963.60M,963.60M,107.90M,107.90M,637.40M,,1.709B,3.168B,124.10M,2.278B,834.00M,1.587B,,,-683.00M,965.70M
2015-09,171.70M,171.70M,999.00M,,999.00M,191.40M,153.10M,167.90M,512.40M,,103.60M,129.30M,1.916B,,,,,,2.607B,-1.766B,840.60M,690.70M,50.70M,741.40M,312.40M,438.50M,2.333B,4.249B,840.40M,,840.40M,,840.40M,85.10M,85.10M,44.30M,44.30M,499.70M,1.470B,968.50M,968.50M,133.40M,133.40M,622.20M,,1.724B,3.194B,124.10M,2.244B,825.50M,1.484B,,,-655.10M,1.055B
2015-06,246.00M,246.00M,1.011B,,1.011B,191.00M,155.10M,166.00M,512.10M,,102.90M,123.70M,1.998B,,,,,,2.613B,-1.762B,851.70M,698.40M,55.70M,754.10M,300.30M,449.40M,2.356B,4.354B,856.00M,,856.00M,,856.00M,182.20M,182.20M,47.60M,47.60M,465.00M,1.551B,969.50M,969.50M,128.00M,128.00M,608.60M,,1.706B,3.257B,124.10M,2.213B,818.00M,1.455B,,,-603.40M,1.097B
2015-03,212.50M,212.50M,988.00M,,988.00M,189.50M,157.60M,161.80M,508.90M,,102.90M,134.10M,1.964B,,,,,,2.566B,-1.735B,831.20M,697.00M,60.90M,757.90M,305.80M,453.60M,2.348B,4.313B,825.10M,,825.10M,433.30M,1.258B,265.70M,265.70M,64.90M,64.90M,17.80M,1.607B,945.30M,945.30M,124.10M,124.10M,610.40M,,1.680B,3.287B,124.10M,2.175B,810.40M,1.470B,,,-613.70M,1.026B
2014-12,207.20M,207.20M,958.10M,,958.10M,183.60M,150.40M,157.80M,491.80M,,107.50M,155.90M,1.921B,0.0,32.10M,578.20M,1.958B,86.00M,2.654B,-1.779B,875.30M,721.60M,67.40M,789.00M,312.90M,458.40M,2.436B,4.357B,797.80M,,797.80M,264.20M,1.062B,204.30M,204.30M,60.10M,60.10M,266.60M,1.593B,940.10M,940.10M,127.80M,127.80M,648.30M,,1.716B,3.309B,124.10M,2.116B,823.90M,1.471B,,,-545.50M,1.048B
2014-09,195.60M,195.60M,1.088B,,1.088B,214.60M,163.90M,168.70M,547.20M,,105.60M,132.90M,2.070B,,,,,,2.689B,-1.805B,884.10M,742.00M,73.90M,815.90M,238.80M,484.90M,2.424B,4.494B,867.00M,,867.00M,,867.00M,167.10M,167.10M,44.80M,44.80M,554.00M,1.633B,945.10M,945.10M,140.90M,140.90M,467.80M,,1.554B,3.187B,124.10M,2.096B,818.60M,1.378B,,,-353.60M,1.307B
2014-06,221.90M,221.90M,1.115B,,1.115B,218.50M,176.80M,165.10M,560.40M,,103.80M,127.00M,2.130B,,,,,,2.725B,-1.820B,905.30M,758.60M,83.40M,842.00M,250.70M,488.70M,2.487B,4.617B,871.40M,,871.40M,,871.40M,227.50M,227.50M,18.80M,18.80M,505.00M,1.623B,945.20M,945.20M,143.90M,143.90M,475.70M,,1.565B,3.188B,124.10M,2.063B,811.70M,1.292B,,,-278.60M,1.429B
2014-03,205.10M,205.10M,1.086B,,1.086B,214.80M,167.80M,165.00M,547.60M,,101.30M,131.50M,2.073B,,,,,,2.728B,-1.809B,919.00M,760.00M,89.70M,849.70M,261.60M,488.00M,2.518B,4.591B,887.30M,,887.30M,,887.30M,167.90M,167.90M,35.50M,35.50M,449.80M,1.540B,950.40M,950.40M,136.30M,136.30M,469.10M,,1.556B,3.096B,124.10M,2.052B,803.90M,1.207B,,,-277.80M,1.495B
2013-12,351.60M,351.60M,1.016B,,1.016B,196.30M,149.00M,148.80M,494.10M,,103.40M,124.90M,2.092B,0.0,47.00M,580.20M,2.001B,74.30M,2.703B,-1.780B,922.50M,751.10M,96.00M,847.10M,263.40M,485.80M,2.519B,4.611B,889.50M,,889.50M,303.70M,1.193B,76.90M,76.90M,49.30M,49.30M,234.70M,1.554B,950.60M,950.60M,137.30M,137.30M,476.40M,,1.564B,3.118B,124.10M,2.009B,812.30M,1.172B,,,-281.10M,1.492B
2013-09,309.60M,309.60M,1.056B,,1.056B,208.20M,167.60M,155.50M,531.30M,,127.10M,135.10M,2.165B,,,,,,2.677B,-1.764B,912.60M,754.50M,103.00M,857.50M,322.80M,475.00M,2.568B,4.733B,833.40M,,833.40M,,833.40M,114.80M,114.80M,90.80M,90.80M,534.40M,1.573B,950.90M,950.90M,149.60M,149.60M,485.00M,,1.586B,3.159B,124.10M,1.994B,804.80M,1.121B,,,-227.60M,1.574B
2013-06,211.60M,211.60M,1.010B,,1.010B,202.60M,149.20M,156.20M,508.00M,,127.90M,122.60M,2.589B,,,,,,2.666B,-1.743B,922.40M,747.50M,109.20M,856.70M,344.30M,478.60M,2.602B,5.191B,821.30M,,821.30M,,821.30M,438.20M,438.20M,53.10M,53.10M,672.30M,1.985B,951.40M,951.40M,144.80M,144.80M,595.30M,,1.692B,3.676B,124.10M,1.975B,800.70M,1.060B,,,-325.00M,1.515B
2013-03,207.70M,207.70M,988.70M,,988.70M,206.80M,150.60M,158.90M,516.30M,,127.40M,122.20M,2.514B,,,,,,2.658B,-1.718B,939.50M,756.90M,117.00M,873.90M,343.40M,467.00M,2.624B,5.138B,813.20M,,813.20M,466.50M,1.280B,655.40M,655.40M,51.20M,51.20M,139.90M,2.126B,702.00M,702.00M,142.60M,142.60M,593.10M,,1.438B,3.564B,124.10M,1.934B,792.30M,985.30M,,,-291.30M,1.574B
2012-12,235.40M,235.40M,972.80M,,972.80M,184.50M,139.20M,149.60M,473.30M,,129.10M,128.90M,2.412B,0.0,56.50M,660.50M,2.090B,63.60M,2.871B,-1.856B,1.016B,764.40M,125.00M,889.40M,331.60M,457.10M,2.694B,5.105B,804.30M,,804.30M,524.40M,1.329B,520.20M,520.20M,65.10M,65.10M,160.50M,2.074B,702.20M,702.20M,140.50M,140.50M,607.20M,,1.450B,3.524B,124.10M,1.911B,801.80M,977.80M,,,-278.00M,1.581B
2012-09,190.70M,190.70M,1.002B,,1.002B,234.90M,167.60M,191.00M,532.70M,,132.90M,116.20M,2.449B,,,,,,2.862B,-1.854B,1.007B,761.80M,139.30M,901.10M,298.60M,446.30M,2.653B,5.102B,777.00M,,777.00M,,777.00M,674.40M,674.40M,69.70M,69.70M,632.90M,2.154B,702.70M,702.70M,138.60M,138.60M,521.60M,,1.363B,3.517B,124.10M,1.89B,794.50M,982.90M,,,-240.20M,1.586B
2012-06,161.40M,161.40M,982.00M,,982.00M,237.70M,159.10M,181.50M,521.60M,,114.10M,111.50M,2.402B,,,,,,2.826B,-1.813B,1.012B,751.60M,145.90M,897.50M,307.50M,438.80M,2.656B,5.058B,787.30M,,787.30M,,787.30M,671.50M,671.50M,60.40M,60.40M,603.10M,2.122B,703.20M,703.20M,130.90M,130.90M,531.00M,,1.365B,3.487B,124.10M,1.859B,785.50M,904.90M,,,-293.60M,1.570B
2012-03,190.70M,190.70M,961.90M,,961.90M,235.20M,153.00M,187.70M,518.80M,,117.20M,103.50M,2.336B,,,,,,2.899B,-1.840B,1.060B,768.50M,154.40M,922.90M,317.70M,435.00M,2.735B,5.071B,764.50M,,764.50M,,764.50M,613.20M,613.20M,81.70M,81.70M,563.00M,2.022B,703.70M,703.70M,127.10M,127.10M,553.50M,,1.384B,3.407B,124.10M,1.824B,777.70M,843.50M,,,-217.90M,1.664B
2011-12,178.00M,178.00M,877.10M,,877.10M,193.80M,126.40M,154.90M,475.10M,,117.40M,116.30M,2.219B,0.0,56.50M,662.90M,2.108B,40.50M,2.868B,-1.789B,1.079B,759.30M,161.20M,920.50M,322.30M,431.70M,2.754B,4.973B,736.50M,,736.50M,447.20M,1.184B,227.10M,227.10M,81.80M,81.80M,154.50M,1.647B,954.20M,954.20M,125.80M,125.80M,587.10M,,1.667B,3.314B,124.10M,1.810B,778.60M,791.50M,,,-263.20M,1.658B
2011-09,119.70M,119.70M,1.074B,,1.074B,257.80M,148.20M,226.80M,571.20M,,147.00M,124.50M,2.037B,,,,,,3.150B,-1.972B,1.177B,933.50M,203.60M,1.137B,252.40M,456.80M,3.024B,5.060B,719.90M,,719.90M,,719.90M,433.20M,433.20M,65.80M,65.80M,523.30M,1.742B,954.50M,954.50M,125.40M,125.40M,489.30M,,1.569B,3.311B,124.10M,1.816B,769.90M,796.70M,,,-164.00M,1.749B
2011-06,125.40M,125.40M,1.133B,,1.133B,281.10M,156.60M,266.20M,641.40M,,155.20M,162.00M,2.217B,,,,,,3.271B,-2.025B,1.246B,962.00M,215.50M,1.178B,261.90M,458.40M,3.143B,5.36B,765.40M,,765.40M,,765.40M,611.80M,611.80M,52.20M,52.20M,517.20M,1.947B,954.80M,954.80M,138.70M,138.70M,515.30M,,1.609B,3.555B,124.10M,1.793B,765.50M,771.70M,,,-69.20M,1.805B
2011-03,120.40M,120.40M,1.072B,,1.072B,281.10M,166.90M,243.30M,630.60M,,152.00M,184.90M,2.160B,,,,,,3.243B,-1.988B,1.255B,957.50M,223.30M,1.181B,266.10M,453.00M,3.154B,5.315B,816.60M,,816.60M,,816.60M,567.60M,567.60M,41.90M,41.90M,521.50M,1.948B,955.40M,955.40M,134.40M,134.40M,540.10M,,1.630B,3.578B,124.10M,1.746B,760.90M,771.70M,,,-73.30M,1.737B
2010-12,127.50M,127.50M,996.10M,,996.10M,243.30M,130.50M,205.30M,519.90M,,144.70M,163.70M,1.952B,0.0,65.10M,738.10M,2.326B,57.30M,3.186B,-1.923B,1.263B,940.80M,228.90M,1.170B,266.00M,448.90M,3.148B,5.099B,748.20M,,748.20M,649.40M,1.398B,381.00M,381.00M,53.20M,53.20M,,1.832B,956.20M,956.20M,124.60M,124.60M,541.10M,,1.622B,3.454B,124.10M,1.728B,768.00M,758.20M,,,-142.90M,1.646B
2010-09,157.80M,157.80M,1.079B,,1.079B,263.10M,147.80M,228.60M,576.20M,,161.10M,155.60M,2.130B,,,,,,3.178B,-1.910B,1.268B,941.40M,237.40M,1.179B,188.90M,447.90M,3.083B,5.213B,762.80M,,762.80M,,762.80M,443.50M,443.50M,64.40M,64.40M,622.10M,1.893B,1.066B,1.066B,115.30M,115.30M,607.30M,,1.788B,3.681B,124.10M,1.636B,742.80M,688.40M,,,-151.40M,1.532B
2010-06,148.90M,148.90M,1.056B,,1.056B,249.80M,135.30M,242.50M,564.10M,,95.90M,113.70M,1.978B,,,,,,3.083B,-1.840B,1.243B,906.60M,240.50M,1.147B,210.90M,458.10M,3.059B,5.038B,770.50M,,770.50M,,770.50M,526.70M,526.70M,43.80M,43.80M,556.50M,1.898B,1.060B,1.060B,124.00M,124.00M,546.10M,,1.731B,3.628B,124.10M,1.594B,711.20M,670.40M,,,-217.80M,1.409B
2010-03,143.60M,143.60M,963.10M,,963.10M,233.70M,129.90M,219.10M,519.00M,,98.00M,103.00M,1.827B,,,,,,3.14B,-1.847B,1.293B,930.70M,250.20M,1.181B,226.40M,465.00M,3.165B,4.992B,695.90M,,695.90M,,695.90M,628.30M,628.30M,28.10M,28.10M,509.30M,1.862B,1.074B,1.074B,122.70M,122.70M,552.50M,,1.749B,3.610B,124.10M,1.532B,722.90M,652.10M,,,-171.40M,1.381B
2009-12,138.10M,138.10M,918.60M,,918.60M,217.90M,119.60M,205.20M,477.30M,,103.50M,95.70M,1.733B,0.0,68.40M,764.10M,2.335B,40.60M,3.208B,-1.853B,1.355B,950.80M,262.20M,1.213B,236.60M,465.30M,3.270B,5.003B,689.80M,,689.80M,601.50M,1.291B,535.60M,535.60M,40.80M,40.80M,,1.868B,1.089B,1.089B,127.80M,127.80M,556.00M,,1.772B,3.640B,124.10M,1.500B,722.90M,595.80M,,,-145.20M,1.363B
2009-09,91.90M,91.90M,1.009B,,1.009B,235.60M,122.40M,223.30M,511.80M,,108.00M,104.00M,1.824B,,,,,,3.226B,-1.833B,1.393B,962.20M,271.30M,1.234B,216.80M,426.70M,3.270B,5.095B,650.50M,,650.50M,,650.50M,669.40M,669.40M,54.20M,54.20M,614.20M,1.988B,1.116B,1.116B,134.10M,134.10M,556.50M,,1.806B,3.795B,124.10M,1.472B,698.40M,570.80M,,,-170.80M,1.30B
2009-06,91.90M,91.90M,975.60M,,975.60M,221.00M,124.30M,241.30M,518.40M,,103.50M,104.70M,1.794B,,,,,,3.170B,-1.766B,1.404B,940.00M,277.10M,1.217B,204.60M,423.40M,3.249B,5.043B,608.00M,,608.00M,,608.00M,791.60M,791.60M,34.90M,34.90M,581.60M,2.016B,1.135B,1.135B,139.90M,139.90M,551.00M,,1.826B,3.842B,124.10M,1.433B,623.10M,570.80M,,,-219.50M,1.201B
2009-03,83.00M,83.00M,864.20M,,864.20M,235.10M,132.90M,234.90M,533.40M,,98.50M,110.10M,1.689B,,,,,,3.105B,-1.705B,1.399B,903.10M,279.30M,1.182B,186.60M,407.30M,3.176B,4.865B,549.10M,,549.10M,,549.10M,812.40M,812.40M,35.30M,35.30M,549.60M,1.946B,1.139B,1.139B,133.60M,133.60M,558.50M,,1.831B,3.778B,124.10M,1.439B,612.50M,761.30M,,,-325.60M,1.087B
2008-12,105.50M,105.50M,988.90M,,988.90M,256.20M,143.40M,248.60M,583.60M,,115.60M,136.80M,1.930B,0.0,68.40M,745.50M,2.302B,57.70M,3.173B,-1.680B,1.493B,1.717B,303.60M,2.020B,168.90M,423.10M,4.105B,6.036B,672.90M,,672.90M,660.50M,1.333B,665.00M,665.00M,59.60M,59.60M,,2.058B,1.545B,1.545B,116.40M,116.40M,566.50M,,2.228B,4.286B,124.10M,2.381B,642.90M,867.70M,,,-282.50M,1.75B
2008-09,81.30M,81.30M,1.121B,,1.121B,272.80M,157.70M,289.70M,648.70M,,153.80M,132.40M,2.137B,,,,,,3.148B,-1.604B,1.543B,1.775B,298.00M,2.073B,80.10M,551.70M,4.248B,6.385B,730.60M,,730.60M,630.80M,1.361B,721.60M,721.60M,42.40M,42.40M,,2.125B,1.545B,1.545B,233.20M,233.20M,,382.60M,2.161B,4.286B,124.10M,2.382B,747.40M,867.70M,,,-287.50M,2.099B
2008-06,87.10M,87.10M,1.233B,,1.233B,282.00M,161.20M,310.80M,679.10M,,162.30M,139.70M,2.301B,,,,,,3.340B,-1.722B,1.618B,1.825B,313.10M,2.138B,82.60M,557.50M,4.397B,6.698B,797.80M,,797.80M,,797.80M,825.80M,825.80M,43.80M,43.80M,641.90M,2.309B,1.545B,1.545B,,,,644.00M,2.189B,4.499B,124.10M,2.363B,723.70M,858.20M,344.50M,-498.40M,-153.90M,2.199B
2008-03,73.20M,73.20M,1.117B,,1.117B,269.30M,155.50M,309.90M,658.30M,,153.20M,132.50M,2.134B,,,,,,3.259B,-1.666B,1.593B,1.738B,320.50M,2.059B,76.40M,542.80M,4.271B,6.405B,743.50M,,743.50M,,743.50M,750.80M,750.80M,30.20M,30.20M,590.80M,2.115B,1.545B,1.545B,243.30M,243.30M,,389.50M,2.178B,4.293B,124.10M,2.315B,745.50M,858.20M,322.10M,-536.70M,-214.60M,2.112B
2007-12,71.50M,71.50M,1.114B,,1.114B,252.60M,151.50M,304.20M,631.00M,,128.10M,113.90M,2.058B,0.0,69.70M,733.60M,2.278B,114.40M,3.196B,-1.604B,1.591B,1.683B,314.20M,1.998B,59.90M,537.70M,4.186B,6.245B,679.20M,,679.20M,656.20M,1.335B,1.111B,1.111B,31.40M,31.40M,,2.478B,1.145B,1.145B,241.30M,241.30M,,391.50M,1.778B,4.255B,124.10M,2.290B,781.10M,858.20M,243.10M,-590.90M,-347.80M,1.989B
2007-09,77.30M,77.30M,1.112B,,1.112B,237.20M,138.90M,281.00M,630.90M,,241.60M,,2.062B,,,,,,3.154B,-1.586B,1.569B,1.639B,320.80M,1.959B,,530.90M,4.059B,6.122B,660.30M,,660.30M,,660.30M,1.572B,1.572B,,,635.00M,2.868B,755.50M,755.50M,,,,600.70M,1.356B,4.224B,124.10M,2.238B,832.30M,858.20M,225.10M,-663.80M,-438.70M,1.898B
