,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2018-03,1.776B,1.776B,1.293B,483.40M,,295.00M,8.40M,-12.80M,13.20M,-13.20M,295.00M,188.40M,13.20M,-13.20M,-16.10M,-13.20M,159.10M,33.30M,125.20M,,,125.20M,135.32M,216.80M,44.50M,172.30M,1.42,,,1.535,1.42,1.4,,,1.5130000000000001,1.4,88.00M,89.60M,0.45
2017-12,1.735B,1.735B,1.270B,465.60M,,281.10M,0.10M,-9.00M,13.30M,-13.30M,281.10M,184.50M,13.30M,-13.30M,-13.90M,-13.30M,157.30M,216.90M,-59.60M,,,-59.60M,-54.20M,214.50M,43.90M,170.60M,-0.6772,,,-0.6158,-0.6772,-0.6772,,,-0.6173,-0.6772,88.00M,90.10M,0.45
2017-09,1.680B,1.680B,1.228B,451.60M,,273.50M,1.80M,-10.80M,16.80M,-16.80M,273.50M,178.10M,16.80M,-16.80M,-14.50M,-16.80M,146.80M,38.50M,108.30M,,,108.30M,116.27M,207.60M,44.00M,163.60M,1.23,,,1.32,1.23,1.2,,,1.2890000000000001,1.2,88.30M,89.90M,0.45
2017-06,1.627B,1.627B,1.174B,452.60M,,270.80M,0.30M,-10.20M,16.20M,-16.20M,270.80M,181.80M,16.20M,-16.20M,-16.10M,-16.20M,149.50M,28.60M,120.90M,,,120.90M,129.15M,211.90M,46.20M,165.70M,1.37,,,1.463,1.37,1.34,,,1.432,1.34,88.50M,89.90M,0.45
2017-03,1.572B,1.572B,1.130B,442.40M,,279.80M,0.00,-6.50M,16.70M,-16.70M,279.80M,162.60M,16.70M,-16.70M,-10.00M,-16.70M,135.90M,23.70M,112.20M,,,112.20M,117.57M,197.20M,44.60M,152.60M,1.27,,,1.331,1.27,1.25,,,1.31,1.25,88.40M,90.00M,0.41
2016-12,1.551B,1.551B,1.125B,425.40M,,268.00M,1.30M,36.60M,14.50M,-14.50M,268.00M,157.40M,14.50M,-14.50M,-16.60M,-14.50M,126.30M,64.30M,62.00M,,,62.00M,40.04M,185.40M,44.60M,140.80M,0.7021,,,0.4548,0.7021,0.69,0.0,,0.4463,0.69,88.80M,90.10M,0.41
2016-09,1.509B,1.509B,1.091B,417.60M,,270.30M,0.70M,-4.60M,14.70M,-14.70M,270.30M,147.30M,14.70M,-14.70M,-4.60M,-14.70M,128.00M,38.90M,89.10M,,,89.10M,92.30M,188.80M,46.10M,142.70M,1.0,,,1.036,1.0,0.98,,,1.015,0.98,89.10M,90.60M,0.41
2016-06,1.542B,1.542B,1.107B,434.10M,269.20M,269.20M,2.80M,-50.20M,15.40M,-15.40M,269.20M,164.90M,15.40M,-15.40M,-50.20M,-15.40M,99.30M,19.30M,80.00M,,,80.00M,120.46M,159.80M,45.10M,114.70M,0.9,,,1.354,0.9,0.88,,,1.3259999999999998,0.88,89.10M,90.70M,0.41
2016-03,1.486B,1.486B,1.063B,422.60M,,278.20M,0.40M,-5.60M,15.30M,-15.30M,278.20M,144.40M,15.30M,-15.30M,-5.60M,-15.30M,123.50M,33.90M,89.60M,,,89.60M,93.67M,183.10M,44.30M,138.80M,1.0,,,1.045,1.0,0.98,,,1.025,0.98,89.40M,91.10M,0.37
2015-12,1.455B,1.455B,1.062B,392.30M,266.30M,266.30M,1.50M,-19.30M,15.20M,-15.20M,266.30M,126.00M,15.20M,-15.20M,-19.30M,-15.20M,91.50M,35.00M,56.50M,0.50M,,57.00M,68.42M,152.20M,45.50M,106.70M,0.6202,0.0055,,0.7516,0.6257,0.61,0.0055,,0.7383,0.62,90.70M,92.90M,0.37
2015-09,1.468B,1.468B,1.062B,405.90M,,268.10M,1.90M,-7.00M,14.70M,-14.70M,268.10M,137.80M,14.70M,-14.70M,-7.00M,-14.70M,116.10M,34.80M,81.30M,0.40M,,81.70M,86.20M,176.90M,46.10M,130.80M,0.89,0.0,,0.9436,0.89,0.87,0.0,,0.9226,0.88,91.50M,93.20M,0.37
2015-06,1.516B,1.516B,1.098B,417.60M,273.30M,273.30M,3.20M,-27.20M,15.30M,-15.30M,273.30M,144.30M,15.30M,-15.30M,-27.20M,-15.30M,101.30M,36.60M,64.70M,-1.00M,,63.70M,82.08M,164.00M,47.40M,116.60M,0.71,-0.01,,0.9006,0.7,0.69,-0.01,,0.8769,0.68,91.20M,93.00M,0.37
2015-03,1.528B,1.528B,1.098B,430.00M,,300.40M,2.40M,-14.30M,15.30M,-15.30M,300.40M,129.60M,15.30M,-15.30M,-14.30M,-15.30M,100.00M,28.10M,71.90M,,,71.90M,82.18M,164.60M,49.30M,115.30M,0.79,,,0.9035,0.79,0.78,,,0.8913,0.78,90.60M,92.40M,0.35
2014-12,1.605B,1.605B,1.190B,415.10M,285.80M,285.80M,6.90M,-14.60M,16.90M,-16.90M,285.80M,129.30M,16.90M,-16.90M,-14.60M,-16.90M,97.80M,28.00M,69.80M,0.80M,,70.60M,80.22M,167.80M,53.10M,114.70M,0.7695,0.0088,,0.8839,0.7783,0.75,0.0088,,0.862,0.76,91.10M,93.00M,0.35
2014-09,1.560B,1.560B,1.159B,400.70M,,278.40M,1.60M,-7.80M,15.40M,-15.40M,278.40M,122.30M,15.40M,-15.40M,-7.80M,-15.40M,99.10M,38.20M,60.90M,-0.70M,,60.20M,65.70M,163.60M,49.10M,114.50M,0.65,0.0,,0.7014,0.65,0.64,-0.01,,0.6904,0.63,93.30M,95.20M,0.35
2014-06,1.616B,1.616B,1.188B,428.20M,297.00M,297.00M,2.60M,-38.50M,15.60M,-15.60M,297.00M,131.20M,15.60M,-15.60M,-38.50M,-15.60M,77.10M,32.70M,44.40M,-1.90M,,42.50M,69.42M,142.10M,49.40M,92.70M,0.47,-0.02,,0.7337,0.45,0.46,-0.02,,0.7188,0.44,94.90M,96.70M,0.35
2014-03,1.550B,1.550B,1.143B,407.20M,,296.70M,0.30M,-7.30M,15.40M,-15.40M,296.70M,110.50M,15.40M,-15.40M,-7.30M,-15.40M,87.80M,16.20M,71.60M,-0.40M,,71.20M,77.56M,153.20M,50.00M,103.20M,0.74,0.0,,0.802,0.74,0.73,0.0,,0.7908,0.73,96.10M,98.00M,0.29
2013-12,1.584B,1.584B,1.168B,416.30M,294.10M,294.10M,1.40M,-3.70M,17.90M,-17.90M,294.10M,122.20M,17.90M,-17.90M,-3.70M,-17.90M,100.60M,58.50M,42.10M,-2.00M,,40.10M,44.50M,167.40M,48.90M,118.50M,0.4648,-0.0208,,0.4897,0.444,0.45,-0.0208,,0.4745,0.43,96.30M,98.30M,0.29
2013-09,1.505B,1.505B,1.103B,402.20M,285.70M,285.70M,8.00M,-15.70M,16.00M,-16.00M,285.70M,116.50M,16.00M,-16.00M,-25.70M,-16.00M,74.80M,12.80M,62.00M,-15.50M,,46.50M,75.02M,143.20M,52.40M,90.80M,0.63,-0.16,,0.7629,0.47,0.62,-0.16,,0.7507,0.47,97.90M,99.60M,0.29
2013-06,1.552B,1.552B,1.135B,417.50M,293.50M,293.50M,2.40M,0.30M,14.80M,-14.80M,293.50M,124.00M,14.80M,-14.80M,0.30M,-14.80M,109.50M,38.70M,70.80M,-2.00M,,68.80M,70.61M,176.10M,51.80M,124.30M,0.71,-0.02,,0.708,0.69,0.7,-0.02,,0.6981,0.68,99.30M,100.80M,0.29
2013-03,1.499B,1.499B,1.097B,401.70M,,300.90M,1.30M,-7.50M,12.20M,-12.20M,300.90M,100.80M,12.20M,-12.20M,-7.50M,-12.20M,81.10M,14.30M,66.80M,-9.00M,,57.80M,72.98M,144.80M,51.50M,93.30M,0.67,-0.09,,0.7317,0.58,0.66,-0.09,,0.7209,0.57,100.10M,101.50M,0.27
2012-12,1.483B,1.483B,1.101B,382.00M,288.70M,288.70M,3.10M,-28.10M,18.00M,-18.00M,288.70M,93.30M,18.00M,-18.00M,-28.10M,-18.00M,47.20M,19.20M,28.00M,21.00M,,49.00M,46.26M,121.70M,56.50M,65.20M,0.3343,0.1561,,0.5166,0.4904,0.33,0.15,,0.5101,0.48,100.20M,101.40M,0.27
2012-09,1.447B,1.447B,1.066B,381.00M,286.60M,286.60M,1.50M,-21.90M,18.00M,-18.00M,286.60M,94.40M,18.00M,-18.00M,-21.90M,-18.00M,54.50M,18.60M,35.90M,22.40M,,58.30M,50.33M,126.00M,53.50M,72.50M,0.36,0.22,,0.5028,0.58,0.35,0.22,,0.4912,0.57,101.10M,102.20M,0.27
2012-06,1.490B,1.490B,1.102B,388.10M,,284.70M,0.40M,-11.20M,18.60M,-18.60M,284.70M,103.40M,18.60M,-18.60M,-11.20M,-18.60M,73.60M,24.50M,49.10M,15.10M,,64.20M,56.57M,143.40M,51.20M,92.20M,0.47,0.15,,0.5422,0.62,0.47,0.15,,0.5416,0.62,103.40M,104.30M,0.27
2012-03,1.443B,1.443B,1.066B,377.10M,,288.90M,1.50M,-7.60M,18.30M,-18.30M,288.90M,88.20M,18.30M,-18.30M,-7.60M,-18.30M,62.30M,17.70M,44.60M,-0.70M,,43.90M,50.04M,140.00M,59.40M,80.60M,0.42,0.0,,0.4715,0.42,0.42,-0.01,,0.4712,0.41,105.70M,106.20M,0.27
2011-12,1.273B,1.273B,960.70M,312.50M,,256.20M,,-20.90M,18.00M,-18.00M,256.20M,56.30M,18.00M,-18.00M,-20.90M,-18.00M,17.40M,1.10M,16.30M,5.90M,,22.20M,35.88M,97.20M,61.80M,35.40M,0.27,-0.06,,0.4545,0.21,0.27,-0.06,,0.4528,0.21,106.10M,107.10M,0.25
2011-09,1.500B,1.500B,1.134B,366.90M,,285.00M,,-18.10M,17.70M,-17.70M,285.00M,81.90M,17.70M,-17.70M,-18.10M,-17.70M,46.10M,10.70M,35.40M,14.40M,,49.80M,49.30M,125.20M,61.40M,63.80M,0.33,0.14,,0.4611,0.47,0.33,0.14,,0.4604,0.47,106.00M,106.60M,0.25
2011-06,1.545B,1.545B,1.148B,396.40M,,283.30M,,-8.30M,17.70M,-17.70M,283.30M,113.10M,17.70M,-17.70M,-8.30M,-17.70M,87.10M,34.00M,53.10M,20.20M,,73.30M,58.16M,167.80M,63.00M,104.80M,0.5,0.19,,0.5479,0.69,0.5,0.19,,0.5474,0.69,105.70M,106.90M,0.25
2011-03,1.526B,1.526B,1.127B,399.50M,,314.90M,,-4.30M,17.70M,-17.70M,314.90M,84.60M,17.70M,-17.70M,-4.30M,-17.70M,62.60M,25.70M,36.90M,7.90M,,44.80M,39.70M,140.60M,60.30M,80.30M,0.35,0.08,,0.3765,0.43,0.35,0.07,,0.3761,0.42,105.40M,107.00M,0.25
2010-12,906.40M,906.40M,776.80M,129.60M,,153.50M,,1.30M,18.60M,-18.60M,153.50M,-23.90M,18.60M,-18.60M,1.80M,-18.60M,-40.70M,-79.80M,39.10M,,,114.20M,38.26M,37.60M,59.70M,-22.10M,0.37,0.71,,0.3621,1.08,0.37,0.7,,0.3621,1.07,106.40M,107.10M,0.2
2010-09,1.641B,1.641B,1.188B,453.00M,,346.40M,,-10.50M,19.10M,-19.10M,346.40M,106.60M,19.10M,-19.10M,-10.50M,-19.10M,77.00M,12.80M,64.20M,,,64.20M,72.95M,162.40M,66.30M,96.10M,0.61,0.0,,0.6927,0.61,0.6,0.0,,0.6817,0.6,105.80M,107.10M,0.2
2010-06,1.680B,1.680B,1.190B,490.40M,,338.90M,,-4.60M,21.10M,-21.10M,338.90M,151.50M,21.10M,-21.10M,-4.60M,-21.10M,125.80M,42.00M,83.80M,,,83.80M,86.86M,206.70M,59.80M,146.90M,0.79,0.0,,0.819,0.79,0.78,0.0,,0.8087,0.78,105.60M,106.80M,0.2
2010-03,1.555B,1.555B,1.114B,440.80M,,340.10M,,6.30M,17.50M,-17.50M,340.10M,100.70M,17.50M,-17.50M,6.30M,-17.50M,76.90M,22.20M,54.70M,,,54.70M,50.22M,156.20M,61.80M,94.40M,0.52,0.0,,0.4775,0.52,0.51,0.0,,0.4679,0.51,105.40M,106.40M,0.2
2009-12,1.522B,1.522B,1.107B,415.10M,,341.40M,,-28.90M,18.30M,-18.30M,341.40M,73.70M,18.30M,-18.30M,-28.90M,-18.30M,26.50M,-23.40M,49.90M,,,49.90M,68.68M,118.10M,73.30M,44.80M,0.52,0.0,,0.6987,0.52,0.52,0.0,,0.6987,0.52,105.10M,105.10M,0.2
2009-09,1.549B,1.549B,1.113B,436.00M,,323.10M,,-35.50M,19.10M,-19.10M,323.10M,112.90M,19.10M,-19.10M,-35.50M,-19.10M,58.30M,-4.20M,62.50M,,,62.50M,85.58M,138.80M,61.40M,77.40M,0.59,0.0,,0.8096,0.59,0.59,0.0,,0.8077,0.59,105.10M,106.00M,0.2
2009-06,1.455B,1.455B,1.065B,390.30M,,300.10M,,-29.60M,20.40M,-20.40M,300.10M,90.20M,20.40M,-20.40M,-29.60M,-20.40M,40.20M,0.40M,39.80M,,,39.80M,69.11M,122.00M,61.40M,60.60M,0.38,0.0,,0.6591,0.38,0.38,0.0,,0.6573,0.38,105.00M,105.70M,0.41
2009-03,1.426B,1.426B,1.081B,345.10M,,304.20M,,-929.30M,27.50M,-27.50M,304.20M,40.90M,27.50M,-27.50M,-929.30M,-27.50M,-915.90M,-17.00M,-898.90M,,,-898.90M,13.15M,-817.20M,71.20M,-888.40M,-8.99,0.0,,0.1305,-8.99,-8.99,0.0,,0.1305,-8.99,100.00M,100.00M,0.41
2008-12,1.512B,1.512B,1.133B,378.40M,,309.80M,,-12.30M,,,309.80M,68.60M,,,-12.30M,,28.20M,-14.40M,42.60M,,,42.60M,50.60M,104.70M,72.30M,32.40M,0.43,0.0,,0.5115,0.43,0.43,0.0,,0.5115,0.43,98.10M,98.10M,0.41
2008-09,1.725B,1.725B,1.290B,434.30M,,325.50M,,-12.50M,,,325.50M,108.80M,,,-12.50M,,67.30M,4.60M,62.70M,,,62.70M,74.35M,176.30M,67.50M,108.80M,0.64,0.0,,0.7582,0.64,0.63,0.0,,0.7478,0.63,98.50M,98.90M,0.41
2008-06,1.829B,1.829B,1.339B,490.30M,,341.00M,,-5.80M,29.30M,-29.30M,341.00M,149.30M,29.30M,-29.30M,-5.80M,-29.30M,114.20M,21.80M,92.40M,,,92.40M,97.09M,214.20M,70.70M,143.50M,0.94,0.0,,0.9876,0.94,0.93,0.0,,0.9774,0.93,98.50M,98.90M,0.41
2008-03,1.645B,1.645B,1.221B,424.00M,,328.00M,,-5.60M,,,328.00M,96.00M,,,-5.60M,,60.90M,-7.50M,68.40M,,,68.40M,72.04M,163.90M,67.90M,96.00M,0.7,0.0,,0.737,0.7,0.69,0.0,,0.7269,0.69,98.40M,98.60M,0.41
2007-12,1.714B,1.714B,1.231B,482.60M,,333.00M,,-16.20M,,,333.00M,149.60M,,,-16.20M,,99.10M,19.00M,80.10M,,,80.10M,93.19M,219.80M,70.20M,149.60M,0.81,0.0,,0.9435,0.81,0.81,0.0,,0.9424,0.81,98.10M,98.90M,0.41
2007-09,1.680B,1.680B,1.215B,465.60M,,330.40M,,-33.60M,,,330.40M,135.20M,,,-33.60M,,65.90M,7.50M,58.40M,,,58.40M,88.18M,198.80M,63.60M,135.20M,0.59,0.0,,0.8929,0.59,0.59,0.0,,0.8911,0.59,98.30M,98.90M,0.4
2007-06,1.524B,1.524B,1.114B,409.80M,,270.80M,,-7.50M,,,270.80M,139.00M,,,-7.50M,,111.40M,25.60M,85.80M,,,85.80M,91.58M,191.30M,52.30M,139.00M,0.88,0.0,,0.9389,0.88,0.87,0.0,,0.9285,0.87,98.00M,98.70M,0.4
2007-03,1.390B,1.390B,1.026B,364.40M,,248.30M,,-2.10M,,,248.30M,116.10M,,,-2.10M,,98.90M,19.70M,79.20M,,,79.20M,80.88M,164.60M,48.50M,116.10M,0.81,0.0,,0.8272,0.81,0.8,0.0,,0.817,0.8,98.00M,98.80M,0.4
2006-12,1.411B,1.411B,1.012B,399.10M,,262.40M,,-5.10M,,,262.40M,136.70M,,,-5.10M,,118.30M,10.40M,107.90M,-0.40M,,107.50M,112.55M,186.10M,49.40M,136.70M,1.08,0.0,,1.127,1.08,1.07,0.0,,1.1159999999999999,1.07,99.20M,100.40M,0.4
2006-09,1.418B,1.418B,1.027B,390.70M,,252.60M,,-19.50M,,,252.60M,138.10M,,,-19.50M,,104.50M,19.20M,85.30M,-0.30M,,85.00M,101.22M,187.40M,49.30M,138.10M,0.85,0.0,,1.0090000000000001,0.85,0.85,0.0,,1.008,0.85,100.10M,100.50M,0.39
2006-06,1.410B,1.410B,1.017B,393.00M,,251.30M,,-4.00M,,,251.30M,141.70M,,,-4.00M,,124.10M,27.70M,96.40M,15.60M,,112.00M,99.51M,191.20M,49.50M,141.70M,0.96,0.16,,0.9911,1.12,0.96,0.16,,0.9909,1.12,100.00M,100.40M,0.39
2006-03,1.337B,1.337B,982.00M,355.20M,,244.80M,,-7.60M,,,244.80M,110.40M,,,-7.60M,,88.30M,19.40M,68.90M,-0.20M,,68.70M,74.83M,160.10M,49.70M,110.40M,0.69,0.0,,0.7494,0.69,0.69,0.0,,0.7492,0.69,99.80M,100.10M,0.39
2005-12,1.364B,1.364B,984.70M,379.30M,,250.20M,,-56.90M,,,250.20M,129.10M,,,-56.90M,,59.20M,1.70M,57.50M,-64.00M,,-6.50M,112.77M,181.60M,52.50M,129.10M,0.58,-0.64,,1.1340000000000001,-0.06,0.58,-0.64,,1.1320000000000001,-0.06,99.80M,100.20M,0.39
2005-09,1.355B,1.355B,997.40M,357.60M,,228.80M,,-1.30M,,,228.80M,128.80M,,,-1.30M,,112.80M,26.80M,86.00M,0.20M,,86.20M,86.99M,178.10M,49.30M,128.80M,0.86,0.0,,0.8699,0.86,0.86,0.0,,0.8699,0.86,100.20M,100.60M,0.38
2005-06,1.412B,1.412B,1.024B,388.10M,,254.50M,,-2.10M,,,254.50M,133.60M,,,-2.10M,,115.80M,26.20M,89.60M,-0.20M,,89.40M,91.22M,184.00M,50.40M,133.60M,0.89,0.0,,0.9062,0.89,0.89,0.0,,0.9062,0.89,100.20M,100.60M,0.38
2005-03,1.343B,1.343B,990.90M,351.90M,,254.40M,,-3.30M,,,254.40M,97.50M,,,-3.30M,,79.70M,20.60M,59.10M,-1.40M,,57.70M,61.55M,147.30M,49.80M,97.50M,0.59,-0.01,,0.6144,0.58,0.58,-0.01,,0.6043,0.57,100.10M,100.70M,0.38
2004-12,1.410B,1.410B,981.60M,428.50M,,301.30M,,0.00,,,301.30M,127.20M,,,0.00,,111.60M,26.70M,84.90M,,,83.60M,84.90M,176.30M,49.10M,127.20M,0.85,-0.01,,0.85,0.84,0.84,-0.01,,0.84,0.83,100.20M,100.50M,0.38
2004-09,1.336B,1.336B,946.80M,389.40M,,272.80M,,,,,272.80M,116.60M,,,,,102.50M,27.50M,75.00M,,,75.00M,75.00M,163.10M,46.50M,116.60M,0.75,0.0,,0.75,0.75,0.75,0.0,,0.75,0.75,99.90M,100.60M,0.37
2004-06,1.324B,1.324B,933.40M,390.60M,,274.00M,,-13.80M,,,274.00M,116.60M,,,-13.80M,,88.70M,20.20M,68.50M,,,68.50M,79.16M,163.00M,46.40M,116.60M,0.69,0.0,,0.7967,0.69,0.68,0.0,,0.786,0.68,99.90M,100.50M,0.37
2004-03,1.247B,1.247B,880.20M,366.50M,,257.90M,,-21.40M,,,257.90M,108.60M,,,-21.40M,,72.50M,19.90M,52.60M,,,52.60M,68.13M,154.80M,46.20M,108.60M,0.53,0.0,,0.6857,0.53,0.52,0.0,,0.6748,0.52,99.70M,100.30M,0.37
2003-12,1.205B,1.205B,836.70M,368.60M,,260.40M,,-34.30M,,,260.40M,108.20M,,,-34.30M,,58.60M,16.40M,42.20M,17.10M,,59.30M,66.90M,158.90M,50.70M,108.20M,0.42,0.17,,0.6685,0.59,0.42,0.17,,0.6678,0.59,99.40M,99.70M,0.37
2003-09,1.204B,1.204B,848.60M,355.50M,,253.30M,,-0.20M,,,253.30M,102.20M,,,-0.20M,,88.10M,23.30M,64.80M,1.70M,,66.50M,64.95M,147.00M,44.80M,102.20M,0.65,0.02,,0.6515,0.67,0.65,0.02,,0.6515,0.67,99.40M,100.00M,0.36
2003-06,1.192B,1.192B,820.80M,371.40M,,265.50M,,4.00M,,,265.50M,105.90M,,,4.00M,,95.40M,25.70M,69.70M,1.60M,,71.30M,66.78M,148.30M,42.40M,105.90M,0.7,0.02,,0.6706,0.72,0.7,0.01,,0.6708,0.71,99.40M,100.10M,0.36
2003-03,1.135B,1.135B,776.80M,358.40M,,247.10M,,,,,247.10M,111.30M,,,,,96.40M,28.00M,68.40M,2.40M,,70.80M,68.40M,154.90M,43.60M,111.30M,0.69,0.02,,0.69,0.71,0.68,0.02,,0.68,0.71,99.30M,100.00M,0.36
2002-12,1.092B,1.092B,751.70M,340.30M,,233.70M,,-16.90M,,,233.70M,106.60M,,,-16.90M,,75.90M,22.30M,53.60M,1.90M,,55.50M,65.53M,149.70M,43.10M,106.60M,0.61,-0.05,,0.7304,0.56,0.61,-0.05,,0.7293,0.56,99.10M,100.00M,0.36
2002-09,1.102B,1.102B,753.10M,348.60M,,237.50M,,-15.20M,,,237.50M,111.10M,,,-15.20M,,84.00M,22.90M,61.10M,2.00M,,63.10M,72.16M,148.50M,37.40M,111.10M,0.62,0.02,,0.7322,0.64,0.62,0.02,,0.7313,0.64,98.50M,99.30M,0.33
2002-06,1.056B,1.056B,709.80M,346.50M,,231.40M,,,,,231.40M,115.10M,,,,,105.50M,31.70M,73.80M,,,73.80M,73.80M,151.10M,36.00M,115.10M,0.75,0.0,,0.75,0.75,0.74,0.0,,0.74,0.74,98.30M,99.40M,0.33
2002-03,930.80M,930.80M,621.90M,308.90M,,205.70M,,,,,205.70M,103.20M,,,,,93.90M,29.10M,64.80M,,,64.80M,64.80M,139.50M,36.30M,103.20M,0.66,0.0,,0.66,0.66,0.66,0.0,,0.66,0.66,98.00M,98.90M,0.33
2001-12,864.80M,864.80M,585.40M,279.40M,,196.10M,,,,,196.10M,83.30M,,,,,72.60M,21.60M,51.00M,,0.00,58.10M,51.00M,122.30M,39.00M,83.30M,0.53,0.07,0.0,0.53,0.6,0.52,0.07,0.0,0.52,0.59,97.80M,98.60M,0.33
2001-09,966.70M,966.70M,653.90M,312.80M,,209.60M,,,,,209.60M,103.20M,,,,,90.80M,29.10M,61.70M,,,61.70M,61.70M,141.90M,38.70M,103.20M,0.63,0.0,,0.63,0.63,0.63,0.0,,0.63,0.63,97.90M,98.60M,0.3
