,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2002-12,55.50M,,,,10.90M,34.00M,9.10M,43.10M,43.10M,17.40M,,,,,11.90M,81.80M,208.70M,-81.20M,1.00M,-80.20M,,-176.50M,,-12.20M,-268.90M,,,91.90M,1.80M,-5.40M,-3.60M,,-39.80M,,5.60M,54.10M,28.90M,-6.10M,0.00,22.80M,,1.80M,,,-5.40M
2002-09,63.10M,,,,9.80M,30.30M,7.10M,37.40M,37.40M,1.70M,,,,,34.30M,34.30M,146.30M,-32.20M,9.70M,-22.50M,,-2.80M,,-13.10M,-38.40M,,,-77.70M,-0.20M,-1.70M,-1.90M,,-36.20M,,11.90M,-103.90M,25.90M,4.00M,-1.00M,28.90M,,-0.20M,,,-1.70M
2002-06,73.80M,,,,,31.80M,4.20M,36.00M,36.00M,2.70M,,,,,25.70M,25.70M,138.20M,-20.90M,,-20.90M,,-211.70M,,-2.50M,-235.10M,,,133.90M,12.10M,-1.30M,10.80M,,-36.20M,,-2.50M,106.00M,16.00M,9.10M,0.80M,25.90M,,12.10M,,,-1.30M
2002-03,64.80M,,,,,31.00M,5.30M,36.30M,36.30M,0.40M,,,,,-71.90M,-71.90M,29.60M,-17.50M,,-17.50M,,-6.40M,,-9.10M,-33.00M,,,28.70M,8.40M,-2.00M,6.40M,,-36.30M,,2.00M,0.80M,19.10M,-2.60M,-0.50M,16.00M,,8.40M,,,-2.00M
2001-12,58.10M,,,,,31.00M,8.00M,39.00M,39.00M,1.10M,,,,,59.60M,33.20M,131.10M,-38.80M,,-5.10M,,-11.00M,,-46.50M,-62.60M,,,-38.50M,2.80M,-0.10M,2.70M,,-36.30M,,5.60M,-66.50M,17.50M,2.00M,-0.40M,19.10M,,2.80M,,,-0.10M
2001-09,61.70M,,,,,30.90M,7.80M,38.70M,38.70M,3.20M,,,,,38.00M,38.00M,141.60M,-31.90M,,-31.90M,,-2.30M,,-18.30M,-52.50M,,,-43.60M,0.90M,-9.60M,-8.70M,,-33.00M,,3.10M,-82.20M,10.30M,6.90M,0.30M,17.50M,,0.90M,,,-9.60M
2001-06,59.80M,,,,,30.90M,8.20M,39.10M,39.10M,-5.40M,,,,,-39.00M,-39.00M,54.50M,-28.90M,,-28.90M,,7.50M,,-14.20M,-35.60M,,,-0.40M,9.10M,-8.10M,1.00M,,-33.00M,,3.20M,-29.20M,20.50M,-10.30M,0.10M,10.30M,,9.10M,,,-8.10M
2001-03,63.60M,,,,,31.30M,7.90M,39.20M,39.20M,4.10M,,,,,-58.60M,-58.60M,48.30M,-35.80M,,-35.80M,,-58.10M,,-23.70M,-117.60M,,,103.80M,4.60M,-0.10M,4.50M,,-33.10M,,3.60M,78.80M,11.40M,9.50M,-0.40M,20.50M,,4.60M,,,-0.10M
2000-12,67.50M,,,,,,,39.30M,39.30M,4.40M,,,,,48.40M,6.10M,117.30M,-78.10M,,-67.50M,,-0.10M,,-16.50M,-84.10M,,,10.70M,4.10M,-13.60M,-9.50M,,-33.10M,,2.60M,-29.30M,7.70M,3.90M,-0.20M,11.40M,,4.10M,,,-13.60M
2000-09,73.00M,,,,,,,39.00M,39.00M,3.70M,,,,,6.50M,6.50M,122.20M,-42.90M,,-42.90M,,1.70M,,-22.40M,-63.60M,,,35.70M,2.60M,-68.10M,-65.50M,,-30.00M,,2.90M,-56.90M,6.40M,1.70M,-0.40M,7.70M,,2.60M,,,-68.10M
2000-06,72.80M,,,,,,,39.20M,39.20M,3.90M,,,,,-2.90M,-2.90M,113.00M,-44.50M,,-44.50M,,-3.80M,,-9.70M,-58.00M,,,-12.70M,6.20M,-23.60M,-17.40M,,-30.20M,,2.10M,-58.20M,9.80M,-3.20M,-0.20M,6.40M,,6.20M,,,-23.60M
2000-03,70.20M,,,,,,,39.40M,39.40M,-0.20M,,,,,-52.00M,-52.00M,57.40M,-32.80M,,-32.80M,,-73.10M,,-3.90M,-109.80M,,,111.80M,6.80M,-29.10M,-22.30M,,-30.40M,,-3.70M,55.40M,6.90M,3.00M,-0.10M,9.80M,,6.80M,,,-29.10M
1999-12,67.30M,,,,0.00,,,40.10M,40.10M,-5.90M,,,34.40M,,,11.40M,147.30M,89.50M,,99.60M,,-185.90M,,-26.70M,-113.00M,,,7.90M,2.70M,-16.50M,-13.80M,,-30.00M,,2.90M,-33.00M,5.80M,1.30M,-0.20M,6.90M,,2.70M,,,-16.50M
1999-09,66.00M,,,,0.00,,,37.90M,37.90M,3.80M,,,-34.40M,,23.60M,23.60M,96.90M,-208.60M,,-208.60M,,32.50M,,3.30M,-172.80M,,,139.70M,2.30M,-39.80M,-37.50M,,-27.30M,,0.40M,75.30M,6.30M,-0.60M,0.10M,5.80M,,2.30M,,,-39.80M
1999-06,63.70M,,,,0.00,,,35.90M,35.90M,9.00M,,,29.80M,,-23.60M,-23.60M,114.80M,0.40M,,0.40M,,-32.50M,,8.10M,-24.00M,,,-53.30M,4.00M,-9.20M,-5.20M,,-27.40M,,-9.30M,-95.20M,10.50M,-4.40M,0.20M,6.30M,,4.00M,,,-9.20M
1999-03,18.40M,,,,65.00M,,,36.50M,36.50M,-22.20M,,,-29.80M,,,,67.90M,-59.00M,,-59.00M,,,,-6.80M,-65.80M,,,57.00M,7.90M,-56.40M,-48.50M,,-27.30M,,9.30M,-9.50M,18.50M,-7.40M,-0.60M,10.50M,,7.90M,,,-56.40M
1998-12,55.90M,,,,,,,33.90M,33.90M,12.30M,,,30.90M,,,,191.50M,-88.50M,,-88.50M,,,,-12.30M,-100.80M,,,24.40M,2.30M,-75.90M,-73.60M,,-27.80M,,-0.50M,-77.50M,4.90M,13.20M,0.40M,18.50M,,2.30M,,,-75.90M
1998-09,55.80M,,,,,,,32.00M,32.00M,2.80M,,,-7.40M,,,,83.20M,-24.60M,,-24.60M,,,,-8.60M,-33.20M,,,-2.20M,3.20M,-24.90M,-21.70M,,-24.50M,,-0.50M,-48.90M,0.00,1.10M,0.10M,4.90M,,3.20M,,,-24.90M
1998-06,57.40M,,,,,,,31.30M,31.30M,-0.60M,,,11.70M,,,,99.80M,-40.70M,,-40.70M,,,,-4.60M,-45.30M,,,-1.40M,4.70M,-33.80M,-29.10M,,-24.70M,,0.80M,-54.40M,0.00,0.10M,,0.00,,4.70M,,,-33.80M
