,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,,AsOriginallyReported,Restated
2015-12,251.65M,251.65M,36.99M,214.66M,71.96M,41.39M,4.357M,,,0.704M,1.075M,,117.71M,96.94M,0.704M,,1.075M,-0.218M,1.075M,97.80M,29.78M,68.02M,68.02M,68.02M,113.23M,18.89M,94.34M,,0.77,,,0.77,0.77,,0.75,,,0.75,0.75,,88.62M,90.55M,,AOR,Restated
2015-09,237.84M,237.84M,36.58M,201.26M,61.37M,44.78M,4.925M,,0.095M,0.674M,0.579M,,111.08M,90.18M,0.674M,0.095M,0.579M,-0.383M,0.579M,90.38M,24.35M,66.03M,66.03M,66.03M,110.12M,19.65M,90.47M,,0.74,,,0.74,0.74,,0.72,,,0.72,0.72,,89.69M,91.59M,,AOR,Restated
2015-06,235.48M,235.48M,37.78M,197.70M,63.52M,42.65M,5.035M,,0.122M,0.795M,0.673M,,111.20M,86.50M,0.795M,0.122M,0.673M,0.091M,0.673M,87.26M,24.92M,62.34M,62.34M,62.40M,107.09M,19.71M,87.38M,,0.69,,,0.6908,0.69,,0.68,,,0.6807,0.68,,89.87M,91.73M,,AOR,Restated
2015-03,217.78M,217.78M,35.89M,181.89M,56.75M,40.01M,5.077M,,0.154M,0.656M,0.502M,,101.84M,80.06M,0.656M,0.154M,0.502M,0.767M,0.502M,81.33M,25.20M,56.13M,56.13M,55.61M,100.91M,19.43M,81.48M,,0.62,,,0.6142,0.62,,0.61,,,0.6043,0.61,,90.06M,92.14M,,AOR,Restated
2014-12,254.38M,254.38M,39.77M,214.61M,72.37M,42.17M,6.014M,,0.201M,0.796M,0.595M,,120.56M,94.05M,0.796M,0.201M,0.595M,-0.762M,0.595M,93.88M,24.25M,69.63M,69.63M,69.63M,114.78M,20.70M,94.08M,,0.76,,,0.76,0.76,,0.74,,,0.74,0.74,,91.60M,93.58M,,AOR,Restated
2014-09,234.00M,234.00M,37.19M,196.81M,58.17M,41.03M,6.793M,,0.149M,0.655M,0.506M,,106.00M,90.81M,0.655M,0.149M,0.506M,-0.395M,0.506M,90.92M,25.44M,65.48M,65.48M,65.83M,112.42M,21.35M,91.07M,,0.71,,,0.7138,0.71,,0.70,,,0.7037,0.70,,91.88M,93.90M,,AOR,Restated
2014-06,232.38M,232.38M,38.68M,193.70M,62.28M,42.10M,5.787M,,0.181M,0.71M,0.529M,,110.16M,83.53M,0.71M,0.181M,0.529M,-0.179M,0.529M,83.88M,20.85M,63.04M,63.04M,63.20M,104.48M,20.41M,84.06M,,0.68,,,0.6817,0.68,,0.67,,,0.6717,0.67,,92.31M,94.34M,,AOR,Restated
2014-03,215.27M,215.27M,37.74M,177.53M,53.55M,40.12M,4.794M,,0.248M,0.841M,0.593M,,98.46M,79.06M,0.841M,0.248M,0.593M,-0.198M,0.593M,79.46M,22.92M,56.54M,56.54M,56.67M,99.16M,19.46M,79.70M,,0.61,,,0.6113,0.61,,0.60,,,0.6013,0.60,,92.48M,94.95M,,AOR,Restated
2013-12,236.02M,236.02M,38.61M,197.41M,62.29M,37.88M,4.992M,,0.202M,0.71M,0.508M,,105.16M,92.25M,0.71M,0.202M,0.508M,-0.195M,0.508M,92.56M,16.64M,75.93M,75.93M,75.93M,112.20M,19.44M,92.77M,,0.82,,,0.82,0.82,,0.80,,,0.80,0.80,,92.45M,95.08M,,AOR,Restated
2013-09,212.66M,212.66M,35.17M,177.49M,51.34M,38.88M,5.625M,,0.226M,0.656M,0.43M,,95.85M,81.64M,0.656M,0.226M,0.43M,-0.357M,0.43M,81.71M,19.28M,62.43M,62.43M,62.72M,101.81M,19.88M,81.94M,,0.67,,,0.6731,0.67,,0.66,,,0.6630,0.66,,92.54M,95.26M,,AOR,Restated
2013-06,214.85M,214.85M,36.68M,178.17M,55.26M,38.67M,5.813M,,0.37M,0.743M,0.373M,,99.74M,78.42M,0.743M,0.37M,0.373M,-0.173M,0.373M,78.62M,22.68M,55.94M,55.94M,56.08M,99.70M,20.70M,79.00M,,0.60,,,0.6014,0.60,,0.59,,,0.5914,0.59,,92.86M,95.04M,,AOR,Restated
2013-03,197.73M,197.73M,36.23M,161.50M,50.01M,36.01M,5.929M,,0.371M,0.732M,0.361M,,91.95M,69.55M,0.732M,0.371M,0.361M,-0.321M,0.361M,69.59M,18.57M,51.02M,51.02M,51.26M,90.64M,20.68M,69.96M,,0.55,,,0.5525,0.55,,0.54,,,0.5425,0.54,,92.91M,95.17M,,AOR,Restated
2012-12,220.75M,220.75M,36.68M,184.07M,61.75M,34.21M,6.468M,,0.488M,0.798M,0.31M,,102.43M,81.64M,0.798M,0.488M,0.31M,-0.395M,0.31M,81.55M,25.49M,56.06M,56.06M,56.06M,103.80M,21.75M,82.04M,,0.61,,,0.61,0.61,,0.59,,,0.59,0.59,,92.60M,94.94M,,AOR,Restated
2012-09,196.91M,196.91M,33.76M,163.15M,49.20M,33.51M,6.80M,,0.632M,0.774M,0.142M,,89.50M,73.65M,0.774M,0.632M,0.142M,-0.355M,0.142M,73.44M,21.82M,51.62M,51.62M,51.62M,95.82M,21.75M,74.07M,,0.56,,,0.56,0.56,,0.54,,,0.54,0.54,,92.45M,94.76M,,AOR,Restated
2012-06,195.02M,195.02M,34.74M,160.28M,48.98M,33.42M,6.75M,,0.723M,0.887M,0.164M,,89.14M,71.13M,0.887M,0.723M,0.164M,-0.039M,0.164M,71.26M,21.00M,50.26M,50.26M,50.26M,93.19M,21.20M,71.98M,,0.54,,,0.54,0.54,,0.53,,,0.53,0.53,,92.63M,94.93M,,AOR,Restated
2012-03,185.34M,185.34M,34.34M,151.00M,45.25M,31.50M,6.425M,,0.818M,0.901M,0.083M,,83.18M,67.83M,0.901M,0.818M,0.083M,-0.616M,0.083M,67.30M,21.76M,45.54M,45.54M,45.54M,88.82M,20.71M,68.11M,,0.49,,,0.49,0.49,,0.48,,,0.48,0.48,,92.82M,95.19M,,AOR,Restated
2011-12,198.21M,198.21M,33.34M,164.87M,56.57M,29.75M,5.402M,,1.002M,0.804M,-0.198M,,91.72M,73.14M,0.804M,1.002M,-0.198M,0.175M,-0.198M,73.12M,25.66M,47.46M,47.46M,47.46M,93.16M,19.04M,74.12M,,0.51,,,0.51,0.51,,0.50,,,0.50,0.50,,92.50M,94.72M,,AOR,Restated
2011-09,172.94M,172.94M,31.03M,141.91M,43.18M,28.90M,4.50M,0.078M,0.753M,0.789M,0.036M,,76.58M,65.33M,0.789M,0.753M,0.036M,0.078M,0.036M,65.44M,19.90M,45.55M,45.55M,45.49M,83.29M,17.09M,66.20M,,0.49,0.00,,0.4894,0.49,,0.48,0.00,,0.4794,0.48,,92.28M,94.44M,,AOR,Restated
2011-06,162.26M,162.26M,28.06M,134.20M,40.13M,25.18M,4.07M,-0.108M,0.774M,0.712M,-0.062M,,69.38M,64.81M,0.712M,0.774M,-0.062M,-0.108M,-0.062M,64.64M,19.21M,45.43M,45.43M,45.51M,80.41M,14.99M,65.42M,,0.49,0.00,,0.4908,0.49,,0.48,0.00,,0.4808,0.48,,91.94M,94.19M,,AOR,Restated
2011-03,158.05M,158.05M,26.58M,131.46M,40.48M,24.70M,4.017M,-0.514M,0.803M,0.695M,-0.108M,,69.19M,62.27M,0.695M,0.803M,-0.108M,-0.514M,-0.108M,61.65M,19.41M,42.24M,42.24M,42.59M,77.29M,14.83M,62.46M,,0.46,0.00,,0.4638,0.46,,0.45,0.00,,0.4537,0.45,,91.77M,94.17M,,AOR,Restated
2010-12,166.57M,166.57M,26.81M,139.77M,46.94M,23.32M,4.129M,,0.792M,0.63M,-0.162M,,74.38M,65.38M,0.63M,0.792M,-0.162M,0.645M,-0.162M,65.87M,16.73M,49.14M,49.14M,49.14M,82.07M,15.41M,66.66M,,0.54,,,0.54,0.54,,0.52,,,0.52,0.52,,91.28M,93.70M,,AOR,Restated
2010-09,139.84M,139.84M,25.28M,114.56M,36.95M,21.70M,4.037M,-0.574M,0.902M,0.491M,-0.411M,,62.69M,51.88M,0.491M,0.902M,-0.411M,-0.574M,-0.411M,50.89M,14.76M,36.13M,36.13M,36.54M,66.95M,15.15M,51.79M,,0.40,0.00,,0.4045,0.40,,0.39,0.00,,0.3944,0.39,,90.88M,93.21M,,AOR,Restated
2010-06,137.77M,137.77M,24.14M,113.63M,35.98M,21.39M,3.875M,0.139M,1.245M,0.422M,-0.823M,,61.24M,52.38M,0.422M,1.245M,-0.823M,0.139M,-0.823M,51.70M,16.21M,35.49M,35.49M,35.40M,67.99M,15.05M,52.94M,,0.39,0.00,,0.3889,0.39,,0.38,0.00,,0.3790,0.38,,90.61M,93.15M,,AOR,Restated
2010-03,136.05M,136.05M,24.65M,111.40M,35.23M,22.59M,3.962M,-0.507M,1.549M,0.368M,-1.181M,,61.78M,49.62M,0.368M,1.549M,-1.181M,-0.507M,-1.181M,47.94M,15.57M,32.37M,32.37M,32.71M,64.70M,15.22M,49.48M,,0.36,0.00,,0.3638,0.36,,0.35,0.00,,0.3537,0.35,,89.96M,92.77M,,AOR,Restated
2009-12,150.36M,150.36M,25.66M,124.70M,39.15M,20.46M,4.192M,-0.584M,1.87M,0.386M,-1.484M,,63.80M,60.90M,0.386M,1.87M,-1.484M,-0.584M,-1.484M,58.84M,21.21M,37.63M,37.63M,38.00M,76.94M,16.24M,60.71M,,0.43,0.00,,0.4342,0.43,,0.41,0.00,,0.4140,0.41,,89.07M,92.28M,,AOR,Restated
2009-09,128.19M,128.19M,23.89M,104.30M,31.72M,19.46M,4.115M,-1.316M,2.313M,0.425M,-1.888M,,55.30M,49.00M,0.425M,2.313M,-1.888M,-1.316M,-1.888M,45.80M,15.27M,30.53M,30.53M,31.41M,64.28M,16.17M,48.11M,,0.35,0.00,,0.3599,0.35,,0.33,0.00,,0.3396,0.33,,88.28M,91.64M,,AOR,Restated
2009-06,122.03M,122.03M,24.06M,97.97M,32.57M,19.91M,4.021M,-1.625M,2.941M,0.36M,-2.581M,,56.50M,41.47M,0.36M,2.941M,-2.581M,-1.625M,-2.581M,37.26M,10.12M,27.14M,27.14M,28.32M,56.17M,15.97M,40.20M,,0.31,0.00,,0.3235,0.31,,0.30,0.00,,0.3130,0.30,,87.73M,91.05M,,AOR,Restated
2009-03,116.31M,116.31M,23.63M,92.68M,33.82M,20.03M,3.998M,-0.488M,3.277M,0.569M,-2.708M,,57.85M,34.83M,0.569M,3.277M,-2.708M,-0.488M,-2.708M,31.63M,10.54M,21.10M,21.10M,21.42M,50.72M,15.82M,34.91M,,0.24,0.00,,0.2437,0.24,,0.23,0.00,,0.2335,0.23,,88.87M,92.18M,,AOR,Restated
2008-12,135.30M,135.30M,25.39M,109.91M,41.95M,18.83M,3.351M,0.446M,,,,,64.13M,45.78M,,,,0.446M,,43.33M,11.42M,31.91M,31.91M,31.58M,68.03M,15.95M,52.08M,,0.36,0.00,,0.3563,0.36,,0.35,0.00,,0.3465,0.35,,89.41M,93.23M,,,Restated
2008-09,122.25M,122.25M,24.59M,97.66M,36.07M,20.28M,3.011M,-0.273M,,,,,59.36M,38.30M,,,,-0.273M,,36.57M,10.80M,25.78M,25.78M,25.97M,52.89M,14.59M,38.30M,,0.30,0.00,,0.3022,0.30,,0.29,0.00,,0.2921,0.29,,85.69M,90.12M,,,
2008-06,111.25M,111.25M,20.53M,90.72M,28.15M,16.53M,2.181M,-0.378M,,,,,46.86M,43.85M,,,,-0.378M,,43.45M,15.32M,28.13M,28.13M,28.37M,53.74M,9.881M,43.85M,,0.36,0.00,,0.3631,0.36,,0.34,0.00,,0.3430,0.34,,78.50M,82.08M,,,
2008-03,109.54M,109.54M,20.91M,88.64M,28.71M,15.96M,2.17M,0.932M,,,,,46.84M,41.80M,,,,0.932M,,43.34M,17.49M,25.85M,25.85M,25.29M,51.47M,9.672M,41.80M,,0.33,0.00,,0.3229,0.33,,0.32,0.00,,0.3132,0.32,,78.30M,81.64M,,,
2007-12,111.24M,111.24M,20.84M,90.39M,34.53M,15.64M,2.288M,0.135M,,,,,52.45M,37.94M,,,,0.135M,,38.47M,9.183M,29.29M,29.29M,29.19M,47.95M,10.01M,37.94M,,0.38,0.00,,0.3787,0.38,,0.36,0.00,,0.3587,0.36,,78.21M,81.73M,,,
2007-09,94.03M,94.03M,19.39M,74.64M,26.60M,14.20M,2.239M,-0.337M,,,,,43.03M,31.61M,,,,-0.337M,,30.95M,12.25M,18.70M,18.70M,18.90M,41.18M,9.57M,31.61M,,0.24,0.00,,0.2426,0.24,,0.23,0.00,,0.2325,0.23,,77.98M,81.20M,,,
2007-06,92.21M,92.21M,18.93M,73.28M,27.10M,13.58M,2.213M,-0.482M,,,,,42.88M,30.40M,,,,-0.482M,,29.06M,10.80M,18.26M,18.26M,18.56M,40.29M,9.891M,30.40M,,0.24,0.00,,0.2439,0.24,,0.23,0.00,,0.2337,0.23,,77.61M,80.89M,,,
2007-03,87.86M,87.86M,18.88M,68.98M,26.89M,13.07M,2.195M,0.084M,,,,,42.16M,26.82M,,,,0.084M,,25.78M,9.633M,16.15M,16.15M,16.10M,36.30M,9.478M,26.82M,,0.21,0.00,,0.2093,0.21,,0.20,0.00,,0.1993,0.20,,77.37M,80.73M,,,
2006-12,85.25M,85.25M,19.09M,66.16M,28.71M,15.13M,2.332M,-0.417M,,,,,46.17M,19.99M,,,,-0.417M,,18.02M,5.757M,12.26M,12.26M,12.55M,29.51M,9.523M,19.99M,,0.165,0.00,,0.1687,0.165,,0.165,0.00,,0.1685,0.165,,77.08M,80.43M,,,
2006-09,70.12M,70.12M,17.32M,52.80M,24.33M,13.30M,2.314M,0.412M,,,,,39.94M,12.86M,,,,0.412M,,11.21M,2.84M,8.372M,8.372M,8.064M,22.14M,9.282M,12.86M,,0.11,0.00,,0.1060,0.11,,0.105,0.00,,0.1012,0.105,,76.80M,80.58M,,,
2006-06,62.26M,62.26M,13.45M,48.81M,22.02M,11.62M,1.576M,-28.36M,,,,,35.22M,13.59M,,,,-28.36M,,-15.69M,3.704M,-19.39M,-19.39M,-2.375M,20.38M,6.786M,13.59M,,-0.265,0.00,,-0.0306,-0.265,,-0.265,0.00,,-0.0306,-0.265,,72.61M,72.61M,,,
2006-03,46.01M,46.01M,5.96M,40.05M,11.84M,9.357M,1.036M,1.698M,,,,-0.908M,21.32M,18.73M,,,,1.698M,,19.52M,6.604M,12.91M,12.91M,11.79M,20.60M,1.872M,18.73M,,0.20,0.00,,0.1825,0.20,,0.19,0.00,,0.1736,0.19,,64.24M,68.33M,,,
2005-12,43.72M,43.72M,8.816M,34.90M,11.43M,8.202M,-2.49M,-2.823M,,,,,98.35M,-63.44M,,,,-2.823M,,19.23M,5.962M,13.27M,13.27M,15.22M,-61.49M,1.948M,-63.44M,,0.205,0.00,,0.2352,0.205,,0.195,0.00,,0.2238,0.195,,64.49M,67.53M,,,
2005-09,39.04M,39.04M,5.156M,33.88M,10.71M,7.667M,1.175M,1.141M,,,,-0.877M,18.67M,15.21M,,,,1.141M,,15.47M,4.296M,11.17M,11.17M,10.35M,17.23M,2.027M,15.21M,,0.175,0.00,,0.1621,0.175,,0.165,0.00,,0.1529,0.165,,63.70M,67.84M,,,
2005-06,37.66M,37.66M,4.956M,32.70M,10.60M,7.506M,1.266M,1.046M,,,,-0.881M,18.49M,14.21M,,,,1.046M,,14.37M,4.599M,9.775M,9.775M,9.064M,16.32M,2.111M,14.21M,,0.155,0.00,,0.1438,0.155,,0.145,0.00,,0.1345,0.145,,63.33M,67.56M,,,
2005-03,37.62M,37.62M,5.111M,32.51M,10.55M,7.313M,1.233M,0.613M,,,,-0.907M,18.18M,14.33M,,,,0.613M,,14.03M,4.351M,9.683M,9.683M,9.260M,16.35M,2.021M,14.33M,,0.155,0.00,,0.1483,0.155,,0.145,0.00,,0.1387,0.145,,62.98M,67.53M,,,
2004-12,38.89M,38.89M,4.95M,33.94M,11.17M,6.84M,1.055M,1.132M,,,,19.24M,38.30M,-4.368M,,,,1.132M,,16.00M,3.75M,12.25M,12.25M,11.38M,-2.401M,1.967M,-4.368M,,0.20,0.00,,0.1862,0.20,,0.185,0.00,,0.1720,0.185,,62.63M,66.45M,,,
2004-09,32.32M,32.32M,4.683M,27.64M,9.52M,6.611M,1.043M,0.415M,,,,-0.758M,16.42M,11.22M,,,,0.415M,,10.88M,3.277M,7.599M,7.599M,7.309M,13.09M,1.873M,11.22M,,0.12,0.00,,0.1153,0.12,,0.115,0.00,,0.1106,0.115,,62.15M,66.46M,,,
2004-06,32.00M,32.00M,4.224M,27.78M,9.578M,6.483M,1.039M,0.146M,,,,-0.754M,16.35M,11.43M,,,,0.146M,,10.82M,3.247M,7.577M,7.577M,7.475M,13.31M,1.882M,11.43M,,0.1225,0.00,,0.1208,0.1225,,0.115,0.00,,0.1134,0.115,,61.60M,65.93M,,,
2004-03,31.33M,31.33M,5.175M,26.16M,9.553M,6.347M,0.287M,0.23M,,,,,16.19M,9.97M,,,,0.23M,,10.20M,3.06M,7.14M,7.14M,6.979M,11.84M,1.866M,9.97M,,0.1175,0.00,,0.1149,0.1175,,0.1075,0.00,,0.1051,0.1075,,61.26M,65.84M,,,
2003-12,33.25M,33.25M,4.822M,28.43M,10.81M,6.183M,1.007M,-0.141M,,,,-0.726M,17.28M,11.15M,,,,-0.141M,,10.29M,3.086M,7.201M,7.201M,7.300M,13.01M,1.859M,11.15M,,0.12,0.00,,0.1216,0.12,,0.11,0.00,,0.1115,0.11,,60.96M,65.36M,,,
2003-09,28.04M,28.04M,4.425M,23.61M,8.668M,5.879M,1.147M,-0.808M,,,,-0.871M,14.82M,8.79M,,,,-0.808M,,7.111M,1.75M,5.361M,5.361M,5.970M,10.69M,1.902M,8.79M,,0.09,0.00,,0.1001,0.09,,0.085,0.00,,0.0944,0.085,,60.42M,64.94M,,,
2003-06,27.64M,27.64M,5.157M,22.49M,9.228M,6.074M,1.181M,0.772M,,,,,16.48M,6.003M,,,,0.772M,,6.775M,2.303M,4.472M,4.472M,3.962M,7.961M,1.958M,6.003M,,0.075,0.00,,0.0664,0.075,,0.0725,0.00,,0.0645,0.0725,,59.44M,63.62M,,,
2003-03,24.60M,24.60M,4.073M,20.53M,8.156M,5.656M,0.748M,0.534M,,,,,14.56M,5.967M,,,,0.534M,,6.501M,2.222M,4.279M,4.279M,3.928M,7.346M,1.379M,5.967M,,0.0725,0.00,,0.0665,0.0725,,0.0675,0.00,,0.0619,0.0675,,58.51M,62.34M,,,
2002-12,25.27M,25.27M,3.079M,22.19M,7.629M,4.693M,0.565M,-0.215M,,,,,12.89M,9.301M,,,,-0.215M,,9.086M,2.817M,6.269M,6.269M,6.417M,10.42M,1.114M,9.301M,,0.1075,0.00,,0.1100,0.1075,,0.1025,0.00,,0.1049,0.1025,,58.22M,61.38M,,,
2002-09,21.74M,21.74M,3.021M,18.72M,7.212M,5.155M,0.557M,0.032M,,,,,12.92M,5.80M,,,,0.032M,,5.832M,1.75M,4.082M,4.082M,4.060M,6.902M,1.102M,5.80M,,0.07,0.00,,0.0696,0.07,,0.065,0.00,,0.0646,0.065,,58.31M,61.90M,,,
