,NetIncome,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2018-03,84.28M,,,,16.61M,16.61M,-3.245M,15.27M,,0.272M,28.67M,-41.82M,,,32.31M,19.17M,132.42M,,-2.933M,,0.00,,-4.303M,-7.236M,,,,,-117.83M,-117.83M,12.76M,-24.33M,-129.40M,,881.50M,-4.22M,8.212M,885.49M,,,,-117.83M,3.402M,,,AOR,Restated
2017-12,52.58M,,,,17.74M,17.74M,1.524M,13.75M,,-0.22M,-111.56M,50.84M,,,75.95M,15.23M,100.70M,,-4.334M,,-37.89M,,9.179M,-33.04M,,,,,-112.75M,-112.75M,4.511M,-1.037M,-109.28M,,919.57M,-41.62M,3.549M,881.50M,,,,-112.75M,31.63M,,,AOR,Restated
2017-09,73.63M,,,,16.93M,16.93M,-8.908M,14.77M,,0.215M,9.444M,11.34M,,,-28.74M,-7.956M,88.88M,,-7.313M,,-20.13M,,-8.926M,-36.37M,,,,,0.00,0.00,6.366M,-1.038M,5.328M,,858.00M,57.84M,3.735M,919.57M,,,,0.00,28.86M,,,AOR,Restated
2017-06,69.73M,,,,16.42M,16.42M,-4.60M,14.12M,,0.389M,35.95M,-11.89M,,,-8.078M,15.98M,112.18M,,-3.445M,,0.00,,-10.92M,-14.36M,,,,,-122.94M,-122.94M,11.13M,-0.557M,-112.37M,,866.19M,-14.55M,6.359M,858.00M,,,,-122.94M,53.52M,,,AOR,Restated
2017-03,63.31M,,,,16.59M,16.59M,9.291M,10.51M,,-0.363M,33.26M,-22.03M,,,14.28M,25.52M,125.89M,,-4.057M,,-5.864M,,-0.964M,-10.88M,,,,,-100.35M,-100.35M,30.50M,-8.48M,-78.33M,,822.48M,36.67M,7.035M,866.19M,,,,-100.35M,2.376M,,,AOR,Restated
2016-12,69.98M,,,,17.27M,17.27M,-7.819M,8.783M,,1.501M,-90.06M,44.92M,,,53.64M,8.491M,99.21M,,-4.224M,,-7.891M,,-0.484M,-12.60M,,,,,-93.05M,-93.05M,10.46M,-0.013M,-82.60M,,837.92M,4.014M,-19.45M,822.48M,,,,-93.05M,23.39M,-0.791M,,AOR,Restated
2016-09,69.56M,,,,17.44M,17.44M,-6.484M,8.952M,,-0.07M,4.89M,4.241M,,,-14.44M,-5.311M,84.40M,,-2.151M,,0.00,,-1.099M,-3.25M,,,,,-114.53M,-114.53M,25.93M,-0.04M,-88.64M,,843.36M,-7.491M,2.052M,837.92M,,,,-114.53M,29.19M,0.064M,,AOR,Restated
2016-06,69.63M,,,,17.44M,17.44M,-5.294M,8.534M,,0.084M,-11.53M,-5.533M,,,-2.254M,-19.32M,71.65M,,-3.373M,,0.00,,-10.26M,-13.63M,,,,,-86.08M,-86.08M,7.283M,-0.252M,-79.04M,,863.44M,-21.03M,0.949M,843.36M,,,,-86.08M,59.84M,0.292M,,AOR,Restated
2016-03,56.47M,,,,17.43M,17.43M,8.676M,7.078M,,-0.225M,39.67M,-17.66M,,,-0.847M,21.17M,110.72M,,-2.695M,,0.00,,0.004M,-2.691M,,,,,-42.68M,-42.68M,10.14M,-5.801M,-38.35M,,784.17M,69.68M,9.584M,863.44M,,,,-42.68M,6.037M,0.435M,,AOR,Restated
2015-12,68.02M,,,,18.89M,18.89M,-7.895M,8.22M,6.366M,-0.06M,-53.66M,29.64M,,,47.83M,23.81M,117.37M,,-5.38M,,-5.225M,,0.232M,-10.37M,,,,,-95.16M,-95.16M,7.06M,-6.387M,-94.49M,,776.24M,12.51M,-4.581M,784.17M,,,,-95.16M,29.35M,0.011M,,AOR,Restated
2015-09,66.03M,,,,19.65M,19.65M,-10.58M,8.87M,-0.663M,1.607M,5.288M,0.597M,,,-13.46M,-7.576M,77.80M,,-3.083M,,-30.52M,,0.109M,-33.49M,,,,,-114.03M,-114.03M,6.888M,0.609M,-106.54M,,840.35M,-62.23M,-1.885M,776.24M,,,,-114.03M,22.85M,0.00,,AOR,Restated
2015-06,62.34M,,,,19.71M,19.71M,-3.841M,9.03M,-3.121M,-0.10M,0.508M,-4.126M,,,-14.50M,-18.12M,66.41M,,-4.06M,,0.101M,,-0.044M,-4.003M,,0.005M,0.005M,,-3.089M,-3.089M,13.90M,1.799M,12.62M,,760.39M,75.03M,4.931M,840.35M,,,0.005M,-3.089M,58.29M,0.631M,,AOR,Restated
2015-03,56.13M,,,,19.43M,19.43M,7.116M,7.831M,-2.582M,-0.034M,36.24M,-27.34M,,,17.01M,25.91M,114.12M,,-3.622M,,-10.48M,,-0.067M,-14.17M,,-0.005M,-0.005M,,-125.63M,-125.63M,15.77M,-1.661M,-111.52M,,788.06M,-11.57M,-16.10M,760.39M,,,-0.005M,-125.63M,-3.273M,-0.022M,,AOR,Restated
2014-12,69.63M,,,,20.70M,20.70M,-5.161M,9.278M,-4.912M,0.848M,-69.08M,33.31M,,,37.20M,1.427M,92.27M,,-5.395M,,-0.499M,,-0.062M,-5.956M,,0.086M,0.086M,,-125.18M,-125.18M,16.60M,4.821M,-103.67M,,816.80M,-17.36M,-11.38M,788.06M,,,0.086M,-125.18M,-208.61M,-1.276M,,AOR,Restated
2014-09,65.48M,,,,21.35M,21.35M,-7.729M,9.953M,-3.774M,-0.222M,17.77M,2.969M,,,-24.95M,-4.211M,81.56M,,-8.705M,,0.00,,-0.041M,-8.746M,,-0.005M,-0.005M,,-36.52M,-36.52M,12.56M,0.688M,-23.27M,,782.92M,49.54M,-15.66M,816.80M,,,-0.005M,-36.52M,27.27M,0.203M,,AOR,Restated
2014-06,63.04M,,,,20.41M,20.41M,-6.325M,10.16M,-2.38M,0.244M,-2.222M,1.842M,,,-5.753M,-6.133M,79.83M,,-7.831M,,-84.12M,,-0.085M,-92.04M,,-0.071M,-0.071M,,-72.10M,-72.10M,5.588M,2.38M,-64.20M,,857.68M,-76.40M,1.632M,782.92M,,,-0.071M,-72.10M,53.34M,0.22M,,AOR,Restated
2014-03,56.54M,,,,19.46M,19.46M,0.356M,7.465M,-3.465M,-0.002M,47.10M,-17.81M,,,21.88M,51.17M,131.64M,,-4.092M,,-18.40M,,-0.043M,-22.53M,,-0.01M,-0.01M,,0.00,0.00,8.572M,-3.061M,5.501M,,742.49M,114.61M,0.591M,857.68M,,,-0.01M,0.00,10.00M,0.21M,,AOR,Restated
2013-12,75.93M,,,,19.44M,19.44M,-5.841M,8.556M,-1.232M,0.024M,-85.69M,33.72M,,,39.72M,-12.25M,84.96M,,-14.70M,,0.00,0.05M,,-14.76M,,0.00,0.00,,-42.68M,-42.68M,7.374M,1.232M,-34.07M,,707.33M,36.14M,-0.984M,742.49M,,,0.00,-42.68M,-169.87M,-1.471M,,AOR,Restated
2013-09,62.43M,,,,19.88M,19.88M,-10.83M,9.081M,-2.011M,0.002M,18.84M,8.051M,,,-40.47M,-13.58M,65.44M,,-5.467M,,0.00,-0.002M,,-5.469M,,-26.57M,-26.57M,,0.00,0.00,11.44M,-1.163M,-16.29M,,659.40M,43.68M,4.254M,707.33M,,,-26.57M,0.00,31.42M,0.024M,,AOR,Restated
2013-06,55.94M,,,,20.70M,20.70M,-6.473M,8.874M,-1.961M,0.008M,11.74M,10.83M,,,-12.88M,9.685M,87.15M,,-4.593M,,-4.224M,-0.018M,,-8.835M,,0.00,0.00,,-73.46M,-73.46M,3.983M,1.961M,-67.51M,,650.99M,10.80M,-2.39M,659.40M,,,0.00,-73.46M,35.83M,0.571M,,AOR,Restated
2013-03,51.02M,,,,20.68M,20.68M,-0.885M,8.787M,-4.767M,0.039M,7.974M,-24.99M,,,37.28M,20.26M,95.43M,,-4.087M,,0.00,-0.03M,,-4.117M,,-26.58M,-26.58M,,,,14.19M,0.498M,-11.88M,,576.70M,79.43M,-5.144M,650.99M,,,-26.58M,,4.911M,0.14M,,AOR,Restated
2012-12,56.06M,,,,21.75M,21.75M,-6.217M,8.485M,-5.987M,0.064M,-67.08M,25.44M,,,36.30M,-5.341M,69.59M,,-6.095M,,1.32M,-0.016M,,-4.791M,,-26.57M,-26.57M,,-33.89M,-33.89M,12.71M,5.987M,-41.76M,,554.89M,23.04M,-1.219M,576.70M,,,-26.57M,-33.89M,-182.18M,-3.705M,,AOR,Restated
2012-09,51.62M,,,,21.75M,21.75M,-6.783M,8.104M,-1.958M,-0.006M,28.12M,7.585M,,,-38.22M,-2.507M,70.36M,,-3.552M,,-46.40M,0.036M,,-49.91M,,-26.57M,-26.57M,,0.00,0.00,6.885M,-1.283M,-20.97M,,551.48M,-0.522M,3.925M,554.89M,,,-26.57M,0.00,26.95M,0.92M,,AOR,Restated
2012-06,50.26M,,,,21.20M,21.20M,-7.685M,8.024M,-2.071M,-0.002M,-15.44M,6.241M,,,14.31M,5.109M,74.87M,,-9.587M,,0.00,0.077M,,-9.51M,,-10.64M,-10.64M,,-61.59M,-61.59M,5.641M,2.071M,-64.51M,,557.85M,0.845M,-7.207M,551.48M,,,-10.64M,-61.59M,39.01M,0.363M,,AOR,Restated
2012-03,45.54M,,,,20.71M,20.71M,1.789M,7.802M,-3.872M,0.013M,-8.497M,-15.10M,,,35.21M,11.61M,83.60M,,-4.743M,,,-0.001M,,-4.744M,,-10.64M,-10.64M,,,,9.169M,3.872M,2.402M,,471.83M,81.26M,4.763M,557.85M,,,-10.64M,,13.02M,0.452M,,AOR,Restated
2011-12,,,,,19.04M,19.04M,0.014M,6.514M,-3.016M,-133.19M,-56.24M,21.40M,,,42.29M,7.449M,77.61M,,-9.539M,,0.267M,-0.039M,,-9.311M,,-10.65M,-10.65M,-2.168M,0.00,-2.168M,10.13M,3.016M,0.332M,,406.30M,68.64M,-3.105M,471.83M,,-2.168M,-10.65M,0.00,-115.24M,-3.315M,,AOR,Restated
2011-09,,,,,17.09M,17.09M,-3.896M,6.108M,-2.127M,45.58M,6.844M,8.735M,,-26.88M,14.69M,3.383M,66.28M,,-4.919M,,-269.75M,0.038M,,-274.63M,,-10.64M,-10.64M,1.23M,0.00,1.23M,2.271M,2.127M,-5.017M,,629.71M,-213.37M,-10.04M,406.30M,,1.23M,-10.64M,0.00,19.28M,0.553M,,AOR,Restated
2011-06,,,,,14.99M,14.99M,-2.177M,5.319M,-3.191M,45.54M,16.19M,9.029M,,2.937M,-9.778M,18.38M,78.91M,,-4.264M,,,-0.016M,,-4.28M,,-5.338M,-5.338M,0.00,0.00,0.00,6.385M,3.191M,4.238M,,549.93M,78.87M,0.91M,629.71M,,0.00,-5.338M,0.00,22.45M,0.415M,,AOR,Restated
2011-03,,,,,14.83M,14.83M,3.038M,5.147M,-1.712M,42.24M,8.195M,-11.27M,,23.94M,0.35M,21.22M,84.86M,,-3.341M,,,-0.077M,,-3.418M,,-5.347M,-5.347M,0.938M,-12.70M,-11.77M,6.172M,1.712M,-9.229M,,472.48M,72.21M,5.243M,549.93M,,0.938M,-5.347M,-12.70M,8.769M,0.489M,,AOR,Restated
2010-12,153.13M,,,,15.41M,15.41M,-5.99M,5.116M,-3.952M,-105.04M,-54.57M,-61.32M,,,30.20M,-85.70M,-25.26M,,-5.105M,,0.00,0.666M,,-4.439M,,-5.369M,-5.369M,-1.592M,0.00,-1.592M,11.46M,3.952M,8.452M,,494.72M,-21.25M,-0.985M,472.48M,,-1.592M,-5.369M,0.00,131.86M,2.98M,,AOR,Restated
2010-09,,,,,15.15M,15.15M,-8.756M,4.743M,-1.248M,37.16M,-20.73M,86.59M,,-26.75M,-12.97M,26.14M,72.26M,,-4.736M,,0.00,0.022M,,-4.714M,,-5.391M,-5.391M,0.964M,0.00,0.964M,1.839M,1.248M,-1.34M,,415.49M,66.21M,13.02M,494.72M,,0.964M,-5.391M,0.00,-35.67M,-1.976M,,AOR,Restated
2010-06,-32.37M,,,,15.05M,15.05M,-7.864M,4.656M,-2.947M,67.88M,13.12M,1.625M,,3.264M,-2.762M,15.24M,60.16M,,-2.549M,,,0.075M,,-2.474M,,-35.08M,-35.08M,0.00,0.00,0.00,3.744M,2.947M,-28.38M,,389.24M,29.30M,-3.049M,415.49M,,0.00,-35.08M,0.00,26.73M,0.83M,,AOR,Restated
2010-03,32.37M,,,,15.22M,15.22M,-4.031M,4.504M,-3.606M,0.018M,-10.44M,0.261M,,23.49M,1.527M,14.84M,59.73M,,-1.87M,,,6.849M,,4.979M,,-20.08M,-20.08M,0.628M,0.00,0.628M,7.477M,3.606M,-8.367M,,335.88M,56.34M,-2.981M,389.24M,,0.628M,-20.08M,0.00,8.945M,1.146M,,AOR,Restated
2009-12,37.63M,,,,16.24M,16.24M,-8.26M,3.917M,-6.691M,0.178M,-36.84M,26.84M,,8.352M,3.559M,1.911M,44.92M,,-1.892M,,,-7.609M,0.00,-9.501M,,-6.70M,-6.70M,0.00,0.00,0.00,8.594M,6.691M,8.585M,,293.34M,44.00M,-1.464M,335.88M,,0.00,-6.70M,0.00,14.96M,1.487M,,AOR,Restated
2009-09,30.53M,,,,16.17M,16.17M,-4.037M,3.175M,-4.653M,0.509M,11.36M,4.36M,,-23.80M,0.467M,-7.611M,34.08M,,-1.908M,,,2.198M,0.00,0.29M,,-6.664M,-6.664M,0.815M,0.00,0.815M,3.444M,4.653M,2.248M,,251.70M,36.62M,5.018M,293.34M,,0.815M,-6.664M,0.00,15.83M,1.944M,,AOR,Restated
2009-06,27.14M,,,,15.97M,15.97M,-6.842M,3.021M,-1.569M,0.814M,13.05M,-6.396M,,-0.173M,-1.569M,4.91M,43.44M,,-1.223M,,,-1.995M,0.00,-3.218M,,-33.41M,-33.41M,0.00,0.00,0.00,2.466M,1.569M,-29.37M,,229.27M,10.85M,11.58M,251.70M,,0.00,-33.41M,0.00,22.13M,2.605M,,AOR,Restated
2009-03,21.10M,,,,15.82M,15.82M,-9.007M,3.099M,-0.255M,0.325M,16.16M,-11.89M,,15.01M,0.892M,20.18M,51.25M,,-3.288M,,,4.998M,-0.012M,1.698M,,-7.458M,-7.458M,0.70M,-39.90M,-39.20M,0.857M,0.255M,-45.55M,,228.18M,7.398M,-6.305M,229.27M,,0.70M,-7.458M,-39.90M,5.943M,2.606M,,AOR,Restated
2008-12,31.91M,-0.047M,,,15.95M,15.95M,-5.863M,,,-4.717M,-28.03M,17.00M,,19.79M,7.967M,16.73M,61.67M,,-6.036M,10.60M,-0.101M,-2.543M,,-8.68M,,,-21.10M,-4.859M,,-14.87M,,0.628M,-27.76M,,209.53M,25.23M,-6.583M,228.18M,,-4.859M,,,,,,,Restated
2008-09,25.78M,0.019M,,,14.59M,14.59M,-3.838M,,,1.549M,6.375M,3.98M,,-7.387M,1.679M,4.647M,42.75M,,-3.621M,-3.621M,-316.86M,3.102M,,-317.38M,,,299.88M,3.377M,,3.377M,,-2.632M,300.62M,,195.40M,25.98M,-11.86M,209.53M,,3.377M,,,,,,,
2008-06,28.13M,0.124M,,,9.881M,9.881M,2.041M,,,2.141M,12.09M,-3.779M,,6.112M,-1.593M,12.83M,55.15M,,-4.552M,-4.552M,-3.165M,-6.26M,,-13.98M,,,-47.83M,1.334M,,1.334M,,1.148M,-45.35M,,200.90M,-4.18M,-1.318M,195.40M,,1.334M,,,,,,,
2008-03,25.85M,-0.096M,,,9.672M,9.672M,-5.663M,,,3.814M,-14.57M,-7.732M,,21.93M,3.931M,3.565M,37.15M,,-2.43M,-2.43M,,4.471M,,2.041M,,,-11.94M,1.868M,,1.868M,,0.317M,-9.759M,,167.22M,29.43M,4.251M,200.90M,,1.868M,,,,,,,
2007-12,29.29M,8.871M,,,10.01M,10.01M,3.226M,,,-5.28M,-10.43M,-1.337M,,5.327M,1.966M,-4.473M,41.64M,,-2.155M,-2.155M,0.00,-4.414M,,-6.569M,,,-15.36M,0.896M,-5.542M,-4.646M,,1.30M,-18.70M,,150.65M,16.37M,0.202M,167.22M,,0.896M,,-5.542M,,,,,
2007-09,18.70M,0.047M,,,9.57M,9.57M,-0.782M,,,0.838M,-10.98M,21.22M,,-13.44M,1.089M,-2.113M,26.26M,,-2.178M,-2.178M,-0.119M,-0.025M,,-2.322M,,,-22.96M,3.369M,0.00,3.369M,,3.753M,-15.84M,,137.78M,8.096M,4.771M,150.65M,,3.369M,,0.00,,,,,
2007-06,18.26M,-2.214M,,,9.891M,9.891M,-0.109M,,,5.885M,7.669M,-6.355M,,3.808M,0.196M,5.318M,37.03M,,-4.147M,-4.147M,,-0.007M,,-4.154M,,,-16.34M,1.364M,0.00,1.364M,,1.145M,-13.83M,,117.37M,19.04M,1.37M,137.78M,,1.364M,,0.00,,,,,
2007-03,16.15M,2.24M,,,9.478M,9.478M,-7.969M,,,1.112M,-10.24M,-7.471M,,18.88M,0.016M,1.19M,22.20M,,-2.379M,-2.379M,,0.006M,,-2.373M,,,-8.52M,2.327M,-2.47M,-0.143M,,1.208M,-7.455M,,104.32M,12.37M,0.685M,117.37M,,2.327M,,-2.47M,,,,,
2006-12,12.26M,34.34M,,,9.523M,9.523M,-8.399M,,,-31.68M,-18.38M,16.74M,,12.29M,,13.25M,29.31M,,-3.717M,-3.717M,-0.05M,-0.015M,,-3.782M,,,-25.20M,0.783M,,0.783M,,0.824M,-23.60M,,101.62M,1.931M,0.766M,104.32M,,0.783M,,,,,,,
2006-09,8.372M,0.097M,,,9.282M,9.282M,-3.808M,,,1.286M,6.255M,6.699M,,-5.828M,,7.126M,22.36M,,-1.953M,-1.953M,-3.371M,-0.004M,,-5.328M,,,173.05M,-192.53M,,-192.53M,,1.721M,-17.75M,,102.65M,-0.726M,-0.304M,101.62M,,-192.53M,,,,,,,
2006-06,-19.39M,-1.303M,,,6.786M,6.786M,-2.198M,,,30.77M,8.70M,-4.309M,,6.351M,,10.74M,25.40M,,-1.383M,-1.383M,-294.47M,6.043M,,-289.81M,,,-26.58M,195.81M,,195.81M,,-1.008M,168.22M,,197.16M,-96.18M,1.669M,102.65M,,195.81M,,,,,,,
2006-03,12.91M,1.283M,,,1.872M,1.872M,-0.819M,,,,-6.019M,-4.198M,,7.596M,,-2.621M,12.63M,,-0.79M,-0.79M,-6.925M,12.00M,,4.285M,,,,2.188M,,2.188M,,1.714M,3.902M,,176.17M,20.82M,0.178M,197.16M,,2.188M,,,,,,,
2005-12,13.27M,-0.349M,,,1.948M,1.948M,-1.152M,,,,-6.981M,7.318M,,3.861M,,6.46M,20.75M,,-1.289M,-1.289M,-0.212M,-8.024M,0.27M,-9.255M,,,,0.788M,0.00,0.788M,,,0.788M,,164.43M,12.28M,-0.545M,176.17M,,0.788M,,0.00,,,,,
2005-09,11.17M,0.256M,,,2.027M,2.027M,-0.15M,,,,0.432M,4.824M,-1.208M,-3.196M,,0.852M,14.16M,,-0.77M,-0.77M,0.00,0.00,-0.021M,-0.791M,,,,2.291M,-4.437M,-2.146M,,,-2.146M,,153.32M,11.22M,-0.116M,164.43M,,2.291M,,-4.437M,,,,,
2005-06,9.775M,0.194M,,,2.111M,2.111M,-0.354M,,,,2.785M,2.927M,1.208M,-1.048M,,5.872M,17.60M,,-1.232M,-1.232M,-0.016M,69.99M,-0.249M,68.49M,,,,1.227M,-3.055M,-1.828M,,,-1.828M,,69.91M,84.26M,-0.844M,153.32M,,1.227M,,-3.055M,,,,,
2005-03,9.683M,0.125M,,,2.021M,2.021M,-0.395M,,,,0.338M,-3.377M,,6.925M,,3.886M,15.32M,,-1.461M,-1.461M,-4.157M,-24.67M,,-30.28M,,,,1.725M,,1.725M,,,1.725M,,83.55M,-13.24M,-0.402M,69.91M,,1.725M,,,,,,,
2004-12,12.25M,0.172M,,,1.967M,1.967M,-0.058M,,,,-11.47M,4.588M,,4.198M,,-2.681M,11.65M,,-0.596M,-0.596M,,-44.35M,-0.02M,-44.97M,,,,1.287M,,1.287M,,,1.287M,,114.28M,-32.03M,1.298M,83.55M,,1.287M,,,,,,,
2004-09,7.599M,-0.074M,,,1.873M,1.873M,0.258M,,,,2.932M,2.892M,1.093M,-3.16M,,3.757M,13.41M,,-0.573M,-0.573M,,10.00M,-0.136M,9.291M,,,,2.121M,,2.121M,,,2.121M,,89.27M,24.82M,0.188M,114.28M,,2.121M,,,,,,,
2004-06,7.577M,0.04M,,,1.882M,1.882M,0.425M,,,,1.672M,1.728M,1.546M,-1.78M,,3.166M,13.09M,,-1.087M,-1.087M,,-15.10M,-0.127M,-16.32M,,,,1.49M,,1.49M,,,1.49M,,91.30M,-1.737M,-0.291M,89.27M,,1.49M,,,,,,,
2004-03,7.14M,0.015M,,,1.866M,1.866M,-0.079M,,,,1.496M,-0.319M,-2.639M,5.732M,,4.27M,13.21M,,-0.935M,-0.935M,,,-0.261M,-1.196M,,,,0.995M,,0.995M,,,0.995M,,78.04M,13.01M,0.246M,91.30M,,0.995M,,,,,,,
2003-12,7.201M,0.273M,,,1.859M,1.859M,-0.326M,,,,-2.411M,2.795M,-2.967M,3.652M,,1.069M,10.08M,,-1.288M,-1.288M,0.00,-0.008M,0.00,-1.296M,,,,0.799M,,0.799M,,,0.799M,,67.28M,9.579M,1.178M,78.04M,,0.799M,,,,,,,
2003-09,5.361M,0.658M,,,1.902M,1.902M,0.272M,,,,-0.021M,0.076M,1.105M,-2.252M,,-1.092M,7.101M,,-0.312M,-0.312M,0.00,10.01M,-0.196M,9.503M,,,,2.368M,,2.368M,,,2.368M,,47.85M,18.97M,0.457M,67.28M,,2.368M,,,,,,,
2003-06,4.472M,0.05M,,,1.958M,1.958M,0.111M,,,,2.842M,-1.719M,2.873M,-0.426M,,3.57M,10.16M,,-0.521M,-0.521M,-0.846M,-0.235M,-0.251M,-1.853M,,,,2.97M,,2.97M,,,2.97M,,36.85M,11.28M,-0.275M,47.85M,,2.97M,,,,,,,
2003-03,4.279M,0.152M,,,1.379M,1.379M,-0.074M,,,,1.808M,-0.558M,-1.011M,5.493M,,5.732M,11.47M,,-0.64M,-0.64M,-21.49M,-0.01M,-0.103M,-22.24M,,,,1.376M,,1.376M,,,1.376M,,46.20M,-9.398M,0.049M,36.85M,,1.376M,,,,,,,
2002-12,6.269M,0.81M,,,1.114M,1.114M,0.296M,,,,-4.301M,1.992M,-3.232M,3.178M,,-2.363M,6.126M,,-0.182M,-0.182M,-1.686M,14.91M,1.303M,14.34M,,,,0.199M,0.00,0.199M,,,0.199M,,25.43M,20.67M,0.103M,46.20M,,0.199M,,0.00,,,,,
