,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2017-03,511.20M,866.19M,0.368M,866.56M,92.33M,186.51M,288.36M,27.16M,,,1.182B,,,,,,,,,,54.51M,1.340B,164.11M,1.505B,34.49M,19.12M,1.613B,2.795B,,4.839M,6.688M,11.53M,102.49M,114.02M,,,,414.71M,414.71M,,,528.73M,,,,2.227M,2.227M,,52.30M,54.52M,583.25M,,0.932M,2.121B,853.48M,713.85M,,-50.08M,2.211B,,AOR,Restated
2016-12,488.50M,822.48M,0.381M,822.86M,107.19M,199.12M,322.03M,24.51M,,,1.169B,0.00,1.759M,25.47M,118.10M,,,11.57M,156.90M,-102.22M,54.68M,1.337B,172.62M,1.510B,42.33M,24.29M,1.631B,2.801B,,7.395M,5.263M,12.66M,123.16M,135.82M,,,,403.28M,403.28M,,,539.10M,,,,2.259M,2.259M,,50.76M,53.02M,592.12M,,0.932M,2.058B,883.01M,675.55M,,-57.65M,2.208B,,AOR,Restated
2016-09,503.11M,837.92M,0.356M,838.27M,85.27M,130.06M,239.22M,22.66M,,,1.100B,,,,,,,,,,55.63M,1.334B,184.77M,1.518B,39.01M,17.27M,1.630B,2.730B,,3.996M,3.299M,7.295M,87.16M,94.46M,,,,359.98M,359.98M,,,454.44M,,,,1.661M,1.661M,,44.49M,46.16M,500.59M,,0.932M,1.988B,884.46M,605.41M,,-37.90M,2.230B,,AOR,Restated
2016-06,488.60M,843.36M,0.41M,843.76M,85.51M,125.08M,240.99M,24.98M,,,1.110B,,,,,,,,,,58.10M,1.333B,196.93M,1.530B,32.57M,16.93M,1.638B,2.748B,,4.218M,3.124M,7.342M,84.57M,91.91M,,,,375.80M,375.80M,,,467.71M,,,,2.16M,2.16M,,41.93M,44.09M,511.80M,,0.932M,1.918B,884.68M,527.93M,,-39.94M,2.236B,,AOR,Restated
2016-03,521.03M,863.44M,0.442M,863.88M,82.50M,135.42M,228.25M,26.55M,,,1.119B,,,,,,,,,,60.15M,1.334B,209.68M,1.544B,30.23M,5.966M,1.640B,2.759B,,4.302M,16.79M,21.09M,78.59M,99.68M,,,,375.14M,375.14M,,,474.82M,,,,6.571M,6.571M,,43.53M,50.10M,524.92M,,0.932M,1.848B,882.44M,456.87M,,-41.09M,2.234B,,AOR,Restated
2015-12,427.24M,784.17M,0.446M,784.61M,91.58M,170.19M,269.64M,22.17M,,,1.076B,0.00,1.759M,25.04M,121.24M,,,12.62M,160.66M,-98.74M,61.92M,1.332B,220.55M,1.553B,32.90M,5.757M,1.653B,2.730B,,4.865M,4.695M,9.56M,109.94M,119.50M,,,,364.64M,364.64M,,,484.15M,,,,2.091M,2.091M,,49.24M,51.33M,535.48M,,0.932M,1.792B,894.47M,440.84M,,-52.16M,2.194B,,AOR,Restated
2015-09,423.13M,776.24M,0.684M,776.92M,91.47M,115.69M,217.36M,22.27M,28.71M,,1.045B,,,,,,,,,,58.59M,1.335B,233.26M,1.568B,24.28M,5.665M,1.656B,2.702B,,3.22M,3.00M,6.22M,86.01M,92.23M,,,,319.70M,319.73M,0.023M,,411.96M,,,,29.40M,29.40M,,48.62M,78.01M,489.97M,,0.932M,1.724B,891.92M,358.90M,,-46.37M,2.212B,,AOR,Restated
2015-06,431.66M,840.35M,0.816M,841.17M,87.96M,111.88M,223.15M,23.75M,22.28M,,1.110B,,,,,,,,,,60.66M,1.312B,232.85M,1.545B,23.96M,6.079M,1.636B,2.746B,,4.786M,3.875M,8.661M,84.09M,92.75M,,,,337.42M,337.56M,0.142M,,430.31M,,,,29.12M,29.12M,,45.29M,74.42M,504.72M,,0.932M,1.658B,888.54M,261.63M,,-44.51M,2.241B,,AOR,Restated
2015-03,421.02M,760.39M,0.789M,761.18M,80.95M,133.17M,223.33M,25.47M,19.30M,,1.029B,,,,,,,,,,62.50M,1.315B,244.78M,1.560B,23.14M,6.346M,1.652B,2.681B,,3.689M,14.58M,18.26M,81.92M,100.18M,,,,343.81M,343.93M,0.114M,,444.11M,,,,34.91M,34.91M,,50.81M,85.72M,529.83M,,0.932M,1.596B,891.08M,287.00M,,-49.38M,2.151B,,AOR,Restated
2014-12,506.73M,788.06M,0.714M,788.78M,101.23M,152.83M,272.34M,21.20M,,,1.082B,0.00,2.14M,24.53M,113.98M,,,10.37M,151.02M,-86.37M,64.64M,1.312B,259.31M,1.571B,28.24M,6.187M,1.671B,2.753B,,3.421M,7.127M,10.55M,121.86M,132.41M,,,,332.66M,332.66M,,,465.08M,,,,16.19M,16.19M,,54.11M,70.30M,535.38M,,0.932M,1.540B,904.82M,196.01M,,-31.75M,2.218B,,AOR,Restated
2014-09,,816.80M,0.665M,817.47M,83.25M,103.89M,211.54M,19.79M,26.23M,,1.075B,,,,,65.10M,32.01M,,97.11M,,97.11M,1.314B,277.51M,1.591B,21.57M,4.074M,1.714B,2.789B,,3.225M,6.094M,9.319M,96.82M,106.14M,,,,301.03M,301.14M,0.112M,,407.28M,,,,41.17M,41.17M,-0.083M,84.87M,126.04M,533.32M,,0.932M,1.470B,911.38M,107.85M,,-18.53M,2.256B,,AOR,Restated
2014-06,,782.92M,0.644M,783.56M,88.54M,115.14M,235.89M,20.87M,24.33M,,1.065B,,,,,62.49M,29.56M,,92.05M,,92.05M,1.317B,298.20M,1.615B,21.39M,5.703M,1.735B,2.799B,,4.551M,5.737M,10.29M,101.98M,112.27M,,0.02M,0.02M,334.37M,334.75M,0.376M,,447.04M,,0.012M,0.012M,48.51M,48.51M,-0.044M,83.87M,132.39M,579.42M,,0.932M,1.404B,916.99M,103.31M,,0.814M,2.220B,,AOR,Restated
2014-03,,857.68M,0.559M,858.24M,83.42M,132.26M,232.90M,19.65M,21.47M,,1.132B,,,,,59.63M,23.72M,,83.35M,,83.35M,1.263B,286.80M,1.550B,19.66M,8.19M,1.661B,2.793B,,5.272M,16.92M,22.19M,86.89M,109.08M,,0.033M,0.033M,332.14M,332.64M,0.496M,,441.75M,,0.069M,0.069M,58.16M,58.16M,0.593M,84.54M,142.77M,584.52M,,0.932M,1.341B,916.00M,48.46M,,-1.713M,2.208B,,AOR,Restated
2013-12,439.35M,742.49M,0.50M,742.99M,97.84M,140.05M,280.25M,18.33M,26.03M,,1.068B,0.00,2.178M,24.32M,101.59M,,18.14M,8.125M,154.35M,-75.68M,78.67M,1.256B,291.39M,1.547B,18.43M,10.59M,1.655B,2.722B,,7.939M,9.333M,17.27M,113.34M,130.61M,,,,309.78M,309.82M,0.049M,,440.43M,,,,66.90M,66.90M,,78.81M,145.70M,586.14M,,0.932M,1.285B,926.03M,72.89M,,-2.644M,2.136B,,AOR,Restated
2013-09,,707.33M,0.44M,707.77M,79.91M,148.65M,228.56M,,23.62M,,959.96M,,,,,54.95M,11.22M,,66.17M,,66.17M,1.255B,305.83M,1.561B,17.84M,13.21M,1.658B,2.618B,,3.349M,7.444M,10.79M,91.02M,101.82M,,,,285.04M,285.14M,0.099M,,386.96M,,,,71.12M,71.12M,,71.91M,143.02M,529.98M,,0.932M,1.209B,921.78M,43.13M,,-0.174M,2.088B,,AOR,Restated
2013-06,,659.40M,0.461M,659.86M,84.10M,151.05M,235.15M,,20.47M,,915.48M,,,,,50.28M,6.258M,,56.54M,,56.54M,1.254B,318.29M,1.572B,15.90M,15.85M,1.661B,2.576B,,3.384M,5.909M,9.293M,85.18M,94.48M,26.57M,,26.57M,304.54M,304.62M,0.082M,,425.67M,,,,78.96M,78.96M,,73.58M,152.54M,578.20M,,0.932M,1.146B,921.62M,65.53M,,-5.651M,1.998B,,AOR,Restated
2013-03,,650.99M,0.488M,651.48M,80.29M,183.81M,264.10M,,16.03M,,931.61M,,,,,,,,,,50.82M,1.250B,331.94M,1.582B,15.70M,19.59M,1.668B,2.600B,,3.387M,6.674M,10.06M,75.14M,85.20M,26.57M,,26.57M,306.80M,307.53M,0.727M,,419.31M,,,,83.65M,83.65M,,90.85M,174.51M,593.81M,,0.932M,1.091B,916.34M,1.62M,,-0.274M,2.006B,,AOR,Restated
2012-12,,576.70M,0.452M,577.16M,96.60M,216.27M,312.87M,,23.34M,,913.36M,0.00,2.178M,15.12M,90.90M,,0.00,7.334M,115.54M,-63.28M,52.25M,1.251B,351.17M,1.602B,14.99M,24.39M,1.694B,2.607B,,4.924M,8.182M,13.11M,103.93M,117.04M,53.15M,,53.15M,305.79M,307.20M,1.409M,,477.39M,,,,92.82M,92.82M,,96.92M,189.74M,667.13M,,0.932M,1.039B,927.37M,36.15M,,8.651M,1.940B,,AOR,Restated
2012-09,,554.89M,0.454M,555.34M,77.86M,171.24M,249.10M,,21.39M,,825.83M,,,,,,,,,,51.18M,1.253B,368.98M,1.622B,13.80M,45.81M,1.732B,2.558B,,4.054M,7.875M,11.93M,85.59M,97.52M,79.72M,,79.72M,273.64M,275.87M,2.233M,,453.11M,,,,97.17M,97.17M,,111.54M,208.71M,661.81M,,0.932M,983.43M,935.38M,37.62M,,14.37M,1.896B,,AOR,Restated
2012-06,,551.48M,0.468M,551.95M,83.94M,187.24M,271.18M,,18.03M,,841.15M,,,,,,,,,,51.66M,1.228B,348.72M,1.577B,11.68M,31.94M,1.672B,2.513B,,3.892M,7.874M,11.77M,78.82M,90.58M,79.72M,,79.72M,293.56M,293.61M,0.045M,,463.92M,26.57M,,26.57M,94.96M,94.96M,,106.92M,228.46M,692.37M,,0.932M,931.81M,934.98M,54.19M,,7.324M,1.821B,,AOR,Restated
2012-03,,557.85M,0.599M,558.44M,79.51M,175.66M,255.16M,,17.20M,,830.80M,,,,,,,,,,46.81M,1.230B,365.62M,1.595B,9.333M,34.86M,1.686B,2.517B,,5.572M,7.669M,13.24M,71.73M,84.97M,90.36M,,90.36M,281.69M,281.69M,,,457.02M,26.57M,,26.57M,105.04M,105.04M,,107.53M,239.15M,696.16M,,0.931M,881.55M,926.61M,,,11.80M,1.821B,,AOR,Restated
2011-12,,471.83M,0.576M,472.40M,84.60M,163.30M,247.90M,,19.73M,,740.03M,0.00,1.749M,10.47M,86.94M,,,7.394M,106.55M,-60.91M,45.64M,1.225B,383.42M,1.609B,7.062M,46.94M,1.708B,2.448B,,6.987M,6.213M,13.20M,91.97M,105.17M,74.42M,,74.42M,259.16M,259.16M,0.00,,438.75M,53.15M,,53.15M,101.62M,101.62M,,100.48M,255.25M,694.00M,,0.927M,836.01M,905.66M,0.00,,11.88M,1.754B,,AOR,Restated
2011-09,,406.30M,0.582M,406.88M,65.08M,134.19M,199.28M,,20.27M,,626.43M,,,,,,,,,,40.25M,1.230B,396.64M,1.627B,5.852M,48.86M,1.721B,2.348B,,4.423M,6.575M,11.00M,46.05M,57.05M,58.49M,,58.49M,225.73M,225.74M,0.014M,,371.48M,79.72M,,79.72M,109.69M,109.69M,,94.00M,283.41M,654.89M,,0.923M,788.55M,888.07M,,,15.48M,1.693B,,AOR,Restated
2011-06,,629.71M,0.548M,630.26M,68.81M,134.56M,203.37M,,20.62M,,854.25M,,,,,,,,,,38.53M,1.036B,257.39M,1.293B,2.959M,49.26M,1.384B,2.238B,,4.537M,2.568M,7.105M,66.08M,73.18M,42.54M,,42.54M,231.72M,231.73M,0.015M,,347.46M,106.30M,,106.30M,69.70M,69.70M,,74.22M,250.22M,597.68M,,0.922M,743.00M,873.04M,,,23.33M,1.640B,,AOR,Restated
2011-03,,549.93M,0.535M,550.47M,71.05M,146.45M,217.50M,,16.78M,,784.74M,,,,,,,,,,37.44M,1.035B,267.39M,1.303B,1.96M,51.48M,1.394B,2.178B,,4.321M,3.427M,7.748M,59.10M,66.85M,37.25M,,37.25M,226.43M,226.43M,0.00,,330.53M,116.93M,,116.93M,70.47M,70.47M,,83.80M,271.20M,601.73M,,0.92M,697.57M,869.14M,11.10M,,20.10M,1.577B,,AOR,Restated
2010-12,,472.48M,0.455M,472.93M,76.60M,147.40M,224.01M,,17.69M,,714.63M,0.00,1.368M,9.921M,72.47M,,,6.566M,90.33M,-53.40M,36.92M,1.035B,278.32M,1.313B,5.796M,56.12M,1.412B,2.127B,,2.241M,6.179M,8.42M,41.25M,49.67M,31.96M,,31.96M,199.80M,200.02M,0.216M,,311.37M,127.56M,,127.56M,75.03M,75.03M,,82.99M,285.58M,596.95M,,0.916M,655.33M,856.72M,,,16.96M,1.530B,,AOR,Restated
2010-09,,494.72M,1.12M,495.84M,54.04M,120.57M,170.73M,,19.83M,,686.39M,,,,,,,,,,34.72M,1.036B,289.80M,1.325B,6.425M,65.54M,1.432B,2.118B,,3.554M,85.18M,88.73M,60.67M,149.40M,26.69M,,26.69M,179.27M,179.45M,0.182M,,355.54M,138.20M,,138.20M,92.37M,92.37M,,72.23M,302.80M,658.34M,,0.909M,606.19M,836.69M,0.00,,16.34M,1.460B,,AOR,Restated
2010-06,,415.49M,1.097M,416.58M,63.52M,81.73M,145.25M,,16.90M,,578.74M,,,,,,,,,,33.56M,1.035B,295.89M,1.331B,5.366M,5.253M,1.375B,1.954B,,3.767M,11.05M,14.82M,46.57M,61.39M,21.44M,,21.44M,190.41M,190.44M,0.031M,,273.27M,148.84M,,148.84M,95.15M,95.15M,,33.74M,277.73M,551.00M,,0.908M,570.06M,828.01M,0.00,,3.568M,1.403B,,AOR,Restated
2010-03,151.54M,389.24M,1.072M,390.31M,67.39M,93.81M,161.20M,,14.57M,,566.08M,,,,,,,,,,34.08M,1.036B,308.77M,1.345B,4.056M,5.628M,1.388B,1.955B,,3.828M,15.18M,19.01M,44.39M,63.40M,25.09M,,25.09M,189.79M,189.87M,0.078M,,278.36M,180.26M,,180.26M,99.81M,99.81M,,37.07M,317.14M,595.49M,,0.904M,534.57M,816.87M,0.00,,6.698M,1.359B,,AOR,Restated
2009-12,,335.88M,7.966M,343.84M,67.08M,86.74M,153.82M,,17.83M,,515.49M,0.00,1.367M,9.83M,62.42M,,,5.592M,79.21M,-44.08M,35.13M,1.039B,322.31M,1.361B,2.576M,5.848M,1.405B,1.920B,,2.426M,12.26M,14.69M,55.90M,70.59M,26.76M,,26.76M,169.28M,169.42M,0.143M,,266.77M,198.67M,,198.67M,107.31M,107.31M,,34.80M,340.78M,607.55M,,0.897M,502.20M,801.57M,0.853M,,8.812M,1.313B,,AOR,Restated
2009-09,,293.34M,0.368M,293.71M,51.06M,66.80M,117.86M,,18.92M,,430.48M,,,,,,,,,,36.03M,1.042B,336.88M,1.379B,0.93M,6.249M,1.422B,1.853B,,1.885M,8.258M,10.14M,45.01M,55.16M,26.79M,,26.79M,162.14M,162.26M,0.113M,,244.20M,205.34M,,205.34M,113.98M,113.98M,,32.16M,351.49M,595.69M,,0.897M,464.57M,803.92M,22.12M,,9.77M,1.257B,,AOR,Restated
2009-06,,251.70M,2.484M,254.19M,50.89M,77.60M,128.48M,,16.64M,,399.31M,,,,,,,,,,36.25M,1.046B,346.56M,1.393B,0.813M,6.183M,1.436B,1.835B,,2.225M,9.978M,12.20M,43.10M,55.30M,26.64M,,26.64M,182.74M,183.00M,0.261M,,264.95M,211.91M,,211.91M,117.45M,117.45M,,32.07M,361.43M,626.38M,,0.897M,434.04M,803.28M,33.54M,,4.069M,1.209B,,AOR,Restated
2009-03,,229.27M,0.334M,229.60M,53.44M,84.20M,137.65M,,10.96M,,378.21M,,,,,,,,,,37.06M,1.045B,355.93M,1.401B,0.458M,7.653M,1.446B,1.825B,,2.493M,14.74M,17.23M,39.45M,56.68M,29.56M,,29.56M,177.78M,178.51M,0.736M,,264.75M,242.40M,,242.40M,120.19M,120.19M,,36.30M,398.89M,663.64M,,0.897M,406.90M,806.32M,43.63M,,-9.568M,1.161B,,AOR,Restated
2008-12,,228.18M,5.699M,233.88M,61.82M,95.46M,157.28M,,5.993M,,397.15M,0.00,1.377M,9.755M,55.48M,,,5.375M,71.98M,-35.17M,36.81M,1.048B,373.40M,1.421B,0.456M,8.692M,1.467B,1.865B,,3.069M,10.64M,13.71M,56.14M,69.85M,29.63M,,29.63M,166.19M,168.19M,1.999M,,267.66M,249.80M,,249.80M,127.53M,127.53M,,36.63M,413.95M,681.62M,,0.897M,385.81M,806.76M,9.079M,,-1.484M,1.183B,,,Restated
2008-09,,209.53M,2.842M,212.37M,57.84M,82.24M,140.09M,,5.877M,,358.34M,,,,,,,,62.12M,-28.50M,33.62M,1.056B,384.44M,1.441B,0.339M,8.183M,1.483B,1.841B,,2.852M,,2.852M,63.64M,66.49M,30.98M,,30.98M,147.12M,149.07M,1.953M,,246.54M,269.27M,,269.27M,136.45M,136.45M,,26.39M,432.11M,678.65M,,0.892M,353.90M,801.45M,,,6.197M,1.162B,,,
2008-06,,195.40M,6.639M,202.04M,51.72M,70.12M,121.83M,,14.00M,,337.88M,,,,,,,,60.02M,-28.50M,31.52M,454.04M,165.07M,619.12M,0.36M,7.232M,658.23M,996.11M,,2.679M,,2.679M,53.07M,55.75M,0.33M,,0.33M,153.27M,153.28M,0.01M,,209.36M,0.044M,,0.044M,56.53M,56.53M,,21.20M,77.78M,287.14M,,0.786M,328.12M,361.10M,,,18.96M,708.97M,,,
2008-03,,200.90M,0.324M,201.23M,54.98M,80.50M,135.48M,19.23M,,,355.94M,,,,,,,,58.99M,-28.50M,30.49M,454.09M,172.08M,626.17M,,6.39M,663.05M,1.019B,,4.078M,,4.078M,58.61M,62.69M,6.395M,,6.395M,148.11M,148.11M,,,217.20M,41.81M,,41.81M,59.70M,59.70M,,23.00M,124.51M,341.71M,,0.784M,299.99M,355.28M,,,21.22M,677.28M,,,
2007-12,,167.22M,4.627M,171.85M,48.28M,67.50M,115.78M,,17.54M,,305.17M,0.00,1.538M,15.24M,29.82M,10.98M,,,57.58M,-28.50M,29.08M,453.69M,177.74M,631.43M,,3.607M,664.12M,969.29M,,3.603M,,3.603M,61.75M,65.35M,7.716M,,7.716M,122.80M,122.80M,,,195.87M,52.43M,,52.43M,62.47M,62.47M,,17.31M,132.22M,328.08M,,0.783M,274.14M,355.24M,5.182M,,16.23M,641.21M,,,
2007-09,,150.65M,0.216M,150.87M,39.49M,68.58M,108.07M,,22.35M,,281.28M,,,,,,,,54.77M,-25.76M,29.01M,430.73M,184.97M,615.70M,,2.766M,647.48M,928.76M,,2.78M,,2.78M,67.36M,70.14M,9.348M,,9.348M,113.20M,113.20M,,,192.69M,66.15M,,66.15M,41.47M,41.47M,,14.92M,122.55M,315.24M,,0.783M,244.85M,353.49M,2.088M,,16.49M,613.52M,,,
