,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,TotalCurrentAssets,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,GrossLoans,AllowforLoan/LeaseLoss,NetLoanAssets,LongTermInvestments,TotalLongTermAssets,TotalAssets,AccountsPayable,TotalPayables,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,TotalDeposits,MinorityInterestOwnership,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2014-12,3.147B,7.242B,39.51B,46.75B,1.079B,,1.079B,47.83B,552.00M,2.577B,3.286B,467.00M,6.882B,-3.197B,3.685B,13.98B,,13.98B,208.94B,4.383B,204.56B,62.01B,299.61B,308.17B,254.00M,254.00M,254.00M,,,,1.134B,47.58B,,47.58B,205.55B,,253.12B,263.11B,6.00M,23.97B,27.87B,6.365B,,,,-430.00M,45.05B
2014-09,2.652B,5.864B,39.66B,45.53B,1.268B,,1.268B,47.08B,,,,,,,3.752B,13.97B,,13.97B,202.02B,4.212B,197.81B,61.85B,292.38B,300.20B,249.00M,249.00M,249.00M,,,,2.579B,39.91B,,39.91B,204.26B,,244.18B,256.18B,6.00M,23.16B,27.27B,5.863B,,,,-559.00M,44.02B
2014-06,3.598B,6.552B,41.11B,47.66B,1.473B,,1.473B,49.32B,,,,,,,3.764B,13.98B,,13.98B,199.24B,3.998B,195.24B,61.80B,289.75B,298.32B,309.00M,309.00M,309.00M,,,,2.339B,37.08B,,37.08B,205.89B,,242.97B,254.50B,6.00M,22.27B,27.21B,5.30B,,,,-371.00M,43.82B
2014-03,3.373B,6.014B,40.72B,46.74B,1.325B,,1.325B,48.23B,,,,,,,3.807B,13.97B,,13.97B,193.20B,4.098B,189.10B,60.87B,282.44B,290.50B,259.00M,259.00M,259.00M,,,,1.803B,28.57B,,28.57B,208.32B,,236.90B,247.70B,6.00M,21.26B,26.60B,4.359B,,,,-710.00M,42.80B
2013-12,2.821B,5.952B,41.80B,47.75B,1.418B,,1.418B,49.51B,569.00M,2.388B,3.506B,720.00M,7.183B,-3.344B,3.839B,13.98B,,13.98B,197.42B,4.315B,193.10B,60.93B,288.35B,296.93B,307.00M,307.00M,307.00M,,,,1.222B,39.74B,,39.74B,204.52B,,244.26B,255.30B,6.00M,20.29B,26.53B,4.32B,,,,-872.00M,41.63B
2013-09,2.855B,5.336B,43.13B,48.47B,1.304B,,1.304B,50.15B,,,,,,,3.792B,13.91B,,13.91B,191.99B,4.333B,187.66B,61.41B,282.48B,289.89B,276.00M,276.00M,276.00M,,,,1.962B,30.16B,,30.16B,206.83B,,236.99B,248.14B,6.00M,19.73B,26.43B,3.574B,,,,-839.00M,41.75B
2013-06,2.176B,4.455B,62.60B,67.06B,1.454B,,1.454B,68.71B,,,,,,,3.766B,13.90B,,13.90B,197.76B,4.407B,193.35B,62.60B,290.06B,296.54B,324.00M,324.00M,324.00M,,,,2.09B,34.46B,,34.46B,209.86B,,244.33B,255.50B,6.00M,18.80B,26.34B,3.316B,,,,-792.00M,41.04B
2013-03,1.947B,6.51B,63.97B,70.48B,1.378B,,1.378B,72.09B,,,,,,,3.736B,13.90B,,13.90B,197.74B,4.606B,193.14B,63.97B,291.02B,300.16B,310.00M,310.00M,310.00M,,,,1.165B,36.64B,,36.64B,212.41B,,249.05B,258.87B,6.00M,17.88B,26.26B,3.315B,,,,473.00M,41.30B
2012-12,3.44B,11.06B,63.98B,75.04B,1.694B,,1.694B,76.73B,580.00M,2.341B,3.152B,420.00M,6.493B,-2.906B,3.587B,13.90B,,13.90B,206.09B,5.156B,200.93B,63.99B,299.74B,312.92B,450.00M,450.00M,450.00M,,,,1.698B,48.66B,,48.66B,212.48B,,261.15B,272.42B,6.00M,16.85B,26.19B,3.287B,,,,739.00M,40.50B
2012-09,,5.715B,,5.715B,1.614B,,1.614B,7.583B,,,,,,,3.519B,13.90B,,13.90B,203.32B,5.154B,198.16B,61.46B,293.65B,301.99B,368.00M,368.00M,368.00M,,,,1.335B,37.41B,,37.41B,213.26B,,250.66B,262.32B,859.00M,16.05B,25.26B,3.287B,853.00M,,,781.00M,39.67B
2012-06,,5.649B,,5.649B,1.719B,,1.719B,7.698B,,,,,,,3.556B,13.86B,,13.86B,203.80B,4.998B,198.80B,55.29B,288.50B,296.57B,462.00M,462.00M,462.00M,,,,1.563B,34.77B,,34.77B,213.93B,,248.70B,259.38B,6.00M,14.90B,25.22B,3.286B,,,,350.00M,37.19B
2012-03,,30.35B,,30.35B,1.253B,,1.253B,31.91B,,,,,,,3.062B,13.60B,,13.60B,174.45B,4.06B,170.39B,60.81B,261.48B,294.48B,384.00M,384.00M,384.00M,,,,1.154B,32.12B,,32.12B,216.53B,,248.64B,257.53B,6.00M,14.84B,25.14B,3.286B,,,,253.00M,36.95B
2011-12,2.097B,5.496B,38.76B,44.26B,1.029B,,1.029B,45.63B,549.00M,2.018B,2.287B,373.00M,5.227B,-2.479B,2.748B,13.59B,,13.59B,136.09B,4.25B,131.84B,38.76B,198.36B,206.02B,466.00M,466.00M,466.00M,,,,1.93B,38.10B,,38.10B,128.23B,,166.32B,176.35B,5.00M,13.46B,19.27B,3.244B,,,,169.00M,29.67B
2011-09,,5.032B,,5.032B,1.059B,,1.059B,7.417B,,,,,,,2.785B,13.59B,,13.59B,130.26B,4.28B,125.98B,38.40B,191.75B,200.15B,401.00M,401.00M,401.00M,,,,1.842B,32.87B,,32.87B,128.32B,,161.19B,170.77B,5.00M,13.09B,19.23B,3.243B,,,,291.00M,29.38B
2011-06,,5.991B,,5.991B,1.133B,,1.133B,7.776B,,,,,,,2.754B,13.60B,,13.60B,129.04B,4.488B,124.56B,39.47B,190.65B,199.75B,469.00M,469.00M,469.00M,,,,3.044B,35.16B,,35.16B,126.12B,,161.28B,171.07B,5.00M,12.29B,19.19B,3.241B,,,,442.00M,28.68B
2011-03,,7.425B,,7.425B,1.137B,,1.137B,9.108B,,,,,,,2.739B,13.60B,,13.60B,124.21B,5.067B,119.14B,41.57B,187.64B,199.30B,411.00M,411.00M,411.00M,,,,2.381B,37.83B,,37.83B,125.45B,,163.27B,171.75B,5.00M,11.40B,19.14B,3.24B,,,,245.00M,27.55B
2010-12,,4.843B,,4.843B,1.188B,,1.188B,6.437B,562.00M,1.948B,2.236B,258.00M,5.004B,-2.255B,2.749B,13.59B,,13.59B,126.18B,5.628B,120.55B,41.54B,189.46B,197.50B,488.00M,488.00M,488.00M,8.65B,8.65B,8.65B,10.66B,31.63B,,31.63B,122.21B,,153.84B,170.96B,5.00M,10.41B,19.08B,3.202B,,,,248.00M,26.54B
2010-09,,4.406B,,4.406B,1.152B,,1.152B,6.094B,,,,,,,2.722B,13.59B,,13.59B,126.53B,6.175B,120.36B,39.93B,188.15B,196.93B,464.00M,464.00M,464.00M,,,,1.411B,43.39B,,43.39B,119.21B,,162.60B,170.87B,5.00M,9.73B,19.06B,3.202B,,,,469.00M,26.06B
2010-06,,4.815B,,4.815B,1.283B,,1.283B,6.482B,,,,,,,2.73B,13.59B,,13.59B,127.39B,6.799B,120.59B,39.42B,187.56B,197.49B,543.00M,543.00M,543.00M,,,,1.271B,47.29B,,47.29B,117.33B,,164.62B,172.22B,5.00M,8.969B,19.03B,3.20B,,,,467.00M,25.27B
2010-03,,7.021B,,7.021B,1.341B,,1.341B,8.839B,,,,,,,2.735B,13.59B,,13.59B,130.36B,7.752B,122.61B,38.25B,188.58B,200.71B,521.88M,521.88M,521.88M,,,,521.88M,52.67B,,52.67B,117.79B,,170.46B,176.33B,5.041M,8.418B,18.99B,3.198B,,,,158.92M,24.37B
2009-12,,8.143B,,8.143B,8.064B,,8.064B,16.75B,583.00M,1.836B,2.159B,239.00M,4.817B,-2.081B,2.736B,13.60B,,13.60B,90.89B,4.127B,86.76B,38.91B,152.40B,169.65B,509.00M,509.00M,509.00M,9.045B,9.045B,9.045B,10.69B,10.83B,,10.83B,115.81B,,126.64B,143.06B,5.00M,10.73B,18.96B,3.18B,,,,83.00M,26.59B
2009-09,,3.582B,,3.582B,7.933B,,7.933B,12.06B,,,,,,,2.773B,13.52B,,13.52B,96.92B,4.513B,92.41B,37.78B,156.44B,168.50B,582.97M,582.97M,582.97M,,,,582.97M,21.33B,,21.33B,114.50B,,135.84B,142.28B,5.021M,10.40B,18.93B,3.172B,,,,56.52M,26.22B
2009-06,,4.168B,,4.168B,6.171B,,6.171B,10.94B,,,,,,,2.825B,13.38B,,13.38B,101.39B,4.482B,96.91B,37.75B,160.97B,171.91B,659.78M,659.78M,659.78M,,,,659.78M,23.35B,,23.35B,116.72B,,140.08B,146.58B,5.019M,10.00B,18.89B,3.169B,,,,,25.33B
2009-03,,7.091B,,7.091B,5.666B,,5.666B,13.42B,,,,,,,2.791B,13.08B,,13.08B,105.82B,4.648B,101.17B,36.42B,163.97B,177.39B,656.77M,656.77M,656.77M,,,,656.77M,22.87B,,22.87B,121.12B,,143.99B,150.64B,3.120B,10.30B,17.35B,3.169B,3.116B,,,,26.74B
2008-12,,6.855B,,6.855B,7.171B,,7.171B,14.66B,424.41M,1.530B,1.981B,257.33M,4.193B,-1.880B,2.313B,11.96B,,11.96B,101.09B,4.524B,96.56B,31.00B,151.25B,165.91B,676.40M,676.40M,676.40M,8.309B,8.309B,8.309B,8.985B,14.87B,,14.87B,108.62B,,123.49B,139.30B,3.101B,10.62B,17.28B,3.166B,3.096B,,,-1.222B,26.61B
2008-09,,4.185B,,4.185B,750.72M,4.981B,5.732B,11.35B,,,,,,,2.305B,,,12.82B,98.06B,3.520B,94.54B,26.97B,143.45B,154.80B,508.09M,508.09M,508.09M,0.295M,0.295M,0.295M,1.290B,23.46B,,23.46B,98.91B,,122.37B,129.19B,4.383M,12.22B,16.75B,3.165B,,,,-201.68M,25.61B
2008-06,,2.998B,,2.998B,778.60M,5.302B,6.081B,10.61B,,,,,,,2.321B,,,12.83B,97.18B,3.311B,93.87B,25.03B,140.51B,151.11B,621.49M,621.49M,621.49M,,,,621.49M,27.81B,,27.81B,92.41B,,120.22B,126.19B,4.223M,11.99B,15.97B,3.165B,,,,126.60M,24.92B
2008-03,,2.987B,,2.987B,750.32M,5.397B,6.147B,10.98B,,,,,,,2.316B,,,12.83B,98.55B,3.273B,95.28B,22.19B,139.63B,150.61B,509.28M,509.28M,509.28M,,,,509.28M,31.51B,,31.51B,87.69B,,119.20B,125.99B,4.213M,11.68B,15.92B,3.163B,,,,183.57M,24.62B
2007-12,,3.055B,,3.055B,839.32M,4.718B,5.557B,10.38B,,,,,,,2.300B,,,12.83B,102.12B,2.963B,99.16B,19.78B,140.21B,150.59B,631.61M,631.61M,631.61M,4.345B,4.345B,4.345B,5.660B,32.27B,,32.27B,82.99B,,115.26B,126.30B,4.192M,11.27B,15.86B,3.153B,,375.26M,-60.01M,315.25M,24.29B
2007-09,,2.523B,,2.523B,793.69M,6.906B,7.700B,12.15B,,,,,,,2.268B,,,12.95B,96.86B,2.32B,94.54B,19.96B,135.01B,147.15B,552.67M,552.67M,552.67M,,,,552.67M,33.51B,,33.51B,83.34B,,116.85B,122.37B,4.183M,11.05B,15.77B,2.381B,,,,346.18M,24.79B
2007-06,,3.108B,,3.108B,768.62M,5.482B,6.250B,13.30B,,,,,,,2.261B,,,13.61B,94.35B,2.12B,92.23B,20.41B,132.64B,145.94B,543.80M,543.80M,543.80M,,,,543.80M,29.90B,,29.90B,85.68B,,115.58B,120.75B,4.174M,11.14B,15.68B,1.886B,,,,245.43M,25.19B
2007-03,,3.132B,,3.132B,720.51M,5.371B,6.092B,17.52B,,,,,,,2.259B,,,13.62B,95.61B,2.105B,93.50B,17.66B,131.18B,148.70B,540.16M,540.16M,540.16M,,,,540.16M,29.68B,,29.68B,87.66B,,117.34B,122.68B,4.146M,10.40B,15.47B,133.48M,,,,283.46M,26.02B
2006-12,,3.561B,,3.561B,816.43M,4.589B,5.406B,10.07B,,,,,,,2.203B,,,13.64B,106.95B,2.18B,104.77B,15.45B,139.67B,149.74B,574.76M,574.76M,574.76M,,,,574.76M,33.98B,,33.98B,85.77B,,119.75B,124.50B,4.122M,9.760B,15.33B,128.42M,,,,266.18M,25.24B
2006-09,,2.259B,,2.259B,529.10M,5.617B,6.146B,11.75B,,,,,,,1.532B,,,3.964B,63.61B,1.84B,61.77B,13.96B,83.16B,94.91B,387.00M,387.00M,387.00M,,,,387.00M,26.32B,,26.32B,47.61B,,73.93B,78.23B,3.065M,9.378B,7.238B,115.38M,,,,173.93M,16.68B
2006-06,,2.258B,,2.258B,526.27M,4.819B,5.345B,7.943B,,,,,,,1.468B,,,3.934B,60.60B,1.765B,58.84B,15.29B,81.59B,89.53B,349.09M,349.09M,349.09M,,,,349.09M,22.33B,,22.33B,47.19B,,69.51B,73.63B,3.06M,8.798B,7.151B,115.34M,,,,60.13M,15.90B
2006-03,,2.534B,,2.534B,512.14M,5.293B,5.806B,11.10B,,,,,,,1.387B,,,3.941B,58.12B,1.675B,56.44B,14.66B,78.17B,89.27B,353.88M,353.88M,353.88M,,,,353.88M,22.27B,,22.27B,47.78B,,70.05B,74.10B,3.051M,8.253B,7.032B,111.06M,,,,-8.148M,15.17B
2005-12,,2.766B,,2.766B,563.54M,4.905B,5.468B,9.539B,,,,,,,1.191B,,,3.906B,59.85B,1.79B,58.06B,14.35B,79.16B,88.70B,371.68M,371.68M,371.68M,,,,371.68M,22.28B,,22.28B,47.93B,,70.21B,74.57B,3.028M,7.378B,6.849B,106.80M,,,,6.129M,14.13B
2005-09,,2.193B,,2.193B,367.76M,6.126B,6.494B,11.10B,,,,,,,768.20M,,,736.06M,38.85B,1.447B,37.40B,9.437B,49.33B,60.42B,350.84M,350.84M,350.84M,,,,350.84M,18.27B,,18.27B,26.77B,,45.04B,49.39B,2.682M,7.105B,3.980B,69.88M,,,,20.10M,11.04B
2005-06,,1.303B,,1.303B,274.55M,4.891B,5.165B,7.752B,,,,,,,782.37M,,,739.89M,38.61B,1.405B,37.21B,9.523B,49.24B,57.00B,252.68M,252.68M,252.68M,,,,252.68M,16.39B,,16.39B,26.52B,,42.91B,46.58B,2.65M,6.621B,3.783B,69.70M,,,,75.02M,10.41B
2005-03,,1.208B,,1.208B,259.35M,5.605B,5.864B,7.085B,,,,,,,806.41M,,,,37.96B,1.44B,36.52B,9.461B,48.55B,55.63B,242.46M,242.46M,242.46M,,,,242.46M,17.12B,,17.12B,25.85B,,42.97B,46.65B,2.536M,6.096B,2.878B,67.11M,,,,69.74M,8.980B
2004-12,,637.52M,,637.52M,252.86M,4.081B,4.334B,5.745B,,,,,,,817.70M,,,352.16M,38.22B,1.505B,36.71B,9.300B,48.00B,53.75B,237.23M,237.23M,237.23M,6.294B,6.294B,6.294B,6.531B,10.22B,,10.22B,25.64B,,35.86B,45.36B,2.484M,5.596B,2.711B,66.75M,,158.88M,-14.12M,144.76M,8.388B
2004-09,,993.17M,,993.17M,232.81M,4.956B,5.189B,6.631B,,,,,,,812.72M,,,,35.16B,1.395B,33.77B,9.519B,45.33B,51.96B,250.23M,250.23M,250.23M,,,,250.23M,15.46B,,15.46B,25.35B,,40.81B,44.03B,2.44M,5.408B,2.464B,49.70M,,,,105.81M,7.930B
2004-06,,637.22M,,637.22M,234.35M,3.973B,4.207B,5.927B,,,,,,,868.20M,,,,34.55B,1.425B,33.13B,8.947B,44.14B,50.07B,256.29M,256.29M,256.29M,,,,256.29M,15.61B,,15.61B,24.18B,,39.79B,42.85B,2.428M,4.924B,2.348B,49.43M,,,,-4.367M,7.221B
2004-03,,511.58M,,511.58M,236.85M,4.009B,4.246B,6.015B,,,,,,,898.80M,,,,33.17B,1.495B,31.68B,9.149B,43.13B,49.15B,245.17M,245.17M,245.17M,,,,245.17M,15.48B,,15.48B,23.61B,,39.09B,42.30B,2.411M,4.523B,2.219B,49.43M,,,,147.41M,6.842B
2003-12,,969.96M,,969.96M,214.30M,4.749B,4.963B,6.944B,,,,,,,902.60M,,,,32.85B,1.595B,31.26B,5.867B,39.34B,46.28B,256.02M,256.02M,256.02M,4.072B,4.072B,4.072B,4.328B,10.74B,,10.74B,22.42B,,33.16B,40.23B,2.364M,4.079B,1.937B,49.52M,,,,83.16M,6.052B
2003-09,,413.54M,,413.54M,201.78M,5.204B,5.406B,6.709B,,,,,,,899.00M,,,,30.62B,1.57B,29.05B,5.409B,36.74B,43.45B,231.36M,231.36M,231.36M,7.520B,7.520B,7.520B,7.751B,6.339B,,6.339B,20.94B,,27.28B,37.82B,2.305M,3.821B,1.834B,49.17M,,,,15.54M,5.623B
2003-06,,875.03M,,875.03M,200.52M,4.093B,4.293B,7.489B,,,,,,,760.38M,,,,26.85B,1.59B,25.26B,5.419B,32.88B,40.37B,230.84M,230.84M,230.84M,6.237B,6.237B,6.237B,6.468B,5.987B,,5.987B,19.82B,,25.81B,35.06B,2.284M,3.551B,1.762B,-40.62M,,,,-49.17M,5.307B
2003-03,,576.35M,,576.35M,209.00M,2.898B,3.107B,4.547B,,,,,,,769.11M,,,,28.12B,1.635B,26.48B,4.817B,33.36B,37.91B,194.63M,194.63M,194.63M,5.117B,5.117B,5.117B,5.311B,6.577B,,6.577B,18.49B,,25.07B,32.98B,2.275M,3.270B,1.731B,49.17M,,,,-25.36M,4.929B
2002-12,,544.95M,,544.95M,217.51M,3.607B,3.824B,4.743B,,,,,,,770.33M,,,,27.34B,1.72B,25.62B,4.424B,32.64B,37.38B,236.08M,236.08M,236.08M,6.365B,6.365B,6.365B,6.601B,5.566B,,5.566B,17.33B,,22.89B,32.76B,2.271M,2.967B,1.704B,34.95M,,,,-15.57M,4.623B
