,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2018-03,1.346B,-8.00M,-35.00M,550.00M,550.00M,40.00M,,67.00M,-643.00M,40.00M,-60.00M,267.00M,-1.639B,,-1.392B,,1.607B,-205.00M,-205.00M,,-3.659B,-101.00M,682.00M,-9.155B,,-9.155B,49.00M,-273.00M,-224.00M,,,,-197.00M,-52.00M,-249.00M,14.00M,,-2.324B,14.35B,-35.00M,14.32B,49.00M,3.301B,-12.46B,-273.00M,53.00M,936.00M
2017-12,-971.00M,-1.00M,-31.00M,721.00M,721.00M,1.755B,,80.00M,1.051B,-110.00M,112.00M,-1.495B,1.355B,,-138.00M,-302.00M,4.091B,-242.00M,-242.00M,33.00M,807.00M,-251.00M,-3.796B,761.00M,,761.00M,40.00M,-4.00M,36.00M,,,,-195.00M,-80.00M,-275.00M,22.00M,,5.269B,8.788B,5.564B,14.35B,40.00M,10.63B,-9.873B,-4.00M,408.00M,692.00M
2017-09,1.107B,-68.00M,-91.00M,588.00M,588.00M,-86.00M,,53.00M,-682.00M,-52.00M,-76.00M,-533.00M,1.066B,,405.00M,-59.00M,3.068B,-293.00M,-293.00M,-3.22B,346.00M,-116.00M,-7.45B,7.049B,,7.049B,45.00M,-17.00M,28.00M,,,,-195.00M,-52.00M,-247.00M,21.00M,,6.155B,7.015B,1.773B,8.788B,45.00M,15.92B,-8.87B,-17.00M,312.00M,811.00M
2017-06,1.036B,4.00M,-5.00M,565.00M,565.00M,-98.00M,,34.00M,-30.00M,22.00M,116.00M,223.00M,186.00M,,547.00M,11.00M,3.86B,-261.00M,-261.00M,,-475.00M,-192.00M,-6.373B,1.392B,,1.392B,38.00M,-1.00M,37.00M,,,,-195.00M,-80.00M,-275.00M,16.00M,,-273.00M,9.801B,-2.786B,7.015B,38.00M,7.88B,-6.488B,-1.00M,433.00M,567.00M
2017-03,810.00M,0.00,-10.00M,566.00M,566.00M,-137.00M,,77.00M,319.00M,-17.00M,-67.00M,1.091B,-1.45B,,-443.00M,-11.00M,3.163B,-222.00M,-222.00M,,-987.00M,-104.00M,2.078B,-11.98B,,-11.98B,41.00M,-218.00M,-177.00M,,,,-195.00M,-53.00M,-248.00M,65.00M,,-7.933B,12.49B,-2.692B,9.801B,41.00M,6.976B,-18.96B,-218.00M,34.00M,702.00M
2016-12,791.00M,14.00M,1.00M,609.00M,609.00M,-65.00M,,89.00M,-22.00M,-96.00M,90.00M,-2.00B,847.00M,,-1.159B,-1.00M,1.995B,-271.00M,-271.00M,-640.00M,-792.00M,-152.00M,-10.45B,1.271B,,1.271B,32.00M,-868.00M,-836.00M,483.00M,,483.00M,-194.00M,-75.00M,-269.00M,139.00M,,11.57B,9.381B,3.112B,12.49B,515.00M,3.876B,-2.605B,-868.00M,570.00M,732.00M
2016-09,1.005B,-1.00M,-21.00M,612.00M,612.00M,-244.00M,,60.00M,-103.00M,-15.00M,-64.00M,51.00M,412.00M,,384.00M,12.00M,3.293B,-184.00M,-184.00M,11.00M,-1.501B,-154.00M,-6.259B,830.00M,,830.00M,35.00M,-1.194B,-1.159B,583.00M,,583.00M,-202.00M,-37.00M,-239.00M,0.00,,4.933B,7.414B,1.967B,9.381B,618.00M,8.479B,-7.649B,-1.194B,479.00M,581.00M
2016-06,942.00M,-2.00M,-12.00M,616.00M,616.00M,-238.00M,,46.00M,-103.00M,-15.00M,84.00M,-898.00M,451.00M,,-378.00M,1.00M,2.466B,-190.00M,-190.00M,,274.00M,-105.00M,-8.19B,8.468B,64.00M,8.532B,34.00M,-629.00M,-595.00M,,,,-205.00M,-65.00M,-270.00M,0.00,,6.943B,6.195B,1.219B,7.414B,34.00M,10.54B,-2.07B,-629.00M,1.017B,394.00M
2016-03,1.013B,,-37.00M,591.00M,591.00M,-139.00M,,44.00M,-38.00M,-33.00M,-82.00M,940.00M,303.00M,,1.128B,13.00M,4.102B,-134.00M,-134.00M,,-1.228B,-21.00M,-728.00M,-9.025B,-64.00M,-9.089B,30.00M,-970.00M,-940.00M,,,,-211.00M,-37.00M,-248.00M,3.00M,,-6.219B,9.04B,-2.845B,6.195B,30.00M,6.35B,-15.38B,-970.00M,55.00M,543.00M
2015-12,920.00M,6.00M,-2.00M,542.00M,542.00M,,,40.00M,-327.00M,-53.00M,101.00M,-403.00M,-659.00M,,-1.014B,-15.00M,1.122B,-121.00M,-121.00M,,-995.00M,-181.00M,-20.17B,690.00M,16.04B,16.72B,27.00M,-626.00M,-599.00M,0.00,,0.00,-214.00M,-68.00M,-282.00M,2.00M,352.00M,21.01B,6.837B,1.969B,9.04B,27.00M,18.22B,-17.53B,-626.00M,615.00M,322.00M
2015-09,1.114B,-3.00M,-34.00M,546.00M,546.00M,,,-3.00M,412.00M,-45.00M,-64.00M,514.00M,1.254B,,1.659B,-129.00M,4.657B,-182.00M,-182.00M,,-273.00M,-112.00M,-5.089B,-2.488B,-843.00M,-3.331B,31.00M,-627.00M,-596.00M,484.00M,,484.00M,-217.00M,-29.00M,-246.00M,15.00M,-333.00M,113.00M,7.156B,-319.00M,6.837B,515.00M,3.314B,-5.802B,-627.00M,402.00M,468.00M
2015-06,863.00M,1.00M,3.00M,529.00M,529.00M,,,74.00M,460.00M,25.00M,67.00M,-894.00M,-12.00M,,-814.00M,111.00M,2.355B,-76.00M,-76.00M,,-535.00M,-385.00M,-7.542B,9.735B,-4.796B,4.939B,29.00M,-625.00M,-596.00M,988.00M,,988.00M,-218.00M,-29.00M,-247.00M,49.00M,-19.00M,3.452B,8.891B,-1.735B,7.156B,1.017B,11.13B,-1.391B,-625.00M,628.00M,396.00M
2015-03,1.153B,-2.00M,-21.00M,483.00M,483.00M,,,50.00M,-682.00M,1.00M,-59.00M,187.00M,-8.00M,,121.00M,-46.00M,1.993B,-153.00M,-153.00M,,-390.00M,68.00M,3.071B,2.81B,-10.40B,-7.586B,24.00M,-563.00M,-539.00M,,,,-167.00M,-32.00M,-199.00M,19.00M,,-3.415B,7.242B,1.649B,8.891B,24.00M,4.235B,-1.425B,-563.00M,87.00M,457.00M
2014-12,999.00M,-3.00M,-7.00M,470.00M,470.00M,,,38.00M,-70.00M,-179.00M,80.00M,-1.009B,474.00M,,-634.00M,-226.00M,1.603B,-97.00M,-97.00M,,-87.00M,,-7.904B,5.143B,,6.062B,27.00M,-502.00M,-475.00M,485.00M,,485.00M,-166.00M,-21.00M,-187.00M,57.00M,171.00M,7.395B,6.148B,1.094B,7.242B,512.00M,1.297B,3.846B,-502.00M,494.00M,321.00M
2014-09,1.081B,-6.00M,-12.00M,515.00M,515.00M,,,30.00M,287.00M,112.00M,-60.00M,-541.00M,307.00M,,-182.00M,69.00M,2.781B,-155.00M,-155.00M,,-162.00M,,-4.22B,3.238B,,3.238B,22.00M,-563.00M,-541.00M,0.00,,0.00,-169.00M,-20.00M,-189.00M,19.00M,-44.00M,855.00M,6.732B,-584.00M,6.148B,22.00M,3.531B,-293.00M,-563.00M,225.00M,450.00M
2014-06,1.194B,1.00M,-11.00M,503.00M,503.00M,,,53.00M,-443.00M,33.00M,52.00M,-258.00M,-85.00M,,-258.00M,19.00M,1.761B,-121.00M,-121.00M,,-666.00M,,-7.253B,8.847B,,8.847B,24.00M,-941.00M,-917.00M,484.00M,,484.00M,-170.00M,-13.00M,-183.00M,58.00M,189.00M,6.042B,6.182B,550.00M,6.732B,508.00M,4.235B,4.612B,-941.00M,884.00M,347.00M
2014-03,1.154B,-13.00M,-15.00M,514.00M,514.00M,,,84.00M,-28.00M,5.00M,-50.00M,1.406B,-597.00M,,764.00M,-49.00M,3.159B,-129.00M,-129.00M,,294.00M,,3.386B,-10.59B,,-10.59B,27.00M,-39.00M,-12.00M,,,,-174.00M,-13.00M,-187.00M,12.00M,324.00M,-6.654B,6.291B,-109.00M,6.182B,27.00M,2.942B,-13.53B,-39.00M,,451.00M
2013-12,852.00M,-4.00M,-12.00M,418.00M,418.00M,,,68.00M,170.00M,-34.00M,9.00M,-1.767B,848.00M,,-944.00M,36.00M,1.545B,-196.00M,-196.00M,,351.00M,,-6.036B,8.732B,,8.732B,17.00M,-746.00M,-729.00M,0.00,,0.00,-172.00M,-14.00M,-186.00M,41.00M,-484.00M,5.064B,5.718B,573.00M,6.291B,17.00M,1.879B,6.853B,-746.00M,471.00M,386.00M
2013-09,1.105B,1.00M,7.00M,495.00M,495.00M,,,60.00M,-50.00M,150.00M,-48.00M,871.00M,80.00M,,1.053B,-4.00M,3.515B,-172.00M,-172.00M,,752.00M,,5.371B,-4.375B,,-4.375B,20.00M,-258.00M,-238.00M,0.00,,0.00,-177.00M,-13.00M,-190.00M,29.00M,-13.00M,-7.821B,4.653B,1.065B,5.718B,20.00M,0.00,-4.375B,-258.00M,604.00M,486.00M
2013-06,1.108B,-2.00M,-6.00M,811.00M,811.00M,,,58.00M,-40.00M,-76.00M,14.00M,-330.00M,432.00M,,40.00M,-179.00M,2.554B,-214.00M,-214.00M,,-372.00M,,-1.77B,-826.00M,,-826.00M,21.00M,-1.00M,20.00M,0.00,,0.00,-176.00M,-13.00M,-189.00M,29.00M,641.00M,-2.877B,6.746B,-2.093B,4.653B,21.00M,996.00M,-1.822B,-1.00M,579.00M,443.00M
2013-03,1.056B,-2.00M,13.00M,341.00M,341.00M,,,54.00M,113.00M,316.00M,-140.00M,650.00M,-810.00M,,16.00M,-108.00M,2.37B,-236.00M,-236.00M,,-324.00M,,6.156B,-12.14B,,-12.14B,23.00M,-28.00M,-5.00M,,,,-30.00M,-13.00M,-43.00M,15.00M,-590.00M,-12.84B,11.06B,-4.312B,6.746B,23.00M,1.388B,-13.53B,-28.00M,67.00M,621.00M
2012-12,818.00M,-3.00M,-2.00M,605.00M,605.00M,,0.00,46.00M,46.00M,-80.00M,51.00M,-1.338B,-774.00M,,-2.141B,-18.00M,505.00M,-201.00M,-201.00M,0.00,-2.672B,,-6.756B,11.77B,,11.77B,16.00M,0.00,16.00M,0.00,,0.00,-29.00M,-15.00M,-44.00M,23.00M,332.00M,11.34B,5.969B,5.089B,11.06B,16.00M,13.06B,-1.288B,0.00,,
2012-09,1.178B,-1.00M,-6.00M,586.00M,586.00M,,0.00,37.00M,885.00M,9.00M,-94.00M,202.00M,1.22B,,1.337B,-43.00M,4.988B,-97.00M,-97.00M,0.00,-5.726B,-421.00M,-7.679B,2.476B,,2.476B,17.00M,-1.00M,16.00M,853.00M,,853.00M,-29.00M,0.00,-29.00M,12.00M,31.00M,2.681B,5.979B,-10.00M,5.969B,870.00M,1.759B,717.00M,-1.00M,,
2012-06,93.00M,-30.00M,-30.00M,451.00M,451.00M,,0.00,53.00M,101.00M,-466.00M,78.00M,-662.00M,1.03B,,-20.00M,-131.00M,2.194B,-106.00M,-106.00M,-31.34B,5.645B,720.00M,-27.14B,2.858B,,2.858B,12.00M,0.00,12.00M,,,,-29.00M,0.00,-29.00M,29.00M,,272.00M,30.66B,-24.68B,5.979B,12.00M,0.00,2.858B,0.00,,
2012-03,1.403B,-11.00M,-13.00M,220.00M,220.00M,,-594.00M,63.00M,-39.00M,42.00M,-82.00M,684.00M,-572.00M,,72.00M,152.00M,1.837B,-156.00M,-156.00M,13.74B,8.169B,-299.00M,22.76B,-6.798B,,-6.798B,3.188B,-42.00M,3.146B,,,,-24.00M,0.00,-24.00M,16.00M,,217.00M,5.838B,24.82B,30.66B,3.188B,1.25B,-8.048B,-42.00M,,
2011-12,407.00M,-8.00M,69.00M,170.00M,170.00M,,-15.00M,54.00M,42.00M,-71.00M,65.00M,-365.00M,307.00M,,-64.00M,15.00M,1.539B,-46.00M,-46.00M,0.00,-537.00M,-618.00M,-8.025B,5.262B,,5.262B,12.00M,-1.00M,11.00M,,,0.00,-22.00M,,-22.00M,,752.00M,5.966B,6.358B,-520.00M,5.838B,12.00M,5.774B,-512.00M,-1.00M,,
2011-09,813.00M,-240.00M,-347.00M,110.00M,110.00M,,15.00M,18.00M,-112.00M,57.00M,-68.00M,-553.00M,969.00M,,405.00M,31.00M,1.555B,-110.00M,-110.00M,0.00,1.156B,344.00M,-372.00M,-3.667B,,-3.667B,10.00M,-2.00M,8.00M,,,0.00,-23.00M,,-23.00M,,17.00M,-1.468B,6.643B,-285.00M,6.358B,10.00M,9.00M,-3.676B,-2.00M,,
2011-06,911.00M,-8.00M,-96.00M,132.00M,132.00M,,0.00,42.00M,50.00M,4.00M,58.00M,318.00M,633.00M,,1.013B,22.00M,2.492B,-92.00M,-92.00M,0.00,2.339B,1.228B,-2.321B,-2.175B,,-2.175B,10.00M,-1.00M,9.00M,,,,-23.00M,,-23.00M,,19.00M,-1.499B,7.971B,-1.328B,6.643B,10.00M,2.471B,-4.646B,-1.00M,,
2011-03,1.016B,-3.00M,108.00M,167.00M,167.00M,,,75.00M,75.00M,51.00M,-77.00M,474.00M,-506.00M,,-58.00M,27.00M,1.869B,-67.00M,-67.00M,-1.444B,-139.00M,-954.00M,-456.00M,-1.897B,,-1.897B,8.00M,-38.00M,-30.00M,,,,-23.00M,,-23.00M,,23.00M,1.309B,5.249B,2.722B,7.971B,8.00M,512.00M,-2.409B,-38.00M,,
2010-12,697.00M,-7.00M,-34.00M,95.00M,95.00M,,,32.00M,-56.00M,-62.00M,24.00M,-516.00M,-1.348B,,-1.902B,335.00M,122.00M,-115.00M,-115.00M,0.00,-1.977B,1.585B,-1.487B,-1.31B,,-1.31B,8.00M,0.00,8.00M,,,,-22.00M,,-22.00M,,-6.00M,1.672B,4.942B,307.00M,5.249B,8.00M,,-1.31B,0.00,,
2010-09,514.00M,-26.00M,26.00M,106.00M,106.00M,,,30.00M,405.00M,130.00M,-79.00M,-174.00M,1.501B,,1.378B,-1.00M,3.209B,-75.00M,-75.00M,0.00,-532.00M,760.00M,-522.00M,-4.809B,,-4.809B,7.00M,-2.00M,5.00M,,,,-23.00M,,-23.00M,,2.00M,-2.944B,5.199B,-257.00M,4.942B,7.00M,,-4.809B,-2.00M,,
2010-06,812.00M,-1.00M,-2.00M,169.00M,169.00M,,,40.00M,-204.00M,58.00M,21.00M,-204.00M,662.00M,712.00M,1.249B,0.00,2.787B,-76.00M,-76.00M,0.00,-713.00M,-160.00M,331.00M,-4.949B,,-4.949B,8.00M,-2.00M,6.00M,,,,-23.00M,,-23.00M,,4.00M,-5.417B,7.498B,-2.299B,5.199B,8.00M,,-4.949B,-2.00M,,
2010-03,720.00M,-107.00M,-244.00M,147.00M,147.00M,,,47.00M,-84.00M,-263.00M,13.00M,1.851B,-948.00M,-712.00M,-59.00M,19.00M,2.024B,-74.00M,-74.00M,0.00,934.00M,712.00M,6.141B,-11.28B,,-11.28B,7.00M,-18.00M,-11.00M,,,,-23.00M,,-23.00M,,,-9.352B,8.685B,-1.187B,7.498B,7.00M,,-11.28B,-18.00M,,
2009-12,301.00M,-1.00M,-125.00M,98.00M,98.00M,,,44.00M,221.00M,-1.217B,-74.00M,-701.00M,13.00M,,-1.979B,-57.00M,-799.00M,-29.00M,-29.00M,0.00,-1.196B,547.00M,4.243B,301.00M,,301.00M,6.00M,-8.00M,-2.00M,,0.00,0.00,-23.00M,0.00,-23.00M,,-471.00M,1.115B,4.127B,4.559B,8.685B,6.00M,1.00B,-699.00M,-8.00M,,
2009-09,437.00M,-165.00M,14.00M,204.00M,204.00M,,,44.00M,-44.00M,-1.748B,-77.00M,569.00M,-596.00M,,-1.852B,49.00M,25.00M,-36.00M,-36.00M,0.00,779.00M,23.00M,3.734B,-2.165B,,-2.165B,6.00M,-3.00M,3.00M,,0.00,0.00,-23.00M,0.00,-23.00M,,3.00M,-4.404B,4.772B,-645.00M,4.127B,6.00M,1.00B,-3.165B,-3.00M,,
2009-06,254.06M,-47.66M,-79.46M,229.72M,229.72M,,,33.28M,-55.72M,-651.04M,3.629M,306.71M,399.31M,,58.61M,-22.65M,1.376B,-70.78M,-70.78M,-0.166M,-1.013B,145.62M,1.423B,729.82M,,729.82M,1.515B,-0.045M,1.515B,,-3.555B,-3.555B,-19.59M,-60.07M,-79.66M,,-0.401M,-5.782B,7.754B,-2.983B,4.772B,1.515B,2.50B,-1.770B,-3.555B,,
2009-03,-108.06M,-4.335M,6.459M,151.28M,151.28M,,,24.72M,24.72M,1.493B,-19.63M,164.29M,-1.525B,,112.39M,13.65M,1.480B,-107.22M,-107.22M,778.17M,-3.446B,11.38M,1.762B,-1.726B,,-1.726B,9.23M,-2.955M,6.275M,,,,-148.41M,-44.93M,-193.34M,,-1.599M,-2.979B,7.491B,262.98M,7.754B,9.23M,,-1.726B,-2.955M,,
2008-12,-1.422B,0.922M,33.26M,154.99M,154.99M,,,30.41M,841.28M,-1.439B,168.31M,-2.147B,1.116B,,-2.302B,-3.275M,-598.16M,-86.26M,-86.26M,0.00,-4.820B,,-9.077B,-1.579B,,-1.579B,8.532M,-0.476M,8.056M,,,3.555B,-146.74M,0.00,-146.74M,,-1.435M,11.55B,5.621B,1.871B,7.491B,8.532M,,-1.579B,3.555B,,
2008-09,374.14M,-0.923M,-14.13M,175.30M,175.30M,,,36.38M,36.38M,348.96M,-113.40M,-631.59M,158.48M,,-237.54M,149.30M,1.577B,-67.02M,-67.02M,0.00,-2.121B,,-4.004B,-3.573B,,-3.573B,741.76M,-0.363M,741.40M,,,0.00,-140.85M,0.00,-140.85M,,13.44M,3.523B,4.525B,1.096B,5.621B,741.76M,,-3.573B,-0.363M,,
2008-06,368.85M,-4.16M,218.74M,175.63M,175.63M,,,44.85M,-949.22M,-523.30M,-10.12M,-328.52M,-72.98M,,-356.86M,-19.64M,1.346B,-101.79M,-101.79M,0.00,-5.393B,-299.02M,-2.668B,-3.629B,0.00,-3.629B,21.73M,-11.66M,-12.68M,,,0.00,-280.67M,0.00,-140.74M,,79.97M,1.017B,4.830B,-305.39M,4.525B,21.73M,,-3.629B,-11.66M,,
2008-03,632.56M,-8.63M,-75.99M,185.51M,185.51M,,,,994.07M,,,,,,-578.07M,,1.158B,-101.25M,-101.25M,,-58.18M,299.02M,139.58M,-6.073B,,-6.073B,,,22.74M,,,,,,-139.93M,,-32.69M,-1.289B,4.821B,8.595M,4.830B,,,-6.073B,,,
2007-12,321.61M,-1.67M,-89.22M,196.16M,196.16M,,,,2.325B,,,,,,1.884B,,4.638B,-123.48M,-123.48M,0.00,273.46M,-7.058B,-6.908B,5.959B,,5.959B,,,-895.09M,,,,,,-10.17M,,-2.056B,2.645B,4.446B,375.75M,4.821B,,6.109B,-150.00M,,,
2007-09,844.68M,-1.449M,-40.74M,152.74M,152.74M,,,,1.912B,,,,,,-3.944B,,-1.075B,-102.66M,-102.66M,4.323M,456.03M,-2.622B,-2.264B,5.568B,,5.568B,,,-451.62M,,,,,,-10.49M,,-2.032B,736.36M,7.048B,-2.602B,4.446B,,2.011B,3.557B,,,
2007-06,750.37M,-0.06M,20.29M,162.17M,162.17M,,,,529.10M,,,,,,1.744B,,3.206B,-79.15M,-79.15M,-7.348M,-2.988B,-1.147B,-4.221B,291.84M,,291.84M,,,-1.661B,,,,,,-10.49M,,,-3.363B,11.43B,-4.377B,7.048B,,,291.84M,,,
2007-03,675.05M,-66.80M,-58.79M,167.68M,167.68M,,,,463.05M,,,,,,4.994B,,6.241B,-132.26M,-132.26M,-7.439M,-2.124B,5.191B,2.928B,-4.311B,,-4.311B,,,25.92M,,,,,,-10.90M,,,-2.404B,4.660B,6.765B,11.43B,,,-4.311B,,,
2006-12,390.73M,4.053M,12.13M,159.12M,159.12M,,,,573.83M,,,,,,-305.88M,,829.93M,-181.20M,-181.20M,-3.635B,3.010B,-1.440B,-2.247B,-85.03M,,-85.03M,,,65.73M,,,,,,-8.114M,,,477.54M,5.600B,-939.15M,4.660B,,-85.03M,0.00,,,
2006-09,587.84M,-0.446M,-5.026M,128.75M,128.75M,,,,478.30M,,,,,,-648.93M,,540.93M,-132.13M,-132.13M,22.92M,1.536B,-3.400B,-1.973B,3.970B,,3.970B,,,38.08M,,,,,,-8.105M,,,4.434B,2.598B,3.002B,5.600B,,3.972B,-2.151M,,,
2006-06,552.59M,1.936M,-15.19M,129.23M,129.23M,,,,425.49M,,,,,,323.56M,,1.416B,-143.27M,-143.27M,-22.92M,-722.07M,-2.737B,-3.625B,54.66M,,54.66M,,,55.76M,,,,,,-8.085M,,,-490.34M,5.298B,-2.700B,2.598B,,292.66M,-238.00M,,,
2006-03,883.34M,23.66M,17.91M,124.99M,124.99M,,,,209.93M,,,,,,-645.97M,,590.20M,-255.59M,-255.59M,,-420.03M,1.394B,718.26M,-6.398M,,-6.398M,,,93.91M,,,,,,-8.02M,,,-82.15M,4.071B,1.226B,5.298B,,1.012B,-1.018B,,,
