,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,FinishedGoodsInventory,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,Shareholder'sEquity(Quarterly),AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2016-01,306.00M,306.00M,770.00M,,770.00M,387.00M,468.00M,855.00M,,201.00M,2.132B,,,,,2.34B,,2.34B,,2.34B,2.318B,1.193B,3.511B,,,,96.00M,5.947B,8.079B,,100.00M,75.00M,677.00M,596.00M,1.273B,,,,,1.293B,,1.293B,,,,2.566B,2.551B,,2.551B,479.00M,479.00M,,959.00M,3.989B,6.555B,,2016-01,328.00M,608.00M,,,-223.00M,1.526B,,2016-01,AOR,Restated
2015-10,263.00M,263.00M,829.00M,,829.00M,445.00M,604.00M,1.049B,,196.00M,2.337B,,,,,2.34B,,2.34B,,2.34B,2.331B,1.20B,3.531B,,,,96.00M,5.967B,8.304B,,100.00M,123.00M,790.00M,569.00M,1.359B,,,,,1.545B,,1.545B,,,,2.904B,2.551B,,2.551B,462.00M,462.00M,,977.00M,3.99B,6.894B,,2015-10,309.00M,557.00M,,,-200.00M,1.414B,,2015-10,AOR,Restated
2015-07,253.00M,253.00M,557.00M,90.00M,647.00M,427.00M,568.00M,995.00M,114.00M,52.00M,2.093B,0.00,57.00M,1.416B,3.802B,,238.00M,5.513B,-3.166B,2.347B,2.344B,1.205B,3.549B,10.00M,22.00M,25.00M,31.00M,5.984B,8.077B,,101.00M,29.00M,674.00M,322.00M,996.00M,,1.532B,,10.00M,1.542B,1.00M,1.543B,,,12.00M,2.806B,2.539B,,2.539B,505.00M,609.00M,595.00M,143.00M,3.894B,6.70B,,2015-07,339.00M,556.00M,,,-168.00M,1.381B,,2015-07,AOR,Restated
2015-04,230.00M,230.00M,641.00M,,641.00M,395.00M,481.00M,876.00M,,155.00M,1.902B,,,,,2.292B,,2.292B,,2.292B,2.281B,1.133B,3.414B,,,,151.00M,5.857B,7.759B,,100.00M,38.00M,600.00M,491.00M,1.091B,,,,,1.232B,,1.232B,,,,2.323B,2.553B,,2.553B,573.00M,573.00M,,725.00M,3.851B,6.174B,,2015-04,331.00M,507.00M,,,-765.00M,1.597B,,2015-04,AOR,Restated
2015-01,201.00M,201.00M,794.00M,,794.00M,410.00M,506.00M,916.00M,,179.00M,2.09B,,,,,2.257B,,2.257B,,2.257B,2.271B,1.139B,3.41B,,,,146.00M,5.813B,7.903B,,100.00M,59.00M,669.00M,541.00M,1.21B,,,,,1.64B,,1.64B,,,,2.85B,2.253B,,2.253B,547.00M,547.00M,,739.00M,3.539B,6.389B,,2015-01,316.00M,448.00M,,,-795.00M,1.526B,,2015-01,AOR,Restated
2014-10,239.00M,239.00M,840.00M,,840.00M,453.00M,652.00M,1.105B,,174.00M,2.358B,,,,,2.286B,,2.286B,,2.286B,2.379B,1.16B,3.539B,,,,114.00M,5.939B,8.297B,,101.00M,118.00M,816.00M,524.00M,1.34B,,,,,1.828B,,1.828B,,,,3.168B,2.244B,,2.244B,560.00M,560.00M,,719.00M,3.523B,6.691B,,2014-10,301.00M,393.00M,,,-634.00M,1.618B,,2014-10,AOR,Restated
2014-07,232.00M,232.00M,585.00M,85.00M,670.00M,399.00M,617.00M,1.016B,96.00M,71.00M,2.10B,0.00,62.00M,1.384B,3.856B,,217.00M,5.519B,-3.201B,2.318B,2.433B,1.175B,3.608B,,0.00,32.00M,55.00M,6.013B,8.113B,,101.00M,37.00M,665.00M,299.00M,964.00M,,1.406B,,364.00M,1.77B,1.00M,1.771B,,,17.00M,2.989B,2.244B,,2.244B,548.00M,657.00M,529.00M,85.00M,3.521B,6.51B,,2014-07,330.00M,356.00M,,,-569.00M,1.615B,,2014-07,AOR,Restated
2014-04,222.00M,222.00M,669.00M,,669.00M,359.00M,499.00M,858.00M,,198.00M,1.947B,,,,,2.263B,,2.263B,,2.263B,2.431B,1.185B,3.616B,,,,138.00M,6.017B,7.964B,,101.00M,3.00M,605.00M,550.00M,1.155B,,,,,1.662B,,1.662B,,,,2.817B,2.247B,,2.247B,581.00M,581.00M,,728.00M,3.556B,6.373B,,2014-04,322.00M,364.00M,,,-527.00M,1.602B,,2014-04,AOR,Restated
2014-01,293.00M,293.00M,783.00M,,783.00M,380.00M,511.00M,891.00M,,207.00M,2.174B,,,,,2.241B,,2.241B,,2.241B,2.381B,1.188B,3.569B,,,,135.00M,5.945B,8.119B,,101.00M,10.00M,639.00M,592.00M,1.231B,,,,,1.958B,,1.958B,,,,3.189B,2.247B,,2.247B,555.00M,555.00M,,729.00M,3.531B,6.72B,,2014-01,315.00M,374.00M,,,-616.00M,1.41B,,2014-01,AOR,Restated
2013-10,305.00M,305.00M,804.00M,,804.00M,425.00M,654.00M,1.079B,,206.00M,2.587B,,,,,2.283B,,2.283B,,2.283B,2.461B,1.194B,3.655B,,,,530.00M,6.468B,9.055B,,101.00M,38.00M,769.00M,598.00M,1.367B,,,,,2.585B,,2.585B,,,152.00M,4.104B,2.247B,,2.247B,595.00M,595.00M,,741.00M,3.606B,7.71B,,2013-10,301.00M,305.00M,,,-506.00M,1.349B,,2013-10,AOR,Restated
2013-07,333.00M,333.00M,576.00M,59.00M,635.00M,364.00M,561.00M,925.00M,90.00M,36.00M,2.221B,0.00,59.00M,1.349B,4.017B,,230.00M,5.655B,-3.395B,2.26B,2.297B,1.021B,3.318B,,23.00M,27.00M,474.00M,6.102B,8.323B,,100.00M,19.00M,642.00M,312.00M,954.00M,,1.162B,,745.00M,1.907B,2.00M,1.909B,,,149.00M,3.282B,2.544B,,2.544B,489.00M,601.00M,551.00M,112.00M,3.831B,7.113B,,2013-07,362.00M,364.00M,,,-565.00M,1.217B,,2013-07,AOR,Restated
2013-04,453.00M,453.00M,674.00M,,674.00M,359.00M,529.00M,888.00M,,162.00M,2.177B,,,,,2.356B,,2.356B,,2.356B,2.711B,1.075B,3.786B,,,,134.00M,6.276B,8.453B,,8.00M,21.00M,619.00M,676.00M,1.295B,,,,,1.309B,,1.309B,,,,2.604B,2.944B,,2.944B,478.00M,478.00M,,1.114B,4.536B,7.14B,,2013-04,357.00M,365.00M,,,-709.00M,1.317B,,2013-04,AOR,Restated
2013-01,410.00M,410.00M,799.00M,,799.00M,383.00M,503.00M,886.00M,,169.00M,2.264B,,,,,2.361B,,2.361B,,2.361B,2.743B,1.084B,3.827B,,,,141.00M,6.329B,8.593B,,9.00M,32.00M,672.00M,730.00M,1.402B,,,,,1.489B,,1.489B,,,,2.891B,2.94B,,2.94B,479.00M,479.00M,,1.128B,4.547B,7.438B,,2013-01,331.00M,324.00M,,,-700.00M,1.16B,,2013-01,AOR,Restated
2012-10,361.00M,361.00M,892.00M,,892.00M,431.00M,532.00M,963.00M,,185.00M,2.401B,,,,,,,,,2.409B,2.721B,1.081B,3.802B,,,,,6.346B,8.747B,,98.00M,105.00M,905.00M,680.00M,1.585B,,,,,1.507B,,1.507B,,,,3.092B,2.94B,,2.94B,461.00M,461.00M,,1.157B,4.558B,7.65B,,2012-10,311.00M,8.223B,,,-745.00M,1.099B,,2012-10,AOR,Restated
2012-07,335.00M,335.00M,513.00M,40.00M,553.00M,277.00M,437.00M,714.00M,104.00M,30.00M,1.771B,0.00,62.00M,1.26B,3.963B,,198.00M,5.483B,-3.356B,2.127B,2.013B,496.00M,2.509B,,10.00M,49.00M,64.00M,4.759B,6.53B,,93.00M,22.00M,686.00M,302.00M,988.00M,,352.00M,,434.00M,786.00M,0.00,786.00M,,,29.00M,2.07B,2.004B,,2.004B,298.00M,394.00M,1.004B,106.00M,3.562B,5.632B,,2012-07,329.00M,8.259B,,,-776.00M,898.00M,,2012-07,AOR,Restated
2012-04,383.00M,383.00M,564.00M,,564.00M,264.00M,409.00M,673.00M,,147.00M,1.767B,,,,,,,,,2.054B,2.047B,511.00M,2.558B,,,,113.00M,4.725B,6.492B,,93.00M,10.00M,610.00M,547.00M,1.157B,,,,,751.00M,,751.00M,,,,1.908B,2.006B,,2.006B,439.00M,439.00M,,867.00M,3.312B,5.22B,,2012-04,331.00M,8.144B,,,-485.00M,1.272B,,2012-04,AOR,Restated
2012-01,322.00M,322.00M,683.00M,,683.00M,297.00M,449.00M,746.00M,,167.00M,1.918B,,,,,,,,,2.047B,2.058B,511.00M,2.569B,,,,131.00M,4.747B,6.665B,,93.00M,40.00M,684.00M,598.00M,1.282B,,,,,870.00M,,870.00M,,,,2.152B,2.008B,,2.008B,425.00M,425.00M,,883.00M,3.316B,5.468B,,2012-01,332.00M,8.138B,,,-485.00M,1.195B,,2012-01,AOR,Restated
2011-10,285.00M,285.00M,788.00M,,788.00M,330.00M,559.00M,889.00M,,161.00M,2.123B,,,,,,,,,2.057B,2.096B,523.00M,2.619B,,,,149.00M,4.825B,6.948B,,94.00M,105.00M,860.00M,606.00M,1.466B,,,,,567.00M,,567.00M,,,,2.033B,2.422B,,2.422B,402.00M,402.00M,,924.00M,3.748B,5.781B,,2011-10,313.00M,8.061B,,,-466.00M,1.161B,,2011-10,AOR,Restated
2011-07,484.00M,484.00M,560.00M,,560.00M,261.00M,506.00M,767.00M,112.00M,39.00M,1.963B,0.00,64.00M,1.224B,3.896B,,179.00M,5.363B,-3.26B,2.103B,2.133B,527.00M,2.66B,,20.00M,47.00M,69.00M,4.899B,6.862B,,95.00M,33.00M,713.00M,320.00M,1.033B,,563.00M,,93.00M,656.00M,1.00M,657.00M,,,37.00M,1.989B,2.427B,,2.427B,367.00M,511.00M,663.00M,86.00M,3.777B,5.766B,,2011-07,331.00M,8.021B,,,-427.00M,1.088B,,2011-07,AOR,Restated
2011-04,449.00M,449.00M,604.00M,,604.00M,270.00M,369.00M,639.00M,,150.00M,1.842B,,,,,,,,,2.06B,2.147B,537.00M,2.684B,,,,114.00M,4.858B,6.70B,,94.00M,74.00M,599.00M,564.00M,1.163B,,,,,674.00M,,674.00M,,,,1.837B,2.431B,,2.431B,352.00M,352.00M,,1.009B,3.792B,5.629B,,2011-04,335.00M,8.04B,,,-433.00M,1.062B,,2011-04,AOR,Restated
2011-01,325.00M,325.00M,712.00M,,712.00M,285.00M,418.00M,703.00M,,174.00M,1.914B,,,,,,,,,2.018B,2.015B,520.00M,2.535B,,,,113.00M,4.666B,6.58B,,97.00M,23.00M,658.00M,573.00M,1.231B,,,,,1.184B,,1.184B,,,,2.415B,1.937B,,1.937B,347.00M,347.00M,,989.00M,3.273B,5.688B,,2011-01,316.00M,7.939B,,,-595.00M,889.00M,,2011-01,AOR,Restated
2010-10,291.00M,291.00M,805.00M,,805.00M,320.00M,518.00M,838.00M,,190.00M,2.124B,,,,,,,,,2.042B,2.016B,522.00M,2.538B,,,,114.00M,4.694B,6.818B,,94.00M,101.00M,772.00M,573.00M,1.345B,,,,,1.134B,,1.134B,,,,2.479B,1.946B,,1.946B,300.00M,300.00M,,989.00M,3.235B,5.714B,,2010-10,294.00M,7.545B,,,-613.00M,1.101B,,2010-10,AOR,Restated
2010-07,254.00M,254.00M,466.00M,46.00M,512.00M,261.00M,463.00M,724.00M,128.00M,53.00M,1.687B,0.00,61.00M,1.182B,3.651B,,149.00M,5.043B,-2.992B,2.051B,1.919B,509.00M,2.428B,,34.00M,21.00M,55.00M,4.589B,6.276B,,95.00M,30.00M,670.00M,329.00M,999.00M,,96.00M,,738.00M,834.00M,1.00M,835.00M,,,2.00M,2.065B,1.945B,,1.945B,258.00M,407.00M,832.00M,76.00M,3.282B,5.347B,,2010-07,341.00M,7.459B,,,-736.00M,926.00M,,2010-07,AOR,Restated
2010-04,80.00M,80.00M,543.00M,,543.00M,226.00M,413.00M,639.00M,,169.00M,1.431B,,,,,1.995B,,1.995B,,1.995B,1.945B,512.00M,2.457B,,,,103.00M,4.555B,5.986B,,95.00M,76.00M,601.00M,568.00M,1.169B,,,,,945.00M,,945.00M,,,,2.114B,1.542B,,1.542B,297.00M,297.00M,,937.00M,2.776B,4.89B,,2010-04,328.00M,7.377B,,,-620.00M,1.093B,,2010-04,AOR,Restated
2010-01,113.00M,113.00M,679.00M,,679.00M,250.00M,450.00M,700.00M,,140.00M,1.632B,,,,,1.969B,,1.969B,,1.969B,1.926B,516.00M,2.442B,,,,109.00M,4.52B,6.152B,,96.00M,49.00M,657.00M,576.00M,1.233B,,,,,400.00M,,400.00M,,,,1.633B,2.25B,,2.25B,289.00M,289.00M,,954.00M,3.493B,5.126B,,2010-01,311.00M,7.321B,,,-655.00M,1.023B,,2010-01,AOR,Restated
2009-10,76.00M,76.00M,790.00M,,790.00M,320.00M,519.00M,839.00M,,147.00M,1.852B,,,,,1.985B,,1.985B,,1.985B,1.966B,528.00M,2.494B,,,,100.00M,4.579B,6.431B,,88.00M,88.00M,770.00M,558.00M,1.328B,,,,,656.00M,,656.00M,,,,1.984B,2.249B,,2.249B,287.00M,287.00M,,956.00M,3.492B,5.476B,,2009-10,291.00M,7.232B,,,-632.00M,952.00M,,2009-10,AOR,Restated
2009-07,51.00M,51.00M,466.00M,62.00M,528.00M,324.00M,500.00M,824.00M,100.00M,38.00M,1.551B,0.00,59.00M,1.111B,3.481B,,242.00M,4.893B,-2.916B,1.977B,1.901B,522.00M,2.423B,,25.00M,24.00M,56.00M,4.505B,6.056B,,88.00M,14.00M,671.00M,324.00M,995.00M,,350.00M,,28.00M,378.00M,,378.00M,,,19.00M,1.628B,2.243B,3.00M,2.246B,237.00M,379.00M,969.00M,84.00M,3.697B,5.325B,,2009-07,332.00M,7.194B,,,-718.00M,728.00M,,2009-07,AOR,Restated
2009-04,61.00M,61.00M,518.00M,,518.00M,282.00M,438.00M,720.00M,,149.00M,1.448B,,,,,1.812B,,1.812B,,1.812B,1.74B,552.00M,2.292B,,,,290.00M,4.394B,5.842B,,89.00M,14.00M,532.00M,473.00M,1.005B,628.00M,,,,628.00M,,628.00M,,,,1.633B,1.954B,,1.954B,,,,1.125B,3.079B,4.712B,,2009-04,316.00M,7.079B,,,-434.00M,1.13B,,2009-04,AOR,Restated
2009-01,80.00M,80.00M,658.00M,,658.00M,279.00M,472.00M,751.00M,,149.00M,1.638B,,,,,,,4.587B,-2.827B,1.76B,1.646B,543.00M,2.189B,,,,324.00M,4.273B,5.911B,,,,504.00M,517.00M,1.021B,754.00M,,,,754.00M,,754.00M,,,90.00M,1.865B,1.957B,,1.957B,381.00M,381.00M,,671.00M,3.009B,4.874B,,2009-01,303.00M,6.972B,,,-535.00M,1.037B,,2009-01,,Restated
2008-10,63.00M,63.00M,784.00M,,784.00M,350.00M,546.00M,896.00M,,173.00M,1.916B,,,,,,,4.603B,-2.827B,1.776B,1.669B,548.00M,2.217B,,,,287.00M,4.28B,6.196B,,,,677.00M,550.00M,1.227B,1.121B,,,,1.121B,,1.121B,,,91.00M,2.439B,1.635B,,1.635B,,,,1.051B,2.686B,5.125B,,2008-10,285.00M,6.804B,,,-508.00M,1.071B,,2008-10,,Restated
2008-07,81.00M,81.00M,570.00M,,570.00M,320.00M,509.00M,829.00M,,172.00M,1.693B,0.00,63.00M,1.103B,3.415B,,185.00M,4.766B,-2.827B,1.939B,1.998B,605.00M,2.603B,,,,239.00M,4.781B,6.474B,,81.00M,9.00M,745.00M,655.00M,1.40B,,661.00M,21.00M,300.00M,982.00M,,982.00M,,,21.00M,2.403B,1.633B,,1.633B,,,,1.119B,2.753B,5.156B,,2008-07,337.00M,6.812B,,,-136.00M,1.318B,,2008-07,,Restated
