,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,InvestmentWriteOff,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2016-03,2.126B,2.126B,1.686B,440.00M,,194.00M,194.00M,,,,-3.282B,,159.00M,,-164.00M,464.00M,658.00M,-218.00M,,159.00M,-164.00M,-3.303B,-164.00M,-3.685B,-217.00M,-3.468B,,,412.00M,,-3.056B,29.08M,-2.984B,542.00M,-3.526B,,-6.44,,,0.0686,-6.44,,-6.44,,,0.0686,-6.44,,474.00M,474.00M,0.24,,AOR,Restated
2015-12,2.886B,2.886B,5.18B,-2.294B,,532.00M,532.00M,,,,-2.253B,,146.00M,,-141.00M,-1.153B,-621.00M,-1.673B,,146.00M,-141.00M,-2.318B,-141.00M,-4.132B,-778.00M,-3.354B,,,380.00M,,-2.974B,-1.145B,-2.452B,1.534B,-3.986B,,-11.12,,,-6.660,-11.12,,-11.12,,,-6.660,-11.12,,410.00M,410.00M,0.24,,AOR,Restated
2015-09,3.601B,3.601B,2.472B,1.129B,,198.00M,198.00M,,,,-5.851B,,130.00M,2.00M,-136.00M,524.00M,722.00M,407.00M,2.00M,130.00M,-136.00M,-5.894B,-136.00M,-5.623B,-1.714B,-3.909B,,,402.00M,,-3.507B,588.70M,-4.749B,744.00M,-5.493B,,-8.64,,,1.448,-8.64,,-8.64,,,1.448,-8.64,,406.00M,406.00M,0.24,,AOR,Restated
2015-06,3.393B,3.393B,2.793B,600.00M,,212.00M,212.00M,,,,-4.168B,,121.00M,1.00M,-125.00M,583.00M,795.00M,-195.00M,1.00M,121.00M,-125.00M,-4.159B,-125.00M,-4.479B,-1.686B,-2.793B,,,-23.00M,,-2.816B,-231.84M,-3.544B,814.00M,-4.358B,,-6.94,,,-0.5751,-6.94,,-6.94,,,-0.5751,-6.94,,406.00M,406.00M,0.24,,AOR,Restated
2015-03,3.265B,3.265B,2.477B,788.00M,,251.00M,251.00M,,,,-5.46B,,116.00M,2.00M,-117.00M,572.00M,823.00M,-35.00M,2.00M,116.00M,-117.00M,-5.472B,-117.00M,-5.624B,-2.035B,-3.589B,,,-10.00M,,-3.599B,-104.60M,-4.578B,930.00M,-5.508B,,-8.88,,,-0.2731,-8.88,,-8.88,,,-0.2731,-8.88,,406.00M,406.00M,0.24,,AOR,Restated
2014-12,5.995B,5.995B,2.741B,3.254B,,252.00M,252.00M,,,,-2.003B,,131.00M,,-119.00M,587.00M,839.00M,2.415B,,131.00M,-119.00M,-2.005B,-119.00M,291.00M,670.00M,-379.00M,,,-29.00M,,-408.00M,893.95M,1.332B,910.00M,422.00M,,0.00,-1.01,,3.191,-1.01,,-1.01,-1.01,,2.165,-1.01,,408.00M,410.00M,0.24,,AOR,Restated
2014-09,5.336B,5.336B,2.763B,2.573B,,195.00M,195.00M,,,,-2.00M,,112.00M,2.00M,-116.00M,602.00M,797.00M,1.776B,2.00M,112.00M,-116.00M,-6.00M,-116.00M,1.654B,613.00M,1.041B,,,-25.00M,,1.016B,1.017B,2.608B,842.00M,1.766B,,2.48,,,2.483,2.48,,2.47,,,2.473,2.47,,405.00M,407.00M,0.24,,AOR,Restated
2014-06,4.51B,4.51B,2.984B,1.526B,,189.00M,189.00M,,,,1.052B,,122.00M,2.00M,-131.00M,615.00M,804.00M,722.00M,2.00M,122.00M,-131.00M,963.00M,-131.00M,1.554B,854.00M,700.00M,,,-25.00M,,675.00M,-8.80M,2.504B,828.00M,1.676B,,1.65,,,-0.0426,1.65,,1.64,,,-0.0442,1.64,,404.00M,406.00M,0.24,,AOR,Restated
2014-03,3.725B,3.725B,2.181B,1.544B,,211.00M,211.00M,,,,-22.00M,,109.00M,3.00M,-112.00M,621.00M,832.00M,712.00M,3.00M,109.00M,-112.00M,-40.00M,-112.00M,560.00M,231.00M,329.00M,,,-5.00M,,324.00M,338.30M,1.408B,739.00M,669.00M,,0.80,,,0.8355,0.80,,0.79,,,0.8253,0.79,,403.00M,405.00M,0.22,,AOR,Restated
2013-12,2.624B,2.624B,1.244B,1.38B,,157.00M,157.00M,,,,-18.00M,,98.00M,4.00M,-111.00M,614.00M,771.00M,609.00M,4.00M,98.00M,-111.00M,-23.00M,-111.00M,475.00M,268.00M,207.00M,,,,,207.00M,218.70M,1.284B,711.00M,573.00M,,0.51,0.00,,0.5391,0.51,,0.51,0.00,,0.5391,0.51,,402.00M,402.00M,0.22,,AOR,Restated
2013-09,2.714B,2.714B,1.189B,1.525B,,143.00M,143.00M,,,,-22.00M,,101.00M,4.00M,-100.00M,627.00M,770.00M,755.00M,4.00M,101.00M,-100.00M,-16.00M,-100.00M,639.00M,210.00M,429.00M,,,0.00,,429.00M,443.74M,1.431B,691.00M,740.00M,,1.06,,,1.097,1.06,,1.05,,,1.087,1.05,,402.00M,403.00M,0.22,,AOR,Restated
2013-06,3.088B,3.088B,1.181B,1.907B,,167.00M,167.00M,,,,-49.00M,,104.00M,5.00M,-103.00M,591.00M,758.00M,1.149B,5.00M,104.00M,-103.00M,-49.00M,-103.00M,997.00M,314.00M,683.00M,,,0.00,,683.00M,716.32M,1.775B,674.00M,1.101B,,1.69,,,1.773,1.69,,1.68,,,1.763,1.68,,402.00M,403.00M,0.22,,AOR,Restated
2013-03,1.971B,1.971B,1.18B,791.00M,,150.00M,150.00M,,,,-1.951B,,107.00M,7.00M,-103.00M,547.00M,697.00M,94.00M,7.00M,107.00M,-103.00M,-1.953B,-103.00M,-1.962B,-623.00M,-1.339B,,,0.00,,-1.339B,-12.32M,-1.151B,704.00M,-1.855B,,-3.34,,,-0.0398,-3.34,,-3.34,,,-0.0398,-3.34,,402.00M,402.00M,0.20,,AOR,Restated
2012-12,2.58B,2.58B,1.544B,1.036B,,198.00M,198.00M,,,,-957.00M,,106.00M,12.00M,-98.00M,557.00M,449.00M,587.00M,12.00M,106.00M,-98.00M,-990.00M,-98.00M,-501.00M,-144.00M,-357.00M,0.00,,,,-357.00M,324.93M,336.00M,731.00M,-395.00M,,-0.89,0.00,,0.8148,-0.89,,-0.89,0.00,,0.8148,-0.89,,400.00M,400.00M,0.20,,AOR,Restated
2012-09,1.865B,1.865B,1.029B,836.00M,,150.00M,150.00M,,,,-1.128B,104.00M,108.00M,8.00M,-102.00M,540.00M,794.00M,42.00M,8.00M,108.00M,-102.00M,-1.101B,-102.00M,-1.161B,-442.00M,-719.00M,0.00,,,,-719.00M,-21.50M,-337.00M,716.00M,-1.053B,,-1.80,0.00,,-0.0562,-1.80,,-1.80,0.00,,-0.0562,-1.80,,400.00M,400.00M,0.20,,AOR,Restated
2012-06,2.559B,2.559B,893.00M,1.666B,,176.00M,176.00M,,,,0.00,100.00M,95.00M,9.00M,-90.00M,541.00M,817.00M,849.00M,9.00M,95.00M,-90.00M,-25.00M,-90.00M,734.00M,257.00M,477.00M,0.00,,,,477.00M,490.00M,1.513B,684.00M,829.00M,,1.18,0.00,,1.212,1.18,,1.18,0.00,,1.212,1.18,,400.00M,400.00M,0.20,,AOR,Restated
2012-03,2.497B,2.497B,1.005B,1.492B,,168.00M,168.00M,,,,0.00,102.00M,83.00M,7.00M,-80.00M,541.00M,811.00M,681.00M,7.00M,83.00M,-80.00M,10.00M,-80.00M,611.00M,197.00M,414.00M,-21.00M,,,,393.00M,411.28M,1.374B,680.00M,694.00M,,1.03,-0.06,,1.023,0.97,,1.03,-0.06,,1.023,0.97,,400.00M,401.00M,0.20,,AOR,Restated
2011-12,3.562B,3.562B,1.732B,1.83B,,,182.00M,,,,88.00M,,72.00M,,-61.00M,,64.00M,1.766B,,72.00M,-61.00M,-911.00M,-61.00M,794.00M,273.00M,521.00M,-14.00M,,,,507.00M,463.26M,1.492B,626.00M,866.00M,,1.29,0.03,,1.145,1.32,,1.28,0.03,,1.136,1.32,,397.00M,402.00M,0.17,,AOR,Restated
2011-09,2.764B,2.764B,990.00M,1.774B,,,138.00M,,,,-58.00M,108.00M,104.00M,,-104.00M,,812.00M,962.00M,,104.00M,-104.00M,680.00M,-104.00M,1.538B,498.00M,1.04B,-2.00M,,,,1.038B,580.18M,2.208B,566.00M,1.642B,,2.51,0.00,,1.388,2.51,,2.50,0.00,,1.381,2.50,,410.00M,411.00M,0.17,,AOR,Restated
2011-06,2.804B,2.804B,909.00M,1.895B,,,135.00M,,,,-43.00M,120.00M,85.00M,,-85.00M,,805.00M,1.09B,,85.00M,-85.00M,373.00M,-85.00M,1.378B,1.194B,184.00M,2.559B,,,,2.743B,-58.45M,2.013B,550.00M,1.463B,,0.44,6.06,,-0.1414,6.50,,0.43,6.05,,-0.1486,6.48,,417.00M,419.00M,0.17,,AOR,Restated
2011-03,2.315B,2.315B,757.00M,1.558B,,,130.00M,,,,15.00M,108.00M,81.00M,,-81.00M,,744.00M,814.00M,,81.00M,-81.00M,-153.00M,-81.00M,580.00M,191.00M,389.00M,27.00M,,,,416.00M,491.62M,1.167B,506.00M,661.00M,,0.91,0.06,,1.153,0.97,,0.91,0.06,,1.151,0.97,,423.00M,425.00M,0.16,,AOR,Restated
2010-12,3.009B,3.009B,1.003B,2.006B,,,164.00M,,,,-55.00M,92.00M,-69.00M,,70.00M,1.71B,525.00M,1.481B,,-69.00M,70.00M,-812.00M,70.00M,668.00M,190.00M,478.00M,84.00M,,,,562.00M,1.128B,1.088B,489.00M,599.00M,,1.11,0.22,,2.557,1.33,,1.11,0.21,,2.557,1.32,,449.00M,449.00M,0.16,,AOR,Restated
2010-09,2.144B,2.144B,751.00M,1.393B,,,131.00M,,,,-54.00M,95.00M,139.00M,,-139.00M,21.00M,710.00M,683.00M,,139.00M,-139.00M,134.00M,-139.00M,699.00M,270.00M,429.00M,1.661B,,,,2.09B,333.87M,1.301B,463.00M,838.00M,,0.99,3.82,,0.7688,4.81,,0.98,3.81,,0.7593,4.79,,430.00M,431.00M,0.16,,AOR,Restated
2010-06,2.187B,2.187B,722.00M,1.465B,,,130.00M,,,,30.00M,92.00M,192.00M,,-192.00M,24.00M,735.00M,730.00M,,192.00M,-192.00M,75.00M,-192.00M,613.00M,261.00M,352.00M,354.00M,,,,706.00M,303.25M,1.294B,489.00M,805.00M,,0.79,0.80,,0.6792,1.59,,0.79,0.79,,0.6795,1.58,,440.00M,441.00M,0.16,,AOR,Restated
2010-03,2.60B,2.60B,811.00M,1.789B,,,138.00M,,,,4.00M,101.00M,71.00M,,-71.00M,26.00M,754.00M,1.035B,,71.00M,-71.00M,624.00M,-71.00M,1.588B,514.00M,1.074B,118.00M,,,,1.192B,651.97M,2.148B,489.00M,1.659B,,2.40,0.27,,1.443,2.67,,2.39,0.27,,1.437,2.66,,441.00M,443.00M,0.16,,AOR,Restated
2009-12,2.061B,2.061B,731.00M,1.33B,,,176.00M,,,,-126.00M,65.00M,-20.00M,,28.00M,23.00M,750.00M,580.00M,,-20.00M,28.00M,167.00M,28.00M,866.00M,309.00M,557.00M,110.00M,,,,667.00M,638.04M,1.332B,486.00M,846.00M,,1.26,0.25,,1.437,1.51,,1.26,0.25,,1.437,1.51,,459.00M,459.00M,0.16,,AOR,Restated
2009-09,1.848B,1.848B,657.00M,1.191B,,,136.00M,,,,97.00M,81.00M,90.00M,,-90.00M,22.00M,727.00M,464.00M,,90.00M,-90.00M,97.00M,-90.00M,471.00M,89.00M,382.00M,117.00M,,,,499.00M,303.33M,1.049B,488.00M,561.00M,,0.86,0.27,,0.6808,1.13,,0.86,0.26,,0.6816,1.12,,439.00M,441.00M,0.16,,AOR,Restated
2009-06,1.822B,1.822B,640.00M,1.182B,,,173.00M,,,,-14.00M,79.00M,90.00M,,-90.00M,23.00M,779.00M,403.00M,,90.00M,-90.00M,-14.00M,-90.00M,299.00M,109.00M,190.00M,124.00M,,,,314.00M,198.90M,893.00M,504.00M,389.00M,,0.43,0.28,,0.4503,0.71,,0.42,0.28,,0.4402,0.70,,439.00M,441.00M,0.16,,AOR,Restated
2009-03,1.746B,1.90B,664.00M,1.236B,,,163.00M,,,,-23.00M,89.00M,83.00M,,-83.00M,6.41B,7.292B,-6.056B,,83.00M,-83.00M,-23.00M,-83.00M,-6.162B,-2.28B,-3.882B,-77.00M,,,,-3.959B,-3.868B,-5.449B,630.00M,-6.079B,,-8.74,-0.18,,-8.707,-8.92,,-8.74,-0.18,,-8.707,-8.92,,439.00M,439.00M,0.16,,AOR,Restated
2008-12,1.511B,1.357B,479.00M,878.00M,,,171.00M,,,,-179.00M,14.00M,68.00M,,-14.00M,9.811B,10.73B,-9.855B,,68.00M,-14.00M,-179.00M,-14.00M,-10.05B,-3.255B,-6.793B,-23.00M,,,0.00,-6.816B,-6.672B,-9.243B,737.00M,-9.98B,,-15.31,-0.04,,-15.03,-15.35,,-15.31,-0.04,,-15.03,-15.35,,436.00M,436.00M,0.16,,,Restated
2008-09,5.978B,5.978B,1.043B,4.935B,,,146.00M,,,,37.00M,152.00M,69.00M,,-69.00M,22.00M,1.168B,3.767B,,69.00M,-69.00M,37.00M,-69.00M,3.735B,1.226B,2.509B,109.00M,,,,2.618B,2.484B,4.652B,848.00M,3.804B,,5.68,0.25,,5.623,5.93,,5.64,0.24,,5.584,5.88,,438.00M,441.00M,0.16,,,Restated
2008-06,3.548B,3.548B,1.052B,2.496B,,,180.00M,,,,57.00M,176.00M,90.00M,,-90.00M,22.00M,1.202B,1.294B,,90.00M,-90.00M,57.00M,-90.00M,1.261B,667.00M,594.00M,707.00M,,,3.00M,1.301B,556.95M,2.175B,824.00M,1.351B,,1.33,1.58,,1.246,2.91,,1.31,1.57,,1.227,2.88,,442.00M,446.00M,0.16,,,Restated
2008-03,2.975B,2.975B,888.00M,2.087B,,,148.00M,,,,-39.00M,134.00M,,,,-950.00M,126.00M,1.961B,,,,-39.00M,,892.00M,241.00M,651.00M,98.00M,,,2.00M,749.00M,679.46M,2.755B,794.00M,1.961B,,1.46,0.22,,1.524,1.68,,1.44,0.22,,1.503,1.66,,445.00M,449.00M,0.16,,,
2007-12,3.197B,3.197B,1.729B,1.468B,,,-781.00M,,,,-176.00M,85.00M,,,,,79.00M,1.389B,,,,-176.00M,,1.271B,167.00M,1.104B,212.00M,,,3.00M,1.316B,1.257B,2.164B,775.00M,1.389B,,2.48,0.47,,2.824,2.95,,2.45,0.47,,2.790,2.93,,445.00M,450.00M,0.14,,,
2007-09,2.763B,2.763B,457.00M,2.306B,,,424.00M,,,,28.00M,85.00M,,,,,1.265B,1.041B,,,,28.00M,,961.00M,317.00M,644.00M,91.00M,,,2.00M,735.00M,625.24M,1.797B,756.00M,1.041B,,1.45,0.20,,1.408,1.65,,1.43,0.20,,1.388,1.63,,445.00M,450.00M,0.14,,,
2007-06,2.929B,2.929B,780.00M,2.149B,,,113.00M,,,,-27.00M,90.00M,,,,,897.00M,1.252B,,,,-27.00M,,1.154B,330.00M,824.00M,80.00M,,,3.00M,904.00M,843.28M,1.946B,694.00M,1.252B,,1.84,0.18,,1.883,2.02,,1.82,0.18,,1.863,2.00,,446.00M,450.00M,0.14,,,
2007-03,2.473B,2.473B,700.00M,1.773B,,,119.00M,,,,-11.00M,80.00M,,,,-1.016B,-184.00M,1.957B,,,,-11.00M,,838.00M,264.00M,574.00M,77.00M,,,2.00M,651.00M,581.53M,2.59B,633.00M,1.957B,,1.29,0.17,,1.307,1.46,,1.27,0.17,,1.287,1.44,,444.00M,450.00M,0.14,,,
2006-12,2.418B,2.418B,1.625B,793.00M,,,-963.00M,,,,-415.00M,80.00M,,,,,-259.00M,1.052B,,,,-415.00M,,714.00M,212.00M,502.00M,-2.052B,,,3.00M,-1.55B,793.78M,1.676B,435.00M,1.052B,,1.13,0.18,,1.786,1.31,,1.11,0.18,,1.757,1.29,,445.00M,451.00M,0.1125,,,
2006-09,2.499B,2.499B,363.00M,2.136B,,,459.00M,,,,28.00M,92.00M,,,,,1.141B,995.00M,,,,28.00M,,911.00M,258.00M,653.00M,52.00M,,,2.00M,705.00M,632.93M,1.643B,648.00M,995.00M,,1.47,0.12,,1.424,1.59,,1.45,0.12,,1.405,1.57,,441.00M,447.00M,0.1125,,,
2006-06,2.35B,2.35B,627.00M,1.723B,,,90.00M,,,,-88.00M,86.00M,,,,,709.00M,1.014B,,,,-88.00M,,865.00M,102.00M,763.00M,96.00M,,,3.00M,859.00M,840.62M,1.678B,664.00M,1.014B,,1.73,0.21,,1.906,1.94,,1.71,0.21,,1.884,1.92,,440.00M,446.00M,0.1125,,,
2006-03,2.50B,2.50B,669.00M,1.831B,,,90.00M,,,,-3.00M,83.00M,,,,,657.00M,1.174B,,,,-3.00M,,1.08B,364.00M,716.00M,-16.00M,,,2.00M,700.00M,717.99M,1.658B,484.00M,1.174B,,1.61,-0.03,,1.614,1.58,,1.59,-0.03,,1.594,1.56,,442.00M,449.00M,0.1125,,,
2005-12,2.504B,2.504B,1.581B,923.00M,,,-836.00M,,,,-139.00M,101.00M,,,,,-458.00M,1.381B,,,,-139.00M,,1.316B,379.00M,937.00M,,,,3.00M,970.00M,1.036B,1.66B,279.00M,1.381B,,2.09,0.07,,2.313,2.16,,2.04,0.07,,2.252,2.11,,443.00M,467.00M,0.075,,,
2005-09,2.704B,2.704B,319.00M,2.385B,,,364.00M,,,,-104.00M,81.00M,,,,,978.00M,1.407B,,,,-104.00M,,1.139B,395.00M,744.00M,,,,2.00M,744.00M,811.93M,1.94B,533.00M,1.407B,,1.66,0.00,,1.812,1.66,,1.63,0.00,,1.780,1.63,,446.00M,454.00M,0.075,,,
2005-06,2.468B,2.468B,634.00M,1.834B,,,78.00M,,,,-1.00M,75.00M,,,,,688.00M,1.146B,,,,-1.00M,,1.01B,357.00M,653.00M,,,,3.00M,653.00M,653.65M,1.681B,533.00M,1.146B,,1.40,0.00,,1.401,1.40,,1.38,0.00,,1.381,1.38,,464.00M,471.00M,0.075,,,
