,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,NetIncome,NormalizedIncome,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,SharesData(Quarterly),AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,SECFilingLinks,AsOriginallyReported,Restated
2018-03,16.07B,16.07B,6.335B,9.731B,,1.90B,3.311B,50.00M,17.00M,-17.00M,112.00M,91.00M,-21.00M,5.261B,4.47B,91.00M,112.00M,-21.00M,562.00M,-21.00M,5.011B,557.00M,4.454B,4.454B,3.882B,5.123B,,2018-03,0.95,,,2018-03,0.93,,0.8107,2018-03,4.674B,4.79B,2018-03,AOR,Restated
2017-12,17.05B,17.05B,6.275B,10.78B,,1.842B,3.253B,53.00M,220.00M,-415.00M,153.00M,92.00M,-61.00M,5.148B,5.63B,92.00M,153.00M,-61.00M,466.00M,-61.00M,6.035B,6.722B,-687.00M,-687.00M,-1.219B,6.188B,,2017-12,-0.15,,,2017-12,-0.15,,-0.2610,2017-12,4.683B,4.793B,2017-12,AOR,Restated
2017-09,16.15B,16.15B,6.085B,10.06B,,1.661B,3.209B,49.00M,10.00M,-14.00M,191.00M,137.00M,-54.00M,4.919B,5.145B,137.00M,191.00M,-54.00M,839.00M,-54.00M,5.93B,1.414B,4.516B,4.516B,3.791B,6.121B,,2017-09,0.96,,,2017-09,0.94,,0.7895,2017-09,4.688B,4.821B,2017-09,AOR,Restated
2017-06,14.76B,14.76B,5.667B,9.096B,,1.85B,3.262B,37.00M,555.00M,-660.00M,156.00M,136.00M,-20.00M,5.149B,3.947B,136.00M,156.00M,-20.00M,645.00M,-20.00M,4.572B,1.764B,2.808B,2.808B,2.658B,4.728B,,2017-06,0.60,,,2017-06,0.58,,0.5490,2017-06,4.71B,4.845B,2017-06,AOR,Restated
2017-03,14.80B,14.80B,5.636B,9.16B,,2.099B,3.311B,38.00M,48.00M,-128.00M,146.00M,76.00M,-70.00M,5.448B,3.712B,76.00M,146.00M,-70.00M,173.00M,-70.00M,3.815B,851.00M,2.964B,2.964B,2.822B,3.961B,,2017-03,0.63,,,2017-03,0.61,,0.5809,2017-03,4.723B,4.881B,2017-03,AOR,Restated
2016-12,16.37B,16.37B,6.227B,10.15B,,2.138B,3.225B,41.00M,50.00M,-8.00M,158.00M,63.00M,-95.00M,5.404B,4.743B,63.00M,158.00M,-95.00M,-208.00M,-95.00M,4.44B,878.00M,3.562B,3.562B,3.538B,4.598B,,2016-12,0.75,,,2016-12,0.73,,0.7251,2016-12,4.736B,4.884B,2016-12,AOR,Restated
2016-09,15.78B,15.78B,5.795B,9.983B,,2.006B,3.069B,74.00M,48.00M,-420.00M,180.00M,56.00M,-124.00M,5.149B,4.834B,56.00M,180.00M,-124.00M,-392.00M,-124.00M,4.318B,940.00M,3.378B,3.378B,3.670B,4.498B,,2016-09,0.71,,,2016-09,0.69,,0.7500,2016-09,4.734B,4.877B,2016-09,AOR,Restated
2016-06,13.53B,13.53B,5.56B,7.973B,,2.007B,3.145B,89.00M,60.00M,-1.474B,187.00M,51.00M,-136.00M,5.241B,2.732B,51.00M,187.00M,-136.00M,-926.00M,-136.00M,1.67B,340.00M,1.33B,1.33B,2.066B,1.857B,,2016-06,0.28,,,2016-06,0.27,,0.4212,2016-06,4.729B,4.866B,2016-06,AOR,Restated
2016-03,13.70B,13.70B,5.572B,8.13B,,2.226B,3.246B,90.00M,29.00M,-29.00M,208.00M,52.00M,-156.00M,5.562B,2.568B,52.00M,208.00M,-156.00M,96.00M,-156.00M,2.508B,462.00M,2.046B,2.046B,2.022B,2.716B,,2016-03,0.43,,,2016-03,0.42,,0.4150,2016-03,4.722B,4.875B,2016-03,AOR,Restated
2015-12,14.91B,14.91B,5.324B,9.59B,,2.118B,3.119B,67.00M,78.00M,-65.00M,126.00M,33.00M,-93.00M,5.304B,4.286B,33.00M,126.00M,-93.00M,110.00M,-93.00M,4.303B,690.00M,3.613B,3.613B,3.575B,4.429B,,2015-12,0.77,,,2015-12,0.74,,0.7323,2015-12,4.721B,4.876B,2015-12,AOR,Restated
2015-09,14.46B,14.46B,5.354B,9.111B,,1.91B,2.927B,68.00M,28.00M,-42.00M,116.00M,31.00M,-85.00M,4.905B,4.206B,31.00M,116.00M,-85.00M,132.00M,-85.00M,4.253B,1.144B,3.109B,3.109B,2.983B,4.369B,,2015-09,0.65,,,2015-09,0.64,,0.6141,2015-09,4.747B,4.876B,2015-09,AOR,Restated
2015-06,13.20B,13.20B,4.947B,8.248B,,1.949B,3.087B,68.00M,41.00M,-289.00M,53.00M,28.00M,-25.00M,5.104B,3.144B,28.00M,53.00M,-25.00M,-136.00M,-25.00M,2.983B,277.00M,2.706B,2.706B,2.830B,3.036B,,2015-06,0.57,,,2015-06,0.55,,0.5753,2015-06,4.759B,4.909B,2015-06,AOR,Restated
2015-03,12.78B,12.78B,5.051B,7.73B,,1.953B,2.995B,62.00M,38.00M,-143.00M,42.00M,32.00M,-10.00M,5.01B,2.72B,32.00M,42.00M,-10.00M,-37.00M,-10.00M,2.673B,681.00M,1.992B,1.992B,2.011B,2.715B,,2015-03,0.42,,,2015-03,0.41,,0.4138,2015-03,4.741B,4.914B,2015-03,AOR,Restated
2014-12,14.72B,14.72B,5.10B,9.621B,,2.049B,2.99B,72.00M,38.00M,-95.00M,53.00M,33.00M,-20.00M,5.111B,4.51B,33.00M,53.00M,-20.00M,169.00M,-20.00M,4.659B,998.00M,3.661B,3.661B,3.501B,4.712B,,2014-12,0.77,,,2014-12,0.74,,0.7077,2014-12,4.769B,4.939B,2014-12,AOR,Restated
2014-09,14.55B,14.55B,5.096B,9.458B,,1.979B,2.842B,77.00M,33.00M,-53.00M,53.00M,35.00M,-18.00M,4.898B,4.56B,35.00M,53.00M,-18.00M,8.00M,-18.00M,4.55B,1.233B,3.317B,3.317B,3.294B,4.603B,,2014-09,0.68,,,2014-09,0.66,,0.6554,2014-09,4.88B,5.045B,2014-09,AOR,Restated
2014-06,13.83B,13.83B,4.914B,8.917B,,2.061B,2.859B,72.00M,37.00M,-118.00M,49.00M,38.00M,-11.00M,4.992B,3.925B,38.00M,49.00M,-11.00M,8.00M,-11.00M,3.922B,1.126B,2.796B,2.796B,2.776B,3.971B,,2014-06,0.56,,,2014-06,0.55,,0.5461,2014-06,4.981B,5.123B,2014-06,AOR,Restated
2014-03,12.76B,12.76B,5.151B,7.613B,,2.047B,2.846B,73.00M,38.00M,-175.00M,37.00M,35.00M,-2.00M,4.966B,2.647B,35.00M,37.00M,-2.00M,25.00M,-2.00M,2.67B,740.00M,1.93B,1.93B,1.986B,2.707B,,2014-03,0.39,,,2014-03,0.38,,0.3910,2014-03,4.974B,5.117B,2014-03,AOR,Restated
2013-12,13.83B,13.83B,5.263B,8.571B,,2.006B,2.826B,74.00M,13.00M,-129.00M,55.00M,31.00M,-24.00M,4.906B,3.665B,31.00M,55.00M,-24.00M,-90.00M,-24.00M,3.551B,926.00M,2.625B,2.625B,2.676B,3.606B,,2013-12,0.53,,,2013-12,0.51,,0.5200,2013-12,4.973B,5.103B,2013-12,AOR,Restated
2013-09,13.48B,13.48B,5.069B,8.414B,,1.97B,2.742B,74.00M,33.00M,-157.00M,56.00M,24.00M,-32.00M,4.786B,3.628B,24.00M,56.00M,-32.00M,328.00M,-32.00M,3.924B,974.00M,2.95B,2.95B,2.693B,3.98B,,2013-09,0.59,,,2013-09,0.58,,0.5296,2013-09,4.981B,5.10B,2013-09,AOR,Restated
2013-06,12.81B,12.81B,5.341B,7.47B,,2.165B,2.516B,70.00M,60.00M,-60.00M,60.00M,26.00M,-34.00M,4.751B,2.719B,26.00M,60.00M,-34.00M,8.00M,-34.00M,2.693B,693.00M,2.00B,2.00B,1.978B,2.753B,,2013-06,0.40,,,2013-06,0.39,,0.3856,2013-06,4.978B,5.106B,2013-06,AOR,Restated
2013-03,12.58B,12.58B,5.514B,7.066B,,1.947B,2.527B,73.00M,17.00M,-17.00M,73.00M,23.00M,-50.00M,4.547B,2.519B,23.00M,73.00M,-50.00M,-26.00M,-50.00M,2.443B,398.00M,2.045B,2.045B,2.048B,2.516B,,2013-03,0.41,,,2013-03,0.40,,0.4005,2013-03,4.948B,5.08B,2013-03,AOR,Restated
2012-12,13.48B,13.48B,5.66B,7.817B,,1.958B,2.629B,75.00M,26.00M,-26.00M,24.00M,21.00M,-3.00M,4.662B,3.155B,21.00M,24.00M,-3.00M,52.00M,-3.00M,3.204B,736.00M,2.468B,2.468B,2.409B,3.228B,,2012-12,0.50,,,2012-12,0.48,,0.4685,2012-12,4.966B,5.097B,2012-12,AOR,Restated
2012-09,13.46B,13.46B,4.942B,8.515B,,1.995B,2.605B,74.00M,19.00M,-19.00M,14.00M,23.00M,9.00M,4.674B,3.841B,23.00M,14.00M,9.00M,71.00M,9.00M,3.921B,949.00M,2.972B,2.972B,2.909B,3.935B,,2012-09,0.59,,,2012-09,0.58,,0.5678,2012-09,4.996B,5.153B,2012-09,AOR,Restated
2012-06,13.50B,13.50B,4.947B,8.554B,,2.131B,2.513B,78.00M,50.00M,-50.00M,21.00M,25.00M,4.00M,4.722B,3.832B,25.00M,21.00M,4.00M,98.00M,4.00M,3.934B,1.107B,2.827B,2.827B,2.782B,3.955B,,2012-06,0.56,,,2012-06,0.54,,0.5313,2012-06,5.022B,5.199B,2012-06,AOR,Restated
2012-03,12.91B,12.91B,4.641B,8.265B,,1.973B,2.401B,81.00M,59.00M,-59.00M,31.00M,28.00M,-3.00M,4.455B,3.81B,28.00M,31.00M,-3.00M,7.00M,-3.00M,3.814B,1.076B,2.738B,2.738B,2.738B,3.845B,,2012-03,0.55,,,2012-03,0.53,,0.53,2012-03,4.999B,5.192B,2012-03,AOR,Restated
2011-12,13.89B,13.89B,4.935B,8.952B,,1.973B,2.308B,72.00M,,-289.00M,35.00M,28.00M,-7.00M,4.353B,4.599B,28.00M,35.00M,-7.00M,-5.00M,-7.00M,4.587B,1.227B,3.36B,3.36B,3.572B,4.622B,,2011-12,0.66,,,2011-12,0.64,,0.6804,2011-12,5.073B,5.246B,2011-12,AOR,Restated
2011-09,14.23B,14.23B,5.215B,9.018B,2.017B,2.017B,2.14B,76.00M,,-7.00M,0.00,22.00M,22.00M,4.233B,4.785B,22.00M,0.00,22.00M,85.00M,22.00M,4.892B,1.424B,3.468B,3.468B,3.473B,4.892B,,2011-09,0.67,0.00,,2011-09,0.65,0.00,0.6509,2011-09,5.194B,5.34B,2011-09,AOR,Restated
2011-06,13.03B,13.03B,5.13B,7.902B,1.905B,1.905B,1.986B,76.00M,,-24.00M,0.00,20.00M,20.00M,3.967B,3.935B,20.00M,0.00,20.00M,-24.00M,20.00M,3.931B,977.00M,2.954B,2.954B,2.972B,3.931B,,2011-06,0.56,0.00,,2011-06,0.54,0.00,0.5433,2011-06,5.294B,5.441B,2011-06,AOR,Restated
2011-03,12.85B,12.85B,4.962B,7.885B,1.775B,1.775B,1.916B,36.00M,,191.00M,6.00M,28.00M,22.00M,3.727B,4.158B,28.00M,6.00M,22.00M,191.00M,22.00M,4.371B,1.211B,3.16B,3.16B,3.022B,4.377B,,2011-03,0.58,0.00,,2011-03,0.56,0.00,0.5354,2011-03,5.452B,5.606B,2011-03,AOR,Restated
2010-12,11.46B,11.46B,4.051B,7.406B,,1.705B,1.671B,7.00M,,-113.00M,0.00,29.00M,29.00M,3.383B,4.023B,29.00M,0.00,29.00M,111.00M,29.00M,4.163B,983.00M,3.18B,3.18B,3.266B,4.163B,,2010-12,0.57,,,2010-12,0.56,,0.5751,2010-12,5.552B,5.699B,2010-12,AOR,Restated
2010-09,11.10B,11.10B,3.781B,7.321B,,1.506B,1.675B,4.00M,,3.00M,0.00,35.00M,35.00M,3.185B,4.136B,35.00M,0.00,35.00M,80.00M,35.00M,4.251B,1.296B,2.955B,2.955B,2.953B,4.251B,,2010-09,0.53,0.00,,2010-09,0.52,0.00,0.5196,2010-09,5.575B,5.694B,2010-09,AOR,
2010-06,10.76B,10.76B,3.53B,7.235B,1.584B,1.584B,1.666B,4.00M,,-18.00M,0.00,29.00M,29.00M,3.254B,3.981B,29.00M,0.00,29.00M,175.00M,29.00M,4.185B,1.298B,2.887B,2.887B,2.899B,4.185B,,2010-06,0.52,0.00,,2010-06,0.51,0.00,0.5122,2010-06,5.563B,5.711B,2010-06,AOR,Restated
2010-03,10.30B,10.30B,3.77B,6.529B,1.514B,1.514B,1.564B,3.00M,,3.00M,0.00,26.00M,26.00M,3.081B,3.448B,26.00M,0.00,26.00M,-28.00M,26.00M,3.446B,1.004B,2.442B,2.442B,2.440B,3.446B,,2010-03,0.44,0.00,,2010-03,0.43,0.00,0.4296,2010-03,5.529B,5.681B,2010-03,AOR,Restated
2009-12,10.57B,10.57B,3.729B,6.84B,,2.718B,1.603B,19.00M,,-21.00M,,24.00M,23.00M,4.34B,2.50B,24.00M,,23.00M,70.00M,23.00M,2.593B,311.00M,2.282B,2.282B,2.300B,2.263B,,2009-12,0.42,0.00,,2009-12,0.40,0.00,0.4033,2009-12,5.524B,5.651B,2009-12,AOR,Restated
2009-09,9.389B,9.389B,3.985B,5.404B,,1.32B,1.43B,12.00M,,-65.00M,,34.00M,34.00M,2.762B,2.642B,34.00M,,34.00M,-144.00M,34.00M,2.532B,676.00M,1.856B,1.856B,1.904B,2.642B,,2009-09,0.34,0.00,,2009-09,0.33,0.00,0.3385,2009-09,5.537B,5.616B,2009-09,AOR,Restated
2009-06,8.024B,8.024B,3.945B,4.079B,,2.695B,1.303B,2.00M,,-29.00M,,38.00M,38.00M,4.00B,79.00M,38.00M,,38.00M,-98.00M,38.00M,-50.00M,348.00M,-398.00M,-398.00M,-379.15M,79.00M,,2009-06,-0.07,0.00,,2009-06,-0.07,0.00,-0.0666,2009-06,5.595B,5.595B,2009-06,AOR,Restated
2009-03,7.145B,7.145B,3.907B,3.238B,,1.198B,1.317B,2.00M,,-74.00M,,,95.00M,2.517B,721.00M,,,95.00M,-187.00M,95.00M,629.00M,0.00,629.00M,629.00M,703.00M,721.00M,,2009-03,0.11,0.00,,2009-03,0.11,0.00,0.1231,2009-03,5.573B,5.634B,2009-03,AOR,Restated
2008-12,8.226B,8.226B,3.857B,4.369B,,1.257B,1.316B,,,-360.00M,,,,2.579B,1.79B,,,,-1.552B,,369.00M,135.00M,234.00M,234.00M,462.29M,-180.00M,,2008-12,0.04,0.00,,2008-12,0.04,0.00,0.0806,2008-12,5.564B,5.622B,2008-12,AOR,Restated
2008-09,10.22B,10.22B,4.198B,6.019B,,1.416B,1.471B,,,-29.00M,,,,2.887B,3.132B,,,,-425.00M,,2.833B,819.00M,2.014B,2.014B,2.035B,3.132B,,2008-09,0.36,0.00,,2008-09,0.35,0.00,0.3536,2008-09,5.603B,5.692B,2008-09,,
2008-06,9.47B,9.47B,4.221B,5.249B,,1.43B,1.468B,,,-58.00M,8.00M,137.00M,129.00M,2.898B,2.351B,137.00M,8.00M,129.00M,-167.00M,129.00M,2.313B,712.00M,1.601B,1.601B,1.641B,2.321B,,2008-06,0.28,0.00,,2008-06,0.28,0.00,0.2869,2008-06,5.699B,5.80B,2008-06,,Restated
2008-03,9.673B,9.673B,4.466B,5.207B,,1.349B,1.467B,,,-418.00M,,,,2.816B,2.391B,,,,-418.00M,,2.171B,728.00M,1.443B,1.443B,1.721B,2.391B,,2008-03,0.25,0.00,,2008-03,0.25,0.00,0.2973,2008-03,5.787B,5.879B,2008-03,,
2007-12,10.71B,10.71B,4.486B,6.226B,,1.448B,1.481B,,,-224.00M,,,,3.172B,3.054B,,,,-243.00M,,3.261B,990.00M,2.271B,2.271B,2.427B,3.054B,,2007-12,0.39,0.00,,2007-12,0.39,0.00,0.4161,2007-12,5.84B,5.987B,2007-12,,
2007-09,10.09B,10.09B,4.919B,5.171B,,1.381B,1.521B,,,-111.00M,,,,2.902B,2.269B,,,,37.00M,,2.503B,712.00M,1.791B,1.791B,1.870B,2.269B,,2007-09,0.31,0.00,,2007-09,0.30,0.00,0.3133,2007-09,5.837B,5.967B,2007-09,,
2007-06,8.68B,8.68B,4.605B,4.075B,,1.284B,1.353B,6.00M,,-90.00M,,,,2.643B,1.432B,,,,-91.00M,,1.529B,251.00M,1.278B,1.278B,1.353B,1.432B,,2007-06,0.22,0.00,,2007-06,0.22,0.00,0.2327,2007-06,5.809B,5.917B,2007-06,,
2007-03,8.852B,8.852B,4.42B,4.432B,,1.277B,1.40B,5.00M,,-87.00M,,,,2.682B,1.75B,,,,-58.00M,,1.873B,237.00M,1.636B,1.636B,1.712B,1.75B,,2007-03,0.28,0.00,,2007-03,0.28,0.00,0.2929,2007-03,5.777B,5.874B,2007-03,,
2006-12,9.694B,9.694B,4.884B,4.81B,,1.434B,1.426B,5.00M,,10.00M,,,,2.865B,1.945B,,,,17.00M,,2.127B,626.00M,1.501B,1.501B,1.494B,1.945B,,2006-12,0.26,0.00,,2006-12,0.26,0.00,0.2588,2006-12,5.764B,5.865B,2006-12,,
2006-09,8.739B,8.739B,4.445B,4.294B,,1.425B,1.389B,8.00M,,33.00M,,,,2.822B,1.472B,,,,201.00M,,1.814B,513.00M,1.301B,1.301B,1.277B,1.472B,,2006-09,0.23,0.00,,2006-09,0.22,0.00,0.2159,2006-09,5.769B,5.832B,2006-09,,
2006-06,8.009B,8.009B,3.838B,4.171B,,1.593B,1.496B,10.00M,,-1.00M,,,,3.099B,1.072B,,,,36.00M,,1.253B,368.00M,885.00M,885.00M,885.71M,1.072B,,2006-06,0.15,0.00,,2006-06,0.15,0.00,0.1501,2006-06,5.801B,5.868B,2006-06,,
2006-03,8.94B,8.94B,3.997B,4.943B,,1.644B,1.562B,19.00M,,-7.00M,,,,3.225B,1.718B,,,,-5.00M,,1.874B,517.00M,1.357B,1.357B,1.362B,1.718B,,2006-03,0.23,0.00,,2006-03,0.23,0.00,0.2309,2006-03,5.854B,5.954B,2006-03,,
2005-12,10.20B,10.20B,3.901B,6.30B,,1.606B,1.362B,23.00M,,6.00M,,,,2.991B,3.309B,,,,-19.00M,,3.462B,1.009B,2.453B,2.453B,2.449B,3.309B,,2005-12,0.41,0.00,,2005-12,0.40,0.00,0.3993,2005-12,6.007B,6.079B,2005-12,,
2005-09,9.96B,9.96B,4.012B,5.948B,,1.478B,1.341B,29.00M,,6.00M,,,,2.848B,3.10B,,,,6.00M,,3.243B,1.248B,1.995B,1.995B,1.991B,3.10B,,2005-09,0.33,0.00,,2005-09,0.32,0.00,0.3194,2005-09,6.062B,6.144B,2005-09,,
2005-06,9.231B,9.231B,4.028B,5.203B,,1.342B,1.176B,36.00M,,-1.00M,,,,2.554B,2.649B,,,,-23.00M,,2.754B,716.00M,2.038B,2.038B,2.039B,2.649B,,2005-06,0.33,0.00,,2005-06,0.33,0.00,0.3301,2005-06,6.144B,6.215B,2005-06,,
2005-03,9.434B,9.434B,3.836B,5.598B,,1.262B,1.266B,38.00M,,,,,,2.566B,3.032B,,,,4.00M,,3.151B,973.00M,2.178B,2.178B,2.178B,3.032B,,2005-03,0.35,0.00,,2005-03,0.35,0.00,0.35,2005-03,6.211B,6.273B,2005-03,,
2004-12,9.598B,9.598B,4.221B,5.377B,,1.225B,1.214B,38.00M,,44.00M,,,,2.477B,2.90B,,,,41.00M,,3.027B,904.00M,2.123B,2.123B,2.092B,2.90B,,2004-12,0.33,0.00,,2004-12,0.33,0.00,0.3251,2004-12,6.295B,6.353B,2004-12,,
2004-09,8.471B,8.471B,3.752B,4.719B,,1.123B,1.183B,40.00M,,1.00M,,,,2.346B,2.373B,,,,-9.00M,,2.426B,520.00M,1.906B,1.906B,1.905B,2.373B,,2004-09,0.30,0.00,,2004-09,0.30,0.00,0.2999,2004-09,6.375B,6.442B,2004-09,,
2004-06,8.049B,8.049B,3.269B,4.78B,,1.17B,1.186B,43.00M,,-3.00M,,,,2.399B,2.381B,,,,-11.00M,,2.42B,663.00M,1.757B,1.757B,1.759B,2.381B,,2004-06,0.27,0.00,,2004-06,0.27,0.00,0.2703,2004-06,6.449B,6.558B,2004-06,,
2004-03,8.091B,8.091B,3.221B,4.87B,,1.141B,1.195B,58.00M,,-4.00M,,,,2.394B,2.476B,,,,15.00M,,2.544B,814.00M,1.73B,1.73B,1.733B,2.476B,,2004-03,0.27,0.00,,2004-03,0.26,0.00,0.2604,2004-03,6.48B,6.624B,2004-03,,
2003-12,8.741B,8.741B,3.185B,5.556B,,1.135B,1.177B,65.00M,,-610.00M,,,,2.994B,2.562B,,,,-645.00M,,2.58B,407.00M,2.173B,2.173B,2.687B,2.562B,,2003-12,0.33,0.00,,2003-12,0.32,0.00,0.3970,2003-12,6.512B,6.669B,2003-12,,
2003-09,7.833B,7.833B,3.275B,4.558B,,1.046B,1.135B,68.00M,,-6.00M,,,,2.249B,2.309B,,,,-69.00M,,2.275B,618.00M,1.657B,1.657B,1.661B,2.309B,,2003-09,0.25,0.00,,2003-09,0.25,0.00,0.2507,2003-09,6.517B,6.625B,2003-09,,
2003-06,6.816B,6.816B,3.348B,3.468B,,1.079B,1.029B,84.00M,,4.00M,,,,2.192B,1.276B,,,,-54.00M,,1.271B,375.00M,896.00M,896.00M,893.18M,1.276B,,2003-06,0.14,0.00,,2003-06,0.14,0.00,0.1396,2003-06,6.525B,6.58B,2003-06,,
2003-03,6.751B,6.751B,3.239B,3.512B,,1.018B,1.019B,84.00M,,-2.00M,,,,2.121B,1.391B,,,,-129.00M,,1.316B,401.00M,915.00M,915.00M,916.39M,1.391B,,2003-03,0.14,0.00,,2003-03,0.14,0.00,0.1402,2003-03,6.556B,6.61B,2003-03,,
2002-12,7.16B,7.16B,3.464B,3.696B,,1.104B,1.022B,106.00M,,2.00M,,,,2.232B,1.464B,,,,-169.00M,,1.347B,298.00M,1.049B,1.049B,1.047B,1.464B,,2002-12,0.16,0.00,,2002-12,0.16,0.00,0.1598,2002-12,6.597B,6.66B,2002-12,,
2002-09,6.504B,6.504B,3.331B,3.173B,,1.095B,1.006B,102.00M,,-8.00M,,,,2.203B,970.00M,,,,-104.00M,,917.00M,231.00M,686.00M,686.00M,691.98M,970.00M,,2002-09,0.10,0.00,,2002-09,0.10,0.00,0.1009,2002-09,6.646B,6.712B,2002-09,,
2002-06,6.319B,6.319B,3.35B,2.969B,,1.063B,1.024B,229.00M,,-27.00M,,,,2.316B,653.00M,,,,-86.00M,,623.00M,177.00M,446.00M,446.00M,465.33M,653.00M,,2002-06,0.07,0.00,,2002-06,0.07,0.00,0.0728,2002-06,6.677B,6.803B,2002-06,,
