,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,AmortizationExpense,AmortizationofSecurities,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2018-03,3.184B,3.184B,905.00M,789.00M,1.694B,,,67.00M,-67.00M,,1.694B,67.00M,-67.00M,308.00M,-67.00M,696.00M,102.00M,594.00M,,,594.00M,594.00M,56.00M,763.00M,,3.97,,3.97,3.97,,3.91,,3.91,3.91,,149.50M,152.10M,0.83,,AOR,Restated
2017-12,3.194B,3.194B,893.00M,833.00M,1.726B,,,67.00M,-67.00M,,1.726B,67.00M,-67.00M,303.00M,-67.00M,595.00M,418.00M,177.00M,,,177.00M,177.00M,58.00M,662.00M,,1.20,,1.20,1.20,,1.18,,1.18,1.18,,150.80M,154.00M,0.83,,AOR,Restated
2017-09,3.026B,3.026B,850.00M,781.00M,1.631B,,,64.00M,-64.00M,,1.631B,64.00M,-64.00M,232.00M,-64.00M,633.00M,126.00M,507.00M,,,507.00M,507.00M,55.00M,697.00M,,3.31,,3.31,3.31,,3.26,,3.26,3.26,,153.00M,155.40M,0.83,,AOR,Restated
2017-06,3.024B,3.024B,831.00M,767.00M,1.598B,,,64.00M,-64.00M,,1.598B,64.00M,-64.00M,292.00M,-64.00M,511.00M,118.00M,393.00M,,,393.00M,393.00M,58.00M,575.00M,,2.53,,2.53,2.53,,2.50,,2.50,2.50,,155.10M,157.50M,0.83,,AOR,Restated
2017-03,2.936B,2.936B,823.00M,777.00M,1.60B,,,60.00M,-60.00M,,1.60B,60.00M,-60.00M,278.00M,-60.00M,475.00M,72.00M,403.00M,,,403.00M,403.00M,63.00M,535.00M,,2.56,,2.56,2.56,,2.52,,2.52,2.52,,157.50M,160.10M,0.75,,AOR,Restated
2016-12,3.176B,3.176B,829.00M,863.00M,1.692B,,,91.00M,-91.00M,,1.692B,91.00M,-91.00M,357.00M,-91.00M,468.00M,69.00M,399.00M,,,399.00M,399.00M,61.00M,559.00M,,2.49,,2.49,2.49,,2.46,,2.46,2.46,,160.30M,162.50M,0.75,,AOR,Restated
2016-09,3.01B,3.01B,798.00M,731.00M,1.529B,,,64.00M,-64.00M,,1.529B,64.00M,-64.00M,330.00M,-64.00M,238.00M,23.00M,215.00M,,,215.00M,215.00M,60.00M,302.00M,,1.31,,1.31,1.31,,1.30,,1.30,1.30,,164.00M,165.80M,0.75,,AOR,Restated
2016-06,2.879B,2.879B,803.00M,763.00M,1.566B,,,61.00M,-61.00M,,1.566B,61.00M,-61.00M,248.00M,-61.00M,410.00M,75.00M,335.00M,,,335.00M,335.00M,62.00M,471.00M,,1.99,,1.99,1.99,,1.97,,1.97,1.97,,168.30M,170.10M,0.75,,AOR,Restated
2016-03,2.774B,2.774B,770.00M,727.00M,1.497B,,,64.00M,-64.00M,,1.497B,64.00M,-64.00M,254.00M,-64.00M,475.00M,111.00M,364.00M,,,364.00M,364.00M,65.00M,539.00M,,2.11,,2.11,2.11,,2.09,,2.09,2.09,,172.60M,174.40M,0.67,,AOR,Restated
2015-12,3.112B,3.112B,816.00M,794.00M,1.61B,,,125.00M,-125.00M,,1.61B,125.00M,-125.00M,321.00M,-125.00M,446.00M,66.00M,380.00M,,-23.00M,357.00M,357.00M,63.00M,571.00M,,2.02,0.00,2.02,2.02,,2.00,0.00,2.00,2.00,,176.30M,178.80M,0.67,,AOR,Restated
2015-09,2.893B,2.893B,806.00M,744.00M,1.55B,,,105.00M,-105.00M,,1.55B,105.00M,-105.00M,296.00M,-105.00M,463.00M,111.00M,352.00M,,45.00M,397.00M,397.00M,62.00M,568.00M,,2.20,,2.20,2.20,,2.17,,2.17,2.17,,180.40M,182.70M,0.67,,AOR,Restated
2015-06,3.135B,3.135B,835.00M,792.00M,1.627B,,,96.00M,-96.00M,,1.627B,96.00M,-96.00M,354.00M,-96.00M,615.00M,139.00M,476.00M,,-61.00M,415.00M,415.00M,57.00M,711.00M,,2.26,,2.26,2.26,,2.23,,2.23,2.23,,183.80M,186.40M,0.67,,AOR,Restated
2015-03,3.06B,3.06B,819.00M,752.00M,1.571B,,,91.00M,-91.00M,,1.571B,91.00M,-91.00M,289.00M,-91.00M,618.00M,139.00M,479.00M,,-86.00M,393.00M,393.00M,66.00M,709.00M,,2.11,,2.11,2.11,,2.08,,2.08,2.08,,186.30M,189.10M,0.58,,AOR,Restated
2014-12,3.096B,3.096B,827.00M,775.00M,1.602B,,,98.00M,-98.00M,,1.602B,98.00M,-98.00M,355.00M,-98.00M,558.00M,104.00M,454.00M,-1.00M,-28.00M,425.00M,426.00M,61.00M,656.00M,,2.27,-0.01,2.27,2.26,,2.23,-0.01,2.23,2.22,,188.00M,191.10M,0.58,,AOR,Restated
2014-09,3.118B,3.118B,813.00M,757.00M,1.57B,,,86.00M,-86.00M,,1.57B,86.00M,-86.00M,392.00M,-86.00M,720.00M,155.00M,565.00M,0.00,-145.00M,420.00M,420.00M,64.00M,806.00M,,2.21,0.00,2.21,2.21,,2.17,0.00,2.17,2.17,,190.30M,193.70M,0.58,,AOR,Restated
2014-06,3.079B,3.079B,810.00M,805.00M,1.615B,,,86.00M,-86.00M,,1.615B,86.00M,-86.00M,379.00M,-86.00M,619.00M,152.00M,467.00M,0.00,-93.00M,374.00M,374.00M,66.00M,705.00M,,1.94,0.00,1.94,1.94,,1.91,0.00,1.91,1.91,,192.70M,196.20M,0.58,,AOR,Restated
2014-03,3.003B,3.003B,786.00M,758.00M,1.544B,,,86.00M,-86.00M,,1.544B,86.00M,-86.00M,340.00M,-86.00M,650.00M,134.00M,516.00M,-1.00M,-115.00M,400.00M,401.00M,63.00M,736.00M,,2.05,0.00,2.05,2.05,,2.01,0.00,2.01,2.01,,195.50M,199.10M,0.52,,AOR,Restated
2013-12,2.953B,2.953B,764.00M,793.00M,1.557B,,,94.00M,-94.00M,,1.557B,94.00M,-94.00M,317.00M,-94.00M,479.00M,97.00M,382.00M,-2.00M,-84.00M,296.00M,298.00M,64.00M,573.00M,,1.50,-0.01,1.50,1.49,,1.47,-0.01,1.47,1.46,,198.40M,202.30M,0.52,,AOR,Restated
2013-09,2.821B,2.821B,731.00M,730.00M,1.461B,,,76.00M,-76.00M,,1.461B,76.00M,-76.00M,247.00M,-76.00M,602.00M,154.00M,448.00M,1.00M,-67.00M,382.00M,381.00M,59.00M,678.00M,,1.90,0.00,1.90,1.90,,1.86,0.00,1.86,1.86,,201.30M,205.10M,0.52,,AOR,Restated
2013-06,2.757B,2.757B,732.00M,775.00M,1.507B,,,68.00M,-68.00M,,1.507B,68.00M,-68.00M,249.00M,-68.00M,402.00M,120.00M,282.00M,-1.00M,40.00M,321.00M,322.00M,58.00M,470.00M,,1.57,0.00,1.57,1.57,,1.54,0.00,1.54,1.54,,204.90M,208.60M,0.52,,AOR,Restated
2013-03,2.699B,2.699B,698.00M,758.00M,1.456B,,,74.00M,-74.00M,,1.456B,74.00M,-74.00M,222.00M,-74.00M,487.00M,121.00M,366.00M,-1.00M,-30.00M,335.00M,336.00M,58.00M,561.00M,,1.61,0.00,1.61,1.61,,1.58,0.00,1.58,1.58,,208.40M,212.30M,0.45,,AOR,Restated
2012-12,2.684B,2.684B,702.00M,746.00M,1.448B,,,77.00M,-77.00M,,1.448B,77.00M,-77.00M,226.00M,-77.00M,418.00M,87.00M,331.00M,1.00M,57.00M,389.00M,388.00M,57.00M,495.00M,,1.84,0.01,1.84,1.85,,1.80,0.01,1.80,1.81,,210.90M,215.00M,0.45,,AOR,Restated
2012-09,2.479B,2.479B,667.00M,718.00M,1.385B,,,79.00M,-79.00M,,1.385B,79.00M,-79.00M,161.00M,-79.00M,199.00M,47.00M,152.00M,-1.00M,22.00M,173.00M,174.00M,58.00M,278.00M,,0.81,-0.01,0.81,0.80,,0.79,-0.01,0.79,0.79,,215.00M,219.10M,0.35,,AOR,Restated
2012-06,2.524B,2.524B,663.00M,763.00M,1.426B,,,82.00M,-82.00M,,1.426B,82.00M,-82.00M,202.00M,-82.00M,299.00M,128.00M,171.00M,-1.00M,53.00M,223.00M,224.00M,54.00M,381.00M,,1.01,0.00,1.01,1.01,,0.99,0.00,0.99,0.99,,221.70M,225.60M,0.35,,AOR,Restated
2012-03,2.572B,2.572B,666.00M,762.00M,1.428B,,,80.00M,-80.00M,,1.428B,80.00M,-80.00M,206.00M,-80.00M,322.00M,73.00M,249.00M,-1.00M,-4.00M,244.00M,245.00M,56.00M,402.00M,,1.08,-0.01,1.08,1.07,,1.06,-0.01,1.06,1.05,,227.30M,231.70M,0.28,,AOR,Restated
2011-12,2.593B,2.593B,,,1.347B,,,107.00M,-107.00M,,1.347B,107.00M,-107.00M,228.00M,-107.00M,326.00M,58.00M,268.00M,13.00M,-45.00M,236.00M,223.00M,49.00M,433.00M,,0.98,0.05,0.98,1.03,,0.96,0.05,0.96,1.01,,230.60M,234.60M,0.23,,AOR,Restated
2011-09,2.467B,2.467B,,,1.384B,,,83.00M,-83.00M,,1.384B,83.00M,-83.00M,195.00M,-83.00M,326.00M,109.00M,217.00M,2.00M,105.00M,324.00M,322.00M,-6.00M,409.00M,,1.35,0.01,1.35,1.36,,1.33,0.01,1.33,1.34,,238.00M,242.00M,0.23,,AOR,Restated
2011-06,2.634B,2.634B,,,1.433B,,,86.00M,-86.00M,,1.433B,86.00M,-86.00M,236.00M,-86.00M,409.00M,118.00M,291.00M,-4.00M,28.00M,315.00M,319.00M,37.00M,495.00M,,1.30,-0.02,1.30,1.28,,1.27,-0.02,1.27,1.25,,245.50M,251.00M,0.23,,AOR,Restated
2011-03,2.545B,2.545B,,,1.405B,,,88.00M,-88.00M,,1.405B,88.00M,-88.00M,204.00M,-88.00M,386.00M,92.00M,294.00M,-71.00M,18.00M,241.00M,312.00M,30.00M,474.00M,,1.24,-0.28,1.24,0.96,,1.21,-0.28,1.21,0.94,,251.60M,257.70M,0.18,,AOR,Restated
2010-12,2.628B,2.628B,,,1.34B,,,148.00M,-148.00M,,1.34B,148.00M,-148.00M,262.00M,-148.00M,368.00M,88.00M,280.00M,-26.00M,26.00M,280.00M,306.00M,31.00M,516.00M,,1.22,-0.11,1.22,1.11,,1.18,-0.11,1.18,1.08,,252.60M,259.00M,0.18,,AOR,Restated
2010-09,2.334B,2.334B,,,1.197B,,,74.00M,-74.00M,,1.197B,74.00M,-74.00M,161.00M,-74.00M,446.00M,132.00M,314.00M,-2.00M,32.00M,344.00M,346.00M,31.00M,520.00M,,1.36,-0.01,1.36,1.35,,1.33,-0.01,1.33,1.32,,255.30M,259.90M,0.18,,AOR,Restated
2010-06,2.462B,2.462B,,,1.227B,,,74.00M,-74.00M,,1.227B,74.00M,-74.00M,211.00M,-74.00M,462.00M,66.00M,396.00M,2.00M,-139.00M,259.00M,257.00M,26.00M,536.00M,,0.98,0.01,0.98,0.99,,0.97,0.01,0.97,0.98,,261.10M,265.30M,0.18,,AOR,Restated
2010-03,2.271B,2.271B,,,1.146B,,,64.00M,-64.00M,,1.146B,64.00M,-64.00M,234.00M,-64.00M,361.00M,65.00M,296.00M,,-82.00M,214.00M,214.00M,22.00M,425.00M,,0.82,0.00,0.82,0.82,,0.81,0.00,0.81,0.81,,260.80M,265.00M,0.17,,AOR,Restated
2009-12,2.297B,2.297B,,,1.212B,,,-759.00M,759.00M,44.00M,1.256B,-759.00M,759.00M,229.00M,759.00M,331.00M,57.00M,274.00M,,-37.00M,237.00M,237.00M,19.00M,-428.00M,,0.93,0.00,0.93,0.93,,0.91,0.00,0.91,0.91,,259.00M,263.60M,0.17,,AOR,Restated
2009-09,1.979B,1.979B,,,1.087B,,,310.00M,-310.00M,-64.00M,1.023B,310.00M,-310.00M,109.00M,-310.00M,340.00M,80.00M,260.00M,,0.00,260.00M,260.00M,20.00M,650.00M,,1.00,0.00,1.00,1.00,,1.00,0.00,1.00,1.00,,258.70M,260.70M,0.17,,AOR,Restated
2009-06,1.912B,1.912B,,,1.032B,,,303.00M,-303.00M,-125.00M,907.00M,303.00M,-303.00M,175.00M,-303.00M,115.00M,28.00M,87.00M,,8.00M,95.00M,95.00M,25.00M,418.00M,,0.41,0.00,0.41,0.41,,0.41,0.00,0.41,0.41,,228.80M,230.00M,0.17,,AOR,Restated
2009-03,1.758B,1.758B,,,965.00M,,,273.00M,-273.00M,286.00M,1.251B,273.00M,-273.00M,209.00M,-273.00M,134.00M,18.00M,116.00M,,14.00M,130.00M,130.00M,56.00M,407.00M,,0.58,0.00,0.58,0.58,,0.58,0.00,0.58,0.58,,222.30M,223.50M,0.17,,AOR,Restated
2008-12,1.509B,1.509B,,,1.042B,,,-559.00M,559.00M,-359.00M,683.00M,-559.00M,559.00M,336.00M,559.00M,-669.00M,-272.00M,-397.00M,,30.00M,-367.00M,-367.00M,53.00M,-1.228B,,-1.64,0.00,-1.64,-1.64,,-1.64,0.00,-1.64,-1.64,,218.40M,220.40M,0.17,,,Restated
2008-09,1.629B,1.629B,,,1.142B,,,227.00M,-227.00M,240.00M,1.382B,227.00M,-227.00M,206.00M,-227.00M,-176.00M,-92.00M,-84.00M,,14.00M,-70.00M,-70.00M,72.00M,51.00M,,-0.32,0.00,-0.32,-0.32,,-0.32,0.00,-0.32,-0.32,,219.10M,221.70M,0.17,,AOR,Restated
2008-06,1.968B,1.968B,,,1.078B,,,220.00M,-220.00M,144.00M,1.222B,220.00M,-220.00M,116.00M,-220.00M,232.00M,27.00M,205.00M,,5.00M,210.00M,210.00M,97.00M,452.00M,,0.94,0.00,0.94,0.94,,0.93,0.00,0.93,0.93,,223.20M,226.00M,0.15,,AOR,Restated
2008-03,1.991B,1.991B,,,1.122B,,,221.00M,-221.00M,154.00M,1.276B,221.00M,-221.00M,110.00M,-221.00M,190.00M,4.00M,186.00M,,5.00M,191.00M,191.00M,45.00M,411.00M,,0.84,0.00,0.84,0.84,,0.82,0.00,0.82,0.82,,228.40M,231.50M,0.15,,AOR,Restated
2007-12,2.594B,2.594B,,,322.00M,,,86.00M,-86.00M,1.056B,1.378B,86.00M,-86.00M,-1.04B,-86.00M,338.00M,83.00M,255.00M,,,255.00M,255.00M,-372.00M,424.00M,,1.10,0.00,1.10,1.10,,1.07,0.00,1.07,1.07,,231.40M,235.40M,0.15,,AOR,
2007-09,2.084B,2.084B,,,1.467B,,128.00M,84.00M,-84.00M,188.00M,1.783B,84.00M,-84.00M,582.00M,-84.00M,217.00M,19.00M,198.00M,,,198.00M,198.00M,174.00M,301.00M,,0.84,0.00,0.84,0.84,,0.83,0.00,0.83,0.83,,235.40M,239.20M,0.15,,AOR,Restated
2007-06,3.636B,3.636B,,,655.00M,125.00M,,29.00M,-29.00M,2.582B,3.362B,29.00M,-29.00M,3.37B,-29.00M,245.00M,49.00M,196.00M,,,196.00M,196.00M,333.00M,274.00M,,0.83,0.00,0.83,0.83,,0.81,0.00,0.81,0.81,,237.40M,241.00M,0.15,,AOR,Restated
2007-03,2.027B,2.027B,,,617.00M,,,,,943.00M,1.56B,,,1.77B,,216.00M,51.00M,165.00M,,,165.00M,165.00M,41.00M,216.00M,,0.69,0.00,0.69,0.69,,0.68,0.00,0.68,0.68,,240.70M,244.10M,0.11,,AOR,Restated
2006-12,2.041B,2.041B,,,219.00M,,,,,1.512B,1.731B,,,1.664B,,203.00M,32.00M,171.00M,,,171.00M,171.00M,-392.00M,203.00M,,0.70,0.00,0.70,0.70,,0.69,0.00,0.69,0.69,,243.20M,246.10M,0.11,,AOR,Restated
2006-09,1.977B,1.977B,,756.00M,756.00M,,,,,771.00M,1.527B,,,1.733B,,217.00M,43.00M,174.00M,,,174.00M,174.00M,443.00M,217.00M,,0.71,0.00,0.71,0.71,,0.71,0.00,0.71,0.71,,244.50M,246.40M,0.11,,AOR,Restated
2006-06,2.053B,2.053B,,766.00M,766.00M,,,,,876.00M,1.642B,,,1.824B,,186.00M,45.00M,141.00M,,,141.00M,141.00M,57.00M,186.00M,,0.57,0.00,0.57,0.57,,0.57,0.00,0.57,0.57,,246.30M,248.00M,0.11,,AOR,Restated
2006-03,1.949B,1.949B,,739.00M,739.00M,,,,,792.00M,1.531B,,,1.729B,,191.00M,46.00M,145.00M,,,145.00M,145.00M,40.00M,191.00M,,0.57,0.00,0.57,0.57,,0.57,0.00,0.57,0.57,,252.30M,253.50M,0.11,,AOR,Restated
2005-12,1.781B,1.781B,,298.00M,298.00M,,,,,919.00M,1.217B,,,1.403B,,127.00M,16.00M,111.00M,0.00,,111.00M,111.00M,38.00M,127.00M,,0.44,0.01,0.44,0.45,,0.44,0.01,0.44,0.45,,249.80M,250.20M,0.11,,AOR,Restated
2005-09,1.873B,1.873B,,703.00M,703.00M,,,,,799.00M,1.502B,,,1.671B,,181.00M,58.00M,123.00M,2.00M,,125.00M,123.00M,48.00M,181.00M,,0.50,0.00,0.50,0.50,,0.50,0.00,0.50,0.50,,246.20M,246.20M,,,AOR,Restated
2005-06,1.895B,1.895B,,651.00M,651.00M,,,,,815.00M,1.466B,,,1.616B,,191.00M,42.00M,149.00M,6.00M,,155.00M,149.00M,,191.00M,,0.61,0.02,0.61,0.63,,0.61,0.02,0.61,0.63,,246.20M,246.20M,,,,Restated
2005-03,1.847B,1.847B,,641.00M,641.00M,,,,,742.00M,1.383B,,,1.577B,,246.00M,71.00M,175.00M,8.00M,,183.00M,175.00M,,246.00M,,0.71,0.03,0.71,0.74,,0.71,0.03,0.71,0.74,,246.20M,246.20M,,,,Restated
2004-12,1.712B,1.712B,,,,,,,,,,,,,,,,226.00M,-30.68M,,235.00M,194.68M,,,,0.92,0.03,0.92,0.95,,0.92,-0.1237,0.92,0.9476,,248.34M,248.34M,,,,Restated
2004-09,1.712B,1.712B,,560.00M,560.00M,,,,,686.00M,1.246B,,,1.45B,,261.00M,73.00M,188.00M,11.00M,,199.00M,188.00M,,261.00M,,0.77,0.04,0.77,0.81,,0.77,0.04,0.77,0.81,,246.00M,246.00M,,,AOR,
