,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,OtherReceivables,TotalReceivables,TotalCurrentAssets,NetLoanAssets,LongTermInvestments,TotalLongTermAssets,TotalAssets,,TotalPayables,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,TotalDeposits,UnpaidLossReserve,MinorityInterestOwnership,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,UnrealizedGainorLoss-Total,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-03,2.201B,30.32B,32.52B,5.86B,2.042B,20.00M,5.88B,38.40B,5.607B,30.38B,43.86B,144.76B,,,1.609B,201.00M,201.00M,201.00M,1.81B,5.021B,34.00M,5.055B,10.24B,10.24B,,20.12B,,35.42B,138.92B,,3.00M,11.80B,8.116B,14.07B,,,,-5.00M,5.84B,,AOR,Restated
2017-12,2.62B,30.93B,33.55B,5.762B,2.069B,25.00M,5.787B,39.33B,5.67B,30.98B,44.48B,147.48B,,,1.975B,200.00M,200.00M,200.00M,2.175B,5.059B,38.00M,5.097B,10.30B,10.30B,,20.25B,,35.65B,141.48B,,3.00M,11.33B,8.085B,13.65B,,,,229.00M,5.995B,,AOR,Restated
2017-09,2.504B,30.83B,33.33B,5.742B,2.145B,9.00M,5.751B,39.08B,5.986B,30.89B,44.61B,145.49B,,,1.728B,201.00M,201.00M,201.00M,1.929B,5.128B,41.00M,5.169B,10.43B,10.43B,,20.34B,,35.93B,139.18B,,3.00M,11.27B,8.017B,13.30B,,,,312.00M,6.305B,,AOR,Restated
2017-06,2.563B,30.65B,33.21B,5.481B,2.19B,38.00M,5.519B,38.73B,6.019B,30.68B,44.20B,143.14B,,,1.60B,200.00M,200.00M,200.00M,1.80B,5.172B,44.00M,5.216B,10.20B,10.20B,,20.41B,,35.83B,136.89B,,3.00M,10.90B,7.903B,12.85B,,,,299.00M,6.25B,,AOR,Restated
2017-03,2.177B,30.58B,32.76B,5.355B,2.182B,17.00M,5.372B,38.13B,5.993B,30.64B,43.71B,140.86B,,,1.47B,200.00M,200.00M,200.00M,1.67B,5.205B,47.00M,5.252B,10.32B,10.32B,,20.50B,,36.06B,134.63B,,3.00M,10.63B,7.857B,12.48B,,,,219.00M,6.227B,,AOR,Restated
2016-12,2.486B,30.72B,33.20B,5.299B,2.198B,11.00M,5.31B,38.52B,6.015B,30.77B,44.53B,139.82B,,,1.727B,200.00M,200.00M,200.00M,1.927B,5.187B,49.00M,5.236B,10.04B,10.04B,,20.62B,,35.89B,133.53B,,3.00M,10.35B,7.765B,12.03B,,,,200.00M,6.292B,,AOR,Restated
2016-09,3.329B,30.80B,34.13B,5.322B,2.485B,14.00M,5.336B,39.46B,6.294B,30.88B,46.68B,143.62B,,,1.498B,200.00M,200.00M,200.00M,1.698B,5.592B,52.00M,5.644B,9.442B,9.442B,,20.60B,,35.69B,136.83B,,3.00M,10.10B,7.709B,11.61B,,,,595.00M,6.796B,,AOR,Restated
2016-06,3.05B,30.16B,33.21B,5.171B,2.523B,19.00M,5.19B,38.40B,6.37B,30.23B,47.48B,142.68B,,,1.337B,200.00M,200.00M,200.00M,1.537B,5.146B,55.00M,5.201B,9.132B,9.132B,,20.58B,0.00,34.91B,135.60B,,3.00M,10.01B,7.659B,11.22B,,,,638.00M,7.089B,,AOR,Restated
2016-03,2.795B,29.48B,32.28B,5.232B,2.429B,63.00M,5.295B,37.57B,6.312B,29.55B,45.14B,140.25B,,,1.254B,200.00M,200.00M,200.00M,1.454B,5.298B,58.00M,5.356B,8.876B,8.876B,,20.60B,0.00,34.83B,133.16B,,3.00M,9.799B,7.61B,10.76B,,,,442.00M,7.093B,,AOR,Restated
2015-12,2.859B,28.67B,31.53B,5.167B,6.267B,107.00M,5.274B,36.81B,10.45B,28.95B,49.86B,145.34B,,,1.652B,200.00M,200.00M,200.00M,1.852B,10.16B,60.00M,10.22B,8.634B,8.634B,,20.65B,1.188B,39.51B,136.96B,,3.00M,9.662B,7.611B,10.34B,,,,253.00M,7.191B,,AOR,Restated
2015-09,3.57B,29.29B,32.86B,5.187B,6.577B,102.00M,5.289B,38.14B,10.78B,29.66B,51.20B,145.32B,,,1.497B,200.00M,200.00M,200.00M,1.697B,10.94B,,10.94B,8.046B,8.046B,,20.78B,1.192B,39.77B,136.50B,,3.00M,9.493B,7.557B,9.885B,,,,461.00M,7.629B,,AOR,Restated
2015-06,3.041B,29.43B,32.47B,5.178B,6.191B,89.00M,5.267B,37.74B,10.40B,29.80B,50.35B,148.81B,,,1.394B,200.00M,200.00M,200.00M,1.594B,10.41B,,10.41B,7.82B,7.82B,,20.95B,1.121B,39.18B,139.81B,,3.00M,9.30B,7.50B,9.428B,,,,500.00M,7.875B,,AOR,Restated
2015-03,3.147B,30.15B,33.30B,5.063B,5.709B,77.00M,5.14B,38.44B,9.89B,30.32B,51.99B,151.45B,,,1.321B,200.00M,200.00M,200.00M,1.521B,9.845B,,9.845B,7.878B,7.878B,,21.34B,1.064B,39.06B,142.19B,,3.00M,9.031B,7.423B,8.966B,,,,704.00M,8.195B,,AOR,Restated
2014-12,3.028B,30.03B,33.06B,4.887B,5.771B,140.00M,5.027B,38.08B,10.02B,30.38B,50.94B,148.81B,,,1.523B,200.00M,200.00M,200.00M,1.723B,9.929B,,9.929B,7.664B,7.664B,,21.79B,1.181B,39.38B,139.50B,,3.00M,8.703B,7.345B,8.589B,,,,662.00M,8.124B,,AOR,Restated
2014-09,3.155B,30.26B,33.41B,4.827B,5.246B,68.00M,4.895B,38.31B,9.508B,30.64B,50.33B,147.19B,,,1.461B,200.00M,200.00M,200.00M,1.661B,9.453B,,9.453B,7.513B,7.513B,,21.95B,1.08B,38.92B,137.85B,,3.00M,8.46B,7.232B,8.181B,,,,746.00M,8.26B,,AOR,Restated
2014-06,2.859B,30.49B,33.34B,4.782B,5.238B,127.00M,4.909B,38.25B,9.504B,30.84B,51.17B,149.16B,,,1.321B,200.00M,200.00M,200.00M,1.521B,9.195B,,9.195B,7.285B,7.285B,,22.12B,1.249B,38.60B,139.48B,,3.00M,8.163B,7.144B,7.802B,,,,920.00M,8.428B,,AOR,Restated
2014-03,2.899B,30.48B,33.38B,4.639B,4.979B,75.00M,4.714B,38.09B,9.246B,30.86B,50.26B,145.96B,,,1.228B,300.00M,300.00M,300.00M,1.528B,8.866B,,8.866B,7.211B,7.211B,,22.43B,1.101B,38.51B,136.52B,,3.00M,7.938B,7.046B,7.389B,,,,746.00M,8.344B,,AOR,Restated
2013-12,3.051B,30.31B,33.36B,4.538B,4.572B,72.00M,4.61B,37.97B,8.856B,30.70B,49.49B,144.58B,,,1.429B,500.00M,500.00M,500.00M,1.929B,8.456B,,8.456B,7.062B,7.062B,,22.74B,1.04B,38.25B,135.34B,,3.00M,7.626B,6.929B,6.961B,,,,595.00M,8.192B,,AOR,Restated
2013-09,3.465B,30.08B,33.55B,4.362B,4.206B,141.00M,4.503B,38.05B,8.499B,30.48B,48.52B,140.21B,,,1.417B,500.00M,500.00M,500.00M,1.917B,8.189B,,8.189B,6.744B,6.744B,,22.85B,844.00M,37.79B,131.04B,,3.00M,7.442B,6.84B,6.565B,,,,605.00M,8.325B,,AOR,Restated
2013-06,3.377B,30.02B,33.40B,4.583B,4.15B,68.00M,4.651B,38.05B,8.469B,30.40B,48.57B,137.26B,,,1.298B,501.00M,501.00M,501.00M,1.799B,7.649B,,7.649B,6.586B,6.586B,,,642.00M,14.24B,128.28B,,3.00M,7.13B,6.73B,6.148B,,,,625.00M,8.34B,,AOR,Restated
2013-03,3.041B,31.05B,34.09B,4.256B,3.892B,127.00M,4.383B,38.47B,8.219B,31.46B,48.55B,137.30B,,,1.053B,500.00M,500.00M,500.00M,1.553B,7.537B,,7.537B,6.494B,6.494B,,,657.00M,14.03B,127.68B,,3.00M,6.978B,6.592B,5.697B,,,,1.084B,8.96B,,AOR,Restated
2012-12,2.95B,31.47B,34.42B,4.22B,3.922B,95.00M,4.315B,38.74B,8.285B,31.86B,49.03B,134.73B,,,1.324B,501.00M,501.00M,501.00M,1.825B,7.384B,,7.384B,6.526B,6.526B,,23.02B,620.00M,36.93B,125.02B,,3.00M,6.717B,6.503B,5.325B,,,,1.194B,9.092B,,AOR,Restated
2012-09,3.932B,,3.932B,,2.541B,,5.584B,9.516B,3.293B,34.42B,51.69B,138.56B,,,1.17B,500.00M,500.00M,500.00M,1.67B,7.634B,,7.634B,,,10.05B,,664.00M,17.68B,128.74B,,3.00M,6.477B,6.363B,4.953B,,,,1.267B,9.157B,,AOR,Restated
2012-06,3.272B,,3.272B,,2.551B,,5.537B,8.809B,3.301B,34.59B,51.98B,135.27B,,,1.002B,498.00M,498.00M,498.00M,1.50B,7.616B,,7.616B,,,10.08B,,608.00M,17.70B,125.66B,,3.00M,6.384B,6.287B,4.611B,,,,942.00M,9.005B,,AOR,Restated
2012-03,2.874B,,2.874B,,2.615B,,5.516B,8.39B,3.356B,34.80B,51.44B,136.76B,,,907.00M,504.00M,504.00M,504.00M,1.411B,2.381B,,2.381B,,,9.961B,,634.00M,12.34B,127.01B,,3.00M,6.285B,6.237B,4.261B,,,,851.00M,9.115B,,AOR,Restated
2011-12,3.251B,34.50B,37.76B,4.381B,4.304B,59.00M,4.44B,42.20B,8.773B,34.94B,52.57B,132.31B,,,1.065B,504.00M,504.00M,504.00M,1.569B,7.571B,,7.571B,9.85B,9.85B,,,706.00M,17.42B,122.61B,,3.00M,6.031B,6.237B,4.034B,,,,751.00M,8.988B,,AOR,Restated
2011-09,3.093B,,3.093B,,2.52B,,5.364B,8.457B,3.261B,34.58B,46.91B,130.38B,,,1.03B,504.00M,504.00M,504.00M,1.534B,7.933B,,7.933B,,,9.624B,,716.00M,17.56B,119.39B,,3.00M,7.222B,6.182B,3.772B,,,,636.00M,10.27B,,AOR,Restated
2011-06,3.007B,,3.007B,,2.524B,,5.335B,8.342B,3.26B,33.99B,43.70B,135.14B,,,1.072B,505.00M,505.00M,505.00M,1.577B,8.034B,,8.034B,,,9.43B,,680.00M,17.46B,123.91B,,3.00M,7.123B,6.108B,3.319B,,,,633.00M,10.55B,,AOR,Restated
2011-03,3.366B,,3.366B,,2.546B,,5.589B,8.955B,3.277B,33.61B,42.57B,133.83B,,,907.00M,497.00M,497.00M,497.00M,1.404B,8.01B,,8.01B,,,8.911B,,638.00M,16.92B,122.64B,,3.00M,6.915B,6.043B,2.952B,,,,542.00M,10.55B,,AOR,Restated
2010-12,3.31B,,3.31B,,2.577B,,4.909B,8.219B,3.31B,32.62B,41.96B,131.21B,,,1.134B,397.00M,397.00M,397.00M,1.531B,7.852B,,7.852B,,,8.779B,,560.00M,16.63B,119.93B,,3.00M,6.748B,6.029B,2.62B,,,,565.00M,10.72B,,AOR,Restated
2010-09,4.088B,5.375B,9.463B,,,,4.969B,14.43B,,5.375B,12.11B,129.04B,,,1.106B,869.00M,869.00M,869.00M,1.975B,8.191B,,8.191B,,,8.492B,,554.00M,16.68B,117.54B,,3.00M,6.545B,5.917B,2.412B,,,,897.00M,10.95B,,AOR,Restated
2010-06,4.397B,5.437B,9.834B,,,,4.998B,14.83B,,5.437B,11.76B,121.11B,,,1.071B,484.00M,484.00M,484.00M,1.555B,7.98B,,7.98B,,,8.421B,,621.00M,16.40B,109.99B,,3.00M,6.278B,5.869B,2.259B,,,,607.00M,10.50B,,AOR,Restated
2010-03,5.429B,5.349B,10.78B,,,,4.848B,15.63B,,5.349B,10.23B,122.38B,,,765.00M,,,,765.00M,8.114B,,8.114B,,,8.632B,,592.00M,16.75B,111.68B,,3.00M,5.959B,5.819B,2.038B,,,,365.00M,10.11B,,AOR,Restated
2009-12,3.278B,36.97B,40.25B,,,,4.484B,44.74B,,36.97B,42.09B,113.77B,,,946.00M,0.00,0.00,0.00,946.00M,2.249B,,2.249B,,,8.554B,,603.00M,10.80B,103.90B,,3.00M,5.276B,5.748B,2.023B,,,,265.00M,9.269B,,AOR,Restated
2009-09,3.58B,,3.58B,,,,4.247B,7.827B,,,4.806B,111.20B,,,765.00M,,,,765.00M,2.076B,,2.076B,,,9.028B,,345.00M,11.10B,101.81B,,3.00M,5.091B,5.699B,2.021B,,,,277.00M,9.049B,,AOR,Restated
2009-06,4.469B,,4.469B,,,,4.067B,8.536B,,,5.133B,103.21B,,,825.00M,,,,825.00M,2.435B,,2.435B,,,9.216B,,264.00M,11.65B,94.84B,,3.00M,4.875B,5.641B,2.021B,,,,-388.00M,8.11B,,AOR,Restated
2009-03,5.796B,,5.796B,,,,3.579B,9.375B,,,6.406B,94.58B,,,713.00M,,,,713.00M,1.922B,,1.922B,,,8.465B,,253.00M,10.39B,87.94B,,3.00M,4.817B,4.719B,2.021B,-873.00M,-88.00M,-173.00M,-1.134B,6.384B,,AOR,Restated
2008-12,6.228B,,6.228B,,,,3.887B,10.12B,,,6.928B,95.68B,,,887.00M,,,,887.00M,2.027B,,2.027B,,,8.229B,,,10.26B,89.50B,,3.00M,4.592B,4.688B,2.012B,-969.00M,-85.00M,-39.00M,-1.093B,6.178B,,,Restated
2008-09,4.043B,,4.043B,,,,3.921B,7.964B,,,32.11B,99.15B,,,758.00M,,,,758.00M,2.08B,,2.08B,,,7.727B,,,9.807B,92.43B,,3.00M,5.004B,4.704B,2.021B,-954.00M,-45.00M,26.00M,-973.00M,6.717B,,AOR,Restated
2008-06,3.373B,,3.373B,,,,3.614B,6.987B,,,32.95B,104.27B,,,890.00M,,,,890.00M,2.018B,,2.018B,,,6.382B,,,8.40B,96.95B,,3.00M,5.111B,4.649B,1.927B,,-30.00M,-492.00M,-522.00M,7.314B,,AOR,Restated
2008-03,3.904B,,3.904B,,,,3.441B,7.345B,,,33.42B,104.90B,,,836.00M,,,,836.00M,2.018B,,2.018B,,,6.307B,27.16B,,35.49B,97.32B,,3.00M,4.938B,4.637B,1.71B,,-25.00M,-262.00M,-287.00M,7.581B,,AOR,Restated
2007-12,3.836B,,3.836B,,,,3.441B,7.277B,,,3.519B,109.23B,,,1.187B,,,,1.187B,2.018B,,2.018B,,,6.206B,,,8.224B,101.42B,,3.00M,4.811B,4.63B,1.467B,-174.00M,-19.00M,26.00M,-167.00M,7.81B,,AOR,
2007-09,3.972B,,3.972B,,,,3.079B,7.051B,,,34.72B,109.85B,,,1.688B,,,,1.688B,2.197B,,2.197B,,,6.029B,28.05B,,36.28B,102.10B,,3.00M,4.591B,4.593B,1.18B,,-15.00M,-234.00M,-249.00M,7.758B,,AOR,Restated
2007-06,3.303B,,3.303B,,,,3.207B,6.51B,,,35.41B,108.13B,,,1.85B,,,,1.85B,2.197B,,2.197B,,,6.055B,28.32B,,36.57B,100.53B,,3.00M,4.428B,4.533B,1.009B,,-15.00M,-340.00M,-355.00M,7.60B,,AOR,Restated
2007-03,2.413B,,2.413B,,,,3.022B,5.435B,,,37.93B,105.16B,,,1.672B,,,,1.672B,2.225B,,2.225B,,,6.483B,29.15B,,37.86B,97.43B,,3.00M,4.268B,4.468B,865.00M,,-17.00M,-126.00M,-143.00M,7.731B,,AOR,Restated
2006-12,2.76B,,2.76B,,,,3.161B,5.921B,,,94.06B,104.48B,,,1.209B,,,,1.209B,2.244B,,2.244B,,,6.707B,30.03B,,38.98B,96.56B,,3.00M,4.268B,4.353B,490.00M,,,,-209.00M,7.925B,,AOR,Restated
2006-09,3.309B,,3.309B,,,,2.504B,5.813B,,,39.38B,99.50B,,,1.952B,,,,1.952B,2.254B,,2.254B,,,6.391B,30.79B,,39.44B,91.75B,,3.00M,4.123B,4.291B,438.00M,,,,-226.00M,7.753B,,AOR,Restated
2006-06,2.101B,,2.101B,,,,2.441B,4.542B,,,40.41B,96.05B,,,2.975B,,,,2.975B,2.419B,,2.419B,,,4.863B,31.55B,,38.83B,88.81B,,3.00M,3.976B,4.254B,332.00M,,,,-666.00M,7.235B,,AOR,Restated
2006-03,1.65B,,1.65B,,,,2.382B,4.032B,,,41.20B,95.82B,,,2.78B,,,,2.78B,1.921B,,1.921B,,,5.18B,32.20B,,39.30B,88.48B,,3.00M,3.862B,4.208B,290.00M,,,,-442.00M,7.341B,,AOR,Restated
2005-12,,,,,,,,,,,,93.28B,,,,,,,,1.852B,,1.852B,,,6.808B,32.72B,,41.38B,85.59B,,,,,,,,,,7.687B,,AOR,Restated
2005-09,2.62B,,2.62B,,,,2.837B,5.457B,,,41.83B,92.27B,,2.618B,2.618B,1.351B,1.351B,1.351B,3.969B,360.00M,,360.00M,,,6.392B,32.96B,,39.71B,84.54B,,2.00M,3.661B,4.094B,,,-24.00M,4.00M,-20.00M,7.737B,,AOR,Restated
2005-06,,,,,,,,,,,53.25B,95.95B,,,,,,,,378.00M,,378.00M,,,,,,378.00M,88.96B,,0.00,3.753B,2.926B,,,,,,6.993B,,,Restated
2005-03,,,,,,,,,,,51.96B,93.54B,,,,,,,,385.00M,,385.00M,,,,,,385.00M,87.05B,,0.00,3.598B,2.915B,,,,,,6.482B,,,Restated
2004-12,,,,,,,,,,,,93.26B,,,,,,,,403.00M,,403.00M,,,6.987B,33.25B,,40.64B,86.56B,,,,,,,,,,6.702B,,,Restated
