,NetIncome,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2015-06,476.00M,-6.00M,-107.00M,-113.00M,,,57.00M,57.00M,22.00M,,,,35.00M,35.00M,-94.00M,52.00M,71.00M,521.00M,75.00M,142.00M,619.00M,,-38.00M,,,,-331.00M,26.00M,-364.00M,,500.00M,,500.00M,,-432.00M,-432.00M,-122.00M,-122.00M,5.00M,-467.00M,-516.00M,,2.809B,-261.00M,22.00M,2.57B,,,569.00M,-69.00M,-432.00M,59.00M,127.00M,,AOR,Restated
2015-03,479.00M,-13.00M,-4.00M,-17.00M,,,66.00M,66.00M,66.00M,,,,35.00M,35.00M,-184.00M,-196.00M,-36.00M,-265.00M,540.00M,284.00M,913.00M,,-29.00M,,,,133.00M,6.00M,182.00M,,7.00M,,7.00M,,-394.00M,-394.00M,-107.00M,-107.00M,6.00M,-417.00M,-905.00M,,2.638B,190.00M,-19.00M,2.809B,,,199.00M,-192.00M,-394.00M,21.00M,82.00M,,AOR,Restated
2014-12,453.00M,-29.00M,-40.00M,-69.00M,,,61.00M,61.00M,303.00M,,,,33.00M,33.00M,-77.00M,85.00M,84.00M,-398.00M,-607.00M,-363.00M,418.00M,,-24.00M,,,,-513.00M,-22.00M,-543.00M,,507.00M,0.00,507.00M,,-386.00M,-386.00M,-107.00M,-107.00M,8.00M,-121.00M,-99.00M,,2.876B,-224.00M,-14.00M,2.638B,,,600.00M,-93.00M,-386.00M,233.00M,105.00M,,AOR,Restated
2014-09,565.00M,-6.00M,-125.00M,-131.00M,,,64.00M,64.00M,-30.00M,,,,34.00M,34.00M,-52.00M,150.00M,696.00M,-241.00M,125.00M,1.115B,1.617B,,-49.00M,,,,-295.00M,-2.00M,-330.00M,,305.00M,0.00,305.00M,,-353.00M,-353.00M,-108.00M,-108.00M,6.00M,-381.00M,-531.00M,,2.141B,756.00M,-21.00M,2.876B,,,548.00M,-243.00M,-353.00M,120.00M,76.00M,,AOR,Restated
2014-06,467.00M,-3.00M,-104.00M,-107.00M,,,66.00M,66.00M,-8.00M,,,,33.00M,33.00M,-150.00M,85.00M,-499.00M,-159.00M,74.00M,-521.00M,-70.00M,,-20.00M,,,,309.00M,2.00M,303.00M,,286.00M,-101.00M,185.00M,,-381.00M,-381.00M,-111.00M,-111.00M,8.00M,-207.00M,-506.00M,,2.403B,-273.00M,11.00M,2.141B,,,1.076B,-790.00M,-381.00M,175.00M,111.00M,,AOR,Restated
2014-03,515.00M,-7.00M,-98.00M,-105.00M,,,63.00M,63.00M,-37.00M,,,,30.00M,30.00M,-144.00M,-183.00M,-23.00M,-85.00M,245.00M,-32.00M,434.00M,,-20.00M,,,,-142.00M,1.00M,-145.00M,,393.00M,-200.00M,193.00M,,-457.00M,-457.00M,-100.00M,-100.00M,11.00M,-168.00M,-521.00M,,2.632B,-232.00M,3.00M,2.403B,,,478.00M,-85.00M,-457.00M,50.00M,76.00M,,AOR,Restated
2013-12,380.00M,-9.00M,-76.00M,-85.00M,,,64.00M,64.00M,-45.00M,,,,37.00M,37.00M,-129.00M,72.00M,-325.00M,612.00M,-115.00M,-93.00M,258.00M,,-37.00M,,,,-642.00M,9.00M,-659.00M,,262.00M,0.00,262.00M,,-378.00M,-378.00M,-101.00M,-101.00M,18.00M,100.00M,-99.00M,,3.125B,-500.00M,7.00M,2.632B,,,689.00M,-427.00M,-378.00M,209.00M,89.00M,,AOR,Restated
2013-09,449.00M,-6.00M,-57.00M,-63.00M,,,59.00M,59.00M,-91.00M,,,,35.00M,35.00M,101.00M,85.00M,517.00M,378.00M,71.00M,810.00M,1.199B,,-30.00M,,,,-844.00M,18.00M,-833.00M,,548.00M,-1.00M,547.00M,,-398.00M,-398.00M,-103.00M,-103.00M,26.00M,339.00M,411.00M,,2.331B,777.00M,17.00M,3.125B,,,726.00M,-178.00M,-398.00M,89.00M,72.00M,,AOR,Restated
2013-06,281.00M,1.00M,-7.00M,-6.00M,,,58.00M,58.00M,-23.00M,,,,38.00M,38.00M,-187.00M,170.00M,-274.00M,437.00M,100.00M,25.00M,373.00M,,-24.00M,,,,291.00M,21.00M,301.00M,,87.00M,0.00,87.00M,,-401.00M,-401.00M,-105.00M,-105.00M,26.00M,-111.00M,-504.00M,,2.16B,170.00M,1.00M,2.331B,,,587.00M,-500.00M,-401.00M,93.00M,165.00M,,AOR,Restated
2013-03,365.00M,-1.00M,-27.00M,-28.00M,,,58.00M,58.00M,41.00M,,,,33.00M,33.00M,-52.00M,-193.00M,-353.00M,279.00M,-93.00M,-935.00M,-466.00M,,-14.00M,,,,371.00M,-2.00M,389.00M,,176.00M,-1.00M,175.00M,,-406.00M,-406.00M,-92.00M,-92.00M,48.00M,161.00M,-114.00M,,2.371B,-191.00M,-20.00M,2.16B,,,467.00M,-291.00M,-406.00M,,,,AOR,Restated
