,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2015-12,2.793B,2.793B,10.24B,13.03B,8.78B,8.78B,2.30B,178.00M,1.278B,,3.756B,208.00M,1.134B,26.91B,0.00,425.00M,3.96B,32.74B,,,37.12B,-23.70B,13.42B,15.60B,4.569B,20.17B,3.729B,,3.775B,41.09B,68.00B,,3.243B,634.00M,1.203B,,5.08B,4.078B,9.158B,,,4.557B,4.557B,406.00M,406.00M,,,14.12B,14.44B,14.44B,1.075B,1.075B,1.434B,,272.00M,1.028B,17.98B,32.10B,,12.69B,40.87B,,13.37B,,,-4.558B,35.63B,,AOR,Restated
2015-09,3.172B,3.172B,3.433B,6.605B,9.372B,9.372B,2.642B,201.00M,1.385B,,4.228B,150.00M,1.177B,21.53B,,,,,,,37.37B,-22.82B,14.55B,15.61B,4.524B,20.13B,3.798B,,3.324B,41.81B,63.34B,,7.186B,638.00M,1.425B,,9.249B,,9.249B,,,4.761B,4.761B,,,,,14.01B,7.487B,7.487B,1.276B,1.276B,1.282B,,238.00M,1.108B,11.15B,25.16B,,12.64B,42.52B,,13.02B,,,-4.193B,37.94B,,AOR,Restated
2015-06,3.541B,3.541B,3.733B,7.274B,9.569B,9.569B,2.774B,225.00M,1.582B,,4.581B,168.00M,1.269B,22.86B,,,,,,,37.33B,-22.48B,14.85B,15.52B,4.525B,20.05B,3.831B,,3.163B,41.89B,64.75B,,7.479B,640.00M,1.424B,,9.543B,,9.543B,,,4.231B,4.231B,,,,,13.77B,9.11B,9.11B,1.333B,1.333B,1.348B,,220.00M,1.003B,12.79B,26.57B,,12.59B,42.16B,,12.67B,,,-4.108B,37.96B,,AOR,Restated
2015-03,2.121B,2.121B,4.682B,6.803B,10.44B,10.44B,2.835B,240.00M,1.591B,,4.666B,156.00M,1.326B,23.39B,,,,,,,37.17B,-22.04B,15.14B,15.51B,4.575B,20.09B,3.708B,,3.087B,42.02B,65.41B,,8.469B,644.00M,1.631B,,10.74B,,10.74B,,,3.828B,3.828B,,,,,14.57B,8.898B,8.898B,1.363B,1.363B,1.419B,,210.00M,1.293B,12.97B,27.54B,,12.54B,41.67B,,12.26B,,,-4.285B,37.66B,,AOR,Restated
2014-12,3.13B,3.13B,4.371B,7.501B,11.17B,11.17B,2.666B,273.00M,1.689B,,4.628B,144.00M,1.25B,24.69B,0.00,445.00M,3.733B,32.79B,,,36.96B,-21.57B,15.40B,15.49B,4.654B,20.14B,3.677B,,2.996B,42.21B,66.90B,,4.344B,518.00M,1.647B,,6.509B,4.902B,11.41B,,,2.765B,2.765B,,,,,14.18B,10.56B,10.56B,1.296B,1.296B,1.501B,,199.00M,1.317B,14.68B,28.86B,,12.50B,41.33B,,11.77B,,,-4.206B,37.85B,,AOR,Restated
2014-09,3.118B,3.118B,3.641B,6.759B,12.35B,12.35B,2.637B,296.00M,1.769B,,4.702B,287.00M,1.373B,25.47B,,,,,,,37.30B,-21.50B,15.81B,15.24B,4.69B,19.93B,3.696B,,3.409B,42.85B,68.32B,,8.916B,522.00M,1.499B,,10.94B,,10.94B,,,1.451B,1.451B,,,,,12.39B,11.63B,11.63B,1.733B,1.733B,606.00M,,182.00M,1.28B,15.24B,27.63B,,12.43B,41.54B,,10.72B,,,-2.741B,40.50B,,AOR,Restated
2014-06,2.267B,2.267B,4.432B,6.699B,12.25B,12.25B,2.696B,314.00M,1.76B,,4.77B,235.00M,1.459B,25.41B,,,,,,,36.91B,-21.16B,15.74B,15.22B,4.738B,19.96B,3.822B,,3.149B,42.67B,68.09B,,8.692B,525.00M,1.529B,,10.75B,,10.75B,,,1.505B,1.505B,,,,,12.25B,11.74B,11.74B,1.656B,1.656B,699.00M,,166.00M,1.038B,15.13B,27.38B,,12.34B,40.11B,,9.514B,,,-2.399B,40.54B,,AOR,Restated
2014-03,3.752B,3.752B,3.326B,7.078B,11.68B,11.68B,2.59B,310.00M,1.831B,,4.731B,301.00M,1.563B,25.35B,,,,,,,35.72B,-20.60B,15.11B,14.83B,4.713B,19.54B,3.765B,,2.94B,41.36B,66.72B,,8.272B,527.00M,1.731B,,10.53B,,10.53B,,,1.369B,1.369B,,,,,11.90B,11.12B,11.12B,1.708B,1.708B,663.00M,,176.00M,1.147B,14.64B,26.54B,,12.25B,39.04B,,8.723B,,,-2.555B,40.00B,,AOR,Restated
2013-12,3.472B,3.472B,4.898B,8.37B,11.50B,11.50B,2.539B,261.00M,1.803B,,4.603B,288.00M,1.467B,26.22B,0.00,394.00M,3.534B,31.24B,,,35.16B,-20.07B,15.10B,14.71B,4.709B,19.42B,3.68B,,2.684B,40.88B,67.10B,,4.155B,415.00M,1.49B,,6.06B,4.682B,10.74B,,,2.783B,2.783B,,,,,13.52B,10.39B,10.39B,1.708B,1.708B,670.00M,,166.00M,1.169B,13.94B,27.46B,,12.19B,37.97B,,8.135B,,,-2.554B,39.47B,,AOR,Restated
2013-09,3.149B,3.149B,3.286B,6.435B,12.06B,12.06B,2.642B,296.00M,1.957B,,4.895B,278.00M,1.428B,25.09B,,,,,,,34.57B,-19.74B,14.83B,14.62B,4.732B,19.36B,3.661B,,2.186B,40.03B,65.12B,,8.366B,418.00M,1.471B,,10.26B,,10.26B,,,2.498B,2.498B,,,,,12.75B,9.916B,9.916B,1.479B,1.479B,1.833B,,146.00M,1.111B,14.34B,27.09B,,12.11B,36.71B,,7.208B,,,-3.726B,37.88B,,AOR,Restated
