,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2014-06,1.165B,1.165B,686.47M,478.44M,354.79M,0.224M,,,0.224M,0.224M,355.02M,123.43M,0.224M,,0.224M,,0.224M,123.65M,48.51M,75.14M,,,75.14M,75.14M,135.52M,12.09M,123.43M,0.56,,0.56,0.56,0.55,,0.55,0.55,134.70M,135.71M,0.18
2014-03,1.084B,1.084B,645.85M,438.50M,336.39M,0.333M,,,0.238M,0.238M,336.72M,101.78M,0.238M,,0.238M,,0.238M,102.01M,40.46M,61.55M,,,61.55M,61.55M,114.31M,12.53M,101.78M,0.45,,0.45,0.45,0.45,,0.45,0.45,135.33M,136.16M,0.18
2013-12,1.084B,1.084B,640.65M,443.22M,339.15M,0.40M,,,0.229M,0.229M,339.55M,103.66M,0.229M,,0.229M,,0.229M,103.89M,37.01M,66.88M,,,66.88M,66.88M,116.14M,12.48M,103.66M,0.4946,,0.4946,0.4946,0.49,,0.49,0.49,135.20M,137.08M,0.16
2013-09,1.075B,1.075B,637.64M,437.48M,333.56M,0.433M,,,0.233M,0.233M,334.00M,103.48M,0.233M,,0.233M,,0.233M,103.71M,37.36M,66.36M,,,66.36M,66.36M,115.58M,12.10M,103.48M,0.49,,0.49,0.49,0.48,,0.48,0.48,135.73M,137.24M,0.16
2013-06,1.063B,1.063B,631.12M,432.11M,331.31M,0.434M,,,0.236M,0.236M,331.75M,100.36M,0.236M,,0.236M,,0.236M,100.60M,37.51M,63.09M,,,63.09M,63.09M,112.37M,12.01M,100.36M,0.46,,0.46,0.46,0.46,,0.46,0.46,136.38M,137.66M,0.16
2013-03,1.024B,1.024B,613.39M,410.29M,320.78M,0.433M,,,0.304M,0.304M,321.22M,89.07M,0.304M,,0.304M,,0.304M,89.38M,33.51M,55.86M,,,55.86M,55.86M,101.25M,12.18M,89.07M,0.41,,0.41,0.41,0.4,,0.4,0.4,137.31M,138.39M,0.16
2012-12,1.034B,1.034B,617.79M,416.42M,319.30M,0.211M,,,0.33M,0.33M,319.51M,96.91M,0.33M,,0.33M,,0.33M,97.24M,38.62M,58.62M,,,58.62M,58.62M,109.13M,12.21M,96.91M,0.42,,0.42,0.42,0.42,,0.42,0.42,136.92M,138.43M,0.15
2012-09,1.033B,1.033B,617.92M,415.25M,321.03M,0.10M,,,0.348M,0.348M,321.13M,94.12M,0.348M,,0.348M,,0.348M,94.47M,36.81M,57.66M,,,57.66M,57.66M,106.26M,12.14M,94.12M,0.42,,0.42,0.42,0.41,,0.41,0.41,137.92M,139.14M,0.15
2012-06,1.028B,1.028B,613.08M,415.30M,343.26M,0.052M,,,0.285M,0.285M,343.32M,71.99M,0.285M,,0.285M,,0.285M,72.27M,26.94M,45.33M,,,45.33M,45.33M,84.07M,12.09M,71.99M,0.33,,0.33,0.33,0.32,,0.32,0.32,138.59M,139.74M,0.15
2012-03,1.015B,1.015B,613.36M,402.08M,322.02M,0.035M,,,0.234M,0.234M,322.05M,80.03M,0.234M,,0.234M,,0.234M,80.26M,31.93M,48.33M,,,48.33M,48.33M,92.31M,12.28M,80.03M,0.34,,0.34,0.34,0.34,,0.34,0.34,139.38M,140.44M,0.15
2011-12,973.47M,973.47M,586.15M,387.32M,315.48M,0.035M,,,,0.353M,315.51M,71.81M,,,0.353M,,0.353M,72.16M,29.54M,42.62M,,,42.62M,42.62M,84.60M,12.79M,71.81M,0.3,,0.3,0.3,0.3,,0.3,0.3,138.56M,140.04M,0.14
2011-09,984.67M,984.67M,592.76M,391.90M,319.82M,0.039M,,,,0.148M,319.86M,72.05M,,,0.148M,,0.148M,72.20M,28.03M,44.17M,,0.612M,44.17M,44.17M,84.89M,12.84M,72.05M,0.31,0.0,0.31,0.31,0.31,0.0,0.31,0.31,139.45M,140.43M,0.14
2011-06,937.97M,937.97M,565.68M,372.29M,311.20M,0.04M,,,,0.238M,311.24M,61.05M,,,0.238M,,0.238M,61.28M,24.86M,36.42M,,,36.42M,36.42M,74.03M,12.99M,61.05M,0.25,0.0,0.25,0.25,0.25,0.0,0.25,0.25,141.29M,142.58M,0.14
2011-03,880.87M,880.87M,542.78M,338.09M,293.69M,0.039M,,0.212M,,-0.212M,293.72M,44.36M,,0.212M,-0.212M,,-0.212M,44.58M,17.87M,26.70M,,0.412M,26.70M,26.70M,57.58M,12.80M,44.79M,0.18,0.0,0.18,0.18,0.18,0.0,0.18,0.18,142.65M,144.14M,0.14
2010-12,851.57M,851.57M,524.66M,326.91M,283.87M,0.049M,,,,0.258M,283.92M,42.99M,,,0.258M,,0.258M,43.25M,18.46M,24.79M,,,24.79M,24.79M,56.22M,13.23M,42.99M,0.17,,0.17,0.17,0.17,,0.17,0.17,141.79M,143.13M,0.13
2010-09,817.26M,817.26M,508.12M,309.14M,271.98M,0.046M,,,,0.153M,272.02M,37.12M,,,0.153M,,0.153M,37.27M,16.64M,20.62M,,,20.62M,20.62M,50.62M,13.51M,37.12M,0.14,0.0,0.14,0.14,0.14,0.0,0.14,0.14,142.23M,143.00M,0.13
2010-06,769.09M,769.09M,479.23M,289.86M,267.52M,0.046M,,,,0.094M,267.56M,22.29M,,,0.094M,,0.094M,22.39M,10.21M,12.18M,,,12.18M,12.18M,36.33M,14.03M,22.29M,0.08,0.0,0.08,0.08,0.08,0.0,0.08,0.08,143.10M,144.33M,0.13
2010-03,737.17M,737.17M,469.04M,268.13M,255.67M,0.269M,,,0.074M,0.074M,255.94M,12.19M,0.074M,,0.074M,,0.074M,12.26M,3.79M,8.475M,,,8.475M,8.475M,27.38M,15.19M,12.19M,0.05,0.0,0.05,0.05,0.05,0.0,0.05,0.05,144.24M,145.67M,0.13
2009-12,737.42M,737.42M,458.94M,278.48M,255.97M,0.281M,,3.077M,0.40M,-2.677M,253.37M,25.12M,0.40M,3.077M,-2.677M,,-2.677M,22.44M,8.911M,13.53M,,,13.53M,13.53M,41.36M,15.84M,25.52M,0.09,0.0,0.09,0.09,0.09,0.0,0.09,0.09,144.11M,145.14M,0.12
2009-09,725.91M,725.91M,459.50M,266.41M,248.87M,0.281M,,0.141M,0.30M,0.159M,249.15M,17.26M,0.30M,0.141M,0.159M,,0.159M,17.42M,7.888M,9.531M,,,9.531M,9.531M,33.30M,15.74M,17.56M,0.06,0.0,0.06,0.06,0.06,0.0,0.06,0.06,146.23M,147.12M,0.12
2009-06,749.89M,749.89M,484.83M,265.06M,255.01M,0.28M,,0.045M,0.50M,0.455M,255.29M,9.77M,0.50M,0.045M,0.455M,,0.455M,10.22M,4.809M,5.416M,,,5.416M,5.416M,27.08M,16.80M,10.27M,0.03,0.0,0.03,0.03,0.03,0.0,0.03,0.03,146.44M,147.04M,0.12
2009-03,823.32M,823.32M,529.60M,293.73M,277.05M,0.618M,,0.08M,0.70M,0.62M,277.67M,16.06M,0.70M,0.08M,0.62M,,0.62M,16.68M,7.892M,8.788M,,,8.788M,8.788M,33.64M,16.88M,16.76M,0.06,0.0,0.06,0.06,0.06,0.0,0.06,0.06,146.88M,147.14M,0.12
2008-12,989.84M,989.84M,587.45M,402.39M,334.90M,0.74M,,1.377M,1.70M,0.323M,335.64M,66.75M,1.70M,1.377M,0.323M,,0.323M,67.07M,28.07M,39.01M,,,39.01M,39.01M,85.90M,17.45M,68.45M,0.26,0.0,0.26,0.26,0.26,0.0,0.26,0.26,148.17M,148.56M,0.11
2008-09,1.160B,1.160B,676.51M,483.57M,374.12M,0.618M,,1.482M,2.80M,1.318M,374.74M,108.84M,2.80M,1.482M,1.318M,,1.318M,110.15M,44.33M,65.82M,,,65.82M,65.82M,130.23M,18.60M,111.64M,0.42,0.0,0.42,0.42,0.42,0.0,0.42,0.42,150.84M,151.94M,0.11
2008-06,1.225B,1.225B,708.02M,516.62M,393.39M,0.618M,,1.494M,3.00M,1.506M,394.01M,122.61M,3.00M,1.494M,1.506M,,1.506M,124.12M,49.55M,74.57M,,,74.57M,74.57M,144.52M,18.91M,125.61M,0.47,0.0,0.47,0.47,0.47,0.0,0.47,0.47,152.88M,153.89M,0.11
2008-03,1.226B,1.226B,715.00M,510.99M,394.43M,0.641M,,1.086M,3.10M,2.014M,395.07M,115.92M,3.10M,1.086M,2.014M,,2.014M,117.93M,47.15M,70.78M,,,70.78M,70.78M,137.27M,18.25M,119.02M,0.45,0.0,0.45,0.45,0.44,0.0,0.44,0.44,154.57M,155.74M,0.11
2007-12,1.220B,1.220B,696.45M,523.62M,393.91M,0.754M,,,,,394.64M,128.98M,,,,,,131.87M,53.05M,78.82M,,,78.82M,78.82M,164.70M,18.52M,146.18M,0.5,0.0,0.5,0.5,0.49,0.0,0.49,0.49,156.03M,158.42M,0.1
2007-09,1.179B,1.179B,678.25M,500.79M,381.03M,0.748M,,,,,381.78M,119.01M,,,,,,122.14M,48.18M,73.96M,,,73.96M,73.96M,137.60M,18.58M,119.01M,0.47,0.0,0.47,0.47,0.46,0.0,0.46,0.46,158.48M,161.90M,0.1
2007-06,1.149B,1.149B,656.44M,492.68M,374.64M,0.818M,,,,,375.45M,117.23M,,,,,,120.30M,47.58M,72.73M,,,72.73M,72.73M,135.38M,18.15M,117.23M,0.45,0.0,0.45,0.45,0.44,0.0,0.44,0.44,160.78M,164.77M,0.1
2007-03,1.097B,1.097B,636.70M,460.73M,348.38M,0.274M,,,,,348.65M,112.08M,,,,,,116.09M,45.39M,70.71M,,,70.71M,70.71M,128.27M,16.19M,112.08M,0.43,0.0,0.43,0.43,0.42,0.0,0.42,0.42,163.84M,168.88M,0.1
2006-12,1.060B,1.060B,609.18M,451.05M,331.56M,0.246M,,,,,331.81M,119.24M,,,,,,123.49M,48.12M,75.37M,,,75.37M,75.37M,134.75M,15.51M,119.24M,0.46,0.0,0.46,0.46,0.45,0.0,0.45,0.45,163.67M,168.85M,0.08
2006-09,1.028B,1.028B,595.57M,432.00M,316.73M,0.231M,,,,,316.96M,115.03M,,,,,,119.91M,46.26M,73.65M,,,73.65M,73.65M,130.43M,15.40M,115.03M,0.45,0.0,0.45,0.45,0.43,0.0,0.43,0.43,165.18M,169.98M,0.08
2006-06,981.82M,981.82M,563.82M,418.00M,308.17M,0.228M,,,,,308.40M,109.60M,,,,,,113.73M,45.08M,68.66M,,,68.66M,68.66M,124.67M,15.07M,109.60M,0.41,0.0,0.41,0.41,0.39,0.0,0.39,0.39,167.80M,174.10M,0.08
2006-03,943.92M,943.92M,550.72M,393.20M,287.48M,0.146M,,,,,287.63M,105.58M,,,,,,109.07M,43.57M,65.50M,,,65.50M,65.50M,120.68M,15.11M,105.58M,0.39,0.0,0.39,0.39,0.38,0.0,0.38,0.38,167.39M,173.97M,0.08
2005-12,884.76M,884.76M,517.84M,366.92M,263.66M,0.094M,,,,,263.75M,103.17M,,,,,,106.97M,42.36M,64.61M,,,64.61M,64.61M,103.27M,-5.823M,103.17M,0.39,0.0,0.39,0.39,0.37,0.0,0.37,0.37,166.96M,173.54M,0.07
2005-09,867.02M,867.02M,511.00M,356.01M,253.44M,0.093M,,,,,253.54M,102.47M,,,,,,105.64M,41.20M,64.44M,,,64.44M,64.44M,124.42M,21.95M,102.47M,0.39,0.0,0.39,0.39,0.37,0.0,0.37,0.37,166.55M,174.22M,0.07
2005-06,816.71M,816.71M,480.43M,336.28M,244.07M,0.074M,,,,,244.14M,92.14M,,,,,,94.28M,37.05M,57.23M,,,57.23M,57.23M,115.56M,23.42M,92.14M,0.34,0.0,0.34,0.34,0.33,0.0,0.33,0.33,167.28M,172.39M,0.07
2005-03,769.95M,769.95M,456.11M,313.83M,230.32M,0.074M,,,,,230.39M,83.44M,,,,,,85.28M,33.68M,51.59M,,,51.59M,51.59M,95.22M,11.78M,83.44M,0.3,0.0,0.3,0.3,0.29,0.0,0.29,0.29,169.90M,176.21M,0.07
2004-12,754.20M,754.20M,450.89M,303.31M,222.12M,0.099M,,,,,222.22M,81.09M,,,,,,82.36M,32.69M,49.67M,,,49.67M,49.67M,98.75M,17.66M,81.09M,0.29,0.0,0.29,0.29,0.27,0.0,0.27,0.27,169.83M,178.76M,0.06
2004-09,707.99M,707.99M,425.65M,282.34M,212.16M,0.099M,,,,,212.25M,70.08M,,,,,,71.21M,28.13M,43.08M,,,43.08M,43.08M,88.76M,18.68M,70.08M,0.25,0.0,0.25,0.25,0.24,0.0,0.24,0.24,170.04M,176.64M,0.06
2004-06,641.23M,641.23M,386.60M,254.63M,198.98M,0.738M,,,,,199.72M,54.92M,,,,,,55.66M,23.22M,32.44M,,,32.44M,32.44M,72.49M,17.58M,54.92M,0.19,0.0,0.19,0.19,0.18,0.0,0.18,0.18,169.78M,176.89M,0.06
2004-03,572.28M,572.28M,356.26M,216.03M,191.13M,0.089M,,,,,191.22M,24.81M,,,,,,25.44M,10.02M,15.42M,,,15.42M,15.42M,43.20M,18.39M,24.81M,0.09,0.0,0.09,0.09,0.09,0.0,0.09,0.09,169.31M,174.77M,0.0
2003-12,517.66M,517.66M,325.06M,192.60M,183.34M,1.952M,,,,,185.29M,7.306M,,,,,,7.948M,3.10M,4.848M,,,4.848M,4.848M,47.09M,39.79M,7.306M,0.03,0.0,0.03,0.03,0.03,0.0,0.03,0.03,212.28M,230.10M,0.0
2003-09,501.14M,501.14M,314.03M,187.11M,176.10M,2.791M,,,,,178.89M,8.223M,,,,,,8.813M,3.966M,4.847M,,,4.847M,4.847M,13.67M,5.449M,8.223M,0.03,0.0,0.03,0.03,0.03,0.0,0.03,0.03,161.57M,161.57M,0.0
2003-06,482.96M,482.96M,305.59M,177.38M,175.00M,2.759M,,,,,177.76M,-0.386M,,,,,,0.204M,0.07M,0.134M,,,0.134M,0.134M,27.66M,28.04M,-0.386M,0.0008,,0.0008,0.0008,0.0008,,0.0008,0.0008,171.95M,171.95M,0.0
2003-03,473.23M,473.23M,303.58M,169.65M,172.91M,2.775M,,,,,175.68M,-6.031M,,,,,,-5.25M,-1.811M,-3.439M,,,-3.439M,-3.439M,10.51M,16.54M,-6.031M,-0.02,0.0,-0.02,-0.02,-0.02,0.0,-0.02,-0.02,171.95M,171.95M,0.0
2002-12,478.58M,478.58M,307.30M,171.28M,180.74M,2.737M,,,,,183.47M,-12.19M,,,,,,-11.40M,-4.332M,-7.067M,,,-7.067M,-7.067M,30.08M,42.27M,-12.19M,-0.04,0.0,-0.04,-0.04,-0.04,0.0,-0.04,-0.04,135.84M,157.06M,0.0
2002-09,484.78M,484.78M,309.34M,175.44M,178.73M,2.685M,,,,,181.42M,-5.98M,,,,,,-4.954M,-1.882M,-3.072M,,,-3.072M,-3.072M,12.86M,18.84M,-5.98M,-0.02,0.0,-0.02,-0.02,-0.02,0.0,-0.02,-0.02,153.60M,153.60M,0.0
2002-06,473.12M,473.12M,290.00M,183.12M,178.56M,0.859M,,,,,179.42M,3.695M,,,,,,5.153M,1.958M,3.195M,,,3.195M,3.195M,22.12M,18.42M,3.695M,0.02,0.0,0.02,0.02,0.02,0.0,0.02,0.02,159.75M,159.75M,0.0
2002-03,468.47M,468.47M,283.57M,184.90M,171.51M,,,,,,171.51M,13.39M,,,,,,14.70M,5.585M,9.112M,,,9.112M,9.112M,30.61M,17.22M,13.39M,0.05,0.0,0.05,0.05,0.05,0.0,0.05,0.05,182.24M,182.24M,0.0
2001-12,510.48M,510.48M,308.22M,202.26M,181.98M,1.333M,,,,,183.32M,18.95M,,,,,,20.56M,7.876M,12.69M,,,12.69M,12.69M,37.98M,19.03M,18.95M,0.07,0.0,0.07,0.07,0.07,0.0,0.07,0.07,177.46M,180.93M,0.0
2001-09,574.69M,574.69M,344.12M,230.56M,193.96M,1.333M,,,,,195.29M,35.27M,,,,,,37.52M,14.37M,23.15M,,,23.15M,23.15M,54.47M,19.20M,35.27M,0.13,0.0,0.13,0.13,0.13,0.0,0.13,0.13,178.05M,178.05M,0.0
2001-06,648.40M,648.40M,375.64M,272.76M,212.55M,1.333M,,,,,213.88M,58.88M,,,,,,61.13M,23.41M,37.72M,,,37.72M,37.72M,77.21M,18.33M,58.88M,0.22,0.0,0.22,0.22,0.21,0.0,0.21,0.21,171.44M,179.60M,0.0
2001-03,719.27M,719.27M,408.29M,310.99M,234.98M,1.336M,,,,,236.32M,74.67M,,,,,,77.08M,29.52M,47.56M,,,47.56M,47.56M,91.22M,16.56M,74.67M,0.27,0.0,0.27,0.27,0.26,0.0,0.26,0.26,176.14M,182.91M,0.0
2000-12,705.89M,705.89M,387.60M,318.29M,228.84M,,,,,,244.15M,74.14M,,,,,,77.54M,29.70M,47.84M,,,47.84M,47.84M,89.45M,15.31M,74.14M,0.27,0.0,0.27,0.27,0.26,0.0,0.26,0.26,177.19M,183.90M,0.0
2000-09,689.58M,689.58M,380.73M,308.86M,219.88M,,,,,,234.12M,74.74M,,,,,,77.86M,29.82M,48.04M,,,48.04M,48.04M,88.98M,14.24M,74.74M,0.27,0.0,0.27,0.27,0.26,0.0,0.26,0.26,177.91M,184.76M,0.0
2000-06,671.00M,671.00M,369.13M,301.87M,214.75M,,,,,,228.41M,73.46M,,,,,,75.92M,29.08M,46.84M,,,46.84M,46.84M,87.12M,13.66M,73.46M,0.26,0.0,0.26,0.26,0.25,0.0,0.25,0.25,180.17M,187.37M,0.0
2000-03,632.85M,632.85M,349.62M,283.23M,200.94M,,,,,,214.37M,68.85M,,,,,,70.31M,26.93M,43.38M,,,43.38M,43.38M,82.28M,13.43M,68.85M,0.245,0.0,0.245,0.245,0.235,0.0,0.235,0.235,177.06M,184.60M,0.0
1999-12,569.80M,569.80M,321.60M,248.20M,176.00M,,,,,,187.10M,61.10M,,,,,,62.50M,24.90M,37.60M,,,37.60M,37.60M,72.20M,11.10M,61.10M,0.21,0.0,0.21,0.21,0.21,0.0,0.21,0.21,178.81M,178.81M,0.0
1999-09,529.50M,529.50M,298.70M,230.80M,164.70M,,,,,,175.30M,55.50M,,,,,,57.20M,22.70M,34.50M,,,34.50M,34.50M,66.10M,10.60M,55.50M,0.19,0.0,0.19,0.19,0.19,0.0,0.19,0.19,181.58M,181.58M,0.0
1999-06,497.06M,497.06M,284.50M,212.56M,148.70M,,1.50M,,,,158.20M,54.36M,,,,1.50M,,55.90M,22.00M,33.90M,,,33.90M,32.99M,63.86M,9.50M,54.36M,0.19,0.0,0.1849,0.19,0.19,0.0,0.1849,0.19,178.42M,178.42M,0.0
