,NetIncome,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",AmortizationofSecurities,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2018-03,,,,,,,,,,,,,,,1.296B,,,,-121.00M,1.637B,86.00M,-485.00M,-18.00M,,-18.00M,,-1.041B,-1.041B,494.00M,,494.00M,-416.00M,-6.00M,-422.00M,37.00M,576.00M,218.00M,12.70B,1.029B,197.00M,13.93B,494.00M,14.00M,-32.00M,-1.041B,146.00M,243.00M
2017-12,,,,,,,,,,,,,,,2.05B,,,,-222.00M,1.484B,-90.00M,282.00M,-1.013B,,-1.013B,,-622.00M,-622.00M,0.00,,0.00,-422.00M,-45.00M,-467.00M,-42.00M,962.00M,-2.595B,13.02B,-263.00M,-59.00M,12.70B,0.00,0.00,-1.013B,-622.00M,897.00M,312.00M
2017-09,,,,,,,,,,,,,,,4.734B,,,,-1.063B,-8.09B,-62.00M,-10.01B,617.00M,,617.00M,,-495.00M,-495.00M,0.00,,0.00,-3.22B,-6.00M,-3.226B,-15.00M,2.891B,883.00M,17.32B,-4.392B,96.00M,13.02B,0.00,668.00M,-51.00M,-495.00M,128.00M,232.00M
2017-06,,,,,,,,,,,,,,,3.401B,,,,-92.00M,-1.783B,-96.00M,-2.873B,2.984B,,2.984B,,-952.00M,-952.00M,,,,-431.00M,-46.00M,-477.00M,-282.00M,-2.78B,-693.00M,17.41B,-165.00M,73.00M,17.32B,,2.989B,-5.00M,-952.00M,396.00M,319.00M
2017-03,,,,,,,,,,,,,,,2.098B,,,,99.00M,-2.301B,-98.00M,-4.276B,-4.00M,,-4.00M,,-858.00M,-858.00M,0.00,,0.00,-437.00M,-6.00M,-443.00M,188.00M,2.225B,1.499B,17.88B,-679.00M,213.00M,17.41B,0.00,0.00,-4.00M,-858.00M,109.00M,255.00M
2016-12,,,,,,,,,,,,,,,5.643B,,,,49.00M,12.69B,-73.00M,8.736B,-6.00M,,-6.00M,,-302.00M,-302.00M,,,,-441.00M,-45.00M,-486.00M,-1.031B,911.00M,-11.78B,15.88B,2.602B,-608.00M,17.88B,,0.00,-6.00M,-302.00M,672.00M,1.202B
2016-09,,,,,,,,,,,,,,,2.927B,,,,326.00M,-2.996B,-139.00M,-4.678B,-9.00M,,-9.00M,,0.00,0.00,,,,-441.00M,-6.00M,-447.00M,-142.00M,2.578B,613.00M,17.07B,-1.138B,-46.00M,15.88B,,0.00,-9.00M,0.00,-393.00M,-623.00M
2016-06,,,,,,,,,,,,,,,4.291B,,,,-4.00M,-2.858B,-222.00M,-4.169B,-1.259B,,-1.259B,,0.00,0.00,,,,-441.00M,-46.00M,-487.00M,-181.00M,870.00M,3.376B,13.29B,3.498B,279.00M,17.07B,,0.00,-1.259B,0.00,268.00M,374.00M
2016-03,,,,,,,,,,,,,,,1.913B,,,,14.00M,-4.082B,-23.00M,-5.739B,-5.00M,0.00,-5.00M,,-70.00M,-70.00M,,,,-413.00M,-6.00M,-419.00M,-13.00M,637.00M,4.291B,12.75B,465.00M,73.00M,13.29B,,,-5.00M,-70.00M,125.00M,249.00M
2015-12,,,,,,,,,,,,,,,4.525B,,,,474.00M,-1.902B,132.00M,-3.491B,1.955B,,1.955B,,-823.00M,-823.00M,0.00,0.00,0.00,-419.00M,-49.00M,-468.00M,,1.909B,1.634B,10.22B,2.668B,-132.00M,12.75B,0.00,2.315B,-360.00M,-823.00M,223.00M,342.00M
2015-09,,,,,,,,,,,,,,,2.639B,,,,11.00M,-642.00M,-41.00M,-147.00M,28.00M,0.00,28.00M,,-107.00M,-107.00M,-2.00M,-570.00M,-572.00M,-420.00M,-6.00M,-426.00M,,-1.67B,-288.00M,8.074B,2.204B,-62.00M,10.22B,-2.00M,86.00M,-58.00M,-677.00M,560.00M,249.00M
2015-06,,,,,,,,,,,,,,,4.202B,,,,-91.00M,1.475B,-64.00M,140.00M,-1.013B,0.00,-1.013B,,-14.00M,-14.00M,1.485B,-932.00M,553.00M,-420.00M,-31.00M,-451.00M,,-1.582B,-4.287B,8.127B,55.00M,-108.00M,8.074B,1.485B,0.00,-1.013B,-946.00M,197.00M,373.00M
2015-03,,,,,,,,,,,,,,,2.686B,,,,4.00M,-4.111B,-86.00M,-6.90B,1.485B,,1.485B,,-986.00M,-986.00M,,,,-394.00M,-30.00M,-424.00M,,-337.00M,1.723B,10.81B,-2.491B,-190.00M,8.127B,,1.492B,-7.00M,-986.00M,147.00M,214.00M
2014-12,,,,,,,,,,,,,,,5.426B,,,,-174.00M,-93.00M,-210.00M,-3.386B,-60.00M,0.00,-60.00M,,-557.00M,443.00M,0.00,0.00,0.00,-398.00M,-31.00M,-429.00M,,-478.00M,279.00M,8.783B,2.319B,-294.00M,10.81B,1.00B,0.00,-60.00M,-557.00M,335.00M,372.00M
2014-09,,,,,,,,,,,,,,,4.029B,,,,-342.00M,-2.878B,-21.00M,-4.969B,-318.00M,0.00,-318.00M,,-439.00M,-439.00M,0.00,0.00,0.00,-395.00M,-30.00M,-425.00M,,3.003B,2.411B,7.393B,1.471B,-81.00M,8.783B,0.00,0.00,-318.00M,-439.00M,81.00M,218.00M
2014-06,,,,,,,,,,,,,,,4.437B,,,,-1.00M,-8.653B,-44.00M,-8.864B,-24.00M,0.00,-24.00M,,-4.00M,-4.00M,0.00,0.00,0.00,-395.00M,-31.00M,-426.00M,,2.846B,3.225B,8.573B,-1.202B,22.00M,7.393B,0.00,1.00B,-1.024B,-4.00M,235.00M,378.00M
2014-03,,,,,,,,,,,,,,,2.484B,,,,-265.00M,2.325B,-66.00M,2.164B,-1.46B,-75.00M,-1.535B,,0.00,0.00,,,,-311.00M,-30.00M,-341.00M,,-3.841B,-3.659B,7.585B,989.00M,-1.00M,8.573B,,0.00,-1.46B,0.00,97.00M,245.00M
2013-12,,,,,,,,,,,,,,,6.147B,,,,-1.851B,-5.57B,-68.00M,-8.59B,391.00M,75.00M,466.00M,0.00,0.00,0.00,,,,-311.00M,-31.00M,-342.00M,,8.00M,-1.323B,11.38B,-3.766B,-25.00M,7.585B,0.00,1.372B,-981.00M,0.00,138.00M,379.00M
2013-09,,,,,,,,,,,,,,,2.67B,,,,-102.00M,3.397B,-40.00M,1.278B,-409.00M,0.00,-409.00M,1.00B,0.00,1.00B,,,,-303.00M,-30.00M,-333.00M,,-671.00M,-1.794B,9.184B,2.154B,38.00M,11.38B,1.00B,0.00,-409.00M,0.00,95.00M,273.00M
2013-06,,,,,,,,,,,,,,,4.581B,,,,-160.00M,2.752B,-18.00M,1.866B,-116.00M,0.00,-116.00M,,0.00,0.00,,,,-302.00M,-31.00M,-333.00M,,-5.697B,-7.114B,9.983B,-667.00M,-132.00M,9.184B,,0.00,-116.00M,0.00,227.00M,354.00M
2013-03,,,,,,,,,,,,,,,2.733B,,,,117.00M,-3.835B,-6.355B,-9.719B,-240.00M,0.00,-240.00M,,,,,,,-203.00M,-30.00M,-233.00M,,1.269B,1.324B,15.74B,-5.662B,-93.00M,9.983B,,,-240.00M,,217.00M,264.00M
2012-12,,,,,,,,,,,,,,,1.872B,,,,538.00M,-1.435B,-84.00M,2.146B,-596.00M,0.00,-596.00M,1.00B,,1.00B,,,,-811.00M,-31.00M,-842.00M,,27.00M,-5.217B,16.95B,-1.199B,-13.00M,15.74B,1.00B,0.00,-596.00M,,112.00M,389.00M
2012-09,,,,,,,,,,,,,,,3.186B,,,,-194.00M,-129.00M,5.00M,-1.298B,748.00M,-1.00M,747.00M,0.00,,0.00,,,,0.00,-30.00M,-30.00M,,53.00M,-1.039B,16.04B,849.00M,66.00M,16.95B,0.00,832.00M,-84.00M,,140.00M,452.00M
2012-06,,,,,,,,,,,,,,,6.344B,,,,-43.00M,-13.84B,-39.00M,-14.94B,-118.00M,0.00,-118.00M,,,,,,,0.00,-31.00M,-31.00M,,-1.606B,6.051B,18.67B,-2.549B,-83.00M,16.04B,,555.00M,-673.00M,,219.00M,228.00M
2012-03,,,,,,,,,,,,,,,5.758B,,,,-90.00M,2.419B,-40.00M,2.167B,212.00M,-585.00M,-373.00M,,,,,,,0.00,-30.00M,-30.00M,,1.863B,240.00M,10.46B,8.165B,41.00M,18.67B,,561.00M,-349.00M,,83.00M,266.00M
2011-12,,,,,,,,,,,,,,,1.239B,,,,-59.00M,-1.395B,-65.00M,1.125B,-850.00M,-7.426B,-8.276B,0.00,,0.00,,-146.00M,-146.00M,,-31.00M,-818.00M,-77.00M,1.073B,-1.80B,10.05B,564.00M,-155.00M,10.46B,0.00,0.00,-850.00M,-146.00M,8.00M,381.00M
2011-09,,,,,,,,,,,,,,,2.246B,,,,-4.00M,-3.616B,-702.00M,-6.45B,-352.00M,5.203B,4.851B,0.00,,0.00,,0.00,0.00,,-30.00M,-30.00M,4.00M,-229.00M,4.596B,9.673B,392.00M,-13.00M,10.05B,0.00,125.00M,-477.00M,0.00,82.00M,350.00M
2011-06,,,,,,,,,,,,,,,3.289B,,,,-51.00M,-7.886B,651.00M,-8.801B,475.00M,984.00M,1.459B,0.00,,0.00,,0.00,0.00,,-31.00M,-31.00M,26.00M,2.87B,4.324B,10.81B,-1.188B,53.00M,9.673B,0.00,941.00M,-466.00M,0.00,171.00M,501.00M
2011-03,,,,,,,,,,,,,,,3.499B,,,,320.00M,-7.846B,-53.00M,-8.092B,31.00M,1.619B,1.65B,2.95B,,2.95B,,-2.805B,-2.805B,,-30.00M,-30.00M,47.00M,450.00M,2.262B,13.05B,-2.331B,93.00M,10.81B,2.95B,280.00M,-249.00M,-2.805B,415.00M,333.00M
2010-12,,,,,,,,,,,,,,,2.792B,,,,-3.507B,5.583B,702.00M,1.066B,128.00M,-9.446B,-9.318B,0.00,,0.00,,0.00,0.00,,-31.00M,-815.00M,-32.00M,1.841B,-5.248B,14.56B,-1.39B,-121.00M,13.05B,0.00,500.00M,-372.00M,0.00,-109.00M,492.00M
2010-09,,,,,,,,,,,,,,,1.265B,,,,201.00M,-7.574B,-793.00M,-9.249B,3.734B,3.297B,7.031B,3.529B,,3.529B,,0.00,0.00,,-30.00M,-30.00M,6.00M,1.232B,11.77B,10.70B,3.784B,71.00M,14.56B,3.529B,3.912B,-178.00M,0.00,98.00M,253.00M
2010-06,,,,,,,,,,,,,,,1.057B,,,,-132.00M,-2.077B,-60.00M,-2.522B,326.00M,4.351B,4.677B,0.00,,0.00,,0.00,0.00,,-31.00M,-31.00M,26.00M,-1.656B,3.016B,9.202B,1.551B,-51.00M,10.70B,0.00,515.00M,-189.00M,0.00,-77.00M,486.00M
2010-03,,,,,,,,,,,,,,,2.871B,,,,-69.00M,-7.247B,-35.00M,-7.598B,-159.00M,1.192B,1.033B,0.00,,0.00,,0.00,0.00,,-30.00M,-30.00M,,2.842B,3.845B,10.11B,-882.00M,-28.00M,9.202B,0.00,163.00M,-322.00M,0.00,88.00M,258.00M
2009-12,,,,,,,,,,,,,,,1.085B,,,,-277.00M,-5.954B,-423.00M,-6.578B,905.00M,-8.082B,-7.177B,0.00,,0.00,,,,,-31.00M,-641.00M,,7.841B,23.00M,15.56B,-5.47B,20.00M,10.11B,0.00,941.00M,-711.00M,,99.00M,378.00M
2009-09,,,,,,,,,,,,,,,3.945B,213.00M,,213.00M,20.00M,-1.606B,-26.00M,1.524B,302.00M,3.826B,4.128B,0.00,,0.00,,,,,-30.00M,-30.00M,,-7.222B,-3.124B,13.21B,2.345B,4.00M,15.56B,0.00,-2.203B,6.759B,,103.00M,136.00M
2009-06,,,,,,,,,,,,,,,-242.00M,-39.00M,,-39.00M,-35.00M,-5.993B,-48.00M,-7.263B,1.775B,-855.00M,920.00M,0.00,,0.00,,,,,-31.00M,-31.00M,,277.00M,1.166B,19.42B,-6.339B,128.00M,13.21B,0.00,1.09B,-170.00M,,110.00M,362.00M
2009-03,,,,,,,,,,,,,,,-985.00M,-174.00M,,-174.00M,223.00M,-579.00M,-55.00M,-1.618B,404.00M,-3.499B,-3.095B,1.035B,,1.035B,,,,,-30.00M,-30.00M,,-78.00M,-2.168B,24.24B,-4.771B,-44.00M,19.42B,1.035B,3.738B,-6.833B,,85.00M,113.00M
2008-12,3.278B,-1.127B,679.00M,-448.00M,375.00M,375.00M,-939.00M,-5.296B,-1.929B,920.00M,3.606B,5.47B,199.00M,8.821B,3.70B,-232.00M,,-232.00M,-332.00M,10.92B,-51.00M,3.586B,-1.938B,-11.52B,-13.46B,2.226B,0.00,2.226B,,,,,-31.00M,-623.00M,2.00M,8.838B,-3.019B,20.21B,4.267B,-237.00M,24.24B,2.226B,610.00M,-14.07B,0.00,27.00M,1.107B
2008-09,-1.656B,-1.226B,66.00M,-1.16B,-334.00M,-334.00M,526.00M,2.838B,569.00M,-243.00M,-737.00M,-2.884B,-11.00M,-2.972B,1.584B,-316.00M,622.00M,-938.00M,-1.509B,5.593B,858.00M,3.266B,898.00M,-1.36B,-462.00M,1.035B,0.00,1.035B,,,,,-30.00M,-30.00M,12.00M,1.158B,1.713B,13.82B,6.563B,-169.00M,20.21B,1.035B,-354.00M,-108.00M,0.00,-315.00M,-572.00M
2008-06,996.00M,361.00M,-121.00M,240.00M,113.00M,113.00M,-274.00M,-1.421B,-446.00M,189.00M,867.00M,542.00M,-4.00M,917.00M,1.875B,-311.00M,-622.00M,311.00M,841.00M,-4.00M,-1.017B,-1.785B,829.00M,1.834B,2.663B,0.00,0.00,0.00,,,,,-31.00M,-31.00M,14.00M,195.00M,2.841B,10.87B,2.931B,10.00M,13.82B,0.00,2.685B,-22.00M,0.00,164.00M,411.00M
2008-03,660.00M,865.00M,55.00M,920.00M,221.00M,221.00M,-252.00M,-1.417B,-123.00M,54.00M,-130.00M,2.342B,15.00M,2.055B,3.543B,-311.00M,,-311.00M,-696.00M,-5.604B,63.00M,-7.738B,78.00M,-35.00M,43.00M,,-1.25B,-1.25B,,,,,-33.00M,-33.00M,17.00M,5.877B,4.654B,10.37B,459.00M,47.00M,10.87B,,140.00M,-97.00M,-1.25B,151.00M,161.00M
2007-12,,,,,,,,,,,,,,,2.98B,1.779B,,1.779B,-219.00M,8.382B,-2.50B,5.144B,5.791B,-2.923B,2.868B,0.00,-730.00M,-730.00M,,,,,-35.00M,-576.00M,15.00M,-7.89B,-6.444B,8.627B,1.68B,,10.37B,0.00,5.794B,-3.00M,-861.00M,2.128B,1.011B
2007-09,,,,,,,,,,,,,,,2.781B,-1.779B,,-1.779B,-519.00M,3.643B,-40.00M,-1.076B,-2.22B,404.00M,-1.816B,0.00,-200.00M,-200.00M,,,,,-34.00M,-34.00M,20.00M,2.448B,418.00M,6.504B,2.123B,,8.627B,0.00,-2.204B,-16.00M,-200.00M,-1.447B,-449.00M
2007-06,,,,,,,,,,,,,,,1.931B,,,,-24.00M,-7.296B,-584.00M,-7.926B,2.092B,-1.899B,193.00M,,-17.00M,-17.00M,,,,,-34.00M,-34.00M,75.00M,5.737B,5.954B,6.545B,-41.00M,,6.504B,,2.322B,-230.00M,-17.00M,1.447B,449.00M
2007-03,,,,,,,,,,,,,,,2.21B,,,,25.00M,-7.311B,500.00M,-6.786B,353.00M,1.926B,2.279B,,-758.00M,-758.00M,,,,,-34.00M,-34.00M,,2.527B,4.014B,7.107B,-562.00M,,6.545B,,390.00M,-37.00M,-758.00M,,
2006-12,4.011B,,,,,,,-5.972B,,,,,,,-1.961B,115.00M,115.00M,,250.00M,17.12B,650.00M,18.13B,-1.301B,-636.00M,-1.937B,-65.00M,-500.00M,-565.00M,,,,,-34.00M,-484.00M,,-13.74B,-16.73B,5.924B,-558.00M,,1.526B,-65.00M,-1.033B,-268.00M,-500.00M,,
2006-09,951.00M,,,,,,,897.00M,,,,,,,1.848B,-115.00M,-115.00M,,0.00,-18.77B,17.11B,-1.772B,-44.00M,-548.00M,-592.00M,23.00M,0.00,23.00M,,,,,-34.00M,-34.00M,,2.325B,1.722B,4.126B,1.798B,,5.924B,23.00M,64.00M,-108.00M,0.00,,
2006-06,1.331B,,,,,,,2.697B,,,,,,,1.676B,,,,48.00M,-700.00M,-3.412B,-4.064B,768.00M,893.00M,1.661B,24.00M,0.00,24.00M,,,,,-33.00M,-33.00M,,-282.00M,1.37B,5.144B,-1.018B,,4.126B,24.00M,869.00M,-101.00M,0.00,,
2006-03,,,,,,,,,,,,,,,2.352B,,,,0.00,-63.00M,-15.04B,-15.10B,77.00M,-54.00M,23.00M,18.00M,0.00,18.00M,,,,,-33.00M,-33.00M,,13.87B,13.88B,4.018B,1.126B,,5.144B,18.00M,100.00M,-23.00M,0.00,,
2005-12,709.00M,,,,,,,-5.764B,,,,,,,63.00M,,,,-862.00M,224.00M,11.51B,10.87B,-448.00M,1.127B,679.00M,-59.00M,,-59.00M,0.00,,0.00,,-32.00M,-426.00M,,-14.42B,-14.22B,6.95B,-3.289B,,178.00M,-59.00M,-630.00M,182.00M,,,
2005-09,773.00M,,,,,,,444.00M,,,,,,,1.217B,,,,-10.17B,7.411B,-12.27B,-15.03B,225.00M,-700.00M,-475.00M,21.00M,,21.00M,0.00,,0.00,,-31.00M,-31.00M,,7.635B,7.15B,13.61B,-6.659B,,6.95B,21.00M,257.00M,-32.00M,,,
2005-06,2.245B,,,,,,,-282.00M,,,,,,,1.963B,,,,0.00,828.00M,-933.00M,-105.00M,1.922B,859.00M,2.781B,19.00M,,19.00M,2.10B,,2.10B,,0.00,0.00,,2.926B,7.826B,3.925B,9.684B,,13.61B,2.119B,2.944B,-1.022B,,,
2005-03,987.00M,,,,,,,669.00M,,,,,,,1.656B,,,,252.00M,-7.146B,-123.00M,-7.017B,28.00M,-325.00M,-297.00M,19.00M,,19.00M,,,,,0.00,0.00,,5.458B,5.18B,4.106B,-181.00M,,3.925B,19.00M,162.00M,-134.00M,,,
2004-12,613.00M,,,,,,,-7.492B,,,,,,,2.25B,,,,-7.00M,8.592B,-12.05B,-3.467B,706.00M,-102.00M,-2.694B,7.00M,-504.00M,-497.00M,,,,,,-343.00M,,5.226B,1.692B,3.631B,475.00M,,4.106B,7.00M,709.00M,-3.00M,-504.00M,,
2004-09,680.00M,,,,,,,185.00M,,,,,,,865.00M,,,,0.00,-4.693B,54.00M,-4.639B,2.068B,-1.651B,417.00M,21.00M,-221.00M,-200.00M,0.00,,0.00,,0.00,0.00,,2.729B,2.946B,4.459B,-828.00M,,3.631B,21.00M,2.093B,-25.00M,-221.00M,,
2004-06,867.00M,,,,,,,1.402B,,,,,,,2.269B,,,,0.00,-3.361B,32.00M,-3.329B,518.00M,150.00M,668.00M,16.00M,-210.00M,-194.00M,0.00,,0.00,,,,,1.899B,2.373B,3.146B,1.313B,,4.459B,16.00M,602.00M,-84.00M,-210.00M,,
2004-03,598.00M,,,,,,,528.00M,,,,,,,1.126B,,,,29.00M,-2.573B,-431.00M,-2.975B,6.00M,-575.00M,-569.00M,2.00M,-65.00M,-63.00M,,,,,,,,1.894B,1.262B,3.733B,-587.00M,,3.146B,2.00M,13.00M,-7.00M,-65.00M,,
2003-12,701.00M,,,,,,,-6.804B,,,,,,,2.083B,285.00M,285.00M,,31.00M,-13.20B,7.477B,-5.411B,-1.00M,707.00M,535.00M,-691.00M,-97.00M,-788.00M,,,,,,,,2.117B,1.689B,5.372B,-1.639B,,3.733B,-691.00M,709.00M,-710.00M,-97.00M,,
2003-09,650.00M,,,,,,,1.096B,,,,,,,1.746B,-285.00M,-285.00M,,-13.00M,-4.096B,166.00M,-4.228B,62.00M,-508.00M,-446.00M,0.00,0.00,0.00,,,,,,,,2.586B,2.14B,5.714B,-342.00M,,5.372B,0.00,64.00M,-2.00M,0.00,,
2003-06,571.00M,,,,,,,1.654B,,,,,,,2.225B,,,,0.00,-6.126B,-202.00M,-6.328B,80.00M,1.002B,1.082B,1.009B,0.00,1.009B,,,,,,,,2.788B,4.879B,4.938B,776.00M,,5.714B,1.009B,123.00M,-43.00M,0.00,,
2003-03,295.00M,,,,,,,681.00M,,,,,,,976.00M,,,,0.00,-1.428B,-293.00M,-1.721B,30.00M,1.28B,1.31B,,0.00,0.00,,,,,,,,2.05B,3.36B,2.323B,2.615B,,4.938B,,38.00M,-8.00M,0.00,,
2002-12,615.00M,,,,,,,-4.467B,,,,,,,1.64B,879.00M,879.00M,,0.00,-7.104B,165.00M,-6.06B,997.00M,283.00M,483.00M,,0.00,0.00,,,,,,,,2.76B,3.096B,3.647B,-1.324B,,2.323B,,998.00M,-1.00M,0.00,,
2002-09,279.00M,,,,,,,366.00M,,,,,,,645.00M,-879.00M,-879.00M,,0.00,-5.816B,3.878B,-2.817B,-8.00M,826.00M,626.00M,,-40.00M,-40.00M,,,,,,,,1.67B,2.256B,3.563B,84.00M,,3.647B,,7.00M,-15.00M,-40.00M,,
2002-06,382.00M,,,,,,,935.00M,,,,,,,1.317B,,,,-879.00M,-2.442B,832.00M,-2.489B,2.00M,-494.00M,-494.00M,,-191.00M,-191.00M,,,,,,,,1.396B,711.00M,4.024B,-461.00M,,3.563B,,3.00M,-1.00M,-191.00M,,
2002-03,329.00M,,,,,,,249.00M,,,,,,,578.00M,,,,,-4.225B,-622.00M,-4.847B,-194.00M,191.00M,191.00M,,-240.00M,-240.00M,,,,,,,,869.00M,820.00M,7.473B,-3.449B,,4.024B,,,-194.00M,-240.00M,,
2001-12,-235.00M,,,,,,,-3.938B,,,,,,,1.319B,16.00M,16.00M,,-276.00M,1.90B,-1.761B,-121.00M,1.521B,-345.00M,-345.00M,,-304.00M,-304.00M,,,,,,,,2.624B,1.83B,4.445B,3.028B,,7.473B,,1.714B,-193.00M,-304.00M,,
2001-09,101.00M,,,,,,,383.00M,,,,,,,484.00M,0.00,0.00,,16.00M,-401.00M,-186.00M,-571.00M,21.00M,-1.412B,-1.295B,-511.00M,-506.00M,-1.017B,,,,,,,,2.096B,-216.00M,4.748B,-303.00M,,4.445B,-511.00M,34.00M,-13.00M,-506.00M,,
2001-06,320.00M,,,,,,,593.00M,,,,,,,913.00M,0.00,0.00,,-16.00M,305.00M,-903.00M,-614.00M,-144.00M,525.00M,408.00M,511.00M,-273.00M,238.00M,,,,,,,,-402.00M,244.00M,4.205B,543.00M,,4.748B,511.00M,9.00M,-153.00M,-273.00M,,
