,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,AmortizationofSecurities,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2017-12,15.84B,15.84B,,1.791B,1.791B,,,278.00M,-278.00M,374.00M,2.165B,278.00M,-278.00M,406.00M,-278.00M,961.00M,-1.354B,2.315B,0.00,,2.00M,45.00M,2.317B,2.317B,,1.239B,2.1590000000000003,0.0,,,2.1590000000000003,2.1590000000000003,2.1390000000000002,0.0,,,2.1390000000000002,2.14,1.052B,1.062B,0.4
2017-09,16.17B,16.17B,,1.663B,1.663B,,,284.00M,-284.00M,145.00M,1.808B,284.00M,-284.00M,301.00M,-284.00M,485.00M,-398.00M,883.00M,-968.00M,,-6.00M,6.00M,-91.00M,877.00M,,769.00M,0.82,-0.91,,,0.82,-0.09,0.81,-0.91,,,0.81,-0.09,1.062B,1.072B,0.4
2017-06,15.33B,15.33B,,1.671B,1.671B,,,284.00M,-284.00M,148.00M,1.819B,284.00M,-284.00M,292.00M,-284.00M,1.018B,162.00M,856.00M,58.00M,,-3.00M,46.00M,911.00M,853.00M,,1.302B,0.76,0.05,,,0.76,0.81,0.75,0.05,,,0.75,0.8,1.074B,1.082B,0.4
2017-03,14.96B,14.96B,,1.599B,1.599B,,,283.00M,-283.00M,175.00M,1.774B,283.00M,-283.00M,342.00M,-283.00M,1.072B,120.00M,952.00M,-76.00M,,-3.00M,6.00M,873.00M,949.00M,,1.355B,0.87,-0.07,,,0.87,0.8,0.86,-0.07,,,0.86,0.79,1.090B,1.099B,0.4
2016-12,12.83B,12.83B,,1.572B,1.572B,,,282.00M,-282.00M,-946.00M,626.00M,282.00M,-282.00M,376.00M,-282.00M,-1.241B,-560.00M,-681.00M,-1.355B,,-2.00M,45.00M,-2.038B,-683.00M,,-959.00M,-1.939,0.0,,,-1.939,-1.939,-1.939,0.0,,,-1.939,-1.94,1.100B,1.107B,0.4
2016-09,15.83B,15.83B,,1.641B,1.641B,,,280.00M,-280.00M,510.00M,2.151B,280.00M,-280.00M,356.00M,-280.00M,1.159B,135.00M,1.024B,-451.00M,,4.00M,6.00M,577.00M,1.028B,,1.439B,0.93,-0.41,,,0.93,0.52,0.92,-0.41,,,0.92,0.51,1.100B,1.109B,0.4
2016-06,15.24B,15.24B,,1.788B,1.788B,,,306.00M,-306.00M,705.00M,2.493B,306.00M,-306.00M,487.00M,-306.00M,-100.00M,-214.00M,114.00M,,,-4.00M,46.00M,110.00M,110.00M,,206.00M,0.06,,,,0.06,0.06,0.06,,,,0.06,0.06,1.100B,1.109B,0.4
2016-03,18.43B,18.43B,,1.877B,1.877B,,,312.00M,-312.00M,688.00M,2.565B,312.00M,-312.00M,487.00M,-312.00M,2.922B,719.00M,2.203B,,,-2.00M,6.00M,2.201B,2.201B,,3.234B,1.994,,,,1.994,1.994,1.98,,,,1.98,1.98,1.101B,1.109B,0.375
2015-12,8.436B,8.436B,,1.975B,1.975B,,,260.00M,-260.00M,-1.675B,300.00M,260.00M,-260.00M,430.00M,-260.00M,-684.00M,-265.00M,-419.00M,,,-8.00M,49.00M,897.00M,-427.00M,,-424.00M,1.239,,,,1.239,1.239,0.7,,,,0.7,0.7,1.111B,1.121B,0.375
2015-09,18.03B,18.03B,,1.701B,1.701B,,,302.00M,-302.00M,1.077B,2.778B,302.00M,-302.00M,484.00M,-302.00M,2.163B,965.00M,1.198B,,,5.00M,6.00M,1.203B,1.203B,,2.465B,1.07,,,,1.07,1.07,1.06,,,,1.06,1.06,1.119B,1.130B,0.375
2015-06,16.17B,16.17B,,1.83B,1.83B,,,308.00M,-308.00M,679.00M,2.509B,308.00M,-308.00M,518.00M,-308.00M,1.113B,-6.00M,1.119B,,,-4.00M,73.00M,1.115B,1.115B,,1.421B,0.9322,,,,0.9322,0.9322,0.9234,,,,0.9234,0.9234,1.118B,1.128B,0.375
2015-03,18.71B,18.71B,,1.796B,1.796B,,,298.00M,-298.00M,610.00M,2.406B,298.00M,-298.00M,495.00M,-298.00M,3.059B,896.00M,2.163B,,,-5.00M,30.00M,2.158B,2.158B,,3.357B,1.89,,,,1.89,1.89,1.87,,,,1.87,1.87,1.126B,1.136B,0.35
2014-12,19.12B,19.12B,,1.873B,1.873B,,,297.00M,-297.00M,1.014B,2.887B,297.00M,-297.00M,544.00M,-297.00M,2.076B,549.00M,1.527B,0.00,,-6.00M,31.00M,1.521B,1.521B,,2.373B,1.3159999999999998,0.0,,,1.3159999999999998,1.3159999999999998,1.3,0.0,,,1.3,1.3,1.136B,1.147B,0.35
2014-09,18.85B,18.85B,,1.795B,1.795B,,,295.00M,-295.00M,731.00M,2.526B,295.00M,-295.00M,518.00M,-295.00M,2.952B,858.00M,2.094B,0.00,,0.00,30.00M,2.094B,2.094B,,3.247B,1.83,0.0,,,1.83,1.83,1.81,0.0,,,1.81,1.81,1.125B,1.141B,0.35
2014-06,18.27B,18.27B,,1.786B,1.786B,,,312.00M,-312.00M,692.00M,2.478B,312.00M,-312.00M,490.00M,-312.00M,1.95B,574.00M,1.376B,0.00,,-10.00M,31.00M,1.366B,1.366B,,2.262B,1.18,0.0,,,1.18,1.18,1.17,0.0,,,1.17,1.17,1.128B,1.142B,0.35
2014-03,17.08B,17.08B,,1.731B,1.731B,,,312.00M,-312.00M,734.00M,2.465B,312.00M,-312.00M,478.00M,-312.00M,1.826B,484.00M,1.342B,-3.00M,,-11.00M,30.00M,1.328B,1.331B,,2.138B,1.15,0.0,,,1.15,1.15,1.14,0.0,,,1.14,1.14,1.127B,1.140B,0.275
2013-12,18.46B,18.46B,,1.972B,1.972B,,,323.00M,-323.00M,1.006B,2.978B,323.00M,-323.00M,474.00M,-323.00M,1.268B,353.00M,915.00M,1.00M,,-8.00M,31.00M,908.00M,907.00M,,1.591B,1.3869999999999998,0.0,,,1.3869999999999998,1.3869999999999998,0.77,0.0,,,0.77,0.77,1.124B,1.138B,0.275
2013-09,16.34B,16.34B,,1.87B,1.87B,,,317.00M,-317.00M,680.00M,2.55B,317.00M,-317.00M,476.00M,-317.00M,976.00M,3.00M,973.00M,2.00M,,-3.00M,30.00M,972.00M,970.00M,,1.293B,0.85,0.0,,,0.85,0.85,0.84,0.0,,,0.84,0.84,1.105B,1.117B,0.275
2013-06,15.72B,15.72B,,1.45B,1.45B,,,321.00M,-321.00M,739.00M,2.189B,321.00M,-321.00M,490.00M,-321.00M,561.00M,53.00M,508.00M,2.00M,,-8.00M,31.00M,502.00M,500.00M,,882.00M,0.43,0.0,,,0.43,0.43,0.43,0.0,,,0.43,0.43,1.098B,1.107B,0.275
2013-03,17.68B,17.68B,,1.81B,1.81B,,,321.00M,-321.00M,1.014B,2.824B,321.00M,-321.00M,480.00M,-321.00M,1.247B,252.00M,995.00M,-3.00M,,-6.00M,30.00M,986.00M,989.00M,,1.568B,0.87,0.0,,,0.87,0.87,0.87,0.0,,,0.87,0.87,1.097B,1.104B,0.185
2012-12,17.33B,17.33B,,1.986B,1.986B,,0.00,270.00M,-270.00M,944.00M,2.93B,270.00M,-270.00M,461.00M,-270.00M,-477.00M,-582.00M,105.00M,31.00M,,-9.00M,31.00M,127.00M,96.00M,,-207.00M,0.088,0.02,,,0.088,0.088,0.088,0.02,,,0.088,0.088,1.091B,1.097B,0.74
2012-09,16.50B,16.50B,,1.963B,1.963B,,-1.868B,345.00M,-345.00M,805.00M,900.00M,345.00M,-345.00M,455.00M,-345.00M,-1.01B,-53.00M,-957.00M,0.00,,3.00M,30.00M,-954.00M,820.60M,,-665.00M,-0.92,0.0,,,0.7462,-0.92,-0.92,0.0,,,0.7462,-0.92,1.065B,1.065B,0.0
2012-06,18.40B,18.40B,,1.98B,1.98B,,,362.00M,-362.00M,827.00M,2.807B,362.00M,-362.00M,393.00M,-362.00M,3.338B,1.038B,2.30B,3.00M,,-8.00M,31.00M,2.295B,2.292B,,3.70B,2.13,0.0,,,2.13,2.13,2.12,0.0,,,2.12,2.12,1.065B,1.070B,0.0
2012-03,15.92B,15.92B,,2.147B,2.147B,,,379.00M,-379.00M,951.00M,3.098B,379.00M,-379.00M,597.00M,-379.00M,-409.00M,-275.00M,-134.00M,14.00M,,-24.00M,30.00M,-144.00M,-158.00M,,-30.00M,-0.17,0.01,,,-0.17,-0.16,-0.17,0.01,,,-0.17,-0.16,1.064B,1.064B,0.0
2011-12,16.74B,16.74B,,1.681B,-3.093B,,-3.875B,392.00M,-392.00M,1.395B,-5.573B,392.00M,-392.00M,654.00M,-392.00M,1.275B,312.00M,963.00M,25.00M,,2.00M,,990.00M,3.892B,,1.667B,0.88,0.02,,,3.64,0.9,0.88,0.02,,,3.625,0.9,1.061B,1.066B,0.74
2011-09,20.45B,20.45B,1.771B,2.066B,3.837B,1.548B,1.418B,451.00M,-451.00M,780.00M,7.583B,451.00M,-451.00M,720.00M,-451.00M,5.115B,1.673B,3.442B,8.00M,,6.00M,,3.456B,2.494B,,5.566B,3.22,0.01,,,2.32,3.23,3.2,0.01,,,2.305,3.21,1.060B,1.066B,0.0
2011-06,17.15B,17.15B,1.587B,2.079B,3.666B,1.071B,1.276B,443.00M,-443.00M,795.00M,6.808B,443.00M,-443.00M,592.00M,-443.00M,1.51B,448.00M,1.062B,31.00M,,7.00M,31.00M,1.10B,171.57M,,1.953B,1.01,0.0,,,0.1632,1.01,1.0,0.0,,,0.162,1.0,1.060B,1.071B,0.0
2011-03,15.91B,15.91B,1.416B,1.947B,3.363B,756.00M,1.181B,438.00M,-438.00M,714.00M,6.014B,438.00M,-438.00M,566.00M,-438.00M,1.285B,361.00M,924.00M,-40.00M,,-7.00M,,877.00M,67.78M,,1.723B,0.66,0.0,,,-0.1423,0.66,0.66,0.0,,,-0.134,0.66,1.059B,1.070B,0.0
2010-12,12.67B,12.67B,,1.62B,-889.00M,,,443.00M,-443.00M,414.00M,-475.00M,443.00M,-443.00M,647.00M,-443.00M,-203.00M,-141.00M,-62.00M,24.00M,,-3.00M,31.00M,-41.00M,-65.00M,,240.00M,-0.26,0.03,,,-0.26,-0.23,-0.26,0.03,,,-0.26,-0.23,1.009B,1.016B,0.74
2010-09,12.34B,12.34B,870.00M,1.259B,2.129B,,,430.00M,-430.00M,430.00M,2.559B,430.00M,-430.00M,624.00M,-430.00M,385.00M,68.00M,317.00M,3.00M,,-4.00M,30.00M,316.00M,313.00M,,815.00M,0.33,0.0,,,0.33,0.33,0.32,0.0,,,0.32,0.32,875.78M,883.10M,0.0
2010-06,14.14B,14.14B,835.00M,1.274B,2.109B,,,405.00M,-405.00M,895.00M,3.004B,405.00M,-405.00M,544.00M,-405.00M,2.363B,827.00M,1.536B,11.00M,,10.00M,31.00M,1.557B,1.546B,,2.768B,1.84,0.01,,,1.84,1.85,1.83,0.01,,,1.83,1.84,822.91M,830.47M,0.0
2010-03,13.10B,13.10B,804.00M,1.21B,2.014B,,,409.00M,-409.00M,509.00M,2.523B,409.00M,-409.00M,513.00M,-409.00M,1.185B,356.00M,829.00M,5.00M,,1.00M,30.00M,835.00M,830.00M,,1.594B,0.97,0.01,,,0.97,0.98,0.96,0.01,,,0.96,0.97,822.65M,828.62M,0.0
2009-12,12.34B,12.34B,895.00M,2.269B,3.164B,,,-43.00M,43.00M,-51.45B,-48.28B,-43.00M,43.00M,601.00M,43.00M,178.00M,-131.00M,309.00M,4.00M,,7.00M,31.00M,320.00M,316.00M,,135.00M,0.36,0.0,,,0.36,0.36,0.36,0.0,,,0.36,0.36,821.94M,821.94M,0.74
2009-09,10.24B,10.24B,815.00M,942.00M,1.757B,,,321.00M,-321.00M,18.20B,19.96B,321.00M,-321.00M,602.00M,-321.00M,-1.175B,-551.00M,-624.00M,-1.00M,,5.00M,30.00M,-620.00M,-619.00M,,-854.00M,-0.79,0.0,,,-0.79,-0.79,-0.79,0.0,,,-0.79,-0.79,821.76M,821.76M,0.0
2009-06,8.265B,8.265B,,,,,,,,19.25B,19.25B,,,572.00M,,-2.375B,-956.00M,-1.419B,1.00M,,16.00M,31.00M,-1.402B,-1.403B,,-2.375B,-1.74,0.0,,,-1.74,-1.74,-1.74,0.0,,,-1.74,-1.74,821.59M,821.59M,0.0
2009-03,10.21B,10.21B,,,,,,,,19.35B,19.35B,,,554.00M,,-962.00M,-377.00M,-585.00M,37.00M,,4.00M,30.00M,-544.00M,-581.00M,,-962.00M,-0.76,0.05,,,-0.76,-0.71,-0.76,0.05,,,-0.76,-0.71,809.10M,809.10M,0.0
2008-12,13.96B,13.96B,,,,,,,,-54.70B,-54.70B,,,445.00M,,1.431B,503.00M,928.00M,48.00M,,9.00M,31.00M,985.00M,937.00M,,1.431B,1.15,0.07,,,1.15,1.22,1.15,0.07,,,1.15,1.22,790.62M,793.23M,0.74
2008-09,13.35B,13.35B,,,,,,,,20.61B,20.61B,,,421.00M,,1.579B,529.00M,1.05B,-404.00M,,-16.00M,30.00M,630.00M,1.034B,,1.579B,1.43,-0.59,,,1.43,0.84,1.42,-0.59,,,1.42,0.83,718.11M,726.93M,0.0
2008-06,12.05B,12.05B,,,,,,,,19.05B,19.05B,,,351.00M,,1.221B,342.00M,879.00M,117.00M,,-50.00M,31.00M,946.00M,829.00M,113.00M,1.221B,1.19,0.09,,,1.19,1.28,1.18,0.08,,,1.18,1.26,712.84M,726.53M,0.0
2008-03,11.62B,11.62B,,,,,,,,19.04B,19.04B,,,369.00M,,832.00M,207.00M,625.00M,35.00M,,-12.00M,33.00M,660.00M,625.00M,221.00M,832.00M,0.82,0.03,,,0.82,0.85,0.81,0.03,,,0.81,0.84,720.39M,732.72M,0.0
2007-12,12.20B,12.20B,,,,,,-114.00M,114.00M,-4.15B,-4.15B,-114.00M,114.00M,360.00M,114.00M,1.502B,437.00M,1.065B,53.00M,,,35.00M,1.118B,1.065B,,1.388B,1.4,0.07,,,1.4,1.47,1.36,0.07,,,1.36,1.43,735.93M,753.57M,0.74
2007-09,11.68B,11.68B,,,,,,264.00M,-264.00M,2.219B,2.219B,264.00M,-264.00M,345.00M,-264.00M,1.323B,380.00M,943.00M,76.00M,,,34.00M,1.019B,943.00M,,1.587B,1.22,0.1,,,1.22,1.32,1.19,0.1,,,1.19,1.29,743.96M,762.69M,0.0
2007-06,13.22B,13.22B,,,,,,,,20.34B,20.34B,,,411.00M,,1.631B,476.00M,1.155B,8.00M,,,34.00M,1.163B,1.155B,,1.631B,1.51,0.01,,,1.51,1.52,1.47,0.01,,,1.47,1.48,744.49M,763.56M,0.0
2007-03,12.91B,12.91B,,,,,,,,3.32B,3.32B,,,384.00M,,1.443B,416.00M,1.027B,-10.00M,,,34.00M,1.017B,1.027B,,1.443B,1.32,-0.01,,,1.32,1.31,1.29,-0.01,,,1.29,1.28,750.38M,767.97M,0.0
2006-12,12.84B,12.84B,,,,,,,,6.627B,6.627B,,,1.592B,,1.04B,251.00M,789.00M,3.074B,,,34.00M,3.863B,789.00M,,1.04B,0.99,4.04,,,0.99,5.03,0.98,3.98,,,0.98,4.96,760.93M,776.42M,0.59
2006-09,12.53B,12.53B,,858.00M,858.00M,,,,,2.308B,3.166B,,,1.527B,,1.316B,357.00M,959.00M,74.00M,,,34.00M,1.033B,959.00M,,1.316B,1.21,0.1,,,1.21,1.31,1.2,0.09,,,1.2,1.29,762.60M,774.42M,0.0
2006-06,11.35B,11.35B,,842.00M,842.00M,,,,,2.126B,2.968B,,,1.52B,,798.00M,205.00M,593.00M,57.00M,,,33.00M,650.00M,593.00M,,798.00M,0.73,0.08,,,0.73,0.81,0.73,0.07,,,0.73,0.8,761.73M,771.25M,0.0
2006-03,11.53B,11.53B,,,,,,,,2.916B,2.916B,,,1.503B,,1.014B,284.00M,730.00M,17.00M,,,33.00M,747.00M,730.00M,,1.014B,0.91,0.03,,,0.91,0.94,0.91,0.02,,,0.91,0.93,759.57M,767.74M,0.0
2005-12,11.47B,11.47B,,933.00M,933.00M,,,197.00M,-197.00M,989.00M,1.922B,197.00M,-197.00M,1.435B,-197.00M,768.00M,197.00M,571.00M,138.00M,,41.00M,32.00M,709.00M,571.00M,,965.00M,0.71,0.17,,,0.71,0.88,0.7,0.17,,,0.7,0.88,759.04M,762.18M,0.52
2005-09,11.99B,11.99B,,861.00M,861.00M,,,194.00M,-194.00M,967.00M,1.828B,194.00M,-194.00M,1.46B,-194.00M,961.00M,238.00M,723.00M,50.00M,,54.00M,31.00M,773.00M,723.00M,,1.155B,0.91,0.07,,,0.91,0.98,0.9,0.07,,,0.9,0.97,757.14M,764.95M,0.0
2005-06,10.96B,10.96B,,748.00M,748.00M,,,137.00M,-137.00M,809.00M,1.557B,137.00M,-137.00M,301.00M,-137.00M,1.455B,450.00M,1.005B,1.24B,,9.00M,,2.245B,1.005B,,1.592B,1.36,1.69,,,1.36,3.05,1.35,1.67,,,1.35,3.02,736.07M,743.38M,0.0
2005-03,10.26B,10.26B,,675.00M,675.00M,,,131.00M,-131.00M,890.00M,1.565B,131.00M,-131.00M,299.00M,-131.00M,1.15B,350.00M,800.00M,187.00M,,50.00M,,987.00M,800.00M,,1.281B,1.09,0.25,,,1.09,1.34,1.08,0.25,,,1.08,1.33,736.57M,742.11M,0.0
2004-12,9.847B,9.847B,,826.00M,826.00M,,,124.00M,-124.00M,26.29B,27.12B,124.00M,-124.00M,3.176B,-124.00M,601.00M,174.00M,427.00M,84.00M,0.00,35.00M,,511.00M,427.00M,,725.00M,0.58,0.11,0.0,,0.58,0.69,0.58,0.11,-0.0004,,0.58,0.68,743.91M,752.77M,0.46
2004-09,9.972B,9.972B,,706.00M,706.00M,,,123.00M,-123.00M,806.00M,1.512B,123.00M,-123.00M,292.00M,-123.00M,969.00M,290.00M,679.00M,16.00M,0.00,27.00M,,695.00M,679.00M,,1.092B,0.91,0.02,0.0,,0.91,0.93,0.9,0.02,0.0,,0.9,0.92,747.31M,755.43M,0.0
2004-06,9.471B,9.471B,,705.00M,705.00M,,,93.00M,-93.00M,729.00M,1.434B,93.00M,-93.00M,284.00M,-93.00M,1.065B,237.00M,828.00M,126.00M,0.00,47.00M,,954.00M,828.00M,,1.158B,1.1,0.16,0.0,,1.1,1.26,1.09,0.16,0.0,,1.09,1.26,757.14M,757.14M,0.0
2004-03,9.417B,9.417B,,678.00M,678.00M,,,68.00M,-68.00M,839.00M,1.517B,68.00M,-68.00M,313.00M,-68.00M,928.00M,290.00M,638.00M,46.00M,-86.00M,43.00M,,598.00M,638.00M,,996.00M,0.84,-0.05,0.0,,0.84,0.79,0.84,-0.05,-0.1136,,0.84,0.79,756.96M,756.96M,0.0
2003-12,9.286B,9.286B,,,,,,,,20.47B,20.47B,,,2.808B,,476.00M,117.00M,359.00M,368.00M,-26.00M,,,701.00M,359.00M,,476.00M,0.46,0.46,0.0,,0.46,0.92,0.44,0.46,-0.0352,,0.44,0.9,739.04M,758.34M,0.23
2003-09,8.721B,8.721B,,,,,,,,2.111B,2.111B,,,299.00M,,694.00M,143.00M,551.00M,23.00M,0.00,,,574.00M,551.00M,,694.00M,0.72,0.03,0.0,,0.72,0.75,0.72,0.03,0.0,,0.72,0.75,765.33M,765.33M,0.0
2003-06,8.863B,8.863B,,,,,,,,2.348B,2.348B,,,355.00M,,784.00M,212.00M,572.00M,8.00M,0.00,,,580.00M,572.00M,,784.00M,0.78,0.01,0.0,,0.78,0.79,0.78,0.01,0.0,,0.78,0.79,734.18M,734.18M,0.0
2003-03,8.362B,8.362B,,,,,,,,2.252B,2.252B,,,84.00M,,410.00M,115.00M,295.00M,67.00M,0.00,,,362.00M,295.00M,,410.00M,0.39,0.1,0.0,,0.39,0.49,0.38,0.09,0.0,,0.38,0.47,738.78M,770.21M,0.0
2002-12,8.13B,8.13B,,,,,,,,19.70B,19.70B,,,2.725B,,-57.00M,17.00M,123.00M,438.00M,,,,561.00M,123.00M,,-57.00M,0.0,0.8,,,0.0,0.8,0.0,0.78,,,0.0,0.78,699.57M,712.55M,0.21
2002-09,8.124B,8.124B,,,,,,,,2.211B,2.211B,,,51.00M,,438.00M,124.00M,314.00M,19.00M,-5.00M,,,328.00M,314.00M,,438.00M,0.45,0.02,0.0,,0.45,0.47,0.43,0.02,-0.0072,,0.43,0.45,697.87M,728.89M,0.0
2002-06,8.201B,8.201B,,,,,,,,,,,,3.50B,,0.00,161.00M,371.00M,16.00M,,,,387.00M,371.00M,,0.00,0.53,0.0,,,0.53,0.53,0.51,0.0,,,0.51,0.51,704.67M,733.94M,0.0
2002-03,7.975B,7.975B,,,,,,,,,,,,3.494B,,0.00,186.00M,307.00M,17.00M,5.00M,,,329.00M,307.00M,,0.00,0.43,0.03,0.0,,0.43,0.46,0.42,0.02,0.0068,,0.42,0.44,712.07M,739.47M,0.0
2001-12,7.38B,7.38B,,,,,,,,,,,,7.733B,,474.00M,-156.00M,-404.00M,108.00M,,,,-296.00M,-404.00M,,474.00M,-0.54,0.15,,,-0.54,-0.39,-0.54,0.14,,,-0.54,-0.39,714.54M,729.84M,0.2
2001-09,7.817B,7.817B,,,,,,,,,,,,3.535B,,0.00,69.00M,145.00M,17.00M,,,,162.00M,145.00M,,0.00,0.2,0.02,,,0.2,0.22,0.19,0.02,,,0.19,0.21,735.66M,761.22M,0.0
2001-06,7.811B,7.811B,,,,,,,,2.306B,2.306B,,,373.00M,,493.00M,173.00M,320.00M,,,,,320.00M,320.00M,,493.00M,0.43,0.0,,,0.43,0.43,0.41,0.0,,,0.41,0.41,744.19M,780.49M,0.0
2001-03,7.79B,7.79B,,,,,,,,,,,,3.556B,,0.00,140.00M,287.00M,,,,,287.00M,287.00M,,0.00,0.38,0.0,,,0.38,0.38,0.37,0.0,,,0.37,0.37,757.57M,785.27M,0.0
2000-12,7.361B,7.361B,,,,,,,,,,,,7.045B,,1.192B,34.00M,454.00M,,,,,591.00M,454.00M,,1.192B,0.66,0.11,,,0.66,0.77,0.65,0.1,,,0.65,0.75,760.68M,760.68M,0.2
2000-09,7.672B,7.672B,,,,,,,,,,,,3.703B,,0.00,71.00M,241.00M,,,,,241.00M,241.00M,,0.00,0.31,0.0,,,0.31,0.31,0.31,0.0,,,0.31,0.31,773.30M,789.26M,
