,NetIncome,Gain/LossonSaleBusiness,NetForeignCurrencyExchangeGain/Loss,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2014-03,358.00M,,,-3.00M,-52.00M,-108.00M,-163.00M,,,105.00M,105.00M,22.00M,,10.00M,,39.00M,-232.00M,-135.00M,207.00M,2.00M,,50.00M,-108.00M,263.00M,,-121.00M,,,-14.00M,-96.00M,24.00M,6.00M,-187.00M,,-18.00M,,-18.00M,,-419.00M,-419.00M,-115.00M,,-115.00M,-50.00M,-602.00M,,2.699B,-526.00M,5.00M,2.178B,,,7.00M,-25.00M,-419.00M,,AOR,Restated
2013-12,461.00M,,,-9.00M,36.00M,9.00M,36.00M,,,102.00M,102.00M,22.00M,,8.00M,13.00M,-19.00M,68.00M,160.00M,-189.00M,30.00M,,64.00M,133.00M,756.00M,,-280.00M,,,-21.00M,-32.00M,34.00M,-23.00M,-301.00M,,-11.00M,-37.00M,-48.00M,,-92.00M,-92.00M,-115.00M,,-115.00M,-37.00M,-292.00M,,2.499B,163.00M,37.00M,2.699B,,,-17.00M,-31.00M,-92.00M,,AOR,Restated
2013-09,374.00M,,,23.00M,-41.00M,-23.00M,-41.00M,,,105.00M,105.00M,58.00M,,10.00M,-5.00M,-53.00M,49.00M,-22.00M,-117.00M,-32.00M,,47.00M,-75.00M,373.00M,,-161.00M,,,-19.00M,-19.00M,36.00M,10.00M,-134.00M,,974.00M,-22.00M,952.00M,,0.00,0.00,-116.00M,,-116.00M,-19.00M,817.00M,,1.382B,1.056B,61.00M,2.499B,,,963.00M,-11.00M,0.00,,AOR,Restated
2013-06,441.00M,,,8.00M,-26.00M,-31.00M,-49.00M,,,102.00M,102.00M,15.00M,,12.00M,-1.00M,-15.00M,-236.00M,-7.00M,161.00M,56.00M,,53.00M,27.00M,532.00M,,-173.00M,,,-12.00M,-97.00M,-17.00M,19.00M,-268.00M,,-22.00M,41.00M,19.00M,,-289.00M,-289.00M,-94.00M,,-94.00M,-6.00M,-370.00M,,1.483B,-106.00M,5.00M,1.382B,,,43.00M,-24.00M,-289.00M,,AOR,Restated
2013-03,312.00M,,,-5.00M,-43.00M,-62.00M,-110.00M,,,98.00M,98.00M,5.00M,,7.00M,-7.00M,62.00M,-29.00M,-177.00M,62.00M,158.00M,,47.00M,61.00M,428.00M,,-126.00M,,,-12.00M,-41.00M,54.00M,-30.00M,-143.00M,,-27.00M,15.00M,-12.00M,,0.00,0.00,-95.00M,,-95.00M,4.00M,-103.00M,,1.369B,182.00M,-68.00M,1.483B,,,15.00M,-27.00M,0.00,,AOR,Restated
2012-12,398.00M,6.00M,,-16.00M,36.00M,1.00M,27.00M,,,99.00M,99.00M,25.00M,,7.00M,12.00M,-6.00M,21.00M,335.00M,-227.00M,-6.00M,,60.00M,183.00M,745.00M,,-291.00M,,,-25.00M,12.00M,-18.00M,34.00M,-263.00M,,-25.00M,-5.00M,-30.00M,,-25.00M,-25.00M,-94.00M,,-94.00M,5.00M,-144.00M,,1.033B,338.00M,-2.00M,1.369B,,,-5.00M,-25.00M,-25.00M,,AOR,Restated
2012-09,370.00M,0.00,,9.00M,-33.00M,-31.00M,-55.00M,,,91.00M,91.00M,130.00M,,8.00M,-1.00M,-20.00M,182.00M,72.00M,-431.00M,-7.00M,,51.00M,-133.00M,390.00M,,-180.00M,,,-22.00M,-245.00M,38.00M,18.00M,-369.00M,,-27.00M,2.00M,-25.00M,,-35.00M,-35.00M,-94.00M,,-94.00M,-10.00M,-164.00M,,1.145B,-143.00M,31.00M,1.033B,,,20.00M,-45.00M,-35.00M,,AOR,Restated
2012-06,495.00M,-6.00M,,-3.00M,34.00M,-28.00M,-3.00M,,,86.00M,86.00M,-12.00M,,14.00M,0.00,16.00M,19.00M,-230.00M,-64.00M,-19.00M,,74.00M,-220.00M,376.00M,,-164.00M,,,-24.00M,-42.00M,-34.00M,-8.00M,-248.00M,,-3.00M,3.00M,0.00,,-188.00M,-188.00M,-75.00M,,-75.00M,-10.00M,-273.00M,,1.317B,-145.00M,-27.00M,1.145B,,,37.00M,-37.00M,-188.00M,,AOR,Restated
2012-03,475.00M,,,10.00M,-59.00M,-31.00M,-80.00M,,,85.00M,85.00M,-27.00M,,7.00M,-11.00M,-37.00M,-135.00M,-209.00M,-48.00M,-28.00M,,29.00M,-391.00M,21.00M,,-142.00M,,,-16.00M,-10.00M,38.00M,12.00M,-102.00M,,-26.00M,0.00,-26.00M,,-8.00M,-8.00M,-77.00M,,-77.00M,-2.00M,-113.00M,,1.484B,-194.00M,27.00M,1.317B,,,12.00M,-38.00M,-8.00M,,AOR,Restated
2011-12,572.00M,-53.00M,,,-30.00M,-81.00M,-160.00M,,,82.00M,82.00M,-63.00M,,14.00M,-1.00M,18.00M,119.00M,142.00M,-48.00M,-16.00M,,46.00M,243.00M,705.00M,,-274.00M,,,-29.00M,7.00M,87.00M,-24.00M,-196.00M,,-32.00M,11.00M,-21.00M,,-83.00M,-83.00M,-77.00M,,-77.00M,-4.00M,-185.00M,,1.165B,324.00M,-5.00M,1.484B,,,37.00M,-63.00M,-83.00M,,AOR,Restated
2011-09,472.00M,0.00,,,5.00M,-24.00M,-19.00M,,,84.00M,84.00M,61.00M,0.00,10.00M,0.00,16.00M,44.00M,-77.00M,14.00M,-16.00M,,35.00M,0.00,624.00M,,-171.00M,,,-9.00M,0.00,-34.00M,0.00,-205.00M,,-44.00M,-16.00M,-60.00M,,-173.00M,-173.00M,-76.00M,,-76.00M,-18.00M,-327.00M,,1.111B,92.00M,-38.00M,1.165B,,,36.00M,-80.00M,-173.00M,,AOR,Restated
2011-06,537.00M,-68.00M,,,64.00M,-28.00M,-32.00M,,,80.00M,80.00M,66.00M,,13.00M,-2.00M,-19.00M,-207.00M,-80.00M,253.00M,13.00M,,34.00M,13.00M,656.00M,,-136.00M,,,-12.00M,111.00M,-48.00M,0.00,-73.00M,,-27.00M,10.00M,-17.00M,,-183.00M,-183.00M,-51.00M,,-51.00M,0.00,-251.00M,,779.00M,332.00M,0.00,1.111B,,,22.00M,-49.00M,-183.00M,,AOR,Restated
2011-03,365.00M,,,,-62.00M,-29.00M,-91.00M,,,79.00M,79.00M,21.00M,,5.00M,-2.00M,-18.00M,-306.00M,-210.00M,223.00M,-2.00M,,24.00M,-271.00M,88.00M,,-101.00M,,,-10.00M,0.00,16.00M,7.00M,-78.00M,,-7.00M,1.00M,-6.00M,,-190.00M,-190.00M,-51.00M,,-51.00M,-15.00M,-262.00M,,1.023B,-252.00M,8.00M,779.00M,,,38.00M,-45.00M,-190.00M,,AOR,Restated
2010-12,391.00M,0.00,,13.00M,-64.00M,-50.00M,-89.00M,,,81.00M,81.00M,-27.00M,,5.00M,-2.00M,-63.00M,3.00M,-50.00M,140.00M,-38.00M,,36.00M,91.00M,387.00M,,-209.00M,9.00M,9.00M,-15.00M,-29.00M,-18.00M,2.00M,-245.00M,,-28.00M,13.00M,-15.00M,6.00M,0.00,6.00M,-52.00M,,-52.00M,4.00M,-57.00M,,937.00M,85.00M,1.00M,1.023B,,6.00M,60.00M,-79.00M,0.00,,AOR,Restated
2010-09,309.00M,0.00,,12.00M,-46.00M,-13.00M,-59.00M,,,78.00M,78.00M,40.00M,,6.00M,-1.00M,-44.00M,-141.00M,-223.00M,213.00M,-17.00M,,31.00M,-137.00M,192.00M,,-85.00M,4.00M,4.00M,-6.00M,-6.00M,-78.00M,2.00M,-163.00M,,51.00M,-3.00M,48.00M,52.00M,-79.00M,-27.00M,-50.00M,,-50.00M,-8.00M,-37.00M,,924.00M,-8.00M,21.00M,937.00M,,52.00M,78.00M,-27.00M,-79.00M,,AOR,
2010-06,270.00M,0.00,,0.00,4.00M,-29.00M,-25.00M,,,82.00M,82.00M,30.00M,,5.00M,-1.00M,24.00M,-332.00M,-112.00M,325.00M,-2.00M,,37.00M,-84.00M,301.00M,,-49.00M,4.00M,4.00M,-5.00M,0.00,-52.00M,-2.00M,-99.00M,,-2.00M,-6.00M,-8.00M,,-123.00M,-123.00M,-35.00M,,-35.00M,0.00,-166.00M,,885.00M,36.00M,3.00M,924.00M,,,15.00M,-17.00M,-123.00M,,AOR,Restated
2010-03,170.00M,,,-12.00M,-53.00M,-94.00M,-159.00M,,,79.00M,79.00M,13.00M,,6.00M,-6.00M,5.00M,275.00M,-189.00M,-100.00M,3.00M,,29.00M,18.00M,126.00M,,-64.00M,38.00M,38.00M,-17.00M,-71.00M,-47.00M,,-144.00M,,50.00M,5.00M,55.00M,,-39.00M,-39.00M,-35.00M,,-35.00M,12.00M,-7.00M,,930.00M,-25.00M,-20.00M,885.00M,,,70.00M,-20.00M,-39.00M,,AOR,Restated
2009-12,290.00M,,,,-33.00M,-42.00M,-75.00M,,,88.00M,88.00M,16.00M,,4.00M,,45.00M,-270.00M,122.00M,133.00M,1.00M,-103.00M,155.00M,38.00M,407.00M,,-117.00M,2.00M,2.00M,-11.00M,0.00,-36.00M,6.00M,-145.00M,,28.00M,2.00M,30.00M,18.00M,-20.00M,-2.00M,-35.00M,,-35.00M,-14.00M,-21.00M,,686.00M,241.00M,3.00M,930.00M,,18.00M,65.00M,-37.00M,-20.00M,,AOR,Restated
2009-09,110.00M,,,,-4.00M,13.00M,9.00M,,,84.00M,84.00M,-31.00M,,16.00M,,-72.00M,3.00M,78.00M,155.00M,10.00M,103.00M,-56.00M,293.00M,409.00M,,-70.00M,1.00M,1.00M,-5.00M,0.00,-187.00M,1.00M,-255.00M,,-15.00M,1.00M,-14.00M,54.00M,,54.00M,-35.00M,,-35.00M,-6.00M,-1.00M,,534.00M,153.00M,-1.00M,686.00M,,54.00M,1.00M,-16.00M,,,AOR,Restated
2009-06,70.00M,,,,8.00M,-38.00M,-30.00M,,,78.00M,78.00M,41.00M,,-6.00M,,16.00M,37.00M,238.00M,-219.00M,13.00M,,7.00M,76.00M,245.00M,,-83.00M,1.00M,1.00M,-8.00M,0.00,63.00M,,-19.00M,,-22.00M,-9.00M,-31.00M,,0.00,0.00,-36.00M,,-36.00M,1.00M,-66.00M,,353.00M,160.00M,21.00M,534.00M,,,3.00M,-29.00M,0.00,,AOR,Restated
2009-03,14.00M,,,,52.00M,7.00M,59.00M,,,76.00M,76.00M,-21.00M,,6.00M,,67.00M,49.00M,44.00M,-276.00M,9.00M,,49.00M,-125.00M,76.00M,,-75.00M,6.00M,6.00M,-11.00M,-2.00M,-19.00M,,-90.00M,,-12.00M,4.00M,-8.00M,,0.00,0.00,-35.00M,,-35.00M,-10.00M,-53.00M,,426.00M,-67.00M,-6.00M,353.00M,,,7.00M,-15.00M,0.00,,AOR,Restated
