,NetIncome,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2010-12,214.90M,0.00,,0.00,73.20M,73.20M,1.70M,21.00M,43.30M,163.80M,-868.50M,532.20M,,,,-172.50M,0.40M,143.80M,-61.40M,,-61.40M,-1.735B,-141.00M,,-1.938B,485.50M,0.00,485.50M,2.50M,0.00,2.50M,-67.70M,-67.70M,,9.20M,429.50M,2.712B,-1.364B,,1.348B,2.50M,494.50M,-9.00M,0.00
2010-09,294.40M,-74.80M,,-74.80M,68.50M,68.50M,1.90M,21.40M,2.70M,-272.30M,-731.80M,907.70M,,,,-96.40M,-0.70M,217.00M,-61.90M,,-61.90M,-559.90M,705.90M,,84.10M,-0.40M,0.00,-0.40M,8.40M,-269.80M,-261.40M,-70.30M,-70.30M,,-12.10M,-344.20M,2.755B,-43.10M,,2.712B,8.40M,0.00,-0.40M,-269.80M
2010-06,193.80M,-1.70M,,-1.60M,59.60M,59.60M,0.80M,21.00M,21.80M,386.40M,858.10M,-1.307B,,,,-62.40M,-0.90M,324.10M,-118.20M,152.20M,34.00M,-12.80M,0.30M,,21.40M,-66.80M,66.40M,-0.40M,15.50M,-180.00M,-164.50M,-62.80M,-62.80M,,-1.20M,-228.70M,2.639B,116.80M,,2.755B,15.50M,0.00,-0.40M,-180.00M
2010-03,224.80M,-23.30M,,-23.30M,68.60M,68.60M,4.20M,36.90M,85.80M,-634.60M,746.10M,443.70M,,,,555.20M,1.10M,879.30M,-61.90M,1.50M,-60.40M,12.80M,135.70M,,88.10M,-0.30M,0.00,-0.30M,-3.40M,0.00,-3.40M,-63.00M,-63.00M,,-8.70M,-75.40M,1.747B,892.00M,,2.639B,-3.40M,0.00,-0.30M,0.00
2009-12,230.20M,-20.00M,,-20.00M,59.50M,59.50M,0.40M,20.10M,9.10M,985.30M,-1.099B,336.70M,,,,222.90M,2.40M,524.60M,-42.90M,-0.50M,-43.40M,0.00,135.00M,,91.60M,-350.50M,-66.40M,-416.90M,-2.20M,-50.00M,-52.20M,-63.00M,-63.00M,,77.90M,-454.20M,1.585B,162.00M,,1.747B,-2.20M,0.00,-416.90M,-50.00M
2009-09,-61.80M,,,39.90M,66.30M,66.30M,23.60M,22.00M,12.30M,-716.10M,-28.10M,903.50M,,,,159.30M,144.40M,406.00M,-37.00M,4.80M,-32.20M,-32.00M,0.00,,-74.10M,-1.134B,,-1.134B,30.10M,0.00,30.10M,-64.20M,-64.20M,,-84.00M,31.30M,1.222B,363.20M,,1.585B,30.10M,,-1.134B,0.00
2009-06,202.00M,,,,57.00M,57.00M,2.70M,27.30M,78.60M,268.80M,912.50M,-879.20M,,,,302.10M,-151.70M,595.00M,-216.70M,-12.60M,-229.30M,-110.10M,0.00,,-273.90M,-18.80M,0.00,-18.80M,0.50M,0.00,0.50M,-50.30M,-50.30M,,-2.70M,-71.30M,971.80M,249.80M,,1.222B,0.50M,-24.50M,5.70M,0.00
2009-03,215.00M,,0.0,0.00,52.70M,52.70M,0.70M,32.40M,23.40M,-743.80M,476.60M,653.90M,,,,386.70M,-93.20M,617.70M,-61.10M,0.30M,-60.80M,-12.30M,0.00,,-92.90M,0.50M,-101.10M,-100.60M,18.00M,0.00,18.00M,-50.10M,-50.10M,-2.30M,-0.20M,-135.60M,582.60M,389.20M,,971.80M,18.00M,-98.00M,-2.60M,0.00
2008-12,169.00M,,0.0,0.00,68.70M,68.70M,6.90M,29.20M,9.40M,619.60M,-956.20M,39.00M,,,,-297.60M,380.80M,366.40M,-73.10M,11.60M,-61.50M,0.00,0.00,,-81.40M,-140.50M,99.90M,-40.60M,2.80M,0.00,2.80M,-50.30M,-50.30M,-1.00M,,-89.80M,387.40M,195.20M,,582.60M,2.80M,113.20M,-153.80M,0.00
2008-09,172.20M,,,,47.40M,47.40M,3.60M,21.00M,12.40M,-858.20M,-864.10M,973.70M,,,,-748.60M,336.80M,-155.20M,-57.40M,0.70M,-56.70M,-6.20M,,,-94.70M,-142.60M,1.20M,-141.40M,17.90M,,17.90M,-49.70M,-49.70M,3.30M,,-171.50M,808.80M,-421.40M,,387.40M,17.90M,9.30M,-150.70M,
2008-06,-147.10M,,,,-64.90M,-64.90M,-11.90M,21.20M,52.90M,-1.30M,520.60M,-669.50M,,,83.80M,-66.40M,580.30M,271.90M,95.80M,-10.30M,85.50M,34.30M,0.10M,,-578.00M,312.30M,-202.20M,110.10M,18.70M,0.00,18.70M,-42.70M,-42.70M,-15.30M,42.10M,98.00M,1.529B,-208.10M,,808.80M,18.70M,98.10M,12.00M,0.00
2008-03,367.80M,,,,93.00M,93.00M,-20.80M,86.70M,-19.40M,-144.20M,367.30M,389.70M,58.60M,-195.90M,-83.80M,391.70M,-11.80M,887.20M,-79.50M,2.90M,-76.60M,0.20M,0.00,,-76.40M,-15.90M,202.20M,-320.00M,44.80M,-149.60M,-104.80M,-130.40M,-42.70M,15.30M,-14.00M,-466.20M,1.184B,344.60M,,1.529B,44.80M,202.20M,-15.90M,-149.60M
2007-12,324.70M,,,,97.00M,97.00M,,,10.80M,41.30M,-486.10M,-116.70M,-34.50M,139.00M,,-457.00M,-1.70M,-26.20M,-80.60M,4.90M,-75.70M,48.90M,0.00,,-26.80M,,,287.20M,58.90M,-357.30M,-298.40M,,-43.40M,,2.40M,-52.20M,1.290B,-105.20M,,1.184B,58.90M,,,-357.30M
2007-09,301.80M,,,,94.90M,94.90M,,,30.90M,-191.90M,232.50M,-63.20M,-24.10M,56.90M,,10.20M,-29.00M,408.80M,-91.50M,2.50M,-89.00M,-88.10M,131.90M,,-45.20M,,,219.10M,105.50M,-674.70M,-569.20M,,-44.30M,,11.60M,-382.80M,1.309B,-19.20M,,1.290B,105.50M,,,-674.70M
2007-06,902.20M,,,,85.00M,85.00M,,,37.00M,36.50M,206.00M,-268.70M,77.00M,-667.50M,,-747.50M,-559.60M,-186.70M,-114.30M,5.50M,-108.80M,-1.481B,168.10M,,1.807B,,,257.20M,233.80M,-1.637B,-1.403B,,-34.90M,,1.20M,-1.178B,866.50M,442.30M,,1.309B,233.80M,,,-1.637B
2007-03,18.90M,,,,81.70M,81.70M,,,51.80M,-227.50M,-172.70M,417.00M,-32.60M,563.60M,,547.80M,69.80M,770.00M,-89.00M,-9.60M,-98.60M,-28.00M,167.10M,,-31.70M,,,207.10M,243.40M,-1.280B,-1.036B,,-36.10M,,11.60M,-876.50M,1.005B,-138.20M,,866.50M,243.40M,,,-1.280B
2006-12,739.30M,,,,77.00M,77.00M,,,48.00M,-699.10M,64.30M,207.60M,-23.50M,-42.20M,,-492.90M,-418.30M,-46.90M,-85.40M,9.70M,-75.70M,-56.50M,-10.60M,,-154.30M,,,86.90M,18.10M,-300.00M,-281.90M,,-36.40M,,4.60M,-238.30M,1.444B,-439.50M,,1.005B,18.10M,,,-300.00M
2006-09,270.70M,,,,78.40M,78.40M,,,44.50M,107.00M,119.80M,-131.50M,-20.90M,181.90M,,256.30M,36.80M,686.70M,-68.70M,3.60M,-65.10M,-64.50M,41.90M,,-84.10M,,,79.30M,57.30M,-445.30M,-388.00M,,-37.00M,,12.50M,-345.70M,1.187B,256.90M,,1.444B,57.30M,,,-445.30M
2006-06,321.00M,,,,77.80M,77.80M,,,56.40M,-58.90M,46.10M,34.60M,82.10M,-16.50M,-122.10M,-34.70M,81.90M,496.70M,-91.40M,6.40M,-85.00M,-256.60M,0.80M,,-361.80M,,,49.70M,13.30M,-526.90M,-513.60M,,-25.20M,,6.30M,-514.30M,1.567B,-379.40M,,1.187B,13.30M,,,-526.90M
2006-03,146.80M,,,,74.20M,74.20M,,,48.90M,-676.30M,-491.10M,922.10M,-82.10M,4.30M,70.90M,-252.20M,213.70M,231.40M,-86.90M,3.50M,-83.40M,-33.10M,-80.20M,,-223.30M,,,-162.30M,159.00M,-560.10M,-401.10M,,-25.40M,,19.30M,-557.70M,2.115B,-549.60M,,1.567B,159.00M,,,-560.10M
2005-12,304.00M,,,,44.60M,44.60M,,,39.90M,105.40M,78.20M,113.20M,38.80M,-126.90M,-61.90M,146.80M,132.80M,668.10M,-86.00M,3.00M,-83.00M,-75.80M,-219.20M,,-429.90M,,,407.20M,33.70M,-412.90M,-379.20M,,-25.70M,,10.30M,15.90M,1.976B,254.10M,,2.115B,33.70M,,,-412.90M
2005-09,228.30M,,,,101.00M,101.00M,,,92.80M,-265.50M,10.70M,468.10M,-38.80M,122.60M,,297.10M,5.40M,724.60M,-75.50M,0.50M,-75.00M,3.30M,-100.00M,,-172.20M,,,5.20M,34.80M,,34.80M,,-25.50M,,9.40M,23.90M,1.40B,576.30M,,1.976B,34.80M,,,
2005-06,257.70M,,,-199.10M,8.60M,8.60M,,,59.10M,-140.20M,416.30M,20.10M,108.10M,37.70M,,258.10M,385.70M,824.80M,-63.20M,0.30M,-62.90M,0.00,,,-372.20M,,,-297.30M,23.30M,-271.80M,-248.50M,,-12.80M,,,-563.20M,1.535B,-110.60M,,1.286B,23.30M,,,-271.80M
2005-03,371.40M,,,42.50M,88.80M,88.80M,,,-129.20M,-498.00M,362.80M,328.30M,-12.80M,-52.90M,,127.40M,10.80M,511.70M,-62.10M,14.50M,-47.60M,0.00,,-39.50M,-59.80M,,,5.40M,39.40M,-228.50M,-189.10M,,-13.00M,,,-196.70M,1.274B,255.20M,,1.535B,39.40M,,,-228.50M
2004-12,199.30M,,,146.50M,108.20M,108.20M,,,129.20M,547.50M,14.10M,-454.50M,-50.50M,-15.60M,,41.00M,,624.20M,-110.00M,0.00,-110.00M,-8.30M,,36.70M,-81.60M,,,-431.00M,18.00M,,18.00M,,-13.00M,,,-426.00M,1.152B,116.60M,,1.274B,18.00M,,,
2004-09,222.30M,,,10.10M,90.00M,90.00M,,,,74.80M,-721.60M,1.249B,-44.80M,15.60M,,572.60M,,895.00M,-104.60M,4.20M,-100.40M,-264.90M,,2.80M,-362.50M,,,-488.30M,29.80M,,29.80M,,-12.90M,,,-471.40M,1.091B,61.10M,,1.152B,29.80M,,,
2004-06,390.00M,,,-7.10M,69.10M,69.10M,,,,202.20M,1.181B,-588.50M,65.40M,-100.70M,-7.20M,752.50M,,1.288B,-123.70M,6.00M,-117.70M,-1.531B,,,-1.620B,,,869.80M,72.40M,-39.70M,32.70M,,-12.90M,,,896.70M,527.20M,565.40M,,1.091B,72.40M,,,-39.70M
2004-03,415.90M,,,9.80M,77.20M,77.20M,,,,-125.60M,-82.50M,647.60M,-87.40M,-68.00M,,284.10M,,787.00M,-107.90M,8.20M,-99.70M,-62.10M,,,-161.80M,,,-233.30M,64.30M,-460.30M,-396.00M,,-13.00M,,,-642.30M,544.30M,-17.10M,,527.20M,64.30M,,,-460.30M
