,NetIncome,Gain/LossonSaleBusiness,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,OtherNoncashItems,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2016-03,185.70M,,,,17.50M,48.10M,65.60M,65.60M,,,36.70M,-36.90M,-36.90M,-1.50M,,-75.30M,212.70M,,-47.90M,,-14.60M,,,-15.40M,,-63.30M,,0.00,,0.00,,-233.20M,-233.20M,-79.30M,-79.30M,7.20M,,-305.30M,,1.316B,-155.90M,1.16B,,,0.00,,-233.20M,14.30M,9.50M,,AOR,Restated
2015-12,212.30M,,,,18.10M,50.90M,69.00M,69.00M,,,30.90M,-13.30M,10.80M,-2.90M,,-5.40M,266.90M,,-59.80M,,-28.70M,,,91.30M,,31.50M,,-250.00M,,-250.00M,,-69.40M,-69.40M,-78.00M,-78.00M,0.50M,,-396.90M,,1.414B,-98.50M,1.316B,,,,-250.00M,-69.40M,41.50M,70.30M,,AOR,Restated
2015-09,232.30M,,,,17.00M,57.40M,74.40M,74.40M,,,7.90M,86.80M,-60.60M,-2.30M,,23.90M,338.50M,,-84.30M,,-38.80M,,,-11.20M,,-95.50M,,-250.00M,,-250.00M,,-128.10M,-128.10M,-78.50M,-78.50M,-2.50M,,-459.10M,,1.630B,-216.10M,1.414B,,,,-250.00M,-128.10M,8.80M,9.80M,,AOR,Restated
2015-06,189.30M,,,,16.10M,46.80M,62.90M,62.90M,,,8.00M,1.30M,-0.70M,-6.90M,,-6.30M,253.90M,,-78.00M,,-12.50M,,,-100.00M,,-178.00M,,,,,,-166.70M,-166.70M,-79.50M,-79.50M,45.50M,,-200.70M,,1.755B,-124.80M,1.630B,,,,,-166.70M,31.90M,72.10M,,AOR,Restated
2015-03,203.90M,,,,16.50M,47.40M,63.90M,63.90M,,,16.90M,-13.50M,-56.90M,-2.50M,,-72.90M,211.80M,,-44.40M,,-14.40M,,,0.00,,-44.40M,,,,,,-147.10M,-147.10M,-80.50M,-80.50M,32.30M,,-195.30M,,1.783B,-27.90M,1.755B,,,,,-147.10M,10.60M,9.60M,,AOR,Restated
2014-12,221.50M,,,,17.10M,52.40M,69.50M,69.50M,,,42.00M,-15.40M,-15.10M,-5.10M,,-35.60M,270.60M,,-49.70M,,-16.90M,,0.00,0.00,,-49.70M,,0.00,,0.00,,-45.40M,-45.40M,-65.30M,-65.30M,5.60M,,-105.10M,,1.667B,115.80M,1.783B,,,0.00,0.00,-45.40M,48.10M,73.20M,,AOR,Restated
2014-09,234.10M,,,,16.50M,50.30M,66.80M,66.80M,,,-24.50M,56.10M,0.60M,-7.90M,,48.80M,325.20M,,-33.00M,,-16.60M,,0.00,0.00,,-33.00M,,-35.00M,,-35.00M,,-132.00M,-132.00M,-65.50M,-65.50M,3.00M,,-229.50M,,1.605B,62.70M,1.667B,,,-35.00M,0.00,-132.00M,46.40M,9.90M,,AOR,Restated
2014-06,193.80M,,,,16.70M,51.70M,68.40M,68.40M,,,37.30M,-54.30M,-4.60M,12.70M,,-46.20M,253.30M,,-50.70M,,-16.10M,,-0.40M,0.00,,-51.10M,,-95.00M,,-95.00M,,-132.30M,-132.30M,-66.80M,-66.80M,2.60M,,-291.50M,,1.694B,-89.30M,1.605B,,,-95.00M,0.00,-132.30M,59.00M,73.50M,,AOR,Restated
2014-03,203.00M,,,,16.30M,50.90M,67.20M,67.20M,,,-5.30M,-55.10M,-12.00M,-1.00M,,-68.10M,196.80M,,-45.60M,,-18.20M,,-10.20M,100.20M,,44.40M,,-370.00M,,-370.00M,,-185.70M,-185.70M,-67.60M,-67.60M,3.00M,,-620.30M,,2.073B,-379.10M,1.694B,,,130.00M,-500.00M,-185.70M,25.90M,14.20M,,AOR,Restated
2013-12,173.40M,,,,16.70M,48.20M,64.90M,64.90M,,,42.80M,62.90M,-24.90M,-2.10M,,35.90M,277.70M,,-75.10M,,-19.50M,,,0.00,,-75.10M,,248.00M,,248.00M,,-59.10M,-59.10M,-68.60M,-68.60M,7.50M,,127.80M,,1.743B,330.40M,2.073B,,,248.00M,0.00,-59.10M,22.00M,81.40M,,AOR,Restated
2013-09,214.40M,,,,15.90M,52.70M,68.60M,68.60M,,,2.90M,51.10M,-3.70M,0.10M,,47.50M,333.40M,,-59.50M,,-24.90M,,0.00,-100.00M,,-159.50M,,249.30M,,249.30M,,-24.40M,-24.40M,-69.00M,-69.00M,17.50M,,173.40M,,1.395B,347.30M,1.743B,,,249.30M,0.00,-24.40M,53.20M,14.20M,,AOR,Restated
2013-06,198.60M,,,,16.20M,50.20M,66.40M,66.40M,,,-1.70M,-0.70M,-16.40M,-6.00M,,-23.10M,240.20M,,-68.80M,,-18.50M,,0.00,0.00,,-68.80M,,0.00,,0.00,,-126.00M,-126.00M,-69.30M,-69.30M,2.20M,,-193.10M,,1.417B,-21.70M,1.395B,,,0.00,0.00,-126.00M,53.20M,82.10M,,AOR,Restated
2013-03,212.00M,,,,15.40M,47.50M,62.90M,62.90M,,,9.30M,-28.80M,-10.40M,-7.70M,,-46.90M,237.30M,,-37.90M,,-17.30M,,0.00,0.00,,-37.90M,,-300.00M,,-300.00M,,-190.20M,-190.20M,-70.30M,-70.30M,1.70M,,-558.80M,,1.776B,-359.40M,1.417B,,,0.00,-300.00M,-190.20M,29.60M,16.00M,,AOR,Restated
2012-12,237.90M,,,,15.70M,46.30M,62.00M,62.00M,,,39.40M,22.40M,2.60M,-3.40M,,21.60M,325.70M,,-85.10M,,-16.60M,,-9.30M,0.00,,-94.40M,,592.80M,,592.80M,,-349.80M,-349.80M,-131.90M,-131.90M,1.10M,,112.20M,,1.433B,343.50M,1.776B,,,742.80M,-150.00M,-349.80M,32.00M,71.00M,,AOR,Restated
2012-09,269.50M,,,,14.70M,46.50M,61.20M,61.20M,,,36.60M,63.40M,-10.60M,-6.20M,,46.60M,413.90M,,-61.80M,,-16.90M,,24.10M,0.00,,-37.70M,,-240.00M,,-240.00M,,-114.30M,-114.30M,0.00,0.00,7.30M,,-347.00M,,1.404B,29.20M,1.433B,,,-93.00M,-147.00M,-114.30M,20.20M,16.30M,,AOR,Restated
2012-06,271.20M,,,,16.00M,43.00M,59.00M,59.00M,,,-0.40M,-80.60M,-9.70M,-8.80M,,-99.10M,230.70M,,-45.50M,,-13.20M,,-4.80M,,,-50.30M,,40.00M,,40.00M,,-155.60M,-155.60M,-60.70M,-60.70M,3.80M,,-172.50M,,1.396B,7.90M,1.404B,,,40.00M,0.00,-155.60M,115.40M,71.40M,,AOR,Restated
2012-03,247.30M,,,,15.30M,48.60M,63.90M,63.90M,,,1.60M,-75.80M,-10.10M,-11.90M,,-97.80M,215.00M,,-75.80M,,-14.20M,,,,,-75.80M,,53.00M,,53.00M,,-146.80M,-146.80M,-61.60M,-61.60M,41.20M,,-114.20M,,1.371B,25.00M,1.396B,,,53.00M,0.00,-146.80M,89.50M,23.10M,,AOR,Restated
2011-12,452.30M,,29.40M,29.40M,15.90M,39.50M,55.40M,55.40M,-0.80M,,29.80M,-195.20M,,,50.00M,-224.10M,292.10M,,-38.20M,,-13.40M,,-1.082B,,,-1.099B,,-399.80M,,-399.80M,,0.00,0.00,-99.20M,-99.20M,5.80M,,-493.20M,,2.671B,-1.300B,1.371B,,,296.50M,-696.30M,0.00,32.50M,76.30M,,AOR,Restated
2011-09,713.10M,,0.00,0.00,14.70M,31.20M,45.90M,45.90M,22.00M,,-477.00M,95.90M,,,-23.40M,72.50M,376.50M,,-48.90M,,-12.80M,,-1.20M,,,-50.10M,,397.80M,0.00,397.80M,,-145.40M,-145.40M,0.00,0.00,2.60M,,255.00M,,2.090B,581.40M,2.671B,,,397.80M,0.00,-145.40M,18.10M,14.00M,,AOR,Restated
2011-06,,,-29.40M,-29.40M,15.40M,31.20M,46.60M,46.60M,,,274.00M,-26.80M,,,-9.70M,-36.50M,254.70M,,-53.50M,,-14.30M,,-135.70M,,,-189.20M,,-0.50M,0.00,-0.50M,,-160.10M,-160.10M,-50.30M,-50.30M,19.30M,,-191.60M,,2.216B,-126.10M,2.090B,,,-0.50M,,-160.10M,69.70M,77.40M,,AOR,Restated
2011-03,,,,,15.00M,29.70M,44.70M,44.70M,,,203.00M,20.80M,,,-16.90M,3.90M,251.60M,,-21.90M,,-12.30M,,,,,-21.90M,,299.50M,0.00,299.50M,,-498.40M,-498.40M,-44.70M,-44.70M,72.30M,,-171.30M,,2.157B,58.40M,2.216B,,,299.50M,,-498.40M,24.60M,23.60M,,AOR,Restated
2010-12,242.60M,,,,15.50M,29.90M,45.40M,45.40M,,-29.20M,48.10M,-25.10M,28.10M,-37.30M,-16.70M,-51.00M,284.50M,,-25.90M,,-16.20M,,-2.40M,20.00M,16.90M,8.60M,,-0.10M,,-0.10M,,-70.20M,-70.20M,-165.30M,-85.20M,23.10M,,-132.40M,,1.997B,160.70M,2.157B,,,-0.10M,,-70.20M,10.40M,73.20M,,AOR,Restated
2010-09,667.30M,,0.00,0.00,15.90M,29.00M,44.90M,44.90M,,8.60M,-434.20M,126.20M,,,-29.00M,97.20M,383.80M,,-44.20M,,-16.30M,,-2.30M,16.90M,-16.90M,-46.50M,,-0.40M,,-0.40M,,-94.10M,-94.10M,80.10M,0.00,7.10M,,-87.40M,,1.747B,249.90M,1.997B,,,-0.40M,,-94.10M,13.60M,24.50M,,AOR,
2010-06,-207.90M,,0.00,0.00,15.40M,28.20M,43.60M,43.60M,,10.20M,420.20M,-12.20M,-46.40M,-1.50M,45.70M,-14.40M,251.70M,,-28.90M,,-13.70M,3.90M,0.00,-16.90M,16.90M,-28.90M,,247.50M,,247.50M,,-217.00M,-217.00M,-39.60M,-39.60M,3.30M,,-5.80M,,1.530B,217.00M,1.747B,,,247.50M,,-217.00M,341.40M,77.80M,,AOR,Restated
2010-03,207.90M,,,,14.70M,27.30M,42.00M,42.00M,,10.40M,3.80M,-237.60M,46.40M,1.50M,,-189.70M,74.40M,,-14.70M,,-7.10M,-3.90M,,16.90M,,2.20M,,0.00,,0.00,,-200.10M,-200.10M,-40.50M,-40.50M,8.60M,,-232.00M,,1.685B,-155.40M,1.530B,,,0.00,,-200.10M,,,,AOR,Restated
2009-12,223.70M,,,,14.80M,27.90M,42.70M,42.70M,,7.00M,30.00M,-5.80M,-10.60M,-6.10M,,-22.50M,260.10M,,-32.00M,,-19.60M,-3.30M,-1.00M,-217.10M,,5.40M,,0.00,,0.00,,-175.00M,-175.00M,,-41.20M,10.50M,,-205.70M,,1.625B,59.80M,1.685B,,,0.00,0.00,-175.00M,51.50M,45.10M,,AOR,Restated
2009-09,181.00M,,,,14.20M,24.50M,38.70M,38.70M,,8.70M,-14.50M,175.90M,-31.50M,-6.60M,,137.80M,351.70M,,-27.00M,,-12.20M,-2.10M,-369.70M,6.30M,,-390.40M,,0.00,,0.00,,-125.10M,-125.10M,,0.00,6.80M,,-118.30M,,1.782B,-157.00M,1.625B,,,0.00,0.00,-125.10M,27.00M,21.90M,,AOR,Restated
2009-06,220.20M,,,,13.60M,23.50M,37.10M,37.10M,,7.80M,15.10M,-17.00M,-9.90M,-3.60M,,-30.50M,249.70M,,-24.10M,,-17.50M,-4.30M,-145.20M,190.60M,,21.30M,,-82.80M,82.80M,0.00,,0.00,0.00,,0.00,1.40M,,1.40M,,1.51B,272.40M,1.782B,,,0.00,0.00,0.00,76.30M,72.20M,,AOR,Restated
2009-03,223.90M,,,,13.30M,22.40M,35.70M,35.70M,,8.40M,13.50M,60.70M,20.60M,-6.20M,,75.10M,356.60M,,-15.80M,,-10.40M,-2.20M,,55.40M,,39.60M,,-3.40M,-82.80M,-86.20M,,-100.10M,-100.10M,,0.00,4.50M,,-181.80M,,1.296B,214.40M,1.51B,,,496.60M,-582.80M,-100.10M,8.00M,10.80M,,AOR,Restated
2008-12,239.60M,,,,15.20M,21.90M,37.10M,37.10M,,26.30M,-6.50M,-40.10M,70.30M,-14.00M,,16.20M,328.60M,,-97.50M,,-13.20M,-1.50M,-24.60M,23.00M,68.80M,-30.30M,,0.00,0.90M,0.90M,,-109.10M,-109.10M,,,4.30M,,-132.30M,,1.130B,166.00M,1.296B,,,500.00M,-499.10M,-109.10M,72.10M,171.60M,,AOR,Restated
2008-09,240.80M,,,,46.50M,60.40M,37.60M,37.60M,,-13.50M,37.40M,100.70M,-29.10M,-8.90M,,62.70M,365.00M,,-16.40M,,-12.20M,-4.20M,-18.20M,-292.90M,-28.10M,-355.60M,,-30.80M,-256.20M,-287.00M,,-549.40M,-549.40M,,,82.00M,,-754.40M,,1.875B,-745.00M,1.130B,,,-30.80M,-256.20M,-549.40M,40.60M,-87.90M,,,Restated
2008-06,231.50M,,,,,,36.50M,36.50M,,5.80M,7.80M,-28.70M,-6.20M,-4.40M,,-39.30M,242.30M,,-23.40M,,-17.70M,-5.70M,,7.50M,-33.60M,-49.50M,,-19.00M,11.30M,-7.70M,,-358.60M,-358.60M,,,152.70M,,-213.60M,,1.895B,-20.80M,1.875B,,,-19.00M,11.30M,-358.60M,93.00M,77.60M,,,Restated
2008-03,207.10M,,,,,,32.80M,32.80M,,7.70M,4.20M,94.50M,-28.10M,-0.20M,,66.20M,318.00M,,-16.40M,,-10.80M,-5.60M,,5.20M,-7.10M,-18.30M,,49.80M,-11.30M,38.50M,,-297.40M,-297.40M,,,61.50M,,-197.40M,,1.793B,102.30M,1.895B,,,49.80M,-11.30M,-297.40M,24.60M,10.30M,,,Restated
2007-12,243.30M,,,,13.40M,18.30M,31.70M,31.70M,2.00M,,-2.30M,-52.50M,,,-17.30M,-54.50M,220.20M,,-69.80M,,-69.80M,,,,15.60M,-90.00M,,,,63.30M,106.60M,-146.00M,-39.40M,,,,,-6.10M,,1.669B,124.10M,1.793B,,106.60M,,,-146.00M,,,,,
2007-09,216.30M,,,,13.00M,17.90M,30.90M,30.90M,-2.90M,,38.90M,113.70M,,,-0.70M,113.00M,396.20M,,-53.60M,,-53.60M,,,,5.00M,-48.60M,,,,114.90M,19.00M,-300.30M,-281.30M,,,,,-166.40M,,1.488B,181.20M,1.669B,,19.00M,,,-300.30M,,,,,
2007-06,204.50M,,,,11.60M,19.30M,30.90M,30.90M,5.10M,,15.70M,-47.40M,,,-8.80M,-56.20M,200.00M,,-35.20M,,-35.20M,,,,10.50M,-24.70M,,,,-122.90M,42.30M,-167.90M,-125.60M,,,,,-248.50M,,1.561B,-73.20M,1.488B,,42.30M,,,-167.90M,,,,,
2007-03,193.20M,,,,11.10M,19.30M,30.40M,30.40M,,,12.50M,29.60M,,,21.40M,51.00M,287.10M,,-33.50M,,-33.50M,,,,-5.20M,-38.70M,,,,-44.70M,48.20M,-112.60M,-64.40M,,,,,-109.10M,,1.422B,139.30M,1.561B,,48.20M,,,-112.60M,,,,,
2006-12,217.20M,,,0.00,10.00M,18.30M,28.30M,28.30M,-6.60M,,12.70M,129.60M,,,-49.90M,79.70M,331.30M,,-44.70M,,-44.70M,,,,7.20M,-104.00M,,,,582.30M,,,,,-7.70M,,-768.70M,-133.20M,,1.328B,94.10M,1.422B,,,,,,,,,,
2006-09,258.10M,,,3.80M,24.80M,50.40M,26.10M,26.10M,-2.00M,,16.00M,4.00M,,,-10.30M,-6.30M,295.70M,,-43.20M,,-43.20M,,,,9.00M,-34.20M,,,,2.453B,,,,,-2.954B,,911.20M,410.30M,,655.80M,671.80M,1.328B,,,,,,,,,,
2006-06,209.10M,,,-7.90M,,,24.50M,24.50M,13.20M,,10.70M,18.20M,,,1.00M,19.20M,268.80M,,-93.40M,,-93.40M,,,,76.90M,-16.50M,,,,-1.20M,,,,,,,-89.80M,-91.00M,,494.50M,161.30M,655.80M,,,,,,,,,,
2006-03,229.60M,,,,,,24.60M,24.60M,8.30M,,8.20M,-28.60M,,,-29.00M,-57.60M,213.10M,,-21.00M,,-21.00M,,,,-209.00M,-230.00M,,,,-106.30M,,,,,,,107.50M,1.20M,,510.20M,-15.70M,494.50M,,,,,,,,,,
