,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2018-06,1.411B,1.411B,829.20M,581.90M,298.30M,0.00,37.50M,1.30M,-36.20M,298.30M,283.60M,1.30M,37.50M,-36.20M,8.10M,-36.20M,255.50M,37.90M,217.60M,217.60M,217.60M,358.70M,65.70M,293.00M,,0.48,,0.48,0.48,,0.47,,0.47,0.47,,457.20M,459.60M,0.19,,AOR,Restated
2018-03,1.389B,1.389B,825.40M,564.00M,299.10M,,35.50M,0.70M,-34.80M,299.10M,264.90M,0.70M,35.50M,-34.80M,4.40M,-34.80M,234.50M,20.90M,213.60M,213.60M,213.60M,336.70M,66.70M,270.00M,,0.46,,0.46,0.46,,0.46,,0.46,0.46,,460.30M,463.60M,0.19,,AOR,Restated
2017-12,652.40M,1.438B,870.30M,568.00M,355.90M,,37.90M,1.10M,-36.80M,355.90M,212.10M,1.10M,37.90M,-36.80M,-464.50M,-36.80M,-289.20M,831.70M,-1.121B,-1.121B,-1.121B,-185.50M,65.80M,-251.30M,,-2.44,,-2.44,-2.44,,-2.44,,-2.44,-2.44,,459.80M,459.80M,0.175,,AOR,Restated
2017-09,1.405B,1.405B,840.50M,564.20M,292.00M,,37.20M,1.30M,-35.90M,292.00M,272.20M,1.30M,37.20M,-35.90M,2.90M,-35.90M,239.20M,3.60M,235.60M,235.60M,235.60M,341.90M,65.50M,276.40M,,0.51,,0.51,0.51,,0.51,,0.51,0.51,,462.80M,465.40M,0.175,,AOR,Restated
2017-06,1.379B,1.379B,842.30M,536.60M,321.20M,,35.70M,1.40M,-34.30M,321.20M,215.40M,1.40M,35.70M,-34.30M,3.30M,-34.30M,184.40M,17.90M,166.50M,166.50M,166.50M,285.30M,65.20M,220.10M,,0.35,,0.35,0.35,,0.35,,0.35,0.35,,469.40M,472.00M,0.175,,AOR,Restated
2017-03,1.302B,1.302B,799.90M,502.50M,262.40M,,31.30M,1.10M,-30.20M,262.40M,240.10M,1.10M,31.30M,-30.20M,3.20M,-30.20M,213.10M,51.40M,161.70M,161.70M,161.70M,310.80M,66.40M,244.40M,,0.34,,0.34,0.34,,0.33,,0.33,0.33,,479.80M,483.40M,0.175,,AOR,Restated
2016-12,1.372B,1.372B,842.50M,529.20M,839.40M,,29.60M,0.80M,-28.80M,839.40M,-310.20M,0.80M,29.60M,-28.80M,0.70M,-28.80M,-338.30M,16.70M,-355.00M,-355.00M,-355.00M,-243.40M,65.30M,-308.70M,,-0.73,,-0.73,-0.73,,-0.73,,-0.73,-0.73,,483.60M,487.50M,0.16,,AOR,Restated
2016-09,1.378B,1.378B,822.90M,554.90M,276.60M,,41.40M,1.10M,-40.30M,276.60M,278.30M,1.10M,41.40M,-40.30M,2.00M,-40.30M,240.00M,23.10M,216.90M,216.90M,216.63M,347.80M,66.40M,281.40M,,0.45,,0.4494,0.45,,0.44,,0.4394,0.44,,487.00M,490.30M,0.16,,AOR,Restated
2016-06,1.376B,1.376B,821.90M,553.80M,293.50M,,41.00M,0.70M,-40.30M,293.50M,260.30M,0.70M,41.00M,-40.30M,2.50M,-40.30M,222.50M,16.90M,205.60M,205.60M,204.31M,329.40M,65.90M,263.50M,,0.42,,0.4174,0.42,,0.42,,0.4174,0.42,,490.30M,493.00M,0.16,,AOR,Restated
2016-03,1.298B,1.298B,779.40M,518.30M,259.70M,,40.50M,0.90M,-39.60M,259.70M,258.60M,0.90M,40.50M,-39.60M,-1.50M,-39.60M,217.50M,31.80M,185.70M,185.70M,185.27M,323.60M,65.60M,258.00M,,0.37,,0.3691,0.37,,0.37,,0.3692,0.37,,500.00M,503.20M,0.16,,AOR,Restated
2015-12,1.480B,1.38B,811.00M,569.00M,287.20M,,40.80M,2.50M,-38.30M,287.20M,281.80M,2.50M,40.80M,-38.30M,-6.60M,-38.30M,236.90M,24.60M,212.30M,212.30M,213.38M,346.70M,69.00M,277.70M,,0.42,,0.4221,0.42,,0.42,,0.4221,0.42,,504.50M,508.60M,0.155,,AOR,Restated
2015-09,1.367B,1.399B,817.20M,582.00M,277.50M,,42.20M,3.00M,-39.20M,277.50M,304.50M,3.00M,42.20M,-39.20M,0.10M,-39.20M,265.40M,33.10M,232.30M,232.30M,231.08M,382.00M,74.40M,307.60M,,0.46,,0.4576,0.46,,0.45,,0.4476,0.45,,509.60M,513.20M,0.155,,AOR,Restated
2015-06,1.350B,1.384B,799.40M,584.20M,333.40M,,43.10M,2.50M,-40.60M,333.40M,250.80M,2.50M,43.10M,-40.60M,-3.30M,-40.60M,206.90M,17.60M,189.30M,189.30M,189.30M,312.90M,62.90M,250.00M,,0.37,,0.37,0.37,,0.36,,0.36,0.36,,515.20M,519.80M,0.155,,AOR,Restated
2015-03,1.287B,1.321B,771.80M,549.10M,276.80M,,41.80M,2.90M,-38.90M,276.80M,272.30M,2.90M,41.80M,-38.90M,-0.80M,-38.90M,232.60M,28.70M,203.90M,203.90M,203.02M,338.30M,63.90M,274.40M,,0.39,,0.3883,0.39,,0.39,,0.3883,0.39,,521.00M,525.20M,0.155,,AOR,Restated
2014-12,1.378B,1.410B,831.90M,578.00M,301.90M,,42.40M,2.10M,-40.30M,301.90M,276.10M,2.10M,42.40M,-40.30M,0.10M,-40.30M,235.90M,14.40M,221.50M,221.50M,221.59M,347.80M,69.50M,278.30M,,0.42,,0.4202,0.42,,0.42,,0.4202,0.42,,522.60M,526.90M,0.125,,AOR,Restated
2014-09,1.401B,1.441B,840.50M,600.40M,286.30M,,43.20M,1.80M,-41.40M,286.30M,314.10M,1.80M,43.20M,-41.40M,0.10M,-41.40M,272.80M,38.70M,234.10M,234.10M,233.67M,382.80M,66.80M,316.00M,,0.44,,0.4392,0.44,,0.44,,0.4392,0.44,,527.80M,531.20M,0.125,,AOR,Restated
2014-06,1.373B,1.406B,827.80M,577.80M,299.50M,,43.40M,2.90M,-40.50M,299.50M,278.30M,2.90M,43.40M,-40.50M,-5.70M,-40.50M,232.10M,38.30M,193.80M,193.80M,195.47M,343.90M,68.40M,275.50M,,0.36,,0.3631,0.36,,0.36,,0.3631,0.36,,537.10M,539.90M,0.125,,AOR,Restated
2014-03,1.317B,1.351B,797.20M,553.60M,281.60M,,47.60M,4.70M,-42.90M,281.60M,272.00M,4.70M,47.60M,-42.90M,-1.70M,-42.90M,227.40M,24.40M,203.00M,203.00M,203.54M,342.20M,67.20M,275.00M,,0.37,,0.3710,0.37,,0.37,,0.3710,0.37,,545.90M,549.20M,0.125,,AOR,Restated
2013-12,1.392B,1.422B,845.70M,576.20M,337.80M,,49.90M,3.70M,-46.20M,337.80M,238.40M,3.70M,49.90M,-46.20M,0.60M,-46.20M,192.80M,19.40M,173.40M,173.40M,174.03M,307.60M,64.90M,242.70M,,0.31,,0.3111,0.31,,0.31,,0.3111,0.31,,550.90M,554.90M,0.125,,AOR,Restated
2013-09,1.378B,1.409B,818.20M,590.60M,295.30M,,48.80M,4.60M,-44.20M,295.30M,295.30M,4.60M,48.80M,-44.20M,0.60M,-44.20M,251.70M,37.30M,214.40M,214.40M,215.17M,369.10M,68.60M,300.50M,,0.39,,0.3914,0.39,,0.39,,0.3914,0.39,,552.10M,555.80M,0.125,,AOR,Restated
2013-06,1.354B,1.386B,811.70M,574.20M,297.40M,,48.00M,0.70M,-47.30M,297.40M,276.80M,0.70M,48.00M,-47.30M,2.70M,-47.30M,232.20M,33.60M,198.60M,198.60M,198.77M,346.60M,66.40M,280.20M,,0.36,,0.3603,0.36,,0.36,,0.3603,0.36,,555.70M,558.30M,0.125,,AOR,Restated
2013-03,1.290B,1.325B,759.40M,566.00M,269.10M,,48.90M,0.40M,-48.50M,269.10M,296.90M,0.40M,48.90M,-48.50M,1.80M,-48.50M,250.20M,38.20M,212.00M,212.00M,211.58M,362.00M,62.90M,299.10M,,0.37,,0.3693,0.37,,0.37,,0.3693,0.37,,567.60M,569.70M,0.125,,AOR,Restated
2012-12,1.394B,1.425B,817.40M,607.30M,321.30M,,45.50M,1.40M,-44.10M,321.30M,286.00M,1.40M,45.50M,-44.10M,2.90M,-44.10M,244.80M,6.90M,237.90M,237.90M,238.39M,352.30M,62.00M,290.30M,,0.40,,0.4008,0.40,,0.40,,0.4008,0.40,,588.10M,590.30M,0.125,,AOR,Restated
2012-09,1.391B,1.422B,796.30M,625.30M,259.70M,,44.60M,1.40M,-43.20M,259.70M,365.60M,1.40M,44.60M,-43.20M,1.40M,-43.20M,323.80M,54.30M,269.50M,269.50M,269.42M,429.60M,61.20M,368.40M,,0.45,,0.4499,0.45,,0.45,,0.4499,0.45,,601.50M,604.20M,0.10,,AOR,Restated
2012-06,1.394B,1.425B,797.50M,627.60M,281.70M,,45.10M,1.20M,-43.90M,281.70M,345.90M,1.20M,45.10M,-43.90M,8.10M,-43.90M,310.10M,38.90M,271.20M,271.20M,271.81M,414.20M,59.00M,355.20M,,0.44,,0.4410,0.44,,0.44,,0.4410,0.44,,610.90M,613.10M,0.10,,AOR,Restated
2012-03,1.364B,1.393B,783.00M,610.40M,277.90M,,44.40M,1.50M,-42.90M,277.90M,332.50M,1.50M,44.40M,-42.90M,0.50M,-42.90M,290.10M,42.80M,247.30M,247.30M,245.94M,398.40M,63.90M,334.50M,,0.40,,0.3978,0.40,,0.40,,0.3978,0.40,,619.10M,621.90M,0.10,,AOR,Restated
2011-12,1.311B,1.431B,792.40M,638.90M,280.50M,,47.60M,1.60M,-46.00M,280.50M,358.40M,1.60M,47.60M,-46.00M,40.20M,-46.00M,352.60M,-99.70M,452.30M,452.30M,440.14M,455.60M,55.40M,400.20M,,0.73,,0.7104,0.73,,0.72,,0.7005,0.72,,619.50M,621.90M,0.08,,AOR,Restated
2011-09,1.411B,1.411B,800.00M,610.80M,247.80M,1.80M,46.70M,1.10M,-45.60M,247.80M,363.00M,1.10M,46.70M,-45.60M,-3.50M,-45.60M,313.90M,74.20M,239.70M,239.70M,242.37M,406.50M,45.90M,360.60M,,0.38,0.00,0.3843,0.38,,0.38,0.00,0.3843,0.38,,624.90M,627.10M,0.08,,AOR,Restated
2011-06,1.366B,1.366B,764.20M,602.10M,251.40M,25.60M,44.20M,1.30M,-42.90M,251.40M,350.70M,1.30M,44.20M,-42.90M,25.60M,-42.90M,333.40M,70.20M,263.20M,263.20M,242.99M,424.20M,46.60M,377.60M,,0.42,0.00,0.3880,0.42,,0.41,0.00,0.3782,0.41,,631.10M,635.80M,0.08,,AOR,Restated
2011-03,1.283B,1.283B,745.40M,537.60M,224.70M,4.00M,43.40M,1.20M,-42.20M,224.70M,312.90M,1.20M,43.40M,-42.20M,4.00M,-42.20M,274.70M,64.50M,210.20M,210.20M,207.14M,362.80M,44.70M,318.10M,,0.32,0.00,0.3153,0.32,,0.32,0.00,0.3153,0.32,,646.90M,652.10M,0.07,,AOR,Restated
2010-12,1.238B,1.357B,783.50M,573.50M,251.40M,,45.20M,0.90M,-44.30M,251.40M,322.10M,0.90M,45.20M,-44.30M,10.50M,-44.30M,288.30M,45.70M,242.60M,242.60M,245.38M,378.90M,45.40M,333.50M,,0.37,,0.3742,0.37,,0.37,,0.3742,0.37,,655.70M,658.40M,0.07,,AOR,Restated
2010-09,1.330B,1.330B,752.60M,577.00M,225.80M,0.70M,44.80M,0.50M,-44.30M,225.80M,351.20M,0.50M,44.80M,-44.30M,1.70M,-44.30M,308.60M,70.20M,238.40M,238.40M,237.09M,398.30M,44.90M,353.40M,,0.36,0.00,0.3580,0.36,,0.36,0.00,0.3580,0.36,,659.10M,661.30M,0.06,,AOR,
2010-06,1.273B,1.273B,727.70M,545.70M,234.70M,1.90M,41.10M,0.50M,-40.60M,234.70M,311.00M,0.50M,41.10M,-40.60M,1.90M,-40.60M,272.30M,51.30M,221.00M,221.00M,219.46M,357.00M,43.60M,313.40M,,0.33,0.00,0.3277,0.33,,0.33,0.00,0.3277,0.33,,669.30M,671.60M,0.06,,AOR,Restated
2010-03,965.70M,1.233B,714.60M,518.10M,202.30M,-1.90M,38.80M,0.90M,-37.90M,202.30M,315.80M,0.90M,38.80M,-37.90M,-1.90M,-37.90M,276.00M,68.10M,207.90M,207.90M,209.33M,356.80M,42.00M,314.80M,,0.30,0.00,0.3021,0.30,,0.30,0.00,0.3021,0.30,,681.90M,684.20M,0.06,,AOR,Restated
2009-12,1.314B,1.314B,762.90M,551.10M,232.50M,3.30M,38.80M,1.00M,-37.80M,232.50M,318.60M,1.00M,38.80M,-37.80M,3.30M,-37.80M,284.10M,60.40M,223.70M,223.70M,221.10M,365.60M,42.70M,322.90M,,0.32,0.00,0.3162,0.32,,0.32,0.00,0.3162,0.32,,689.60M,692.30M,0.06,,AOR,Restated
2009-09,1.314B,1.314B,742.60M,571.50M,290.00M,2.40M,39.30M,1.90M,-37.40M,290.00M,281.50M,1.90M,39.30M,-37.40M,2.40M,-37.40M,246.50M,65.50M,181.00M,181.00M,179.24M,324.50M,38.70M,285.80M,,0.26,0.00,0.2575,0.26,,0.26,0.00,0.2575,0.26,,698.40M,701.60M,0.00,,AOR,Restated
2009-06,1.254B,1.254B,700.30M,554.00M,212.30M,-9.00M,39.80M,2.80M,-37.00M,212.30M,341.70M,2.80M,39.80M,-37.00M,-9.00M,-37.00M,295.70M,75.50M,220.20M,220.20M,226.90M,372.60M,37.10M,335.50M,,0.31,0.00,0.3196,0.31,,0.31,0.00,0.3195,0.31,,700.60M,702.70M,0.00,,AOR,Restated
2009-03,1.201B,1.201B,669.10M,532.10M,191.20M,0.60M,40.00M,3.70M,-36.30M,191.20M,340.90M,3.70M,40.00M,-36.30M,0.60M,-36.30M,305.20M,81.30M,223.90M,223.90M,223.46M,380.90M,35.70M,345.20M,,0.32,0.00,0.3194,0.32,,0.32,0.00,0.3194,0.32,,707.10M,708.00M,0.00,,AOR,Restated
2008-12,1.292B,1.292B,749.40M,542.20M,207.90M,7.30M,42.50M,6.10M,-36.40M,207.90M,334.30M,6.10M,42.50M,-36.40M,7.30M,-36.40M,305.20M,65.60M,239.60M,239.60M,233.87M,384.80M,37.10M,347.70M,,0.34,0.00,0.3320,0.34,,0.33,0.00,0.3220,0.33,,712.40M,712.40M,0.04,,AOR,Restated
2008-09,1.377B,1.377B,785.60M,591.80M,216.60M,-10.50M,40.40M,8.70M,-31.70M,216.60M,375.20M,8.70M,40.40M,-31.70M,-10.50M,-31.70M,333.00M,92.20M,240.80M,240.80M,248.39M,411.00M,37.60M,373.40M,,0.33,0.00,0.3405,0.33,,0.33,0.00,0.3403,0.33,,724.90M,737.20M,0.00,,,Restated
2008-06,1.347B,1.347B,799.40M,547.70M,211.50M,2.40M,43.30M,12.70M,-30.60M,211.50M,336.20M,12.70M,43.30M,-30.60M,2.40M,-30.60M,308.00M,76.50M,231.50M,231.50M,229.70M,387.80M,36.50M,351.30M,,0.31,0.00,0.3076,0.31,,0.31,0.00,0.3076,0.31,,736.50M,747.50M,0.00,,,Restated
2008-03,1.266B,1.266B,758.60M,507.30M,198.00M,10.50M,45.00M,17.70M,-27.30M,198.00M,309.30M,17.70M,45.00M,-27.30M,10.50M,-27.30M,292.50M,85.40M,207.10M,207.10M,199.67M,370.30M,32.80M,337.50M,,0.28,0.00,0.2700,0.28,,0.27,0.00,0.2602,0.27,,746.70M,756.80M,0.00,,,Restated
2007-12,1.309B,1.309B,752.70M,556.40M,191.80M,-2.80M,,,,191.80M,364.60M,,,,-2.80M,,335.20M,91.90M,243.30M,243.30M,245.33M,396.30M,31.70M,364.60M,,0.33,0.00,0.3327,0.33,,0.32,0.00,0.3227,0.32,,750.00M,761.80M,0.04,,,
2007-09,1.257B,1.257B,722.20M,535.00M,204.90M,3.60M,,,,204.90M,330.10M,,,,3.60M,,306.90M,90.60M,216.30M,216.30M,213.76M,361.00M,30.90M,330.10M,,0.29,0.00,0.2867,0.29,,0.28,0.00,0.2767,0.28,,757.50M,767.40M,0.00,,,
2007-06,1.203B,1.203B,687.90M,515.00M,192.30M,3.20M,,,,192.30M,322.70M,,,,3.20M,,298.20M,93.70M,204.50M,204.50M,202.31M,353.60M,30.90M,322.70M,,0.27,0.00,0.2671,0.27,,0.26,0.00,0.2572,0.26,,764.80M,779.00M,0.00,,,
2007-03,1.131B,1.131B,645.60M,485.40M,180.80M,6.00M,,,,180.80M,304.60M,,,,6.00M,,282.10M,88.90M,193.20M,193.20M,189.09M,335.00M,30.40M,304.60M,,0.25,0.00,0.2447,0.25,,0.25,0.00,0.2448,0.25,,768.20M,783.30M,0.00,,,
2006-12,1.173B,1.173B,651.10M,522.10M,186.90M,-16.50M,,,,186.90M,335.20M,,,,-16.50M,,306.50M,89.30M,217.20M,217.20M,228.89M,363.50M,28.30M,335.20M,,0.29,0.00,0.3053,0.29,,0.28,0.00,0.2949,0.28,,766.30M,782.70M,0.01,,,
2006-09,1.140B,1.140B,626.00M,514.40M,177.30M,31.70M,,,,177.30M,337.10M,,,,31.70M,,379.90M,121.80M,258.10M,258.10M,236.56M,363.20M,26.10M,337.10M,,0.34,0.00,0.3118,0.34,,0.34,0.00,0.3118,0.34,,763.90M,764.00M,,,,
2006-06,1.114B,1.114B,595.60M,518.00M,191.60M,-21.50M,,,,191.60M,326.40M,,,,-21.50M,,323.80M,104.90M,218.90M,218.90M,233.43M,350.90M,24.50M,326.40M,,0.29,0.00,0.3090,0.29,,0.29,0.00,0.3090,0.29,,763.90M,763.90M,,,,
2006-03,1.051B,1.051B,557.80M,492.80M,172.50M,7.10M,,,,172.50M,320.30M,,,,7.10M,,338.90M,109.30M,229.60M,229.60M,224.79M,344.90M,24.60M,320.30M,,0.25,0.00,0.2437,0.25,,0.24,0.00,0.2338,0.24,,765.50M,780.20M,,,,
2005-12,996.98M,996.98M,,,,,,,,,-1.722B,,,,,,,,231.85M,231.85M,231.85M,-1.722B,,-1.722B,,,,0.3035,0.3035,,,,0.3035,0.3035,,763.90M,763.90M,,,,
2005-09,996.98M,996.98M,,,,,,,,,996.98M,,,,,,,,231.85M,231.85M,231.85M,996.98M,,996.98M,,,,0.3035,0.3035,,,,0.3035,0.3035,,763.90M,763.90M,,,,
2005-06,996.98M,996.98M,,,,,,,,,996.98M,,,,,,,,231.85M,231.85M,231.85M,996.98M,,996.98M,,,,0.3035,0.3035,,,,0.3035,0.3035,,763.90M,763.90M,,,,
2005-03,996.98M,996.98M,,,,,,,,,996.98M,,,,,,,,231.85M,231.85M,231.85M,996.98M,,996.98M,,,,0.3035,0.3035,,,,0.3035,0.3035,,763.90M,763.90M,,,,
2004-12,886.90M,886.90M,,,,,,,,,886.90M,,,,,,,,187.90M,187.90M,187.90M,886.90M,,886.90M,,,,0.2460,0.2460,,,,0.2460,0.2460,,763.90M,763.90M,,,,
2004-09,886.90M,886.90M,,,,,,,,,886.90M,,,,,,,,187.90M,187.90M,187.90M,886.90M,,886.90M,,,,0.2460,0.2460,,,,0.2460,0.2460,,763.90M,763.90M,,,,
2004-06,886.90M,886.90M,,,,,,,,,886.90M,,,,,,,,187.90M,187.90M,187.90M,886.90M,,886.90M,,,,0.2460,0.2460,,,,0.2460,0.2460,,763.90M,763.90M,,,,
2004-03,886.90M,886.90M,,,,,,,,,886.90M,,,,,,,,187.90M,187.90M,187.90M,886.90M,,886.90M,,,,0.2460,0.2460,,,,0.2460,0.2460,,763.90M,763.90M,,,,
