,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,DerivativeContractLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-06,2.204B,1.255B,3.459B,1.491B,,,1.491B,,,,4.950B,,,,,,,,911.10M,-669.30M,241.80M,2.725B,546.50M,3.272B,,,,652.20M,4.166B,9.116B,,587.20M,1.164B,,1.752B,1.752B,,,,,,,,,1.752B,3.332B,,3.332B,166.20M,,166.20M,,,4.317B,7.815B,9.567B,,4.50M,-939.90M,732.10M,,,,-248.00M,-451.30M,,AOR,Restated
2018-03,2.309B,1.162B,3.471B,1.490B,,,1.490B,,,,4.961B,,,,,,,,869.30M,-653.60M,215.70M,2.727B,569.20M,3.296B,,,,715.60M,4.227B,9.188B,,594.10M,1.262B,,1.856B,1.856B,,110.00M,,110.00M,110.00M,,,,1.966B,3.033B,,3.033B,173.80M,,173.80M,,,4.390B,7.597B,9.564B,,4.60M,-819.80M,715.40M,,,,-276.00M,-375.80M,,AOR,Restated
2017-12,2.103B,1.350B,3.453B,1.574B,,,1.574B,174.00M,,,5.201B,0.00,17.00M,88.60M,646.70M,,10.20M,87.40M,849.90M,-635.70M,214.20M,2.728B,586.30M,3.314B,29.10M,273.40M,,199.40M,4.030B,9.231B,,718.50M,1.252B,4.189B,6.159B,6.159B,,,,,,,,,6.159B,3.034B,,3.034B,173.00M,,173.00M,15.00M,263.00M,78.80M,3.563B,9.723B,,4.60M,-965.90M,697.80M,,,,-227.90M,-491.40M,,AOR,Restated
2017-09,2.127B,1.389B,3.516B,1.465B,,,1.465B,,,,4.982B,,,,,,,,866.60M,-654.70M,211.90M,3.161B,601.10M,3.762B,,,,917.80M,4.892B,9.874B,,590.50M,464.50M,,1.055B,1.055B,,,,,,,,,1.055B,3.533B,,3.533B,140.90M,,140.90M,,,4.435B,8.109B,9.164B,,4.60M,247.90M,685.20M,,,,-228.30M,709.40M,,AOR,Restated
2017-06,2.207B,1.238B,3.446B,1.260B,,,1.260B,,,,4.706B,,,,,,,,847.40M,-632.10M,215.30M,3.162B,615.90M,3.778B,,,,709.70M,4.703B,9.408B,,523.80M,403.80M,,927.60M,927.60M,,445.00M,,445.00M,445.00M,,,,1.373B,3.182B,,3.182B,135.70M,,135.70M,,,4.056B,7.374B,8.747B,,4.60M,193.90M,672.10M,,,,-209.40M,661.20M,,AOR,Restated
2017-03,2.410B,1.164B,3.574B,1.201B,,,1.201B,,,,4.775B,,,,,,,,826.60M,-617.30M,209.30M,3.162B,649.60M,3.812B,,,,689.80M,4.711B,9.486B,,973.70M,402.50M,,1.376B,1.376B,,310.00M,,310.00M,310.00M,,,,1.686B,3.181B,,3.181B,135.30M,,135.30M,,,3.733B,7.050B,8.736B,,4.70M,259.70M,659.70M,,,,-173.80M,750.30M,,AOR,Restated
2016-12,2.068B,1.232B,3.299B,1.327B,,,1.327B,184.90M,,,4.812B,0.00,17.00M,88.30M,625.90M,,5.00M,84.30M,820.50M,-600.00M,220.50M,3.162B,664.20M,3.826B,40.10M,365.60M,,155.70M,4.608B,9.420B,,1.130B,407.30M,3.749B,5.286B,5.286B,,,,,,,,,5.286B,2.786B,,2.786B,85.90M,,85.90M,26.40M,262.30M,70.70M,3.231B,8.517B,,4.80M,419.30M,640.90M,,,,-162.80M,902.20M,,AOR,Restated
2016-09,2.434B,1.118B,3.552B,1.117B,,,1.117B,,,,4.670B,,,,,,,,811.60M,-587.20M,224.40M,3.162B,693.40M,3.856B,,,,768.90M,4.849B,9.519B,,557.40M,235.80M,,793.20M,793.20M,,,,,,,,,793.20M,3.225B,,3.225B,272.80M,,272.80M,,,3.840B,7.338B,8.131B,,4.90M,930.90M,628.70M,,,,-176.90M,1.388B,,AOR,Restated
2016-06,2.058B,1.298B,3.356B,1.164B,,,1.164B,,,,4.520B,,,,,,,,790.50M,-568.80M,221.70M,3.162B,701.50M,3.864B,,,,789.60M,4.875B,9.395B,,512.40M,213.20M,,725.60M,725.60M,,,,,,,,,725.60M,3.228B,,3.228B,268.10M,,268.10M,,,3.858B,7.355B,8.080B,,4.90M,877.20M,597.30M,,,,-165.00M,1.314B,,AOR,Restated
2016-03,2.124B,1.200B,3.324B,1.162B,,,1.162B,,,,4.486B,,,,,,,,779.40M,-553.10M,226.30M,3.163B,697.10M,3.860B,,,,846.10M,4.932B,9.418B,,579.00M,222.20M,,801.20M,801.20M,,,,,,,,,801.20M,3.226B,,3.226B,276.70M,,276.70M,,,3.876B,7.378B,8.179B,,4.90M,827.90M,585.30M,,,,-179.10M,1.239B,,AOR,Restated
2015-12,2.392B,1.163B,3.554B,1.070B,,,1.070B,140.50M,,,4.765B,0.00,17.00M,87.30M,569.40M,,13.00M,83.30M,770.00M,-538.20M,231.80M,3.164B,705.00M,3.869B,43.30M,396.30M,,143.90M,4.684B,9.449B,,606.60M,211.50M,3.309B,4.127B,4.127B,,,,,,,,,4.127B,3.216B,,3.216B,272.60M,,272.60M,69.30M,283.70M,76.00M,3.918B,8.044B,,5.00M,977.30M,566.50M,,,,-143.90M,1.405B,,AOR,Restated
2015-09,2.412B,1.258B,3.670B,1.115B,,,1.115B,,,,4.784B,,,,,,,,750.00M,-525.20M,224.80M,3.168B,738.10M,3.906B,,,,900.70M,5.032B,9.816B,,648.00M,199.10M,,847.10M,847.10M,,,,,,,,,847.10M,3.484B,,3.484B,314.30M,,314.30M,,,3.824B,7.622B,8.469B,,5.10M,912.30M,556.10M,,,,-126.30M,1.347B,,AOR,Restated
2015-06,2.632B,1.430B,4.061B,1.060B,,,1.060B,,,,5.121B,,,,,,,,710.30M,-509.10M,201.20M,3.168B,768.30M,3.937B,,,,805.10M,4.943B,10.06B,,587.80M,176.80M,,764.60M,764.60M,,,,,,,,,764.60M,3.726B,,3.726B,310.10M,,310.10M,,,3.956B,7.992B,8.756B,,5.10M,884.20M,541.60M,,,,-123.50M,1.307B,,AOR,Restated
2015-03,2.339B,1.857B,4.195B,1.032B,,,1.032B,,,,5.227B,,,,,,,,697.60M,-495.00M,202.60M,3.169B,772.00M,3.941B,,,,982.20M,5.126B,10.35B,,580.40M,186.10M,,766.50M,766.50M,,,,,,,,,766.50M,3.729B,,3.729B,317.40M,,317.40M,,,4.191B,8.237B,9.003B,,5.20M,931.90M,490.90M,,,,-78.10M,1.350B,,AOR,Restated
2014-12,2.618B,1.472B,4.09B,1.007B,,,1.007B,108.20M,,,5.205B,0.00,17.00M,87.80M,496.80M,,2.20M,81.10M,684.90M,-478.50M,206.40M,3.169B,748.10M,3.917B,41.60M,423.00M,,97.00M,4.685B,9.890B,,600.40M,166.30M,3.314B,4.080B,4.080B,,,,,,,,,4.080B,3.720B,,3.720B,305.00M,,305.00M,74.90M,317.10M,92.20M,4.510B,8.59B,,5.20M,968.70M,445.40M,,,,-118.90M,1.300B,,AOR,Restated
2014-09,2.560B,1.396B,3.956B,1.178B,,,1.178B,,,,5.133B,,,,,,,,672.10M,-466.40M,205.70M,3.170B,768.90M,3.938B,,,,569.30M,4.713B,9.847B,,596.10M,201.50M,,797.60M,797.60M,,,,,,,,,797.60M,3.714B,,3.714B,296.00M,,296.00M,,,3.859B,7.869B,8.667B,,5.20M,856.20M,429.20M,,,,-110.90M,1.180B,,AOR,Restated
2014-06,2.650B,1.250B,3.900B,1.308B,,,1.308B,,,,5.208B,,,,,,,,668.50M,-460.00M,208.50M,3.17B,799.00M,3.969B,,,,488.70M,4.666B,9.875B,,553.60M,202.00M,,755.60M,755.60M,0.00,35.00M,,35.00M,35.00M,,,,790.60M,3.719B,,3.719B,309.20M,,309.20M,,,3.986B,8.014B,8.804B,,5.30M,810.10M,417.30M,,,,-162.50M,1.070B,,AOR,Restated
2014-03,2.560B,1.427B,3.988B,1.222B,,,1.222B,,,,5.210B,,,,,,,,652.60M,-438.60M,214.00M,3.171B,833.50M,4.004B,,,,494.60M,4.713B,9.923B,,574.40M,221.70M,,796.10M,796.10M,0.00,130.00M,,130.00M,130.00M,,,,926.10M,3.714B,,3.714B,307.20M,,307.20M,,,3.908B,7.929B,8.855B,,5.40M,827.10M,405.20M,,,,-170.00M,1.068B,,AOR,Restated
2013-12,2.612B,1.851B,4.462B,981.30M,,,981.30M,110.80M,,,5.554B,0.00,16.90M,82.30M,449.40M,,9.60M,80.30M,638.50M,-428.60M,209.90M,3.172B,833.80M,4.006B,41.00M,224.30M,,85.80M,4.567B,10.12B,,638.90M,216.90M,3.270B,4.126B,4.126B,,,,,,,,,4.126B,4.213B,,4.213B,319.20M,,319.20M,70.40M,223.40M,64.40M,4.890B,9.017B,,5.50M,877.30M,390.90M,,,,-169.00M,1.105B,,AOR,Restated
2013-09,2.474B,1.555B,4.030B,1.121B,,,1.121B,,,,5.151B,,,,,,,,629.20M,-420.60M,208.60M,3.174B,869.60M,4.044B,,,,537.50M,4.790B,9.941B,,599.10M,196.80M,,795.90M,795.90M,500.00M,,,500.00M,500.00M,,,,1.296B,3.469B,,3.469B,345.20M,,345.20M,,,3.781B,7.595B,8.891B,,5.50M,832.00M,378.10M,,,,-165.30M,1.050B,,AOR,Restated
2013-06,2.244B,1.461B,3.706B,1.152B,,,1.152B,,,,4.858B,,,,,,,,610.80M,-407.20M,203.60M,3.176B,897.60M,4.074B,,,,453.70M,4.731B,9.589B,,541.50M,210.70M,,752.20M,752.20M,0.00,,,0.00,0.00,,,,752.20M,3.717B,,3.717B,350.50M,,350.50M,,,3.841B,7.909B,8.661B,,5.50M,707.40M,354.00M,,,,-138.30M,928.60M,,AOR,Restated
2013-03,2.349B,1.225B,3.574B,1.162B,,,1.162B,,,,4.736B,,,,,,,,600.90M,-402.20M,198.70M,3.178B,863.30M,4.042B,,,,384.90M,4.625B,9.362B,,524.20M,228.50M,,752.70M,752.70M,0.00,,,0.00,0.00,,,,752.70M,3.727B,,3.727B,354.00M,,354.00M,,,3.611B,7.691B,8.444B,,5.60M,702.80M,342.90M,,,,-133.70M,917.60M,,AOR,Restated
2012-12,2.351B,1.515B,3.866B,1.041B,,21.40M,1.062B,94.60M,,,5.023B,0.00,16.90M,80.00M,418.00M,,0.10M,65.60M,580.60M,-384.50M,196.10M,3.180B,878.90M,4.059B,41.00M,96.80M,33.20M,17.30M,4.443B,9.466B,,556.20M,218.30M,3.115B,3.889B,3.889B,,,,,,,,,3.889B,4.029B,,4.029B,352.10M,30.50M,382.60M,102.10M,86.10M,36.00M,4.636B,8.525B,,5.70M,754.70M,332.80M,,,,-152.60M,940.60M,,AOR,Restated
2012-09,1.433B,1.856B,3.289B,,,,1.108B,,362.30M,,4.760B,,,,,,,,569.50M,-372.80M,196.70M,3.186B,848.50M,4.034B,,,,364.60M,4.596B,9.355B,,3.906B,233.30M,,4.139B,4.139B,450.00M,,,450.00M,450.00M,377.80M,377.80M,,4.967B,2.983B,,2.983B,,,,,,258.60M,3.242B,8.208B,,6.00M,940.30M,324.90M,,,,-124.50M,1.147B,,AOR,Restated
2012-06,1.574B,1.864B,3.439B,,,,1.068B,,,,4.507B,,,,,,,,587.40M,-391.00M,196.40M,3.174B,861.60M,4.036B,,,,426.80M,4.659B,9.166B,,496.00M,189.60M,,685.60M,685.60M,,,,,,388.80M,388.80M,3.103B,4.178B,3.673B,,3.673B,,,,,,262.40M,3.936B,8.113B,,6.00M,842.80M,311.00M,,,,-107.00M,1.053B,,AOR,Restated
2012-03,1.879B,1.573B,3.452B,,,,1.129B,,,,4.581B,,,,,,,,641.50M,-445.20M,196.30M,3.166B,878.30M,4.045B,,,,375.90M,4.617B,9.198B,,498.30M,259.60M,,757.90M,757.90M,,,,,,,,3.185B,3.943B,3.634B,,3.634B,392.00M,,392.00M,,,261.70M,4.287B,8.230B,,6.10M,794.90M,298.90M,,,,-132.50M,967.40M,,AOR,Restated
2011-12,2.083B,1.332B,3.415B,1.062B,,37.60M,1.099B,88.60M,,,4.603B,0.00,16.90M,80.10M,467.90M,,1.80M,61.10M,627.80M,-429.70M,198.10M,3.199B,847.40M,4.046B,41.30M,124.80M,33.80M,22.50M,4.467B,9.070B,,535.00M,302.40M,3.091B,3.929B,3.929B,300.00M,297.00M,,597.00M,597.00M,,,,4.526B,2.986B,,2.986B,389.70M,33.60M,423.30M,86.60M,112.70M,40.70M,3.650B,8.175B,,6.20M,760.00M,247.10M,,,,-118.50M,894.80M,,AOR,Restated
2011-09,2.671B,2.757B,5.428B,,,,,,,,5.428B,,,,,,,,610.30M,-416.80M,193.50M,2.326B,488.10M,2.814B,,,,384.20M,3.392B,8.820B,,3.324B,480.10M,,3.805B,3.805B,696.30M,,,696.30M,696.30M,,,,4.501B,3.286B,,3.286B,294.60M,,294.60M,,,235.80M,3.817B,8.318B,,6.20M,357.30M,233.10M,,,,-94.70M,501.90M,,AOR,Restated
2011-06,2.249B,1.306B,3.556B,,,,1.120B,,,,4.675B,,,,,,,,609.10M,-412.70M,196.40M,2.330B,483.00M,2.813B,,,,325.50M,3.334B,8.010B,,483.20M,423.70M,,906.90M,906.90M,,,,,,287.50M,287.50M,2.585B,3.780B,3.586B,,3.586B,,,,,,265.20M,3.851B,7.630B,,6.30M,307.70M,221.60M,,,,-156.50M,379.10M,,AOR,Restated
2011-03,2.216B,,2.216B,,,,,,,2.534B,4.749B,,,,,,,,592.10M,-398.00M,194.10M,2.159B,421.10M,2.580B,,,,363.80M,3.138B,7.888B,,3.062B,411.30M,,3.473B,3.473B,,,,,,,,,3.473B,3.583B,,3.583B,273.50M,,273.50M,,,277.20M,4.134B,7.607B,,6.30M,230.20M,197.20M,,,,-153.40M,280.30M,,AOR,Restated
2010-12,2.157B,,2.157B,13.80M,,50.30M,64.10M,75.40M,,2.670B,4.988B,0.00,16.90M,77.50M,431.80M,,2.00M,51.90M,580.10M,-383.60M,196.50M,2.152B,438.00M,2.590B,85.70M,,,69.80M,2.942B,7.929B,,520.40M,356.60M,,877.00M,877.00M,,,,,,,,2.635B,3.512B,3.290B,,3.290B,289.90M,37.30M,327.20M,112.80M,80.90M,23.50M,3.834B,7.346B,,6.50M,591.60M,117.40M,,,,-132.80M,582.70M,,AOR,Restated
2010-06,1.941B,1.227B,3.168B,,,,920.40M,,,,4.088B,,,,,,,,550.90M,-354.80M,196.10M,2.156B,471.80M,2.628B,,,,435.20M,3.260B,7.348B,,2.811B,305.70M,,3.116B,3.116B,,,,,,,,,3.116B,3.296B,,3.296B,276.60M,,276.60M,,,258.60M,3.832B,6.948B,,6.60M,364.90M,73.20M,,,,-45.00M,399.70M,,AOR,Restated
2010-03,1.754B,1.16B,2.914B,,,,903.00M,,,,3.817B,,,,,,,,543.10M,-347.10M,196.00M,2.158B,474.50M,2.632B,,,,395.20M,3.224B,7.041B,,2.753B,317.50M,,3.071B,3.071B,,,,,,,,,3.071B,3.048B,,3.048B,282.30M,,282.30M,,,259.50M,3.590B,6.660B,,6.70M,400.50M,59.70M,,,,-86.30M,380.60M,,AOR,Restated
2009-12,1.685B,,1.685B,12.10M,,118.80M,130.90M,64.60M,,2.412B,4.319B,0.00,16.90M,75.20M,396.60M,,1.00M,50.00M,539.70M,-335.40M,204.30M,2.143B,489.20M,2.633B,87.40M,,,109.90M,3.034B,7.353B,,501.20M,519.00M,,1.020B,1.020B,,,,,,,,2.389B,3.409B,3.048B,,3.048B,268.90M,45.40M,314.30M,124.20M,80.60M,23.00M,3.591B,7.000B,,6.90M,433.20M,40.70M,,,,-127.30M,353.50M,,AOR,Restated
2009-09,1.625B,,1.625B,,,,,,,1.256B,2.882B,,,,,,,,520.60M,-322.30M,198.30M,2.147B,505.50M,2.652B,,,,482.30M,3.333B,6.214B,,512.30M,511.40M,,1.024B,1.024B,,,,,,,,1.256B,2.280B,3.052B,,3.052B,276.30M,,276.30M,,,278.10M,3.607B,5.887B,,6.90M,425.60M,23.20M,,,,-128.10M,327.60M,,AOR,Restated
2009-06,1.782B,,1.782B,,,,,,,1.220B,3.002B,,,,,,,,503.40M,-309.40M,194.00M,1.852B,403.20M,2.255B,,,,408.30M,2.857B,5.859B,,371.40M,450.80M,,822.20M,822.20M,,,,,,,,1.220B,2.042B,3.050B,,3.050B,260.40M,,260.40M,,,221.50M,3.532B,5.574B,,7.00M,373.20M,7.80M,,,,-102.40M,285.60M,,AOR,Restated
2009-03,1.51B,,1.51B,,,,,,,1.182B,2.692B,,,,,,,,489.10M,-296.70M,192.40M,1.853B,401.80M,2.255B,,,,514.70M,2.962B,5.654B,,390.00M,451.60M,,841.60M,841.60M,,,,,,271.00M,271.00M,1.182B,2.295B,3.057B,,3.057B,,,,,,188.70M,3.245B,5.540B,,7.00M,153.10M,-1.50M,,,,-44.70M,113.90M,,AOR,Restated
2008-12,1.296B,,1.296B,19.80M,,357.60M,377.40M,92.90M,,1.231B,3.031B,0.00,16.90M,74.80M,344.40M,,1.30M,38.90M,476.30M,-284.00M,192.30M,1.674B,350.60M,2.025B,213.10M,,,116.80M,2.547B,5.578B,,385.70M,381.60M,,767.30M,767.30M,,,,,,,,1.208B,1.975B,3.144B,,3.144B,270.10M,,270.10M,,,198.00M,3.612B,5.586B,,7.10M,29.20M,-14.40M,,,,-30.00M,-8.10M,,AOR,Restated
2008-09,1.130B,,1.130B,,,,,,,,1.130B,,,,,,,,488.10M,-293.50M,194.60M,1.653B,351.20M,2.004B,,,,2.176B,4.375B,5.504B,,415.20M,,,415.20M,415.20M,,,,,,,,395.50M,810.70M,3.082B,,3.082B,288.10M,,288.10M,,,1.413B,4.784B,5.594B,,7.20M,-72.90M,-25.20M,,,,0.70M,-90.20M,,,Restated
2008-06,1.875B,,1.875B,,,,,,,1.442B,3.317B,,,,,,,,451.00M,-251.50M,199.50M,1.640B,349.80M,1.990B,,,,517.90M,2.707B,6.024B,,407.50M,,,407.50M,407.50M,,,,,,272.50M,272.50M,1.752B,2.432B,3.369B,,3.369B,,,,,,197.70M,3.566B,5.999B,,7.30M,209.50M,-113.50M,,,,-77.80M,25.50M,,,Restated
2008-03,1.895B,,1.895B,,,,,,,1.382B,3.278B,,,,,,,,463.50M,-265.70M,197.80M,1.639B,327.80M,1.967B,,,,530.20M,2.695B,5.973B,,387.50M,,,387.50M,387.50M,500.00M,,376.70M,876.70M,876.70M,,,1.72B,2.984B,2.503B,,2.503B,266.00M,,266.00M,,,212.60M,2.981B,5.965B,,7.40M,363.00M,-271.90M,,,,-91.10M,7.40M,,,Restated
2007-12,1.997B,193.80M,2.190B,944.40M,,,944.40M,,,,3.135B,0.00,16.90M,108.00M,318.10M,,8.80M,,451.80M,-251.50M,200.30M,1.640B,334.10M,1.974B,,,,475.50M,2.649B,5.784B,,350.10M,,,350.10M,350.10M,500.00M,,338.20M,838.20M,838.20M,,,1.599B,2.787B,2.500B,,2.500B,263.60M,,263.60M,,,182.90M,2.946B,5.734B,,7.50M,453.10M,-341.10M,,23.30M,-92.10M,-68.80M,50.70M,,,
2007-09,2.047B,154.10M,2.201B,879.10M,,,879.10M,,,,3.080B,,,,,,,,442.90M,-243.70M,199.20M,1.640B,308.30M,1.948B,,,,457.70M,2.605B,5.685B,,659.10M,,,659.10M,659.10M,,,,274.90M,274.90M,,,1.410B,2.344B,2.998B,,2.998B,258.80M,,258.80M,,,231.40M,3.488B,5.832B,,7.70M,776.20M,-380.20M,461.90M,,,-88.20M,-146.40M,,,
2007-06,1.835B,154.90M,1.99B,748.10M,,,748.10M,,,,2.738B,,,,,,,,424.20M,-231.30M,192.90M,1.647B,283.20M,1.930B,,,,466.30M,2.590B,5.328B,,1.793B,,,1.793B,1.793B,,,,159.90M,159.90M,,,52.80M,2.006B,2.996B,,2.996B,263.80M,,263.80M,,,148.50M,3.408B,5.414B,,7.70M,570.70M,-410.20M,186.60M,,,-67.60M,-86.00M,,,
2007-03,1.561B,,1.561B,,,,,,,1.203B,2.764B,,,,,,,,411.10M,-223.20M,187.90M,1.647B,280.60M,1.928B,,,,474.00M,2.590B,5.354B,,591.30M,,,591.30M,591.30M,,,,,,,,1.202B,1.793B,3.279B,,3.279B,259.50M,,259.50M,,,195.20M,3.734B,5.526B,,7.70M,385.20M,-418.30M,78.90M,,,-68.10M,-172.40M,,,
