,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,OtherReceivables,TotalReceivables,Inventories,RestrictedCash,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,TotalPayables,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2003-12,,,,,,,,,,,,,,,,,,2.543B,,,,,267.61M,,,2.811B,3.036B,,,,198.00M,198.00M,,,,198.00M,1.209B,,1.209B,,,116.92M,,,1.209B,1.478B,131.04M,-330.90M,1.355B,,,,,1.441B
2003-09,9.706M,,9.706M,17.09M,,,17.09M,,,26.80M,,,,,,2.968B,-473.97M,2.494B,,,,28.48M,265.14M,,,2.787B,2.832B,,,,129.20M,129.20M,,,,129.20M,1.346B,,1.346B,,,67.77M,133.62M,,1.479B,1.555B,160.72M,-306.56M,1.367B,96.51M,,,,1.210B
2003-06,11.56M,,11.56M,18.87M,,,18.87M,,,30.43M,,,,,,2.808B,-458.69M,2.349B,,,,31.66M,311.53M,,,2.692B,2.744B,,,,,,,,,,1.391B,,1.391B,,,68.23M,,,1.391B,1.466B,248.48M,-299.46M,1.272B,186.84M,,,,1.209B
2003-03,13.44M,,13.44M,19.32M,,,19.32M,,,32.76M,,,,,,2.806B,-439.56M,2.366B,,,,32.22M,312.66M,,,2.711B,2.755B,,,,102.20M,102.20M,,,,102.20M,1.330B,,1.330B,,,12.83M,,,1.330B,1.459B,334.78M,-281.00M,1.239B,274.49M,,,,1.283B
2002-12,,,,,,,,,,,,,,,,,,2.371B,,,,,300.16M,,,2.672B,2.748B,,,,267.80M,267.80M,,,,267.80M,1.066B,,1.066B,,,71.54M,,,1.066B,1.396B,118.94M,-264.62M,1.152B,,,,,1.281B
2002-09,11.71M,,11.71M,19.24M,,,19.24M,,,30.95M,,,,,,2.756B,-404.81M,2.352B,,,,32.89M,277.16M,,,2.662B,2.703B,,,,213.50M,213.50M,,,,213.50M,1.289B,,1.289B,,,13.21M,,,1.289B,1.409B,333.26M,-227.08M,1.185B,274.49M,,,,1.281B
2002-06,8.916M,,8.916M,20.96M,,,20.96M,,,29.88M,,,,,,2.720B,-385.80M,2.334B,,,,20.89M,166.84M,,,2.522B,2.563B,,,,101.40M,101.40M,,,,101.40M,1.183B,,1.183B,,,13.31M,,,1.183B,1.291B,332.17M,-210.32M,1.147B,274.49M,,,,1.258B
2002-03,6.617M,,6.617M,21.18M,,,21.18M,,,27.80M,,,,,,2.662B,-369.15M,2.293B,,,,21.55M,168.03M,,,2.482B,2.519B,,,,309.80M,309.80M,,,,309.80M,1.145B,,1.145B,,,69.77M,,,1.145B,1.202B,331.54M,-198.07M,1.124B,274.49M,,,,1.247B
2001-12,,,,,,,,,,,,,,,,,,2.195B,,,,,176.29M,,,2.371B,2.431B,,,,108.50M,108.50M,,,,108.50M,1.058B,,1.058B,,,69.97M,,,1.058B,1.114B,56.39M,-184.89M,1.101B,,,,,1.247B
2001-09,9.836M,,9.836M,19.75M,,,19.75M,,,29.58M,,,,,,2.518B,-323.06M,2.195B,,,,22.00M,186.47M,,,2.403B,2.444B,,,56.99M,112.30M,112.30M,,,,169.29M,1.076B,,1.076B,,,67.68M,,,1.076B,1.133B,330.02M,-162.85M,1.076B,274.49M,,,,1.243B
2001-06,16.13M,,16.13M,18.06M,,,18.06M,,,34.19M,,,,,,2.418B,-319.00M,2.099B,,,,22.22M,174.51M,,,2.296B,2.345B,,,53.89M,40.30M,40.30M,,,,94.19M,991.67M,,991.67M,,,41.91M,,,991.67M,1.046B,329.71M,-137.57M,1.065B,274.49M,,,,1.257B
2001-03,6.213M,,6.213M,14.91M,,,14.91M,,,21.12M,,,,,,2.414B,-304.22M,2.110B,,,,22.30M,173.96M,,,2.306B,2.343B,,,59.77M,159.50M,159.50M,,,,219.27M,1.112B,,1.112B,,,42.14M,,,1.112B,1.172B,325.50M,-126.93M,930.89M,274.49M,,,,1.129B
2000-12,,,,,,,,,,,,,,,,,,2.101B,,,,,187.24M,,,2.288B,2.395B,,,,204.50M,204.50M,,,,204.50M,1.159B,,1.159B,,,39.54M,,,1.159B,1.216B,50.87M,-113.26M,927.18M,,,,,1.139B
2000-09,4.904M,,4.904M,15.23M,,,15.23M,,,20.14M,,,,,,2.439B,-277.19M,2.162B,,,,23.04M,188.72M,,,2.374B,2.405B,,,53.49M,132.00M,132.00M,,,,185.49M,1.088B,,1.088B,,,39.72M,,,1.088B,1.210B,325.49M,-100.15M,929.59M,274.52M,,,,1.155B
2000-06,7.177M,,7.177M,,,,,,,7.177M,,,,,,2.433B,-261.74M,2.171B,,,,42.17M,192.20M,,,2.405B,2.434B,,,43.35M,220.80M,220.80M,,,,264.15M,1.095B,,1.095B,,,40.02M,,,1.095B,1.224B,325.49M,-85.71M,929.57M,274.53M,,,,1.169B
2000-03,4.957M,,4.957M,,,,,,,4.957M,,,,,,2.164B,-247.25M,1.916B,,,,42.90M,192.94M,,,2.152B,2.454B,,,50.55M,213.20M,213.20M,,,,263.75M,1.091B,,1.091B,,,40.49M,,,1.091B,1.228B,325.78M,-76.68M,936.83M,274.52M,,,,1.186B
1999-12,7.696M,,7.696M,13.56M,,,13.56M,,,21.26M,,,,,,2.423B,-230.51M,2.193B,,,,47.64M,193.16M,,,2.434B,2.469B,,,,215.50M,215.50M,,,,215.50M,1.180B,,1.180B,,,40.40M,,,1.180B,1.229B,326.46M,-66.68M,940.47M,275.04M,,,,1.200B
1999-09,,,,,,,,,,,,,,,,,,1.239B,,,,,187.50M,,,1.426B,1.505B,,,,100.50M,100.50M,,,,100.50M,711.70M,,711.70M,,,39.40M,,,711.70M,847.30M,32.00M,-55.70M,463.50M,,,,,617.90M
1999-06,,,,,,,,,,,,,,,,,,1.262B,,,,,174.50M,,,1.437B,1.513B,,,,117.70M,117.70M,,,,117.70M,712.30M,,712.30M,,,40.50M,,,712.30M,858.30M,,-69.10M,,,,,,614.20M
1999-03,,,,,,,,,,,,,,,,,,1.213B,,,,,161.40M,,,1.375B,1.448B,,,,100.50M,100.50M,,,,100.50M,679.40M,,679.40M,,,42.90M,,,679.40M,814.40M,,-62.60M,,,,,,591.00M
1998-12,4.504M,,4.504M,,,,,,,4.504M,,,,,,1.322B,-190.94M,1.131B,,,,54.48M,154.36M,,,1.340B,1.357B,,,,88.00M,88.00M,,,,88.00M,709.04M,,709.04M,,,23.39M,,,709.04M,737.80M,218.83M,-56.72M,433.31M,187.85M,,,,595.42M
1998-09,,,,,,,,,,,,,,,,,,945.10M,,,,,145.50M,,,1.091B,1.239B,,,,,,,,,,585.90M,,585.90M,,,20.80M,,,585.90M,625.70M,,-58.90M,,,,,,592.80M
1998-06,,,,,,,,,,,,,,,,,,896.90M,,,,,154.40M,,,1.051B,1.109B,,,,,,,,,,600.20M,,600.20M,,,21.20M,,,600.20M,627.70M,,-61.30M,,,,,,460.20M
