,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2017-06,10.08B,10.08B,7.024B,3.054B,1.456B,0.00,79.00M,36.00M,-43.00M,,1.456B,1.598B,36.00M,79.00M,-43.00M,223.00M,-43.00M,1.778B,378.00M,1.40B,,,-8.00M,1.392B,1.395B,2.133B,276.00M,1.857B,,1.82,,,1.824,1.82,,1.80,,,1.804,1.80,,764.20M,774.00M,0.665,,AOR,Restated
2017-03,9.492B,9.492B,6.529B,2.963B,1.422B,0.00,75.00M,31.00M,-44.00M,,1.422B,1.541B,31.00M,75.00M,-44.00M,227.00M,-44.00M,1.724B,392.00M,1.332B,,,-6.00M,1.326B,1.341B,2.07B,271.00M,1.799B,,1.74,,,1.760,1.74,,1.71,,,1.730,1.71,,763.10M,773.90M,0.665,,AOR,Restated
2016-12,9.985B,9.985B,7.406B,2.579B,1.598B,,86.00M,,20.00M,,1.598B,981.00M,,86.00M,20.00M,436.00M,20.00M,1.437B,389.00M,1.048B,,,-11.00M,1.037B,1.037B,1.78B,257.00M,1.523B,,1.36,,,1.36,1.36,,1.34,,,1.34,1.34,,762.20M,772.30M,0.665,,AOR,Restated
2016-09,9.804B,9.804B,6.903B,2.901B,1.367B,,82.00M,,-82.00M,,1.367B,1.534B,,82.00M,-82.00M,180.00M,-82.00M,1.632B,384.00M,1.248B,,,-8.00M,1.24B,1.24B,1.974B,260.00M,1.714B,,1.62,,,1.62,1.62,,1.60,,,1.60,1.60,,763.70M,774.40M,0.595,,AOR,Restated
2016-06,9.991B,9.991B,6.821B,3.17B,1.329B,,85.00M,,-85.00M,,1.329B,1.841B,,85.00M,-85.00M,-1.00M,-85.00M,1.755B,428.00M,1.327B,,,-8.00M,1.319B,1.319B,2.10B,260.00M,1.84B,,1.73,,,1.73,1.73,,1.70,,,1.70,1.70,,763.30M,774.90M,0.595,,AOR,Restated
2016-03,9.522B,9.522B,6.547B,2.975B,1.28B,,85.00M,,-85.00M,,1.28B,1.695B,,85.00M,-85.00M,18.00M,-85.00M,1.628B,402.00M,1.226B,,,-10.00M,1.216B,1.216B,1.966B,253.00M,1.713B,,1.58,,,1.58,1.58,,1.56,,,1.56,1.56,,767.90M,779.60M,0.595,,AOR,Restated
2015-12,9.982B,9.982B,6.917B,3.065B,1.332B,,84.00M,,20.00M,,1.332B,1.733B,,84.00M,20.00M,-100.00M,20.00M,1.653B,450.00M,1.203B,,,-9.00M,1.194B,1.194B,1.959B,222.00M,1.737B,,1.55,,,1.55,1.55,,1.53,,,1.53,1.53,,771.70M,780.90M,0.595,,AOR,Restated
2015-09,9.611B,9.611B,6.654B,2.957B,1.202B,,72.00M,,-72.00M,,1.202B,1.755B,,72.00M,-72.00M,24.00M,-72.00M,1.707B,431.00M,1.276B,,,-12.00M,1.264B,1.264B,1.998B,219.00M,1.779B,,1.62,,,1.62,1.62,,1.60,,,1.60,1.60,,780.40M,789.50M,0.5175,,AOR,Restated
2015-06,9.775B,9.775B,6.814B,2.961B,1.242B,,77.00M,,-77.00M,,1.242B,1.719B,,77.00M,-77.00M,20.00M,-77.00M,1.662B,440.00M,1.222B,,,-28.00M,1.194B,1.194B,1.965B,226.00M,1.739B,,1.52,,,1.52,1.52,,1.51,,,1.51,1.51,,783.30M,792.90M,0.5175,,AOR,Restated
2015-03,9.213B,9.213B,6.362B,2.851B,1.23B,,77.00M,,-77.00M,,1.23B,1.621B,,77.00M,-77.00M,20.00M,-77.00M,1.564B,418.00M,1.146B,,,-30.00M,1.116B,1.116B,1.857B,216.00M,1.641B,,1.42,,,1.42,1.42,,1.41,,,1.41,1.41,,783.80M,794.00M,0.5175,,AOR,Restated
2014-12,10.27B,10.27B,7.566B,2.70B,1.46B,,82.00M,,20.00M,,1.46B,1.24B,,82.00M,20.00M,44.00M,20.00M,1.304B,329.00M,975.00M,,,-19.00M,956.00M,956.00M,1.612B,226.00M,1.386B,,1.22,,,1.22,1.22,,1.20,,,1.20,1.20,,783.80M,794.00M,0.5175,,AOR,Restated
2014-09,10.11B,10.11B,7.128B,2.98B,1.344B,,77.00M,,-77.00M,,1.344B,1.636B,,77.00M,-77.00M,21.00M,-77.00M,1.58B,388.00M,1.192B,,,-25.00M,1.167B,1.167B,1.884B,227.00M,1.657B,,1.49,,,1.49,1.49,,1.47,,,1.47,1.47,,784.50M,795.00M,0.45,,AOR,Restated
2014-06,10.25B,10.25B,7.296B,2.957B,1.375B,,80.00M,,-80.00M,,1.375B,1.582B,,80.00M,-80.00M,21.00M,-80.00M,1.523B,397.00M,1.126B,,,-27.00M,1.099B,1.099B,1.836B,233.00M,1.603B,,1.40,,,1.40,1.40,,1.38,,,1.38,1.38,,784.50M,795.40M,0.45,,AOR,Restated
2014-03,9.679B,9.679B,6.967B,2.712B,1.339B,,79.00M,,-79.00M,,1.339B,1.373B,,79.00M,-79.00M,117.00M,-79.00M,1.411B,375.00M,1.036B,,,-19.00M,1.017B,1.017B,1.728B,238.00M,1.49B,,1.30,,,1.30,1.30,,1.28,,,1.28,1.28,,784.90M,796.40M,0.45,,AOR,Restated
2013-12,10.39B,10.39B,7.612B,2.775B,1.438B,-20.00M,83.00M,22.00M,-61.00M,,1.438B,1.337B,22.00M,83.00M,-61.00M,163.00M,-61.00M,1.439B,475.00M,964.00M,,,-17.00M,947.00M,836.46M,1.771B,249.00M,1.522B,,1.20,,,1.059,1.20,,1.19,,,1.051,1.19,,785.80M,796.70M,0.45,,AOR,Restated
2013-09,9.647B,9.647B,6.942B,2.705B,1.242B,0.00,80.00M,15.00M,-65.00M,,1.242B,1.463B,15.00M,80.00M,-65.00M,-14.00M,-65.00M,1.384B,377.00M,1.007B,,,-17.00M,990.00M,1.005B,1.709B,245.00M,1.464B,,1.26,,,1.279,1.26,,1.24,,,1.259,1.24,,786.30M,797.10M,0.41,,AOR,Restated
2013-06,9.693B,9.693B,7.027B,2.666B,1.281B,0.00,80.00M,15.00M,-65.00M,,1.281B,1.385B,15.00M,80.00M,-65.00M,9.00M,-65.00M,1.329B,307.00M,1.022B,,,-1.00M,1.021B,1.022B,1.656B,247.00M,1.409B,,1.30,,,1.301,1.30,,1.28,,,1.281,1.28,,787.60M,798.10M,0.41,,AOR,Restated
2013-03,9.328B,9.328B,6.783B,2.545B,1.229B,,84.00M,17.00M,-67.00M,,1.229B,1.316B,17.00M,84.00M,-67.00M,11.00M,-67.00M,1.26B,291.00M,969.00M,,,-3.00M,966.00M,967.54M,1.592B,248.00M,1.344B,,1.23,,,1.232,1.23,,1.21,,,1.212,1.21,,785.80M,797.10M,0.41,,AOR,Restated
2012-12,9.581B,9.581B,7.681B,1.90B,1.523B,2.00M,87.00M,16.00M,-71.00M,,1.523B,377.00M,16.00M,87.00M,-71.00M,0.00,-71.00M,306.00M,51.00M,255.00M,,,-4.00M,251.00M,256.00M,638.00M,245.00M,393.00M,,0.32,0.00,,0.3263,0.32,,0.32,0.00,,0.3263,0.32,,787.50M,796.40M,0.41,,AOR,Restated
2012-09,9.342B,9.342B,6.808B,2.534B,1.238B,4.00M,88.00M,14.00M,-74.00M,,1.238B,1.296B,14.00M,88.00M,-74.00M,2.00M,-74.00M,1.224B,278.00M,946.00M,,,4.00M,950.00M,958.50M,1.538B,226.00M,1.312B,,1.21,,,1.221,1.21,,1.20,,,1.211,1.20,,783.60M,792.50M,0.3725,,AOR,Restated
2012-06,9.435B,9.435B,6.922B,2.513B,1.226B,-1.00M,87.00M,14.00M,-73.00M,,1.226B,1.287B,14.00M,87.00M,-73.00M,9.00M,-73.00M,1.223B,318.00M,905.00M,,,-3.00M,902.00M,904.96M,1.535B,225.00M,1.31B,,1.15,,,1.154,1.15,,1.14,,,1.144,1.14,,781.40M,790.50M,0.3725,,AOR,Restated
2012-03,9.307B,9.307B,6.88B,2.427B,1.231B,,89.00M,14.00M,-75.00M,,1.231B,1.196B,14.00M,89.00M,-75.00M,1.00M,-75.00M,1.122B,297.00M,825.00M,,,-2.00M,823.00M,830.35M,1.441B,230.00M,1.211B,,1.06,,,1.069,1.06,,1.04,,,1.049,1.04,,777.30M,788.10M,0.3725,,AOR,Restated
2011-12,9.473B,9.473B,8.435B,1.038B,1.616B,44.00M,91.00M,16.00M,-75.00M,,1.616B,-578.00M,16.00M,91.00M,-75.00M,-4.00M,-75.00M,-657.00M,-350.00M,-307.00M,0.00,,-3.00M,-310.00M,-321.05M,-313.00M,253.00M,-566.00M,,-0.40,0.00,,-0.4143,-0.40,,-0.40,0.00,,-0.4141,-0.40,,774.50M,784.40M,0.3725,,AOR,Restated
2011-09,9.298B,9.298B,7.033B,2.265B,1.303B,-2.00M,90.00M,15.00M,-75.00M,,1.303B,962.00M,15.00M,90.00M,-75.00M,6.00M,-75.00M,893.00M,207.00M,686.00M,177.00M,,-1.00M,862.00M,690.38M,1.209B,226.00M,983.00M,,0.88,0.23,,0.8869,1.11,,0.87,0.23,,0.8768,1.10,,778.20M,786.90M,0.3325,,AOR,Restated
2011-06,9.086B,9.086B,6.664B,2.422B,1.248B,4.00M,96.00M,14.00M,-82.00M,,1.248B,1.174B,14.00M,96.00M,-82.00M,8.00M,-82.00M,1.10B,304.00M,796.00M,14.00M,,0.00,810.00M,800.34M,1.432B,236.00M,1.196B,,1.01,0.02,,1.016,1.03,,1.00,0.02,,1.005,1.02,,785.00M,797.30M,0.3325,,AOR,Restated
2011-03,8.672B,8.672B,6.424B,2.248B,1.232B,15.00M,99.00M,13.00M,-86.00M,,1.232B,1.016B,13.00M,99.00M,-86.00M,16.00M,-86.00M,946.00M,256.00M,690.00M,18.00M,,-3.00M,705.00M,681.89M,1.287B,242.00M,1.045B,,0.87,0.03,,0.8635,0.90,,0.86,0.02,,0.8536,0.88,,785.50M,797.70M,0.3325,,AOR,Restated
2010-12,8.749B,8.749B,6.917B,1.832B,1.289B,48.00M,92.00M,9.00M,-83.00M,,1.289B,543.00M,9.00M,92.00M,-83.00M,117.00M,-83.00M,459.00M,115.00M,344.00M,25.00M,,0.00,369.00M,320.77M,822.00M,271.00M,551.00M,,0.43,0.03,,0.4003,0.46,,0.43,0.03,,0.4007,0.46,,782.20M,791.70M,0.3025,,AOR,Restated
2010-09,8.139B,8.139B,6.17B,1.969B,1.129B,-58.00M,96.00M,14.00M,-82.00M,,1.129B,840.00M,14.00M,96.00M,-82.00M,-64.00M,-82.00M,822.00M,245.00M,577.00M,19.00M,,2.00M,598.00M,621.82M,1.16B,242.00M,918.00M,,0.75,0.02,,0.8051,0.77,,0.74,0.02,,0.7947,0.76,,776.50M,782.80M,0.3025,,AOR,Restated
2010-06,7.926B,7.926B,5.967B,1.959B,1.11B,9.00M,91.00M,,-91.00M,,1.11B,849.00M,,91.00M,-91.00M,9.00M,-91.00M,767.00M,209.00M,558.00M,16.00M,,-8.00M,566.00M,543.45M,1.099B,241.00M,858.00M,,0.72,0.02,,0.7115,0.74,,0.71,0.02,,0.7016,0.73,,769.60M,775.34M,0.3025,,AOR,Restated
2010-03,7.776B,7.776B,5.858B,1.918B,1.111B,0.00,107.00M,9.00M,-98.00M,,1.111B,807.00M,9.00M,107.00M,-98.00M,-7.00M,-98.00M,702.00M,206.00M,496.00M,,,-7.00M,489.00M,496.77M,1.042B,233.00M,809.00M,,0.63,0.00,,0.6402,0.63,,0.63,0.00,,0.6401,0.63,,765.70M,771.70M,0.3025,,AOR,Restated
2009-12,8.072B,8.072B,6.777B,1.295B,1.173B,85.00M,109.00M,,-134.00M,,1.173B,122.00M,,109.00M,-134.00M,94.00M,-134.00M,82.00M,-24.00M,106.00M,,,-13.00M,93.00M,37.75M,437.00M,246.00M,191.00M,,0.12,0.00,,0.0477,0.12,,0.11,0.00,,0.0380,0.11,,764.30M,767.19M,0.3025,,AOR,Restated
2009-09,7.70B,7.70B,5.797B,1.903B,1.034B,29.00M,110.00M,7.00M,-103.00M,,1.034B,869.00M,7.00M,110.00M,-103.00M,32.00M,-103.00M,798.00M,179.00M,619.00M,,,-11.00M,608.00M,589.38M,1.15B,242.00M,908.00M,,0.80,0.00,,0.7755,0.80,,0.80,0.00,,0.7756,0.80,,760.80M,764.00M,0.3025,,AOR,Restated
2009-06,7.566B,7.566B,5.682B,1.884B,1.084B,-66.00M,123.00M,6.00M,-117.00M,,1.084B,800.00M,6.00M,123.00M,-117.00M,-57.00M,-117.00M,626.00M,166.00M,460.00M,,,-10.00M,450.00M,498.50M,984.00M,235.00M,749.00M,,0.60,0.00,,0.6649,0.60,,0.60,0.00,,0.6647,0.60,,747.70M,750.10M,0.3025,,AOR,Restated
2009-03,7.57B,7.57B,5.756B,1.814B,1.152B,-14.00M,117.00M,12.00M,-105.00M,,1.152B,662.00M,12.00M,117.00M,-105.00M,-14.00M,-105.00M,543.00M,144.00M,399.00M,,,-2.00M,397.00M,407.29M,894.00M,234.00M,660.00M,,0.54,0.00,,0.5539,0.54,,0.54,0.00,,0.5539,0.54,,737.70M,739.30M,0.3025,,AOR,Restated
2008-12,8.712B,8.712B,6.523B,2.189B,1.179B,-23.00M,114.00M,27.00M,-87.00M,,1.179B,1.01B,27.00M,114.00M,-87.00M,-9.00M,-87.00M,914.00M,201.00M,713.00M,,,-6.00M,707.00M,724.94M,1.238B,210.00M,1.028B,,0.97,0.00,,0.9946,0.97,,0.97,0.00,,0.9946,0.97,,728.85M,730.12M,0.275,,,Restated
2008-09,9.275B,9.275B,7.476B,1.799B,1.309B,612.00M,112.00M,21.00M,-91.00M,,1.309B,490.00M,21.00M,112.00M,-91.00M,639.00M,-91.00M,1.038B,315.00M,723.00M,,,-4.00M,719.00M,292.72M,1.397B,247.00M,1.15B,,0.98,0.00,,0.3968,0.98,,0.97,0.00,,0.3921,0.97,,730.90M,737.60M,0.275,,,Restated
2008-06,9.674B,9.674B,7.323B,2.351B,1.29B,8.00M,115.00M,29.00M,-86.00M,,1.29B,1.061B,29.00M,115.00M,-86.00M,14.00M,-86.00M,989.00M,261.00M,728.00M,,,-5.00M,723.00M,717.11M,1.333B,229.00M,1.104B,,0.97,0.00,,0.9621,0.97,,0.96,0.00,,0.9521,0.96,,750.10M,750.10M,0.275,,,Restated
2008-03,8.895B,8.895B,6.672B,2.223B,1.255B,-15.00M,115.00M,25.00M,-90.00M,,1.255B,968.00M,25.00M,115.00M,-90.00M,1.00M,-90.00M,879.00M,232.00M,647.00M,,,-4.00M,643.00M,654.04M,1.211B,217.00M,994.00M,,0.87,0.00,,0.8849,0.87,,0.85,0.00,,0.8647,0.85,,743.40M,752.90M,0.275,,,Restated
2007-12,9.275B,9.275B,7.013B,2.262B,1.205B,-23.00M,,,,,1.205B,1.057B,,,,-20.00M,,938.00M,249.00M,689.00M,,,,689.00M,705.89M,1.274B,217.00M,1.057B,,0.92,0.00,,0.9427,0.92,,0.91,0.00,,0.9324,0.91,,745.79M,753.67M,0.25,,,
2007-09,8.735B,8.735B,6.646B,2.089B,1.144B,,,,,,1.144B,945.00M,,,,5.00M,,837.00M,219.00M,618.00M,,,,618.00M,618.00M,1.152B,207.00M,945.00M,,0.83,0.00,,0.83,0.83,,0.81,0.00,,0.81,0.81,,744.58M,762.96M,0.25,,,
2007-06,8.538B,8.538B,6.491B,2.047B,1.127B,,,,,,1.127B,920.00M,,,,4.00M,,830.00M,219.00M,611.00M,,,,611.00M,611.00M,1.133B,213.00M,920.00M,,0.79,0.00,,0.79,0.79,,0.78,0.00,,0.78,0.78,,773.42M,783.33M,0.25,,,
2007-03,8.041B,8.041B,6.15B,1.891B,1.089B,-6.00M,,,,,1.089B,802.00M,,,,-8.00M,,716.00M,190.00M,526.00M,,,,526.00M,530.41M,1.002B,200.00M,802.00M,,0.66,0.00,,0.6655,0.66,,0.66,0.00,,0.6655,0.66,,796.97M,796.97M,0.25,,,
2006-12,8.276B,8.276B,6.358B,1.918B,1.085B,,,,,,1.085B,833.00M,,,,22.00M,,781.00M,196.00M,585.00M,0.00,,,585.00M,585.00M,1.031B,198.00M,833.00M,,0.72,0.00,,0.72,0.72,,0.71,0.00,,0.71,0.71,,811.08M,823.48M,0.2269,,,
2006-09,7.952B,7.952B,6.111B,1.841B,1.037B,-6.00M,,,,,1.037B,804.00M,,,,-10.00M,,734.00M,193.00M,541.00M,,,,541.00M,545.42M,994.00M,190.00M,804.00M,,0.66,0.00,,0.6654,0.66,,0.66,0.00,,0.6654,0.66,,819.70M,819.70M,0.2269,,,
2006-06,7.898B,7.898B,6.027B,1.871B,1.086B,-2.00M,,,,,1.086B,785.00M,,,,-1.00M,,708.00M,187.00M,521.00M,,,,521.00M,522.47M,1.003B,218.00M,785.00M,,0.63,0.00,,0.6318,0.63,,0.63,0.00,,0.6318,0.63,,826.98M,826.98M,0.2269,,,
2006-03,7.241B,7.241B,5.60B,1.641B,1.002B,8.00M,,,,,1.002B,639.00M,,,,6.00M,,575.00M,144.00M,431.00M,5.00M,,,436.00M,425.00M,827.00M,188.00M,639.00M,,0.51,0.01,,0.5028,0.52,,0.51,0.01,,0.5028,0.52,,838.46M,838.46M,0.2269,,,
2005-12,7.275B,7.276B,5.637B,1.639B,936.00M,-25.00M,,,,,936.00M,703.00M,,,,27.00M,,717.00M,212.00M,505.00M,30.00M,,,514.00M,522.61M,866.00M,163.00M,703.00M,,0.61,0.03,,0.6310,0.61,,0.60,0.03,,0.6205,0.60,,840.27M,857.95M,0.2063,,,
2005-09,6.90B,6.90B,5.302B,1.598B,982.00M,21.00M,,,,,982.00M,616.00M,,,,43.00M,,576.00M,149.00M,427.00M,37.00M,,,464.00M,411.43M,780.00M,164.00M,616.00M,,0.50,0.04,,0.4819,0.54,,0.50,0.04,,0.4819,0.54,,859.26M,859.26M,0.2063,,,
2005-06,7.028B,7.028B,5.503B,1.525B,935.00M,-15.00M,,,,,935.00M,590.00M,,,,14.00M,,518.00M,244.00M,274.00M,28.00M,,,302.00M,283.00M,749.00M,159.00M,590.00M,,0.33,0.03,,0.3407,0.36,,0.33,0.03,,0.3407,0.36,,838.89M,838.89M,0.2063,,,
2005-03,6.449B,6.449B,5.082B,1.367B,854.00M,32.00M,,,,,854.00M,513.00M,,,,63.00M,,486.00M,127.00M,358.00M,,,,358.00M,334.36M,680.00M,167.00M,513.00M,,0.42,0.00,,0.3923,0.42,,0.42,0.00,,0.3923,0.42,,852.38M,852.38M,0.2063,,,
2004-12,6.632B,6.632B,5.507B,1.125B,865.00M,-101.00M,,,,,865.00M,260.00M,,,,-67.00M,,209.00M,-9.00M,218.00M,,,,218.00M,278.60M,380.00M,120.00M,260.00M,,0.26,,,0.3317,0.26,,0.26,0.00,,0.3317,0.26,,845.64M,845.64M,0.1875,,,
2004-09,6.395B,6.395B,5.087B,1.308B,820.00M,55.00M,,,,,820.00M,488.00M,,,,79.00M,,486.00M,114.00M,372.00M,,,,372.00M,329.90M,694.00M,206.00M,488.00M,,0.43,0.00,,0.3813,0.43,,0.43,0.00,,0.3813,0.43,,865.12M,865.12M,0.1875,,,
2004-06,6.388B,6.388B,5.228B,1.16B,823.00M,251.00M,,,,,823.00M,337.00M,,,,268.00M,,523.00M,162.00M,361.00M,,,,361.00M,187.75M,479.00M,142.00M,337.00M,,0.42,0.00,,0.2184,0.42,,0.42,0.00,,0.2184,0.42,,859.52M,859.52M,0.1875,,,
2004-03,6.178B,6.178B,4.93B,1.248B,808.00M,42.00M,,,,,808.00M,440.00M,,,,49.00M,,405.00M,110.00M,295.00M,,,,295.00M,264.41M,586.00M,146.00M,440.00M,,0.34,0.00,,0.3047,0.34,,0.34,0.00,,0.3047,0.34,,867.65M,867.65M,0.1875,,,
2003-12,6.187B,6.187B,4.972B,1.215B,756.00M,-37.00M,,,,,756.00M,459.00M,,,,-10.00M,,367.00M,-40.00M,407.00M,,0.00,,407.00M,429.20M,683.00M,224.00M,459.00M,,0.43,0.02,0.00,0.4543,0.45,,0.43,0.02,0.0004,0.4543,0.45,,913.18M,913.18M,0.1875,,,
2003-09,5.768B,5.768B,4.509B,1.259B,729.00M,-2.00M,,,,,729.00M,530.00M,,,,5.00M,,453.00M,109.00M,344.00M,,,,344.00M,345.52M,677.00M,147.00M,530.00M,,0.40,0.00,,0.4018,0.40,,0.40,0.00,,0.4018,0.40,,860.00M,860.00M,0.1875,,,
2003-06,5.749B,5.749B,4.514B,1.235B,762.00M,55.00M,,,,,762.00M,473.00M,,,,61.00M,,447.00M,128.00M,319.00M,,,,319.00M,279.75M,621.00M,148.00M,473.00M,,0.37,0.00,,0.3245,0.37,,0.37,0.00,,0.3245,0.37,,862.16M,862.16M,0.1875,,,
