,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,MinimumPensionLiabilities,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-06,8.082B,1.768B,9.85B,8.60B,,8.60B,1.238B,801.00M,2.79B,,4.792B,,1.537B,24.78B,,,,,,,,5.968B,18.14B,4.261B,22.40B,897.00M,409.00M,355.00M,5.054B,35.08B,59.86B,,6.808B,,6.808B,6.63B,13.44B,,,,4.58B,,4.58B,,,,18.02B,,12.50B,,12.50B,2.751B,,2.751B,497.00M,173.00M,5.00M,8.312B,24.07B,42.09B,,958.00M,30.10B,6.317B,17.56B,,,,-2.222B,17.60B,,AOR,Restated
2018-03,7.897B,2.383B,10.28B,8.778B,,8.778B,1.216B,827.00M,2.761B,,4.766B,,1.763B,25.59B,,,,,,,,6.083B,18.52B,4.462B,22.98B,737.00M,404.00M,402.00M,4.753B,35.36B,60.95B,,6.641B,,6.641B,6.565B,13.21B,,,,5.549B,,5.549B,,,,18.76B,,12.74B,,12.74B,2.782B,,2.782B,495.00M,179.00M,5.00M,8.399B,24.42B,43.17B,,958.00M,29.40B,6.25B,16.83B,,,,-2.174B,17.60B,,AOR,Restated
2017-12,7.059B,3.758B,10.82B,8.866B,,8.866B,1.193B,790.00M,2.669B,,4.613B,,1.706B,26.00B,0.00,287.00M,3.463B,10.76B,675.00M,15.19B,-9.261B,5.926B,18.28B,4.496B,22.77B,667.00M,479.00M,251.00M,3.372B,33.47B,59.47B,,6.584B,411.00M,6.995B,2.056B,9.051B,533.00M,,,5.309B,,5.309B,2.198B,2.198B,350.00M,18.86B,552.00M,12.57B,,12.57B,2.664B,76.00M,2.74B,2.498B,163.00M,5.00M,2.678B,23.94B,42.80B,,958.00M,27.48B,6.212B,15.91B,,,,-2.235B,16.50B,,AOR,Restated
2017-09,7.389B,2.781B,10.17B,8.587B,,8.587B,1.186B,853.00M,2.75B,,4.751B,,1.136B,24.64B,,,,,,,,5.757B,18.27B,4.587B,22.86B,643.00M,411.00M,264.00M,2.194B,32.12B,56.77B,,6.061B,,6.061B,6.834B,12.90B,,,,5.33B,,5.33B,,,,18.22B,,11.45B,,11.45B,300.00M,,300.00M,530.00M,154.00M,3.00M,5.029B,17.32B,35.54B,,958.00M,31.25B,6.115B,14.41B,,,,-2.84B,21.07B,,AOR,Restated
2017-06,7.877B,1.944B,9.821B,8.442B,,8.442B,1.187B,795.00M,2.707B,,4.651B,,1.15B,24.06B,,,,,,,,5.718B,18.04B,4.566B,22.60B,570.00M,401.00M,357.00M,1.954B,31.60B,55.67B,,5.971B,,5.971B,6.829B,12.80B,,,,5.181B,,5.181B,,,,17.98B,,11.33B,,11.33B,329.00M,,329.00M,537.00M,125.00M,3.00M,4.939B,17.14B,35.12B,,958.00M,30.41B,6.033B,14.14B,,,,-2.837B,20.42B,,AOR,Restated
2017-03,7.71B,1.885B,9.595B,8.155B,,8.155B,1.193B,787.00M,2.71B,,4.652B,,1.178B,23.58B,,,,,,,,5.816B,17.83B,4.592B,22.42B,533.00M,407.00M,337.00M,1.687B,31.20B,54.78B,,5.805B,,5.805B,6.79B,12.60B,,,,4.686B,,4.686B,,,,17.28B,,11.18B,,11.18B,414.00M,,414.00M,546.00M,152.00M,3.00M,4.879B,17.02B,34.30B,,958.00M,29.53B,5.927B,13.53B,,,,-2.562B,20.32B,,AOR,Restated
2016-12,7.843B,1.52B,9.363B,8.177B,,8.177B,1.104B,775.00M,2.552B,,4.366B,,1.152B,23.06B,0.00,363.00M,3.248B,9.956B,940.00M,14.51B,-8.714B,5.793B,17.71B,4.634B,22.34B,587.00M,417.00M,347.00M,1.603B,31.09B,54.15B,,5.69B,720.00M,6.41B,1.539B,7.949B,603.00M,,,3.593B,,3.593B,2.151B,2.151B,546.00M,16.33B,458.00M,12.18B,,12.18B,486.00M,81.00M,567.00M,2.557B,178.00M,3.00M,1.46B,18.27B,34.60B,,958.00M,28.71B,5.781B,13.37B,,,,-2.714B,19.37B,,AOR,Restated
2016-09,6.431B,,6.431B,8.333B,583.00M,8.627B,1.16B,799.00M,2.693B,,4.587B,,2.189B,21.83B,0.00,380.00M,3.391B,9.872B,965.00M,14.61B,-8.883B,5.725B,17.85B,4.847B,22.69B,639.00M,433.00M,335.00M,1.897B,31.72B,53.56B,,5.418B,,5.418B,6.545B,11.96B,,,,6.25B,,6.25B,,,,18.21B,,9.608B,,9.608B,701.00M,,701.00M,477.00M,180.00M,3.00M,5.183B,15.97B,34.18B,,958.00M,28.19B,5.707B,13.18B,,,,-2.482B,19.19B,,AOR,Restated
2016-06,5.045B,,5.045B,8.338B,667.00M,8.73B,1.179B,854.00M,2.736B,,4.678B,,1.927B,20.38B,,,,,,,,6.086B,16.69B,4.557B,21.24B,561.00M,428.00M,328.00M,2.153B,30.80B,51.18B,,5.598B,,5.598B,5.907B,11.50B,,,,4.406B,,4.406B,,,,15.91B,,9.607B,,9.607B,767.00M,,767.00M,489.00M,171.00M,3.00M,5.462B,16.33B,32.24B,,958.00M,27.70B,5.681B,13.07B,,,,-2.499B,18.77B,,AOR,Restated
2016-03,4.473B,,4.473B,8.238B,450.00M,8.397B,1.195B,871.00M,2.768B,,4.743B,,1.919B,19.53B,,,,,,,,6.027B,16.71B,4.706B,21.41B,592.00M,431.00M,318.00M,2.051B,30.83B,50.36B,,5.511B,,5.511B,5.891B,11.40B,,,,4.257B,,4.257B,,,,15.66B,,9.70B,,9.70B,626.00M,,626.00M,506.00M,175.00M,3.00M,5.499B,16.33B,31.99B,,958.00M,26.87B,5.539B,12.72B,,,,-2.455B,18.20B,,AOR,Restated
2015-12,5.455B,,5.455B,7.901B,436.00M,8.075B,1.12B,826.00M,2.59B,,4.42B,,2.103B,20.05B,0.00,367.00M,3.188B,10.50B,848.00M,14.91B,-9.119B,5.789B,15.90B,4.577B,20.47B,517.00M,426.00M,283.00M,1.776B,29.26B,49.32B,,5.58B,467.00M,6.047B,1.587B,7.634B,608.00M,,,6.514B,,6.514B,1.863B,1.863B,292.00M,18.37B,330.00M,5.554B,,5.554B,558.00M,99.00M,657.00M,2.987B,135.00M,290.00M,1.70B,12.53B,30.90B,,958.00M,26.15B,5.377B,11.66B,,,,-2.535B,18.28B,,AOR,Restated
2015-09,6.563B,,6.563B,7.765B,426.00M,7.936B,1.068B,843.00M,2.646B,,4.441B,739.00M,3.80B,23.48B,,,,,,,,5.451B,12.68B,2.071B,14.76B,471.00M,414.00M,329.00M,1.726B,23.15B,46.62B,,5.363B,,5.363B,6.036B,11.40B,,3.696B,1.272B,4.968B,,4.968B,,,,16.37B,,5.599B,,5.599B,499.00M,,499.00M,892.00M,136.00M,271.00M,5.101B,12.36B,28.73B,,958.00M,25.43B,5.292B,11.55B,,,,-2.373B,17.76B,,AOR,Restated
2015-06,5.954B,,5.954B,8.016B,482.00M,8.237B,1.044B,818.00M,2.701B,,4.447B,659.00M,3.883B,23.18B,,,,,,,,5.381B,12.76B,2.141B,14.90B,491.00M,433.00M,365.00M,1.658B,23.23B,46.41B,,5.352B,,5.352B,6.065B,11.42B,,2.795B,1.362B,4.157B,,4.157B,,,,15.57B,,5.562B,,5.562B,300.00M,,300.00M,921.00M,140.00M,259.00M,5.199B,12.24B,27.82B,,958.00M,24.58B,5.234B,10.35B,,,,-1.969B,18.46B,,AOR,Restated
2015-03,6.575B,,6.575B,7.868B,557.00M,8.158B,1.088B,828.00M,2.708B,,4.507B,656.00M,2.376B,22.27B,,,,,,,,5.30B,12.68B,2.19B,14.88B,464.00M,445.00M,329.00M,1.672B,23.08B,45.36B,,5.263B,,5.263B,6.123B,11.39B,,2.695B,1.351B,4.046B,,4.046B,,,,15.43B,,5.661B,,5.661B,210.00M,,210.00M,911.00M,135.00M,242.00M,5.224B,12.25B,27.68B,,958.00M,23.81B,5.153B,10.28B,,,,-2.099B,17.54B,,AOR,Restated
2014-12,6.959B,,6.959B,7.788B,445.00M,7.96B,1.124B,815.00M,2.634B,,4.405B,722.00M,2.145B,22.19B,0.00,343.00M,3.119B,10.31B,727.00M,14.50B,-9.119B,5.383B,12.79B,2.208B,15.00B,465.00M,454.00M,404.00M,1.558B,23.26B,45.45B,,5.365B,504.00M,5.869B,1.735B,7.604B,610.00M,,,2.637B,,2.637B,2.094B,2.094B,352.00M,14.77B,380.00M,6.046B,,6.046B,236.00M,93.00M,329.00M,3.408B,127.00M,219.00M,1.748B,12.89B,27.67B,,958.00M,23.12B,5.038B,9.995B,,,,-1.459B,17.66B,,AOR,Restated
2014-09,6.428B,,6.428B,8.021B,553.00M,8.315B,1.115B,844.00M,2.693B,,4.485B,794.00M,2.336B,22.36B,,,,,,,,5.189B,12.92B,2.288B,15.21B,447.00M,466.00M,195.00M,2.315B,23.82B,46.18B,,5.212B,,5.212B,6.606B,11.82B,,1.849B,280.00M,2.129B,,2.129B,,,,13.95B,,6.76B,,6.76B,891.00M,,891.00M,955.00M,126.00M,204.00M,4.361B,13.17B,27.12B,,958.00M,22.58B,4.937B,9.815B,,,,281.00M,18.94B,,AOR,Restated
2014-06,6.582B,,6.582B,7.949B,653.00M,8.35B,1.156B,861.00M,2.661B,,4.511B,803.00M,2.207B,22.45B,,,,,,,,5.316B,13.05B,2.378B,15.43B,488.00M,432.00M,176.00M,2.304B,24.14B,46.60B,,5.276B,,5.276B,6.643B,11.92B,,2.249B,156.00M,2.405B,,2.405B,,,,14.32B,,6.839B,,6.839B,795.00M,,795.00M,978.00M,121.00M,189.00M,4.654B,13.46B,27.78B,,958.00M,21.77B,4.868B,9.74B,,,,837.00M,18.70B,,AOR,Restated
2014-03,6.672B,,6.672B,7.732B,598.00M,8.081B,1.173B,853.00M,2.547B,,4.407B,840.00M,1.531B,21.53B,,,,,,,,5.284B,13.03B,2.445B,15.47B,465.00M,584.00M,217.00M,2.223B,24.25B,45.78B,,5.133B,,5.133B,6.668B,11.80B,,2.399B,153.00M,2.552B,,2.552B,,,,14.35B,,6.804B,,6.804B,757.00M,,757.00M,998.00M,116.00M,176.00M,4.646B,13.38B,27.73B,,958.00M,21.04B,4.772B,9.59B,,,,748.00M,17.93B,,AOR,Restated
2013-12,6.422B,,6.422B,7.53B,646.00M,7.929B,1.121B,841.00M,2.497B,,4.293B,849.00M,1.671B,21.16B,0.00,376.00M,3.157B,10.44B,647.00M,14.62B,-9.339B,5.278B,13.05B,2.514B,15.56B,393.00M,595.00M,368.00M,2.077B,24.27B,45.44B,,5.174B,489.00M,5.663B,1.724B,7.387B,627.00M,1.299B,729.00M,2.028B,,2.028B,2.172B,2.172B,461.00M,14.18B,407.00M,6.801B,,6.801B,804.00M,44.00M,848.00M,2.775B,112.00M,167.00M,1.725B,13.68B,27.86B,,958.00M,20.38B,4.682B,9.374B,,,,818.00M,17.47B,,AOR,Restated
2013-09,5.499B,,5.499B,7.647B,547.00M,7.95B,1.117B,895.00M,2.608B,,4.455B,707.00M,693.00M,19.30B,,,,,,,,5.107B,13.23B,2.59B,15.82B,830.00M,653.00M,1.457B,1.235B,25.10B,44.41B,,4.791B,,4.791B,7.053B,11.84B,,2.099B,720.00M,2.819B,,2.819B,,,,14.66B,,5.789B,,5.789B,719.00M,,719.00M,995.00M,114.00M,161.00M,7.006B,14.67B,29.33B,,958.00M,19.80B,4.582B,9.166B,,,,-1.211B,14.96B,,AOR,Restated
2013-06,4.549B,,4.549B,7.342B,551.00M,7.655B,1.109B,844.00M,2.507B,,4.295B,670.00M,680.00M,17.85B,,,,,,,,4.997B,12.64B,2.393B,15.03B,756.00M,658.00M,1.701B,1.172B,24.32B,42.17B,,4.718B,,4.718B,6.839B,11.56B,,1.20B,723.00M,1.923B,,1.923B,,,,13.48B,,5.779B,,5.779B,643.00M,,643.00M,1.317B,81.00M,154.00M,6.935B,14.83B,28.31B,,958.00M,19.14B,4.513B,9.062B,,,,-1.767B,13.78B,,AOR,Restated
2013-03,4.539B,,4.539B,7.217B,609.00M,7.585B,1.102B,866.00M,2.494B,,4.297B,672.00M,588.00M,17.68B,,,,,,,,4.948B,12.39B,2.384B,14.77B,738.00M,654.00M,1.842B,1.167B,24.12B,41.80B,,4.444B,,4.444B,6.755B,11.20B,,1.20B,712.00M,1.912B,,1.912B,,,,13.11B,,5.787B,,5.787B,683.00M,,683.00M,1.338B,91.00M,152.00M,7.196B,15.16B,28.27B,,958.00M,18.44B,4.446B,8.748B,,,,-1.656B,13.44B,,AOR,Restated
2012-12,4.634B,,4.634B,6.94B,737.00M,7.429B,1.152B,859.00M,2.421B,,4.235B,669.00M,631.00M,17.60B,0.00,367.00M,3.045B,10.02B,592.00M,14.03B,-9.026B,5.001B,12.42B,2.449B,14.87B,424.00M,862.00M,1.889B,1.205B,24.26B,41.85B,,4.736B,780.00M,5.516B,1.695B,7.211B,679.00M,400.00M,701.00M,1.101B,,1.101B,2.127B,2.127B,480.00M,13.04B,421.00M,6.395B,,6.395B,628.00M,47.00M,675.00M,5.805B,90.00M,150.00M,1.747B,15.74B,28.79B,,958.00M,17.80B,4.358B,8.801B,,,,-1.339B,12.98B,,AOR,Restated
2012-09,4.76B,,4.76B,6.734B,654.00M,7.388B,1.199B,936.00M,2.376B,,4.314B,573.00M,711.00M,17.75B,,,,,,,,4.83B,11.92B,2.281B,14.20B,600.00M,,1.766B,1.935B,23.33B,41.07B,,4.518B,,4.518B,6.597B,11.12B,,899.00M,699.00M,1.598B,,1.598B,,,,12.71B,,6.391B,,6.391B,679.00M,,679.00M,1.346B,87.00M,,6.726B,15.14B,27.86B,,958.00M,17.88B,4.242B,8.651B,,,,-1.294B,13.13B,,AOR,Restated
2012-06,4.221B,,4.221B,7.475B,,7.475B,1.222B,887.00M,2.432B,,4.117B,269.00M,562.00M,16.64B,,,,,,,,4.735B,11.84B,2.325B,14.16B,566.00M,,2.164B,1.903B,23.53B,40.17B,,4.547B,,4.547B,6.632B,11.18B,,948.00M,685.00M,1.633B,,1.633B,,,,12.81B,,6.342B,,6.342B,681.00M,,681.00M,1.365B,90.00M,,6.891B,15.28B,28.09B,,958.00M,17.22B,4.201B,8.751B,,,,-1.637B,11.99B,,AOR,Restated
2012-03,3.988B,,3.988B,6.723B,545.00M,7.268B,1.215B,990.00M,2.362B,,4.368B,428.00M,501.00M,16.55B,,,,,,,,4.814B,11.91B,2.42B,14.33B,533.00M,,2.061B,2.079B,23.82B,40.37B,,4.535B,,4.535B,6.499B,11.03B,,948.00M,684.00M,1.632B,,1.632B,,,,12.67B,,6.269B,,6.269B,707.00M,,707.00M,1.40B,99.00M,,7.486B,15.86B,28.53B,,958.00M,16.61B,4.156B,8.802B,,,,-1.182B,11.74B,,AOR,Restated
2011-12,3.698B,,3.698B,6.926B,555.00M,7.228B,1.222B,958.00M,2.253B,,4.264B,460.00M,484.00M,16.13B,0.00,376.00M,2.897B,9.937B,513.00M,13.72B,-8.919B,4.804B,11.86B,2.477B,14.34B,362.00M,841.00M,2.132B,1.20B,23.67B,39.81B,,4.738B,551.00M,5.289B,1.936B,7.225B,670.00M,599.00M,75.00M,674.00M,,674.00M,1.914B,1.914B,237.00M,12.28B,494.00M,6.881B,,6.881B,676.00M,77.00M,753.00M,5.725B,96.00M,0.00,1.922B,16.63B,28.91B,,958.00M,16.08B,4.157B,8.948B,,,,-1.444B,10.81B,,AOR,Restated
2011-09,3.885B,,3.885B,7.316B,,7.316B,1.311B,918.00M,2.306B,,4.369B,867.00M,607.00M,17.04B,,,,,,,,4.725B,11.64B,2.376B,14.02B,465.00M,,1.056B,2.134B,22.40B,39.44B,,4.57B,,4.57B,7.014B,11.58B,,700.00M,575.00M,1.275B,,1.275B,,,,12.86B,,6.88B,,6.88B,505.00M,,505.00M,1.386B,105.00M,,6.048B,14.82B,27.68B,,958.00M,16.69B,4.113B,8.973B,,,,-1.122B,11.66B,,AOR,Restated
2011-06,3.548B,,3.548B,,,7.344B,1.225B,861.00M,2.276B,,4.197B,926.00M,545.00M,17.39B,,,,,,,,4.718B,11.49B,2.347B,13.84B,516.00M,,1.115B,2.076B,22.26B,39.65B,,4.442B,,4.442B,6.555B,11.00B,,350.00M,582.00M,932.00M,,932.00M,,,182.00M,12.11B,,6.79B,,6.79B,661.00M,,661.00M,1.411B,112.00M,,6.493B,15.36B,27.47B,,958.00M,16.08B,4.089B,8.524B,,,,-536.00M,12.07B,,AOR,Restated
2011-03,3.076B,,3.076B,,,7.201B,1.303B,858.00M,2.298B,,4.29B,882.00M,582.00M,16.03B,,,,,,,,4.832B,11.80B,2.456B,14.26B,476.00M,,1.232B,2.07B,22.87B,38.90B,,4.308B,,4.308B,6.587B,10.90B,,300.00M,575.00M,875.00M,,875.00M,,,,11.77B,,6.763B,,6.763B,671.00M,,671.00M,1.461B,120.00M,,6.427B,15.32B,27.09B,,958.00M,15.54B,4.036B,8.155B,,,,-687.00M,11.69B,,AOR,Restated
2010-12,2.65B,,2.65B,,,7.068B,1.158B,810.00M,2.144B,,3.958B,877.00M,458.00M,15.01B,0.00,525.00M,2.669B,10.20B,403.00M,13.80B,-8.961B,4.84B,11.60B,2.574B,14.17B,616.00M,,1.218B,1.978B,22.82B,37.83B,,4.344B,,4.344B,6.484B,10.83B,,299.00M,590.00M,889.00M,,889.00M,,,,11.72B,,5.755B,,5.755B,636.00M,,636.00M,1.477B,121.00M,,7.462B,15.33B,27.05B,,958.00M,15.10B,3.977B,8.299B,,,,-1.067B,10.67B,,AOR,Restated
2010-09,2.64B,593.00M,3.233B,,,6.916B,1.148B,852.00M,2.184B,,4.027B,987.00M,,15.16B,,,,,,,,4.738B,11.53B,2.711B,14.24B,601.00M,,1.411B,1.966B,22.96B,38.12B,,4.059B,,4.059B,6.502B,10.56B,,897.00M,88.00M,985.00M,,985.00M,,,,11.55B,,6.265B,,6.265B,745.00M,,745.00M,1.494B,136.00M,,7.603B,16.11B,27.65B,,958.00M,18.13B,3.929B,8.405B,,,,-4.282B,10.33B,,AOR,Restated
2010-06,2.451B,1.46B,3.911B,,,6.495B,1.037B,807.00M,1.909B,,3.596B,922.00M,,14.92B,,,,,,,,4.535B,10.32B,2.057B,12.37B,544.00M,,1.776B,1.94B,21.17B,36.09B,,3.751B,,3.751B,5.708B,9.459B,,1.148B,80.00M,1.228B,,1.228B,,,,10.69B,,6.254B,,6.254B,576.00M,,576.00M,1.551B,120.00M,,7.895B,16.28B,26.96B,,958.00M,17.87B,3.913B,8.699B,,,,-5.031B,9.008B,,AOR,Restated
2010-03,2.851B,706.00M,3.557B,,,6.184B,1.03B,820.00M,1.874B,1.00M,3.568B,1.024B,,14.33B,,,,,,,,4.697B,10.36B,2.114B,12.48B,586.00M,,1.973B,1.961B,21.69B,36.03B,,3.553B,,3.553B,6.233B,9.786B,,1.248B,67.00M,1.315B,,1.315B,,,,11.10B,,6.246B,,6.246B,570.00M,,570.00M,1.547B,117.00M,,7.458B,15.82B,26.92B,,958.00M,17.64B,3.859B,8.922B,,,,-4.543B,8.987B,,AOR,Restated
