,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2013-12,947.00M,20.00M,,,-175.00M,,,249.00M,249.00M,5.00M,41.00M,-31.00M,268.00M,17.00M,135.00M,605.00M,-393.00M,,,364.00M,1.668B,,-400.00M,8.00M,-392.00M,-67.00M,-43.00M,97.00M,-405.00M,,1.033B,-787.00M,246.00M,85.00M,-304.00M,-219.00M,-358.00M,-358.00M,31.00M,-300.00M,,5.499B,963.00M,-40.00M,6.422B,,85.00M,1.036B,-3.00M,-304.00M,,AOR,Restated
2013-09,990.00M,0.00,,,0.00,,,245.00M,245.00M,72.00M,38.00M,-20.00M,12.00M,-187.00M,-58.00M,10.00M,-32.00M,,,-267.00M,1.07B,,-203.00M,1.00M,-202.00M,-603.00M,29.00M,85.00M,-691.00M,,11.00M,896.00M,907.00M,59.00M,-167.00M,-108.00M,-330.00M,-330.00M,48.00M,517.00M,,4.549B,896.00M,54.00M,5.499B,,59.00M,14.00M,-3.00M,-167.00M,,AOR,Restated
2013-06,1.021B,0.00,,,0.00,,,247.00M,247.00M,158.00M,37.00M,-57.00M,-216.00M,-53.00M,15.00M,118.00M,-14.00M,,,66.00M,1.256B,,-196.00M,6.00M,-190.00M,-338.00M,-76.00M,52.00M,-552.00M,,5.00M,13.00M,18.00M,139.00M,-463.00M,-324.00M,-343.00M,-343.00M,57.00M,-592.00M,,4.539B,112.00M,-102.00M,4.549B,,139.00M,6.00M,-1.00M,-463.00M,,AOR,Restated
2013-03,966.00M,,,,,,,248.00M,248.00M,27.00M,54.00M,-24.00M,-173.00M,-142.00M,-51.00M,-582.00M,18.00M,,,-757.00M,341.00M,,-148.00M,0.00,-148.00M,-122.00M,-8.00M,-33.00M,-311.00M,,-593.00M,808.00M,215.00M,164.00M,-139.00M,25.00M,-322.00M,-322.00M,24.00M,-58.00M,,4.634B,-28.00M,-67.00M,4.539B,,164.00M,7.00M,-600.00M,-139.00M,,AOR,Restated
2012-12,251.00M,-2.00M,,,-2.00M,,,245.00M,245.00M,-235.00M,39.00M,-28.00M,694.00M,41.00M,78.00M,267.00M,-1.00M,,,385.00M,1.349B,,-298.00M,3.00M,-295.00M,-373.00M,52.00M,53.00M,-563.00M,,15.00M,-496.00M,-481.00M,163.00M,-317.00M,-154.00M,-331.00M,-331.00M,28.00M,-938.00M,,4.76B,-152.00M,26.00M,4.634B,,163.00M,16.00M,-1.00M,-317.00M,,AOR,Restated
2012-09,950.00M,-4.00M,,,-4.00M,,,226.00M,226.00M,130.00M,40.00M,-12.00M,-147.00M,-140.00M,25.00M,-7.00M,-62.00M,,,-184.00M,999.00M,,-234.00M,1.00M,-233.00M,2.00M,-108.00M,17.00M,-322.00M,,44.00M,-41.00M,3.00M,63.00M,0.00,63.00M,-298.00M,-298.00M,12.00M,-220.00M,,4.221B,457.00M,82.00M,4.76B,,63.00M,44.00M,0.00,0.00,,AOR,Restated
2012-06,902.00M,1.00M,,,1.00M,,,225.00M,225.00M,57.00M,40.00M,-4.00M,-375.00M,20.00M,30.00M,64.00M,13.00M,,,127.00M,973.00M,,-200.00M,0.00,-200.00M,-45.00M,-95.00M,-81.00M,-421.00M,,40.00M,4.00M,44.00M,26.00M,0.00,26.00M,-291.00M,-291.00M,4.00M,-217.00M,,3.988B,335.00M,-102.00M,4.221B,,26.00M,40.00M,0.00,0.00,,AOR,Restated
2012-03,823.00M,,,,,,,230.00M,230.00M,132.00M,51.00M,-12.00M,-242.00M,-40.00M,-108.00M,-610.00M,-28.00M,,,-786.00M,196.00M,,-152.00M,1.00M,-151.00M,-1.00M,8.00M,22.00M,-122.00M,,2.00M,356.00M,358.00M,90.00M,0.00,90.00M,-291.00M,-291.00M,12.00M,169.00M,,3.698B,243.00M,47.00M,3.988B,,90.00M,2.00M,0.00,0.00,,AOR,Restated
2011-12,-310.00M,-9.00M,,1.592B,1.583B,,,253.00M,253.00M,-528.00M,39.00M,-11.00M,146.00M,117.00M,130.00M,-20.00M,78.00M,,,305.00M,1.477B,,-332.00M,3.00M,-329.00M,-360.00M,8.00M,-43.00M,-724.00M,,-532.00M,-99.00M,-631.00M,72.00M,-76.00M,-4.00M,-295.00M,-295.00M,11.00M,-919.00M,,3.885B,-166.00M,-21.00M,3.698B,,72.00M,-400.00M,-529.00M,-76.00M,,AOR,Restated
2011-09,862.00M,-307.00M,,-542.00M,-849.00M,,,226.00M,226.00M,39.00M,38.00M,-1.00M,198.00M,104.00M,-51.00M,125.00M,-30.00M,,,148.00M,661.00M,,-177.00M,0.00,-177.00M,336.00M,19.00M,9.00M,187.00M,,5.00M,348.00M,353.00M,32.00M,-505.00M,-473.00M,-796.00M,-266.00M,1.00M,-385.00M,,3.548B,463.00M,-126.00M,3.885B,,32.00M,406.00M,-4.00M,-505.00M,,AOR,Restated
