,NetIncome,Gain/LossonSaleBusiness,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2011-12,361.00M,,125.00M,125.00M,,,137.00M,137.00M,,,-10.00M,,,116.00M,,559.00M,-184.00M,,,-12.00M,-169.00M,-26.00M,-391.00M,-35.00M,38.00M,3.00M,,343.00M,0.00,,-114.00M,5.00M,54.00M,-52.00M,278.00M,116.00M,-9.00M,385.00M,,29.00M,-26.00M,343.00M
2011-09,367.00M,,611.00M,611.00M,,,139.00M,139.00M,,,-657.00M,,,182.00M,,642.00M,-163.00M,,,-86.00M,21.00M,-6.00M,-234.00M,48.00M,-56.00M,-8.00M,,-275.00M,-275.00M,,-116.00M,4.00M,1.00M,-394.00M,282.00M,14.00M,-18.00M,278.00M,,45.00M,-35.00M,-275.00M
2011-06,338.00M,,-143.00M,-143.00M,,,141.00M,141.00M,,,69.00M,,,-54.00M,,351.00M,-133.00M,,88.00M,-212.00M,-97.00M,1.00M,-441.00M,302.00M,-1.00M,301.00M,,-18.00M,-18.00M,,-116.00M,9.00M,-5.00M,171.00M,201.00M,81.00M,0.00,282.00M,,302.00M,-19.00M,-18.00M
2011-03,286.00M,,-298.00M,-298.00M,,,139.00M,139.00M,,,-13.00M,,,-418.00M,,-304.00M,-88.00M,,-88.00M,,348.00M,6.00M,266.00M,-12.00M,19.00M,7.00M,,-50.00M,-50.00M,,-116.00M,53.00M,,-106.00M,333.00M,-144.00M,12.00M,201.00M,,5.00M,2.00M,-50.00M
2010-12,283.00M,,618.00M,618.00M,,,138.00M,138.00M,,,-546.00M,,,36.00M,,555.00M,-187.00M,,207.00M,-50.00M,-345.00M,2.00M,-580.00M,-43.00M,19.00M,-24.00M,,,0.00,,-98.00M,97.00M,-10.00M,-35.00M,395.00M,-60.00M,-2.00M,333.00M,,0.00,-24.00M,
2010-09,269.00M,,-51.00M,-51.00M,,,136.00M,136.00M,,,15.00M,,,51.00M,,420.00M,-106.00M,,-106.00M,-172.00M,74.00M,-12.00M,-216.00M,-32.00M,29.00M,-3.00M,,0.00,0.00,,-97.00M,24.00M,0.00,-76.00M,249.00M,128.00M,18.00M,395.00M,,0.00,-51.00M,0.00
2010-06,229.00M,,-62.00M,-62.00M,,,136.00M,136.00M,,,115.00M,,,51.00M,,469.00M,-63.00M,,-63.00M,0.00,-217.00M,-2.00M,-282.00M,4.00M,-1.00M,3.00M,,0.00,0.00,,-84.00M,13.00M,0.00,-68.00M,151.00M,119.00M,-21.00M,249.00M,,30.00M,-26.00M,0.00
2010-03,156.00M,,-326.00M,-326.00M,,,141.00M,141.00M,,,39.00M,,,-172.00M,,-162.00M,-38.00M,,-38.00M,,96.00M,8.00M,66.00M,24.00M,-47.00M,-23.00M,,0.00,0.00,,-84.00M,23.00M,2.00M,-82.00M,340.00M,-178.00M,-11.00M,151.00M,,25.00M,-1.00M,0.00
2009-12,212.00M,,-224.00M,-224.00M,,,144.00M,144.00M,-27.00M,,294.00M,,,106.00M,,505.00M,-59.00M,,-59.00M,0.00,28.00M,40.00M,9.00M,,1.00M,-328.00M,,,,,-84.00M,27.00M,25.00M,-360.00M,192.00M,154.00M,-6.00M,340.00M,,558.00M,-1.311B,
2009-09,194.00M,,174.00M,174.00M,,,148.00M,148.00M,-164.00M,,-194.00M,,,302.00M,,460.00M,-40.00M,,-40.00M,-10.00M,-25.00M,6.00M,-69.00M,,-243.00M,-243.00M,,,,,-83.00M,-9.00M,-23.00M,-358.00M,148.00M,33.00M,11.00M,192.00M,,-557.00M,739.00M,
2009-06,31.00M,,49.00M,49.00M,,,142.00M,142.00M,,,-85.00M,,,211.00M,,348.00M,-48.00M,,-48.00M,,-120.00M,15.00M,-153.00M,,-119.00M,-119.00M,,,,,-84.00M,9.00M,-11.00M,-205.00M,145.00M,-10.00M,13.00M,148.00M,,2.00M,-121.00M,
2009-03,-52.00M,,,,,,139.00M,139.00M,,,-32.00M,,,40.00M,,95.00M,-48.00M,,-48.00M,,53.00M,-17.00M,-12.00M,,-63.00M,-63.00M,,,,,-83.00M,,8.00M,-138.00M,188.00M,-55.00M,12.00M,145.00M,,555.00M,-618.00M,
2008-12,175.00M,,,159.00M,,,136.00M,136.00M,,,239.00M,,158.00M,165.00M,,649.00M,-110.00M,,-110.00M,-93.00M,-81.00M,3.00M,-281.00M,,667.00M,-247.00M,-44.00M,-1.00M,-45.00M,,-82.00M,47.00M,-14.00M,-341.00M,181.00M,27.00M,,188.00M,-44.00M,1.656B,-989.00M,-1.00M
2008-09,308.00M,,,-213.00M,,,155.00M,155.00M,,,188.00M,,-364.00M,-8.00M,,430.00M,-121.00M,,-121.00M,5.00M,153.00M,-59.00M,-22.00M,,-1.189B,-275.00M,44.00M,-99.00M,-55.00M,,-82.00M,-42.00M,8.00M,-446.00M,219.00M,-38.00M,,181.00M,44.00M,-1.92B,731.00M,-99.00M
2008-06,340.00M,,,,,,154.00M,154.00M,,,-42.00M,,,-73.00M,,379.00M,-134.00M,,-134.00M,-2.06B,-109.00M,24.00M,-2.279B,,519.00M,519.00M,1.522B,,1.522B,,-83.00M,18.00M,-14.00M,1.962B,157.00M,62.00M,,219.00M,1.522B,1.25B,-731.00M,
2008-03,247.00M,,,,,,126.00M,126.00M,,,-107.00M,,,-283.00M,,-17.00M,-83.00M,,-83.00M,-634.00M,137.00M,-28.00M,-608.00M,,670.00M,670.00M,,,,,-73.00M,24.00M,19.00M,640.00M,142.00M,15.00M,,157.00M,,670.00M,,
2007-12,256.00M,,,67.00M,,,125.00M,125.00M,,,-60.00M,,245.00M,91.00M,,428.00M,-126.00M,,228.00M,-639.00M,85.00M,-9.00M,-689.00M,,,281.00M,-130.00M,0.00,-130.00M,,-63.00M,,3.00M,232.00M,171.00M,-29.00M,,142.00M,-130.00M,,,0.00
2007-09,258.00M,,,-70.00M,,,117.00M,117.00M,,,36.00M,,154.00M,154.00M,,495.00M,-85.00M,,-85.00M,119.00M,-160.00M,-24.00M,-150.00M,,,-219.00M,19.00M,-31.00M,-12.00M,,-62.00M,,7.00M,-286.00M,112.00M,59.00M,,171.00M,19.00M,,,-31.00M
2007-06,246.00M,,,-81.00M,,,118.00M,118.00M,,,99.00M,,-30.00M,-30.00M,,352.00M,-76.00M,,-76.00M,-61.00M,-61.00M,23.00M,-175.00M,,,-10.00M,26.00M,-131.00M,-105.00M,,-63.00M,,7.00M,-171.00M,106.00M,6.00M,,112.00M,26.00M,,,-131.00M
2007-03,234.00M,,,58.00M,,,109.00M,109.00M,,,-156.00M,,-359.00M,-359.00M,,-114.00M,-67.00M,,-67.00M,-733.00M,383.00M,-29.00M,-446.00M,,,683.00M,85.00M,-178.00M,-93.00M,,-63.00M,,25.00M,552.00M,114.00M,-8.00M,,106.00M,85.00M,,,-178.00M
2006-12,241.00M,,,-14.00M,,,112.00M,112.00M,,,,,67.00M,6.00M,,415.00M,-137.00M,,-137.00M,-8.00M,-85.00M,9.00M,-221.00M,,,75.00M,22.00M,-254.00M,-232.00M,,-58.00M,,6.00M,-209.00M,129.00M,-15.00M,,114.00M,22.00M,,,-254.00M
2006-09,248.00M,,,-125.00M,,,108.00M,108.00M,,,,,217.00M,217.00M,,448.00M,-84.00M,,-84.00M,-39.00M,-212.00M,-9.00M,-344.00M,,,22.00M,4.00M,-69.00M,-65.00M,,-58.00M,,1.00M,-100.00M,125.00M,4.00M,,129.00M,4.00M,,,-69.00M
2006-06,253.00M,,,100.00M,,,108.00M,108.00M,,,,,-20.00M,-20.00M,,441.00M,-77.00M,,-77.00M,-1.00M,-13.00M,-16.00M,-107.00M,,,-231.00M,23.00M,-63.00M,-40.00M,,-52.00M,,6.00M,-317.00M,108.00M,17.00M,,125.00M,23.00M,,,-63.00M
2006-03,208.00M,,,,,,106.00M,106.00M,,,,,-187.00M,-187.00M,,127.00M,-62.00M,,-62.00M,-143.00M,-108.00M,-26.00M,-339.00M,,,188.00M,59.00M,,59.00M,,-52.00M,,15.00M,210.00M,110.00M,-2.00M,,108.00M,59.00M,,,
2005-12,210.00M,,,90.00M,,,109.00M,109.00M,,,-1.00M,,145.00M,36.00M,,424.00M,-131.00M,,-131.00M,-592.00M,16.00M,2.00M,-705.00M,,,329.00M,14.00M,0.00,14.00M,,-46.00M,,,299.00M,92.00M,18.00M,,110.00M,14.00M,,,0.00
2005-09,199.00M,,,-2.00M,,,101.00M,101.00M,,,-50.00M,,48.00M,48.00M,,296.00M,-88.00M,,-88.00M,-239.00M,86.00M,3.00M,-238.00M,,,-71.00M,20.00M,0.00,20.00M,,-45.00M,,,-96.00M,130.00M,-38.00M,,92.00M,20.00M,,,0.00
2005-06,209.00M,,,,,,99.00M,99.00M,,,17.00M,,-3.00M,-3.00M,,322.00M,-78.00M,,-78.00M,-11.00M,-65.00M,7.00M,-147.00M,,,105.00M,6.00M,-200.00M,-194.00M,,-46.00M,,,-135.00M,90.00M,40.00M,,130.00M,6.00M,,,-200.00M
2005-03,187.00M,,,,,,100.00M,100.00M,,,33.00M,,-227.00M,-227.00M,,93.00M,-66.00M,,-66.00M,-69.00M,-41.00M,-2.00M,-178.00M,,,359.00M,28.00M,-250.00M,-222.00M,,-47.00M,,,90.00M,85.00M,5.00M,,90.00M,28.00M,,,-250.00M
2004-12,183.00M,,,139.00M,,,102.00M,102.00M,,,-70.00M,,171.00M,40.00M,,261.00M,-131.00M,,-131.00M,0.00,64.00M,5.00M,-62.00M,,,-197.00M,41.00M,0.00,41.00M,,-41.00M,,,-197.00M,83.00M,2.00M,,85.00M,41.00M,,,0.00
2004-09,170.00M,,,,,,100.00M,100.00M,,,-109.00M,,59.00M,59.00M,,220.00M,-69.00M,,-69.00M,-77.00M,-61.00M,6.00M,-201.00M,,,5.00M,13.00M,0.00,13.00M,,-40.00M,,,-22.00M,86.00M,-3.00M,,83.00M,13.00M,,,0.00
2004-06,161.00M,,,36.00M,,,98.00M,98.00M,,,85.00M,,-50.00M,-50.00M,,330.00M,-81.00M,,-81.00M,-534.00M,312.00M,17.00M,-286.00M,,,-11.00M,29.00M,0.00,29.00M,,-41.00M,,,-23.00M,65.00M,21.00M,,86.00M,29.00M,,,0.00
2004-03,134.00M,,,-36.00M,,,100.00M,100.00M,,,,,-171.00M,-171.00M,,27.00M,-49.00M,,-49.00M,-16.00M,291.00M,-10.00M,216.00M,,,-3.00M,55.00M,-250.00M,-195.00M,,-41.00M,,,-239.00M,61.00M,4.00M,,65.00M,55.00M,,,-250.00M
2003-12,114.00M,,,,373.00M,21.00M,96.00M,96.00M,,,-3.00M,,78.00M,132.00M,,357.00M,-96.00M,,-89.00M,4.00M,-274.00M,-8.00M,-367.00M,,,6.00M,29.00M,,29.00M,,-36.00M,,,-1.00M,72.00M,-11.00M,,61.00M,29.00M,,,
2003-09,107.00M,,,,,,97.00M,97.00M,,,-22.00M,,80.00M,80.00M,,262.00M,-67.00M,,-67.00M,-30.00M,-178.00M,6.00M,-269.00M,,,-25.00M,53.00M,,53.00M,,-36.00M,,,-8.00M,87.00M,-15.00M,,72.00M,53.00M,,,
2003-06,93.00M,,,,-92.00M,-6.00M,103.00M,103.00M,,,29.00M,,34.00M,34.00M,,259.00M,-67.00M,,-67.00M,-7.00M,-298.00M,-3.00M,-375.00M,,,-146.00M,321.00M,,321.00M,,-31.00M,,,144.00M,59.00M,28.00M,,87.00M,321.00M,,,
2003-03,72.00M,,,,92.00M,6.00M,98.00M,98.00M,,,30.00M,,-204.00M,-204.00M,,-4.00M,-43.00M,,-43.00M,-219.00M,314.00M,-10.00M,42.00M,,,-29.00M,6.00M,,6.00M,,-31.00M,,,-54.00M,75.00M,-16.00M,,59.00M,6.00M,,,
2002-12,67.00M,,,17.00M,88.00M,7.00M,95.00M,95.00M,,,9.00M,,-80.00M,120.00M,,257.00M,-89.00M,1.00M,-88.00M,-142.00M,-58.00M,10.00M,-278.00M,,,34.00M,4.00M,,4.00M,,-31.00M,,,7.00M,89.00M,-14.00M,,75.00M,4.00M,,,
2002-09,93.00M,,,-18.00M,89.00M,5.00M,94.00M,94.00M,,,21.00M,,138.00M,138.00M,,328.00M,-52.00M,95.00M,43.00M,-1.00M,-34.00M,-5.00M,3.00M,,,-276.00M,1.00M,,1.00M,,-31.00M,,,-306.00M,64.00M,25.00M,,89.00M,1.00M,,,
2002-06,88.00M,,,,87.00M,5.00M,92.00M,92.00M,,,17.00M,,35.00M,35.00M,,232.00M,-47.00M,,-47.00M,-10.00M,-75.00M,-2.00M,-134.00M,,,-113.00M,40.00M,,40.00M,,-31.00M,,-24.00M,-128.00M,94.00M,-30.00M,,64.00M,40.00M,,,
2002-03,33.00M,,,,89.00M,6.00M,95.00M,95.00M,,,1.00M,,-46.00M,-46.00M,,83.00M,-40.00M,,-40.00M,,32.00M,2.00M,-6.00M,,,-89.00M,,,,,-30.00M,,24.00M,-95.00M,112.00M,-18.00M,,94.00M,,,,
2001-12,30.00M,,,-52.00M,88.00M,22.00M,110.00M,110.00M,,,66.00M,,-146.00M,44.00M,,270.00M,-92.00M,0.00,-92.00M,-2.00M,-84.00M,9.00M,-169.00M,,,-70.00M,,1.00M,38.00M,,-30.00M,,-27.00M,-89.00M,100.00M,12.00M,,112.00M,,,,1.00M
