,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,AmortizationofSecurities,SpecialIncomeandCharges,TotalOperatingExpenses,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2018-03,568.77M,568.77M,,192.81M,192.81M,,,192.81M,28.25M,419.86M,281.99M,73.97M,208.03M,,-13.06M,,194.96M,194.96M,14.38M,294.53M,3.69,,,3.69,3.69,3.63,,,3.63,3.63,52.88M,53.68M,0.0
2017-12,535.07M,535.07M,,184.21M,184.21M,,,184.21M,27.89M,393.71M,259.72M,135.05M,124.66M,,-7.454M,,117.21M,117.21M,16.86M,271.02M,2.22,,,2.22,2.22,2.19,,,2.19,2.19,52.76M,53.53M,0.0
2017-09,522.66M,522.66M,,178.21M,178.21M,,,178.21M,40.16M,373.97M,251.47M,97.35M,154.12M,,-5.498M,,148.62M,148.62M,13.00M,262.77M,2.82,,,2.82,2.82,2.79,,,2.79,2.79,52.70M,53.30M,0.0
2017-06,461.73M,461.73M,,176.10M,176.10M,,,176.10M,28.45M,342.70M,204.17M,71.66M,132.52M,,-9.323M,,123.19M,123.19M,13.88M,215.40M,2.34,,,2.34,2.34,2.32,,,2.32,2.32,52.54M,53.19M,0.0
2017-03,418.67M,418.67M,,171.88M,171.88M,,,171.88M,22.66M,309.99M,159.28M,51.40M,107.88M,,-6.397M,,101.48M,101.48M,12.39M,170.22M,1.94,,,1.94,1.94,1.91,,,1.91,1.91,52.34M,53.18M,0.0
2016-12,400.97M,400.97M,,165.17M,165.17M,,,165.17M,20.33M,296.60M,158.47M,54.82M,103.64M,,-4.176M,,99.47M,99.47M,11.70M,169.20M,1.91,,,1.91,1.91,1.89,,,1.89,1.89,52.13M,52.71M,0.0
2016-09,424.31M,424.31M,,158.88M,158.88M,,,158.88M,42.89M,289.16M,192.52M,76.88M,115.65M,,-4.566M,,111.08M,111.08M,11.35M,203.78M,2.13,,,2.13,2.13,2.12,,,2.12,2.12,52.05M,52.41M,0.0
2016-06,389.86M,389.86M,,138.03M,138.03M,,,138.03M,32.35M,283.34M,159.43M,65.05M,94.38M,,-1.416M,,92.96M,92.96M,12.23M,170.08M,1.79,,,1.79,1.79,1.78,,,1.78,1.78,51.83M,52.19M,0.0
2016-03,359.61M,359.61M,,147.09M,147.09M,,,147.09M,1.922M,281.42M,130.18M,53.58M,76.60M,,2.577M,,79.17M,79.17M,11.54M,140.42M,1.53,,,1.53,1.53,1.52,,,1.52,1.52,51.65M,52.08M,0.0
2015-12,374.85M,374.85M,,147.50M,147.50M,,,147.50M,30.18M,269.07M,143.71M,53.70M,90.01M,,-2.497M,,87.51M,87.51M,11.50M,153.87M,1.7,,,1.7,1.7,1.68,,,1.68,1.68,51.51M,52.03M,0.0
2015-09,356.46M,356.46M,,129.88M,129.88M,,,129.88M,29.01M,254.66M,144.98M,57.02M,87.96M,,-6.229M,,81.73M,81.73M,8.751M,155.11M,1.59,,,1.59,1.59,1.57,,,1.57,1.57,51.48M,52.05M,0.0
2015-06,363.02M,363.02M,,145.97M,145.97M,,,145.97M,41.29M,243.77M,149.43M,54.97M,94.46M,,-8.316M,,86.14M,86.14M,9.861M,159.59M,1.68,,,1.68,1.68,1.66,,,1.66,1.66,51.27M,51.88M,0.0
2015-03,355.53M,355.53M,,137.81M,137.81M,,,137.81M,72.99M,238.92M,165.46M,63.07M,102.39M,,-13.87M,,88.52M,88.52M,9.892M,175.35M,1.74,,,1.74,1.74,1.71,,,1.71,1.71,51.01M,51.72M,0.0
2014-12,396.48M,396.48M,,128.62M,128.62M,,,128.62M,128.15M,234.74M,175.87M,46.08M,129.80M,,-71.80M,,57.99M,57.99M,10.07M,184.86M,1.16,,,1.16,1.16,1.14,,,1.14,1.14,50.88M,51.05M,0.0
2014-09,294.24M,294.24M,,120.18M,120.18M,,,120.18M,32.18M,220.56M,104.36M,40.21M,64.15M,,-0.177M,,63.98M,63.98M,10.09M,113.12M,1.26,,,1.26,1.26,1.24,,,1.24,1.24,50.75M,51.57M,0.0
2014-06,213.32M,213.32M,,118.94M,118.94M,,,118.94M,-44.54M,204.96M,46.28M,35.93M,10.36M,,40.60M,,50.95M,50.95M,9.416M,55.16M,1.06,,,1.06,1.06,1.04,,,1.04,1.04,48.17M,49.04M,0.0
2014-03,500.99M,500.99M,,122.07M,122.07M,,,122.07M,248.08M,196.33M,335.65M,61.30M,274.36M,,-183.40M,,90.95M,90.95M,9.765M,344.35M,1.98,,,1.98,1.98,1.95,,,1.95,1.95,45.87M,46.72M,0.0
2013-12,420.11M,420.11M,,114.85M,114.85M,,,114.85M,177.93M,187.00M,234.63M,43.06M,191.57M,,-134.15M,,57.42M,57.42M,9.786M,243.01M,1.29,,,1.29,1.29,1.27,,,1.27,1.27,45.70M,46.48M,0.0
2013-09,429.92M,429.92M,,111.71M,111.71M,1.519M,,113.23M,197.28M,177.10M,263.58M,47.40M,216.18M,,-148.56M,,67.62M,67.62M,9.193M,271.73M,1.48,,,1.48,1.48,1.46,,,1.46,1.46,45.58M,46.20M,0.0
2013-06,263.42M,263.42M,,99.90M,99.90M,1.338M,,101.24M,48.65M,170.08M,106.46M,29.97M,76.49M,,-27.90M,,48.58M,48.58M,8.802M,114.36M,1.08,,,1.08,1.08,1.06,,,1.06,1.06,45.16M,45.68M,0.0
2013-03,236.78M,236.78M,,104.82M,104.82M,1.317M,,106.14M,37.73M,163.17M,86.95M,26.40M,60.54M,,-19.65M,,40.89M,40.89M,8.479M,94.79M,0.91,,,0.91,0.91,0.9,,,0.9,0.9,44.80M,45.39M,0.0
2012-12,282.50M,282.50M,,98.48M,98.48M,0.95M,,99.43M,71.12M,160.56M,129.19M,29.53M,99.66M,,-49.24M,,50.42M,50.42M,5.471M,136.79M,1.13,,,1.13,1.13,1.12,,,1.12,1.12,44.53M,44.98M,0.0
2012-09,218.76M,218.76M,,93.19M,93.19M,0.941M,,94.13M,21.34M,154.43M,81.61M,28.47M,53.14M,,-10.85M,,42.29M,42.29M,9.057M,89.14M,0.95,,,0.95,0.95,0.94,,,0.94,0.94,44.45M,44.92M,0.0
2012-06,227.78M,227.78M,,94.32M,94.32M,0.962M,,95.28M,34.52M,151.93M,88.60M,31.52M,57.08M,,-9.475M,,47.60M,45.05M,7.14M,96.48M,1.08,,,1.022,1.08,1.06,,,1.003,1.06,44.21M,44.71M,0.0
2012-03,206.29M,206.29M,,98.27M,98.27M,1.058M,,99.33M,13.82M,150.94M,63.69M,23.76M,39.93M,,-5.143M,,34.79M,34.79M,6.454M,71.53M,0.79,,,0.79,0.79,0.78,,,0.78,0.78,43.78M,44.46M,0.0
2011-12,202.61M,202.61M,,83.39M,83.39M,1.108M,,84.49M,56.55M,140.07M,70.17M,26.28M,43.89M,,-8.316M,,35.57M,50.68M,7.491M,77.91M,0.82,,,1.168,0.82,0.82,,,1.166,0.82,43.37M,43.62M,0.0
2011-09,231.07M,231.07M,,92.64M,92.64M,1.212M,-5.295M,88.55M,52.26M,135.46M,102.85M,26.77M,76.08M,,-38.50M,,37.57M,34.13M,6.165M,110.72M,0.87,0.0,,0.7903,0.87,0.86,0.0,,0.7814,0.86,43.23M,43.79M,0.0
2011-06,254.16M,254.16M,,84.25M,84.25M,,-5.036M,79.22M,71.68M,130.45M,133.00M,43.26M,89.73M,,-23.98M,,65.75M,59.94M,7.315M,142.70M,1.53,0.0,,1.395,1.53,1.5,0.0,,1.367,1.5,42.92M,43.74M,0.0
2011-03,210.25M,210.25M,,85.38M,85.38M,1.053M,0.90M,87.33M,51.34M,120.30M,95.86M,22.77M,73.10M,,-40.09M,,33.01M,32.32M,6.519M,109.67M,0.78,0.0,,0.7638,0.78,0.76,0.0,,0.7442,0.76,42.48M,43.43M,0.0
2010-12,176.38M,176.38M,,77.78M,77.78M,,-8.064M,69.72M,25.94M,104.52M,44.99M,11.00M,33.98M,,-16.50M,,17.49M,23.58M,5.67M,59.18M,0.41,0.0,,0.5548,0.41,0.41,0.0,,0.5526,0.41,42.06M,42.71M,0.0
2010-09,192.58M,192.58M,,72.19M,72.19M,,-8.686M,63.50M,46.61M,106.34M,77.44M,25.00M,52.44M,,-14.65M,,37.79M,43.67M,6.366M,87.85M,0.9,0.0,,1.04,0.9,0.89,0.0,,1.028,0.89,41.93M,42.51M,0.0
2010-06,146.59M,146.59M,,67.54M,67.54M,,-8.931M,58.60M,4.805M,106.44M,35.00M,13.82M,21.19M,,-0.066M,,21.12M,25.72M,5.589M,44.81M,0.51,0.0,,0.6203,0.51,0.5,0.0,,0.6084,0.5,41.72M,42.48M,0.0
2010-03,150.11M,150.11M,,71.11M,71.11M,,-4.893M,66.22M,16.00M,100.84M,40.79M,11.58M,29.21M,,-10.65M,,18.56M,22.06M,5.599M,49.97M,0.45,0.0,,0.5346,0.45,0.44,0.0,,0.5228,0.44,41.40M,42.29M,0.0
2009-12,142.88M,142.88M,,81.68M,81.68M,,-23.36M,58.33M,6.681M,102.14M,37.68M,13.60M,24.08M,,-3.338M,14.70M,20.74M,34.79M,9.334M,47.69M,0.17,0.0,,0.5549,0.17,0.16,0.0,,0.5399,0.16,36.50M,36.99M,0.0
2009-09,131.12M,131.12M,,47.93M,47.93M,,0.00,47.93M,3.905M,96.82M,43.29M,16.88M,26.41M,,-2.246M,3.555M,24.16M,24.83M,5.557M,54.46M,0.62,0.0,,0.64,0.62,0.61,0.0,,0.6297,0.61,33.18M,33.67M,0.0
2009-06,119.96M,119.96M,,48.91M,48.91M,,0.00,48.91M,-6.75M,91.68M,9.551M,7.174M,2.377M,,8.961M,3.545M,11.34M,13.19M,4.795M,22.43M,0.24,0.0,,0.2962,0.24,0.24,0.0,,0.2959,0.24,32.95M,33.08M,0.0
2009-03,85.93M,85.93M,,56.52M,56.52M,1.129M,-1.808M,55.84M,-35.04M,91.51M,-44.68M,-2.448M,-42.23M,,33.99M,3.536M,-8.235M,-6.526M,5.245M,-29.65M,-0.36,0.0,,-0.3081,-0.36,-0.36,0.0,,-0.3081,-0.36,32.93M,32.93M,0.0
2008-12,118.64M,118.64M,,49.36M,49.36M,,,49.36M,-9.828M,93.52M,-21.60M,-0.536M,-21.06M,,11.69M,,-1.92M,-1.92M,4.319M,-1.466M,-0.09,0.0,,-0.09,-0.09,-0.09,0.0,,-0.09,-0.09,32.82M,33.08M,0.0
2008-09,136.88M,136.88M,,49.60M,49.60M,,,49.60M,-0.876M,95.13M,44.46M,17.45M,27.01M,,1.693M,,27.01M,23.08M,3.819M,62.72M,0.83,0.0,,0.7091,0.83,0.8,0.0,,0.6835,0.8,32.53M,33.76M,0.0
2008-06,131.31M,131.31M,,51.88M,51.88M,,-4.658M,47.22M,2.039M,86.80M,35.77M,16.29M,19.48M,,1.534M,,21.01M,21.18M,7.575M,52.84M,0.66,0.0,,0.6651,0.66,0.61,0.0,,0.6148,0.61,32.05M,34.19M,0.0
2008-03,132.34M,132.34M,,55.29M,55.29M,,0.165M,55.45M,-3.513M,90.78M,41.18M,18.28M,22.90M,,4.218M,,27.12M,27.01M,7.209M,58.99M,0.84,0.0,,0.8367,0.84,0.78,0.0,,0.7769,0.78,32.28M,34.58M,0.0
2007-12,150.47M,150.47M,,67.07M,67.07M,,0.00,67.07M,30.05M,97.28M,59.07M,24.80M,34.27M,,-1.957M,,34.27M,-81.11M,-1.614M,76.30M,1.03,0.0,,1.03,1.03,0.96,0.0,,0.96,0.96,33.07M,35.70M,0.0
2007-09,160.74M,160.74M,,56.46M,56.46M,,,56.46M,14.72M,95.71M,64.17M,26.05M,38.12M,,-10.46M,,38.12M,38.12M,6.181M,81.63M,1.12,0.0,,1.12,1.12,1.03,0.0,,1.03,1.03,34.03M,37.01M,0.0
2007-06,150.28M,150.28M,,51.96M,51.96M,,-17.20M,34.75M,13.64M,94.58M,38.42M,15.55M,22.86M,,-5.825M,,22.86M,33.19M,8.025M,53.57M,0.67,0.0,,0.9725,0.67,0.61,0.0,,0.8854,0.61,34.13M,37.48M,0.0
2007-03,140.82M,140.82M,,53.36M,53.36M,,,53.36M,12.25M,93.36M,48.76M,20.37M,28.39M,,-10.36M,,28.39M,28.39M,6.858M,61.36M,0.82,0.0,,0.82,0.82,0.76,0.0,,0.76,0.76,34.62M,37.36M,0.0
2006-12,138.87M,138.87M,,49.89M,49.89M,,0.00,49.89M,14.84M,93.01M,49.55M,21.20M,28.35M,0.00,-1.169M,,28.35M,28.35M,3.936M,61.34M,0.82,0.01,0.0,0.82,0.83,0.76,0.01,0.0,0.76,0.77,33.95M,36.50M,0.0
2006-09,120.78M,120.78M,,45.50M,45.50M,,,45.50M,1.645M,89.81M,43.92M,18.75M,25.17M,,0.919M,,25.17M,25.17M,6.424M,54.42M,0.73,0.0,,0.73,0.73,0.68,0.0,,0.68,0.68,34.48M,37.01M,0.0
2006-06,126.74M,126.74M,,48.68M,48.68M,,,48.68M,16.81M,85.76M,22.69M,9.092M,13.59M,,-5.814M,,13.59M,13.59M,7.207M,30.05M,0.39,0.0,,0.39,0.39,0.36,0.0,,0.36,0.36,34.86M,37.76M,0.0
2006-03,107.28M,107.28M,,44.52M,44.52M,,,44.52M,2.166M,83.88M,38.82M,16.74M,22.08M,0.192M,-0.244M,,22.27M,22.08M,6.303M,44.35M,0.63,0.0,0.0,0.63,0.63,0.57,0.0,0.005,0.57,0.58,35.35M,38.40M,0.0
2005-12,117.81M,117.81M,,41.25M,41.25M,,,41.25M,11.13M,81.01M,42.34M,16.69M,25.65M,,-2.928M,,25.65M,25.65M,-4.926M,47.78M,0.74,0.0,,0.74,0.74,0.67,0.0,,0.67,0.67,34.59M,38.23M,0.0
2005-09,102.66M,102.66M,,37.80M,37.80M,,,37.80M,4.341M,77.72M,37.97M,14.91M,23.06M,,-1.281M,,23.06M,23.06M,2.49M,42.86M,0.66,0.0,,0.66,0.66,0.6,0.0,,0.6,0.6,34.94M,38.43M,0.0
2005-06,101.82M,101.82M,,44.28M,44.28M,,,44.28M,8.484M,71.43M,35.06M,14.16M,20.90M,,0.372M,,20.90M,20.90M,3.72M,38.84M,0.6,0.0,,0.6,0.6,0.54,0.0,,0.54,0.54,34.83M,38.70M,0.0
2005-03,94.50M,94.50M,,40.27M,40.27M,,,40.27M,5.228M,69.13M,37.94M,15.00M,22.94M,,0.441M,,22.94M,22.94M,0.39M,40.99M,0.64,0.0,,0.64,0.64,0.59,0.0,,0.59,0.59,35.84M,38.87M,0.0
2004-12,98.81M,98.81M,,43.36M,43.36M,,,43.36M,-1.955M,66.37M,34.45M,13.66M,20.79M,,-2.54M,,20.79M,20.79M,2.954M,37.36M,0.58,0.0,,0.58,0.58,0.54,0.0,,0.54,0.54,36.08M,38.88M,0.0
2004-09,80.99M,80.99M,,36.46M,36.46M,,,36.46M,2.199M,60.05M,23.92M,8.525M,15.39M,,-0.002M,,15.39M,15.39M,1.246M,26.82M,0.44,0.0,,0.44,0.44,0.41,0.0,,0.41,0.41,34.98M,37.54M,0.0
2004-06,83.83M,83.83M,,40.67M,40.67M,,,40.67M,,53.36M,23.59M,9.129M,14.46M,,-0.067M,,14.46M,11.80M,0.22M,26.43M,0.41,0.0,,0.3344,0.41,0.39,0.0,,0.3181,0.39,35.27M,37.08M,0.0
2004-03,75.71M,75.71M,,34.10M,34.10M,,,34.10M,,50.82M,22.04M,8.029M,14.01M,,-0.481M,,14.01M,13.17M,2.266M,24.78M,0.4,0.0,,0.376,0.4,0.38,0.0,,0.3572,0.38,35.02M,36.87M,0.0
2003-12,66.70M,66.70M,,28.92M,28.01M,,,28.01M,,47.93M,-25.11M,-9.819M,-15.29M,,1.438M,,-15.29M,-14.58M,3.444M,-20.50M,-0.38,0.0,,-0.3482,-0.38,-0.38,0.0,,-0.3492,-0.38,22.52M,23.25M,0.0
2003-09,67.61M,67.61M,0.374M,32.47M,32.85M,,,32.85M,,46.27M,26.27M,8.837M,17.43M,,0.007M,,17.43M,16.56M,1.714M,29.74M,0.51,0.0,,0.4844,0.51,0.49,0.0,,0.4654,0.49,34.17M,35.57M,0.0
2003-06,64.20M,64.20M,0.357M,29.49M,29.84M,,,29.84M,,46.70M,-1.395M,-0.819M,-0.576M,,2.765M,,-0.576M,1.727M,1.954M,1.311M,-0.02,0.0,,0.06,-0.02,-0.02,0.0,,0.06,-0.02,28.80M,28.80M,0.0
2003-03,65.42M,65.42M,,31.43M,31.43M,,,31.43M,,47.98M,15.41M,4.993M,10.42M,,3.479M,,10.42M,13.60M,1.973M,18.07M,0.27,0.0,,0.3524,0.27,0.26,0.0,,0.3394,0.26,38.59M,40.07M,0.0
2002-12,64.29M,64.29M,0.143M,24.17M,24.32M,,,24.32M,,48.45M,17.54M,5.627M,11.92M,,2.23M,,11.92M,14.07M,2.573M,21.08M,0.32,0.0,,0.3781,0.32,0.31,0.0,,0.3662,0.31,36.99M,38.25M,0.0
2002-09,64.45M,64.45M,0.242M,27.25M,27.49M,,,27.49M,,48.19M,18.02M,4.925M,13.10M,,2.30M,,13.10M,14.60M,1.765M,22.34M,0.3,0.0,,0.3343,0.3,0.29,0.0,,0.3232,0.29,43.65M,45.16M,0.0
2002-06,,,,,,,,,,,,,14.98M,,,,14.98M,14.98M,1.746M,,0.33,0.0,,0.33,0.33,0.32,0.0,,0.32,0.32,45.39M,46.98M,0.0
2002-03,65.90M,65.90M,0.575M,24.93M,25.50M,,,25.50M,,49.00M,21.00M,7.639M,13.36M,,1.84M,,13.36M,15.01M,1.766M,26.38M,0.3,0.0,,0.3366,0.3,0.29,0.0,,0.3255,0.29,45.18M,46.52M,0.0
2001-12,63.19M,63.19M,0.743M,24.61M,25.36M,,,25.36M,,51.44M,18.06M,5.971M,12.08M,,4.106M,,12.08M,17.72M,0.085M,24.72M,0.28,0.0,,0.4046,0.28,0.27,0.0,,0.3903,0.27,45.25M,46.85M,0.0
2001-09,76.88M,76.88M,0.546M,21.05M,21.60M,,,21.60M,,59.89M,29.79M,11.19M,18.60M,,2.224M,,18.60M,20.08M,2.782M,38.34M,0.39,0.0,,0.421,0.39,0.38,0.0,,0.4102,0.38,47.70M,48.95M,0.0
2001-06,88.14M,88.14M,0.809M,22.03M,22.84M,,,22.84M,,69.92M,38.25M,14.12M,24.13M,,0.713M,,24.13M,24.92M,1.502M,47.65M,0.5,0.0,,0.5163,0.5,0.48,0.0,,0.4957,0.48,48.26M,50.28M,0.0
2001-03,105.61M,105.61M,1.028M,22.83M,23.86M,,,23.86M,,81.74M,55.06M,21.72M,33.34M,,0.503M,,33.34M,33.54M,1.348M,67.78M,0.68,0.0,,0.6842,0.68,0.65,0.0,,0.654,0.65,49.02M,51.29M,0.0
2000-12,119.53M,119.53M,0.99M,27.95M,28.94M,,,28.94M,,88.68M,59.67M,23.93M,35.74M,,0.251M,,35.74M,35.07M,1.219M,75.09M,0.73,0.0,,0.7162,0.73,0.69,0.0,,0.677,0.69,48.54M,51.32M,0.0
2000-09,130.82M,130.82M,1.152M,31.21M,32.37M,,,32.37M,,87.77M,58.33M,23.39M,34.94M,,0.209M,,34.94M,32.65M,0.959M,73.27M,0.74,0.0,,0.6915,0.74,0.69,0.0,,0.6448,0.69,47.21M,50.64M,0.0
2000-06,116.49M,116.49M,0.803M,30.31M,31.11M,,,31.11M,,81.90M,56.44M,22.70M,33.74M,,,,33.74M,32.39M,0.915M,69.60M,0.74,0.0,,0.7105,0.74,0.7,0.0,,0.672,0.7,45.59M,48.19M,0.0
2000-03,,,,,,,,,,,,,54.66M,,,,54.66M,54.66M,0.923M,,2.42,0.0,,2.42,2.42,2.3,0.0,,2.3,2.3,45.25M,47.53M,0.0
1999-12,96.60M,96.60M,0.50M,26.80M,27.30M,,,27.30M,,62.80M,41.90M,17.00M,24.90M,,,,24.90M,24.90M,0.90M,54.50M,0.61,0.0,,0.61,0.61,0.58,0.0,,0.58,0.58,40.32M,43.76M,0.0
1999-09,67.80M,67.80M,0.50M,18.20M,18.70M,,,18.70M,,54.40M,16.50M,6.00M,10.50M,,,,10.50M,10.50M,0.80M,37.50M,0.26,0.0,,0.26,0.26,0.25,0.0,,0.25,0.25,40.38M,42.00M,0.0
1999-06,53.26M,53.26M,0.70M,15.70M,16.40M,,,16.40M,-0.40M,46.80M,14.70M,5.70M,9.00M,,,,9.00M,9.00M,0.80M,36.70M,0.22,0.0,,0.22,0.22,0.22,0.0,,0.22,0.22,40.91M,40.91M,0.0
1999-03,46.70M,46.70M,0.60M,15.20M,15.80M,,,15.80M,0.10M,41.40M,13.10M,5.30M,7.80M,,,,7.80M,7.80M,0.80M,34.10M,0.19,0.0,,0.19,0.19,0.19,0.0,,0.19,0.19,41.05M,41.05M,0.0
1998-12,46.50M,46.50M,0.60M,9.30M,9.90M,,,9.90M,,40.80M,7.50M,2.90M,4.60M,,,,4.60M,4.60M,0.60M,27.40M,0.11,0.0,,0.11,0.11,0.11,0.0,,0.11,0.11,41.32M,41.85M,0.0
1998-09,46.20M,46.20M,0.60M,10.80M,11.40M,,,11.40M,,38.50M,14.60M,6.00M,8.60M,,,,8.60M,8.60M,0.50M,36.30M,0.21,0.0,,0.21,0.21,0.21,0.0,,0.21,0.21,40.95M,40.95M,0.0
1998-06,39.80M,39.80M,0.50M,12.50M,13.00M,,,13.00M,,35.40M,14.00M,5.80M,8.20M,,,,8.20M,8.20M,0.40M,33.30M,0.2,0.0,,0.2,0.2,0.2,0.0,,0.2,0.2,41.00M,41.00M,0.0
