,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2018-03,208.03M,,-9.058M,,-11.25M,14.38M,14.38M,-8.834M,,0.00,,10.52M,-2.543M,7.98M,,,,-106.36M,246.75M,140.39M,348.40M,-7.717M,,-7.717M,,0.00,-924.94M,,-2.397B,,68.41M,68.41M,2.098M,0.00,2.098M,,,,-8.407M,1.745B,2.923B,-303.69M,2.619B,2.098M,,,0.00,9.385M,20.41M
2017-12,124.66M,,-14.52M,,16.24M,16.86M,16.86M,22.86M,,0.00,,9.161M,-3.615M,2.842M,,,,43.42M,-98.12M,-54.70M,125.79M,-15.41M,,-15.41M,,0.00,-261.16M,,-1.183B,-51.55M,1.029B,977.34M,10.72M,,10.72M,,,,-5.319M,424.78M,3.556B,-632.50M,2.923B,10.72M,,-51.55M,,87.12M,4.268M
2017-09,154.12M,,-10.69M,,-19.84M,13.00M,13.00M,12.15M,,0.00,,8.644M,-1.371M,-2.292M,,,,39.90M,-75.15M,-35.24M,124.35M,-13.97M,,-13.97M,,3.00M,-1.559B,,-2.768B,0.00,4.37M,4.37M,2.37M,,2.37M,,,,-8.613M,2.345B,3.854B,-298.67M,3.556B,2.37M,,0.00,,53.34M,19.03M
2017-06,132.52M,,-11.40M,,0.766M,13.88M,13.88M,5.559M,,,,9.892M,-6.965M,0.123M,,,,38.02M,102.06M,140.08M,284.78M,-10.90M,,-10.90M,,,-1.001B,,-1.558B,-46.24M,-4.693M,-50.93M,5.079M,,5.079M,,,,-7.848M,1.332B,3.796B,58.56M,3.854B,5.079M,,-46.24M,,134.07M,4.337M
2017-03,107.88M,,-8.942M,,5.559M,12.39M,12.39M,-15.39M,,,,9.203M,-6.063M,-3.981M,,,,-89.65M,84.50M,-5.15M,111.94M,-10.60M,,-10.60M,,,68.64M,,-461.42M,,-507.50M,-507.50M,8.837M,,8.837M,,,,-1.755M,1.599B,2.546B,1.250B,3.796B,8.837M,,,,3.304M,17.96M
2016-12,103.64M,,20.01M,,42.59M,11.70M,11.70M,2.604M,,,,13.15M,0.00,-34.54M,,,,33.45M,15.74M,49.19M,198.76M,-16.13M,,-16.13M,,0.00,-683.12M,,-1.491B,0.00,510.25M,510.25M,13.16M,,13.16M,,,,2.701M,1.317B,2.521B,24.43M,2.546B,13.16M,,0.00,,54.28M,3.601M
2016-09,115.65M,0.00,-23.18M,,-44.61M,11.35M,11.35M,-0.465M,,,,7.917M,0.00,7.917M,,,,31.12M,14.20M,45.31M,130.94M,-13.13M,,-13.13M,,0.00,737.23M,,444.29M,0.00,-500.80M,-500.80M,1.809M,,1.809M,,,,-2.228M,91.63M,1.854B,666.86M,2.521B,1.809M,,0.00,,28.65M,18.38M
2016-06,94.38M,,-23.27M,,-27.55M,12.23M,12.23M,-0.392M,,,,7.548M,0.00,7.548M,,,,21.38M,-38.48M,-17.10M,86.01M,-10.38M,,-10.38M,,,1.658B,,554.07M,0.00,503.22M,503.22M,7.102M,,7.102M,,,,-1.301M,-654.13M,1.869B,-14.06M,1.854B,7.102M,,0.00,,122.05M,3.535M
2016-03,76.60M,,4.684M,,5.526M,11.54M,11.54M,-5.982M,,,,6.877M,0.00,6.877M,,,,-101.24M,48.38M,-52.86M,56.06M,-13.68M,,-13.68M,,,2.480B,,1.474B,,-774.90M,-774.90M,4.078M,,4.078M,,,,-11.01M,-1.165B,1.503B,365.26M,1.869B,4.078M,,,,35.78M,17.41M
2015-12,90.01M,1.287M,-12.44M,,-22.33M,11.50M,11.50M,-12.26M,,,,8.065M,,-25.46M,,,,38.00M,-34.27M,3.721M,84.99M,-16.45M,,-16.45M,,0.00,-1.685B,,-3.124B,0.00,771.14M,771.14M,4.186M,,4.186M,,,,-0.94M,2.868B,1.674B,-170.89M,1.503B,4.186M,0.00,,,38.00M,3.097M
2015-09,87.96M,0.00,-18.77M,,-28.03M,8.751M,8.751M,-1.152M,,,,8.188M,,8.188M,,,,22.88M,-73.63M,-50.75M,43.33M,-12.93M,,-12.93M,,0.00,-1.344B,,-2.415B,0.00,1.219M,1.219M,1.133M,,1.133M,,,,-4.614M,1.420B,2.626B,-951.40M,1.674B,1.133M,0.00,,,89.04M,17.23M
2015-06,94.46M,-0.40M,-24.98M,,-38.00M,9.861M,9.861M,2.972M,,,,8.215M,,8.215M,,,-9.283M,44.04M,40.74M,75.50M,157.67M,-12.50M,,-12.50M,,39.28M,-649.39M,,-418.98M,0.00,-75.23M,-75.23M,6.984M,,6.984M,,,,-4.599M,1.623B,1.264B,1.362B,2.626B,6.984M,0.00,,,46.84M,3.09M
2015-03,102.39M,-0.887M,-33.26M,,-54.55M,9.892M,9.892M,1.311M,,,,7.771M,,7.771M,,,9.283M,-74.61M,57.76M,-7.568M,53.21M,-12.04M,,-12.04M,,16.00M,-489.83M,,-538.21M,346.43M,69.98M,416.42M,10.11M,,10.11M,,,,3.237M,-62.16M,1.811B,-547.17M,1.264B,10.11M,346.43M,,,46.60M,11.86M
2014-12,129.80M,13.93M,-94.79M,,-105.02M,10.07M,10.07M,-24.19M,,,,7.26M,,7.26M,,,14.23M,27.95M,-66.05M,-23.87M,18.89M,-13.10M,,-13.10M,,0.00,-867.64M,,-3.257B,0.00,1.151M,1.151M,4.378M,,4.378M,,,,-49.57M,3.176B,1.873B,-61.52M,1.811B,4.378M,0.00,,,53.81M,4.922M
2014-09,64.15M,0.00,-5.644M,,-18.18M,10.09M,10.09M,-24.09M,,,,7.52M,,7.52M,,,-19.41M,24.61M,-29.04M,-23.85M,18.28M,-10.59M,,-10.59M,,0.00,-2.860B,,-3.531B,0.00,1.72M,1.72M,5.75M,,5.75M,,,,-42.59M,2.735B,2.650B,-777.29M,1.873B,5.75M,0.00,,,79.69M,12.72M
2014-06,10.36M,0.00,57.32M,,58.53M,9.416M,9.416M,-10.66M,,,,7.687M,,7.687M,,,-19.98M,25.84M,94.47M,100.32M,168.10M,-12.77M,,-12.77M,,0.00,-4.211B,,-4.729B,0.00,0.10M,0.10M,438.74M,,438.74M,,,,34.07M,3.349B,3.862B,-1.213B,2.650B,438.74M,0.00,,,59.57M,4.847M
2014-03,274.36M,0.00,-223.91M,,-210.56M,9.765M,9.765M,15.83M,,,,7.078M,,7.078M,,,25.16M,-74.69M,14.39M,-35.14M,49.99M,-5.974M,,-5.974M,,,-778.04M,,-716.62M,0.00,-0.27M,-0.27M,8.144M,,8.144M,,,,-21.49M,2.990B,1.539B,2.324B,3.862B,8.144M,0.00,,,15.49M,12.69M
2013-12,191.57M,,-163.55M,,-178.46M,9.786M,9.786M,19.89M,,,,6.468M,,6.468M,,,7.787M,30.41M,-31.56M,6.638M,73.74M,-9.167M,,-9.167M,,,-1.881B,,-2.964B,,-0.50M,-0.50M,8.161M,,8.161M,,,,2.517M,2.486B,1.943B,-403.96M,1.539B,8.161M,,,,34.95M,3.574M
2013-09,216.18M,,-187.86M,,-200.16M,9.193M,9.193M,-3.816M,,,,6.723M,,6.723M,,,3.804M,32.18M,1.876M,37.86M,65.67M,-7.291M,,-7.291M,,,-116.42M,,-317.06M,,0.18M,0.18M,6.122M,,6.122M,,,,7.659M,1.321B,873.25M,1.069B,1.943B,6.122M,,,,42.86M,12.68M
2013-06,76.49M,,-40.56M,,-45.61M,8.802M,8.802M,0.241M,,-0.363M,,6.396M,,6.033M,,,-17.83M,22.72M,-26.85M,-21.96M,33.42M,-6.94M,,-6.94M,,,692.46M,,-90.39M,,-2.06M,-2.06M,14.22M,,14.22M,,,,18.65M,-589.02M,1.519B,-646.00M,873.25M,14.22M,,,,45.10M,3.283M
2013-03,60.54M,,-27.44M,,-26.68M,8.479M,8.479M,-1.266M,,0.363M,,5.826M,,6.189M,,,6.236M,-62.38M,6.694M,-49.44M,-1.044M,-6.606M,,-6.606M,,,428.59M,,532.33M,,-158.65M,-158.65M,18.06M,,18.06M,,,,-13.88M,-21.02M,1.009B,510.27M,1.519B,18.06M,,,,19.32M,12.37M
2012-12,99.66M,,-68.24M,,-73.95M,5.471M,5.471M,2.797M,,-1.941M,,5.267M,0.944M,4.27M,,,-6.223M,24.68M,0.695M,19.15M,68.50M,-0.771M,,-0.771M,,,-328.09M,0.00,-1.073B,0.00,-342.06M,-342.06M,1.932M,,1.932M,,,,-4.385M,1.107B,906.68M,102.30M,1.009B,1.932M,,0.00,,26.58M,3.048M
2012-09,53.14M,,-20.23M,,-13.62M,9.057M,9.057M,-6.873M,,1.941M,,5.617M,0.102M,7.66M,,,21.94M,19.59M,28.61M,70.14M,133.71M,-13.47M,,-13.47M,,,-418.81M,0.00,-831.84M,0.00,502.29M,502.29M,3.047M,,3.047M,,,,31.49M,193.08M,1.412B,-505.04M,906.68M,3.047M,,0.00,,10.10M,12.09M
2012-06,57.08M,,-25.81M,,-37.71M,7.14M,7.14M,7.446M,,0.00,,5.828M,0.353M,6.181M,,,-29.73M,6.048M,-19.62M,-43.30M,4.77M,-11.96M,,-11.96M,,,845.08M,2.87M,166.72M,-142.65M,-843.50M,-986.15M,6.403M,,6.403M,,,,17.43M,389.61M,850.62M,561.10M,1.412B,6.403M,,-142.65M,,52.44M,3.901M
2012-03,39.93M,,-7.839M,,-11.21M,6.454M,6.454M,-1.57M,,0.00,,5.149M,0.79M,5.939M,,,14.01M,-66.24M,-6.844M,-59.07M,-10.87M,-8.054M,,-8.054M,,,-998.60M,,-1.148B,,849.38M,849.38M,17.90M,,17.90M,,,,20.10M,894.73M,1.115B,-264.32M,850.62M,17.90M,,,,6.556M,12.01M
2011-12,43.89M,,-16.63M,,-45.96M,7.491M,7.491M,3.373M,-13.50M,,,,-0.056M,38.18M,,-6.468M,-10.78M,,20.45M,38.61M,76.20M,-9.256M,,-9.256M,,,-949.77M,,-1.593B,-41.14M,0.00,-41.14M,6.602M,,6.602M,,,,54.06M,589.84M,2.042B,-927.02M,1.115B,6.602M,-36.96M,-4.179M,,29.54M,3.427M
2011-09,76.08M,,-52.26M,0.0,-52.26M,6.165M,6.165M,0.807M,4.552M,,,,0.095M,-5.163M,,1.386M,22.50M,,-130.46M,-106.58M,-81.62M,-8.757M,,-8.757M,,,-4.733M,,-345.98M,0.00,0.00,0.00,4.141M,,4.141M,,,,39.46M,-95.65M,2.565B,-523.25M,2.042B,4.141M,0.00,0.00,,20.98M,12.15M
2011-06,89.73M,,-74.80M,0.0,-74.80M,7.315M,7.315M,-1.437M,4.706M,,,,0.449M,-11.68M,1.099M,1.902M,27.22M,,128.92M,159.14M,165.68M,-7.232M,,-7.232M,,,-11.72M,,-339.83M,-559.48M,-35.42M,-594.90M,11.70M,,11.70M,,,,24.36M,389.31M,2.350B,215.16M,2.565B,11.70M,36.96M,-596.44M,,48.44M,11.02M
2011-03,73.10M,,-51.34M,,-51.34M,6.519M,6.519M,4.619M,4.243M,,,,0.31M,-2.218M,-1.099M,3.18M,-39.76M,,23.29M,-14.38M,6.123M,-5.611M,,-5.611M,,,-1.637B,,-1.760B,,-1.83M,-1.83M,14.43M,,14.43M,,,,21.61M,1.028B,3.076B,-726.37M,2.350B,14.43M,,,,4.891M,14.60M
2010-12,33.98M,,-25.94M,,-25.96M,5.67M,5.67M,-3.111M,3.857M,,,,0.117M,-4.018M,-17.56M,2.944M,18.63M,,-6.327M,-2.313M,18.37M,-6.025M,,-6.025M,0.00,,-1.993B,,-2.657B,-1.779M,-22.49M,-24.27M,8.809M,,8.809M,,,,30.11M,1.937B,3.778B,-701.94M,3.076B,8.809M,0.182M,,,20.40M,12.68M
2010-09,52.44M,,-46.61M,,-46.61M,6.366M,6.366M,-0.914M,3.608M,,,,0.024M,0.298M,16.07M,2.586M,15.39M,,-3.053M,30.99M,49.87M,-7.811M,,-7.811M,0.00,,-704.66M,,-1.121B,344.29M,15.00M,359.29M,2.006M,,2.006M,,,,23.60M,659.44M,4.190B,-411.97M,3.778B,2.006M,344.29M,,,0.484M,3.912M
2010-06,21.19M,,-4.805M,,-4.805M,5.589M,5.589M,1.479M,3.005M,,,,-0.017M,4.801M,-12.82M,2.675M,15.65M,,11.12M,16.62M,47.14M,-6.457M,,-6.457M,0.00,,-952.84M,,-1.198B,0.00,4.84M,4.84M,8.139M,,8.139M,,,,8.969M,649.07M,4.692B,-501.36M,4.190B,8.139M,,,,19.75M,13.37M
2010-03,29.21M,,-16.00M,,-15.98M,5.599M,5.599M,0.923M,3.291M,,,,-0.313M,-0.676M,9.92M,2.443M,-8.477M,,16.79M,20.68M,47.85M,-7.123M,,-6.763M,-0.36M,,-407.74M,,-76.92M,,1.14M,1.14M,5.065M,,5.065M,,,,20.35M,1.208B,3.513B,1.179B,4.692B,5.065M,,,,1.129M,5.618M
2009-12,24.08M,,-6.681M,,-6.798M,9.334M,9.334M,2.186M,-0.467M,0.00,,,-1.767M,5.459M,19.40M,,9.893M,9.282M,-33.54M,-23.15M,-15.84M,-4.418M,-0.693M,-5.111M,0.00,,-1.032B,,-915.45M,-1.306M,-13.53M,-14.84M,293.86M,,293.86M,-4.178M,-4.178M,,17.16M,333.31M,4.111B,-597.98M,3.513B,293.86M,,-14.84M,,3.226M,14.16M
2009-09,26.41M,,-3.905M,,-3.895M,5.557M,5.557M,4.788M,14.30M,0.00,,-7.743M,1.436M,1.317M,10.51M,,7.047M,-43.20M,-8.354M,-34.00M,16.20M,-4.734M,0.693M,-4.041M,0.00,,-804.90M,-0.693M,-662.31M,-50.39M,20.94M,-29.44M,1.462M,,1.462M,-2.938M,-2.938M,,17.43M,1.048B,3.709B,401.46M,4.111B,1.462M,,-29.44M,,8.512M,7.283M
2009-06,2.377M,,6.75M,,6.807M,4.795M,4.795M,-3.888M,-4.926M,0.00,1.237M,7.743M,-1.614M,9.226M,-17.09M,,1.289M,33.91M,9.959M,28.07M,73.34M,-4.336M,,-4.336M,0.00,,-596.04M,0.693M,-462.04M,-50.38M,-25.11M,-75.49M,2.569M,,2.569M,-2.938M,-2.938M,,14.68M,451.08M,3.647B,62.38M,3.709B,2.569M,,-81.16M,,27.31M,28.57M
2009-03,-42.23M,,35.04M,,35.10M,5.245M,5.245M,-2.759M,5.881M,4.092M,-1.237M,,0.178M,-1.357M,-11.20M,,-16.31M,,-3.475M,-30.99M,13.26M,-2.475M,,-2.475M,0.00,,-276.99M,,182.33M,-0.505M,-5.67M,-6.175M,0.085M,,0.085M,-2.056M,-2.056M,,13.97M,1.015B,2.437B,1.210B,3.647B,0.085M,,-0.505M,,,
2008-12,-21.06M,,9.828M,,13.82M,4.319M,4.319M,-7.575M,13.61M,0.00,,,6.646M,-19.32M,-3.267M,,-31.53M,,-7.899M,-24.31M,13.72M,-2.585M,,-2.585M,,,12.55M,1.151B,-197.99M,-95.97M,-362.88M,-458.85M,32.80M,-45.62M,2.992M,0.00,0.00,,49.28M,1.869B,752.60M,1.685B,2.437B,32.80M,-45.61M,-50.36M,-45.62M,37.50M,67.58M
2008-09,33.70M,,0.876M,,-3.042M,3.819M,3.819M,5.533M,3.944M,,,-7.47M,,11.10M,9.367M,,33.37M,0.423M,9.184M,33.96M,65.48M,-1.771M,,-1.771M,,,-3.518M,-1.151B,-663.16M,45.25M,95.00M,140.25M,-15.89M,45.62M,13.92M,,,,-2.586M,720.62M,628.78M,122.93M,752.60M,-15.89M,-194.39M,-0.358M,45.62M,-28.54M,-33.98M
2008-06,15.38M,,-2.039M,,2.115M,7.575M,7.575M,2.155M,-2.082M,0.00,,3.823M,-0.62M,5.574M,-12.60M,,5.615M,-4.473M,-11.29M,-22.76M,19.52M,-2.205M,,-2.205M,,,-181.04M,,-473.31M,72.66M,210.00M,282.66M,10.38M,-0.997M,9.383M,0.00,0.00,,20.93M,407.33M,676.13M,-46.46M,628.78M,10.38M,432.69M,-150.03M,-0.997M,28.54M,33.98M
2008-03,27.12M,,6.112M,,6.112M,7.209M,7.209M,8.669M,-1.862M,0.00,,3.647M,0.62M,-1.317M,3.238M,,-38.99M,4.05M,2.109M,-29.59M,28.33M,-1.983M,,-1.983M,,,-17.87M,,-223.05M,-0.244M,30.00M,29.76M,5.51M,-44.62M,-39.11M,0.00,0.00,,38.13M,186.79M,684.06M,-7.931M,676.13M,5.51M,30.00M,-0.244M,-44.62M,,
2007-12,34.27M,,-6.113M,,22.64M,-1.614M,-1.614M,-3.636M,,,,,,-63.12M,,,17.44M,,-19.16M,12.63M,44.46M,-7.072M,,-6.677M,,,0.845M,348.01M,-340.05M,-0.10M,-280.00M,-280.10M,,,-43.78M,,,,2.918M,320.54M,659.12M,24.94M,684.06M,,0.00,-593.64M,,,
2007-09,38.12M,,-14.72M,,-14.72M,6.181M,6.181M,-4.61M,,,,,,9.793M,,,11.13M,,18.41M,29.54M,64.30M,-1.333M,,-1.333M,,,57.07M,-56.53M,-0.794M,0.00,65.00M,65.00M,,,-52.13M,,,,9.709M,-410.67M,1.006B,-347.16M,659.12M,,495.03M,-495.03M,,,
2007-06,22.86M,,-13.64M,,-12.27M,8.025M,8.025M,-7.26M,,,,,,22.72M,,,-9.171M,,-3.312M,18.63M,52.71M,-0.774M,,-0.774M,,,62.15M,-408.72M,-347.34M,495.03M,-278.90M,216.13M,,,-6.422M,,,,19.58M,736.04M,564.87M,441.40M,1.006B,,,495.03M,,,
2007-03,28.39M,,-12.25M,,-12.25M,6.858M,6.858M,2.533M,,,,,,19.00M,,,,,,-31.11M,13.41M,-4.068M,,-4.068M,,,54.88M,121.87M,172.68M,,-99.64M,-99.64M,,,-13.21M,,,,20.46M,-253.80M,632.58M,-67.71M,564.87M,,,,,,
2006-12,28.35M,,-11.80M,,-11.80M,3.936M,3.936M,-1.733M,,,,,,14.66M,,,0.371M,,10.38M,10.75M,44.16M,-2.914M,,-2.914M,,0.00,34.52M,-156.81M,-125.20M,,-126.23M,23.77M,,,-9.694M,,,,15.89M,113.13M,600.50M,32.08M,632.58M,,,,,,
2006-09,25.17M,,-0.37M,,-0.37M,6.424M,6.424M,-2.831M,,,,,,10.90M,,,6.889M,,2.887M,9.776M,49.07M,-7.479M,,-7.479M,,-3.994M,67.88M,-370.11M,-313.70M,,275.96M,275.96M,,,-17.02M,,,,5.865M,320.86M,544.27M,56.23M,600.50M,,,,,,
2006-06,13.59M,,-0.90M,,-0.90M,7.207M,7.207M,-5.224M,,,,,,14.94M,,,-12.80M,,-19.07M,8.431M,38.05M,-6.61M,,-6.61M,,,181.81M,-200.24M,-25.04M,,241.63M,241.63M,,,-35.51M,,,,9.805M,-18.73M,550.00M,-5.724M,544.27M,,,,,,
2006-03,22.27M,,0.061M,,0.061M,6.303M,6.303M,4.552M,,,,,,3.439M,,,,,,-40.30M,-3.674M,-3.694M,,-3.694M,,,76.77M,91.30M,164.37M,,12.70M,12.70M,,,-7.663M,,,,21.82M,-72.80M,462.10M,87.90M,550.00M,,,,,,
2005-12,25.65M,,-6.767M,,-6.767M,-4.926M,-4.926M,-1.425M,,,,,,4.435M,,,1.993M,,0.475M,12.55M,29.51M,-3.79M,,-3.79M,,,94.06M,-205.04M,-114.77M,,-111.76M,157.89M,,,10.18M,,,,,128.67M,418.69M,43.41M,462.10M,,,,,,
2005-09,23.06M,,-1.301M,,-1.301M,2.49M,2.49M,-0.875M,,,,,,3.648M,,,6.442M,,17.79M,14.16M,41.18M,-6.22M,,-6.22M,,,25.54M,-217.40M,-198.08M,,110.16M,110.16M,,,8.168M,,,,,37.35M,538.24M,-119.55M,418.69M,,,,,,
2005-06,20.90M,,1.631M,,1.631M,3.72M,3.72M,-1.496M,,,,,,10.10M,,,-6.442M,,-17.79M,-3.914M,30.94M,-4.662M,,-4.662M,,,-53.99M,-86.76M,-145.42M,,-0.497M,-0.497M,,,-3.786M,,,,-14.87M,197.70M,455.03M,83.21M,538.24M,,,,,,
2005-03,22.94M,,-1.202M,,-1.202M,0.39M,0.39M,2.806M,,,,,,7.332M,,,,,,-20.32M,11.94M,-3.583M,,-3.583M,,,-77.22M,-28.82M,-109.62M,,2.095M,2.095M,,,-28.22M,,,,14.87M,-74.50M,627.22M,-172.19M,455.03M,,,,,,
2004-12,20.79M,,-1.224M,,6.146M,2.954M,2.954M,3.194M,,,,,,-18.84M,,,4.646M,,8.20M,17.65M,31.89M,-2.607M,,-2.607M,,,-30.94M,-84.44M,-117.98M,,0.192M,0.192M,,,-26.08M,,,,16.85M,172.86M,540.45M,86.77M,627.22M,,,,,,
2004-09,15.39M,,-3.271M,,-10.64M,1.246M,1.246M,2.49M,,,,,,23.40M,,,0.735M,,7.448M,3.379M,35.26M,-2.562M,,-2.562M,,,-18.30M,-116.86M,-137.72M,,-33.33M,-33.33M,,,9.431M,,,,,8.347M,634.56M,-94.12M,540.45M,,,,,,
2004-06,13.67M,,2.558M,,2.558M,0.22M,0.22M,-2.313M,,,,,,-1.648M,,,4.268M,,7.515M,11.78M,24.27M,-1.976M,,-1.976M,,,-370.60M,-121.05M,-493.63M,,24.43M,24.43M,,,24.35M,,,,-4.71M,373.18M,690.42M,-96.18M,634.56M,,,,,,
2004-03,14.01M,,-1.322M,,-1.322M,2.266M,2.266M,2.201M,,,,,,5.723M,,,-5.003M,,-14.96M,-19.97M,2.912M,-1.276M,,-1.276M,,,-120.65M,-5.062M,-126.99M,,0.567M,0.567M,,,4.807M,,,,4.71M,19.50M,795.00M,-104.58M,690.42M,,,,,,
