,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2018-03,326.00M,,,105.00M,105.00M,93.00M,,15.00M,1.00M,,,-237.00M,-49.00M,1.00M,-312.00M,294.00M,,-16.00M,0.00,-16.00M,,,330.00M,17.00M,-776.00M,,-521.00M,-2.181B,-2.702B,,-48.00M,-48.00M,495.00M,495.00M,-118.00M,-19.00M,-137.00M,,-7.00M,31.00M,,1.52B,-451.00M,1.069B,,495.00M,51.00M,-572.00M,-48.00M,11.00M,159.00M,,AOR,Restated
2017-12,432.00M,4.00M,4.00M,106.00M,106.00M,132.00M,,19.00M,-51.00M,137.00M,-42.00M,,,-12.00M,72.00M,848.00M,,-49.00M,,-49.00M,,,-477.00M,-19.00M,-2.164B,,53.00M,3.236B,3.289B,,-137.00M,-137.00M,0.00,0.00,-87.00M,-19.00M,-106.00M,,0.00,1.642B,,1.194B,326.00M,1.52B,,0.00,118.00M,-65.00M,-137.00M,13.00M,102.00M,,AOR,Restated
2017-09,274.00M,-4.00M,-4.00M,96.00M,96.00M,24.00M,,21.00M,21.00M,-79.00M,102.00M,,,9.00M,89.00M,547.00M,,-32.00M,,-32.00M,,,-521.00M,28.00M,-1.122B,,672.00M,-2.703B,-2.031B,,-123.00M,-123.00M,0.00,0.00,-88.00M,-19.00M,-107.00M,-6.00M,10.00M,254.00M,,1.515B,-321.00M,1.194B,,0.00,712.00M,-40.00M,-123.00M,17.00M,122.00M,,AOR,Restated
2017-06,272.00M,,,0.00,0.00,32.00M,,54.00M,54.00M,-112.00M,128.00M,,,9.00M,-220.00M,163.00M,,-58.00M,,-58.00M,,,87.00M,15.00M,-844.00M,,-763.00M,3.271B,2.508B,,,,,,-87.00M,-19.00M,-106.00M,1.00M,-28.00M,886.00M,,1.31B,205.00M,1.515B,,,32.00M,-795.00M,,53.00M,99.00M,,AOR,Restated
2017-03,208.00M,,,211.00M,211.00M,-20.00M,,-2.00M,-2.00M,54.00M,-188.00M,,,41.00M,-69.00M,396.00M,,-55.00M,,-55.00M,,,-336.00M,-6.00M,-736.00M,,981.00M,-2.433B,-1.452B,,,,,,-87.00M,-19.00M,-106.00M,5.00M,3.00M,265.00M,,1.385B,-75.00M,1.31B,,,1.029B,-48.00M,,1.00M,86.00M,,AOR,Restated
2016-12,239.14M,-0.237M,-0.313M,80.56M,80.56M,183.09M,,17.43M,17.43M,169.45M,-144.50M,,,-72.51M,-67.82M,529.19M,,-56.31M,,-56.31M,,-479.78M,-1.984B,52.25M,-585.01M,,-543.90M,1.536B,992.58M,,0.00,0.00,0.064M,0.064M,-76.34M,-7.591M,-83.94M,-6.084M,22.21M,-220.96M,,1.662B,-276.78M,1.385B,,0.064M,46.36M,-590.25M,0.00,1.131M,81.64M,,AOR,Restated
2016-09,127.00M,-1.763M,-1.687M,91.20M,91.20M,-11.23M,,20.77M,20.77M,-72.12M,73.94M,,,-5.656M,109.31M,399.17M,,-43.84M,,-43.84M,,-133.22M,846.12M,-2.947M,-263.99M,,600.85M,-972.37M,-371.52M,,0.00,0.00,-0.051M,-0.051M,-56.57M,-18.54M,-75.11M,2.197M,-6.077M,659.58M,,867.18M,794.76M,1.662B,,-0.051M,1.030B,-429.00M,0.00,0.77M,51.93M,,AOR,Restated
2016-06,174.54M,,,103.15M,103.15M,-2.498M,,16.53M,16.53M,-56.27M,96.13M,,,7.132M,-221.38M,94.85M,,-7.689M,,-7.689M,,,-6.785M,1.778M,-1.007B,,-32.55M,1.483B,1.451B,,,,198.64M,198.64M,-55.89M,-19.87M,-75.77M,2.761M,5.832M,962.63M,,816.25M,50.93M,867.18M,,198.64M,27.73M,-60.28M,,2.048M,66.03M,,AOR,Restated
2016-03,171.31M,,,105.10M,105.10M,-4.366M,,11.27M,11.27M,-41.07M,-25.58M,,,-12.96M,-119.11M,191.79M,,-12.16M,,-12.16M,,,-263.99M,0.92M,-1.589B,,828.59M,-147.34M,681.25M,,,,386.35M,386.35M,-56.20M,-7.998M,-64.19M,1.126M,-0.967M,1.367B,,847.16M,-30.91M,816.25M,,386.35M,1.024B,-195.48M,,1.051M,41.40M,,AOR,Restated
2015-12,178.35M,-2.73M,-0.73M,78.21M,78.21M,58.04M,,11.86M,11.86M,-18.31M,-45.34M,,,12.08M,269.92M,632.17M,,-23.98M,,-23.98M,,-0.164M,-1.575B,9.419M,-1.669B,,763.40M,-852.07M,-88.67M,,-29.02M,-29.02M,0.00,0.00,-47.43M,-8.099M,-55.53M,14.35M,-9.078M,859.36M,,1.024B,-177.79M,847.00M,,0.00,904.96M,-141.56M,-29.02M,36.78M,95.59M,,AOR,Restated
2015-09,152.59M,-0.188M,-0.188M,94.83M,94.83M,-13.18M,,13.56M,13.56M,-40.22M,94.86M,,,15.39M,44.64M,314.73M,,-25.93M,,-25.93M,,0.00,-636.19M,-0.746M,-1.738B,,474.07M,-77.95M,396.12M,,-72.14M,-72.14M,,,-48.26M,-7.968M,-56.23M,-1.87M,6.492M,1.067B,,1.380B,-355.61M,1.024B,,,580.10M,-106.03M,-72.14M,29.24M,-12.97M,,AOR,Restated
2015-06,196.21M,-0.082M,-0.082M,72.29M,72.29M,38.60M,,14.48M,14.48M,-117.24M,-53.84M,,,-23.15M,-237.57M,104.35M,,-30.00M,,-30.00M,,0.00,430.02M,0.049M,-353.10M,,712.00M,-531.15M,180.85M,,-99.14M,-99.14M,0.00,0.00,-48.57M,-7.968M,-56.54M,2.717M,8.509M,728.84M,,899.88M,480.09M,1.380B,,0.00,751.33M,-39.33M,-99.14M,87.63M,40.71M,,AOR,Restated
2015-03,165.85M,,,95.66M,95.66M,-14.47M,,11.10M,11.10M,-58.23M,-30.67M,,,-9.318M,-296.99M,-18.26M,,-13.09M,,-13.09M,,-457.84M,-438.78M,1.278M,-1.169B,,245.53M,-357.83M,-112.30M,,-51.71M,-51.71M,0.00,0.00,-48.74M,-7.965M,-56.70M,3.80M,2.077M,866.37M,,1.221B,-320.69M,899.88M,,0.00,995.61M,-750.08M,-51.71M,0.353M,26.67M,,AOR,Restated
2014-12,163.61M,0.104M,0.104M,93.86M,93.86M,22.91M,0.00,10.01M,10.01M,-281.20M,220.41M,,,24.27M,-33.43M,259.56M,,-27.30M,,-27.30M,0.00,0.00,-518.73M,19.81M,-1.471B,,749.92M,-715.04M,34.88M,0.00,-34.71M,-34.71M,,,-45.68M,-7.963M,-53.64M,1.01M,2.266M,1.552B,,879.86M,340.70M,1.221B,,0.00,744.50M,5.424M,-34.71M,52.46M,33.41M,,AOR,Restated
2014-09,155.02M,-0.198M,12.01M,86.11M,86.11M,22.55M,0.00,10.86M,52.50M,-49.01M,46.58M,,,-15.92M,-80.24M,246.63M,,-9.687M,,-8.964M,-0.723M,705.09M,-126.54M,0.928M,-186.34M,,-500.08M,-444.73M,-944.80M,0.00,-52.73M,-52.73M,,,-38.67M,-7.962M,-46.63M,7.10M,1.963M,-398.88M,,1.218B,-338.59M,879.86M,,0.00,-494.50M,-5.574M,-52.73M,29.70M,28.40M,,AOR,Restated
2014-06,164.62M,-0.49M,-7.809M,70.85M,70.85M,-10.28M,0.00,13.37M,-1.988M,-86.18M,47.71M,,,-10.10M,-31.52M,226.64M,,-12.20M,,-11.98M,-0.223M,0.00,-596.01M,0.938M,-2.391B,,3.050B,116.58M,3.167B,0.00,-110.85M,-110.85M,,,-41.44M,-7.965M,-49.40M,6.084M,-3.281M,2.409B,,973.26M,245.19M,1.218B,,0.00,1.25B,1.800B,-110.85M,57.64M,34.34M,,AOR,Restated
2014-03,149.14M,-16.97M,-21.86M,82.02M,82.02M,,3.00M,9.418M,-13.86M,-21.97M,-32.64M,,,-4.866M,-76.52M,155.96M,,-10.61M,,-10.61M,,-13.45M,-226.38M,1.991M,-956.52M,,-1.499B,1.162B,-336.81M,2.597M,-136.14M,-133.54M,,,-41.15M,-7.964M,-49.11M,3.516M,3.687M,772.69M,,1.001B,-27.87M,973.26M,,2.597M,500.00M,-1.999B,-136.14M,0.114M,35.34M,,AOR,Restated
2013-12,158.17M,-1.239M,41.72M,71.23M,71.23M,,,9.364M,-122.06M,46.85M,-204.20M,,,38.59M,54.19M,199.95M,,-13.11M,,-13.11M,,,-1.886B,2.876M,-3.028B,,1.127B,699.10M,1.826B,,0.00,0.00,,,-41.56M,-7.959M,-49.52M,,-11.05M,2.721B,,1.108B,-106.53M,1.001B,,,-2.099B,3.226B,0.00,9.894M,38.89M,,AOR,Restated
2013-09,178.84M,-0.184M,-8.374M,74.95M,74.95M,,0.00,9.747M,118.42M,-21.20M,50.46M,,,6.76M,19.23M,404.21M,,-39.97M,,-39.97M,0.00,0.00,304.64M,2.182M,-606.84M,,98.64M,45.97M,144.62M,0.00,-16.20M,-16.20M,,,-41.48M,-7.967M,-49.44M,,4.46M,316.39M,,993.91M,113.75M,1.108B,,0.00,1.074B,-975.08M,-16.20M,149.24M,192.90M,,AOR,Restated
2013-06,151.00M,-0.61M,-14.02M,68.19M,68.19M,,0.00,9.875M,-26.25M,-3.296M,-47.30M,,,5.593M,-16.33M,197.18M,,-25.18M,,-25.18M,0.00,0.00,85.84M,5.327M,-90.24M,,749.92M,-45.01M,704.90M,0.00,-75.20M,-75.20M,,,-33.89M,-7.97M,-41.86M,,4.581M,58.28M,,828.69M,165.22M,993.91M,,0.00,2.10B,-1.350B,-75.20M,-52.95M,-114.27M,,AOR,Restated
2013-03,153.27M,-0.187M,-19.75M,67.18M,67.18M,,0.00,8.021M,66.90M,-11.85M,-134.70M,,,4.685M,-93.30M,211.91M,,-23.94M,,-23.94M,,0.00,100.04M,4.187M,-515.68M,,-827.57M,154.49M,-673.08M,0.00,-33.60M,-33.60M,,,-33.68M,-7.973M,-41.66M,,1.781M,-130.35M,,1.263B,-434.12M,828.69M,,0.00,175.00M,-1.003B,-33.60M,3.254M,38.31M,,AOR,Restated
2012-12,157.55M,-0.876M,-26.82M,66.53M,66.53M,,0.192M,7.915M,44.86M,-15.12M,43.64M,,,0.765M,37.77M,327.45M,,-46.78M,,-46.78M,,-0.052M,40.86M,7.889M,529.56M,,870.96M,-648.71M,222.25M,,-83.58M,-83.58M,,,-34.22M,-7.983M,-42.20M,,-2.532M,-391.80M,,797.60M,465.20M,1.263B,,,1.70B,-829.04M,-83.58M,0.808M,51.63M,,AOR,Restated
2012-09,167.77M,-4.285M,-17.67M,69.16M,69.16M,,0.00,7.138M,-49.64M,312.96M,-405.10M,,,-38.13M,-99.86M,113.90M,,-27.38M,,-27.38M,,0.00,-36.54M,8.142M,-108.38M,,-1.065B,40.11M,-1.025B,,-25.07M,-25.07M,,,-34.28M,-7.984M,-42.27M,,0.169M,-426.52M,,1.219B,-420.99M,797.60M,,,0.00,-1.065B,-25.07M,0.878M,51.84M,,AOR,Restated
2012-06,152.71M,-0.603M,-11.52M,68.15M,68.15M,,0.00,7.517M,-133.07M,205.30M,-106.83M,,,5.826M,163.20M,283.50M,,-26.14M,,-26.14M,,0.00,273.75M,10.02M,-700.88M,,-58.08M,-401.99M,-460.07M,,-40.23M,-40.23M,,,-34.47M,-8.049M,-42.52M,,-0.552M,524.75M,,1.111B,107.37M,1.219B,,,815.00M,-873.08M,-40.23M,1.586M,55.07M,,AOR,Restated
2012-03,153.27M,-0.624M,-9.804M,70.72M,70.72M,,-11.41M,5.303M,54.74M,-44.80M,-23.52M,,,-13.76M,-19.96M,277.27M,,-29.34M,,-29.34M,,40.31M,-755.91M,8.97M,-803.28M,,-522.88M,70.61M,-452.27M,,0.00,0.00,,,-34.65M,-7.703M,-42.35M,,-0.322M,521.26M,,1.116B,-4.751M,1.111B,,,0.00,-522.88M,0.00,3.117M,73.35M,,AOR,Restated
2011-12,126.86M,-103.38M,-539.77M,69.02M,69.02M,-54.28M,-5.711M,,355.39M,,,,,,,208.07M,,-41.33M,-50.46M,-91.79M,,0.00,605.71M,73.93M,-686.74M,,161.07M,-774.24M,-613.17M,,,0.00,,,-34.55M,-7.703M,-42.25M,0.00,-3.014M,-595.64M,,2.190B,-1.074B,1.116B,,,350.00M,-188.93M,,11.70M,80.30M,,AOR,Restated
2011-09,143.39M,13.06M,-81.14M,70.28M,70.28M,13.39M,1.364M,,5.482M,,,,,,,196.36M,,-30.60M,14.28M,-16.33M,,0.00,-575.40M,-10.98M,-543.01M,,-419.48M,176.20M,-243.28M,,,0.00,,,-9.798M,-7.703M,-17.50M,0.00,-0.681M,1.553B,,983.88M,1.206B,2.190B,,,0.00,-419.48M,,25.55M,55.72M,,AOR,Restated
2011-06,145.92M,65.72M,-3.819M,69.57M,69.57M,18.20M,4.347M,,165.39M,,,,,,,435.39M,,-45.24M,-8.416M,-53.66M,,0.00,589.26M,0.03M,-416.64M,,-199.91M,-56.14M,-256.05M,,,0.00,,,-8.626M,-7.704M,-16.33M,0.00,-0.062M,-243.70M,,1.209B,-224.94M,983.88M,,,200.00M,-399.91M,,30.78M,99.28M,,AOR,Restated
2011-03,126.45M,20.92M,602.84M,73.23M,73.23M,22.69M,,,-119.64M,,,,,,,754.96M,,-26.59M,44.60M,18.01M,,0.00,618.58M,0.092M,341.68M,,-259.06M,73.84M,-185.22M,,,,,,-8.618M,-7.703M,-16.32M,-49.10M,0.035M,-735.71M,,847.89M,360.93M,1.209B,,,,-259.06M,,12.03M,121.91M,,AOR,Restated
2010-12,122.90M,55.29M,-120.38M,77.12M,77.12M,-175.72M,,,-177.55M,,,,,,,-25.29M,,-22.25M,52.57M,30.32M,,,-350.47M,1.853M,-942.27M,,202.49M,235.39M,437.88M,,,,,,-7.161M,-32.36M,-39.52M,0.00,0.016M,676.22M,,1.139B,-291.34M,847.89M,,,358.18M,-155.69M,,-27.12M,117.68M,,AOR,Restated
2010-09,100.95M,-31.82M,-332.90M,73.11M,73.11M,52.28M,,,68.87M,,,,,,,81.47M,,-13.83M,38.99M,25.16M,,,-858.56M,0.475M,-1.271B,,-704.98M,726.97M,21.98M,,,,,,-7.19M,-25.18M,-32.37M,0.00,-0.243M,1.203B,,1.126B,13.45M,1.139B,,,0.00,-704.98M,,0.308M,125.85M,,AOR,Restated
2010-06,48.76M,43.60M,-41.29M,66.23M,66.23M,161.59M,,,39.82M,,,,,,,468.52M,,-18.89M,52.43M,33.54M,,,200.38M,0.843M,-437.73M,,220.74M,52.77M,273.51M,,,,,,-7.103M,-25.18M,-32.28M,0.00,-0.062M,-215.65M,,1.311B,-184.86M,1.126B,,,450.00M,-229.26M,,148.15M,149.15M,,AOR,Restated
2010-03,39.74M,-66.81M,64.38M,69.73M,69.73M,-38.15M,,,-54.57M,,,,,,,316.13M,,-13.23M,4.242M,-8.991M,,,-191.89M,0.599M,-125.50M,,-289.41M,113.77M,-175.64M,,,,,,-7.144M,-25.18M,-32.32M,0.00,0.242M,-401.34M,,1.521B,-210.70M,1.311B,,,,-289.41M,,0.06M,160.27M,,AOR,Restated
2009-12,-369.69M,-818.40M,-46.53M,67.57M,67.57M,243.48M,0.00,,-189.52M,,,,,,,127.71M,,-16.67M,71.72M,55.04M,,,-97.53M,-46.85M,-71.11M,,-1.149B,97.80M,-1.051B,-0.017M,,-0.017M,,,-5.677M,-25.18M,-30.86M,,-0.041M,-417.37M,,1.882B,-360.76M,1.521B,,-0.017M,1.108M,-774.84M,,0.18M,183.43M,,AOR,Restated
2009-09,-166.19M,-25.45M,9.611M,54.86M,54.86M,-89.52M,0.00,,6.083M,,,,,,,289.98M,,-11.46M,-25.91M,-37.37M,,,-2.538B,48.77M,-1.809B,,-85.07M,174.72M,89.65M,587.34M,,587.34M,,,-5.569M,-25.18M,-30.75M,,-0.085M,1.309B,,2.093B,-210.50M,1.882B,,587.34M,5.203M,84.44M,,1.648M,200.64M,,AOR,Restated
2009-06,-125.10M,-12.37M,-97.49M,51.85M,51.85M,-12.79M,4.231M,,254.58M,,,,,,,489.00M,,-6.167M,18.32M,12.15M,,,-1.183B,2.329M,-582.16M,,-457.60M,-252.26M,-709.85M,548.33M,,548.33M,,,-3.523M,-27.14M,-30.67M,,0.241M,-87.06M,,2.273B,-180.23M,2.093B,,548.33M,0.00,-709.85M,,-0.038M,228.78M,,AOR,Restated
2009-03,-2.433B,856.22M,735.07M,53.76M,53.76M,-141.17M,2.603B,,-49.43M,,,,,,,1.060B,,-15.05M,7.596M,-7.452M,,,22.14M,0.371M,867.17M,,-1.258B,-297.47M,-1.556B,,,,,,-40.26M,-29.76M,-70.02M,,-0.313M,-498.58M,,844.67M,1.428B,2.273B,,,799.28M,-2.355B,,110.62M,256.65M,,AOR,Restated
2008-12,-417.29M,,,63.61M,63.61M,-251.83M,,,-306.05M,,-0.21M,,,-204.06M,-111.29M,264.73M,,-15.06M,,-15.06M,,,53.28M,1.321B,-756.88M,,-1.076B,-469.29M,-1.545B,,,,,1.397B,,,-59.72M,,-0.204M,166.06M,,1.171B,-326.09M,844.67M,,,308.18M,-2.700B,,,,,AOR,
2008-09,75.06M,,,62.01M,62.01M,7.176M,,,103.10M,,0.21M,,,181.60M,445.30M,692.65M,,-13.77M,,-13.77M,,,53.39M,-244.31M,-204.69M,,276.15M,-333.78M,-57.63M,,,,,-0.715M,,,-59.51M,,-0.436M,-675.36M,,1.358B,-187.39M,1.171B,,,603.22M,-327.07M,,,,,,
2008-06,101.35M,,,60.12M,60.12M,-143.11M,,,154.97M,,,,,,112.08M,285.40M,,-17.49M,,-17.49M,,,-582.71M,-102.66M,-702.86M,,68.34M,-1.049B,-981.08M,,,,,550.85M,,,-86.82M,,-0.15M,-505.64M,,2.281B,-923.09M,1.358B,,,1.238B,-1.170B,,,,,,
2008-03,127.07M,,,59.12M,59.12M,135.94M,,,47.98M,,,,,,-375.57M,-5.46M,,-13.63M,,-13.63M,,,79.72M,-1.101B,-1.035B,,506.30M,536.34M,1.043B,,,,,,,,-96.80M,,-0.283M,1.313B,,2.009B,272.00M,2.281B,,,602.77M,-96.47M,,,,,,
2007-12,-239.28M,,,46.92M,46.92M,-77.72M,,,-159.69M,,-63.98M,,,2.026B,965.35M,1.086B,,-58.46M,,-58.46M,,-31.24M,-161.99M,1.199B,-879.74M,,317.29M,616.52M,933.81M,,,,,,,,-96.19M,,-0.80M,169.54M,,1.633B,376.02M,2.009B,,,2.216B,-434.15M,,,,,,Restated
2007-09,138.20M,,,39.06M,39.06M,31.85M,,,121.42M,,12.52M,,,-1.289B,-1.276B,-945.91M,,2.042M,,2.042M,,-48.82M,326.14M,-402.20M,-122.84M,,482.72M,-336.73M,145.99M,,,,,,,,-69.56M,,5.522M,1.026B,,1.676B,-42.73M,1.633B,,,1.251B,-768.37M,,,,,,
2007-06,80.52M,,,20.05M,20.05M,-64.59M,,,5.849M,,-82.92M,,,-622.93M,-705.85M,-664.02M,,-46.79M,,-46.79M,,,-71.08M,-646.76M,-764.62M,,279.92M,1.283B,1.563B,,,,,,,,-62.46M,,12.73M,1.535B,,1.569B,106.75M,1.676B,,,900.01M,-620.09M,,,,,,
2007-03,95.73M,,,21.23M,21.23M,-46.71M,,,32.43M,,134.38M,,,-56.13M,78.26M,180.93M,,-6.24M,,-6.24M,,,523.25M,-155.17M,361.84M,,130.57M,-98.46M,32.11M,,,,,,,,-61.54M,,-0.456M,-494.31M,,1.521B,48.46M,1.569B,,,200.60M,-70.03M,,,,,,
2006-12,87.72M,15.80M,15.80M,23.25M,23.25M,-121.88M,,,184.78M,,,,,,-9.739M,179.93M,,39.78M,,121.24M,,-5.735M,271.10M,43.55M,430.15M,,-624.16M,143.68M,-480.48M,,,-103.78M,,,,,-69.21M,,40.94M,-307.84M,,1.219B,302.24M,1.521B,,,205.16M,-829.32M,,,,,,
2006-09,157.45M,57.33M,58.31M,27.06M,27.06M,-42.34M,,,-66.63M,,,,,,8.186M,142.03M,,-20.30M,,-20.30M,,0.00,552.71M,-22.93M,509.48M,,-170.60M,-593.43M,-764.03M,,,11.63M,,,,,-58.81M,,0.236M,-674.72M,,1.242B,-23.21M,1.219B,,,150.00M,-320.60M,,,,,,
2006-06,111.60M,0.055M,-0.925M,29.73M,29.73M,-64.38M,,,-191.26M,,,,,,-7.526M,-122.75M,,-19.48M,,-59.96M,,0.00,-115.99M,-138.42M,-314.36M,,293.03M,438.40M,731.43M,,,-184.26M,,,,,-61.42M,,0.668M,532.47M,,1.146B,95.36M,1.242B,,,1.69B,-1.397B,,,,,,
2006-03,104.46M,,,31.61M,31.61M,-59.45M,,,-10.73M,,,,,,-40.64M,25.25M,,,,40.48M,,66.51M,-289.93M,-31.03M,-213.97M,,269.50M,-280.86M,-11.36M,,,-102.44M,,,,,-41.68M,,,294.30M,,1.041B,105.58M,1.146B,,,1.657B,-1.388B,,,,,,
2005-12,100.57M,8.77M,7.559M,52.44M,52.44M,-22.69M,,,247.70M,,,,,,-43.80M,341.78M,,10.71M,,10.71M,,,-275.53M,324.30M,59.48M,,-518.42M,386.69M,-131.73M,,,-120.38M,,,,,-58.21M,,,-242.23M,,881.75M,159.03M,1.041B,,,0.00,-518.42M,,,,,,
