,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,TotalCurrentAssets,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,GrossLoans,AllowforLoan/LeaseLoss,NetLoanAssets,LongTermInvestments,TotalLongTermAssets,TotalAssets,,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,TotalDeposits,MinorityInterestOwnership,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,UnrealizedGainorLoss-Total,MinimumPensionLiabilities,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-06,1.382B,1.423B,14.07B,15.49B,,2.239B,2.239B,17.73B,,,,,,,840.00M,1.993B,567.00M,2.56B,73.12B,741.00M,72.37B,23.43B,99.21B,105.36B,,,,2.131B,2.131B,2.442B,2.442B,2.442B,4.573B,9.726B,,9.726B,79.59B,,89.31B,93.89B,,1.214B,990.00M,10.04B,40.00M,1.203B,,,,-730.00M,11.47B,,AOR,Restated
2018-03,1.069B,1.115B,14.61B,15.72B,,2.201B,2.201B,17.92B,,,,,,,847.00M,1.993B,579.00M,2.572B,71.67B,721.00M,70.95B,24.08B,98.45B,104.25B,,,,1.995B,1.995B,2.854B,2.854B,2.854B,4.849B,8.618B,,8.618B,79.47B,,88.09B,92.94B,,1.214B,780.00M,10.02B,34.00M,1.203B,,,,-677.00M,11.31B,,AOR,Restated
2017-12,1.212B,1.567B,14.87B,16.44B,,,,16.44B,193.00M,563.00M,746.00M,240.00M,1.742B,-878.00M,864.00M,1.993B,584.00M,2.577B,70.60B,691.00M,69.91B,24.65B,100.15B,104.18B,,,,,,3.738B,3.738B,3.738B,5.056B,9.206B,,9.206B,77.04B,,86.25B,93.37B,,1.082B,588.00M,9.707B,35.00M,1.071B,,,,-528.00M,10.81B,,AOR,Restated
2017-09,1.194B,1.244B,15.45B,16.70B,,2.055B,2.055B,18.75B,,,,,,,853.29M,1.993B,589.59M,2.582B,69.24B,675.49M,68.56B,24.23B,96.23B,101.99B,,,,1.814B,1.814B,1.830B,1.830B,1.830B,3.643B,9.201B,,9.201B,78.45B,,87.65B,91.29B,,1.082B,201.22M,9.821B,35.13M,1.071B,,,,-369.96M,10.70B,,AOR,Restated
2017-06,1.515B,1.593B,15.39B,16.98B,,2.016B,2.016B,19.00B,,,,,,,855.35M,1.993B,598.52M,2.591B,68.81B,668.00M,68.14B,23.76B,95.35B,101.41B,,,,1.730B,1.730B,4.553B,4.553B,4.553B,6.283B,8.536B,,8.536B,75.93B,,84.47B,90.75B,,1.082B,33.56M,9.920B,31.29M,1.071B,,,,-350.36M,10.65B,,AOR,Restated
2017-03,1.309B,1.372B,16.17B,17.55B,,2.018B,2.018B,19.56B,,,,,,,852.58M,1.993B,615.78M,2.609B,67.62B,672.58M,66.94B,23.80B,94.21B,100.05B,,,,1.643B,1.643B,1.263B,1.263B,1.263B,2.907B,9.279B,,9.279B,77.42B,,86.70B,89.61B,,1.082B,-126.24M,9.899B,26.76M,1.071B,,,,-390.86M,10.44B,,AOR,Restated
2016-12,1.385B,1.443B,15.56B,17.01B,,2.062B,2.062B,19.07B,199.00M,523.00M,722.00M,265.00M,1.709B,-893.00M,816.00M,1.993B,628.00M,2.621B,67.48B,638.00M,66.84B,23.50B,93.78B,99.71B,,,,1.796B,1.796B,2.445B,2.445B,2.445B,5.489B,8.309B,,8.309B,75.61B,,83.92B,89.41B,,1.082B,-227.00M,9.881B,27.00M,1.071B,,,,-401.00M,10.31B,,AOR,Restated
2016-09,1.662B,1.713B,16.47B,18.18B,,2.277B,2.277B,20.46B,,,,,,,828.44M,2.004B,609.71M,2.614B,69.72B,616.90M,69.10B,21.81B,94.35B,100.77B,,,,1.827B,1.827B,2.148B,2.148B,2.148B,3.975B,8.999B,,8.999B,77.41B,,86.40B,90.38B,,1.082B,-359.38M,9.863B,26.93M,1.071B,,,,-172.18M,10.39B,,AOR,Restated
2016-06,867.18M,912.08M,9.653B,10.57B,,1.729B,1.729B,12.29B,,,,,,,596.64M,676.87M,207.13M,884.00M,53.33B,623.06M,52.71B,15.35B,69.53B,73.95B,,,,1.517B,1.517B,1.957B,1.957B,1.957B,3.473B,7.930B,,7.930B,55.04B,,62.97B,66.45B,,979.29M,-390.84M,7.074B,21.36M,971.28M,,,,-134.04M,7.507B,,AOR,Restated
2016-03,816.25M,882.92M,9.319B,10.20B,,1.682B,1.682B,11.88B,,,,,,,611.60M,676.87M,219.91M,896.78M,52.11B,613.72M,51.49B,15.31B,68.31B,72.64B,,,,1.452B,1.452B,471.38M,471.38M,471.38M,1.923B,7.935B,,7.935B,55.63B,,63.56B,65.49B,,780.63M,-487.72M,7.050B,18.42M,772.64M,,,,-167.29M,7.158B,,AOR,Restated
2015-12,847.16M,898.99M,8.775B,9.674B,,1.630B,1.630B,11.30B,140.41M,366.96M,647.77M,246.22M,1.401B,-780.83M,620.54M,676.87M,244.22M,921.08M,50.82B,597.84M,50.22B,14.97B,66.73B,71.02B,,,,1.472B,1.472B,14.01M,14.01M,14.01M,2.087B,7.041B,,7.041B,55.29B,,62.34B,64.42B,,394.26M,-594.07M,7.039B,17.93M,386.29M,,,,-226.16M,6.595B,,AOR,Restated
2015-09,1.024B,1.090B,11.09B,12.19B,,1.985B,1.985B,14.17B,,,,,,,620.52M,676.87M,58.79M,735.66M,50.33B,591.94M,49.74B,14.29B,65.39B,70.21B,,,,1.570B,1.570B,1.454B,1.454B,1.454B,3.023B,6.359B,,6.359B,54.24B,,60.60B,63.63B,,394.28M,-708.34M,7.054B,17.46M,386.29M,,,,-139.74M,6.583B,,AOR,Restated
2015-06,1.380B,1.451B,10.25B,11.71B,,1.983B,1.983B,13.69B,,,,,,,615.44M,678.37M,62.70M,741.07M,49.30B,599.54M,48.70B,13.62B,63.68B,68.85B,,,,1.510B,1.510B,1.511B,1.511B,1.511B,3.022B,5.855B,,5.855B,53.47B,,59.33B,62.35B,,394.34M,-804.88M,7.109B,17.04M,386.29M,,,,-185.65M,6.496B,,AOR,Restated
2015-03,899.88M,973.91M,9.922B,10.90B,,1.927B,1.927B,12.82B,,,,,,,607.26M,678.37M,72.66M,751.03M,49.32B,605.13M,48.71B,13.31B,63.38B,68.00B,,,,1.542B,1.542B,2.007B,2.007B,2.007B,3.549B,5.159B,,5.159B,52.83B,,57.99B,61.54B,,394.39M,-943.52M,7.186B,13.85M,386.29M,,,,-160.83M,6.462B,,AOR,Restated
2014-12,1.221B,1.285B,9.385B,10.67B,,1.807B,1.807B,12.48B,137.70M,367.22M,627.31M,235.28M,1.368B,-751.11M,616.41M,522.54M,74.67M,597.21M,48.07B,605.20M,47.47B,12.81B,61.49B,66.30B,,,,1.505B,1.505B,1.339B,1.339B,1.339B,3.902B,4.336B,,4.336B,51.73B,,56.07B,59.97B,,394.42M,-1.052B,7.222B,13.38M,386.29M,,,,-222.29M,6.328B,,AOR,Restated
2014-09,879.86M,952.76M,8.722B,9.675B,,1.665B,1.665B,11.34B,,,,,,,613.21M,522.54M,85.32M,607.86M,47.13B,631.04M,46.50B,12.28B,60.01B,64.33B,,,,1.161B,1.161B,1.531B,1.531B,1.531B,2.692B,5.225B,,5.225B,50.13B,,55.35B,58.05B,,394.45M,-1.159B,7.244B,12.94M,386.29M,,,,-182.02M,6.284B,,AOR,Restated
2014-06,1.218B,1.288B,8.491B,9.779B,,1.680B,1.680B,11.46B,,,,,,,622.29M,505.45M,81.46M,586.91M,46.40B,635.10M,45.76B,12.16B,59.14B,63.80B,,,,1.086B,1.086B,1.252B,1.252B,1.252B,2.338B,6.469B,,6.469B,48.75B,,55.22B,57.56B,,394.47M,-1.264B,7.279B,9.071M,386.29M,,,,-159.73M,6.241B,,AOR,Restated
2014-03,973.26M,1.044B,7.755B,8.799B,,1.647B,1.647B,10.45B,,,,,,,628.97M,505.45M,90.76M,596.20M,44.65B,631.92M,44.02B,11.53B,56.77B,61.15B,,,,1.066B,1.066B,1.398B,1.398B,1.398B,2.464B,3.157B,,3.157B,49.35B,,52.51B,54.97B,,394.58M,-1.380B,7.372B,8.793M,386.29M,,,,-201.75M,6.176B,,AOR,Restated
2013-12,1.001B,1.058B,7.309B,8.367B,,1.610B,1.610B,9.977B,129.54M,356.56M,669.48M,227.76M,1.383B,-748.69M,634.66M,444.27M,93.19M,537.46M,43.45B,647.87M,42.80B,11.18B,55.15B,59.47B,,,,1.060B,1.060B,1.804B,1.804B,1.804B,3.412B,2.458B,,2.458B,47.51B,,49.96B,53.38B,,394.61M,-1.479B,7.399B,9.643M,386.29M,,,,-214.01M,6.090B,,AOR,Restated
2013-09,1.108B,1.171B,6.447B,7.617B,,1.664B,1.664B,9.282B,,,,,,,639.63M,444.27M,103.51M,547.78M,42.90B,666.03M,42.24B,8.757B,52.18B,56.65B,,,,1.112B,1.112B,660.93M,660.93M,660.93M,1.773B,2.350B,,2.350B,46.56B,,48.91B,50.69B,,394.61M,-1.578B,7.387B,10.89M,386.29M,,,,-230.77M,5.962B,,AOR,Restated
2013-06,993.91M,1.071B,6.816B,7.886B,,1.704B,1.704B,9.590B,,,,,,,626.74M,444.27M,113.87M,558.14M,42.20B,733.08M,41.47B,9.069B,51.72B,56.11B,,,,1.115B,1.115B,630.40M,630.40M,630.40M,1.746B,2.253B,,2.253B,46.33B,,48.58B,50.33B,,394.60M,-1.707B,7.390B,10.72M,386.29M,,,,-283.74M,5.784B,,AOR,Restated
2013-03,828.69M,900.00M,7.505B,8.405B,,1.805B,1.805B,10.21B,,,,,,,620.83M,444.27M,124.24M,568.50M,42.01B,746.77M,41.27B,9.284B,51.74B,56.05B,,,,1.060B,1.060B,732.70M,732.70M,732.70M,1.792B,1.528B,,1.528B,46.87B,,48.40B,50.19B,,394.69M,-1.808B,7.451B,11.14M,386.29M,,,,-159.96M,5.867B,,AOR,Restated
2012-12,1.263B,1.334B,7.566B,8.900B,,1.905B,1.905B,10.80B,127.28M,393.67M,690.56M,177.40M,1.389B,-771.65M,617.26M,444.27M,132.16M,576.42M,41.49B,769.08M,40.72B,9.401B,51.32B,56.15B,,,,1.156B,1.156B,13.92M,13.92M,13.92M,1.745B,2.365B,,2.365B,46.25B,,48.62B,50.36B,,394.73M,-1.918B,7.475B,10.92M,386.29M,,,,-150.82M,5.790B,,AOR,Restated
2012-09,,863.24M,,863.24M,,,,863.24M,,,,,,,590.75M,444.27M,143.80M,588.07M,42.11B,789.14M,41.32B,9.453B,53.99B,56.44B,,,,1.133B,1.133B,1.260B,1.260B,1.260B,2.393B,1.501B,,1.501B,46.74B,,48.24B,50.64B,,394.86M,-2.043B,7.552B,10.82M,386.29M,,,,-84.54M,5.808B,,AOR,Restated
2012-06,,1.307B,,1.307B,,,,1.307B,,,,,,,583.06M,444.27M,159.20M,603.46M,42.08B,859.65M,41.22B,9.319B,53.74B,56.62B,,,,1.128B,1.128B,1.206B,1.206B,1.206B,2.334B,2.564B,,2.564B,46.08B,,48.64B,50.97B,,394.89M,-2.169B,7.569B,10.39M,386.29M,,,,-135.98M,5.649B,,AOR,Restated
2012-03,,1.263B,,1.263B,,,,1.263B,,,,,,,577.54M,444.27M,171.14M,615.40M,40.99B,913.07M,40.08B,9.591B,53.05B,55.88B,,,,1.204B,1.204B,1.504B,1.504B,1.504B,2.708B,2.609B,,2.609B,45.01B,,47.62B,50.33B,,394.95M,-2.279B,7.602B,10.23M,386.29M,,,,-157.82M,5.550B,,AOR,Restated
2011-12,1.116B,1.207B,8.078B,9.285B,,2.168B,2.168B,11.45B,123.31M,375.60M,635.18M,218.96M,1.353B,-788.62M,564.43M,444.27M,175.30M,619.57M,40.54B,964.83M,39.58B,8.764B,49.53B,54.45B,,,,1.214B,1.214B,6.782M,6.782M,6.782M,2.655B,3.098B,,3.098B,43.28B,,46.38B,49.03B,,394.95M,-2.390B,7.597B,10.26M,386.29M,,,,-173.76M,5.418B,,AOR,Restated
2011-09,,2.296B,,2.296B,,,,2.296B,,,,,,,543.32M,444.27M,188.48M,632.74M,39.35B,1.020B,38.33B,9.457B,51.19B,54.98B,,,,1.161B,1.161B,2.225B,2.225B,2.225B,3.386B,2.973B,,2.973B,43.22B,,46.19B,49.58B,,371.16M,-2.474B,7.594B,10.16M,362.51M,,,,-80.40M,5.400B,,AOR,Restated
2011-06,,1.101B,,1.101B,,,,1.101B,,,,,,,528.59M,444.27M,201.86M,646.13M,39.35B,1.071B,38.28B,8.869B,50.47B,53.05B,,,,1.020B,1.020B,2.023B,2.023B,2.023B,3.043B,3.352B,,3.352B,41.40B,,44.75B,47.80B,,371.15M,-2.575B,7.588B,9.357M,362.51M,,,,-122.54M,5.253B,,AOR,Restated
2011-03,,1.339B,,1.339B,,,,1.339B,,,,,,,500.74M,444.27M,215.25M,659.52M,24.82B,1.133B,23.69B,9.487B,50.14B,52.95B,,,,1.083B,1.083B,2.051B,2.051B,2.051B,3.134B,3.410B,,3.410B,41.37B,,44.78B,47.91B,,371.15M,-2.704B,7.584B,8.647M,362.51M,,,,-203.92M,5.039B,,AOR,Restated
2010-12,,982.93M,,982.93M,,,,982.93M,120.07M,367.00M,613.30M,204.83M,1.305B,-813.60M,491.60M,444.27M,228.62M,672.89M,38.90B,1.249B,37.65B,10.08B,51.34B,53.82B,,,,1.131B,1.131B,2.041B,2.041B,2.041B,3.171B,3.814B,,3.814B,41.85B,,45.67B,48.84B,,371.15M,-2.814B,7.630B,8.771M,362.51M,,,,-197.50M,4.981B,,AOR,Restated
2010-09,,1.413B,,1.413B,,,,1.413B,,,,,,,489.35M,444.27M,243.67M,687.93M,38.25B,1.336B,36.91B,9.862B,50.38B,53.25B,,,,1.129B,1.129B,1.859B,1.859B,1.859B,2.988B,3.619B,,3.619B,41.07B,,44.69B,47.68B,,1.707B,-2.846B,6.744B,8.969M,1.700B,,,,-28.40M,5.567B,,AOR,Restated
2010-06,,1.415B,,1.415B,,,,1.415B,,,,,,,492.86M,444.27M,258.81M,703.08M,37.75B,1.402B,36.35B,8.911B,48.92B,51.77B,,,,1.026B,1.026B,1.093B,1.093B,1.093B,2.119B,4.365B,,4.365B,39.85B,,44.21B,46.33B,,1.703B,-2.910B,6.739B,9.235M,1.696B,,,,-84.40M,5.438B,,AOR,Restated
2010-03,,1.675B,,1.675B,,,,1.675B,,,,,,,491.57M,444.27M,273.95M,718.22M,37.26B,1.478B,35.78B,9.097B,48.77B,51.87B,,,,1.060B,1.060B,980.84M,980.84M,980.84M,2.041B,4.153B,,4.153B,40.30B,,44.46B,46.50B,,1.699B,-2.922B,6.735B,9.019M,1.692B,,,,-133.47M,5.370B,,AOR,Restated
2009-12,,1.841B,,1.841B,,,,1.841B,118.88M,355.35M,571.31M,194.40M,1.240B,-743.92M,496.02M,444.27M,289.10M,733.37M,37.25B,1.482B,35.77B,8.672B,48.30B,51.55B,,,,1.046B,1.046B,876.24M,876.24M,876.24M,1.922B,3.803B,,3.803B,40.49B,,44.30B,46.22B,,369.67M,-2.922B,6.732B,11.46M,362.51M,,,,-156.98M,5.336B,,AOR,Restated
2009-09,,2.280B,,2.280B,,,,2.280B,,,,,,,496.28M,443.65M,302.61M,746.26M,37.83B,1.032B,36.80B,8.625B,48.83B,52.51B,,,,1.127B,1.127B,852.08M,852.08M,852.08M,1.980B,5.029B,,5.029B,39.83B,,44.86B,46.84B,,1.691B,-2.516B,6.724B,11.83M,1.683B,-52.70M,-159.14M,,-211.84M,5.675B,,AOR,Restated
2009-06,,2.476B,,2.476B,,,,2.476B,,,,,,,503.88M,447.88M,322.47M,770.35M,39.05B,917.68M,38.14B,6.031B,47.53B,51.40B,,,,1.042B,1.042B,862.06M,862.06M,862.06M,1.904B,5.108B,,5.108B,39.17B,,44.27B,46.18B,,1.685B,-2.313B,6.135B,12.22M,1.679B,-112.90M,-160.62M,,-273.52M,5.221B,,AOR,Restated
2009-03,,2.656B,,2.656B,,,,2.656B,,,,,,,517.13M,452.11M,339.57M,791.68M,40.03B,838.55M,39.19B,4.992B,47.67B,51.70B,,,,1.164B,1.164B,1.055B,1.055B,1.055B,2.219B,5.598B,,5.598B,39.07B,,44.67B,46.89B,,1.772B,-2.129B,5.465B,14.22M,1.768B,-117.49M,,-162.10M,-279.59M,4.815B,,AOR,Restated
2008-12,,1.099B,,1.099B,,,,1.137B,119.04M,352.29M,557.65M,185.28M,1.214B,-694.77M,519.50M,3.055B,356.70M,3.412B,41.48B,900.23M,40.58B,4.473B,51.85B,54.35B,,,,1.003B,1.003B,1.309B,1.309B,1.309B,2.312B,6.871B,,6.871B,37.94B,,44.81B,47.13B,,1.881B,365.60M,5.322B,15.53M,1.878B,-163.12M,-163.58M,,-326.69M,7.227B,,AOR,
2008-09,,1.200B,,1.200B,,,,1.469B,,,,,,,527.80M,,,3.432B,41.48B,720.74M,40.76B,5.563B,53.19B,54.66B,,,,,,1.974B,1.974B,1.974B,1.974B,7.845B,,7.845B,37.57B,,45.41B,48.29B,,572.67M,855.03M,5.228B,15.50M,569.00M,,,,-266.68M,6.374B,,,
2008-06,,1.474B,,1.474B,,,,1.672B,,,,,,,533.79M,,,3.452B,41.41B,679.40M,40.73B,5.885B,53.66B,55.33B,,,,,,2.313B,2.313B,2.313B,2.313B,7.546B,,7.546B,38.12B,,45.67B,48.95B,,572.67M,840.62M,5.226B,15.22M,569.00M,,,,-243.12M,6.381B,,,
2008-03,,1.496B,,1.496B,,,,2.534B,,,,,,,544.72M,,,3.456B,41.65B,627.62M,41.02B,5.560B,53.52B,56.05B,,,,,,3.337B,3.337B,3.337B,3.337B,7.522B,,7.522B,38.12B,,45.64B,50.15B,,3.67M,798.93M,5.241B,14.83M,,,,,-122.22M,5.907B,,,
2007-12,,1.757B,,1.757B,,,,2.349B,122.22M,355.56M,565.30M,176.95M,1.220B,-662.47M,557.56M,3.059B,427.97M,3.487B,40.55B,578.44M,39.97B,5.533B,51.03B,54.70B,,,,1.207B,1.207B,2.844B,2.844B,2.844B,4.050B,6.955B,,6.955B,37.74B,,44.70B,48.75B,,3.67M,771.69M,5.238B,14.39M,,-5.458M,-44.15M,,-49.61M,5.949B,,,Restated
2007-09,,1.491B,,1.491B,,,,1.922B,,,,,,,547.38M,,,3.439B,40.47B,454.78M,40.01B,5.323B,53.38B,55.30B,,,,,,2.227B,2.227B,2.227B,2.227B,6.610B,,6.610B,38.40B,,45.01B,49.05B,,3.875M,1.108B,5.701B,489.06M,,,,,-74.10M,6.250B,,,
2007-06,,1.090B,,1.090B,,,,1.947B,,,,,,,398.44M,,,624.38M,27.16B,307.52M,26.85B,4.483B,34.47B,36.42B,,,,,,2.861B,2.861B,2.861B,2.861B,4.908B,,4.908B,24.60B,,29.51B,33.36B,,2.579M,1.067B,2.565B,489.63M,,,,,-80.79M,3.064B,,,
2007-03,,967.67M,,967.67M,,,,1.670B,,,,,,,377.69M,,,626.94M,26.54B,282.98M,26.26B,3.801B,33.31B,34.98B,,,,,,1.578B,1.578B,1.578B,1.578B,4.652B,,4.652B,24.59B,,29.24B,31.93B,,,1.049B,2.563B,501.58M,,,,,-59.51M,3.051B,,,
2006-12,,1.154B,,1.154B,,,,1.595B,,,,,,,401.10M,,,630.36M,26.42B,272.07M,26.15B,4.399B,33.73B,35.33B,,,,,,1.676B,1.676B,1.676B,1.676B,4.513B,,4.513B,25.05B,,29.56B,32.31B,,,1.016B,2.561B,506.95M,,,,,-55.07M,3.014B,,,
2006-09,,907.42M,,907.42M,,,,1.278B,,,,,,,367.71M,,,632.76M,26.64B,280.15M,26.36B,4.767B,34.38B,35.66B,,,,,,1.533B,1.533B,1.533B,1.533B,5.090B,,5.090B,24.74B,,29.83B,32.53B,,,986.86M,2.556B,445.36M,,,,,32.08M,3.130B,,,
2006-06,,913.70M,,913.70M,,,,1.279B,,,,,,,365.76M,,,635.84M,26.65B,287.52M,26.37B,5.238B,34.99B,36.27B,,,,,,2.126B,2.126B,2.126B,2.126B,5.244B,,5.244B,24.59B,,29.84B,33.33B,,,888.91M,2.552B,457.76M,,,,,-44.09M,2.939B,,,
2006-03,,820.46M,,820.46M,,,,1.170B,,,,,,,375.74M,,,639.81M,26.46B,283.84M,26.17B,5.146B,34.50B,35.67B,,,,,,1.688B,1.688B,1.688B,1.688B,4.977B,,4.977B,24.56B,,29.53B,32.59B,,2.548B,836.55M,,273.12M,,,,,-31.43M,3.080B,,,
2005-12,,988.84M,,988.84M,,,,1.063B,,,,,,,360.68M,,,217.49M,24.77B,268.35M,24.50B,4.535B,31.70B,32.76B,,,,,,1.889B,1.889B,1.889B,1.889B,4.597B,,4.597B,22.41B,,27.01B,30.21B,,,781.84M,2.491B,693.58M,,,,,-22.09M,2.558B,,,
2005-09,,825.80M,,825.80M,,,,904.13M,,,,,,,633.07M,,,217.70M,24.95B,253.94M,24.69B,4.496B,31.85B,32.76B,,,,,,1.503B,1.503B,1.503B,1.503B,4.985B,,4.985B,22.35B,,27.33B,30.14B,,2.491B,729.54M,,575.94M,,,,,-21.84M,2.623B,,,
2005-06,,999.19M,,999.19M,,,,1.120B,,,,,,,710.38M,,,217.58M,24.96B,254.78M,24.71B,4.179B,31.86B,32.99B,,,,,,1.267B,1.267B,1.267B,1.267B,4.984B,,4.984B,22.33B,,27.31B,30.36B,,2.488B,670.33M,,526.81M,,,,,-0.72M,2.631B,,,
2005-03,,944.25M,,944.25M,,,,1.089B,,,,,,,354.98M,,,217.78M,24.46B,264.39M,24.20B,4.153B,31.09B,32.18B,,,,,,1.033B,1.033B,1.033B,1.033B,5.068B,,5.068B,21.77B,,26.84B,29.59B,,2.485B,613.77M,,490.14M,,,,,-18.69M,2.590B,,,
2004-12,,899.72M,,899.72M,,,,1.528B,,,,,,,942.42M,,,215.81M,23.78B,271.21M,23.51B,4.549B,31.03B,32.57B,,,,,,1.207B,1.207B,1.207B,1.207B,6.327B,,6.327B,20.77B,,27.10B,30.03B,,2.484B,563.60M,,499.26M,,,,,-10.90M,2.538B,,,
2004-09,,1.090B,,1.090B,,,,1.928B,,,,,,,356.44M,,,216.01M,22.79B,282.65M,22.51B,4.270B,29.87B,31.81B,,,,,,1.216B,1.216B,1.216B,1.216B,6.406B,,6.406B,20.11B,,26.51B,29.35B,,2.483B,518.79M,,526.97M,,,,,-13.81M,2.461B,,,
