,OperatingRevenue,Revenue,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,AmortizationExpense,SpecialIncomeandCharges,TotalOperatingExpenses,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",PreferredStockDividend,NetIncome,NormalizedIncome,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2018-06,1.12B,1.12B,18.00M,483.00M,501.00M,13.00M,,514.00M,0.00,784.00M,412.00M,57.00M,355.00M,,21.00M,355.00M,355.00M,123.00M,600.00M,,0.30,,,0.30,0.30,,0.30,,,0.30,0.30,,1.103B,1.123B,0.11,,AOR,Restated
2018-03,1.084B,1.084B,8.00M,467.00M,475.00M,14.00M,,489.00M,,770.00M,385.00M,59.00M,326.00M,,12.00M,326.00M,326.00M,105.00M,529.00M,,0.29,,,0.29,0.29,,0.28,,,0.28,0.28,,1.084B,1.125B,0.11,,AOR,Restated
2017-12,1.109B,1.109B,10.00M,463.00M,473.00M,14.00M,,487.00M,-4.00M,769.00M,412.00M,-20.00M,432.00M,,19.00M,432.00M,432.00M,106.00M,537.00M,,0.38,,,0.38,0.38,,0.37,,,0.37,0.37,,1.077B,1.221B,0.11,,AOR,Restated
2017-09,1.088B,1.088B,17.00M,476.00M,493.00M,14.00M,,507.00M,0.00,758.00M,365.00M,90.00M,275.00M,,19.00M,275.00M,275.00M,96.00M,480.00M,,0.24,,,0.24,0.24,,0.23,,,0.23,0.23,,1.086B,1.106B,0.08,,AOR,Restated
2017-06,1.07B,1.07B,19.00M,487.00M,506.00M,14.00M,,520.00M,0.00,745.00M,351.00M,79.00M,272.00M,,19.00M,272.00M,272.00M,0.00,452.00M,,0.23,,,0.23,0.23,,0.23,,,0.23,0.23,,1.089B,1.109B,0.08,,AOR,Restated
2017-03,1.042B,1.042B,14.00M,489.00M,503.00M,14.00M,,517.00M,,730.00M,267.00M,59.00M,208.00M,,19.00M,208.00M,208.00M,211.00M,357.00M,,0.17,,,0.17,0.17,,0.17,,,0.17,0.17,,1.086B,1.109B,0.08,,AOR,Restated
2016-12,1.069B,1.069B,21.52M,464.25M,485.77M,13.64M,,499.41M,-1.687M,734.66M,313.15M,74.01M,239.14M,,18.59M,239.14M,239.14M,80.56M,393.24M,,0.18,,,0.18,0.18,,0.18,,,0.18,0.18,,1.085B,1.104B,0.08,,AOR,Restated
2016-09,927.80M,927.80M,14.44M,511.10M,525.54M,9.046M,,534.58M,1.031M,625.39M,151.75M,24.75M,127.00M,,18.54M,127.00M,127.00M,91.20M,220.71M,,0.12,,,0.12,0.12,,0.11,,,0.11,0.11,,938.58M,952.08M,0.07,,AOR,Restated
2016-06,776.99M,776.99M,14.77M,374.17M,388.95M,3.60M,,392.55M,0.656M,505.88M,228.82M,54.28M,174.54M,,19.87M,174.54M,174.54M,103.15M,288.60M,,0.19,,,0.19,0.19,,0.19,,,0.19,0.19,,798.17M,810.37M,0.07,,AOR,Restated
2016-03,744.93M,744.93M,12.27M,358.48M,370.75M,3.712M,,374.46M,0.00,503.07M,226.27M,54.96M,171.31M,,7.998M,171.31M,171.31M,105.10M,280.46M,,0.21,,,0.21,0.21,,0.20,,,0.20,0.20,,795.76M,808.35M,0.07,,AOR,Restated
2015-12,769.66M,769.66M,11.82M,363.60M,375.42M,3.921M,,379.34M,0.73M,497.17M,234.29M,55.94M,178.35M,,8.099M,178.35M,178.35M,78.21M,281.74M,,0.21,,,0.21,0.21,,0.21,,,0.21,0.21,,796.10M,810.14M,0.07,,AOR,Restated
2015-09,748.57M,748.57M,12.18M,356.36M,368.53M,3.913M,,372.45M,0.188M,495.46M,199.59M,47.00M,152.59M,,7.968M,152.59M,152.59M,94.83M,242.61M,,0.18,,,0.18,0.18,,0.18,,,0.18,0.18,,800.88M,814.33M,0.06,,AOR,Restated
2015-06,772.46M,772.46M,15.02M,352.43M,367.45M,9.96M,,377.41M,0.082M,490.69M,260.26M,64.06M,196.21M,,7.968M,196.21M,196.21M,72.29M,299.37M,,0.23,,,0.23,0.23,,0.23,,,0.23,0.23,,806.89M,820.24M,0.06,,AOR,Restated
2015-03,699.31M,699.31M,12.98M,325.62M,338.59M,10.21M,,348.80M,0.00,467.68M,219.86M,54.01M,165.85M,,7.965M,165.85M,165.85M,95.66M,254.27M,,0.19,,,0.19,0.19,,0.19,,,0.19,0.19,,809.78M,823.81M,0.06,,AOR,Restated
2014-12,706.53M,706.53M,12.47M,330.07M,342.54M,10.65M,,353.19M,-0.104M,473.25M,220.76M,57.15M,163.61M,,7.963M,163.61M,163.61M,93.86M,255.14M,,0.19,,,0.19,0.19,,0.19,,,0.19,0.19,,817.02M,830.54M,0.06,,AOR,Restated
2014-09,713.68M,713.68M,12.58M,340.11M,352.69M,9.813M,,362.50M,0.198M,466.34M,208.89M,53.87M,155.02M,,7.964M,155.02M,155.02M,86.11M,243.61M,,0.18,,,0.18,0.18,,0.18,,,0.18,0.18,,816.50M,829.62M,0.05,,AOR,Restated
2014-06,710.12M,710.12M,14.83M,325.54M,340.37M,9.52M,,349.89M,0.49M,460.05M,222.09M,57.48M,164.62M,,7.963M,164.62M,164.62M,70.85M,257.37M,,0.19,,,0.19,0.19,,0.19,,,0.19,0.19,,821.55M,834.69M,0.05,,AOR,Restated
2014-03,685.99M,685.99M,10.69M,314.68M,325.37M,9.291M,,334.66M,16.97M,437.51M,201.24M,52.10M,149.14M,,7.964M,149.14M,149.14M,82.02M,236.19M,,0.17,,,0.17,0.17,,0.17,,,0.17,0.17,,829.66M,842.68M,0.05,,AOR,Restated
2013-12,680.54M,680.54M,13.70M,310.68M,324.38M,10.32M,,334.70M,1.239M,430.65M,210.20M,52.03M,158.17M,,7.965M,158.17M,158.17M,71.23M,249.38M,,0.18,,,0.18,0.18,,0.18,,,0.18,0.18,,830.59M,842.32M,0.05,,AOR,Restated
2013-09,678.62M,678.62M,12.27M,289.79M,302.06M,10.36M,,312.43M,0.098M,424.85M,243.88M,65.05M,178.84M,,7.967M,178.84M,178.84M,74.95M,281.94M,,0.21,,,0.21,0.21,,0.20,,,0.20,0.20,,830.40M,841.02M,0.05,,AOR,Restated
2013-06,676.86M,676.86M,14.24M,327.22M,341.46M,10.36M,,351.82M,-0.41M,424.94M,206.27M,55.27M,151.00M,,7.967M,151.00M,151.00M,68.19M,243.91M,,0.17,,,0.17,0.17,,0.17,,,0.17,0.17,,834.73M,843.84M,0.05,,AOR,Restated
2013-03,680.79M,680.79M,10.97M,323.65M,334.62M,10.32M,,344.94M,-0.509M,424.17M,208.40M,55.13M,153.27M,,7.97M,153.27M,153.27M,67.18M,249.55M,,0.17,,,0.17,0.17,,0.17,,,0.17,0.17,,841.10M,848.71M,0.04,,AOR,Restated
2012-12,740.17M,740.17M,5.944M,320.45M,326.39M,11.65M,0.00,338.04M,0.863M,434.06M,230.08M,72.54M,157.55M,,7.973M,157.55M,157.55M,66.53M,275.02M,,0.19,,,0.19,0.19,,0.19,,,0.19,0.19,,847.22M,853.30M,0.04,,AOR,Restated
2012-09,691.36M,691.36M,20.18M,313.12M,333.30M,11.43M,-1.782M,342.95M,4.169M,430.30M,196.06M,28.29M,167.77M,,7.983M,167.77M,169.29M,69.16M,249.55M,,0.19,,,0.1918,0.19,,0.19,,,0.1918,0.19,,857.87M,863.59M,0.04,,AOR,Restated
2012-06,682.78M,682.78M,17.40M,307.33M,324.73M,11.94M,2.58M,339.25M,0.35M,428.96M,201.99M,49.29M,152.71M,,7.984M,152.71M,150.76M,68.15M,260.57M,,0.17,,,0.1677,0.17,,0.17,,,0.1678,0.17,,862.26M,867.55M,0.04,,AOR,Restated
2012-03,702.53M,702.53M,13.57M,306.83M,320.40M,11.53M,,331.93M,-0.613M,417.21M,205.45M,52.18M,153.27M,,8.049M,153.27M,153.27M,70.72M,268.18M,,0.17,,,0.17,0.17,,0.17,,,0.17,0.17,,864.50M,869.16M,0.04,,AOR,Restated
2011-12,638.67M,638.67M,6.312M,435.76M,442.07M,13.18M,45.06M,500.30M,-9.589M,415.02M,168.81M,41.95M,126.86M,,7.703M,126.86M,93.00M,69.02M,239.00M,,0.14,,,0.1008,0.14,,0.14,,,0.1010,0.14,,864.14M,868.16M,0.04,,AOR,Restated
2011-09,666.40M,666.40M,22.25M,244.33M,266.58M,13.39M,-10.42M,269.55M,0.014M,406.48M,182.33M,38.94M,143.39M,,7.703M,143.39M,151.58M,70.28M,266.85M,,0.16,0.00,,0.1695,0.16,,0.16,0.00,,0.1694,0.16,,863.91M,867.63M,0.04,,AOR,Restated
2011-06,659.29M,659.29M,20.10M,242.39M,262.50M,13.39M,-10.01M,265.87M,1.689M,403.34M,194.90M,48.98M,145.92M,,7.704M,145.92M,153.42M,69.57M,283.70M,,0.16,0.00,,0.1687,0.16,,0.16,0.00,,0.1686,0.16,,863.36M,867.47M,0.01,,AOR,Restated
2011-03,645.44M,645.44M,16.90M,236.92M,253.82M,13.37M,-14.93M,252.26M,4.205M,404.33M,161.19M,34.74M,126.45M,,7.703M,126.45M,138.16M,73.23M,258.74M,,0.14,0.00,,0.1536,0.14,,0.14,0.00,,0.1535,0.14,,863.36M,867.24M,0.01,,AOR,Restated
2010-12,681.23M,681.23M,16.17M,235.50M,251.67M,15.05M,-20.36M,246.35M,1.617M,415.29M,157.95M,35.05M,122.90M,,83.75M,122.90M,138.75M,77.12M,270.95M,,0.05,0.00,,0.0709,0.05,,0.05,0.00,,0.0708,0.05,,757.92M,760.58M,0.01,,AOR,Restated
2010-09,679.82M,679.82M,20.92M,231.68M,252.60M,15.14M,-23.92M,243.82M,2.421M,409.96M,130.64M,29.69M,100.95M,,29.50M,100.95M,119.43M,73.11M,255.34M,,0.10,0.00,,0.1258,0.10,,0.10,0.00,,0.1257,0.10,,716.91M,719.57M,0.01,,AOR,Restated
2010-06,672.12M,672.12M,17.68M,220.94M,238.62M,15.14M,-17.46M,236.30M,2.98M,399.66M,62.08M,13.32M,48.76M,,29.43M,48.76M,62.48M,66.23M,198.08M,,0.03,0.00,,0.0491,0.03,,0.03,0.00,,0.0491,0.03,,716.58M,719.39M,0.01,,AOR,Restated
2010-03,641.21M,641.21M,22.70M,212.73M,235.42M,15.15M,-27.68M,222.89M,6.43M,393.89M,1.644M,-38.09M,39.74M,,29.36M,39.74M,57.73M,69.73M,154.53M,,0.01,0.00,,0.0351,0.01,,0.01,0.00,,0.0350,0.01,,716.32M,718.59M,0.01,,AOR,Restated
2009-12,635.57M,635.57M,9.074M,175.53M,184.60M,17.06M,-119.74M,81.92M,14.36M,374.06M,-597.98M,-228.29M,-369.69M,,29.29M,-369.69M,-295.66M,67.57M,-420.71M,,-0.06,0.00,,0.0435,-0.06,,-0.06,0.00,,0.0435,-0.06,,715.33M,715.33M,0.01,,AOR,Restated
2009-09,637.45M,637.45M,8.259M,205.86M,214.11M,17.00M,-68.08M,163.03M,16.21M,362.82M,-257.36M,-91.17M,-166.19M,,29.22M,-166.19M,-122.23M,54.86M,-66.34M,,-0.33,0.00,,-0.2555,-0.33,,-0.33,0.00,,-0.2555,-0.33,,589.71M,589.71M,0.01,,AOR,Restated
2009-06,635.43M,635.43M,7.491M,230.11M,237.60M,17.12M,11.30M,266.02M,,349.90M,-137.84M,-12.75M,-125.10M,,57.45M,-125.10M,-135.35M,51.85M,75.26M,,-0.40,0.00,,-0.4223,-0.40,,-0.40,0.00,,-0.4223,-0.40,,459.25M,459.25M,0.01,,AOR,Restated
2009-03,580.53M,580.53M,8.225M,202.82M,211.04M,17.14M,-2.627B,-2.399B,5.989M,337.50M,-2.685B,-251.79M,-2.433B,,58.79M,-2.433B,-52.81M,53.76M,-2.453B,,-6.79,0.00,,-0.3025,-6.79,,-6.79,0.00,,-0.3025,-6.79,,366.92M,366.92M,0.01,,AOR,Restated
2008-12,443.46M,443.46M,9.357M,240.66M,250.02M,,,250.02M,-127.08M,376.36M,-669.24M,-251.95M,-417.29M,,23.16M,-417.29M,-417.29M,63.61M,-383.10M,,-1.21,0.00,,-1.21,-1.21,,-1.21,0.00,,-1.21,-1.21,,366.06M,366.06M,0.1325,,AOR,
2008-09,556.49M,556.49M,7.049M,184.83M,191.88M,,,191.88M,-73.79M,388.64M,92.10M,17.04M,75.06M,,12.09M,75.06M,75.06M,62.01M,389.20M,,0.17,0.00,,0.17,0.17,,0.17,0.00,,0.17,0.17,,366.12M,367.36M,0.1325,,,
2008-06,626.30M,626.30M,7.339M,199.99M,207.33M,,,207.33M,2.073M,389.87M,127.68M,26.33M,101.35M,,,101.35M,101.35M,60.12M,434.49M,,0.25,0.00,,0.25,0.25,,0.25,0.00,,0.25,0.25,,366.21M,367.23M,0.1325,,,
2008-03,612.58M,612.58M,8.919M,201.94M,210.86M,,,210.86M,1.429M,376.82M,153.44M,26.38M,127.07M,,,127.07M,127.07M,59.12M,530.03M,,0.35,0.00,,0.35,0.35,,0.35,0.00,,0.35,0.35,,366.24M,367.21M,0.265,,,
2007-12,553.49M,553.49M,16.18M,257.60M,273.78M,,,273.78M,-11.55M,382.93M,-398.14M,-158.86M,-239.28M,,,-239.28M,-239.28M,46.92M,33.32M,,-0.88,0.00,,-0.88,-0.88,,-0.88,0.00,,-0.88,-0.88,,366.12M,367.78M,0.265,,,Restated
2007-09,614.31M,614.31M,13.19M,202.15M,215.33M,,,215.33M,-13.15M,409.63M,186.74M,48.54M,138.20M,,,138.20M,138.20M,39.06M,628.26M,,0.38,0.00,,0.38,0.38,,0.38,0.00,,0.38,0.38,,365.90M,368.28M,0.265,,,
2007-06,409.58M,409.58M,8.986M,135.19M,144.18M,,,144.18M,-5.139M,253.39M,104.80M,24.28M,80.52M,,,80.52M,80.52M,20.05M,393.87M,,0.34,0.00,,0.34,0.34,,0.34,0.00,,0.34,0.34,,236.03M,239.01M,0.265,,,
2007-03,400.73M,400.73M,7.696M,134.64M,142.34M,,,142.34M,0.104M,255.56M,129.25M,33.53M,95.73M,,,95.73M,94.88M,21.23M,408.65M,,0.41,0.00,,0.4064,0.41,,0.40,0.00,,0.3965,0.40,,235.59M,238.75M,0.265,,,
2006-12,398.60M,398.60M,6.207M,137.94M,144.15M,,,144.15M,-15.80M,257.99M,115.06M,27.35M,87.72M,,,87.72M,86.76M,23.25M,401.91M,,0.37,0.00,,0.3660,0.37,,0.36,0.00,,0.3560,0.36,,236.43M,239.88M,0.25,,,
2006-09,353.22M,353.22M,7.846M,133.82M,141.67M,,,141.67M,-57.33M,255.31M,96.63M,-60.82M,157.45M,,,157.45M,156.93M,27.06M,380.31M,,0.66,0.00,,0.6578,0.66,,0.65,0.00,,0.6479,0.65,,237.67M,240.90M,0.25,,,
2006-06,425.21M,425.21M,10.37M,137.90M,148.28M,,,148.28M,-0.035M,262.20M,157.11M,45.51M,111.60M,,,111.60M,111.23M,29.73M,416.82M,,0.46,0.00,,0.4584,0.46,,0.46,0.00,,0.4585,0.46,,241.73M,244.54M,0.25,,,
2006-03,403.21M,403.21M,7.301M,131.56M,138.86M,,,138.86M,-0.02M,243.68M,145.26M,40.80M,104.46M,,,104.46M,104.13M,31.61M,366.37M,,0.45,0.00,,0.4486,0.45,,0.45,0.00,,0.4486,0.45,,230.97M,234.36M,0.25,,,
2005-12,391.00M,391.00M,8.943M,116.11M,125.05M,,,125.05M,-8.77M,243.68M,129.81M,29.24M,100.57M,,,100.57M,100.22M,52.44M,328.61M,,0.44,0.00,,0.4384,0.44,,0.44,0.00,,0.4385,0.44,,226.70M,229.72M,0.215,,,
2005-09,402.38M,402.38M,6.364M,117.48M,123.84M,,,123.84M,0.101M,241.64M,151.63M,43.05M,108.57M,,,108.57M,108.21M,28.54M,330.85M,,0.47,0.00,,0.4684,0.47,,0.47,0.00,,0.4685,0.47,,229.83M,233.46M,0.215,,,
2005-06,398.07M,398.07M,6.934M,124.09M,131.02M,,,131.02M,-0.343M,241.90M,137.04M,30.61M,106.42M,,,106.42M,106.23M,55.41M,297.46M,,0.46,0.00,,0.4592,0.46,,0.45,0.00,,0.4492,0.45,,232.22M,235.67M,0.215,,,
2005-03,403.25M,403.25M,6.454M,123.98M,130.44M,,,130.44M,0.957M,235.20M,125.10M,28.58M,96.52M,,,96.52M,96.52M,54.96M,266.00M,,0.42,0.00,,0.42,0.42,,0.41,0.00,,0.41,0.41,,231.82M,235.05M,0.20,,,
2004-12,422.01M,422.01M,5.581M,122.74M,128.32M,,0.00,128.32M,18.63M,239.07M,128.34M,37.20M,91.14M,,,91.14M,91.14M,72.83M,248.49M,,0.40,0.00,,0.40,0.40,,0.39,0.00,,0.39,0.39,,231.15M,235.50M,0.20,,,
2004-09,416.95M,416.95M,5.00M,121.73M,126.73M,,1.151M,127.88M,7.803M,227.06M,131.74M,38.26M,93.49M,,,93.49M,92.45M,80.92M,242.68M,,0.41,0.00,,0.4055,0.41,,0.40,0.00,,0.3956,0.40,,229.85M,234.35M,0.20,,,
2004-06,440.69M,440.69M,8.069M,119.72M,127.78M,,,127.78M,-9.23M,222.56M,153.51M,43.38M,110.13M,,,110.13M,106.62M,71.98M,255.12M,,0.48,0.00,,0.4647,0.48,,0.47,0.00,,0.4549,0.47,,229.43M,232.66M,0.175,,,
2004-03,450.32M,450.32M,7.839M,121.62M,129.46M,,,129.46M,15.09M,222.68M,139.07M,34.90M,104.17M,,,104.17M,97.43M,99.40M,242.32M,,0.45,0.00,,0.4206,0.45,,0.45,0.00,,0.4210,0.45,,229.23M,232.92M,0.175,,,
2003-12,470.82M,470.82M,6.895M,115.76M,122.66M,,-12.98M,109.68M,1.28M,224.32M,127.02M,33.76M,93.26M,0.00,,93.26M,90.83M,123.76M,237.80M,,0.41,-0.01,0.00,0.3994,0.40,,0.41,-0.01,-0.0000,0.3995,0.40,,228.93M,232.27M,0.175,,,
2003-09,493.24M,493.24M,5.515M,113.17M,118.68M,,,118.68M,-4.107M,220.47M,141.44M,37.23M,104.21M,-13.33M,,90.88M,94.55M,134.21M,254.29M,,0.46,-0.06,0.00,0.4178,0.40,,0.45,-0.06,-0.0583,0.4082,0.39,,228.72M,230.97M,0.175,,,
2003-06,479.39M,479.39M,8.454M,105.24M,113.70M,,5.315M,119.01M,6.887M,202.44M,133.17M,36.68M,96.49M,,,96.49M,82.86M,110.35M,248.05M,,0.42,0.00,,0.3604,0.42,,0.42,0.00,,0.3609,0.42,,228.63M,230.57M,0.16,,,
2003-03,474.68M,474.68M,6.626M,113.09M,119.72M,,1.00M,120.72M,1.198M,201.76M,122.36M,30.63M,91.73M,,,91.73M,83.29M,119.77M,240.62M,,0.39,0.00,,0.3535,0.39,,0.39,0.00,,0.3538,0.39,,231.36M,232.80M,0.16,,,
2002-12,471.03M,471.03M,6.186M,110.23M,116.42M,,7.211M,123.63M,2.339M,199.18M,90.49M,21.23M,69.26M,,,69.26M,63.74M,96.10M,220.74M,,0.21,0.00,,0.1863,0.21,,0.20,0.00,,0.1765,0.20,,232.45M,234.98M,0.16,,,
2002-09,489.87M,489.87M,7.491M,100.66M,108.15M,,,108.15M,1.14M,191.26M,116.07M,28.05M,88.02M,,,88.02M,69.40M,123.86M,248.98M,,0.37,-0.01,,0.2924,0.36,,0.36,-0.01,,0.2829,0.35,,239.92M,241.36M,0.16,,,
2002-06,479.66M,479.66M,7.231M,106.81M,114.04M,,,114.04M,0.966M,191.99M,98.09M,25.08M,73.01M,,,73.01M,71.71M,132.40M,228.91M,,0.30,0.00,,0.2947,0.30,,0.29,0.00,,0.2848,0.29,,246.11M,247.87M,0.16,,,
2002-03,663.53M,663.53M,7.003M,114.28M,121.29M,,-56.18M,65.10M,0.457M,184.43M,217.85M,124.71M,93.14M,,,93.14M,21.64M,141.60M,368.62M,,0.37,0.00,,0.0849,0.37,,0.37,0.00,,0.0862,0.37,,250.75M,251.95M,0.16,,,
2001-12,797.90M,797.90M,6.345M,93.71M,100.06M,,4.857M,104.92M,0.089M,-25.66M,-40.24M,-62.17M,21.92M,,,21.92M,19.01M,493.64M,144.44M,,0.09,0.00,,0.0781,0.09,,0.09,0.00,,0.0781,0.09,,245.37M,245.37M,0.16,,,
2001-09,380.24M,380.24M,6.921M,120.77M,127.69M,,-50.82M,76.87M,1.059M,249.79M,50.98M,8.348M,42.63M,,,42.63M,85.12M,25.10M,280.02M,,0.17,0.00,,0.3392,0.17,,0.17,0.00,,0.3385,0.17,,251.15M,252.20M,0.16,,,
2001-06,376.24M,376.24M,7.852M,122.07M,129.92M,,-34.00M,95.92M,-2.503M,248.03M,-8.552M,-10.93M,2.377M,,,2.377M,22.78M,19.10M,242.37M,,0.01,0.00,,0.0913,0.01,,0.01,0.00,,0.0911,0.01,,251.02M,251.45M,0.20,,,
2001-03,360.85M,360.85M,9.939M,117.66M,127.60M,,,127.60M,2.078M,243.12M,93.29M,25.43M,67.87M,,,67.87M,67.87M,32.14M,368.14M,,0.27,0.00,,0.27,0.27,,0.27,0.00,,0.27,0.27,,251.00M,251.51M,0.20,,,
2000-12,,,,,,,,,,,,,76.22M,,,76.22M,76.22M,25.86M,,,0.28,0.00,,0.28,0.28,,0.28,0.00,,0.28,0.28,,266.65M,271.71M,0.20,,,
2000-09,357.52M,357.52M,8.557M,109.46M,118.02M,,,118.02M,11.38M,235.87M,67.54M,17.01M,50.53M,,,50.53M,50.53M,28.85M,367.46M,,0.20,0.00,,0.20,0.20,,0.20,0.00,,0.20,0.20,,251.11M,252.03M,0.20,,,
2000-06,348.47M,348.47M,6.472M,104.13M,110.60M,,,110.60M,0.103M,232.81M,134.56M,37.04M,97.52M,,,97.52M,97.52M,28.74M,421.25M,,0.40,0.00,,0.40,0.40,,0.40,0.00,,0.40,0.40,,244.83M,245.65M,0.1818,,,
2000-03,366.38M,366.38M,7.993M,102.34M,110.34M,,,110.34M,24.76M,240.69M,150.58M,46.40M,104.17M,,,104.17M,104.17M,27.47M,425.44M,,0.46,0.00,,0.46,0.46,,0.46,0.00,,0.46,0.46,,225.43M,226.49M,0.1818,,,
1999-12,483.48M,483.48M,9.20M,100.70M,109.90M,,,109.90M,7.90M,252.70M,161.80M,46.80M,115.00M,,,115.00M,115.00M,26.80M,424.60M,,0.30,0.00,,0.30,0.30,,0.30,0.00,,0.30,0.30,,343.12M,344.27M,0.1818,,,
1999-09,384.00M,384.00M,8.70M,104.70M,113.40M,,,113.40M,7.10M,268.40M,155.80M,50.20M,105.60M,,,105.60M,105.60M,26.40M,403.70M,,0.46,0.00,,0.46,0.46,,0.46,0.00,,0.46,0.46,,229.57M,229.57M,0.1818,,,
1999-06,,,,,,,,,,,,,105.00M,,,105.00M,105.00M,29.70M,,,0.41,0.00,,0.41,0.41,,0.41,0.00,,0.41,0.41,,254.07M,254.07M,0.1653,,,
1999-03,369.37M,369.37M,6.30M,107.30M,113.60M,,,113.60M,2.30M,259.50M,142.00M,45.40M,96.60M,,,96.60M,96.60M,29.60M,378.20M,,0.42,0.00,,0.42,0.42,,0.42,0.00,,0.42,0.42,,230.00M,230.00M,0.1653,,,
1998-12,375.80M,375.80M,8.30M,103.60M,111.90M,,,111.90M,1.80M,267.30M,42.60M,11.40M,31.20M,,,31.20M,31.20M,23.10M,275.70M,,0.1274,0.00,,0.1274,0.1274,,0.1274,0.00,,0.1274,0.1274,,253.42M,256.54M,0.1653,,,
1998-09,366.10M,366.10M,8.80M,111.70M,120.50M,,,120.50M,10.60M,251.50M,130.20M,41.40M,88.80M,,,88.80M,88.80M,23.00M,383.90M,,0.3454,0.00,,0.3454,0.3454,,0.3454,0.00,,0.3454,0.3454,,257.08M,257.08M,0.1653,,,
