,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2018-03,317.85M,318.30M,16.55M,301.74M,15.68M,15.68M,-14.22M,,58.83M,-61.42M,,146.79M,154.96M,58.83M,-61.42M,-8.996M,-61.42M,84.54M,1.223M,83.32M,,-0.152M,,83.16M,92.03M,274.47M,131.10M,143.37M,,0.29,,0.3212,0.29,,0.29,,0.3212,0.29,,283.92M,284.35M,0.6575,,AOR,Restated
2017-12,344.98M,310.65M,16.65M,294.00M,15.22M,15.22M,-49.10M,,71.50M,-62.51M,,142.25M,151.75M,71.50M,-62.51M,-24.87M,-62.51M,64.38M,3.423M,60.95M,,-0.10M,0.00,60.85M,84.40M,262.91M,127.03M,135.88M,,0.22,,0.3035,0.22,,0.22,,0.3034,0.22,,282.11M,282.37M,0.6365,,AOR,Restated
2017-09,293.46M,306.92M,17.27M,289.65M,13.88M,13.88M,-0.365M,,60.49M,-63.32M,,141.45M,148.20M,60.49M,-63.32M,4.322M,-63.32M,89.21M,1.133M,88.07M,,-0.133M,,87.94M,83.67M,277.27M,127.57M,149.70M,,0.32,,0.3045,0.32,,0.3186,,0.3031,0.3186,,275.51M,276.05M,0.635,,AOR,Restated
2017-06,288.05M,300.17M,16.49M,283.68M,15.78M,15.78M,-2.274M,,60.10M,-63.21M,,138.87M,144.81M,60.10M,-63.21M,0.095M,-63.21M,81.70M,0.441M,81.26M,,-0.123M,,81.14M,81.04M,264.89M,123.09M,141.80M,,0.30,,0.2997,0.30,,0.2971,,0.2967,0.2971,,272.59M,273.10M,0.6335,,AOR,Restated
2017-03,285.82M,298.02M,19.08M,278.95M,13.56M,13.56M,-5.433M,,55.32M,-58.38M,,134.66M,144.29M,55.32M,-58.38M,4.172M,-58.38M,90.08M,1.047M,89.04M,,-0.165M,3.911M,88.87M,84.75M,266.49M,121.10M,145.40M,,0.27,,0.2543,0.27,,0.27,,0.2544,0.27,,263.34M,263.93M,0.632,,AOR,Restated
2016-12,275.22M,287.84M,17.41M,270.43M,13.56M,13.56M,-3.709M,,54.79M,-56.41M,,131.31M,139.12M,54.79M,-56.41M,10.46M,-56.41M,93.17M,0.45M,92.72M,,-0.283M,6.77M,92.44M,82.03M,265.72M,117.75M,147.97M,,0.33,,0.2897,0.33,,0.33,,0.2898,0.33,,258.41M,258.88M,0.6065,,AOR,Restated
2016-09,265.33M,277.17M,15.68M,261.50M,12.10M,12.10M,-8.763M,,52.19M,-55.00M,,126.02M,135.48M,52.19M,-55.00M,-2.377M,-55.00M,78.10M,0.894M,77.20M,,-0.13M,6.77M,77.07M,79.42M,244.20M,113.92M,130.28M,,0.27,,0.2791,0.27,,0.27,,0.2791,0.27,,258.09M,258.67M,0.603,,AOR,Restated
2016-06,260.06M,271.04M,14.67M,256.37M,13.98M,13.98M,-6.269M,,52.44M,-55.30M,,124.33M,132.04M,52.44M,-55.30M,0.28M,-55.30M,77.02M,0.953M,76.07M,,-0.253M,6.77M,75.82M,75.54M,239.80M,110.34M,129.46M,,0.27,,0.2689,0.27,,0.27,,0.2689,0.27,,253.38M,253.97M,0.5975,,AOR,Restated
2016-03,256.80M,267.12M,15.10M,252.01M,12.32M,12.32M,-1.923M,,52.02M,-54.90M,,120.25M,131.76M,52.02M,-54.90M,-5.412M,-54.90M,71.45M,0.964M,70.48M,,-0.241M,6.77M,70.24M,75.58M,231.40M,107.93M,123.47M,,0.25,,0.2713,0.25,,0.25,,0.2713,0.25,,250.17M,250.70M,0.596,,AOR,Restated
2015-12,252.73M,263.67M,12.90M,250.77M,12.97M,12.97M,-1.378M,,53.15M,-56.08M,,118.71M,132.06M,53.15M,-56.08M,7.843M,-56.08M,83.83M,0.721M,83.11M,,-0.17M,6.77M,82.94M,75.17M,242.72M,105.74M,136.98M,,0.31,0.00,0.2787,0.31,,0.3053,0.00,0.2741,0.3053,,248.77M,249.25M,0.572,,AOR,Restated
2015-09,247.58M,258.89M,13.54M,245.35M,10.86M,10.86M,-3.864M,,55.82M,-58.77M,,115.20M,130.15M,55.82M,-58.77M,-2.82M,-58.77M,68.56M,0.745M,67.81M,,-0.338M,6.77M,67.48M,70.26M,228.72M,104.34M,124.38M,,0.26,,0.2718,0.26,,0.26,,0.2718,0.26,,236.21M,236.74M,0.5705,,AOR,Restated
2015-06,241.43M,253.86M,14.94M,238.92M,12.61M,12.61M,-3.23M,,54.87M,-57.78M,,113.71M,125.21M,54.87M,-57.78M,-0.454M,-57.78M,66.98M,0.628M,66.35M,,-0.263M,6.77M,66.09M,66.54M,222.95M,101.10M,121.85M,,0.26,,0.2619,0.26,,0.25,,0.2519,0.25,,232.40M,232.89M,0.569,,AOR,Restated
2015-03,235.12M,246.87M,13.98M,232.89M,12.86M,12.86M,-2.087M,,54.60M,-57.41M,,110.90M,121.99M,54.60M,-57.41M,4.073M,-57.41M,68.66M,1.074M,67.58M,,-0.317M,6.77M,67.26M,63.25M,221.29M,98.04M,123.25M,,0.27,,0.2522,0.27,,0.27,,0.2522,0.27,,225.35M,225.83M,0.5675,,AOR,Restated
2014-12,230.64M,247.57M,20.40M,227.18M,15.59M,15.59M,-1.45M,,54.96M,-57.81M,,112.12M,115.05M,54.96M,-57.81M,22.23M,-57.81M,79.48M,1.103M,78.37M,-0.297M,-0.289M,6.77M,77.79M,56.16M,230.97M,96.54M,134.43M,,0.32,0.00,0.2218,0.32,,0.32,0.00,0.2220,0.32,,223.15M,223.63M,0.5496,,AOR,Restated
2014-09,226.83M,235.71M,12.77M,222.94M,11.02M,11.02M,-0.495M,,49.53M,-52.29M,,106.28M,116.66M,49.53M,-52.29M,9.958M,-52.29M,74.32M,0.697M,73.63M,0.00,-0.344M,9.327M,73.28M,63.42M,219.12M,95.26M,123.86M,,0.2609,0.00,0.2165,0.26,,0.2607,0.00,0.2163,0.26,,222.06M,222.24M,0.5487,,AOR,Restated
2014-06,221.87M,228.65M,10.13M,218.52M,11.59M,11.59M,-0.499M,,49.05M,-51.73M,,104.48M,114.04M,49.05M,-51.73M,0.481M,-51.73M,62.79M,0.57M,62.22M,0.02M,-0.339M,10.48M,61.90M,61.41M,204.73M,92.89M,111.84M,,0.23,0.00,0.2278,0.23,,0.23,0.00,0.2278,0.23,,220.98M,221.36M,0.5478,,AOR,Restated
2014-03,214.12M,221.57M,10.58M,211.00M,12.89M,12.89M,-1.683M,,49.04M,-51.66M,,102.86M,108.14M,49.04M,-51.66M,-0.469M,-51.66M,56.01M,1.091M,54.92M,3.077M,-0.332M,10.48M,57.66M,55.04M,195.02M,89.97M,105.05M,,0.21,0.02,0.2122,0.23,,0.21,0.02,0.2122,0.23,,207.00M,207.32M,0.5468,,AOR,Restated
2013-12,205.00M,216.16M,13.06M,203.10M,16.52M,16.52M,-0.138M,,48.28M,-50.96M,,101.82M,101.29M,48.28M,-50.96M,0.05M,-50.96M,50.37M,0.58M,49.79M,14.84M,-0.297M,10.48M,64.34M,49.45M,183.95M,85.29M,98.66M,,0.19,0.07,0.1898,0.26,,0.19,0.07,0.1898,0.26,,203.60M,203.60M,0.5459,,AOR,Restated
2013-09,195.33M,202.08M,8.466M,193.62M,16.64M,16.64M,-0.24M,,46.88M,-49.24M,,97.46M,96.15M,46.88M,-49.24M,-0.836M,-49.24M,46.08M,0.569M,45.51M,6.399M,-0.336M,10.48M,51.57M,46.00M,173.78M,80.82M,92.96M,,0.18,0.03,0.1842,0.21,,0.18,0.03,0.1842,0.21,,195.77M,196.62M,0.5449,,AOR,Restated
2013-06,180.09M,186.44M,7.754M,178.69M,12.09M,12.09M,-0.895M,,38.79M,-40.97M,,85.99M,92.70M,38.79M,-40.97M,0.843M,-40.97M,52.57M,0.624M,51.94M,4.572M,-0.077M,10.48M,56.44M,51.03M,165.26M,73.91M,91.36M,,0.21,0.02,0.2057,0.23,,0.21,0.02,0.2058,0.23,,195.57M,196.08M,0.544,,AOR,Restated
2013-03,167.80M,175.52M,9.572M,165.95M,11.63M,11.63M,-12.03M,,38.98M,-41.15M,,78.38M,87.57M,38.98M,-41.15M,-12.48M,-41.15M,33.94M,0.577M,33.37M,39.86M,-0.009M,10.48M,73.22M,45.63M,139.67M,66.75M,72.92M,,0.13,0.24,0.2015,0.37,,0.13,0.23,0.2013,0.36,,171.66M,172.05M,0.5431,,AOR,Restated
2012-12,127.42M,143.77M,16.15M,127.62M,10.35M,10.35M,-6.043M,,33.60M,-35.68M,,52.04M,75.59M,33.60M,-35.68M,-6.025M,-35.68M,33.88M,-0.154M,34.03M,4.991M,0.00,10.48M,39.02M,37.95M,109.16M,41.69M,67.47M,,0.1724,0.0399,0.2019,0.08,,0.1721,0.0399,0.2015,0.08,,133.07M,133.07M,0.4546,,AOR,Restated
2012-09,116.80M,117.15M,1.532M,115.62M,9.335M,9.335M,-5.495M,,27.95M,-29.70M,,46.37M,69.24M,27.95M,-29.70M,-5.517M,-29.70M,34.03M,0.405M,33.62M,3.835M,0.00,10.48M,37.46M,39.07M,99.02M,36.74M,61.98M,,0.17,0.03,0.2111,0.20,,0.17,0.03,0.2110,0.20,,132.76M,132.93M,0.4487,,AOR,Restated
2012-06,112.53M,113.13M,1.746M,111.39M,9.273M,9.273M,0.00,,27.17M,-28.77M,,44.02M,67.37M,27.17M,-28.77M,-0.04M,-28.77M,38.57M,0.405M,38.16M,5.246M,0.00,10.46M,43.41M,38.20M,100.48M,34.52M,65.74M,,0.21,0.04,0.2103,0.25,,0.21,0.04,0.2103,0.25,,132.59M,132.83M,0.4377,,AOR,Restated
2012-03,112.05M,112.30M,2.155M,110.15M,9.168M,9.168M,0.00,,27.52M,-28.95M,,43.75M,66.40M,27.52M,-28.95M,,-28.95M,37.45M,0.405M,37.05M,2.216M,0.00,9.496M,39.26M,37.05M,99.55M,34.58M,64.97M,,0.18,0.02,0.18,0.20,,0.18,0.02,0.18,0.20,,132.58M,132.70M,0.4368,,AOR,Restated
2011-12,97.49M,108.87M,10.52M,98.36M,,7.953M,-0.01M,,23.72M,-28.99M,,37.89M,60.46M,23.72M,-28.99M,,-28.99M,31.47M,0.368M,31.10M,9.901M,,6.063M,41.00M,31.11M,85.13M,29.94M,55.19M,,0.18,0.08,0.1801,0.26,,0.18,0.08,0.1801,0.26,,132.81M,132.81M,0.4359,,AOR,Restated
2011-09,106.23M,106.23M,1.657M,104.57M,,7.143M,0.00,,28.55M,-28.55M,,38.70M,65.87M,28.55M,-28.55M,,-28.55M,37.32M,0.367M,36.95M,3.828M,,6.063M,40.78M,36.95M,97.43M,31.50M,65.87M,,0.24,0.03,0.24,0.27,,0.24,0.03,0.24,0.27,,126.38M,126.58M,0.4349,,AOR,Restated
2011-06,101.62M,101.62M,1.597M,100.02M,,7.987M,,,25.65M,-25.65M,,36.66M,63.36M,25.65M,-25.65M,,-25.65M,37.72M,0.368M,37.35M,1.90M,,6.063M,39.25M,37.35M,92.04M,28.50M,63.36M,,0.25,0.01,0.25,0.26,,0.25,0.01,0.25,0.26,,126.00M,126.20M,0.4340,,AOR,Restated
2011-03,97.28M,97.28M,1.705M,95.58M,,7.87M,,,25.12M,-25.12M,,34.48M,61.10M,25.12M,-25.12M,,-25.12M,35.98M,0.368M,35.61M,0.388M,,6.063M,36.00M,35.61M,87.71M,26.61M,61.10M,,0.25,0.00,0.25,0.25,,0.25,0.00,0.25,0.25,,118.96M,119.11M,0.4331,,AOR,Restated
2010-12,81.16M,81.82M,0.481M,81.33M,,5.785M,,,21.24M,-25.13M,,27.28M,54.05M,21.24M,-25.13M,,-25.13M,28.07M,0.503M,27.57M,10.31M,,6.063M,37.88M,27.57M,70.81M,21.50M,49.32M,,0.19,0.10,0.19,0.29,,0.19,0.10,0.19,0.29,,112.14M,112.14M,0.4321,,AOR,Restated
2010-09,86.83M,86.83M,1.742M,85.09M,,6.165M,,,25.14M,-25.14M,,30.11M,54.98M,25.14M,-25.14M,,-25.14M,29.85M,0.335M,29.52M,2.139M,,6.063M,31.65M,29.52M,78.93M,23.86M,54.98M,,0.23,0.02,0.23,0.25,,0.23,0.02,0.23,0.25,,103.83M,103.98M,0.4312,,AOR,Restated
2010-06,82.40M,82.40M,1.646M,80.75M,,6.65M,,,21.58M,-21.58M,,29.94M,50.81M,21.58M,-21.58M,,-21.58M,29.24M,0.277M,28.96M,2.087M,,6.063M,31.05M,28.96M,74.10M,23.24M,50.81M,,0.22,0.02,0.22,0.24,,0.22,0.02,0.22,0.24,,103.61M,103.77M,0.4302,,AOR,Restated
2010-03,82.62M,82.62M,1.971M,80.65M,,6.711M,,,21.40M,-21.40M,,29.75M,50.90M,21.40M,-21.40M,,-21.40M,29.50M,0.277M,29.22M,0.982M,,6.063M,30.20M,29.22M,73.94M,23.04M,50.90M,,0.22,0.01,0.22,0.23,,0.22,0.01,0.22,0.23,,103.61M,103.69M,0.4293,,AOR,Restated
2009-12,78.00M,78.00M,1.153M,76.85M,,5.084M,,,21.38M,-21.38M,,26.33M,50.52M,21.38M,-21.38M,,-21.38M,,,28.27M,7.06M,,6.063M,35.33M,28.27M,72.25M,21.93M,50.32M,,0.21,0.07,0.21,0.28,,0.21,0.07,0.21,0.28,,103.72M,103.73M,0.4284,,AOR,Restated
2009-09,81.46M,81.46M,1.472M,79.99M,,4.906M,,,21.37M,-21.37M,0.074M,27.66M,52.33M,21.37M,-21.37M,,-21.37M,,,30.96M,2.195M,,6.063M,33.15M,30.96M,75.01M,22.45M,52.33M,,0.24,0.02,0.24,0.26,,0.24,0.02,0.24,0.26,,103.47M,103.48M,0.4274,,AOR,Restated
2009-06,81.30M,81.30M,1.786M,79.52M,,5.006M,,,21.37M,-21.37M,0.308M,28.10M,51.42M,21.37M,-21.37M,,-21.37M,,,30.05M,2.508M,,6.063M,32.56M,30.05M,74.20M,22.77M,51.42M,,0.23,0.03,0.23,0.26,,0.23,0.03,0.23,0.26,,103.45M,103.45M,0.4265,,AOR,Restated
2009-03,82.53M,82.53M,2.14M,80.39M,,5.95M,,,21.41M,-21.41M,0.303M,29.02M,51.38M,21.41M,-21.41M,,-21.41M,,,29.97M,0.118M,,6.063M,30.08M,29.97M,74.14M,22.76M,51.38M,,0.23,0.00,0.23,0.23,,0.23,0.00,0.23,0.23,,103.44M,103.45M,0.4256,,AOR,Restated
2008-12,78.55M,78.55M,5.458M,73.09M,,5.054M,,,22.73M,-22.73M,,21.74M,51.35M,22.73M,-22.73M,,-22.73M,,,24.02M,10.31M,,6.063M,34.33M,24.02M,69.62M,21.64M,47.98M,,0.17,0.10,0.17,0.27,,0.17,0.10,0.17,0.27,,103.51M,103.51M,0.424,,AOR,Restated
2008-09,82.22M,82.22M,,82.22M,,5.097M,,,23.92M,-23.92M,2.038M,29.89M,52.33M,23.92M,-23.92M,,-23.92M,,,28.42M,6.278M,,6.063M,34.70M,28.42M,75.09M,22.66M,52.33M,,0.22,0.07,0.22,0.29,,0.22,0.07,0.22,0.29,,100.36M,100.42M,0.4196,,AOR,Restated
2008-06,82.06M,82.06M,1.086M,80.98M,,5.924M,,,23.93M,-23.93M,0.218M,28.89M,52.08M,23.93M,-23.93M,,-23.93M,,,28.15M,4.898M,,6.063M,33.05M,28.15M,74.83M,22.73M,52.08M,,0.22,0.05,0.22,0.27,,0.22,0.05,0.22,0.27,,100.35M,100.39M,0.4128,,AOR,Restated
2008-03,82.69M,82.69M,1.216M,81.47M,,5.544M,,,23.39M,-23.39M,0.398M,28.02M,53.46M,23.39M,-23.39M,,-23.39M,,,30.07M,-0.308M,,6.063M,29.76M,30.07M,75.53M,22.08M,53.46M,,0.24,0.00,0.24,0.24,,0.24,0.00,0.24,0.24,,100.28M,100.37M,0.4109,,AOR,Restated
2007-12,80.13M,80.13M,,,,5.475M,,,22.72M,-22.72M,1.285M,27.71M,52.43M,22.72M,-22.72M,,-22.72M,,,29.71M,3.468M,,6.063M,33.18M,29.71M,74.20M,21.78M,52.43M,,0.23,0.04,0.23,0.27,,0.23,0.04,0.23,0.27,,100.33M,100.36M,0.409,,AOR,Restated
2007-09,73.52M,73.52M,,,,6.29M,,,16.16M,-16.16M,1.165M,26.89M,46.63M,16.16M,-16.16M,,-16.16M,,,30.47M,3.502M,,6.063M,33.97M,30.47M,68.96M,22.33M,46.63M,,0.24,0.04,0.24,0.28,,0.24,0.04,0.24,0.28,,100.19M,100.25M,0.3994,,AOR,Restated
2007-06,70.32M,70.32M,,,,5.838M,,,13.03M,-13.03M,1.311M,25.56M,44.76M,13.03M,-13.03M,,-13.03M,,,31.73M,5.203M,,6.063M,36.94M,31.73M,63.18M,18.37M,44.76M,,0.26,0.05,0.26,0.31,,0.26,0.05,0.26,0.31,,100.13M,100.25M,0.382,,AOR,Restated
2007-03,71.33M,71.33M,,,,5.091M,,,,,1.106M,24.26M,47.06M,,,,,,,34.53M,1.794M,,6.063M,36.32M,34.53M,65.13M,18.07M,47.06M,,0.28,0.02,0.28,0.30,,0.28,0.02,0.28,0.30,,100.05M,100.28M,0.3801,,AOR,Restated
2006-12,66.85M,66.85M,,,,4.856M,,,,,-55.10M,23.56M,43.30M,,,,,,,31.14M,1.551M,,18.41M,32.70M,31.14M,62.23M,18.94M,43.30M,,0.27,0.02,0.27,0.29,,0.27,0.02,0.27,0.29,,98.26M,98.42M,0.3782,,AOR,Restated
2006-09,59.16M,59.16M,,,,4.083M,,,,,2.438M,21.11M,38.06M,,,,,,,25.53M,1.031M,,-2.351M,26.56M,25.53M,52.64M,14.51M,38.06M,,0.26,0.01,0.26,0.27,,0.26,0.01,0.26,0.27,,89.17M,89.27M,0.3687,,AOR,Restated
2006-06,56.47M,56.47M,,,,4.354M,,,,,0.916M,20.05M,36.42M,,,,,,,24.49M,2.153M,,2.351M,26.64M,24.49M,51.20M,14.78M,36.42M,,0.25,0.03,0.25,0.28,,0.25,0.00,0.25,0.27,,88.31M,88.47M,0.3513,,AOR,Restated
2006-03,55.12M,55.12M,,,,4.245M,,-18.61M,,,19.70M,18.84M,36.28M,,,,,23.31M,0.231M,23.08M,1.808M,,2.351M,24.89M,23.08M,49.78M,13.50M,36.28M,,0.25,0.02,0.25,0.27,,0.25,0.02,0.25,0.27,,83.21M,83.41M,0.3495,,AOR,Restated
2005-12,50.73M,50.73M,,,,,,,,,,-48.50M,99.23M,,,,,,,21.81M,6.016M,,2.351M,27.83M,21.81M,99.23M,,99.23M,,0.39,-0.08,0.39,0.31,,0.39,-0.08,0.39,0.31,,80.84M,81.65M,0.3475,,AOR,Restated
2005-09,48.89M,48.89M,,,,4.166M,,,,,1.204M,16.60M,32.29M,,,,,,,22.06M,1.059M,,2.351M,23.12M,22.06M,43.52M,11.21M,32.29M,,0.25,0.01,0.25,0.26,,0.25,0.01,0.25,0.26,,79.78M,79.84M,0.3419,,AOR,Restated
2005-06,47.22M,47.22M,,,,3.706M,,-15.88M,,,17.09M,16.08M,31.14M,,,,,21.54M,0.203M,21.34M,3.324M,,2.351M,24.67M,21.34M,42.30M,11.14M,31.14M,,0.24,0.04,0.24,0.28,,0.24,0.04,0.24,0.28,,79.60M,79.68M,0.3325,,AOR,Restated
2005-03,46.55M,46.55M,,,,4.056M,,-15.65M,,,34.81M,33.96M,12.59M,,,,,21.85M,0.198M,21.65M,1.855M,,2.351M,23.50M,21.65M,23.34M,10.75M,12.59M,,0.24,0.03,0.24,0.27,,0.24,0.0233,0.24,0.2655,,79.58M,79.66M,0.3306,,AOR,Restated
2004-12,41.74M,41.74M,,,,,,,,,,-42.00M,83.75M,,,,,,,18.47M,8.085M,,2.244M,26.56M,18.47M,83.75M,,83.75M,,0.51,-0.20,0.51,0.31,,0.51,-0.20,0.51,0.31,,79.31M,79.39M,0.3288,,AOR,Restated
2004-09,43.66M,43.66M,,,,3.202M,,,8.552M,-8.552M,0.933M,14.28M,29.38M,8.552M,-8.552M,,-8.552M,,,20.83M,4.375M,,1.80M,25.20M,20.83M,40.55M,11.17M,29.38M,,0.22,0.06,0.22,0.28,,0.22,0.06,0.22,0.28,,79.28M,79.35M,0.3195,,AOR,Restated
2004-06,43.83M,43.83M,,,,3.26M,,-14.02M,,,14.96M,14.21M,29.62M,,,,,21.31M,0.191M,21.12M,5.668M,,2.982M,26.79M,21.12M,39.63M,9.996M,29.62M,,0.20,0.07,0.20,0.27,,0.20,0.07,0.20,0.27,,79.25M,79.32M,0.3027,,AOR,Restated
2004-03,41.46M,41.46M,,,,3.16M,,,,,17.81M,30.53M,10.92M,,,,,,,19.40M,5.453M,,2.428M,24.85M,19.40M,20.48M,9.562M,10.92M,,0.22,0.07,0.22,0.29,,0.22,0.07,0.22,0.29,,76.23M,76.32M,0.3007,,AOR,Restated
2003-12,39.75M,36.76M,,,,2.861M,,,,,,-106.97M,143.73M,,,,,,,17.97M,9.515M,,2.428M,27.48M,17.97M,154.29M,10.56M,143.73M,,0.43,-0.09,0.43,0.34,,0.2061,-0.09,0.2061,0.34,,75.05M,75.05M,0.2988,,AOR,Restated
2003-09,36.27M,36.27M,,,,2.544M,,,,,13.92M,24.55M,11.72M,,,,,,,18.30M,2.031M,,2.428M,20.33M,18.30M,19.80M,7.934M,11.72M,,0.225,0.03,0.225,0.255,,0.225,0.00,0.225,0.255,,70.20M,70.20M,0.297,,AOR,Restated
2003-06,35.41M,35.41M,,,,2.636M,,-11.29M,,,11.99M,11.42M,23.98M,,,,,17.58M,0.136M,17.44M,3.151M,,2.428M,20.59M,17.44M,32.07M,8.043M,23.98M,,0.215,0.045,0.215,0.26,,0.215,0.045,0.215,0.26,,69.85M,69.85M,0.2952,,AOR,Restated
2003-03,34.70M,34.70M,,,,2.575M,,-11.06M,,,11.80M,11.19M,23.51M,,,,,17.76M,0.135M,17.62M,0.414M,,2.428M,18.03M,17.62M,31.38M,7.875M,23.51M,,0.215,0.01,0.215,0.225,,0.215,0.01,0.215,0.225,,69.36M,69.36M,0.2932,,AOR,Restated
2002-12,26.10M,23.51M,,,,1.993M,,,,,,-64.76M,88.27M,,,,,,,12.12M,7.989M,,2.429M,20.11M,12.12M,96.45M,8.181M,88.27M,,0.33,-0.075,0.33,0.255,,0.1339,-0.075,0.1339,0.2544,,69.76M,69.88M,0.2913,,AOR,Restated
