,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2011-12,539.33M,539.33M,300.39M,238.94M,220.18M,31.50M,,-10.40M,12.20M,0.53M,-11.68M,,251.68M,-12.74M,0.53M,12.20M,-11.68M,-14.27M,-11.68M,-38.69M,44.54M,-83.22M,-0.417M,,-83.64M,-76.46M,5.72M,32.20M,-26.48M,-0.74,0.0,,,-0.68,-0.74,-0.74,0.0,,,-0.6803,-0.74,112.71M,113.27M,0.07
2011-09,452.94M,452.94M,253.58M,199.36M,133.12M,30.10M,,-0.016M,4.449M,0.549M,-3.90M,,163.22M,36.14M,0.549M,4.449M,-3.90M,-0.016M,-3.90M,32.22M,4.215M,28.00M,8.618M,,36.62M,28.02M,64.78M,28.12M,36.67M,0.25,0.08,,,0.2501,0.32,0.25,0.08,,,0.2501,0.32,112.70M,113.42M,0.07
2011-06,479.06M,479.06M,269.87M,209.19M,138.40M,28.03M,,-3.881M,4.213M,0.483M,-3.73M,,166.44M,42.76M,0.483M,4.213M,-3.73M,-3.881M,-3.73M,35.15M,6.047M,29.10M,0.66M,,29.76M,32.31M,66.01M,26.65M,39.36M,0.26,0.01,,,0.2886,0.26,0.26,0.01,,,0.2883,0.26,112.49M,113.62M,0.07
2011-03,447.18M,447.18M,246.87M,200.31M,132.70M,26.18M,,-2.162M,3.916M,0.322M,-3.594M,,158.88M,41.43M,0.322M,3.916M,-3.594M,-2.162M,-3.594M,35.68M,8.384M,27.29M,-2.378M,,24.91M,28.94M,63.54M,23.95M,39.59M,0.24,-0.02,,,0.2545,0.22,0.24,-0.02,,,0.2544,0.22,114.00M,115.14M,0.07
2010-12,467.39M,467.39M,259.04M,208.35M,121.92M,25.01M,,-6.79M,3.954M,0.29M,-3.664M,,146.94M,61.42M,0.29M,3.954M,-3.664M,-8.934M,-3.664M,48.82M,3.272M,45.55M,250.01M,,295.56M,51.88M,76.07M,23.29M,52.77M,0.39,2.13,,,0.4444,2.53,0.39,2.12,,,0.4439,2.5,116.41M,117.49M,0.07
2010-09,419.14M,419.14M,233.36M,185.78M,120.55M,23.81M,,-2.687M,4.185M,0.192M,-3.993M,,144.37M,41.42M,0.192M,4.185M,-3.993M,-2.687M,-3.993M,34.74M,8.192M,26.54M,-13.15M,,13.39M,28.60M,61.72M,22.79M,38.92M,0.23,-0.11,,,0.2475,0.11,0.22,-0.11,,,0.2374,0.11,117.48M,118.21M,0.07
2010-06,421.61M,421.61M,232.36M,189.25M,123.25M,22.92M,,-6.053M,3.949M,0.169M,-3.78M,,146.18M,43.08M,0.169M,3.949M,-3.78M,-6.053M,-3.78M,-54.90M,-7.718M,-47.18M,10.46M,,57.64M,52.38M,-27.87M,23.08M,-50.95M,0.4,0.09,,,0.4443,0.49,0.4,0.09,,,0.444,0.49,117.36M,118.30M,0.07
2010-03,393.62M,393.62M,218.35M,175.27M,121.59M,23.06M,,0.50M,3.803M,0.181M,-3.622M,,144.65M,30.62M,0.181M,3.803M,-3.622M,0.50M,-3.622M,27.50M,7.861M,19.64M,4.755M,,24.39M,19.28M,51.30M,20.00M,31.30M,0.17,0.04,,,0.167,0.21,0.17,0.04,,,0.167,0.21,117.19M,117.93M,0.07
2009-12,428.48M,428.48M,234.63M,193.84M,120.60M,23.65M,,0.837M,3.924M,0.258M,-3.666M,,144.26M,49.59M,0.258M,3.924M,-3.666M,0.837M,-3.666M,46.76M,13.84M,32.92M,7.026M,,39.95M,32.33M,73.50M,22.82M,50.68M,0.28,0.06,,,0.2749,0.35,0.28,0.06,,,0.275,0.34,116.32M,116.90M,0.07
2009-09,377.04M,377.04M,208.28M,168.76M,112.76M,23.30M,,-11.59M,3.876M,0.124M,-3.752M,,136.06M,32.70M,0.124M,3.876M,-3.752M,-11.59M,-3.752M,17.35M,4.025M,13.33M,0.261M,,13.59M,22.23M,35.08M,13.85M,21.23M,0.11,0.01,,,0.1866,0.12,0.11,0.01,,,0.1863,0.12,116.21M,116.64M,0.07
