,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2004-09,1.006B,1.006B,602.00M,404.00M,153.00M,88.00M,9.00M,-1.743B,,,,-50.00M,200.00M,204.00M,,,,-1.647B,,-1.619B,985.00M,-2.511B,20.00M,-3.00M,,-2.491B,-1.465B,332.00M,128.00M,204.00M,,-1.79,0.01,,-1.042,-1.78,,-1.79,0.01,,-1.042,-1.78,,1.399B,1.399B,0.00,,,
2004-06,971.00M,971.00M,625.00M,346.00M,166.00M,85.00M,9.00M,-17.00M,,,,47.00M,307.00M,39.00M,,,,90.00M,,36.00M,24.00M,108.00M,,-11.00M,,108.00M,118.20M,168.00M,129.00M,39.00M,,0.08,0.00,,0.0874,0.08,,0.07,0.00,,0.0768,0.07,,1.383B,1.495B,0.00,,,
2004-03,844.00M,844.00M,544.00M,300.00M,160.00M,84.00M,10.00M,-80.00M,,,,19.00M,273.00M,27.00M,,,,27.00M,,-64.00M,-12.00M,55.00M,,,,55.00M,120.00M,157.00M,130.00M,27.00M,,0.04,0.00,,0.0879,0.04,,0.04,0.00,,0.0852,0.04,,1.358B,1.437B,0.00,,,
2003-12,820.00M,820.00M,578.00M,242.00M,152.00M,86.00M,9.00M,-58.00M,,,,,660.00M,-418.00M,,,,-43.00M,,-91.00M,-46.00M,-29.00M,,1.00M,,-29.00M,5.80M,-292.00M,126.00M,-418.00M,,-0.07,0.00,,-0.0441,-0.07,,-0.07,0.00,,-0.0441,-0.07,,1.343B,1.343B,0.00,,,
2003-09,772.00M,772.00M,546.00M,226.00M,147.00M,80.00M,10.00M,-34.00M,,,,,237.00M,-11.00M,,,,41.00M,,-74.00M,-30.00M,33.00M,,2.00M,,33.00M,53.40M,112.00M,123.00M,-11.00M,,0.03,0.00,,0.0455,0.03,,0.02,0.00,,0.0347,0.02,,1.314B,1.39B,0.00,,,
2003-06,752.00M,752.00M,571.00M,181.00M,148.00M,85.00M,9.00M,-55.00M,,,,,242.00M,-61.00M,,,,5.00M,,-149.00M,-34.00M,-22.00M,,33.00M,,-22.00M,20.45M,80.00M,141.00M,-61.00M,,-0.02,0.00,,0.0141,-0.02,,-0.02,0.00,,0.0141,-0.02,,1.244B,1.244B,0.00,,,
2003-03,746.00M,746.00M,546.00M,200.00M,152.00M,93.00M,9.00M,-359.00M,,,,,254.00M,-54.00M,,,,-300.00M,,-445.00M,-144.00M,-205.00M,,37.00M,,-205.00M,37.83M,73.00M,127.00M,-54.00M,,-0.17,0.00,,0.0324,-0.17,,-0.17,0.00,,0.0324,-0.17,,1.20B,1.20B,0.00,,,
2002-12,736.00M,736.00M,631.00M,105.00M,183.00M,113.00M,10.00M,-1.403B,,,,,306.00M,-201.00M,,,,-1.384B,,-1.64B,-401.00M,-1.139B,,81.00M,1.00M,-661.00M,-79.05M,-44.00M,157.00M,-201.00M,,-1.11,0.46,,-0.2149,-0.65,,-1.11,0.46,,-0.2149,-0.65,,1.184B,1.184B,0.00,,,
2002-09,762.00M,762.00M,633.00M,129.00M,157.00M,113.00M,11.00M,-104.00M,,,,,281.00M,-152.00M,,,,-62.00M,,-290.00M,-91.00M,-152.00M,19.00M,5.00M,128.00M,-133.00M,-80.63M,1.00M,153.00M,-152.00M,,-0.25,0.00,,-0.1811,-0.25,,-0.25,0.00,,-0.1811,-0.25,,1.036B,1.036B,0.00,,,
2002-06,896.00M,896.00M,682.00M,214.00M,190.00M,132.00M,11.00M,-426.00M,,,,,333.00M,-119.00M,,,,-401.00M,,-579.00M,-178.00M,-370.00M,,6.00M,,-370.00M,-74.96M,58.00M,177.00M,-119.00M,,-0.39,0.00,,-0.0788,-0.39,,-0.39,0.00,,-0.0788,-0.39,,948.00M,948.00M,0.00,,,
2002-03,898.00M,898.00M,694.00M,204.00M,190.00M,128.00M,11.00M,-9.00M,,,,,329.00M,-125.00M,,,,21.00M,,-168.00M,-42.00M,-90.00M,,6.00M,,-90.00M,-83.25M,49.00M,174.00M,-125.00M,,-0.10,0.00,,-0.0929,-0.10,,-0.10,0.00,,-0.0929,-0.10,,945.00M,945.00M,0.00,,,
2001-12,749.00M,749.00M,789.00M,-40.00M,291.00M,138.00M,75.00M,-607.00M,,,,,504.00M,-544.00M,,,,-578.00M,,-1.181B,-439.00M,-689.00M,,24.00M,,-655.00M,-307.63M,-324.00M,220.00M,-544.00M,,-0.72,0.04,,-0.3175,-0.68,,-0.72,0.04,,-0.3175,-0.68,,947.47M,947.47M,0.00,,,
2001-09,1.509B,1.509B,994.00M,515.00M,267.00M,153.00M,48.00M,-345.00M,,,,,468.00M,47.00M,,,,-306.00M,,-320.00M,-60.00M,-220.00M,,1.00M,,-220.00M,60.31M,95.00M,48.00M,47.00M,,-0.24,0.00,,0.0595,-0.24,,-0.24,0.00,,0.0595,-0.24,,936.00M,936.00M,0.00,,,
2001-06,1.868B,1.868B,1.332B,536.00M,271.00M,169.00M,160.00M,-4.784B,,,,,600.00M,-64.00M,,,,-4.738B,,-4.871B,-77.00M,-4.755B,,-7.00M,,-4.755B,-46.62M,96.00M,160.00M,-64.00M,,-5.13,0.00,,-0.0454,-5.13,,-5.13,0.00,,-0.0454,-5.13,,926.00M,926.00M,0.06,,,
2001-03,1.921B,1.921B,957.00M,964.00M,261.00M,162.00M,,25.00M,,,,,734.00M,230.00M,,,,25.00M,,240.00M,108.00M,132.00M,,-5.00M,,132.00M,117.00M,541.00M,311.00M,230.00M,,0.14,0.00,,0.1241,0.14,,0.14,0.00,,0.1241,0.14,,942.86M,942.86M,0.06,,,
2000-12,1.877B,1.877B,1.079B,798.00M,327.00M,160.00M,101.00M,-285.00M,,,,,588.00M,210.00M,,,,-261.00M,,-90.00M,80.00M,-117.00M,,-7.00M,0.00,-58.00M,54.00M,436.00M,226.00M,210.00M,,-0.0625,,,0.1218,-0.0625,,-0.0625,0.07,,0.0028,-0.0625,,928.09M,2.619B,0.06,,,
2000-09,1.916B,1.916B,1.112B,804.00M,256.00M,141.00M,82.00M,,,,,,479.00M,325.00M,,,,52.00M,,365.00M,111.00M,254.00M,,-7.00M,,254.00M,254.00M,407.00M,82.00M,325.00M,,0.0967,0.00,,0.0967,0.0967,,0.0933,0.00,,0.0933,0.0933,,2.630B,2.720B,0.06,,,
2000-06,1.776B,1.776B,1.03B,746.00M,258.00M,120.00M,49.00M,-55.00M,,,,51.00M,478.00M,268.00M,,,,-16.00M,,254.00M,137.00M,149.00M,,-7.00M,,149.00M,182.00M,317.00M,49.00M,268.00M,,0.06,0.00,,0.0730,0.06,,0.0567,0.00,,0.0693,0.0567,,2.535B,2.616B,0.06,,,
2000-03,1.351B,1.351B,676.00M,675.00M,200.00M,110.00M,,-97.00M,,,,,435.00M,240.00M,,,,-97.00M,,132.00M,55.00M,77.00M,,-3.00M,,77.00M,135.20M,365.00M,125.00M,240.00M,,0.03,0.00,,0.0539,0.03,,0.03,0.00,,0.0533,0.03,,2.433B,2.496B,0.06,,,
1999-12,1.339B,1.339B,1.137B,202.30M,191.60M,105.90M,,-48.10M,,,,,23.40M,178.90M,,,,63.90M,,164.30M,61.70M,145.60M,,-18.60M,0.10M,150.60M,175.64M,280.80M,101.90M,178.90M,,0.2044,,,0.2452,0.2044,,0.2044,,,0.2452,0.2044,,736.20M,736.20M,0.06,,,
1999-09,1.254B,1.254B,676.30M,577.70M,172.00M,100.20M,,34.70M,,,,,370.20M,207.50M,,,,34.70M,,197.60M,55.70M,141.90M,,-18.60M,0.20M,141.90M,116.98M,305.90M,98.40M,207.50M,,0.06,0.00,,0.0261,0.06,,0.06,0.00,,0.0261,0.06,,734.10M,734.10M,0.06,,,
1999-06,1.141B,1.141B,605.20M,535.80M,161.90M,88.50M,,30.80M,,,,,345.50M,190.30M,,,,30.80M,,183.30M,52.30M,131.00M,,-17.40M,0.30M,131.00M,108.99M,292.40M,102.10M,190.30M,,0.0567,0.00,,0.0472,0.0567,,0.0533,0.00,,0.0441,0.0533,,2.318B,2.389B,0.06,,,
1999-03,1.007B,1.007B,529.10M,477.90M,152.20M,83.40M,,18.90M,,,,,337.20M,140.70M,,,,18.90M,,129.80M,37.30M,92.50M,,-10.10M,,92.50M,79.03M,242.30M,101.60M,140.70M,,0.04,0.00,,0.0216,0.04,,0.04,0.00,,0.0216,0.04,,732.00M,732.00M,0.06,,,
1998-12,1.364B,1.364B,700.40M,664.00M,190.70M,93.60M,,-82.10M,,,,,349.20M,314.80M,,,,-82.10M,,197.00M,65.40M,131.60M,0.00,-23.00M,0.30M,131.60M,186.44M,379.70M,64.90M,314.80M,,0.1891,0.00,,0.2680,0.1891,,0.1891,0.00,,0.2680,0.1891,,694.50M,694.50M,0.06,,,
1998-09,906.50M,906.50M,474.30M,432.20M,112.60M,71.60M,,16.40M,,,,,260.00M,172.20M,,,,16.40M,,153.60M,49.20M,104.40M,,-20.30M,0.40M,104.40M,93.25M,248.00M,75.80M,172.20M,,0.05,0.00,,0.0340,0.05,,0.05,0.00,,0.0340,0.05,,696.00M,696.00M,0.06,,,
1998-06,855.90M,855.90M,452.10M,403.80M,126.60M,75.10M,,-22.00M,,,,,280.00M,123.80M,,,,-22.00M,,70.60M,13.90M,56.70M,67.10M,-12.80M,0.40M,123.80M,74.37M,202.10M,78.30M,123.80M,,0.0267,0.0333,,0.0521,0.06,,0.0267,0.0333,,0.0521,0.06,,696.00M,696.00M,0.06,,,
1998-03,794.80M,794.80M,435.80M,359.00M,112.90M,67.10M,,9.50M,,,,,258.90M,100.10M,,,,9.50M,,83.10M,21.00M,62.10M,-0.60M,-5.50M,0.40M,61.50M,55.00M,179.00M,78.90M,100.10M,,0.03,0.00,,0.0198,0.03,,0.03,0.00,,0.0198,0.03,,696.00M,696.00M,0.06,,,
1997-12,902.30M,902.30M,470.70M,431.60M,139.90M,75.20M,,17.80M,,,,,270.80M,160.80M,,,,17.80M,,140.00M,48.30M,91.70M,16.80M,-9.80M,0.40M,108.50M,80.04M,216.50M,55.70M,160.80M,,0.1314,0.0242,,0.1146,0.1556,,0.1314,0.0242,,0.1146,0.1556,,694.80M,694.80M,0.06,,,
1997-09,891.90M,891.90M,436.50M,455.40M,134.00M,70.70M,,35.00M,,,,,293.10M,162.30M,,,,35.00M,,154.80M,48.00M,106.80M,5.50M,-22.90M,,112.30M,82.65M,250.70M,79.70M,162.30M,,0.0533,0.0033,,0.0185,0.0567,,0.05,0.0033,,0.0152,0.0533,,693.60M,693.60M,0.06,,,
1997-06,905.50M,905.50M,433.70M,471.80M,138.90M,53.40M,,35.10M,,,,,273.90M,197.90M,,,,35.10M,,189.20M,64.20M,125.00M,2.00M,-20.80M,,127.00M,101.81M,279.50M,73.40M,197.90M,,0.06,0.00,,0.0265,0.06,,0.0567,0.00,,0.0231,0.0567,,691.80M,691.80M,0.06,,,
1997-03,817.10M,817.10M,398.60M,418.50M,128.80M,51.00M,,9.90M,,,,,256.90M,161.60M,,,,9.90M,,134.40M,49.00M,85.40M,6.60M,-12.50M,0.40M,92.00M,79.11M,238.70M,77.10M,161.60M,,0.04,0.0033,,0.0309,0.0433,,0.04,0.0033,,0.0309,0.0433,,688.20M,688.20M,0.06,,,
1996-12,362.50M,362.50M,153.00M,209.50M,-108.20M,,,30.00M,,,,,121.20M,88.30M,,,,30.00M,,89.70M,28.30M,61.40M,14.90M,-11.50M,,76.30M,40.86M,128.50M,40.20M,88.30M,,0.0867,0.0217,,0.0568,0.1084,,0.0867,0.0217,,0.0568,0.1084,,686.10M,686.10M,0.12,,,
1996-09,910.20M,910.20M,480.90M,429.30M,210.60M,,,24.90M,,,,,280.90M,148.40M,,,,24.90M,,142.50M,43.90M,98.60M,-115.00M,-13.00M,,-16.40M,81.37M,218.70M,70.30M,148.40M,,0.0467,-0.0567,,0.0217,-0.01,,0.0467,-0.0567,,0.0217,-0.01,,689.10M,689.10M,0.06,,,
1996-06,913.70M,913.70M,536.00M,377.70M,193.30M,,,21.90M,,,,,226.00M,151.70M,,,,21.90M,,139.50M,45.70M,93.80M,-56.80M,-15.80M,,37.00M,79.07M,184.40M,32.70M,151.70M,,0.0467,-0.0267,,0.0253,0.02,,0.0433,-0.0267,,0.0220,0.0167,,690.29M,690.29M,0.06,,,
1996-03,1.353B,1.353B,764.10M,588.50M,329.40M,,,12.30M,,,,,438.50M,150.00M,,,,12.30M,,116.60M,44.80M,71.80M,,-15.90M,,71.80M,64.23M,259.10M,109.10M,150.00M,,0.03,0.0033,,0.0190,0.0333,,0.03,0.0033,,0.0190,0.0333,,689.10M,689.10M,0.06,,,
1995-12,-725.60M,-725.60M,-457.90M,-267.70M,-223.60M,,,61.00M,,,,,-251.70M,-16.00M,,,,61.00M,,65.60M,2.80M,62.80M,,-0.50M,,83.50M,4.404M,-44.10M,-28.10M,-16.00M,,0.1182,,,0.0335,0.1182,,0.1182,,,0.0335,0.1182,,689.40M,689.40M,0.06,,,
1995-09,1.569B,1.569B,889.90M,678.90M,410.90M,,,20.10M,,,,,509.50M,169.40M,,,,20.10M,,125.70M,42.20M,83.50M,,-28.00M,,83.50M,70.15M,268.00M,98.60M,169.40M,,0.04,0.00,,0.0207,0.04,,0.04,0.00,,0.0207,0.04,,691.20M,691.20M,0.06,,,
1995-06,1.298B,1.298B,723.50M,574.30M,284.40M,,,-411.00M,,,,,377.40M,196.90M,,,,-411.00M,,-263.90M,33.30M,-297.20M,,-21.30M,,-297.20M,-50.60M,289.90M,93.00M,196.90M,,-0.1467,0.00,,0.2143,-0.1467,,-0.1467,0.00,,0.2143,-0.1467,,683.10M,683.10M,0.06,,,
1995-03,1.123B,1.123B,625.50M,497.50M,260.10M,,,10.50M,,,,,348.20M,149.30M,,,,10.50M,,119.30M,39.90M,79.40M,,-14.50M,0.50M,79.40M,72.41M,237.40M,88.10M,149.30M,,0.04,0.00,,0.0298,0.04,,0.04,0.00,,0.0298,0.04,,686.40M,686.40M,0.06,,,
1994-12,1.274B,1.274B,738.50M,535.00M,200.30M,,,-117.80M,,,,,286.60M,248.40M,,,,-117.80M,,88.00M,53.00M,35.00M,,-17.80M,0.50M,35.00M,105.68M,334.70M,86.30M,248.40M,,0.0503,,,0.1535,0.0503,,0.0503,,,0.1535,0.0503,,685.29M,685.29M,0.06,,,
1994-09,1.442B,1.442B,820.70M,621.70M,381.00M,,,25.20M,,,,,478.20M,143.50M,,,,25.20M,,111.00M,34.10M,76.90M,,-23.80M,0.50M,76.90M,59.44M,240.70M,97.20M,143.50M,,0.04,0.00,,0.0128,0.04,,0.04,0.00,,0.0128,0.04,,640.70M,640.70M,0.0566,,,
1994-06,1.109B,1.109B,618.10M,491.10M,243.40M,,,31.00M,,,,,321.40M,169.70M,,,,31.00M,,164.80M,53.40M,111.40M,,-10.00M,0.50M,111.40M,90.44M,247.70M,78.00M,169.70M,,0.06,0.00,,0.0274,0.06,,0.06,0.00,,0.0274,0.06,,641.85M,641.85M,0.0566,,,
1994-03,948.90M,948.90M,545.20M,403.70M,223.90M,,,18.40M,,,,,300.80M,102.90M,,,,18.40M,,87.60M,29.60M,58.00M,,-7.90M,0.50M,58.00M,45.82M,179.80M,76.90M,102.90M,,0.03,0.00,,0.0106,0.03,,0.03,0.00,,0.0106,0.03,,627.52M,627.52M,0.0566,,,
1993-12,1.083B,1.083B,637.70M,445.30M,253.40M,,,-189.80M,,,,,323.20M,122.10M,,,,-189.80M,,-99.10M,21.80M,-120.90M,,-7.10M,0.50M,-120.90M,-7.02M,191.90M,69.80M,122.10M,,-0.2015,,,-0.0125,-0.2015,,-0.2015,,,-0.0125,-0.2015,,602.51M,602.51M,0.0566,,,
1993-09,1.198B,1.198B,705.80M,492.20M,270.90M,,,-185.70M,,,,,354.10M,138.10M,,,,-185.70M,,-79.00M,-45.10M,-33.90M,,-2.60M,0.50M,-33.90M,77.52M,221.30M,83.20M,138.10M,,-0.02,0.00,,0.1654,-0.02,,-0.02,0.00,,0.1654,-0.02,,600.83M,600.83M,0.0566,,,
1993-06,906.80M,906.80M,504.00M,402.80M,216.50M,,,25.00M,,,,,280.90M,121.90M,,,,25.00M,,124.50M,34.70M,89.80M,,-3.80M,0.60M,89.80M,71.77M,186.30M,64.40M,121.90M,,0.0533,0.00,,0.0226,0.0533,,0.0533,0.00,,0.0226,0.0533,,586.57M,586.57M,0.0566,,,
1993-03,817.00M,817.00M,469.10M,347.90M,206.30M,,,14.70M,,,,,269.30M,78.60M,,,,14.70M,,73.70M,23.90M,49.80M,,-3.10M,0.50M,49.80M,39.87M,141.60M,63.00M,78.60M,,0.03,0.00,,0.0129,0.03,,0.03,0.00,,0.0129,0.03,,580.41M,580.41M,0.0566,,,
1992-12,835.70M,835.70M,469.10M,366.60M,275.40M,,,-14.50M,,,,,321.50M,45.10M,,,,-14.50M,,11.10M,0.90M,10.20M,,-8.40M,0.50M,-269.80M,23.52M,91.20M,46.10M,45.10M,,-0.4755,,0.0113,-0.4527,-0.4642,,-0.4755,,0.0113,-0.4527,-0.4642,,582.28M,582.28M,0.0566,,,
1992-09,1.153B,1.153B,679.10M,474.00M,238.70M,,,24.00M,,,,,313.70M,160.30M,,,,24.00M,,155.30M,48.80M,106.50M,,-9.50M,0.60M,107.00M,90.04M,235.30M,75.00M,160.30M,,0.0633,0.00,0.0009,0.0352,0.0633,,0.0633,0.00,0.0009,0.0352,0.0633,,584.44M,584.44M,0.05,,,
1992-06,926.70M,926.70M,549.90M,376.80M,203.40M,,,16.30M,,,,,267.00M,109.80M,,,,16.30M,,107.50M,35.70M,71.80M,,-2.70M,0.60M,72.10M,60.91M,176.10M,66.30M,109.80M,,0.0433,0.00,0.0005,0.0245,0.0433,,0.0433,0.00,0.0005,0.0245,0.0433,,576.80M,576.80M,0.05,,,
1992-03,793.20M,793.20M,467.70M,325.50M,189.10M,,,26.30M,,,,,249.90M,75.60M,,,,26.30M,,84.80M,7.00M,77.80M,,-1.00M,0.60M,78.10M,53.67M,136.40M,60.80M,75.60M,,0.0467,0.00,0.0005,0.0049,0.0467,,0.0467,0.00,0.0005,0.0049,0.0467,,577.79M,577.79M,0.05,,,
1991-12,826.30M,826.30M,491.20M,335.10M,171.80M,,,8.60M,,,,,217.10M,118.00M,,,,8.60M,,109.60M,24.00M,85.60M,,-3.70M,0.60M,85.60M,78.88M,163.30M,45.30M,118.00M,,0.1462,,,0.1347,0.1462,,0.1462,,,0.1347,0.1462,,581.28M,581.28M,0.05,,,
1991-09,963.50M,963.50M,551.00M,412.50M,225.70M,,,48.00M,,,,,300.80M,111.70M,,,,48.00M,,135.70M,31.20M,104.50M,,-6.30M,0.60M,104.50M,67.54M,186.80M,75.10M,111.70M,,0.0317,0.00,,-0.0324,0.0317,,0.0317,0.00,,-0.0324,0.0317,,576.52M,576.52M,0.0416,,,
1991-06,778.20M,778.20M,446.80M,331.40M,179.20M,,,30.20M,,,,,235.10M,96.30M,,,,30.20M,,106.70M,32.80M,73.90M,,-5.60M,0.60M,73.90M,52.98M,152.20M,55.90M,96.30M,,0.0217,0.00,,-0.0148,0.0217,,0.0217,0.00,,-0.0148,0.0217,,572.78M,572.78M,0.0416,,,
1991-03,691.20M,691.20M,401.30M,289.90M,167.50M,,,17.00M,,,,,222.50M,67.40M,,,,17.00M,,69.80M,22.60M,47.20M,,-1.70M,0.60M,47.20M,35.70M,122.40M,55.00M,67.40M,,0.015,0.00,,-0.0057,0.015,,0.015,0.00,,-0.0057,0.015,,555.11M,555.11M,0.0416,,,
1990-12,772.80M,772.80M,449.00M,323.80M,189.50M,,,21.70M,,,,,238.20M,85.60M,,,,21.70M,,93.60M,21.60M,72.00M,,-1.00M,0.60M,72.00M,55.31M,134.30M,48.70M,85.60M,,0.1294,,,0.0992,0.1294,,0.1294,,,0.0992,0.1294,,551.68M,551.68M,0.0416,,,
1990-09,886.50M,886.50M,521.80M,364.70M,203.60M,,,93.40M,,,,,270.60M,94.10M,,,,93.40M,,166.10M,62.60M,103.50M,,-4.80M,0.60M,103.50M,45.30M,161.10M,67.00M,94.10M,,0.03,0.00,,-0.0750,0.03,,0.03,0.00,,-0.0750,0.03,,554.34M,554.34M,0.0375,,,
1990-06,678.00M,678.00M,390.80M,287.20M,163.50M,,,31.80M,,,,,208.70M,78.50M,,,,31.80M,,94.80M,27.90M,66.90M,,-3.40M,0.70M,66.90M,44.46M,123.70M,45.20M,78.50M,,0.02,0.00,,-0.0199,0.02,,0.02,0.00,,-0.0199,0.02,,562.10M,562.10M,0.0375,,,
1990-03,603.20M,603.20M,352.70M,250.50M,149.70M,,,34.00M,,,,,200.00M,50.50M,,,,34.00M,,70.70M,24.00M,46.70M,,-1.20M,0.60M,46.70M,24.24M,100.80M,50.30M,50.50M,,0.0133,0.00,,-0.0264,0.0133,,0.0133,0.00,,-0.0264,0.0133,,565.80M,565.80M,0.0375,,,
1989-12,610.90M,610.90M,,,,,,,,,,,,-1.646B,,,,,,,,73.00M,,,,73.00M,,-1.646B,,-1.646B,,,,,,,,,,,,,,565.87M,565.87M,0.0375,,,
1989-09,715.00M,715.00M,,,,,,,,,,,,715.00M,,,,,,,,75.90M,,,,75.90M,,715.00M,,715.00M,,0.0217,0.00,,0.0217,0.0217,,0.0217,0.00,,0.0217,0.0217,,570.38M,570.38M,0.0333,,,
1989-06,579.80M,579.80M,,,,,,,,,,,,579.80M,,,,,,,,69.40M,,,,69.40M,,579.80M,,579.80M,,0.0217,0.00,,0.0217,0.0217,,0.0217,0.00,,0.0217,0.0217,,533.68M,533.68M,0.0333,,,
1989-03,533.50M,533.50M,,,,,,,,,,,,533.50M,,,,,,,,41.10M,,,,41.10M,,533.50M,,533.50M,,0.0133,0.00,,0.0133,0.0133,,0.0133,0.00,,0.0133,0.0133,,546.79M,546.79M,0.0333,,,
1988-12,543.00M,543.00M,,,,,,,,,,,,-1.388B,,,,,,,,51.40M,,,,51.40M,,-1.388B,,-1.388B,,,,,,,,,,,,,,533.68M,533.68M,0.0333,,,
1988-09,625.40M,625.40M,,,,,,,,,,,,625.40M,,,,,,,,123.20M,,,,123.20M,,625.40M,,625.40M,,0.0192,0.00,,0.0192,0.0192,,0.0192,0.00,,0.0192,0.0192,,546.79M,546.79M,0.0308,,,
1988-06,499.80M,499.80M,,,,,,,,,,,,499.80M,,,,,,,,81.00M,,,,81.00M,,499.80M,,499.80M,,0.0125,0.00,,0.0125,0.0125,,0.0125,0.00,,0.0125,0.0125,,541.08M,541.08M,0.0308,,,
1988-03,453.30M,453.30M,,,,,,,,,,,,453.30M,,,,,,,,36.80M,,,,36.80M,,453.30M,,453.30M,,0.0058,0.00,,0.0058,0.0058,,0.0058,0.00,,0.0058,0.0058,,552.84M,552.84M,0.0308,,,
1987-12,539.50M,539.50M,,,,,,,,,,,,-1.397B,,,,,,,,56.60M,,,,56.60M,,-1.397B,,-1.397B,,,,,,,,,,,,,,541.08M,541.08M,0.0308,,,
1987-09,610.10M,610.10M,,,,,,,,,,,,610.10M,,,,,,,,50.70M,,,,50.70M,,610.10M,,610.10M,,0.0075,0.00,,0.0075,0.0075,,0.0075,0.00,,0.0075,0.0075,,557.24M,557.24M,0.0291,,,
1987-06,491.30M,491.30M,,,,,,,,,,,,491.30M,,,,,,,,52.30M,,,,52.30M,,491.30M,,491.30M,,0.0083,0.00,,0.0083,0.0083,,0.0083,0.00,,0.0083,0.0083,,557.29M,557.29M,0.0291,,,
1987-03,442.80M,442.80M,,,,,,,,,,,,442.80M,,,,,,,,29.50M,,,,29.50M,,442.80M,,442.80M,,0.0042,0.00,,0.0042,0.0042,,0.0042,0.00,,0.0042,0.0042,,534.91M,534.91M,0.0291,,,
1986-12,436.80M,436.80M,,,,,,,,,,,,-1.252B,,,,,,,,26.90M,,,,26.90M,,-1.252B,,-1.252B,,,,,,,,,,,,,,518.73M,518.73M,0.0291,,,
1986-09,549.00M,549.00M,,,,,,,,,,,,549.00M,,,,,,,,46.60M,,,,46.60M,,549.00M,,549.00M,,0.0075,0.00,,0.0075,0.0075,,0.0075,0.00,,0.0075,0.0075,,518.76M,518.76M,0.0291,,,
1986-06,448.00M,448.00M,,,,,,,,,,,,448.00M,,,,,,,,53.40M,,,,53.40M,,448.00M,,448.00M,,0.0083,0.00,,0.0083,0.0083,,0.0083,0.00,,0.0083,0.0083,,518.76M,518.76M,0.0291,,,
1986-03,422.50M,422.50M,,,,,,,,,,,,422.50M,,,,,,,,35.30M,,,,35.30M,,422.50M,,422.50M,,0.0058,0.00,,0.0058,0.0058,,0.0058,0.00,,0.0058,0.0058,,514.56M,514.56M,0.0291,,,
1985-12,398.10M,398.10M,,,,,,,,,,,,-1.156B,,,,,,,,28.50M,,,,28.50M,,-1.156B,,-1.156B,,,,,,,,,,,,,,515.27M,515.27M,0.0291,,,
1985-09,474.50M,474.50M,,,,,,,,,,,,474.50M,,,,,,,,9.70M,,,,9.70M,,474.50M,,474.50M,,0.0017,0.00,,0.0017,0.0017,,0.0017,0.00,,0.0017,0.0017,,513.11M,513.11M,,,,
1985-06,425.50M,425.50M,,,,,,,,,,,,425.50M,,,,,,,,42.10M,,,,42.10M,,425.50M,,425.50M,,0.0067,0.00,,0.0067,0.0067,,0.0067,0.00,,0.0067,0.0067,,510.10M,510.10M,,,,
1985-03,392.40M,392.40M,,,,,,,,,,,,392.40M,,,,,,,,28.90M,,,,28.90M,,392.40M,,392.40M,,0.0042,0.00,,0.0042,0.0042,,0.0042,0.00,,0.0042,0.0042,,508.18M,508.18M,,,,
1984-12,404.10M,404.10M,,,,,,,,,,,,-1.239B,,,,,,,,14.50M,,,,14.50M,,-1.239B,,-1.239B,,,,,,,,,,,,,,490.13M,490.13M,,,,
1984-09,500.10M,500.10M,,,,,,,,,,,,500.10M,,,,,,,,15.10M,,,,15.10M,,500.10M,,500.10M,,0.0012,0.00,,0.0012,0.0012,,0.0012,0.00,,0.0012,0.0012,,508.18M,508.18M,,,,
1984-06,410.10M,410.10M,,,,,,,,,,,,410.10M,,,,,,,,30.10M,,,,30.10M,,410.10M,,410.10M,,0.0025,0.00,,0.0025,0.0025,,0.0025,0.00,,0.0025,0.0025,,544.22M,544.22M,,,,
1984-03,418.40M,418.40M,,,,,,,,,,,,418.40M,,,,,,,,29.20M,,,,29.20M,,418.40M,,418.40M,,0.0025,0.00,,0.0025,0.0025,,0.0025,0.00,,0.0025,0.0025,,508.18M,508.18M,,,,
