,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,DerivativeContractLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2017-12,4.317B,,4.317B,1.807B,,1.807B,651.00M,322.00M,739.00M,,1.712B,,,794.00M,8.827B,0.00,482.00M,5.864B,16.65B,,1.832B,24.83B,-10.81B,14.02B,1.694B,869.00M,2.563B,340.00M,68.00M,813.00M,547.00M,18.67B,27.49B,,1.439B,148.00M,1.587B,661.00M,2.248B,,,379.00M,379.00M,,379.00M,,,582.00M,3.209B,4.749B,,4.749B,451.00M,382.00M,833.00M,1.462B,333.00M,72.00M,,1.138B,8.515B,11.72B,,3.154B,15.93B,14.09B,16.63B,2.30B,,,-842.00M,15.70B,,AOR,Restated
2017-09,3.865B,,3.865B,1.748B,,1.748B,645.00M,328.00M,720.00M,,1.693B,,,948.00M,8.254B,,,,,,,24.03B,-10.68B,13.34B,1.684B,891.00M,2.575B,352.00M,,2.641B,928.00M,19.84B,28.09B,,1.179B,135.00M,1.314B,552.00M,1.866B,,,631.00M,631.00M,,631.00M,,,568.00M,3.065B,3.994B,,3.994B,,,,1.455B,343.00M,66.00M,,1.854B,7.646B,10.71B,,3.153B,17.53B,14.01B,16.24B,853.00M,,,-1.146B,17.32B,,AOR,Restated
2017-06,4.189B,,4.189B,1.64B,,1.64B,606.00M,327.00M,683.00M,,1.616B,,,986.00M,8.431B,,,,,,,23.57B,-10.51B,13.06B,1.608B,842.00M,2.45B,348.00M,,2.651B,890.00M,19.40B,27.83B,,1.096B,129.00M,1.225B,449.00M,1.674B,,,631.00M,631.00M,,631.00M,,,503.00M,2.808B,3.302B,,3.302B,,,,1.443B,358.00M,68.00M,,1.839B,6.942B,9.75B,,3.152B,17.30B,13.96B,15.20B,852.00M,,,-1.201B,18.01B,,AOR,Restated
2017-03,4.844B,28.00M,4.872B,1.583B,,1.583B,564.00M,312.00M,668.00M,,1.544B,,,719.00M,8.718B,,,,,,,23.27B,-10.30B,12.97B,1.619B,825.00M,2.444B,337.00M,,2.705B,1.132B,19.59B,28.30B,,1.015B,210.00M,1.225B,433.00M,1.658B,,,257.00M,257.00M,,257.00M,,,506.00M,2.421B,3.669B,,3.669B,,,,1.44B,546.00M,71.00M,,1.85B,7.505B,9.926B,,3.15B,17.03B,13.89B,14.56B,2.30B,,,-1.196B,18.31B,,AOR,Restated
2016-12,5.291B,,5.291B,1.481B,,1.481B,562.00M,303.00M,606.00M,,1.471B,,,370.00M,9.048B,0.00,435.00M,5.54B,14.97B,,1.482B,22.43B,-9.884B,12.55B,1.577B,796.00M,2.373B,336.00M,146.00M,2.325B,851.00M,18.85B,27.90B,,1.079B,150.00M,1.229B,562.00M,1.791B,,,256.00M,256.00M,,256.00M,,,704.00M,2.751B,3.646B,,3.646B,,382.00M,382.00M,1.429B,282.00M,67.00M,,1.449B,7.188B,9.939B,,3.146B,16.88B,13.70B,14.15B,2.30B,,,-1.676B,17.89B,,AOR,Restated
2016-09,4.821B,,4.821B,1.645B,,1.645B,579.00M,301.00M,636.00M,,1.516B,,,497.00M,8.479B,,,,,,,23.50B,-10.21B,13.29B,1.569B,797.00M,2.366B,352.00M,,3.11B,1.209B,20.33B,28.81B,,933.00M,149.00M,1.082B,545.00M,1.627B,,,7.00M,7.00M,,7.00M,,,660.00M,2.294B,3.916B,,3.916B,,,,1.47B,1.543B,66.00M,,1.799B,8.728B,11.02B,,3.144B,15.46B,13.34B,13.51B,2.30B,,,-715.00M,17.72B,,AOR,Restated
2016-06,7.144B,,7.144B,1.544B,,1.544B,575.00M,293.00M,633.00M,,1.501B,,,558.00M,10.75B,,,,,,,23.02B,-9.974B,13.05B,1.569B,804.00M,2.373B,346.00M,,2.952B,1.187B,19.91B,30.65B,,938.00M,82.00M,1.02B,386.00M,1.406B,76.00M,,279.00M,279.00M,,279.00M,,,687.00M,2.448B,3.918B,,3.918B,,,,1.45B,1.40B,63.00M,,1.765B,8.533B,10.98B,,3.142B,15.33B,13.67B,11.57B,2.30B,,,-966.00M,19.61B,,AOR,Restated
2016-03,3.54B,0.00,3.54B,1.388B,,1.388B,542.00M,281.00M,630.00M,,1.453B,,,797.00M,7.178B,,,,,,,22.46B,-9.632B,12.82B,1.399B,703.00M,2.102B,2.072B,,2.428B,1.342B,20.77B,27.94B,,836.00M,57.00M,893.00M,579.00M,1.472B,,,527.00M,527.00M,,527.00M,,,565.00M,2.564B,3.91B,,3.91B,,,,1.414B,612.00M,69.00M,,1.458B,7.394B,9.958B,,3.141B,13.29B,13.64B,10.75B,2.30B,,,-1.404B,17.92B,,AOR,Restated
2015-12,4.50B,100.00M,4.60B,1.372B,,1.372B,488.00M,264.00M,633.00M,,1.385B,,,390.00M,8.269B,0.00,438.00M,5.504B,14.69B,,1.206B,21.84B,-9.188B,12.65B,1.38B,706.00M,2.086B,1.975B,473.00M,2.056B,1.02B,20.26B,28.53B,,934.00M,53.00M,987.00M,729.00M,1.716B,,,572.00M,572.00M,,572.00M,,,526.00M,2.814B,3.89B,,3.89B,,,,1.39B,88.00M,75.00M,,1.482B,6.85B,9.664B,,3.14B,13.83B,13.35B,9.725B,2.30B,,,-1.811B,18.79B,,AOR,Restated
2015-09,4.44B,573.00M,5.013B,1.479B,,1.479B,534.00M,257.00M,583.00M,,1.374B,,315.00M,1.072B,9.253B,,,,,,,21.58B,-9.027B,12.55B,1.33B,678.00M,2.008B,1.826B,,1.711B,1.551B,19.64B,28.90B,,909.00M,,909.00M,956.00M,1.865B,,,,101.00M,,101.00M,,,,1.966B,3.915B,,3.915B,,,,782.00M,,73.00M,,2.165B,6.862B,8.828B,,3.14B,13.77B,13.59B,8.699B,2.30B,,,-1.803B,20.00B,,AOR,Restated
2015-06,4.968B,505.00M,5.473B,1.545B,,1.545B,533.00M,267.00M,585.00M,,1.385B,,291.00M,1.174B,9.868B,0.00,449.00M,5.47B,14.22B,,1.316B,21.45B,-8.784B,12.67B,1.343B,700.00M,2.043B,1.844B,,1.808B,1.656B,20.02B,29.89B,,930.00M,,930.00M,990.00M,1.92B,,,,102.00M,,102.00M,,,,2.022B,3.91B,,3.91B,,,,781.00M,,72.00M,,2.12B,6.811B,8.833B,,3.14B,13.73B,13.58B,7.871B,2.30B,,,-1.591B,20.98B,,AOR,Restated
2015-03,4.304B,763.00M,5.067B,1.487B,,1.487B,547.00M,257.00M,527.00M,,1.331B,,262.00M,1.091B,9.238B,0.00,452.00M,5.472B,13.96B,,1.419B,21.30B,-8.591B,12.71B,1.343B,702.00M,2.045B,1.764B,,1.883B,1.685B,20.08B,29.32B,,872.00M,,872.00M,917.00M,1.789B,,,,106.00M,,106.00M,,,,1.895B,3.165B,,3.165B,,,,810.00M,,74.00M,,2.081B,6.056B,7.951B,,3.14B,13.40B,13.55B,7.243B,2.30B,,,-1.556B,21.30B,,AOR,Restated
2014-12,5.309B,759.00M,6.068B,1.501B,,1.501B,481.00M,255.00M,586.00M,,1.322B,,248.00M,412.00M,10.24B,0.00,458.00M,5.47B,13.85B,,1.322B,21.10B,-8.332B,12.77B,1.15B,497.00M,1.647B,1.801B,847.00M,1.889B,875.00M,19.82B,30.06B,,997.00M,106.00M,1.103B,562.00M,1.665B,,,,36.00M,,36.00M,,,623.00M,2.324B,3.227B,,3.227B,,,,814.00M,,73.00M,,2.046B,6.087B,8.411B,,3.136B,13.02B,13.46B,6.727B,2.30B,,,-1.307B,21.58B,,AOR,Restated
2014-09,5.353B,751.00M,6.104B,1.601B,,1.601B,625.00M,245.00M,457.00M,,1.327B,,156.00M,825.00M,10.01B,0.00,474.00M,5.607B,14.09B,,1.275B,21.44B,-8.412B,13.03B,1.142B,511.00M,1.653B,2.002B,,1.944B,1.17B,19.80B,29.82B,,716.00M,,716.00M,967.00M,1.683B,,,,455.00M,,455.00M,,,,2.138B,3.228B,,3.228B,,,,757.00M,,71.00M,,1.842B,5.827B,7.965B,,3.136B,12.34B,13.34B,6.543B,2.30B,,,-489.00M,21.78B,,AOR,Restated
2014-06,5.118B,768.00M,5.886B,1.645B,,1.645B,630.00M,250.00M,500.00M,,1.38B,,349.00M,604.00M,9.864B,0.00,494.00M,5.812B,14.38B,,1.294B,21.98B,-8.456B,13.52B,1.15B,532.00M,1.682B,2.013B,,2.084B,666.00M,19.97B,29.83B,,777.00M,,777.00M,950.00M,1.727B,,,,450.00M,,450.00M,,,,2.177B,3.238B,,3.238B,,,,751.00M,,69.00M,,1.834B,5.823B,8.00B,,3.135B,11.48B,13.30B,6.34B,2.30B,,,185.00M,21.76B,,AOR,Restated
2014-03,4.968B,644.00M,5.612B,1.588B,,1.588B,622.00M,238.00M,535.00M,,1.395B,,321.00M,697.00M,9.613B,0.00,496.00M,5.619B,13.68B,,1.687B,21.48B,-8.141B,13.34B,1.125B,540.00M,1.665B,1.976B,,2.18B,766.00M,19.93B,29.54B,,732.00M,,732.00M,846.00M,1.578B,,,,468.00M,,468.00M,,,,2.046B,3.224B,,3.224B,,,,766.00M,,69.00M,,1.789B,5.779B,7.825B,,3.133B,11.46B,13.07B,5.95B,2.30B,,,-70.00M,21.65B,,AOR,Restated
2013-12,4.704B,531.00M,5.235B,1.253B,,1.253B,550.00M,234.00M,486.00M,,1.27B,,278.00M,483.00M,8.891B,0.00,121.00M,4.175B,12.29B,,1.084B,17.67B,-7.865B,9.801B,1.002B,540.00M,1.542B,5.537B,90.00M,2.234B,383.00M,19.59B,28.48B,,771.00M,139.00M,910.00M,445.00M,1.355B,,,,21.00M,,21.00M,,,370.00M,1.746B,3.272B,,3.272B,,,,766.00M,,49.00M,,1.483B,5.521B,7.267B,,831.00M,11.32B,13.07B,4.099B,,,,44.00M,21.16B,,AOR,Restated
2013-09,4.56B,886.00M,5.446B,1.392B,,1.392B,563.00M,225.00M,487.00M,,1.275B,,309.00M,706.00M,9.128B,0.00,115.00M,4.218B,12.40B,,1.139B,17.87B,-7.897B,9.977B,1.001B,550.00M,1.551B,5.16B,,2.403B,495.00M,19.59B,28.71B,,640.00M,,640.00M,915.00M,1.555B,,,,23.00M,,23.00M,,,,1.578B,2.816B,,2.816B,,,,917.00M,,49.00M,,1.605B,5.338B,6.916B,,829.00M,11.02B,13.22B,3.237B,,,,-75.00M,21.75B,,AOR,Restated
2013-06,4.601B,870.00M,5.471B,1.296B,,1.296B,654.00M,222.00M,364.00M,,1.24B,,282.00M,764.00M,9.053B,0.00,114.00M,4.18B,12.26B,,1.082B,17.64B,-7.683B,9.954B,1.001B,558.00M,1.559B,4.809B,,2.453B,561.00M,19.34B,28.39B,,721.00M,,721.00M,804.00M,1.525B,,,,72.00M,,72.00M,,,,1.597B,2.822B,,2.822B,,,,916.00M,,76.00M,,1.60B,5.338B,6.935B,,828.00M,10.75B,13.21B,3.022B,,,,-388.00M,21.38B,,AOR,Restated
2013-03,4.797B,978.00M,5.775B,1.243B,,1.243B,586.00M,186.00M,399.00M,,1.171B,,399.00M,681.00M,9.269B,0.00,108.00M,4.233B,12.32B,,1.113B,17.78B,-7.606B,10.17B,972.00M,513.00M,1.485B,4.726B,,2.507B,437.00M,19.33B,28.60B,,762.00M,,762.00M,959.00M,1.721B,,,,74.00M,,74.00M,,,,1.795B,2.855B,,2.855B,,,,933.00M,,46.00M,,1.622B,5.41B,7.205B,,826.00M,10.26B,13.17B,2.779B,,,,-132.00M,21.34B,,AOR,Restated
2012-12,4.988B,1.156B,6.144B,1.302B,,1.302B,491.00M,168.00M,392.00M,,1.051B,,579.00M,619.00M,9.695B,0.00,112.00M,4.324B,12.57B,,1.27B,18.28B,-7.652B,10.62B,974.00M,522.00M,1.496B,4.915B,,2.343B,301.00M,19.68B,29.38B,,779.00M,282.00M,1.061B,460.00M,1.521B,,,,76.00M,,76.00M,,,359.00M,1.956B,3.382B,,3.382B,,,,930.00M,,47.00M,,1.574B,5.886B,7.842B,,825.00M,9.932B,13.15B,2.773B,,,,356.00M,21.49B,,AOR,Restated
2012-09,4.952B,1.399B,6.351B,1.248B,,1.248B,457.00M,208.00M,338.00M,,1.003B,,490.00M,424.00M,9.516B,0.00,112.00M,4.098B,12.36B,,2.209B,18.78B,-7.745B,11.04B,664.00M,248.00M,912.00M,5.172B,,2.501B,273.00M,19.89B,29.41B,,901.00M,,901.00M,956.00M,1.857B,,,,130.00M,,130.00M,,,,1.987B,3.272B,,3.272B,,,,901.00M,,47.00M,,1.364B,5.537B,7.524B,,824.00M,10.44B,13.12B,2.646B,,,,105.00M,21.84B,,AOR,Restated
2012-06,5.008B,1.337B,6.345B,1.157B,,1.157B,439.00M,234.00M,326.00M,,999.00M,,441.00M,436.00M,9.378B,0.00,111.00M,3.986B,11.99B,,2.154B,18.24B,-7.486B,10.75B,663.00M,253.00M,916.00M,4.87B,,2.565B,274.00M,19.38B,28.75B,,929.00M,,929.00M,934.00M,1.863B,,,,29.00M,,29.00M,,,,1.892B,3.229B,,3.229B,,,,900.00M,,48.00M,,1.331B,5.46B,7.352B,,823.00M,10.03B,13.10B,2.458B,,,,-136.00M,21.35B,,AOR,Restated
2012-03,5.49B,1.346B,6.836B,1.108B,,1.108B,449.00M,193.00M,313.00M,,955.00M,,423.00M,479.00M,9.801B,0.00,109.00M,3.865B,11.66B,,1.947B,17.58B,-7.21B,10.37B,665.00M,257.00M,922.00M,4.554B,,2.58B,259.00M,18.69B,28.49B,,847.00M,,847.00M,907.00M,1.754B,,,,27.00M,,27.00M,,,,1.781B,3.135B,,3.135B,,,,900.00M,,50.00M,,1.306B,5.341B,7.122B,,822.00M,9.679B,13.08B,2.121B,,,,-140.00M,21.32B,,AOR,Restated
2011-12,4.661B,1.164B,5.825B,1.082B,,1.082B,464.00M,199.00M,312.00M,,975.00M,,448.00M,347.00M,8.677B,0.00,113.00M,3.957B,11.89B,,1.919B,17.88B,-7.204B,10.67B,664.00M,262.00M,926.00M,4.726B,,2.652B,196.00M,19.17B,27.85B,,977.00M,288.00M,1.265B,373.00M,1.638B,,,,27.00M,,27.00M,,,432.00M,2.097B,2.364B,,2.364B,,,,897.00M,,51.00M,,1.361B,4.622B,6.719B,,818.00M,9.332B,13.04B,2.024B,,,,-89.00M,21.08B,,AOR,Restated
2011-09,4.901B,1.52B,6.421B,1.189B,,1.189B,470.00M,186.00M,283.00M,,939.00M,,356.00M,359.00M,9.264B,0.00,109.00M,3.879B,11.70B,,1.662B,17.36B,-7.089B,10.27B,629.00M,252.00M,881.00M,4.89B,,2.715B,157.00M,18.91B,28.17B,,938.00M,,938.00M,1.044B,1.982B,,,,27.00M,,27.00M,,,,2.009B,2.282B,,2.282B,,,,891.00M,,51.00M,,1.30B,4.473B,6.482B,,818.00M,8.958B,13.01B,1.243B,,,,93.00M,21.64B,,AOR,Restated
2011-06,4.609B,1.748B,6.357B,1.252B,,1.252B,429.00M,211.00M,277.00M,,917.00M,,439.00M,364.00M,9.329B,0.00,108.00M,3.729B,11.37B,,1.37B,16.58B,-6.824B,9.755B,632.00M,251.00M,883.00M,5.029B,,2.679B,150.00M,18.50B,27.82B,,1.052B,,1.052B,1.005B,2.057B,,,,26.00M,,26.00M,,,,2.083B,2.248B,,2.248B,,,,886.00M,,51.00M,,1.302B,4.436B,6.519B,,817.00M,8.227B,12.99B,1.242B,,,,464.00M,21.26B,,AOR,Restated
2011-03,4.57B,1.733B,6.303B,1.107B,,1.107B,369.00M,217.00M,255.00M,,841.00M,,433.00M,353.00M,9.037B,0.00,103.00M,3.665B,11.06B,,967.00M,15.80B,-6.565B,9.235B,630.00M,255.00M,885.00M,4.569B,,2.76B,174.00M,17.62B,26.66B,,949.00M,,949.00M,919.00M,1.868B,,,,26.00M,,26.00M,,,,1.894B,2.245B,,2.245B,,,,915.00M,,51.00M,,1.251B,4.411B,6.305B,,817.00M,7.55B,12.95B,1.24B,,,,223.00M,20.30B,,AOR,Restated
2010-12,4.598B,1.752B,6.35B,973.00M,,973.00M,323.00M,207.00M,208.00M,,738.00M,,431.00M,367.00M,8.859B,0.00,105.00M,3.692B,10.74B,,822.00M,15.36B,-6.42B,8.943B,537.00M,179.00M,716.00M,4.372B,,2.79B,153.00M,16.97B,25.83B,,798.00M,,798.00M,1.131B,1.929B,,,,57.00M,,57.00M,,,,1.986B,2.262B,,2.262B,,,,913.00M,,51.00M,,1.246B,4.421B,6.407B,,813.00M,6.881B,12.86B,1.227B,,,,43.00M,19.38B,,AOR,Restated
2010-03,3.075B,798.00M,3.873B,860.00M,,860.00M,303.00M,124.00M,177.00M,,604.00M,,392.00M,323.00M,6.052B,0.00,104.00M,3.438B,9.382B,,563.00M,13.49B,-5.64B,7.847B,509.00M,165.00M,674.00M,4.296B,,2.733B,125.00M,15.68B,21.73B,,459.00M,,459.00M,796.00M,1.255B,,,,23.00M,,23.00M,,,,1.278B,1.919B,,1.919B,,,,866.00M,,51.00M,,1.311B,4.096B,5.374B,,811.00M,4.374B,12.76B,1.223B,,,,-419.00M,16.30B,,AOR,Restated
2009-12,2.541B,1.042B,3.583B,753.00M,,753.00M,291.00M,113.00M,175.00M,,579.00M,,235.00M,371.00M,5.521B,0.00,96.00M,3.443B,9.237B,,722.00M,13.50B,-5.503B,7.995B,509.00M,167.00M,676.00M,3.992B,,2.982B,129.00M,15.77B,21.30B,,550.00M,,550.00M,915.00M,1.465B,,,,74.00M,,74.00M,,,,1.539B,1.93B,,1.93B,,,,858.00M,,52.00M,,1.373B,4.161B,5.70B,,808.00M,3.636B,12.71B,1.207B,,,,-401.00M,15.54B,,AOR,Restated
