,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,AccruedComprehensiveInc,ShareholdersEquity
2018-03,556.78M,,556.78M,684.62M,684.62M,383.36M,128.26M,84.70M,596.31M,,122.50M,1.960B,,,,,,,,492.35M,3.239B,2.127B,5.365B,240.54M,,6.098B,8.058B,382.31M,51.68M,434.00M,282.40M,716.39M,,308.07M,,308.07M,135.46M,135.46M,,1.160B,1.898B,,1.898B,541.87M,541.87M,254.53M,2.694B,3.854B,2.634M,5.154B,673.52M,1.211B,,-414.76M,4.204B
2017-12,646.30M,,646.30M,668.18M,668.18M,348.35M,107.36M,84.79M,540.50M,,79.68M,1.935B,0.0,42.85M,295.02M,923.39M,,1.261B,-767.97M,493.30M,3.116B,2.013B,5.129B,239.13M,,5.861B,7.796B,437.33M,34.66M,471.99M,207.12M,679.10M,,308.12M,,308.12M,0.00,0.00,,1.139B,1.866B,,1.866B,512.53M,512.53M,251.08M,2.630B,3.768B,2.631M,5.002B,660.89M,1.209B,,-429.18M,4.028B
2017-09,736.42M,,736.42M,640.82M,640.82M,348.00M,118.98M,79.90M,546.88M,0.00,100.38M,2.024B,,,,,,,,494.97M,3.139B,1.966B,5.105B,159.13M,,5.759B,7.783B,409.36M,47.60M,456.96M,303.81M,760.77M,,509.57M,,509.57M,,,,1.270B,1.921B,,1.921B,608.97M,608.97M,216.96M,2.747B,4.017B,2.63M,4.785B,649.81M,1.208B,,-462.66M,3.766B
2017-06,516.48M,,516.48M,642.26M,642.26M,343.31M,114.78M,83.13M,541.21M,0.00,89.31M,1.789B,,,,,,,,492.51M,3.117B,1.981B,5.098B,155.04M,,5.746B,7.535B,405.94M,41.36M,447.30M,275.30M,722.60M,,272.55M,,272.55M,,,,995.15M,2.129B,,2.129B,596.74M,596.74M,222.10M,2.948B,3.943B,2.626M,4.652B,637.49M,1.205B,,-494.30M,3.592B
2017-03,570.23M,,570.23M,603.90M,603.90M,331.38M,109.65M,88.89M,529.93M,0.00,83.38M,1.787B,,,,,,,,482.91M,2.975B,1.901B,4.876B,152.42M,,5.511B,7.299B,382.80M,44.40M,427.21M,251.64M,678.85M,,337.95M,,337.95M,,,,1.017B,2.077B,,2.077B,582.84M,582.84M,218.36M,2.878B,3.895B,2.622M,4.522B,623.52M,1.212B,,-532.14M,3.404B
2016-12,717.26M,,717.26M,592.33M,592.33M,314.79M,101.48M,75.83M,492.10M,50.00M,76.50M,1.928B,0.0,41.88M,281.85M,840.72M,,1.164B,-691.22M,473.23M,2.819B,1.734B,4.553B,146.28M,,5.172B,7.101B,369.54M,29.91M,399.45M,152.84M,552.29M,,278.92M,,278.92M,,,,924.44M,2.063B,,2.063B,621.78M,621.78M,235.30M,2.920B,3.844B,2.615M,4.404B,604.14M,1.212B,,-542.39M,3.257B
2016-09,445.47M,,445.47M,595.14M,595.14M,342.59M,115.66M,78.98M,537.23M,56.64M,62.41M,1.697B,,,,,,,,478.65M,2.846B,1.780B,4.626B,175.13M,,5.280B,6.977B,345.49M,24.22M,369.71M,233.34M,603.05M,,613.68M,,613.68M,,,,1.217B,1.541B,,1.541B,655.33M,655.33M,191.06M,2.387B,3.604B,2.614M,4.315B,596.57M,1.111B,,-429.86M,3.373B
2016-06,456.20M,,456.20M,596.59M,596.59M,341.10M,112.30M,83.57M,536.97M,53.19M,64.68M,1.708B,,,,,,,,475.47M,2.827B,1.767B,4.595B,177.76M,,5.248B,6.956B,358.42M,25.12M,383.54M,224.59M,608.13M,,599.33M,,599.33M,,,,1.207B,1.543B,,1.543B,652.07M,652.07M,196.85M,2.392B,3.599B,2.612M,4.205B,582.03M,1.010B,,-423.31M,3.357B
2016-03,386.94M,,386.94M,606.89M,606.89M,343.33M,119.44M,86.01M,548.78M,51.76M,68.23M,1.663B,,,,,,,,488.33M,2.858B,1.807B,4.665B,179.17M,,5.332B,6.995B,366.24M,44.12M,410.36M,214.51M,624.87M,,665.69M,,665.69M,,,,1.291B,1.553B,,1.553B,649.14M,649.14M,205.65M,2.407B,3.698B,2.61M,4.088B,578.69M,1.002B,,-370.52M,3.297B
2015-12,381.00M,,381.00M,603.30M,603.30M,325.96M,105.26M,83.23M,514.45M,46.72M,73.35M,1.619B,0.0,41.95M,293.00M,849.66M,,1.185B,-700.06M,484.55M,2.707B,1.673B,4.380B,177.48M,,5.042B,6.660B,365.36M,32.74M,398.09M,147.77M,545.86M,,384.92M,,384.92M,,,,1.024B,1.553B,,1.553B,624.05M,624.05M,204.64M,2.382B,3.406B,2.608M,3.975B,568.29M,885.43M,,-405.63M,3.255B
2015-09,328.03M,,328.03M,610.02M,610.02M,344.78M,115.36M,81.85M,541.99M,40.23M,70.46M,1.591B,,,,,,,,483.03M,2.723B,1.699B,4.422B,148.13M,,5.053B,6.644B,375.19M,20.67M,395.86M,234.36M,630.22M,,295.26M,,295.26M,,,,925.48M,1.622B,,1.622B,627.38M,627.38M,154.09M,2.403B,3.329B,2.607M,3.859B,559.06M,756.58M,,-349.21M,3.315B
2015-06,326.59M,,326.59M,619.08M,619.08M,339.75M,115.41M,86.76M,541.92M,41.65M,70.10M,1.599B,,,,,,,,484.93M,2.669B,1.657B,4.326B,147.64M,,4.958B,6.558B,384.25M,22.18M,406.44M,239.79M,646.23M,,183.90M,,183.90M,,,,830.13M,1.482B,,1.482B,632.89M,632.89M,159.55M,2.274B,3.104B,2.605M,3.724B,546.49M,507.55M,,-312.52M,3.453B
2015-03,406.59M,,406.59M,592.30M,592.30M,326.40M,96.80M,82.89M,506.09M,46.08M,57.70M,1.609B,,,,,,,,434.40M,2.567B,1.579B,4.146B,146.07M,,4.726B,6.335B,381.05M,30.96M,412.01M,232.45M,644.46M,,254.04M,,254.04M,,,,898.50M,1.419B,,1.419B,607.55M,607.55M,146.69M,2.173B,3.071B,2.595M,3.590B,516.08M,483.50M,,-361.70M,3.264B
2014-12,377.62M,,377.62M,585.46M,585.46M,321.29M,94.30M,80.31M,495.90M,45.05M,74.58M,1.579B,0.0,38.34M,281.34M,793.58M,,1.113B,-664.81M,448.45M,2.614B,1.626B,4.240B,154.32M,,4.842B,6.421B,386.21M,27.16M,413.36M,142.10M,555.46M,,286.20M,,286.20M,,,,936.14M,1.428B,,1.428B,618.38M,618.38M,199.05M,2.245B,3.181B,2.589M,3.470B,491.75M,457.81M,,-266.89M,3.240B
2014-09,369.61M,,369.61M,593.45M,593.45M,331.37M,107.83M,87.47M,526.67M,47.40M,52.99M,1.590B,,,,,,,,451.55M,2.633B,1.665B,4.298B,231.16M,,4.981B,6.571B,381.82M,35.44M,417.26M,251.25M,668.51M,,163.20M,,163.20M,,,,831.71M,1.473B,,1.473B,634.61M,634.61M,163.45M,2.272B,3.103B,2.587M,3.340B,481.14M,214.20M,,-141.47M,3.468B
2014-06,282.77M,,282.77M,594.15M,594.15M,320.63M,96.49M,121.17M,538.29M,50.02M,65.44M,1.531B,,,,,,,,459.19M,2.610B,1.658B,4.269B,226.56M,,4.954B,6.485B,382.57M,45.53M,428.11M,239.30M,667.41M,,454.42M,,454.42M,,,,1.122B,1.148B,,1.148B,623.09M,623.09M,169.92M,1.941B,3.063B,2.586M,3.220B,471.14M,213.72M,,-58.06M,3.422B
2014-03,265.34M,,265.34M,592.41M,592.41M,310.90M,91.10M,81.45M,483.45M,41.43M,51.55M,1.434B,,,,,,,,405.91M,2.477B,1.546B,4.023B,225.59M,,4.655B,6.089B,370.05M,82.34M,452.39M,214.35M,666.74M,,265.07M,,265.07M,,,,931.80M,1.143B,,1.143B,576.39M,576.39M,165.20M,1.884B,2.816B,2.583M,3.092B,459.58M,215.94M,,-65.53M,3.273B
2013-12,295.20M,,295.20M,536.70M,536.70M,291.24M,85.52M,76.09M,452.85M,38.82M,45.56M,1.369B,0.0,35.40M,254.25M,754.65M,,1.044B,-641.51M,402.79M,2.408B,1.474B,3.882B,223.69M,,4.509B,5.878B,347.64M,40.01M,387.64M,118.28M,505.92M,,273.32M,,273.32M,,,,874.54M,1.142B,,1.142B,558.56M,558.56M,166.93M,1.867B,2.742B,2.581M,2.966B,448.70M,215.94M,,-65.24M,3.136B
2013-09,254.88M,,254.88M,532.09M,532.09M,288.20M,88.05M,72.88M,449.13M,39.76M,32.70M,1.309B,,,,,,,,383.59M,2.300B,1.343B,3.643B,125.67M,,4.153B,5.461B,330.80M,28.28M,359.08M,208.22M,567.30M,,164.93M,,164.93M,,,,732.22M,1.135B,,1.135B,498.49M,498.49M,161.12M,1.795B,2.527B,2.577M,2.845B,433.61M,216.03M,,-130.92M,2.934B
2013-06,207.61M,,207.61M,521.55M,521.55M,285.33M,87.78M,65.80M,438.91M,35.89M,39.84M,1.244B,,,,,,,,372.72M,2.182B,1.273B,3.455B,120.91M,,3.949B,5.193B,332.04M,32.82M,364.86M,188.94M,553.80M,,125.66M,,125.66M,,,,679.46M,1.118B,,1.118B,482.49M,482.49M,155.36M,1.756B,2.435B,2.571M,2.732B,412.63M,214.97M,,-174.82M,2.757B
2013-03,177.34M,,177.34M,529.18M,529.18M,282.81M,84.55M,66.69M,434.04M,34.33M,39.27M,1.214B,,,,,,,,375.66M,2.178B,1.283B,3.461B,124.13M,,3.960B,5.174B,342.56M,60.61M,403.18M,187.87M,591.04M,,208.09M,,208.09M,,,,799.14M,1.116B,,1.116B,480.56M,480.56M,157.06M,1.753B,2.552B,2.568M,2.618B,403.72M,218.95M,,-183.22M,2.622B
2012-12,157.98M,,157.98M,507.85M,507.85M,282.69M,83.52M,62.72M,428.94M,33.30M,36.67M,1.165B,0.0,34.14M,234.52M,711.22M,,979.88M,-596.40M,383.48M,2.208B,1.310B,3.518B,123.86M,,4.025B,5.190B,321.18M,40.60M,361.78M,103.56M,465.34M,,320.65M,,320.65M,,,,879.97M,1.133B,,1.133B,482.85M,482.85M,158.96M,1.775B,2.655B,2.565M,2.507B,387.87M,211.37M,,-151.33M,2.535B
2012-09,162.85M,5.253M,168.10M,492.86M,492.86M,268.05M,73.21M,66.64M,407.90M,30.82M,36.14M,1.136B,,,,,,,,361.68M,2.066B,1.188B,3.254B,142.07M,,3.758B,4.894B,288.22M,34.72M,322.94M,196.67M,519.61M,,242.78M,,242.78M,,,,762.39M,1.129B,,1.129B,432.80M,432.80M,145.07M,1.707B,2.470B,2.561M,2.402B,376.35M,215.85M,,-141.28M,2.424B
2012-06,163.60M,4.877M,168.47M,482.80M,482.80M,267.31M,76.68M,71.62M,415.61M,28.93M,36.20M,1.132B,,,,,,,,361.48M,2.053B,1.197B,3.250B,142.16M,,3.753B,4.885B,299.73M,23.94M,323.67M,184.00M,507.67M,,388.71M,,388.71M,,,,896.38M,1.123B,,1.123B,433.82M,433.82M,141.56M,1.698B,2.595B,2.555M,2.301B,362.00M,214.31M,,-160.95M,2.291B
2012-03,219.30M,5.155M,224.46M,468.32M,468.32M,252.42M,73.70M,67.14M,393.26M,27.70M,39.12M,1.153B,,,,,,,,334.37M,1.929B,1.050B,2.979B,141.96M,,3.456B,4.609B,291.03M,57.38M,348.41M,174.56M,522.97M,,227.18M,,227.18M,,,,750.14M,1.133B,,1.133B,409.02M,409.02M,126.83M,1.669B,2.419B,1.696M,2.202B,331.74M,210.28M,,-135.85M,2.189B
2011-12,170.39M,,170.39M,438.24M,438.24M,237.48M,72.68M,70.32M,380.47M,29.27M,40.74M,1.059B,0.0,32.17M,211.06M,679.45M,,922.68M,-597.35M,325.33M,1.806B,982.96M,2.789B,145.85M,,3.260B,4.319B,283.07M,24.13M,307.20M,94.51M,401.70M,,140.51M,,140.51M,,,,628.88M,1.123B,,1.123B,389.09M,389.09M,125.31M,1.638B,2.267B,2.538M,2.102B,315.69M,209.77M,,-157.26M,2.053B
2011-09,218.27M,5.49M,223.76M,425.01M,425.01M,227.17M,75.57M,61.10M,363.84M,33.25M,34.68M,1.081B,,,,,,,,318.64M,1.677B,836.57M,2.514B,203.24M,,3.036B,4.116B,263.14M,34.09M,297.24M,180.34M,477.57M,,40.64M,,40.64M,,,,518.21M,1.071B,,1.071B,361.79M,361.79M,117.90M,1.550B,2.068B,1.689M,2.009B,310.34M,171.58M,,-101.91M,2.048B
2011-06,196.59M,6.517M,203.11M,439.86M,439.86M,235.39M,70.60M,58.33M,364.32M,34.20M,41.64M,1.083B,,,,,,,,331.61M,1.713B,826.72M,2.540B,200.53M,,3.072B,4.155B,266.71M,32.15M,298.86M,175.32M,474.18M,,127.71M,,127.71M,,,,601.90M,1.083B,,1.083B,361.73M,361.73M,122.23M,1.567B,2.169B,1.685M,1.921B,295.53M,166.04M,,-66.54M,1.986B
2011-03,155.01M,6.665M,161.67M,434.52M,434.52M,224.81M,73.39M,53.23M,351.42M,32.87M,42.34M,1.023B,,,,,,,,317.64M,1.592B,760.97M,2.353B,200.09M,,2.870B,3.893B,261.58M,61.34M,322.92M,165.45M,488.37M,,2.652M,,2.652M,,,,491.02M,1.081B,,1.081B,320.33M,320.33M,119.03M,1.520B,2.011B,1.682M,1.837B,271.22M,153.55M,,-73.66M,1.882B
2010-12,163.21M,5.645M,168.85M,399.91M,399.91M,214.74M,73.56M,46.95M,335.25M,27.11M,43.37M,974.49M,0.0,32.63M,209.02M,651.88M,,893.54M,-575.41M,318.13M,1.574B,761.56M,2.335B,191.10M,,2.844B,3.819B,236.60M,39.03M,275.63M,178.08M,453.71M,,97.15M,,97.15M,,,,550.86M,1.071B,,1.071B,311.47M,311.47M,110.03M,1.493B,2.044B,1.681M,1.756B,263.29M,153.55M,,-91.96M,1.775B
2010-06,230.79M,4.592M,235.38M,367.13M,367.13M,197.09M,70.02M,48.64M,315.75M,22.77M,43.92M,984.94M,,,,,,,,290.44M,1.297B,531.82M,1.828B,163.26M,,2.282B,3.267B,213.93M,26.43M,240.36M,145.24M,385.60M,,76.80M,,76.80M,,,,462.39M,937.29M,,937.29M,217.19M,217.19M,96.80M,1.251B,1.714B,1.114M,1.613B,231.47M,153.48M,,-138.90M,1.553B
2010-03,255.63M,5.296M,260.93M,356.19M,356.19M,194.99M,65.75M,45.22M,305.96M,26.09M,47.12M,996.28M,,,,,,,,298.21M,1.261B,504.41M,1.765B,165.09M,,2.229B,3.225B,203.53M,27.53M,231.06M,138.04M,369.11M,,80.22M,,80.22M,,,,449.33M,946.45M,,946.45M,204.85M,204.85M,98.51M,1.250B,1.699B,1.112M,1.552B,232.25M,150.95M,,-108.55M,1.526B
2009-12,246.36M,4.994M,251.35M,331.38M,331.38M,199.01M,65.75M,46.78M,311.54M,30.67M,44.49M,969.43M,0.0,30.79M,204.45M,635.46M,,870.70M,-560.65M,310.05M,1.277B,521.89M,1.799B,167.37M,,2.277B,3.246B,191.78M,13.34M,205.12M,133.36M,338.48M,,85.80M,,85.80M,,,,424.28M,955.88M,,955.88M,206.35M,206.35M,92.49M,1.255B,1.679B,1.665M,1.500B,223.50M,83.33M,,-75.28M,1.567B
2009-09,200.96M,6.164M,207.13M,349.18M,349.18M,197.61M,70.12M,44.81M,312.54M,37.06M,54.68M,960.59M,,,,,,,,308.33M,1.281B,503.65M,1.784B,115.87M,,2.208B,3.169B,170.96M,37.07M,208.03M,155.58M,363.61M,,85.43M,,85.43M,,,,449.04M,974.29M,,974.29M,193.05M,193.05M,68.50M,1.236B,1.685B,1.109M,1.455B,227.16M,92.36M,,-106.83M,1.484B
2009-06,137.40M,5.542M,142.94M,356.83M,356.83M,207.73M,68.36M,49.38M,325.47M,29.74M,57.32M,912.30M,,,,,,,,309.26M,1.282B,497.45M,1.779B,112.33M,,2.201B,3.113B,176.49M,50.64M,227.13M,157.62M,384.75M,,5.11M,,5.11M,,,,389.86M,1.054B,,1.054B,180.31M,180.31M,64.84M,1.299B,1.689B,1.106M,1.418B,217.04M,92.28M,,-120.32M,1.424B
2009-03,135.75M,4.995M,140.75M,376.90M,376.90M,208.22M,77.49M,55.07M,340.78M,28.02M,55.30M,941.74M,,,,,,,,300.40M,1.241B,454.10M,1.695B,111.13M,,2.107B,3.049B,182.06M,58.63M,240.69M,168.53M,409.23M,,9.239M,,9.239M,,,,418.46M,1.085B,,1.085B,137.95M,137.95M,81.23M,1.304B,1.723B,1.103M,1.373B,207.66M,92.28M,,-163.67M,1.326B
2008-12,86.98M,4.23M,91.21M,406.01M,406.01M,201.81M,81.28M,66.42M,349.51M,30.92M,76.94M,954.59M,0.0,27.34M,199.70M,612.47M,,839.51M,-531.60M,307.91M,1.240B,441.78M,1.682B,111.21M,,2.101B,3.056B,203.74M,31.65M,235.39M,193.68M,429.08M,,18.44M,,18.44M,,,,447.51M,1.093B,,1.093B,144.94M,144.94M,82.07M,1.320B,1.768B,1.102M,1.320B,203.00M,92.03M,,-144.77M,1.288B
2008-09,166.50M,4.466M,170.96M,438.14M,438.14M,203.66M,92.53M,66.70M,362.90M,17.02M,50.92M,1.040B,,,,,,848.48M,-533.53M,314.95M,1.236B,424.63M,1.661B,,149.14M,2.125B,3.165B,222.76M,,222.76M,173.33M,396.09M,,188.90M,,188.90M,,,27.38M,612.37M,969.04M,,969.04M,149.92M,149.92M,70.84M,1.190B,1.802B,1.102M,1.283B,200.19M,92.20M,,-29.17M,1.363B
2008-06,141.61M,10.05M,151.66M,442.57M,442.57M,192.67M,98.58M,65.87M,357.12M,22.83M,54.18M,1.028B,,,,,,859.96M,-539.59M,320.37M,1.245B,366.92M,1.612B,,148.36M,2.081B,3.109B,253.38M,,253.38M,170.25M,423.63M,,422.08M,,422.08M,,,34.73M,880.44M,667.85M,,667.85M,137.40M,137.40M,77.32M,882.57M,1.763B,1.101M,1.219B,195.84M,92.15M,,22.82M,1.346B
2008-03,114.71M,9.899M,124.61M,430.18M,430.18M,178.34M,93.72M,54.71M,326.77M,15.22M,54.12M,950.90M,,,,,,847.25M,-539.89M,307.37M,1.123B,323.98M,1.447B,,143.50M,1.898B,2.848B,236.84M,,236.84M,170.14M,406.98M,,236.52M,,236.52M,,,49.21M,692.70M,667.73M,,667.73M,127.08M,127.08M,81.00M,875.81M,1.569B,1.099M,1.159B,180.50M,82.90M,,22.20M,1.280B
2007-12,170.14M,10.84M,180.98M,395.63M,395.63M,162.62M,86.86M,52.21M,301.68M,23.29M,50.62M,952.20M,0.0,28.72M,195.89M,612.47M,,837.08M,-524.45M,312.63M,1.046B,312.35M,1.358B,142.31M,,1.813B,2.765B,206.17M,28.44M,234.61M,170.14M,404.74M,,236.00M,,236.00M,,,,640.75M,666.95M,,666.95M,116.57M,116.57M,100.25M,883.77M,1.525B,1.097M,1.099B,174.45M,39.32M,,5.37M,1.241B
2007-09,72.56M,10.88M,83.44M,377.93M,377.93M,156.13M,95.54M,61.59M,313.27M,30.85M,40.06M,845.56M,,,,,,796.46M,-511.03M,285.44M,992.47M,280.25M,1.273B,,110.44M,1.669B,2.514B,189.28M,,189.28M,187.20M,376.47M,,233.11M,,233.11M,,,,609.58M,547.22M,,547.22M,98.75M,98.75M,106.62M,752.59M,1.362B,1.096M,1.044B,170.48M,43.07M,,-20.32M,1.152B
2007-06,76.32M,10.37M,86.69M,367.32M,367.32M,155.76M,59.72M,49.98M,265.47M,25.07M,34.38M,778.93M,,,,,,761.14M,-494.96M,266.18M,922.02M,253.11M,1.175B,,106.11M,1.547B,2.326B,170.89M,,170.89M,175.77M,346.66M,,184.50M,,184.50M,,,,531.16M,526.06M,,526.06M,88.38M,88.38M,96.48M,710.92M,1.242B,1.094M,992.60M,161.81M,40.28M,,-30.95M,1.084B
2007-03,57.40M,9.099M,66.50M,347.57M,347.57M,137.27M,60.57M,46.35M,244.19M,19.98M,34.44M,712.68M,,,,,,754.69M,-498.99M,255.70M,899.56M,203.68M,1.103B,,106.17M,1.465B,2.178B,169.26M,,169.26M,164.53M,333.79M,,127.86M,,127.86M,,,,461.64M,520.48M,,520.48M,83.98M,83.98M,96.77M,701.23M,1.163B,1.088M,941.00M,145.08M,40.19M,,-32.07M,1.015B
2006-12,49.09M,9.129M,58.22M,328.76M,328.76M,134.13M,56.50M,46.15M,236.78M,26.52M,33.78M,684.06M,0.0,23.81M,165.60M,560.41M,,749.82M,-491.81M,258.01M,881.43M,199.73M,1.081B,,107.64M,1.447B,2.131B,160.61M,,160.61M,142.06M,302.67M,,163.61M,,163.61M,,,14.62M,480.90M,518.27M,,518.27M,65.08M,65.08M,99.96M,683.30M,1.164B,1.085M,902.38M,134.00M,37.24M,,-33.55M,966.67M
