,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2018-03,597.00M,,-62.00M,9.00M,,,-53.00M,116.00M,116.00M,,383.00M,,-32.00M,19.00M,,,,-376.00M,-299.00M,712.00M,,-39.00M,-39.00M,-51.00M,-97.00M,-31.00M,-242.00M,,166.00M,,166.00M,,,,,,,-90.00M,0.00,-90.00M,1.00M,-386.00M,-677.00M,,180.00M,-207.00M,-5.00M,228.00M,,,490.00M,-324.00M,,,65.00M,,AOR,Restated
2017-12,-3.703B,,,-59.00M,,0.00,3.198B,99.00M,99.00M,,329.00M,,-264.00M,-978.00M,,,,1.178B,1.003B,662.00M,,-121.00M,-121.00M,-1.504B,1.634B,11.00M,43.00M,,-1.00M,,-1.00M,,-53.00M,-53.00M,,,,-83.00M,,-83.00M,6.00M,-76.00M,-321.00M,,94.00M,384.00M,0.00,180.00M,,,0.00,-1.00M,-53.00M,-3.00M,117.00M,,AOR,Restated
2017-09,234.00M,,,3.00M,,0.00,3.00M,109.00M,109.00M,,357.00M,,-307.00M,18.00M,,,,-186.00M,234.00M,630.00M,,-37.00M,-37.00M,-70.00M,360.00M,16.00M,-9.00M,,-1.00M,,-1.00M,,-325.00M,-325.00M,,,,-85.00M,,-85.00M,6.00M,-341.00M,-658.00M,,101.00M,-37.00M,8.00M,94.00M,,,0.00,-1.00M,-325.00M,1.00M,41.00M,,AOR,Restated
2017-06,-40.00M,,,-75.00M,,747.00M,672.00M,95.00M,95.00M,,368.00M,,-163.00M,32.00M,,,,-445.00M,-263.00M,669.00M,,-51.00M,-51.00M,141.00M,-247.00M,10.00M,-268.00M,,-4.00M,,-4.00M,,-325.00M,-325.00M,,,,-86.00M,,-86.00M,4.00M,-256.00M,-436.00M,,101.00M,-35.00M,60.00M,101.00M,,,0.00,-4.00M,-325.00M,2.00M,93.00M,,AOR,Restated
2017-03,378.00M,,,20.00M,,,20.00M,96.00M,96.00M,,363.00M,,-241.00M,-7.00M,,,,-677.00M,-391.00M,225.00M,,-41.00M,-41.00M,-3.00M,-1.162B,-16.00M,-1.208B,,77.00M,,77.00M,,-325.00M,-325.00M,,,,-87.00M,,-87.00M,-26.00M,-318.00M,436.00M,,328.00M,-547.00M,2.00M,101.00M,,,500.00M,-423.00M,-325.00M,,71.00M,,AOR,Restated
2016-12,-81.00M,,,68.00M,,0.00,149.00M,102.00M,102.00M,,378.00M,,-279.00M,-77.00M,,,,550.00M,392.00M,661.00M,,-41.00M,-41.00M,-20.00M,330.00M,-161.00M,4.00M,,-278.00M,,-278.00M,,-280.00M,-280.00M,,,,-81.00M,,-81.00M,-1.00M,-160.00M,-574.00M,,810.00M,91.00M,-19.00M,328.00M,,,0.00,-278.00M,-280.00M,-1.00M,97.00M,,AOR,Restated
2016-09,438.00M,,,17.00M,,0.00,17.00M,112.00M,112.00M,,403.00M,,-339.00M,287.00M,,,,-431.00M,-42.00M,589.00M,,-46.00M,-46.00M,-75.00M,663.00M,5.00M,604.00M,,-8.00M,,-8.00M,,-350.00M,-350.00M,,,,-83.00M,,-83.00M,0.00,-220.00M,-835.00M,,461.00M,358.00M,-9.00M,810.00M,,,0.00,-8.00M,-350.00M,1.00M,71.00M,,AOR,Restated
2016-06,216.00M,,,-53.00M,,0.00,-53.00M,89.00M,89.00M,,368.00M,,-321.00M,9.00M,,,,-33.00M,119.00M,418.00M,,-53.00M,-53.00M,111.00M,83.00M,17.00M,147.00M,,-1.00M,,-1.00M,,-350.00M,-350.00M,,,,-85.00M,,-85.00M,0.00,-203.00M,-567.00M,,479.00M,-2.00M,-16.00M,461.00M,,,0.00,-1.00M,-350.00M,130.00M,97.00M,,AOR,Restated
2016-03,323.00M,,,155.00M,,,155.00M,95.00M,95.00M,,374.00M,,-273.00M,53.00M,,,,-487.00M,-276.00M,398.00M,,-84.00M,-84.00M,147.00M,133.00M,10.00M,194.00M,,-5.00M,,-5.00M,,-350.00M,-350.00M,,,,-85.00M,,-85.00M,10.00M,-199.00M,-565.00M,,448.00M,27.00M,4.00M,479.00M,,,0.00,-5.00M,-350.00M,,71.00M,,AOR,Restated
2015-12,421.00M,22.00M,,126.00M,,,148.00M,128.00M,128.00M,,290.00M,,-260.00M,15.00M,,,,188.00M,29.00M,756.00M,,-113.00M,-113.00M,117.00M,-27.00M,-28.00M,-118.00M,,-190.00M,,-190.00M,,-450.00M,-450.00M,,,,-87.00M,,-87.00M,2.00M,-307.00M,-838.00M,,665.00M,-200.00M,-17.00M,143.00M,,,,-190.00M,-450.00M,,103.00M,,AOR,Restated
2015-09,381.00M,-20.00M,,44.00M,,,24.00M,72.00M,72.00M,,434.00M,,-306.00M,197.00M,,,,8.00M,286.00M,891.00M,,-92.00M,-92.00M,-70.00M,131.00M,-2.00M,135.00M,,-18.00M,,-18.00M,,-300.00M,-300.00M,,,,-76.00M,,-76.00M,22.00M,-468.00M,-838.00M,,493.00M,188.00M,-16.00M,665.00M,,,,-18.00M,-300.00M,,71.00M,,AOR,Restated
2015-06,413.00M,-8.00M,,-9.00M,,,-17.00M,72.00M,72.00M,,391.00M,,-318.00M,-73.00M,,,,-54.00M,121.00M,662.00M,,-44.00M,-44.00M,-116.00M,438.00M,0.00,173.00M,,-307.00M,,-307.00M,,-250.00M,-250.00M,,,,-75.00M,,-75.00M,43.00M,-248.00M,-849.00M,,500.00M,-14.00M,7.00M,493.00M,,,,-307.00M,-250.00M,,110.00M,,AOR,Restated
2015-03,467.00M,,,-5.00M,,,-5.00M,101.00M,101.00M,,387.00M,,-332.00M,37.00M,,,,-328.00M,-171.00M,447.00M,,-58.00M,-58.00M,73.00M,353.00M,1.00M,295.00M,,-291.00M,,-291.00M,,-250.00M,-250.00M,,,,-78.00M,,-78.00M,-25.00M,-298.00M,-619.00M,,399.00M,123.00M,-22.00M,500.00M,,,,-291.00M,-250.00M,,77.00M,,AOR,Restated
2014-12,382.00M,-6.00M,,14.00M,,,8.00M,124.00M,124.00M,,381.00M,,-75.00M,307.00M,840.00M,1.00M,,-797.00M,171.00M,991.00M,,-64.00M,-64.00M,77.00M,-387.00M,-5.00M,-223.00M,,0.00,,0.00,,-300.00M,-300.00M,,,,-69.00M,,-69.00M,18.00M,-449.00M,-800.00M,,440.00M,-32.00M,-9.00M,399.00M,,,,0.00,-300.00M,,109.00M,,AOR,Restated
2014-09,388.00M,0.00,,-69.00M,,,-69.00M,92.00M,92.00M,,580.00M,,67.00M,-535.00M,928.00M,31.00M,,-928.00M,-673.00M,385.00M,,-43.00M,-43.00M,-88.00M,467.00M,-8.00M,190.00M,,-7.00M,,-7.00M,,-845.00M,-845.00M,,,,-79.00M,,-79.00M,11.00M,-617.00M,-1.636B,,1.512B,-1.061B,-11.00M,440.00M,,,,-7.00M,-845.00M,,77.00M,,AOR,Restated
2014-06,-467.00M,659.00M,,110.00M,,,769.00M,0.00,0.00,,372.00M,,-706.00M,272.00M,-1.369B,1.503B,,854.00M,193.00M,161.00M,,19.00M,19.00M,1.099B,306.00M,-3.00M,1.533B,,0.00,,0.00,,-351.00M,-351.00M,,,,-67.00M,,-67.00M,-29.00M,-860.00M,-1.355B,,1.285B,339.00M,-112.00M,1.512B,,,,0.00,-351.00M,,109.00M,,AOR,Restated
2014-03,495.00M,,,86.00M,,,86.00M,60.00M,60.00M,,396.00M,,-447.00M,-66.00M,-399.00M,2.458B,,117.00M,-241.00M,349.00M,,-33.00M,-33.00M,53.00M,277.00M,-2.00M,196.00M,,-206.00M,,-206.00M,,-300.00M,-300.00M,,,,-67.00M,,-67.00M,30.00M,-289.00M,-685.00M,,1.428B,-140.00M,-3.00M,1.285B,,,,-206.00M,-300.00M,,82.00M,,AOR,Restated
2013-12,314.00M,0.00,,-32.00M,,,-32.00M,49.00M,49.00M,,380.00M,,-206.00M,99.00M,-75.00M,4.33B,,10.00M,-171.00M,334.00M,,,-64.00M,337.00M,1.788B,69.00M,2.057B,,239.00M,,239.00M,,-225.00M,-225.00M,,,,-68.00M,0.00,-68.00M,3.00M,-1.363B,-2.366B,,1.422B,25.00M,-134.00M,1.428B,,,238.00M,1.00M,-225.00M,-140.00M,109.00M,,AOR,Restated
2013-09,293.00M,0.00,,162.00M,,,162.00M,83.00M,83.00M,,594.00M,,-566.00M,54.00M,-35.00M,952.00M,,-220.00M,-71.00M,495.00M,,,0.00,28.00M,346.00M,-31.00M,169.00M,,-347.00M,,-347.00M,,-230.00M,-230.00M,,,,-47.00M,0.00,-47.00M,-10.00M,-260.00M,-1.083B,,1.74B,-419.00M,113.00M,1.422B,,,0.00,-347.00M,-230.00M,-2.00M,161.00M,,AOR,Restated
2013-06,-190.00M,102.00M,,316.00M,,,418.00M,5.00M,5.00M,,391.00M,,30.00M,-970.00M,691.00M,3.072B,,-265.00M,-432.00M,222.00M,,,0.00,-3.00M,1.326B,22.00M,1.212B,,273.00M,,273.00M,,-110.00M,-110.00M,,,,-43.00M,-10.00M,-53.00M,2.00M,-312.00M,-1.519B,,1.985B,-85.00M,-57.00M,1.74B,,,295.00M,-22.00M,-110.00M,121.00M,47.00M,,AOR,Restated
2013-03,-241.00M,1.574B,,-1.595B,,,-21.00M,52.00M,52.00M,,1.336B,,-306.00M,-153.00M,-84.00M,834.00M,,-51.00M,-634.00M,186.00M,,,0.00,468.00M,-296.00M,10.00M,307.00M,,-1.047B,,-1.047B,,-35.00M,-35.00M,,,,-44.00M,-11.00M,-55.00M,-8.00M,-179.00M,-852.00M,,2.421B,-359.00M,-77.00M,1.985B,,,,-1.047B,-35.00M,21.00M,85.00M,,AOR,Restated
2012-12,-46.00M,1.00M,,509.00M,,,510.00M,101.00M,101.00M,,547.00M,,-434.00M,166.00M,96.00M,1.047B,,-123.00M,-209.00M,469.00M,,,,-33.00M,-802.00M,36.00M,-695.00M,,-29.00M,,-29.00M,,0.00,0.00,,,,-43.00M,-10.00M,-53.00M,4.00M,-336.00M,-11.00M,,2.705B,-237.00M,-47.00M,2.421B,,,0.00,-29.00M,0.00,,147.00M,,AOR,Restated
2012-09,13.00M,533.00M,,-119.00M,,,414.00M,116.00M,116.00M,,566.00M,,-139.00M,-209.00M,163.00M,-765.00M,,-73.00M,6.00M,976.00M,,,,-100.00M,-157.00M,-23.00M,-311.00M,,-64.00M,,-64.00M,,0.00,0.00,,,,-43.00M,-11.00M,-54.00M,9.00M,-242.00M,-326.00M,,2.338B,339.00M,28.00M,2.705B,,,0.00,-64.00M,0.00,,73.00M,,AOR,Restated
2012-06,-101.00M,0.00,,-589.00M,,,-589.00M,152.00M,152.00M,,554.00M,,382.00M,-77.00M,-569.00M,1.507B,,-311.00M,-302.00M,96.00M,,,,-228.00M,654.00M,-24.00M,-184.00M,,-66.00M,,-66.00M,,-106.00M,-106.00M,,,,-45.00M,-10.00M,-55.00M,-295.00M,-696.00M,342.00M,,2.059B,254.00M,25.00M,2.338B,,,2.123B,-2.189B,-106.00M,,152.00M,,AOR,Restated
2012-03,96.00M,0.00,,910.00M,,,910.00M,98.00M,98.00M,,321.00M,,-471.00M,-488.00M,1.184B,-223.00M,,121.00M,186.00M,1.14B,,,,-276.00M,-570.00M,-4.00M,-1.367B,,-4.00M,,-4.00M,,-48.00M,-48.00M,,,,-44.00M,-11.00M,-55.00M,-4.00M,-122.00M,-233.00M,,2.581B,-460.00M,-62.00M,2.059B,,,,-4.00M,-48.00M,,89.00M,,AOR,Restated
2011-12,118.00M,,,33.00M,,,33.00M,136.00M,136.00M,,1.668B,,-1.724B,210.00M,99.00M,,,,389.00M,650.00M,,,,-104.00M,-171.00M,-38.00M,-286.00M,,8.022B,,8.022B,-6.00M,-46.00M,-52.00M,,,,-46.00M,-10.00M,-56.00M,,-8.294B,-370.00M,,2.589B,-6.00M,-2.00M,2.581B,,-6.00M,-7.661B,15.68B,-46.00M,-66.00M,161.00M,,AOR,Restated
2011-09,60.00M,,,-9.00M,,,-9.00M,148.00M,148.00M,,-266.00M,,437.00M,-113.00M,-257.00M,,,,290.00M,660.00M,,,,-421.00M,642.00M,-32.00M,-89.00M,,-2.429B,,-2.429B,4.00M,0.00,4.00M,,,,-43.00M,-11.00M,-54.00M,,2.559B,80.00M,,1.898B,651.00M,40.00M,2.589B,,4.00M,2.012B,-4.441B,0.00,-1.00M,90.00M,,AOR,Restated
2011-06,33.00M,,,,,,,256.00M,256.00M,,592.00M,,-332.00M,-290.00M,-367.00M,,,,-59.00M,490.00M,,,,-25.00M,-397.00M,-41.00M,-1.061B,,-2.31B,,-2.31B,4.00M,0.00,4.00M,,,,-45.00M,-10.00M,-55.00M,,2.493B,132.00M,,2.317B,-439.00M,20.00M,1.898B,,4.00M,3.231B,-5.541B,0.00,220.00M,161.00M,,AOR,Restated
2011-03,501.00M,,,,,,,128.00M,128.00M,,450.00M,,-610.00M,-49.00M,34.00M,,,,5.00M,474.00M,,,,281.00M,275.00M,-46.00M,254.00M,,-3.756B,,-3.756B,-2.00M,0.00,-2.00M,,,,-19.00M,-11.00M,-30.00M,,3.337B,-451.00M,,2.062B,277.00M,-22.00M,2.317B,,-2.00M,2.418B,-6.174B,0.00,26.00M,89.00M,,AOR,Restated
2010-12,575.00M,,,28.00M,,,28.00M,147.00M,147.00M,,-318.00M,0.00,132.00M,819.00M,-515.00M,,,,500.00M,1.064B,,,,44.00M,-248.00M,-131.00M,-148.00M,,10.43B,,10.43B,-17.00M,,-17.00M,0.00,0.00,0.00,-23.00M,-10.00M,-33.00M,,-10.96B,-560.00M,,1.707B,356.00M,-1.00M,2.062B,,-17.00M,-5.998B,16.42B,0.00,59.00M,161.00M,,AOR,Restated
2010-09,666.00M,,,526.00M,,,526.00M,134.00M,134.00M,,438.00M,0.00,-859.00M,-101.00M,373.00M,,,,140.00M,1.045B,,,,-28.00M,-1.727B,-149.00M,-1.886B,,-3.433B,,-3.433B,3.00M,,3.00M,0.00,0.00,0.00,-22.00M,-11.00M,-33.00M,,3.035B,-428.00M,,2.998B,-1.269B,-22.00M,1.707B,,3.00M,1.878B,-5.311B,0.00,1.00M,91.00M,,AOR,
2010-06,76.00M,,,,,,,171.00M,171.00M,,938.00M,153.00M,-673.00M,252.00M,-489.00M,,,,47.00M,712.00M,,,,171.00M,713.00M,102.00M,1.501B,,-2.23B,,-2.23B,6.00M,,6.00M,0.00,0.00,0.00,-20.00M,0.00,-20.00M,,929.00M,-1.315B,,2.079B,898.00M,21.00M,2.998B,,6.00M,3.996B,-6.226B,0.00,161.00M,172.00M,,AOR,Restated
2010-03,319.00M,,,,,,,144.00M,144.00M,,651.00M,,-543.00M,-180.00M,19.00M,,,,-83.00M,488.00M,,,,73.00M,-621.00M,-58.00M,99.00M,,-4.77B,,-4.77B,1.608B,,1.608B,556.00M,-3.40B,-2.844B,-20.00M,-64.00M,-84.00M,,5.438B,-652.00M,,2.142B,-65.00M,2.00M,2.079B,,2.164B,1.214B,-5.984B,-3.40B,87.00M,61.00M,,AOR,Restated
2009-12,557.00M,,,,,,,110.00M,110.00M,,647.00M,0.00,-2.334B,168.00M,-665.00M,,,,-758.00M,229.00M,,,,-191.00M,3.532B,-2.843B,698.00M,,-4.028B,-57.00M,-4.085B,-18.00M,,-18.00M,0.00,0.00,0.00,-20.00M,-42.00M,-62.00M,,2.996B,-1.169B,,2.417B,-242.00M,-33.00M,2.142B,,-18.00M,1.785B,-5.421B,0.00,-149.00M,172.00M,,AOR,Restated
2009-09,-220.00M,,,,,,,101.00M,101.00M,,687.00M,0.00,515.00M,-37.00M,-120.00M,,,,-324.00M,759.00M,,,,74.00M,119.00M,-600.00M,-264.00M,,-5.24B,-6.00M,-5.246B,901.00M,,901.00M,0.00,,0.00,-14.00M,-23.00M,-37.00M,,3.736B,-646.00M,,2.558B,-151.00M,10.00M,2.417B,,901.00M,1.772B,-7.018B,,-76.00M,60.00M,,AOR,Restated
2009-06,-15.00M,,,,,,,122.00M,122.00M,,674.00M,0.00,129.00M,270.00M,-60.00M,,,,66.00M,976.00M,,,,38.00M,-2.011B,-642.00M,-2.546B,,-5.291B,-357.00M,-5.648B,4.00M,,4.00M,3.40B,0.00,3.40B,-16.00M,0.00,-16.00M,,4.472B,2.212B,,1.851B,642.00M,65.00M,2.558B,,3.404B,1.51B,-7.158B,0.00,-130.00M,173.00M,,AOR,Restated
2009-03,-1.209B,,,,,,,137.00M,137.00M,,2.259B,32.00M,-882.00M,-21.00M,-672.00M,,,,673.00M,1.01B,,,,72.00M,-1.806B,705.00M,-1.011B,,-2.603B,-29.00M,-2.632B,0.00,,0.00,0.00,0.00,0.00,-99.00M,-8.00M,-107.00M,,2.865B,126.00M,,1.811B,125.00M,-85.00M,1.851B,,0.00,2.136B,-4.768B,0.00,598.00M,70.00M,,AOR,Restated
2008-12,-806.00M,,,816.00M,1.799B,,2.615B,98.00M,98.00M,,1.07B,745.00M,-1.492B,-650.00M,18.00M,,,-1.67B,-976.00M,1.254B,,,,958.00M,-5.146B,-268.00M,-4.778B,,653.00M,,653.00M,0.00,0.00,0.00,0.00,,0.00,-159.00M,0.00,-159.00M,,2.234B,3.24B,,1.963B,-284.00M,132.00M,1.811B,,0.00,1.183B,-530.00M,0.00,-232.00M,-186.00M,,AOR,Restated
2008-09,-2.631B,,,3.449B,-1.799B,,1.65B,-213.00M,-213.00M,,1.927B,0.00,-454.00M,247.00M,-1.519B,,,2.324B,398.00M,677.00M,,185.00M,185.00M,-131.00M,1.067B,-502.00M,268.00M,,9.544B,-304.00M,9.24B,-34.00M,-172.00M,-206.00M,0.00,,0.00,-165.00M,0.00,-165.00M,,-9.837B,-968.00M,,2.084B,-23.00M,-98.00M,1.963B,,-34.00M,-4.029B,13.27B,-172.00M,167.00M,58.00M,,AOR,Restated
2008-06,543.00M,,,-1.383B,,,-1.383B,286.00M,286.00M,,806.00M,0.00,1.305B,459.00M,-79.00M,,,-654.00M,137.00M,1.694B,,-118.00M,-118.00M,-295.00M,-1.573B,-11.00M,-2.497B,,-4.167B,142.00M,-4.025B,15.00M,-811.00M,-796.00M,0.00,,0.00,-167.00M,0.00,-167.00M,,5.64B,652.00M,,2.248B,-151.00M,-13.00M,2.084B,,15.00M,3.181B,-7.206B,-811.00M,65.00M,83.00M,,AOR,Restated
2008-03,145.00M,,,3.036B,,,3.036B,190.00M,190.00M,,468.00M,0.00,-2.776B,-60.00M,-679.00M,,,,-496.00M,567.00M,,-67.00M,-67.00M,-94.00M,-1.057B,-545.00M,-1.82B,,-4.352B,162.00M,-4.19B,19.00M,-17.00M,2.00M,,,,-169.00M,0.00,-169.00M,,5.707B,1.35B,,2.011B,97.00M,140.00M,2.248B,,19.00M,2.335B,-6.525B,-17.00M,0.00,45.00M,,AOR,Restated
2007-12,595.00M,,,429.00M,,,429.00M,310.00M,310.00M,,,,-433.00M,128.00M,,,,2.769B,523.00M,1.424B,,-24.00M,-24.00M,,-1.165B,-72.00M,-1.272B,,300.00M,86.00M,386.00M,,,,,,,,,-155.00M,,-407.00M,-176.00M,,1.952B,-24.00M,83.00M,2.011B,,,86.00M,300.00M,,85.00M,85.00M,,AOR,Restated
2007-09,851.00M,,,363.00M,,,363.00M,202.00M,202.00M,,,,-726.00M,,,,,,930.00M,1.62B,,-161.00M,-161.00M,0.00,-1.879B,293.00M,-1.746B,,-300.00M,740.00M,440.00M,,,,,,,,,-158.00M,,-89.00M,193.00M,,1.624B,67.00M,261.00M,1.952B,,,540.00M,-300.00M,,89.00M,52.00M,,AOR,Restated
2007-06,627.00M,,,202.00M,,,202.00M,170.00M,170.00M,-347.00M,-872.00M,,1.09B,45.00M,-120.00M,,,-597.00M,772.00M,1.642B,,-29.00M,-29.00M,0.00,-2.108B,175.00M,-1.962B,,-177.00M,-69.00M,-246.00M,,800.00M,800.00M,,,,,,-161.00M,,-183.00M,210.00M,,1.79B,-110.00M,-56.00M,1.624B,,,-177.00M,0.00,800.00M,277.00M,120.00M,,AOR,Restated
2007-03,876.00M,,,,,,,112.00M,112.00M,347.00M,872.00M,,-1.574B,-45.00M,120.00M,,,597.00M,672.00M,1.305B,,-61.00M,-61.00M,0.00,-2.334B,1.199B,-1.196B,,672.00M,-131.00M,541.00M,,-800.00M,-800.00M,,,,,,-162.00M,,693.00M,272.00M,,1.424B,381.00M,-15.00M,1.79B,,,672.00M,0.00,-800.00M,,,,AOR,Restated
2006-12,783.00M,,,,,,,219.00M,219.00M,85.00M,1.073B,,-1.042B,-321.00M,395.00M,,,4.752B,734.00M,1.852B,,-79.00M,-79.00M,,-2.939B,438.00M,-2.58B,,507.00M,-198.00M,309.00M,,0.00,0.00,,,,,,-125.00M,,624.00M,808.00M,,1.355B,80.00M,-11.00M,1.424B,,,1.207B,-700.00M,0.00,,,,AOR,Restated
