,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,TotalCurrentAssets,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,NetLoanAssets,LongTermInvestments,LongTermDeferredTaxAssets,TotalLongTermAssets,TotalAssets,,TotalPayables,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,UnpaidLossReserve,UnearnedPremiumonInsuranceContract,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-06,147.00M,39.49B,39.64B,7.913B,,7.913B,47.55B,1.013B,1.29B,669.00M,1.959B,3.355B,40.53B,1.282B,49.01B,60.78B,,,,413.00M,,413.00M,413.00M,413.00M,4.262B,4.262B,32.08B,5.446B,,,41.79B,48.23B,,4.00M,10.65B,4.374B,1.128B,,-1.353B,12.55B,,AOR,Restated
2018-03,228.00M,39.43B,39.66B,8.033B,,8.033B,47.69B,1.018B,1.29B,687.00M,1.977B,3.221B,39.47B,1.215B,48.24B,216.67B,,,,413.00M,,413.00M,413.00M,413.00M,4.755B,4.755B,32.21B,5.45B,,,42.42B,203.52B,,4.00M,10.16B,4.363B,1.141B,,-239.00M,13.14B,,AOR,Restated
2017-12,180.00M,40.25B,40.43B,7.971B,,7.971B,48.40B,1.034B,1.29B,659.00M,1.949B,3.175B,40.29B,1.164B,48.68B,225.26B,,,,320.00M,,320.00M,320.00M,320.00M,4.678B,4.678B,32.29B,5.322B,,,42.29B,211.77B,,4.00M,9.642B,4.379B,1.194B,,663.00M,13.49B,,AOR,Restated
2017-09,333.00M,62.54B,62.87B,27.13B,,27.13B,90.00B,962.00M,567.00M,,567.00M,7.476B,62.62B,2.766B,73.83B,224.21B,,,,320.00M,,320.00M,320.00M,320.00M,4.818B,4.818B,28.23B,5.528B,,,38.58B,206.98B,,4.00M,13.43B,5.191B,1.981B,,585.00M,17.23B,,AOR,Restated
2017-06,362.00M,63.60B,63.97B,27.11B,,27.11B,91.08B,974.00M,567.00M,,567.00M,7.229B,63.75B,2.868B,74.33B,225.86B,,,,320.00M,,320.00M,320.00M,320.00M,4.817B,4.817B,27.84B,5.573B,,,38.23B,208.58B,,4.00M,13.28B,5.195B,1.687B,,494.00M,17.29B,,AOR,Restated
2017-03,337.00M,62.14B,62.48B,27.17B,,27.17B,89.65B,984.00M,567.00M,,567.00M,7.127B,62.30B,3.105B,72.82B,225.39B,,,,320.00M,,320.00M,320.00M,320.00M,4.817B,4.817B,27.69B,5.609B,,,38.11B,208.38B,,4.00M,13.41B,5.177B,1.371B,,-207.00M,17.01B,,AOR,Restated
2016-12,328.00M,35.02B,35.35B,7.389B,,7.389B,42.74B,991.00M,567.00M,44.00M,611.00M,2.886B,35.23B,2.999B,42.56B,224.58B,,,,416.00M,,416.00M,416.00M,416.00M,4.494B,4.494B,28.32B,5.392B,,,38.20B,207.67B,,4.00M,13.11B,5.247B,1.125B,,-337.00M,16.90B,,AOR,Restated
2016-09,810.00M,63.32B,64.13B,26.79B,,26.79B,90.92B,1.001B,567.00M,,567.00M,7.043B,63.68B,2.439B,74.14B,228.43B,,,,690.00M,,690.00M,690.00M,690.00M,4.635B,4.635B,,5.622B,,,10.26B,209.77B,,5.00M,13.28B,8.893B,4.509B,,987.00M,18.66B,,AOR,Restated
2016-06,461.00M,64.56B,65.03B,26.78B,,26.78B,91.80B,1.005B,498.00M,,498.00M,7.095B,64.98B,2.562B,75.26B,227.62B,,,,690.00M,,690.00M,690.00M,690.00M,4.634B,4.634B,,5.538B,,,10.17B,209.06B,,5.00M,12.92B,8.897B,4.166B,,900.00M,18.56B,,AOR,Restated
2016-03,479.00M,63.41B,63.89B,26.73B,,26.73B,90.62B,995.00M,498.00M,,498.00M,7.081B,63.90B,2.868B,74.43B,227.49B,,,,690.00M,,690.00M,690.00M,690.00M,4.633B,4.633B,,5.497B,,,10.13B,209.38B,,5.00M,12.79B,8.885B,3.821B,,254.00M,18.11B,,AOR,Restated
2015-12,448.00M,62.16B,62.61B,26.73B,,26.73B,89.33B,974.00M,498.00M,,498.00M,7.071B,62.66B,3.206B,72.84B,228.35B,,,,275.00M,,275.00M,275.00M,275.00M,5.084B,5.084B,27.71B,5.385B,,,38.18B,210.71B,,5.00M,12.55B,8.973B,3.557B,,-329.00M,17.64B,,AOR,Restated
2015-09,665.00M,63.36B,64.02B,26.69B,,26.69B,90.71B,932.00M,498.00M,,498.00M,6.98B,63.90B,3.062B,74.17B,231.45B,,,,167.00M,,167.00M,167.00M,167.00M,5.359B,5.359B,,5.508B,,,10.87B,213.25B,,5.00M,12.22B,8.956B,3.112B,,140.00M,18.20B,,AOR,Restated
2015-06,493.00M,63.26B,63.76B,26.48B,,26.48B,90.23B,874.00M,498.00M,,498.00M,7.132B,63.82B,3.056B,74.22B,241.02B,,,,167.00M,,167.00M,167.00M,167.00M,5.358B,5.358B,,5.463B,,,10.82B,222.79B,,5.00M,11.92B,8.983B,2.87B,,188.00M,18.23B,,AOR,Restated
2015-03,500.00M,65.35B,65.85B,26.23B,,26.23B,92.09B,848.00M,498.00M,,498.00M,7.149B,65.87B,2.636B,76.47B,246.96B,,,,167.00M,,167.00M,167.00M,167.00M,5.653B,5.653B,,5.383B,,,11.04B,227.88B,,5.00M,11.58B,8.996B,2.657B,,1.15B,19.08B,,AOR,Restated
2014-12,399.00M,65.31B,65.71B,26.35B,,26.35B,92.06B,831.00M,498.00M,,498.00M,6.987B,65.80B,2.897B,75.35B,245.01B,,,,456.00M,,456.00M,456.00M,456.00M,5.653B,5.653B,,5.255B,,,10.91B,226.29B,,5.00M,11.19B,9.123B,2.527B,,928.00M,18.72B,,AOR,Restated
2014-09,440.00M,65.25B,65.69B,26.35B,,26.35B,92.04B,816.00M,498.00M,,498.00M,7.155B,65.72B,2.89B,75.88B,247.10B,,,,289.00M,0.00,289.00M,289.00M,289.00M,5.819B,5.819B,,5.389B,,,11.21B,228.26B,,5.00M,10.89B,9.013B,2.146B,,1.077B,18.84B,,AOR,Restated
2014-06,1.512B,65.58B,67.09B,26.52B,,26.52B,93.61B,807.00M,498.00M,,498.00M,7.006B,66.00B,3.036B,76.87B,254.71B,,,,289.00M,0.00,289.00M,289.00M,289.00M,5.819B,5.819B,,5.348B,,,11.17B,235.28B,,5.00M,10.58B,9.23B,1.546B,,1.162B,19.43B,,AOR,Restated
2014-03,1.285B,68.16B,69.44B,26.60B,,26.60B,96.05B,870.00M,498.00M,,498.00M,7.136B,86.59B,3.211B,97.88B,272.92B,,,,289.00M,243.00M,532.00M,532.00M,532.00M,5.818B,5.818B,,5.326B,,,11.14B,253.15B,,5.00M,11.11B,9.549B,1.55B,,659.00M,19.77B,,AOR,Restated
2013-12,1.428B,67.23B,68.66B,26.80B,,26.80B,95.46B,877.00M,498.00M,,498.00M,7.018B,87.82B,3.84B,99.21B,277.88B,,,,200.00M,238.00M,438.00M,438.00M,438.00M,6.106B,6.106B,,5.225B,,,11.33B,258.98B,,5.00M,10.68B,9.894B,1.598B,,-79.00M,18.90B,,AOR,Restated
2013-09,1.422B,69.03B,70.45B,26.79B,,26.79B,97.24B,895.00M,498.00M,,498.00M,6.99B,92.37B,3.893B,104.01B,283.95B,,,,200.00M,,200.00M,200.00M,200.00M,6.189B,6.189B,,5.445B,,,11.63B,265.02B,,5.00M,10.44B,10.41B,1.913B,,-17.00M,18.93B,,AOR,Restated
2013-06,1.74B,70.59B,72.33B,26.30B,,26.30B,98.63B,911.00M,498.00M,,498.00M,6.823B,94.95B,3.732B,106.91B,294.83B,,,,520.00M,,520.00M,520.00M,520.00M,6.215B,6.215B,,5.297B,,,11.51B,275.82B,,5.00M,10.21B,10.54B,1.823B,,74.00M,19.01B,,AOR,Restated
2013-03,1.985B,74.94B,76.93B,25.98B,,25.98B,102.90B,921.00M,498.00M,,498.00M,6.65B,104.02B,2.667B,114.64B,297.02B,,,,520.00M,,520.00M,520.00M,520.00M,5.939B,5.939B,,5.307B,,,11.25B,276.10B,,561.00M,10.45B,9.993B,1.732B,556.00M,1.649B,20.92B,,AOR,Restated
2012-12,2.421B,91.39B,93.81B,8.208B,,8.208B,102.02B,977.00M,654.00M,,654.00M,8.708B,121.41B,1.942B,134.52B,298.51B,,,,320.00M,,320.00M,320.00M,320.00M,6.967B,6.967B,,5.145B,,,12.11B,276.07B,,561.00M,10.74B,10.04B,1.74B,556.00M,2.843B,22.45B,,AOR,Restated
2012-09,2.705B,4.787B,7.492B,3.646B,,3.646B,11.14B,979.00M,1.006B,,1.006B,8.863B,123.73B,1.248B,137.70B,308.92B,,,,,320.00M,320.00M,320.00M,320.00M,6.996B,6.996B,,5.37B,,,12.37B,285.55B,,561.00M,11.24B,10.03B,1.753B,556.00M,3.295B,23.37B,,AOR,Restated
2012-06,2.338B,5.154B,7.492B,3.537B,,3.537B,11.03B,1.001B,1.006B,,1.006B,8.831B,121.61B,1.808B,135.86B,303.98B,,,,,,,,,7.379B,7.379B,,5.278B,,,12.66B,282.02B,,561.00M,10.89B,10.04B,1.78B,556.00M,2.256B,21.96B,,AOR,Restated
2012-03,2.059B,5.256B,7.315B,3.565B,,3.565B,10.88B,1.017B,1.006B,,1.006B,8.245B,121.36B,2.375B,135.02B,310.55B,,,,,,,,,6.53B,6.53B,,5.325B,,,11.86B,289.27B,,561.00M,11.04B,10.03B,1.688B,556.00M,1.328B,21.27B,,AOR,Restated
2011-12,2.581B,90.47B,93.05B,8.214B,,8.214B,101.26B,1.029B,1.006B,55.00M,1.061B,7.729B,122.29B,2.131B,134.33B,302.61B,,,,,,,,,6.53B,6.53B,28.44B,5.222B,,,40.20B,281.12B,,561.00M,11.00B,10.39B,1.718B,556.00M,1.251B,21.49B,,AOR,Restated
2011-09,2.589B,9.704B,12.29B,3.525B,,3.525B,15.82B,1.029B,1.036B,,1.036B,7.766B,123.05B,1.611B,134.60B,305.60B,,,,,400.00M,400.00M,400.00M,400.00M,6.566B,6.566B,,5.409B,,,11.98B,282.82B,,561.00M,12.45B,10.40B,1.687B,556.00M,1.065B,22.78B,,AOR,Restated
2011-06,1.898B,8.861B,10.76B,3.418B,,3.418B,14.18B,1.02B,1.036B,,1.036B,7.492B,121.58B,3.362B,133.87B,317.47B,,,,,400.00M,400.00M,400.00M,400.00M,6.582B,6.582B,,5.315B,,,11.90B,295.79B,,561.00M,12.50B,10.39B,1.705B,556.00M,-77.00M,21.68B,,AOR,Restated
2011-03,2.317B,7.33B,9.647B,3.396B,,3.396B,13.04B,1.132B,1.051B,,1.051B,6.917B,120.16B,3.401B,131.94B,322.54B,,,,,400.00M,400.00M,400.00M,400.00M,6.592B,6.592B,,5.314B,,,11.91B,301.54B,,561.00M,12.53B,10.39B,1.722B,556.00M,-764.00M,21.00B,,AOR,Restated
2010-12,2.062B,8.528B,10.59B,3.273B,,3.273B,13.86B,1.15B,1.051B,,1.051B,6.67B,120.79B,3.725B,131.29B,318.35B,,,,,400.00M,400.00M,400.00M,400.00M,6.589B,6.589B,39.60B,5.176B,0.00,,51.36B,298.04B,,561.00M,12.08B,10.45B,1.774B,556.00M,-1.001B,20.31B,,AOR,Restated
2010-06,2.998B,8.731B,11.73B,3.371B,,3.371B,15.10B,1.15B,1.051B,,1.051B,6.855B,117.15B,2.828B,130.83B,314.15B,,,,,0.00,0.00,0.00,0.00,7.052B,7.052B,,5.291B,0.00,,12.34B,295.26B,,561.00M,11.05B,10.47B,1.81B,556.00M,-1.379B,18.89B,,AOR,Restated
2010-03,2.079B,8.545B,10.62B,3.402B,,3.402B,14.03B,1.032B,1.204B,,1.204B,7.339B,117.34B,3.322B,130.16B,317.28B,,,,,275.00M,275.00M,275.00M,275.00M,7.431B,7.431B,,5.293B,0.00,,12.72B,299.44B,,561.00M,11.01B,10.48B,1.825B,556.00M,-2.377B,17.84B,,AOR,Restated
2009-12,2.142B,10.36B,12.50B,3.404B,,3.404B,15.90B,1.026B,1.204B,,1.204B,8.112B,115.05B,3.94B,129.38B,307.72B,,,,,343.00M,343.00M,343.00M,343.00M,6.632B,6.632B,39.63B,5.221B,29.00M,,51.48B,289.82B,,2.964B,11.16B,8.985B,1.936B,2.96B,-3.312B,17.86B,,AOR,Restated
2009-09,2.417B,13.91B,16.33B,3.482B,,3.482B,19.81B,1.032B,1.204B,,1.204B,8.537B,117.41B,3.82B,130.91B,316.72B,,,,,342.00M,342.00M,342.00M,342.00M,6.686B,6.686B,,5.324B,25.00M,,12.01B,299.24B,,2.944B,10.69B,8.976B,1.936B,2.94B,-3.217B,17.46B,,AOR,Restated
2009-06,2.558B,12.70B,15.26B,3.51B,,3.51B,18.77B,1.024B,1.204B,,1.204B,8.726B,109.69B,5.321B,123.79B,289.70B,,,,,342.00M,342.00M,342.00M,342.00M,6.689B,6.689B,,5.333B,20.00M,,12.02B,276.24B,,2.925B,10.99B,8.19B,2.054B,2.921B,-6.61B,13.44B,,AOR,Restated
2009-03,1.851B,11.19B,13.04B,3.568B,,3.568B,16.61B,1.062B,1.036B,,1.036B,8.586B,102.64B,6.30B,116.02B,276.17B,,,,,419.00M,419.00M,419.00M,419.00M,6.959B,6.959B,,5.366B,27.00M,,12.32B,268.28B,,4.00M,10.11B,7.60B,2.054B,,-7.801B,7.86B,,AOR,Restated
2008-12,1.811B,10.02B,11.83B,,,,11.83B,1.075B,1.06B,,1.06B,8.677B,107.41B,5.239B,133.08B,287.58B,,,,,398.00M,398.00M,398.00M,398.00M,7.033B,7.033B,38.68B,5.379B,92.00M,,51.09B,278.22B,,3.00M,11.34B,7.569B,2.12B,,-7.52B,9.268B,,AOR,Restated
2008-09,1.963B,5.353B,7.316B,3.627B,,3.627B,10.94B,1.038B,,1.801B,1.801B,8.381B,110.83B,3.56B,126.13B,311.48B,,,,,927.00M,927.00M,927.00M,927.00M,4.62B,4.62B,-80.84B,5.523B,,,-70.69B,298.93B,,3.00M,12.25B,6.598B,2.138B,,-4.155B,12.56B,,AOR,Restated
2008-06,2.084B,5.127B,7.211B,3.625B,,3.625B,10.84B,1.022B,,1.788B,1.788B,8.028B,119.67B,1.259B,134.13B,333.84B,,,,,1.353B,1.353B,1.353B,1.353B,4.618B,4.618B,-83.38B,5.53B,,,-73.24B,317.02B,,3.00M,15.04B,6.591B,2.029B,,-2.78B,16.82B,,AOR,Restated
2008-03,2.248B,7.374B,9.622B,,,8.886B,18.51B,994.00M,1.788B,,1.788B,5.503B,123.85B,956.00M,137.99B,344.17B,,46.46B,46.46B,,2.335B,2.335B,2.335B,48.80B,3.618B,3.618B,37.69B,5.551B,,,46.86B,326.33B,,3.00M,14.66B,6.581B,1.184B,,-2.225B,17.84B,,AOR,Restated
2007-12,2.011B,1.602B,3.613B,3.681B,,3.681B,7.294B,972.00M,,1.726B,1.726B,7.471B,120.43B,308.00M,134.34B,360.36B,,,,,1.365B,1.365B,1.365B,1.365B,3.142B,3.142B,37.48B,5.545B,,,46.17B,341.16B,,3.00M,14.69B,6.627B,1.254B,,-858.00M,19.20B,,AOR,Restated
2007-09,1.952B,2.738B,4.69B,,,5.163B,9.853B,941.00M,1.726B,,1.726B,5.236B,121.91B,279.00M,139.68B,356.46B,,78.92B,78.92B,,1.545B,1.545B,1.545B,80.47B,3.67B,3.67B,37.20B,5.677B,,,46.55B,337.50B,,3.00M,14.26B,6.585B,1.232B,,-666.00M,18.95B,,AOR,Restated
2007-06,1.624B,2.505B,4.129B,3.849B,5.131B,8.98B,13.11B,910.00M,1.726B,,1.726B,6.943B,118.37B,558.00M,131.94B,345.65B,,74.80B,74.80B,,987.00M,987.00M,987.00M,75.78B,4.119B,4.119B,36.62B,5.704B,,,46.44B,327.00B,,3.00M,13.56B,6.541B,859.00M,,-601.00M,18.65B,,AOR,Restated
2007-03,1.79B,2.246B,4.036B,,,9.252B,13.29B,815.00M,1.726B,,1.726B,6.114B,116.83B,142.00M,129.44B,332.71B,,73.46B,73.46B,,903.00M,903.00M,903.00M,74.37B,4.004B,4.004B,36.24B,5.657B,,,45.90B,313.86B,,3.00M,13.10B,6.435B,859.00M,,177.00M,18.85B,,AOR,Restated
2006-12,1.424B,3.596B,5.02B,,,9.246B,14.27B,791.00M,1.717B,,1.717B,3.318B,113.80B,284.00M,305.32B,326.54B,,71.31B,71.31B,,857.00M,857.00M,857.00M,72.17B,3.504B,3.504B,36.01B,5.62B,,,45.13B,307.67B,,3.00M,12.42B,6.321B,47.00M,,178.00M,18.88B,,AOR,Restated
2006-09,1.355B,1.763B,3.118B,,,5.037B,8.155B,753.00M,1.72B,,1.72B,4.799B,109.92B,472.00M,124.70B,304.79B,,,,,995.00M,995.00M,995.00M,995.00M,3.081B,3.081B,104.81B,5.67B,,,113.56B,287.06B,,3.00M,11.80B,5.912B,46.00M,,64.00M,17.73B,,AOR,Restated
2006-06,1.081B,1.628B,2.709B,3.708B,5.27B,8.978B,11.69B,717.00M,1.72B,,1.72B,4.665B,106.17B,1.123B,116.69B,294.94B,,,,,1.384B,1.384B,1.384B,1.384B,3.38B,3.38B,67.77B,5.66B,,,76.81B,279.56B,,3.00M,11.17B,5.183B,46.00M,,-924.00M,15.38B,,AOR,Restated
2006-03,1.394B,1.352B,2.746B,3.729B,6.066B,9.795B,12.54B,691.00M,1.72B,,1.72B,4.152B,104.67B,884.00M,114.68B,295.38B,,,,,721.00M,721.00M,721.00M,721.00M,4.045B,4.045B,66.60B,5.672B,,,76.32B,279.96B,,3.00M,10.81B,5.096B,46.00M,,-457.00M,15.41B,,AOR,Restated
2005-12,1.273B,1.253B,2.526B,,,6.36B,8.886B,683.00M,1.72B,,1.72B,2.984B,103.19B,675.00M,116.67B,285.56B,,,,,719.00M,719.00M,719.00M,719.00M,4.048B,4.048B,64.45B,5.566B,,,74.07B,270.23B,,3.00M,10.21B,5.067B,42.00M,,90.00M,15.32B,,AOR,Restated
2005-09,1.481B,2.499B,3.98B,3.218B,6.028B,9.246B,13.23B,675.00M,1.72B,,1.72B,2.009B,101.61B,459.00M,109.57B,280.46B,,,,,620.00M,620.00M,620.00M,620.00M,4.053B,4.053B,61.54B,5.111B,,,70.70B,265.16B,,3.00M,9.831B,4.925B,42.00M,,593.00M,15.31B,,AOR,Restated
2005-06,1.027B,2.593B,3.62B,3.334B,5.695B,9.029B,12.65B,657.00M,1.72B,,1.72B,2.14B,98.48B,52.00M,106.56B,268.38B,,,,,620.00M,620.00M,620.00M,620.00M,4.061B,4.061B,57.48B,5.038B,,,66.58B,252.79B,,3.00M,9.379B,4.83B,41.00M,,1.419B,15.59B,,AOR,Restated
2005-03,1.439B,2.23B,3.669B,3.296B,5.953B,9.249B,12.92B,658.00M,1.72B,,1.72B,2.119B,94.39B,550.00M,102.69B,261.42B,,,,,622.00M,622.00M,622.00M,622.00M,4.30B,4.30B,55.46B,4.943B,,,64.70B,247.21B,,3.00M,8.863B,4.696B,41.00M,,690.00M,14.21B,,AOR,Restated
2004-12,1.148B,1.006B,2.154B,3.235B,6.178B,9.413B,11.57B,643.00M,1.72B,,1.72B,2.18B,90.57B,419.00M,100.22B,259.74B,,,,,621.00M,621.00M,621.00M,621.00M,4.308B,4.308B,86.41B,4.807B,,,95.52B,245.50B,,3.00M,8.283B,4.567B,40.00M,,1.425B,14.24B,,AOR,Restated
2004-09,819.00M,2.096B,2.915B,3.421B,5.852B,9.273B,12.19B,,1.72B,,1.72B,2.665B,87.71B,487.00M,96.06B,246.49B,,,,,621.00M,621.00M,621.00M,621.00M,4.312B,4.312B,49.35B,4.911B,,,58.57B,232.84B,,3.00M,7.749B,4.527B,39.00M,,1.41B,13.65B,,AOR,Restated
2004-06,695.00M,1.917B,2.612B,3.429B,5.655B,9.084B,11.70B,,1.72B,,1.72B,2.65B,82.20B,987.00M,90.53B,240.22B,,,,,622.00M,622.00M,622.00M,622.00M,4.304B,4.304B,46.60B,4.843B,,,55.75B,227.95B,,3.00M,7.337B,4.494B,39.00M,,480.00M,12.28B,,AOR,Restated
2004-03,638.00M,1.845B,2.483B,2.969B,5.968B,8.937B,11.42B,,1.72B,,1.72B,2.655B,83.10B,245.00M,92.79B,237.26B,,,,,573.00M,573.00M,573.00M,573.00M,4.58B,4.58B,45.32B,4.612B,,,54.51B,223.73B,,3.00M,6.986B,4.419B,39.00M,,2.168B,13.54B,,AOR,Restated
2003-12,462.00M,1.507B,1.969B,3.085B,5.958B,9.043B,11.01B,593.00M,1.72B,,1.72B,2.512B,63.34B,845.00M,71.27B,225.85B,,26.18B,26.18B,,1.05B,1.05B,1.05B,27.24B,4.61B,4.61B,33.12B,4.423B,,,42.15B,214.21B,,3.00M,6.499B,3.929B,38.00M,,1.246B,11.64B,,AOR,Restated
2003-09,496.00M,1.539B,2.035B,2.831B,6.215B,9.046B,11.08B,,1.72B,,1.72B,2.533B,61.09B,888.00M,68.58B,211.36B,,,,,515.00M,515.00M,515.00M,515.00M,3.66B,3.66B,26.24B,4.56B,,962.00M,35.42B,200.02B,,3.00M,6.124B,3.897B,37.00M,,1.357B,11.34B,,AOR,Restated
2003-06,429.00M,1.493B,1.922B,2.822B,6.193B,9.015B,10.94B,,1.721B,,1.721B,2.889B,59.30B,765.00M,68.12B,207.80B,,,,,514.00M,514.00M,514.00M,514.00M,3.337B,3.337B,26.25B,4.454B,,1.296B,35.34B,196.30B,,3.00M,5.857B,3.869B,37.00M,,1.807B,11.50B,,AOR,Restated
2003-03,655.00M,1.707B,2.362B,2.712B,6.50B,9.212B,11.57B,,1.721B,,1.721B,2.876B,54.45B,1.274B,62.55B,188.66B,,,,,315.00M,315.00M,315.00M,315.00M,2.596B,2.596B,25.25B,4.291B,,1.469B,33.61B,179.22B,,3.00M,5.426B,2.793B,37.00M,,1.257B,9.442B,,AOR,Restated
2002-12,377.00M,1.79B,2.167B,2.611B,5.027B,7.638B,9.805B,,1.721B,,1.721B,2.934B,51.60B,545.00M,59.65B,181.98B,,,,,315.00M,315.00M,315.00M,315.00M,4.064B,4.064B,49.61B,3.989B,,,57.67B,171.24B,,3.00M,6.89B,2.784B,37.00M,,1.094B,10.73B,,AOR,Restated
2002-09,413.00M,2.051B,2.464B,2.628B,5.046B,7.674B,10.14B,,1.722B,,1.722B,2.98B,51.12B,281.00M,58.78B,175.54B,,,,,615.00M,615.00M,615.00M,615.00M,2.595B,2.595B,22.34B,3.973B,1.461B,1.461B,30.36B,163.14B,,3.00M,6.701B,2.766B,37.00M,,1.51B,10.94B,,AOR,
2002-06,319.00M,1.99B,2.309B,2.656B,5.167B,7.823B,10.13B,,1.725B,,1.725B,3.204B,46.13B,470.00M,54.13B,179.64B,,,,,615.00M,615.00M,615.00M,615.00M,1.965B,1.965B,20.52B,3.839B,,1.429B,27.75B,169.98B,,3.00M,6.501B,2.461B,37.00M,,728.00M,9.656B,,AOR,
