,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,RentandLandingExpense,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2018-06,2.561B,2.561B,1.494B,1.067B,761.00M,761.00M,47.00M,282.00M,96.00M,0.00,,69.00M,1.00M,-68.00M,,1.09B,-23.00M,1.00M,69.00M,-68.00M,4.00M,-68.00M,-87.00M,-144.00M,57.00M,1.00M,,-10.00M,,48.00M,45.54M,311.00M,329.00M,-18.00M,,0.19,0.01,,0.1841,0.20,,0.19,0.00,,0.1841,0.19,,246.00M,247.40M,0.40,,AOR,Restated
2018-03,3.09B,3.09B,1.616B,1.474B,526.00M,526.00M,39.00M,110.00M,93.00M,,,70.00M,4.00M,-66.00M,,675.00M,799.00M,4.00M,70.00M,-66.00M,-15.00M,-66.00M,718.00M,114.00M,604.00M,6.00M,,-16.00M,,594.00M,588.00M,937.00M,149.00M,788.00M,,2.37,0.02,,2.37,2.39,,2.35,0.02,,2.35,2.37,,248.50M,250.20M,0.36,,AOR,Restated
2017-12,2.909B,2.909B,1.64B,1.269B,615.00M,615.00M,39.00M,100.00M,89.00M,,,71.00M,7.00M,-64.00M,,754.00M,515.00M,7.00M,71.00M,-64.00M,-45.00M,-64.00M,406.00M,389.00M,17.00M,-29.00M,,-7.00M,,-19.00M,10.00M,616.00M,139.00M,477.00M,,0.04,-0.12,,0.04,-0.08,,0.04,-0.12,,0.04,-0.08,,251.30M,254.10M,0.36,,AOR,Restated
2017-09,2.34B,2.34B,1.428B,912.00M,515.00M,515.00M,40.00M,101.00M,89.00M,,,70.00M,10.00M,-60.00M,,656.00M,256.00M,10.00M,70.00M,-60.00M,4.00M,-60.00M,200.00M,4.00M,196.00M,-4.00M,,-7.00M,,185.00M,189.00M,411.00M,141.00M,270.00M,,0.74,-0.02,,0.74,0.72,,0.73,-0.02,,0.73,0.72,,255.60M,257.30M,0.36,,AOR,Restated
2017-06,2.368B,2.368B,1.466B,902.00M,515.00M,515.00M,54.00M,460.00M,86.00M,,,71.00M,8.00M,-63.00M,,1.029B,-127.00M,8.00M,71.00M,-63.00M,4.00M,-63.00M,-186.00M,-143.00M,-43.00M,821.00M,,-9.00M,,769.00M,-52.00M,399.00M,514.00M,-115.00M,,-0.20,3.13,,-0.20,2.93,,-0.20,3.13,,-0.20,2.93,,262.40M,262.40M,0.36,,AOR,Restated
2017-03,2.381B,2.381B,1.469B,912.00M,480.00M,480.00M,54.00M,43.00M,84.00M,,,70.00M,2.00M,-68.00M,,577.00M,335.00M,2.00M,70.00M,-68.00M,-2.00M,-68.00M,265.00M,0.00,265.00M,40.00M,,-14.00M,,291.00M,251.00M,432.00M,97.00M,335.00M,,0.95,0.15,,0.95,1.10,,0.94,0.15,,0.94,1.09,,264.80M,267.00M,0.33,,AOR,Restated
2016-12,2.65B,2.65B,1.473B,1.177B,457.00M,457.00M,44.00M,40.00M,86.00M,,,70.00M,3.00M,-67.00M,,541.00M,636.00M,3.00M,70.00M,-67.00M,-164.00M,-67.00M,405.00M,21.00M,384.00M,75.00M,,-7.00M,,452.00M,377.00M,559.00M,84.00M,475.00M,,1.89,0.28,,1.89,1.89,,1.87,0.28,,1.87,1.87,,265.10M,268.20M,0.33,,AOR,Restated
2016-09,2.201B,2.201B,1.30B,901.00M,452.00M,452.00M,39.00M,42.00M,86.00M,,,70.00M,1.00M,-69.00M,,533.00M,368.00M,1.00M,70.00M,-69.00M,10.00M,-69.00M,309.00M,25.00M,284.00M,42.00M,,-7.00M,,319.00M,277.00M,460.00M,81.00M,379.00M,,1.03,0.16,,1.03,1.19,,1.03,0.15,,1.03,1.18,,267.50M,269.60M,0.33,,AOR,Restated
2016-06,2.282B,2.282B,1.396B,886.00M,420.00M,420.00M,41.00M,38.00M,89.00M,,,73.00M,3.00M,-70.00M,,499.00M,387.00M,3.00M,73.00M,-70.00M,-1.00M,-70.00M,316.00M,43.00M,273.00M,35.00M,,-8.00M,,300.00M,265.00M,468.00M,79.00M,389.00M,,0.99,0.13,,0.99,1.12,,0.98,0.13,,0.98,1.11,,268.00M,269.80M,0.33,,AOR,Restated
2016-03,2.276B,2.276B,1.345B,931.00M,436.00M,436.00M,38.00M,37.00M,82.00M,,,69.00M,2.00M,-67.00M,,511.00M,420.00M,2.00M,69.00M,-67.00M,18.00M,-67.00M,371.00M,59.00M,312.00M,25.00M,,-12.00M,,325.00M,300.00M,515.00M,75.00M,440.00M,,1.11,0.09,,1.11,1.20,,1.10,0.09,,1.10,1.19,,271.70M,273.70M,0.30,,AOR,Restated
2015-12,1.086B,1.086B,625.00M,461.00M,-332.00M,-332.00M,,,,,,68.00M,4.00M,-64.00M,,5.00M,456.00M,4.00M,68.00M,-64.00M,49.00M,-64.00M,441.00M,20.00M,421.00M,,,-6.00M,,584.00M,415.00M,509.00M,-68.00M,509.00M,,2.12,,,2.12,2.12,,2.09,,,2.09,2.09,,273.60M,277.50M,0.30,,AOR,Restated
2015-09,2.742B,2.742B,1.644B,1.098B,685.00M,685.00M,,,,,,72.00M,3.00M,-69.00M,,685.00M,413.00M,3.00M,72.00M,-69.00M,8.00M,-69.00M,352.00M,49.00M,303.00M,,,-8.00M,,295.00M,295.00M,558.00M,134.00M,424.00M,,1.05,,,1.05,1.05,,1.04,,,1.04,1.04,,280.90M,283.80M,0.30,,AOR,Restated
2015-06,2.805B,2.805B,1.653B,1.152B,875.00M,875.00M,,,,,,68.00M,4.00M,-64.00M,,875.00M,277.00M,4.00M,68.00M,-64.00M,1.00M,-64.00M,214.00M,26.00M,188.00M,,,-10.00M,,178.00M,178.00M,418.00M,136.00M,282.00M,,0.63,,,0.63,0.63,,0.62,,,0.62,0.62,,284.50M,286.70M,0.30,,AOR,Restated
2015-03,2.847B,2.847B,1.683B,1.164B,723.00M,723.00M,,,,,,65.00M,3.00M,-62.00M,,723.00M,441.00M,3.00M,65.00M,-62.00M,42.00M,-62.00M,421.00M,80.00M,341.00M,,,-13.00M,,328.00M,328.00M,622.00M,136.00M,486.00M,,1.15,,,1.15,1.15,,1.14,,,1.14,1.14,,284.20M,287.10M,0.25,,AOR,Restated
2014-12,3.299B,3.299B,1.848B,1.451B,816.00M,816.00M,,,,,,67.00M,3.00M,-64.00M,,816.00M,635.00M,3.00M,67.00M,-64.00M,10.00M,-64.00M,581.00M,114.00M,467.00M,,,-8.00M,,459.00M,459.00M,796.00M,148.00M,648.00M,,1.60,,,1.60,1.60,,1.56,,,1.56,1.56,,287.70M,293.60M,0.25,,AOR,Restated
2014-09,2.88B,2.88B,1.707B,1.173B,756.00M,756.00M,,,,,,65.00M,3.00M,-62.00M,,756.00M,417.00M,3.00M,65.00M,-62.00M,35.00M,-62.00M,390.00M,75.00M,315.00M,,,-6.00M,,309.00M,309.00M,606.00M,151.00M,455.00M,,1.06,,,1.06,1.06,,1.04,,,1.04,1.04,,292.30M,296.10M,0.25,,AOR,Restated
2014-06,2.919B,2.919B,1.708B,1.211B,766.00M,766.00M,,,,,,65.00M,2.00M,-63.00M,,766.00M,445.00M,2.00M,65.00M,-63.00M,-2.00M,-63.00M,380.00M,67.00M,313.00M,,,-9.00M,,304.00M,304.00M,594.00M,149.00M,445.00M,,1.02,,,1.02,1.02,,1.01,,,1.01,1.01,,298.50M,301.60M,0.25,,AOR,Restated
2014-03,2.947B,2.947B,1.751B,1.196B,727.00M,727.00M,,,,,,58.00M,2.00M,-56.00M,,727.00M,469.00M,2.00M,58.00M,-56.00M,1.00M,-56.00M,414.00M,78.00M,336.00M,,,-11.00M,,325.00M,325.00M,618.00M,146.00M,472.00M,,1.07,,,1.07,1.07,,1.06,,,1.06,1.06,,303.50M,307.20M,0.175,,AOR,Restated
2013-12,3.209B,3.209B,1.842B,1.367B,852.00M,852.00M,,,,,,57.00M,3.00M,-54.00M,,852.00M,515.00M,3.00M,57.00M,-54.00M,14.00M,-54.00M,475.00M,115.00M,360.00M,,,-5.00M,,355.00M,355.00M,694.00M,162.00M,532.00M,,1.16,,,1.16,1.16,,1.14,,,1.14,1.14,,306.00M,311.50M,0.175,,AOR,Restated
2013-09,2.794B,2.794B,1.666B,1.128B,764.00M,764.00M,,,,,,53.00M,3.00M,-50.00M,,764.00M,364.00M,3.00M,53.00M,-50.00M,39.00M,-50.00M,353.00M,89.00M,264.00M,,,-8.00M,,256.00M,256.00M,563.00M,157.00M,406.00M,,0.83,,,0.83,0.83,,0.82,,,0.82,0.82,,309.50M,312.90M,0.175,,AOR,Restated
2013-06,2.897B,2.897B,1.712B,1.185B,803.00M,803.00M,,,,,,48.00M,2.00M,-46.00M,,803.00M,382.00M,2.00M,48.00M,-46.00M,6.00M,-46.00M,342.00M,90.00M,252.00M,,,-11.00M,,241.00M,241.00M,548.00M,158.00M,390.00M,,0.77,,,0.77,0.77,,0.76,,,0.76,0.76,,313.70M,317.10M,0.175,,AOR,Restated
2013-03,2.915B,2.915B,1.725B,1.19B,780.00M,780.00M,,,,,,52.00M,1.00M,-51.00M,,780.00M,410.00M,1.00M,52.00M,-51.00M,9.00M,-51.00M,368.00M,96.00M,272.00M,,,-11.00M,,261.00M,261.00M,578.00M,158.00M,420.00M,,0.82,,,0.82,0.82,,0.82,,,0.82,0.82,,316.40M,320.00M,0.1575,,AOR,Restated
2012-12,3.115B,3.115B,1.789B,1.326B,865.00M,865.00M,,,,,,55.00M,4.00M,-51.00M,,865.00M,461.00M,4.00M,55.00M,-51.00M,-1.00M,-51.00M,409.00M,103.00M,306.00M,,,-2.00M,,305.00M,304.00M,638.00M,174.00M,464.00M,,0.95,0.00,,0.95,0.95,,0.93,0.00,,0.93,0.93,,322.20M,327.20M,0.1575,,AOR,Restated
2012-09,2.737B,2.737B,1.62B,1.117B,778.00M,778.00M,,,,,,57.00M,1.00M,-56.00M,,778.00M,339.00M,1.00M,57.00M,-56.00M,-9.00M,-56.00M,274.00M,64.00M,210.00M,0.00,,-6.00M,,204.00M,204.00M,492.00M,161.00M,331.00M,,0.6233,0.00,,0.6233,0.62,,0.6163,0.00,,0.6163,0.62,,327.30M,331.00M,0.1575,,AOR,Restated
2012-06,2.821B,2.821B,1.639B,1.182B,788.00M,788.00M,,,,,,57.00M,2.00M,-55.00M,,788.00M,394.00M,2.00M,57.00M,-55.00M,12.00M,-55.00M,351.00M,96.00M,255.00M,-1.00M,,-8.00M,,246.00M,247.00M,569.00M,161.00M,408.00M,,0.7440,-0.0030,,0.7440,0.74,,0.7360,-0.0030,,0.7360,0.73,,332.00M,335.60M,0.1575,,AOR,Restated
2012-03,2.841B,2.841B,1.661B,1.18B,778.00M,778.00M,,,,,,59.00M,3.00M,-56.00M,,778.00M,402.00M,3.00M,59.00M,-56.00M,,-56.00M,346.00M,97.00M,249.00M,,,-11.00M,,238.00M,238.00M,564.00M,159.00M,405.00M,,0.72,,,0.72,0.72,,0.71,,,0.71,0.71,,332.40M,336.60M,0.15,,AOR,Restated
2011-12,2.994B,2.994B,6.567B,-3.573B,-4.003B,-4.003B,,,,,,59.00M,4.00M,-55.00M,,-4.003B,430.00M,4.00M,59.00M,-55.00M,13.00M,-55.00M,388.00M,104.00M,284.00M,,,-3.00M,,277.00M,281.00M,592.00M,145.00M,447.00M,,0.85,,,0.85,0.84,,0.83,,,0.83,0.82,,331.90M,338.20M,0.15,,AOR,Restated
2011-09,2.723B,2.723B,,2.723B,2.395B,2.395B,,,,20.00M,,60.00M,4.00M,-56.00M,,2.395B,328.00M,4.00M,60.00M,-56.00M,20.00M,-56.00M,292.00M,84.00M,208.00M,0.00,,-10.00M,,198.00M,183.75M,496.00M,144.00M,352.00M,,0.59,0.00,,0.5472,0.59,,0.59,0.00,,0.5477,0.59,,332.60M,336.90M,0.15,,AOR,Restated
2011-06,2.811B,2.811B,,2.811B,2.371B,2.371B,,,,-29.00M,,63.00M,4.00M,-59.00M,,2.371B,440.00M,4.00M,63.00M,-59.00M,-29.00M,-59.00M,352.00M,87.00M,265.00M,2.00M,,-9.00M,,258.00M,277.83M,564.00M,149.00M,415.00M,,0.76,0.00,,0.8246,0.76,,0.75,0.00,,0.8137,0.75,,337.70M,342.70M,0.15,,AOR,Restated
2011-03,2.759B,2.759B,,2.759B,2.361B,2.361B,,,,15.00M,,63.00M,6.00M,-57.00M,,2.361B,398.00M,6.00M,63.00M,-57.00M,15.00M,-57.00M,356.00M,103.00M,253.00M,2.00M,,-9.00M,,246.00M,233.34M,563.00M,144.00M,419.00M,,0.72,0.00,,0.6886,0.72,,0.71,0.00,,0.6791,0.71,,339.40M,345.40M,0.15,,AOR,Restated
2010-12,2.909B,2.909B,5.097B,-2.188B,-2.628B,-2.628B,,,,,,65.00M,6.00M,-59.00M,,-2.628B,440.00M,6.00M,65.00M,-59.00M,-21.00M,-59.00M,360.00M,118.00M,242.00M,-1.00M,,-10.00M,,231.00M,232.00M,551.00M,126.00M,425.00M,,0.70,0.00,,0.70,0.70,,0.68,0.00,,0.68,0.69,,340.80M,346.70M,0.15,,AOR,Restated
2010-09,1.801B,1.801B,,1.801B,1.538B,1.538B,,,,-9.00M,,50.00M,4.00M,-46.00M,,1.538B,263.00M,4.00M,50.00M,-46.00M,-9.00M,-46.00M,208.00M,61.00M,147.00M,0.00,,-3.00M,,144.00M,150.36M,319.00M,61.00M,258.00M,,0.52,0.00,,0.5428,0.52,,0.51,0.00,,0.5325,0.51,,278.70M,282.20M,0.15,,AOR,
2010-06,1.898B,1.898B,,1.898B,1.63B,1.63B,,,,5.00M,,33.00M,4.00M,-29.00M,,1.63B,268.00M,4.00M,33.00M,-29.00M,5.00M,-29.00M,244.00M,60.00M,184.00M,-26.00M,,-5.00M,,153.00M,175.23M,337.00M,60.00M,277.00M,,0.64,-0.09,,0.6265,0.55,,0.63,-0.09,,0.6167,0.54,,278.40M,282.60M,0.15,,AOR,Restated
2010-03,1.904B,1.904B,,1.904B,1.631B,1.631B,,,,7.00M,,34.00M,1.00M,-33.00M,,1.631B,273.00M,1.00M,34.00M,-33.00M,7.00M,-33.00M,247.00M,61.00M,186.00M,0.00,,-8.00M,,178.00M,172.73M,339.00M,58.00M,281.00M,,0.65,0.00,,0.6309,0.65,,0.63,0.00,,0.6114,0.63,,275.90M,283.40M,0.15,,AOR,Restated
2009-12,2.073B,2.073B,,2.073B,1.832B,1.832B,,,,6.00M,,35.00M,6.00M,-29.00M,,1.832B,241.00M,6.00M,35.00M,-29.00M,6.00M,-29.00M,218.00M,56.00M,162.00M,56.00M,,-20.00M,,198.00M,137.54M,321.00M,68.00M,253.00M,,0.51,0.20,,0.4940,0.71,,0.50,0.19,,0.4845,0.69,,279.30M,287.80M,0.15,,AOR,Restated
2009-09,1.794B,1.794B,,1.794B,1.60B,1.60B,,,,13.00M,,32.00M,3.00M,-29.00M,,1.60B,194.00M,3.00M,32.00M,-29.00M,13.00M,-29.00M,178.00M,47.00M,131.00M,3.00M,,-14.00M,,120.00M,107.43M,266.00M,56.00M,210.00M,,0.41,0.01,,0.3763,0.42,,0.40,0.01,,0.3672,0.41,,283.80M,292.10M,0.15,,AOR,Restated
2009-06,1.882B,1.882B,,1.882B,1.662B,1.662B,,,,14.00M,,26.00M,2.00M,-24.00M,,1.662B,220.00M,2.00M,26.00M,-24.00M,14.00M,-24.00M,210.00M,57.00M,153.00M,2.00M,,-6.00M,,149.00M,136.80M,294.00M,58.00M,236.00M,,0.52,0.00,,0.4843,0.52,,0.50,0.00,,0.4652,0.51,,285.40M,292.70M,0.15,,AOR,Restated
2009-03,1.846B,1.846B,,1.846B,1.48B,1.48B,,,,-1.00M,,29.00M,7.00M,-22.00M,,1.48B,366.00M,7.00M,29.00M,-22.00M,-1.00M,-22.00M,343.00M,108.00M,235.00M,50.00M,,-5.00M,,280.00M,230.69M,432.00M,60.00M,372.00M,,0.81,0.18,,0.8124,0.99,,0.79,0.17,,0.7923,0.96,,284.30M,292.00M,0.15,,AOR,Restated
2008-12,1.821B,1.821B,,1.821B,1.827B,1.827B,,,,-38.00M,,30.00M,,64.00M,,1.67B,151.00M,,30.00M,64.00M,-38.00M,64.00M,177.00M,50.00M,127.00M,-129.00M,,-4.00M,,-6.00M,150.27M,272.00M,65.00M,207.00M,,0.44,-0.39,,0.5372,0.05,,0.43,-0.39,,0.5236,0.05,,280.50M,291.30M,0.15,,AOR,Restated
2008-09,1.846B,1.846B,,1.846B,1.55B,1.55B,,,,3.00M,,32.00M,,-32.00M,,1.599B,247.00M,,32.00M,-32.00M,3.00M,-32.00M,218.00M,59.00M,159.00M,-38.00M,,-4.00M,,117.00M,152.81M,299.00M,49.00M,250.00M,,0.55,-0.13,,0.5422,0.42,,0.53,-0.13,,0.5226,0.40,,281.70M,293.90M,0.15,,AOR,Restated
2008-06,1.956B,1.956B,,1.956B,1.643B,1.643B,,,,2.00M,,31.00M,,-31.00M,,1.701B,255.00M,,31.00M,-31.00M,2.00M,-31.00M,226.00M,57.00M,169.00M,967.00M,,-3.00M,,1.133B,164.50M,315.00M,58.00M,257.00M,,0.56,3.26,,0.5548,3.82,,0.54,3.17,,0.5351,3.71,,289.50M,305.30M,0.15,,AOR,Restated
2008-03,1.905B,1.905B,,1.905B,1.568B,1.568B,,,,4.00M,,33.00M,,-33.00M,,1.618B,287.00M,,33.00M,-33.00M,4.00M,-33.00M,258.00M,76.00M,182.00M,41.00M,,-5.00M,,218.00M,174.18M,341.00M,50.00M,291.00M,,0.57,0.13,,0.5610,0.70,,0.55,0.13,,0.5412,0.68,,311.90M,319.80M,0.15,,AOR,Restated
2007-12,1.998B,1.998B,,1.998B,1.637B,1.637B,,,,6.00M,,36.00M,,-36.00M,,1.689B,309.00M,,36.00M,-36.00M,6.00M,-36.00M,279.00M,86.00M,193.00M,14.00M,,,,207.00M,188.85M,371.00M,56.00M,315.00M,,0.64,0.04,,0.6263,0.68,,0.60,0.04,,0.5872,0.64,,304.00M,324.20M,0.15,,AOR,Restated
2007-09,1.749B,1.749B,,1.749B,1.445B,1.445B,,,,0.00,,33.00M,,-33.00M,,1.493B,256.00M,,33.00M,-33.00M,,-33.00M,223.00M,93.00M,130.00M,74.00M,,,,204.00M,130.00M,306.00M,50.00M,256.00M,,0.44,0.25,,0.44,0.69,,0.41,0.23,,0.41,0.64,,295.00M,321.50M,0.15,,AOR,Restated
2007-06,1.866B,1.866B,,1.866B,1.534B,1.534B,,,,29.00M,,34.00M,,-34.00M,,1.58B,286.00M,,34.00M,-34.00M,29.00M,-34.00M,281.00M,98.00M,183.00M,57.00M,,,,240.00M,164.11M,364.00M,49.00M,315.00M,,0.62,0.19,,0.5562,0.81,,0.57,0.18,,0.5113,0.75,,296.00M,321.90M,0.15,,AOR,Restated
2007-03,1.798B,1.798B,,,1.053B,1.053B,,,,0.00,,,,,423.00M,1.523B,275.00M,,,,,,240.00M,75.00M,165.00M,48.00M,,,,213.00M,165.00M,325.00M,50.00M,275.00M,,0.55,0.16,,0.55,0.71,,0.51,0.15,,0.51,0.66,,298.00M,324.40M,0.15,,AOR,Restated
2006-12,2.029B,340.00M,,,,,,,,,,,,,,316.00M,24.00M,,,,,,-9.00M,-18.00M,9.00M,214.00M,0.00,,,223.00M,9.00M,128.00M,107.00M,21.00M,,0.04,0.68,0.00,0.04,0.72,,0.04,0.63,0.0000,0.04,0.67,,233.00M,333.40M,0.15,,AOR,Restated
2006-09,1.589B,2.168B,,,,,,,,,,,,,1.939B,1.995B,173.00M,,,,,,139.00M,49.00M,90.00M,16.00M,0.00,,,106.00M,90.00M,229.00M,44.00M,173.00M,,0.29,0.05,0.00,0.29,0.34,,0.27,0.05,0.00,0.27,0.32,,340.10M,340.10M,0.15,,AOR,Restated
2006-06,1.651B,2.208B,,,1.59B,1.59B,,,,,,,,,262.00M,1.907B,301.00M,,,,,,267.00M,92.00M,175.00M,18.00M,0.00,,,193.00M,175.00M,356.00M,47.00M,301.00M,,0.54,0.06,0.00,0.54,0.60,,0.52,0.05,0.00,0.52,0.57,,320.00M,344.80M,0.15,,AOR,Restated
2006-03,1.612B,2.165B,,,1.097B,1.097B,,,,-255.00M,-1.868B,,,,2.36B,1.644B,521.00M,,,,-255.00M,,266.00M,93.00M,173.00M,24.00M,1.00M,,,198.00M,338.85M,576.00M,46.00M,521.00M,,0.54,0.07,0.00,1.051,0.61,,0.50,0.07,0.0029,0.9736,0.57,,324.59M,350.20M,0.15,,AOR,Restated
2005-12,1.895B,402.00M,,,2.506B,2.506B,,,,-1.00M,,,,,,462.00M,-60.00M,,,,-1.00M,,-92.00M,-40.00M,-52.00M,274.00M,0.00,,,222.00M,-51.40M,40.00M,105.00M,-65.00M,,-0.17,0.85,0.00,-0.1681,0.68,,-0.17,0.80,0.00,-0.1683,0.65,,323.85M,347.80M,0.15,,AOR,Restated
2005-09,1.527B,2.018B,,,,,,,,,,,,,1.768B,1.845B,173.00M,,,,,,144.00M,47.00M,97.00M,25.00M,0.00,,1.00M,122.00M,97.00M,250.00M,6.00M,173.00M,,0.29,0.08,0.00,0.29,0.37,,0.29,0.07,0.00,0.29,0.36,,327.03M,342.70M,0.15,,AOR,Restated
