,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2018-06,,487.00M,173.00M,660.00M,2.992B,,3.174B,120.00M,10.48B,,167.00M,14.86B,,,,,,,,,575.00M,8.291B,1.363B,9.654B,54.00M,,77.00M,596.00M,129.00M,12.36B,27.22B,,1.447B,25.00M,1.472B,1.472B,,799.00M,,799.00M,332.00M,332.00M,,11.24B,13.84B,5.659B,152.00M,5.811B,294.00M,60.00M,354.00M,,1.775B,73.00M,,281.00M,8.756B,22.60B,,2.00M,2.295B,5.772B,,,,,-3.524B,4.545B,,AOR,Restated
2018-03,,597.00M,118.00M,715.00M,3.053B,,3.177B,142.00M,10.74B,,103.00M,15.12B,,,,,,,,,578.00M,8.55B,1.662B,10.21B,58.00M,,83.00M,440.00M,154.00M,12.73B,27.85B,,1.545B,164.00M,1.709B,1.709B,,403.00M,,403.00M,329.00M,329.00M,,11.22B,13.66B,5.697B,156.00M,5.853B,243.00M,56.00M,299.00M,,1.821B,84.00M,,293.00M,8.804B,22.46B,,2.00M,2.747B,5.743B,,,,,-3.191B,5.301B,,AOR,Restated
2017-12,,756.00M,529.00M,1.285B,2.478B,,2.62B,126.00M,9.625B,,21.00M,13.68B,0.00,,1.215B,90.00M,79.00M,349.00M,1.733B,-1.169B,564.00M,8.358B,1.733B,10.09B,57.00M,,84.00M,389.00M,166.00M,12.41B,26.09B,,1.961B,139.00M,2.10B,2.10B,,299.00M,,299.00M,311.00M,311.00M,,10.04B,12.76B,5.667B,153.00M,5.82B,127.00M,49.00M,176.00M,,1.856B,65.00M,,304.00M,8.685B,21.44B,,2.00M,2.302B,5.775B,,,,,-3.496B,4.583B,,AOR,Restated
2017-09,,749.00M,1.64B,2.389B,2.068B,,2.40B,158.00M,9.292B,,28.00M,14.27B,,,,,,,,,545.00M,7.888B,1.341B,9.229B,44.00M,,88.00M,565.00M,166.00M,11.66B,25.92B,,1.588B,537.00M,2.125B,2.125B,,305.00M,,305.00M,331.00M,331.00M,,9.713B,12.47B,5.662B,145.00M,5.807B,83.00M,45.00M,128.00M,,1.673B,72.00M,,262.00M,8.203B,20.68B,,3.00M,2.914B,5.67B,,,,,-3.412B,5.175B,,AOR,Restated
2017-06,,684.00M,2.746B,3.43B,2.191B,,2.421B,143.00M,9.582B,,26.00M,15.60B,,,,,,,,,556.00M,7.745B,1.402B,9.147B,122.00M,,88.00M,575.00M,158.00M,11.59B,27.19B,,1.423B,1.254B,2.677B,2.677B,,292.00M,,292.00M,377.00M,377.00M,,10.03B,13.38B,5.631B,140.00M,5.771B,84.00M,46.00M,130.00M,,1.747B,66.00M,,287.00M,8.261B,21.64B,,3.00M,3.574B,5.587B,,,,,-3.677B,5.487B,,AOR,Restated
2017-03,,433.00M,200.00M,633.00M,2.103B,,2.25B,125.00M,9.162B,,37.00M,15.39B,,,,,,,,,536.00M,7.544B,1.886B,9.43B,121.00M,,80.00M,351.00M,178.00M,11.59B,26.98B,,1.332B,57.00M,1.389B,1.389B,,667.00M,,667.00M,338.00M,338.00M,,10.58B,12.97B,5.61B,135.00M,5.745B,112.00M,49.00M,161.00M,,1.792B,72.00M,,171.00M,8.186B,21.16B,,3.00M,3.934B,5.567B,,,,,-3.75B,5.754B,,AOR,Restated
2016-12,,426.00M,290.00M,716.00M,2.106B,,2.206B,102.00M,8.959B,,45.00M,13.15B,0.00,,1.187B,115.00M,75.00M,369.00M,1.746B,-1.196B,550.00M,7.41B,1.89B,9.30B,119.00M,,82.00M,325.00M,2.235B,13.47B,26.62B,,1.604B,77.00M,1.681B,1.681B,,336.00M,,336.00M,199.00M,199.00M,,10.28B,12.50B,5.869B,136.00M,6.005B,101.00M,49.00M,150.00M,,1.816B,57.00M,,190.00M,8.588B,21.08B,,3.00M,3.807B,5.577B,,,,,-3.912B,5.475B,,AOR,Restated
2016-09,,483.00M,463.00M,946.00M,2.391B,,2.56B,150.00M,8.71B,,13.00M,12.47B,,,,,,,,,738.00M,8.452B,2.038B,10.49B,124.00M,,73.00M,466.00M,179.00M,12.78B,25.25B,,1.477B,74.00M,1.551B,1.551B,,250.00M,,250.00M,413.00M,413.00M,,9.152B,11.37B,5.91B,169.00M,6.079B,36.00M,152.00M,188.00M,,1.743B,60.00M,,114.00M,8.392B,19.76B,,3.00M,3.702B,5.522B,,,,,-3.793B,5.434B,,AOR,Restated
2016-06,,438.00M,251.00M,689.00M,2.516B,,2.662B,152.00M,10.20B,,3.00M,13.80B,,,,,,,,,751.00M,8.473B,2.107B,10.58B,127.00M,,81.00M,465.00M,168.00M,12.89B,26.69B,,1.373B,67.00M,1.44B,1.44B,,251.00M,,251.00M,433.00M,433.00M,,10.57B,12.70B,5.907B,172.00M,6.079B,39.00M,151.00M,190.00M,,1.781B,62.00M,,125.00M,8.435B,21.13B,,3.00M,3.784B,5.434B,,,,,-3.722B,5.499B,,AOR,Restated
2016-03,,465.00M,587.00M,1.052B,2.591B,,2.713B,168.00M,9.776B,232.00M,8.00M,14.04B,,,,,,,,,766.00M,8.411B,2.108B,10.52B,131.00M,,81.00M,376.00M,162.00M,12.77B,26.81B,,1.42B,61.00M,1.481B,1.481B,,695.00M,,695.00M,438.00M,439.00M,1.00M,10.18B,12.79B,5.902B,168.00M,6.07B,177.00M,165.00M,342.00M,,1.812B,66.00M,,198.00M,8.673B,21.47B,,3.00M,3.60B,5.388B,,,,,-3.71B,5.281B,,AOR,Restated
2015-12,,384.00M,356.00M,740.00M,2.564B,,2.658B,130.00M,9.932B,,13.00M,13.56B,0.00,,1.768B,115.00M,76.00M,422.00M,2.381B,-1.616B,765.00M,8.448B,2.18B,10.63B,135.00M,,82.00M,510.00M,165.00M,13.32B,26.88B,,1.772B,94.00M,1.866B,1.866B,,562.00M,,562.00M,394.00M,394.00M,,10.26B,13.08B,5.138B,166.00M,5.304B,37.00M,159.00M,196.00M,,1.854B,57.00M,,162.00M,7.739B,20.82B,,3.00M,4.013B,5.409B,,,,,-3.423B,6.002B,,AOR,Restated
2015-09,,398.00M,385.00M,783.00M,2.453B,,2.697B,161.00M,9.956B,208.00M,14.00M,13.92B,,,,,,,,,785.00M,8.571B,2.257B,10.83B,136.00M,,70.00M,345.00M,199.00M,13.29B,27.21B,,1.447B,8.00M,1.455B,1.455B,,1.327B,,1.327B,400.00M,402.00M,2.00M,10.36B,13.54B,4.799B,154.00M,4.953B,317.00M,169.00M,486.00M,,1.887B,59.00M,,182.00M,7.723B,21.26B,,3.00M,4.015B,5.318B,,,,,-3.453B,5.883B,,AOR,Restated
2015-06,,367.00M,484.00M,851.00M,2.684B,,2.904B,175.00M,11.39B,204.00M,26.00M,15.66B,,,,,,,,,782.00M,8.661B,2.35B,11.01B,142.00M,,63.00M,396.00M,201.00M,13.55B,29.20B,,1.368B,24.00M,1.392B,1.392B,,1.237B,,1.237B,425.00M,427.00M,2.00M,11.78B,14.84B,4.824B,167.00M,4.991B,322.00M,187.00M,509.00M,,1.998B,58.00M,,202.00M,7.908B,22.75B,,3.00M,4.405B,5.226B,,,,,-3.236B,6.398B,,AOR,Restated
2015-03,,378.00M,343.00M,721.00M,2.672B,,2.89B,158.00M,10.89B,206.00M,22.00M,15.00B,,,,,,,,,754.00M,8.548B,2.41B,10.96B,143.00M,,57.00M,383.00M,198.00M,13.39B,28.39B,,1.391B,89.00M,1.48B,1.48B,,966.00M,,966.00M,410.00M,412.00M,2.00M,11.26B,14.12B,4.71B,172.00M,4.882B,307.00M,186.00M,493.00M,,2.056B,66.00M,,210.00M,7.842B,21.96B,,3.00M,4.612B,5.177B,,,,,-3.427B,6.365B,,AOR,Restated
2014-12,,374.00M,394.00M,768.00M,2.815B,,2.914B,164.00M,11.64B,212.00M,25.00M,15.82B,0.00,,1.68B,124.00M,94.00M,413.00M,2.311B,-1.546B,765.00M,8.86B,2.52B,11.38B,143.00M,,101.00M,394.00M,233.00M,13.95B,29.77B,,1.805B,64.00M,1.869B,1.869B,,783.00M,,783.00M,408.00M,410.00M,2.00M,11.95B,15.01B,4.799B,184.00M,4.983B,313.00M,167.00M,480.00M,,2.198B,60.00M,,256.00M,8.127B,23.14B,,3.00M,4.605B,5.097B,,,,,-3.134B,6.571B,,AOR,Restated
2014-09,,382.00M,217.00M,599.00M,2.63B,,2.888B,238.00M,10.82B,81.00M,32.00M,14.76B,,,,,,,,,760.00M,9.026B,2.612B,11.64B,143.00M,,98.00M,432.00M,251.00M,14.07B,28.83B,,1.528B,96.00M,1.624B,1.624B,,660.00M,,660.00M,440.00M,476.00M,36.00M,11.10B,13.86B,4.84B,191.00M,5.031B,535.00M,170.00M,705.00M,,1.493B,57.00M,,268.00M,7.699B,21.56B,,3.00M,4.718B,5.012B,,,,,-2.518B,7.215B,,AOR,Restated
2014-06,,418.00M,308.00M,726.00M,2.803B,,3.016B,960.00M,12.79B,81.00M,43.00M,17.71B,,,,,,,,,787.00M,9.099B,2.468B,11.57B,138.00M,,99.00M,450.00M,278.00M,14.06B,31.78B,,1.498B,115.00M,1.613B,1.613B,,799.00M,,799.00M,482.00M,535.00M,53.00M,13.09B,16.04B,5.155B,191.00M,5.346B,392.00M,159.00M,551.00M,,1.593B,59.00M,,293.00M,7.977B,24.02B,,3.00M,4.982B,4.933B,,,,,-2.218B,7.70B,,AOR,Restated
2014-03,,338.00M,340.00M,678.00M,2.88B,,3.01B,219.00M,12.04B,81.00M,45.00M,16.17B,,,,,,,,,785.00M,9.03B,2.50B,11.53B,143.00M,,100.00M,439.00M,248.00M,13.90B,30.08B,,1.499B,140.00M,1.639B,1.639B,,1.077B,,1.077B,513.00M,566.00M,53.00M,12.30B,15.58B,3.669B,201.00M,3.87B,365.00M,128.00M,493.00M,,1.632B,60.00M,,301.00M,6.49B,22.07B,,3.00M,5.403B,4.86B,,,,,-2.32B,7.946B,,AOR,Restated
2013-12,,477.00M,523.00M,1.00B,2.896B,,3.10B,229.00M,11.87B,,32.00M,16.33B,0.00,,1.661B,124.00M,70.00M,434.00M,2.289B,-1.498B,791.00M,8.997B,2.578B,11.58B,132.00M,,108.00M,466.00M,282.00M,13.92B,30.25B,,1.931B,184.00M,2.115B,2.115B,,703.00M,,703.00M,475.00M,475.00M,,12.12B,15.41B,3.686B,204.00M,3.89B,420.00M,134.00M,554.00M,,1.712B,50.00M,,305.00M,6.645B,22.06B,,3.00M,5.731B,4.785B,,,,,-2.374B,8.145B,,AOR,Restated
2013-09,,369.00M,357.00M,726.00M,2.666B,,2.666B,,11.70B,,484.00M,15.57B,,,,,,,,,803.00M,8.958B,2.657B,11.62B,139.00M,,,,1.174B,13.73B,29.30B,,1.523B,,1.523B,1.523B,,1.206B,,1.206B,,,,12.46B,15.19B,3.352B,,3.352B,,,,,1.773B,56.00M,,1.399B,6.524B,21.72B,,3.00M,5.507B,4.66B,,,,,-2.636B,7.534B,,AOR,Restated
2013-06,,266.00M,307.00M,573.00M,2.838B,,2.838B,,12.58B,,406.00M,16.39B,,,,,,,,,808.00M,8.795B,2.736B,11.53B,172.00M,,,,1.158B,13.67B,30.06B,,1.423B,,1.423B,1.423B,,427.00M,,427.00M,,,,13.34B,15.20B,4.012B,,4.012B,,,,,1.897B,59.00M,,1.34B,7.249B,22.44B,,3.00M,5.805B,4.56B,,,,,-2.809B,7.559B,,AOR,Restated
2013-03,,408.00M,352.00M,760.00M,2.884B,,2.884B,,12.22B,,389.00M,16.26B,,,,,,,,,816.00M,8.786B,2.844B,11.63B,152.00M,,,,1.174B,13.77B,30.03B,,1.44B,,1.44B,1.44B,,802.00M,,802.00M,,,,13.02B,15.26B,3.77B,,3.77B,,,,,2.027B,54.00M,,1.338B,7.135B,22.40B,,3.00M,5.844B,4.507B,,,,,-2.775B,7.579B,,AOR,Restated
2012-12,,291.00M,346.00M,637.00M,3.101B,,3.17B,231.00M,12.21B,,35.00M,16.38B,0.00,,1.53B,124.00M,109.00M,426.00M,2.189B,-1.369B,820.00M,8.943B,2.975B,11.92B,165.00M,,84.00M,545.00M,232.00M,14.10B,30.49B,,1.853B,155.00M,2.008B,2.008B,,452.00M,,452.00M,435.00M,435.00M,,12.46B,15.35B,3.713B,215.00M,3.928B,306.00M,150.00M,456.00M,,2.492B,43.00M,,277.00M,7.331B,22.68B,,3.00M,5.933B,4.436B,,,,,-2.61B,7.762B,,AOR,Restated
2012-09,,290.00M,718.00M,1.008B,,,2.959B,,,,11.74B,15.70B,,,,,,,,,814.00M,8.856B,3.04B,11.90B,160.00M,,,,937.00M,13.81B,29.51B,,,,,1.519B,,291.00M,,291.00M,,,,12.14B,13.95B,4.111B,,4.111B,,,,,1.757B,56.00M,,1.326B,7.194B,21.15B,,3.00M,6.179B,4.373B,0.00,,,,-2.25B,8.305B,,AOR,Restated
2012-06,,286.00M,516.00M,802.00M,,,3.075B,,,,13.18B,17.06B,,,,,,,,,797.00M,8.713B,3.106B,11.82B,200.00M,,,,935.00M,13.75B,30.81B,,,,,1.339B,,392.00M,,392.00M,,,,13.47B,15.20B,4.098B,,4.098B,,,,,1.967B,58.00M,,1.332B,7.397B,22.60B,,3.00M,6.302B,4.279B,0.00,,,,-2.432B,8.152B,,AOR,Restated
2012-03,,323.00M,510.00M,833.00M,,,3.164B,,,,12.21B,16.21B,,,,,,,,,808.00M,8.896B,3.203B,12.10B,211.00M,,,,946.00M,14.06B,30.27B,,,,,1.432B,,286.00M,,286.00M,,,,12.53B,14.25B,4.168B,,4.168B,,,,,2.072B,58.00M,,1.363B,7.603B,21.86B,,386.00M,8.77B,3.913B,2.472B,,,,-2.239B,8.358B,,AOR,Restated
2011-12,,272.00M,785.00M,1.057B,3.183B,,3.183B,,10.84B,,427.00M,15.50B,0.00,108.00M,1.369B,,87.00M,407.00M,1.971B,-1.188B,783.00M,8.77B,3.276B,12.05B,239.00M,,,258.00M,721.00M,14.05B,29.55B,,1.832B,,1.832B,1.832B,,337.00M,,337.00M,,,,11.59B,13.76B,4.155B,,4.155B,301.00M,,301.00M,,2.192B,42.00M,,1.024B,7.672B,21.43B,,386.00M,8.594B,4.021B,2.553B,,,,-2.37B,8.078B,,AOR,Restated
2011-09,,295.00M,607.00M,902.00M,,,2.745B,,,,10.85B,14.50B,,,,,,,,,773.00M,8.835B,3.361B,12.20B,254.00M,,,,1.022B,14.24B,28.74B,,,,,1.611B,,163.00M,,163.00M,,,,10.99B,12.76B,4.415B,,4.415B,,,,,1.543B,46.00M,,1.743B,7.701B,20.47B,,386.00M,8.377B,3.975B,2.605B,,,,-1.90B,8.233B,,AOR,Restated
2011-06,,300.00M,515.00M,815.00M,,,2.785B,,,,12.33B,15.93B,,,,,,,,,798.00M,8.975B,3.484B,12.46B,249.00M,,,,1.059B,14.56B,30.50B,,,,,1.557B,,52.00M,,52.00M,,,,12.38B,13.99B,4.479B,,4.479B,,,,,1.773B,67.00M,,1.792B,8.044B,22.03B,,386.00M,8.233B,3.946B,2.469B,,,,-1.698B,8.398B,,AOR,Restated
2011-03,,682.00M,589.00M,1.271B,,,2.65B,,,,11.29B,15.21B,,,,,,,,,791.00M,8.895B,3.547B,12.44B,318.00M,,,,1.04B,14.59B,29.80B,,,,,1.544B,,502.00M,,502.00M,,,,11.21B,13.26B,4.409B,,4.409B,,,,,1.849B,64.00M,,1.798B,8.056B,21.32B,,386.00M,8.039B,3.942B,2.23B,,,,-1.714B,8.423B,,AOR,Restated
2010-12,,346.00M,785.00M,1.131B,,,2.701B,,,,10.69B,14.52B,0.00,108.00M,1.288B,,45.00M,436.00M,1.877B,-1.096B,781.00M,8.647B,3.611B,12.26B,312.00M,,,305.00M,807.00M,14.46B,28.98B,,,,,1.81B,,492.00M,,492.00M,,,,10.65B,12.95B,4.014B,,4.014B,663.00M,,663.00M,,1.896B,55.00M,,1.154B,7.727B,20.68B,,386.00M,7.861B,4.00B,2.079B,,,,-1.917B,8.251B,,AOR,Restated
2010-06,,260.00M,474.00M,734.00M,,,1.994B,,,,12.77B,15.50B,,,,,,,,,450.00M,5.71B,753.00M,6.463B,301.00M,,,,1.245B,8.459B,23.96B,,1.192B,,1.192B,1.192B,,370.00M,,370.00M,,,,12.58B,14.14B,1.601B,,1.601B,,,,,1.716B,50.00M,,1.023B,4.34B,18.48B,,363.00M,7.605B,3.134B,3.713B,,,,-1.961B,5.428B,,AOR,Restated
2010-03,,422.00M,312.00M,734.00M,,,1.983B,,,,11.55B,14.27B,,,,,,,,,452.00M,5.887B,770.00M,6.657B,308.00M,,,,1.274B,8.691B,22.96B,,1.269B,,1.269B,1.269B,,84.00M,,84.00M,,,,11.42B,12.78B,2.013B,,2.013B,,,,,1.77B,55.00M,,943.00M,4.726B,17.50B,,363.00M,7.50B,3.135B,3.725B,,,,-1.871B,5.402B,,AOR,Restated
2009-12,,217.00M,422.00M,639.00M,,,2.052B,,,,11.30B,13.99B,0.00,78.00M,1.037B,,8.00M,366.00M,1.489B,-1.028B,461.00M,6.078B,791.00M,6.869B,319.00M,,,881.00M,439.00M,8.969B,22.96B,,,,,1.535B,,10.00M,,10.00M,,,,11.10B,12.64B,1.998B,,1.998B,129.00M,,129.00M,,1.889B,52.00M,,871.00M,4.887B,17.53B,,363.00M,7.335B,3.215B,3.859B,,,,-1.675B,5.379B,,AOR,Restated
2009-09,,580.00M,602.00M,1.182B,,,1.844B,,,,9.90B,12.93B,,,,,,,,,453.00M,5.957B,763.00M,6.72B,297.00M,,,,1.245B,8.715B,21.64B,,1.377B,,1.377B,1.377B,,12.00M,,12.00M,,,,9.828B,11.22B,1.998B,,1.998B,,,,,1.245B,140.00M,,1.051B,4.294B,15.51B,,363.00M,7.189B,3.166B,3.556B,,,,-1.172B,5.99B,,AOR,Restated
2009-06,,537.00M,769.00M,1.306B,,,1.937B,,,,12.64B,15.88B,,,,,,,,,447.00M,5.883B,776.00M,6.659B,296.00M,,,,1.155B,8.557B,24.44B,,1.392B,,1.392B,1.392B,,681.00M,,681.00M,,,,12.79B,14.86B,1.249B,,1.249B,,,,,1.303B,142.00M,,1.019B,3.571B,18.43B,,363.00M,7.132B,3.16B,3.535B,,,,-1.254B,5.866B,,AOR,Restated
2009-03,,501.00M,1.067B,1.568B,,,1.795B,,,,11.55B,14.91B,,,,,,,,,430.00M,5.546B,738.00M,6.284B,313.00M,,,,1.172B,8.199B,23.11B,,1.336B,,1.336B,1.336B,,104.00M,,104.00M,,,,11.67B,13.11B,1.848B,,1.848B,,,,,1.446B,109.00M,,1.041B,4.335B,17.45B,,363.00M,7.034B,3.129B,3.456B,,,,-1.517B,5.553B,,AOR,Restated
2008-12,,582.00M,921.00M,1.503B,,,1.99B,,,,11.03B,14.53B,0.00,76.00M,1.00B,,4.00M,358.00M,1.438B,-987.00M,451.00M,5.637B,779.00M,6.416B,332.00M,,,795.00M,420.00M,8.414B,22.94B,,,,,1.56B,,105.00M,,105.00M,,,,11.14B,12.80B,1.872B,,1.872B,118.00M,,118.00M,,1.694B,105.00M,,1.038B,4.722B,17.52B,,362.00M,6.816B,3.22B,3.626B,,,,-1.462B,5.31B,,AOR,Restated
