,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2018-03,761.00M,761.00M,347.00M,414.00M,2.00M,70.00M,,,-84.00M,,199.00M,215.00M,,,-84.00M,9.00M,-84.00M,140.00M,34.00M,106.00M,,,,106.00M,104.49M,344.00M,129.00M,215.00M,,0.60,,0.5915,0.60,,0.59,,0.5815,0.59,,178.00M,179.00M,0.415,,AOR,Restated
2017-12,821.00M,821.00M,366.00M,455.00M,6.00M,67.00M,,,-83.00M,,181.00M,274.00M,,,-83.00M,10.00M,-83.00M,201.00M,202.00M,-1.00M,,0.00,,-1.00M,-4.60M,388.00M,114.00M,274.00M,,-0.0056,,-0.0258,-0.0056,,-0.01,,-0.0301,-0.01,,178.00M,179.00M,0.415,,AOR,Restated
2017-09,936.00M,936.00M,322.00M,614.00M,1.00M,61.00M,,,-89.00M,,189.00M,425.00M,,,-89.00M,4.00M,-89.00M,340.00M,137.00M,203.00M,,0.00,,203.00M,202.40M,553.00M,128.00M,425.00M,,1.14,,1.137,1.14,,1.13,,1.127,1.13,,178.00M,179.00M,0.415,,AOR,Restated
2017-06,844.00M,844.00M,347.00M,497.00M,2.00M,63.00M,,,-85.00M,,189.00M,308.00M,,,-85.00M,3.00M,-85.00M,226.00M,95.00M,131.00M,,,,131.00M,129.80M,434.00M,126.00M,308.00M,,0.74,,0.7333,0.74,,0.73,,0.7233,0.73,,178.00M,179.00M,0.415,,AOR,Restated
2017-03,756.00M,756.00M,334.00M,422.00M,0.00,68.00M,,,-85.00M,,192.00M,230.00M,,,-85.00M,0.00,-85.00M,145.00M,52.00M,93.00M,,,,93.00M,93.00M,354.00M,124.00M,230.00M,,0.52,,0.52,0.52,,0.52,,0.52,0.52,,178.00M,179.00M,0.375,,AOR,Restated
2016-12,802.00M,802.00M,368.00M,434.00M,2.00M,63.00M,,,-83.00M,,183.00M,251.00M,,,-83.00M,-2.00M,-83.00M,166.00M,65.00M,101.00M,,,,101.00M,99.78M,371.00M,120.00M,251.00M,,0.57,,0.5632,0.57,,0.57,,0.5632,0.57,,178.00M,179.00M,0.375,,AOR,Restated
2016-09,930.00M,930.00M,432.00M,498.00M,5.00M,65.00M,,,-81.00M,,184.00M,314.00M,,,-81.00M,10.00M,-81.00M,243.00M,95.00M,148.00M,,,,148.00M,144.96M,433.00M,119.00M,314.00M,,0.83,,0.8129,0.83,,0.83,,0.8129,0.83,,178.00M,178.00M,0.375,,AOR,Restated
2016-06,827.00M,827.00M,351.00M,476.00M,2.00M,64.00M,,,-81.00M,,179.00M,297.00M,,,-81.00M,9.00M,-81.00M,225.00M,88.00M,137.00M,,,,137.00M,135.78M,412.00M,115.00M,297.00M,,0.77,,0.7632,0.77,,0.77,,0.7632,0.77,,178.00M,178.00M,0.375,,AOR,Restated
2016-03,743.00M,743.00M,348.00M,395.00M,1.00M,66.00M,,,-80.00M,,182.00M,213.00M,,,-80.00M,3.00M,-80.00M,136.00M,54.00M,82.00M,,,,82.00M,81.40M,329.00M,116.00M,213.00M,,0.46,,0.4566,0.46,,0.46,,0.4566,0.46,,178.00M,179.00M,0.34,,AOR,Restated
2015-12,783.00M,783.00M,380.00M,403.00M,1.00M,59.00M,,,-80.00M,,172.00M,231.00M,,,-80.00M,7.00M,-80.00M,158.00M,59.00M,99.00M,,,,99.00M,98.37M,344.00M,113.00M,231.00M,,0.55,0.00,0.5465,0.55,,0.55,0.00,0.5465,0.55,,179.00M,180.00M,0.34,,AOR,Restated
2015-09,896.00M,896.00M,364.00M,532.00M,0.00,60.00M,,,-77.00M,,171.00M,361.00M,,,-77.00M,3.00M,-77.00M,287.00M,113.00M,174.00M,,,,174.00M,174.00M,472.00M,111.00M,361.00M,,0.97,,0.97,0.97,,0.96,,0.96,0.96,,179.00M,180.00M,0.34,,AOR,Restated
2015-06,782.00M,782.00M,336.00M,446.00M,1.00M,60.00M,,,-76.00M,,169.00M,277.00M,,,-76.00M,3.00M,-76.00M,204.00M,81.00M,123.00M,,,,123.00M,122.40M,386.00M,109.00M,277.00M,,0.69,,0.6866,0.69,,0.68,,0.6766,0.68,,180.00M,180.00M,0.34,,AOR,Restated
2015-03,698.00M,698.00M,324.00M,374.00M,1.00M,64.00M,,,-75.00M,,171.00M,203.00M,,,-75.00M,5.00M,-75.00M,133.00M,53.00M,80.00M,,,,80.00M,79.40M,310.00M,107.00M,203.00M,,0.45,,0.4466,0.45,,0.44,,0.4367,0.44,,179.00M,180.00M,0.31,,AOR,Restated
2014-12,731.05M,731.05M,345.62M,385.43M,-10.00M,57.72M,,,-71.36M,,163.33M,222.10M,,,-71.36M,-1.413M,-71.36M,149.33M,55.23M,94.10M,-0.712M,,,93.39M,100.41M,327.70M,104.95M,222.10M,,0.52,0.00,0.5551,0.52,,0.52,0.00,0.5549,0.52,,179.60M,180.83M,0.31,,AOR,Restated
2014-09,846.17M,846.17M,341.35M,504.82M,4.435M,60.81M,,,-77.11M,,167.60M,337.22M,,,-77.11M,3.702M,-77.11M,263.81M,107.20M,156.61M,-4.423M,,,152.18M,153.73M,444.34M,107.11M,337.22M,,0.87,-0.02,0.8539,0.85,,0.87,-0.02,0.8540,0.85,,178.99M,179.95M,0.31,,AOR,Restated
2014-06,754.78M,754.78M,337.85M,416.93M,3.674M,56.80M,,,-75.30M,,162.49M,254.44M,,,-75.30M,3.358M,-75.30M,182.50M,72.33M,110.17M,-0.875M,,,109.30M,107.95M,360.30M,105.86M,254.44M,,0.62,-0.01,0.6076,0.61,,0.61,-0.01,0.5977,0.61,,178.86M,179.69M,0.31,,AOR,Restated
2014-03,679.00M,679.00M,325.18M,353.82M,3.894M,60.67M,,,-75.23M,,166.59M,187.23M,,,-75.23M,2.353M,-75.23M,114.35M,45.24M,69.11M,-0.99M,,,68.12M,66.76M,293.31M,106.08M,187.23M,,0.39,-0.01,0.3768,0.38,,0.39,-0.01,0.3769,0.38,,178.54M,179.46M,0.28,,AOR,Restated
2013-12,706.31M,706.31M,326.15M,380.16M,-56.47M,58.21M,,,-70.01M,,162.21M,217.95M,,,-70.01M,-45.99M,-70.01M,101.95M,40.68M,61.28M,-1.848M,,,59.43M,95.22M,305.08M,104.00M,201.08M,,0.33,0.00,0.5196,0.33,,0.33,0.00,0.5193,0.33,,178.99M,179.28M,0.28,,AOR,Restated
2013-09,822.19M,822.19M,337.67M,484.52M,3.711M,58.09M,80.32M,2.935M,-78.91M,,160.58M,323.93M,2.935M,80.32M,-78.91M,3.262M,-78.91M,248.28M,98.37M,149.91M,0.756M,,,150.66M,147.67M,431.10M,101.99M,328.61M,,0.84,0.01,0.8274,0.85,,0.84,0.00,0.8275,0.84,,177.96M,179.15M,0.28,,AOR,Restated
2013-06,724.26M,724.26M,323.32M,400.94M,5.583M,57.81M,80.60M,2.845M,-79.38M,,159.17M,241.77M,2.845M,80.60M,-79.38M,5.327M,-79.38M,167.72M,66.46M,101.26M,,,,101.26M,97.89M,349.69M,101.37M,248.32M,,0.57,,0.5510,0.57,,0.57,,0.5512,0.57,,177.72M,178.91M,0.28,,AOR,Restated
2013-03,636.14M,636.14M,312.20M,323.93M,5.143M,60.15M,80.95M,2.835M,-79.70M,,159.80M,164.14M,2.835M,80.95M,-79.70M,4.367M,-79.70M,88.81M,31.17M,57.64M,,,,57.64M,54.31M,269.41M,99.65M,169.76M,,0.32,,0.3012,0.32,,0.32,,0.3013,0.32,,177.33M,178.46M,0.25,,AOR,Restated
2012-12,657.95M,657.95M,336.79M,321.16M,4.429M,55.49M,78.98M,4.182M,-76.20M,,155.24M,165.91M,4.182M,78.98M,-76.20M,3.745M,-76.20M,93.46M,39.88M,53.58M,1.902M,,,55.48M,50.70M,273.28M,100.85M,172.43M,,0.31,0.01,0.2937,0.31,,0.30,0.01,0.2838,0.31,,176.91M,178.23M,0.25,,AOR,Restated
2012-09,831.82M,831.82M,355.13M,476.69M,5.314M,52.86M,79.45M,2.837M,-77.94M,,149.08M,327.61M,2.837M,79.45M,-77.94M,5.353M,-77.94M,255.02M,100.91M,154.11M,-0.299M,,,153.81M,150.90M,430.70M,96.22M,334.48M,,0.87,0.00,0.8518,0.87,,0.87,-0.01,0.8520,0.86,,176.62M,177.84M,0.25,,AOR,Restated
2012-06,745.61M,745.61M,327.58M,418.03M,7.602M,55.28M,82.55M,2.821M,-81.09M,,147.61M,270.42M,2.821M,82.55M,-81.09M,7.937M,-81.09M,197.26M,80.60M,116.66M,-9.637M,,,107.03M,111.72M,372.14M,92.33M,279.82M,,0.66,-0.05,0.6320,0.61,,0.66,-0.05,0.6322,0.60,,176.33M,177.49M,0.23,,AOR,Restated
2012-03,618.55M,618.55M,310.00M,308.55M,6.856M,57.12M,82.47M,2.812M,-80.92M,,149.22M,159.32M,2.812M,82.47M,-80.92M,6.24M,-80.92M,84.64M,35.39M,49.25M,-7.498M,,,41.75M,44.80M,259.22M,92.10M,167.11M,,0.28,-0.04,0.2547,0.24,,0.28,-0.04,0.2548,0.24,,175.91M,177.03M,0.23,,AOR,Restated
2011-12,639.78M,639.78M,1.302B,-662.02M,9.922M,49.60M,82.09M,2.898M,-84.25M,,-839.44M,177.43M,2.898M,82.09M,-84.25M,8.882M,-84.25M,102.06M,41.14M,60.92M,3.93M,,,64.85M,54.96M,273.43M,89.28M,184.15M,,0.35,0.03,0.3161,0.37,,0.35,0.03,0.3163,0.36,,175.66M,176.86M,0.23,,AOR,Restated
2011-09,760.87M,760.87M,,760.87M,5.678M,52.43M,81.20M,2.641M,-78.56M,,481.10M,279.77M,2.641M,81.20M,-78.56M,5.678M,-78.56M,206.89M,78.40M,128.50M,8.927M,,,137.42M,124.97M,376.42M,88.32M,288.09M,,0.73,0.05,0.7099,0.78,,0.73,0.05,0.7100,0.78,,175.55M,176.59M,0.23,,AOR,Restated
2011-06,668.87M,668.87M,,668.87M,3.13M,52.95M,81.22M,2.754M,-78.47M,,467.45M,201.42M,2.754M,81.22M,-78.47M,3.13M,-78.47M,126.08M,51.27M,74.82M,6.293M,,,81.11M,72.78M,294.65M,87.34M,207.31M,,0.43,0.04,0.4184,0.46,,0.42,0.04,0.4085,0.46,,175.47M,176.42M,0.22,,AOR,Restated
2011-03,596.72M,596.72M,,596.72M,1.317M,55.50M,78.84M,2.649M,-76.19M,,453.20M,143.52M,2.649M,78.84M,-76.19M,1.317M,-76.19M,68.64M,27.94M,40.70M,-14.47M,,,26.23M,39.84M,234.36M,86.88M,147.48M,,0.23,-0.08,0.2251,0.15,,0.23,-0.08,0.2251,0.15,,175.26M,176.05M,0.22,,AOR,Restated
2010-12,613.15M,613.15M,1.291B,-677.79M,4.672M,49.82M,85.18M,2.872M,-86.82M,,-827.45M,149.66M,2.872M,85.18M,-86.82M,9.386M,-86.82M,72.22M,33.71M,38.51M,1.643M,,,40.15M,35.47M,240.91M,83.50M,157.40M,,0.22,0.01,0.2026,0.23,,0.22,0.01,0.2027,0.23,,174.98M,175.74M,0.22,,AOR,Restated
2010-09,748.95M,748.95M,,748.95M,2.948M,52.03M,77.10M,2.531M,-74.57M,,482.21M,266.74M,2.531M,77.10M,-74.57M,2.948M,-74.57M,195.12M,75.76M,119.36M,4.757M,,,124.11M,117.55M,356.22M,84.00M,272.22M,,0.68,0.03,0.6697,0.71,,0.68,0.03,0.6697,0.71,,174.86M,175.06M,0.22,,AOR,Restated
2010-06,634.91M,634.91M,,634.91M,4.725M,50.89M,81.06M,2.613M,-78.44M,,446.60M,188.31M,2.613M,81.06M,-78.44M,4.725M,-78.44M,114.59M,46.57M,68.02M,4.73M,,,72.75M,64.95M,277.34M,80.70M,195.65M,,0.39,0.03,0.3724,0.42,,0.39,0.03,0.3724,0.42,,174.77M,174.85M,0.21,,AOR,Restated
2010-03,566.76M,566.76M,,566.76M,2.467M,54.49M,81.00M,2.305M,-78.70M,,442.18M,124.58M,2.305M,81.00M,-78.70M,2.467M,-78.70M,48.35M,18.67M,29.68M,1.128M,,,30.81M,28.17M,211.41M,82.06M,129.35M,,0.17,0.01,0.1613,0.18,,0.17,0.01,0.1613,0.18,,174.72M,174.80M,0.21,,AOR,Restated
2009-12,598.60M,598.60M,,598.60M,2.289M,44.45M,76.75M,,-76.75M,,461.22M,137.38M,,76.75M,-76.75M,2.289M,-76.75M,62.92M,26.54M,36.37M,,,,36.37M,34.88M,257.91M,118.24M,139.67M,,0.23,0.00,0.2215,0.23,,0.23,0.00,0.2215,0.23,,174.68M,174.68M,0.21,,AOR,Restated
2009-09,679.96M,679.96M,,679.96M,1.519M,50.62M,74.12M,,-74.12M,-0.784M,465.55M,214.41M,,74.12M,-74.12M,1.519M,-74.12M,141.80M,50.16M,91.64M,,,,91.64M,90.65M,290.78M,74.85M,215.92M,,0.52,0.00,0.5144,0.52,,0.52,0.00,0.5144,0.52,,174.60M,174.69M,0.21,,AOR,Restated
2009-06,612.74M,612.74M,,612.74M,2.622M,51.70M,76.10M,2.413M,-73.69M,0.01M,455.55M,157.19M,2.413M,76.10M,-73.69M,2.622M,-73.69M,86.13M,34.14M,51.99M,,,,51.99M,50.41M,235.47M,63.23M,162.23M,,0.32,0.00,0.3103,0.32,,0.32,0.00,0.3103,0.32,,163.23M,163.30M,0.20,,AOR,Restated
2009-03,550.17M,550.17M,,550.17M,-445.16M,52.50M,74.53M,2.549M,-71.98M,-0.202M,435.54M,114.63M,2.549M,74.53M,-71.98M,-445.16M,-71.98M,-402.51M,10.57M,-413.08M,,,,-413.08M,-123.73M,-249.13M,78.85M,-327.98M,,-2.58,0.00,-0.7717,-2.58,,-2.58,0.00,-0.7717,-2.58,,160.01M,160.01M,0.20,,AOR,Restated
2008-12,568.55M,568.55M,,,-726.14M,48.06M,,,,-750.37M,-310.91M,879.46M,,,,-726.14M,,64.45M,28.22M,36.24M,,,,36.24M,508.23M,264.10M,113.18M,150.92M,,0.22,0.00,3.170,0.22,,0.22,0.00,3.170,0.22,,159.99M,159.99M,0.20,,,Restated
2008-09,672.19M,672.19M,,,-1.177M,49.38M,,,,,459.98M,212.21M,,,,-1.177M,,145.76M,57.55M,88.21M,,,0.055M,88.21M,88.93M,280.59M,47.97M,212.21M,,0.55,0.00,0.5545,0.55,,0.55,0.00,0.5545,0.55,,159.95M,160.00M,0.20,,,
2008-06,589.37M,589.37M,,,0.201M,49.63M,,,,,448.95M,140.42M,,,,0.201M,,75.66M,30.17M,45.50M,,,,45.50M,45.38M,217.98M,77.56M,140.42M,,0.28,0.00,0.2792,0.28,,0.28,0.00,0.2792,0.28,,159.93M,159.98M,0.00,,,
2008-03,506.82M,506.82M,,,1.275M,52.07M,,,,750.00M,1.179B,-671.75M,,,,1.275M,,-736.53M,-4.102M,-732.43M,,,0.056M,-732.43M,-733.70M,-597.68M,74.06M,-671.75M,,-4.58,0.00,-4.588,-4.58,,-4.58,0.00,-4.588,-4.58,,160.00M,160.00M,0.00,,,
2007-12,553.55M,553.55M,,,,,,,,,,-1.658B,,,,,,,,-85.57M,-0.138M,,,-85.71M,-85.57M,-1.658B,,-1.658B,,-0.53,0.00,-0.53,-0.53,,-0.53,0.00,-0.53,-0.53,,160.90M,160.90M,0.00,,,
2007-09,553.55M,553.55M,,,,,,,,,,553.55M,,,,,,,,-85.57M,-0.138M,,,-85.71M,-85.57M,553.55M,,553.55M,,-0.54,0.00,-0.54,-0.54,,-0.54,0.00,-0.54,-0.54,,158.72M,158.72M,0.00,,,
2007-06,553.55M,553.55M,,,,,,,,,,553.55M,,,,,,,,-85.57M,-0.138M,,,-85.71M,-85.57M,553.55M,,553.55M,,-0.54,0.00,-0.54,-0.54,,-0.54,0.00,-0.54,-0.54,,158.72M,158.72M,0.00,,,
2007-03,553.55M,553.55M,,,,,,,,,,553.55M,,,,,,,,-85.57M,-0.138M,,,-85.71M,-85.57M,553.55M,,553.55M,,-0.54,0.00,-0.54,-0.54,,-0.54,0.00,-0.54,-0.54,,158.72M,158.72M,0.00,,,
2006-12,523.27M,523.27M,,,,,,,,,,-1.322B,,,,,,,,-38.96M,-1.598M,,,-40.56M,-38.96M,-1.322B,,-1.322B,,-0.24,-0.01,-0.24,-0.25,,-0.24,-0.01,-0.24,-0.25,,159.67M,159.67M,0.00,,,
2006-09,523.27M,523.27M,,,,,,,,,,523.27M,,,,,,,,-38.96M,-1.598M,,,-40.56M,-38.96M,523.27M,,523.27M,,-0.24,-0.01,-0.24,-0.25,,-0.24,-0.01,-0.24,-0.25,,162.24M,162.24M,0.00,,,
2006-06,523.27M,523.27M,,,,,,,,,,523.27M,,,,,,,,-38.96M,-1.598M,,,-40.56M,-38.96M,523.27M,,523.27M,,-0.24,-0.01,-0.24,-0.25,,-0.24,-0.01,-0.24,-0.25,,162.24M,162.24M,0.00,,,
2006-03,523.27M,523.27M,,,,,,,,,,523.27M,,,,,,,,-38.96M,-1.598M,,,-40.56M,-38.96M,523.27M,,523.27M,,-0.2435,-0.0100,-0.2435,-0.2535,,-0.2435,-0.0100,-0.2435,-0.2535,,160.00M,160.00M,0.00,,,
