,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2012-12,24.43M,24.43M,194.78M,,385.00M,29.77M,29.76M,,30.48M,499.45M,353.89M,349.50M,15.60B,-3.857B,11.74B,1.207B,,1.207B,,73.80M,14.22B,14.72B,,279.61M,35.56M,315.17M,53.81M,368.98M,,,,385.90M,385.90M,239.95M,994.83M,379.74M,5.191B,,5.191B,1.573B,1.573B,715.79M,18.86M,1.037B,9.279B,10.27B,,3.49M,-1.665B,6.223B,0.00,1.72M,-116.19M,4.445B,,AOR,Restated
2012-09,18.53M,18.53M,203.08M,61.46M,423.48M,31.92M,87.70M,,80.89M,642.52M,15.32B,,15.32B,-3.781B,11.53B,1.208B,,1.208B,,80.85M,13.96B,14.60B,,202.28M,43.67M,245.95M,106.07M,352.03M,,,,332.82M,332.82M,321.02M,1.006B,,5.185B,,5.185B,1.563B,1.563B,609.54M,19.32M,1.412B,9.144B,10.15B,,3.487M,-1.676B,6.213B,,1.72M,-91.51M,4.449B,,AOR,Restated
2012-06,12.92M,12.92M,174.60M,63.20M,405.47M,31.71M,98.70M,,57.58M,606.37M,334.25M,,11.57B,-180.57M,11.39B,1.208B,,1.208B,,,13.81B,14.41B,,183.91M,39.12M,223.03M,57.41M,280.44M,,,,482.26M,482.26M,255.27M,1.018B,,5.203B,,5.203B,1.463B,1.463B,625.84M,19.28M,1.405B,9.069B,10.09B,,6.31M,-1.785B,6.199B,,4.547M,-93.89M,4.326B,,AOR,Restated
2012-03,9.502M,9.502M,128.60M,63.24M,321.53M,30.36M,27.42M,,62.80M,589.11M,321.53M,,14.73B,-3.592B,11.14B,1.195B,,1.195B,,,13.50B,14.09B,,162.41M,59.14M,221.55M,103.04M,324.59M,,,,177.34M,177.34M,241.76M,743.69M,,5.351B,,5.351B,1.361B,1.361B,627.74M,19.28M,1.398B,9.089B,9.832B,,6.309M,-1.848B,6.192B,,4.547M,-95.55M,4.255B,,AOR,Restated
2011-12,14.21M,14.21M,181.45M,,374.50M,28.60M,32.44M,,18.06M,1.398B,313.47M,460.53M,14.55B,-3.524B,11.02B,1.195B,,1.195B,,82.90M,13.38B,14.78B,,243.71M,36.61M,280.32M,59.07M,339.38M,481.05M,34.00M,28.86M,543.91M,543.91M,605.82M,1.489B,386.97M,5.340B,,5.340B,1.271B,1.271B,649.08M,21.14M,1.053B,9.047B,10.54B,,6.304M,-1.849B,6.181B,,4.547M,-97.68M,4.240B,,AOR,Restated
2011-09,15.62M,15.62M,166.81M,62.93M,372.18M,30.49M,46.86M,,71.15M,1.479B,302.49M,,10.95B,-161.96M,10.79B,1.196B,,1.196B,,,13.06B,14.54B,,190.56M,47.96M,238.52M,103.18M,341.70M,,,,417.95M,417.95M,620.36M,1.380B,,5.362B,,5.362B,1.265B,1.265B,553.31M,21.98M,1.384B,8.896B,10.28B,,6.302M,-1.848B,6.174B,0.00,4.547M,-68.56M,4.263B,,AOR,Restated
2011-06,13.47M,13.47M,165.69M,73.12M,371.14M,31.41M,65.06M,,74.94M,1.493B,298.43M,,14.00B,-3.400B,10.60B,1.196B,,1.196B,,,12.85B,14.35B,,159.02M,47.48M,206.50M,59.16M,265.66M,,,,458.38M,458.38M,603.61M,1.328B,,5.363B,,5.363B,1.194B,1.194B,600.04M,22.12M,1.377B,8.857B,10.18B,,6.301M,-1.945B,6.170B,0.00,4.547M,-68.70M,4.162B,,AOR,Restated
2011-03,13.53M,13.53M,138.32M,60.25M,317.87M,30.61M,80.44M,,61.91M,1.306B,287.60M,,13.94B,-3.383B,10.56B,1.204B,,1.204B,,71.55M,12.82B,14.13B,,132.72M,65.29M,198.02M,103.62M,301.64M,,,,335.65M,335.65M,497.59M,1.135B,,5.386B,,5.386B,1.167B,1.167B,607.76M,,1.383B,8.843B,9.978B,,6.30M,-1.951B,6.165B,0.00,4.547M,-69.96M,4.151B,,AOR,Restated
2010-12,13.11M,13.11M,128.27M,71.59M,339.21M,27.74M,94.07M,,45.94M,1.458B,140.30M,299.73M,13.52B,-3.134B,10.38B,1.196B,,1.196B,,,12.63B,14.09B,,188.34M,36.94M,225.28M,60.46M,285.75M,,,,265.00M,265.00M,556.02M,1.107B,,5.394B,,5.394B,1.141B,1.141B,628.73M,22.14M,1.365B,8.847B,9.954B,,6.297M,-1.959B,6.157B,0.019M,4.547M,-71.45M,4.132B,,AOR,Restated
2010-09,23.50M,23.50M,201.35M,81.67M,419.16M,31.34M,99.97M,,53.42M,627.40M,3.758B,,14.50B,-3.484B,11.01B,1.251B,,1.251B,26.33M,54.35M,13.36B,13.98B,,166.39M,57.00M,223.39M,103.12M,326.51M,,,,225.82M,225.82M,189.09M,741.42M,,5.372B,,5.372B,1.082B,1.082B,619.09M,23.80M,1.673B,9.106B,9.848B,,6.296M,-1.961B,6.151B,,4.547M,-61.09M,4.136B,,AOR,Restated
2010-06,20.61M,20.61M,171.90M,82.71M,388.68M,29.91M,93.70M,,57.21M,590.11M,3.687B,,14.29B,-3.419B,10.87B,1.251B,,1.251B,3.905M,52.71M,13.18B,13.77B,,147.57M,54.91M,202.48M,60.00M,262.48M,,,,309.82M,309.82M,181.14M,753.44M,,5.305B,,5.305B,1.001B,1.001B,649.18M,23.94M,1.665B,8.976B,9.730B,,6.294M,-2.046B,6.146B,,4.547M,-62.55M,4.044B,,AOR,Restated
2010-03,12.63M,12.63M,209.94M,,351.07M,30.09M,40.27M,,63.16M,497.23M,,,14.09B,-3.347B,10.74B,1.250B,,1.250B,,62.54M,13.04B,13.54B,,116.84M,67.65M,184.50M,103.94M,288.43M,,,,194.92M,194.92M,177.74M,661.09M,,5.257B,,5.257B,956.96M,956.96M,651.42M,23.95M,1.659B,8.876B,9.537B,,6.294M,-2.082B,6.143B,,4.547M,-63.20M,4.003B,,AOR,Restated
2009-12,22.26M,22.26M,149.42M,75.09M,353.65M,29.52M,61.23M,,32.47M,499.13M,3.322B,304.60M,13.85B,-3.168B,10.68B,1.250B,,1.250B,,73.73M,12.95B,13.45B,,138.61M,45.55M,184.16M,60.13M,244.29M,,,,173.56M,173.56M,189.54M,607.39M,,5.312B,,5.312B,884.27M,884.27M,667.06M,,1.654B,8.840B,9.447B,,6.303M,-2.076B,6.140B,0.00,4.557M,-64.68M,4.005B,,AOR,Restated
2009-09,7.831M,7.831M,247.21M,,382.54M,30.84M,38.93M,,56.33M,516.47M,254.29M,,13.76B,-3.230B,10.53B,1.250B,,1.250B,,90.69M,12.83B,13.35B,,119.27M,,119.27M,165.29M,284.56M,,,,130.88M,130.88M,185.19M,600.63M,,5.222B,,5.222B,844.61M,844.61M,726.06M,,1.643B,8.753B,9.354B,,6.303M,-2.076B,6.138B,0.001M,4.557M,-76.34M,3.992B,,AOR,Restated
2009-06,9.012M,9.012M,225.54M,,362.47M,32.87M,33.01M,,58.35M,495.70M,,,13.55B,-3.159B,10.40B,1.250B,,1.250B,,103.01M,12.69B,13.19B,,123.12M,,123.12M,116.52M,239.64M,,,,366.11M,366.11M,187.04M,792.79M,,5.006B,,5.006B,791.19M,791.19M,737.61M,,1.611B,8.464B,9.257B,,6.303M,-2.131B,6.136B,0.00,4.557M,-78.36M,3.933B,,AOR,Restated
2009-03,8.516M,8.516M,209.99M,,321.26M,32.81M,1.446M,,56.56M,420.59M,,,13.37B,-3.131B,10.24B,1.250B,,1.250B,,61.10M,12.49B,12.91B,,115.07M,,115.07M,161.54M,276.60M,,,,707.59M,707.59M,185.02M,1.169B,,4.684B,,4.684B,753.49M,753.49M,741.28M,,1.581B,8.073B,9.242B,,6.157M,-2.151B,5.891B,0.00,4.557M,-81.28M,3.665B,,AOR,Restated
2008-12,9.542M,9.542M,218.08M,,333.64M,28.95M,0.454M,,45.10M,417.68M,,,13.20B,-3.071B,10.12B,1.700B,,1.700B,,71.04M,12.81B,13.23B,,149.80M,,149.80M,106.12M,255.91M,,,,654.83M,654.83M,194.02M,1.105B,,4.648B,,4.648B,739.61M,739.61M,743.26M,,,6.131B,9.125B,,6.157M,-1.706B,5.888B,0.007M,4.557M,-82.25M,4.107B,,,Restated
2008-09,6.689M,6.689M,152.75M,,303.66M,32.95M,,,153.92M,497.22M,128.92M,,10.00B,-128.92M,9.872B,,,1.704B,,79.56M,12.28B,12.78B,,160.52M,,160.52M,353.95M,514.47M,,,,423.02M,423.02M,,937.49M,,4.670B,,4.670B,754.72M,34.15M,,,,4.704B,8.590B,,30.37M,-1.710B,5.887B,0.347M,28.77M,-16.31M,4.191B,,,
2008-06,7.788M,7.788M,158.89M,,299.93M,31.68M,,,119.28M,458.67M,124.42M,,9.746B,-124.42M,9.622B,,,1.707B,,108.25M,12.07B,12.53B,,137.30M,,137.30M,279.98M,417.29M,,,,323.95M,323.95M,,741.24M,,4.721B,,4.721B,693.03M,34.55M,,,,4.755B,8.419B,,4.56M,,4.103B,,4.56M,,4.107B,,,
2008-03,9.202M,9.202M,118.68M,,241.12M,28.96M,,,135.60M,414.87M,2.892B,,12.31B,-2.892B,9.416B,,,1.707B,,104.03M,11.85B,12.27B,,119.21M,,119.21M,293.94M,413.15M,,,,458.32M,458.32M,,871.47M,,4.667B,,4.667B,679.30M,34.96M,,,,4.702B,8.454B,,4.568M,,3.809B,,4.568M,,3.814B,,,
2007-12,13.48M,13.48M,193.26M,,327.58M,27.46M,,,61.83M,430.35M,2.854B,299.92M,12.17B,-2.854B,9.318B,,,2.457B,,85.07M,12.52B,12.95B,,168.89M,,168.89M,288.63M,457.52M,,,,316.97M,316.97M,,774.49M,,4.675B,,4.675B,638.92M,638.92M,,,,5.314B,8.380B,,30.46M,-1.079B,5.638B,,28.86M,-18.38M,4.571B,,,
2006-12,31.85M,31.85M,130.52M,,253.70M,23.01M,,,103.87M,412.44M,115.22M,,8.836B,-115.22M,8.721B,,,2.962B,,100.41M,12.37B,12.78B,,140.69M,,140.69M,215.84M,356.53M,,,,1.007B,1.007B,,1.364B,,3.096B,,3.096B,583.40M,583.40M,,,,3.680B,7.187B,,1.781B,-736.29M,4.571B,,1.779B,-18.77M,5.596B,,,
