,NetIncome,GainandLossonSaleofPPE,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2018-03,106.00M,,8.00M,6.00M,,,129.00M,129.00M,33.00M,,,,-10.00M,20.00M,-73.00M,,,5.00M,-48.00M,,219.00M,,-384.00M,,-20.00M,-8.00M,,6.00M,-386.00M,,4.00M,278.00M,282.00M,,-45.00M,-45.00M,,,-74.00M,-74.00M,-1.00M,4.00M,166.00M,,83.00M,-1.00M,82.00M,,,10.00M,-6.00M,-45.00M,,AOR,Restated
2017-12,-1.00M,,13.00M,6.00M,,,114.00M,114.00M,198.00M,,0.00,,-27.00M,55.00M,60.00M,,,16.00M,131.00M,,429.00M,,-495.00M,,-25.00M,-167.00M,,6.00M,-656.00M,,-549.00M,801.00M,252.00M,0.00,0.00,0.00,,,-74.00M,-74.00M,-6.00M,16.00M,188.00M,,122.00M,-39.00M,83.00M,,0.00,68.00M,-562.00M,0.00,,AOR,Restated
2017-09,203.00M,,15.00M,8.00M,,,128.00M,128.00M,127.00M,,0.00,,-2.00M,-31.00M,24.00M,,,29.00M,22.00M,,496.00M,,-385.00M,,-23.00M,-1.00M,,5.00M,-381.00M,,1.034B,-1.014B,20.00M,0.00,0.00,0.00,,,-74.00M,-74.00M,5.00M,-37.00M,-86.00M,,93.00M,29.00M,122.00M,,0.00,1.362B,-328.00M,0.00,,AOR,Restated
2017-06,131.00M,,14.00M,12.00M,,,126.00M,126.00M,73.00M,,,,-44.00M,-54.00M,26.00M,,,-30.00M,-58.00M,,247.00M,,-347.00M,,-15.00M,-7.00M,,4.00M,-350.00M,,18.00M,137.00M,155.00M,,0.00,0.00,,,-74.00M,-74.00M,6.00M,4.00M,91.00M,,105.00M,-12.00M,93.00M,,,20.00M,-2.00M,0.00,,AOR,Restated
2017-03,93.00M,,15.00M,15.00M,,,124.00M,124.00M,64.00M,,,,-29.00M,51.00M,-72.00M,,,27.00M,6.00M,,277.00M,,-283.00M,,-13.00M,-2.00M,,,-285.00M,,-4.00M,131.00M,127.00M,,-54.00M,-54.00M,,,-67.00M,-67.00M,10.00M,-2.00M,14.00M,,99.00M,6.00M,105.00M,,,0.00,-4.00M,-54.00M,,AOR,Restated
2016-12,101.00M,,11.00M,9.00M,,,120.00M,120.00M,52.00M,,,,1.00M,52.00M,-124.00M,,,124.00M,52.00M,,344.00M,,-405.00M,,-22.00M,-175.00M,,4.00M,-576.00M,,427.00M,-101.00M,326.00M,,0.00,0.00,,,-67.00M,-67.00M,-9.00M,8.00M,258.00M,,46.00M,26.00M,99.00M,,,772.00M,-124.00M,0.00,,AOR,Restated
2016-09,148.00M,,12.00M,7.00M,,,119.00M,119.00M,91.00M,,,,-30.00M,-70.00M,162.00M,,,-27.00M,65.00M,,409.00M,,-349.00M,,-18.00M,-5.00M,,5.00M,-349.00M,,-7.00M,1.00M,-6.00M,,0.00,0.00,,,-67.00M,-67.00M,4.00M,3.00M,-66.00M,,52.00M,-6.00M,46.00M,,,0.00,-7.00M,0.00,,AOR,Restated
2016-06,137.00M,,16.00M,14.00M,,,115.00M,115.00M,87.00M,,,,-22.00M,-62.00M,7.00M,,,-3.00M,-58.00M,,276.00M,,-340.00M,,-27.00M,-2.00M,,,-342.00M,,0.00,110.00M,110.00M,,-3.00M,-3.00M,,,-66.00M,-66.00M,8.00M,3.00M,52.00M,,66.00M,-14.00M,52.00M,,,2.00M,-2.00M,-3.00M,,AOR,Restated
2016-03,82.00M,,15.00M,14.00M,,,116.00M,116.00M,65.00M,,,,-38.00M,49.00M,15.00M,,,-49.00M,15.00M,,260.00M,,-301.00M,,-17.00M,-22.00M,,,-323.00M,,-11.00M,211.00M,200.00M,,-62.00M,-62.00M,,,-61.00M,-61.00M,10.00M,-3.00M,84.00M,,45.00M,21.00M,66.00M,,,,-11.00M,-62.00M,,AOR,Restated
2015-12,99.00M,,15.00M,14.00M,,,113.00M,113.00M,76.00M,,,,-30.00M,63.00M,11.00M,,,-17.00M,57.00M,,339.00M,,-402.00M,,-33.00M,-21.00M,,9.00M,-414.00M,,-43.00M,250.00M,207.00M,,-87.00M,-87.00M,,,-61.00M,-61.00M,7.00M,-17.00M,49.00M,,75.00M,-26.00M,72.00M,,,181.00M,26.00M,-87.00M,,AOR,Restated
2015-09,174.00M,,15.00M,15.00M,,,111.00M,111.00M,109.00M,,,,-37.00M,-75.00M,119.00M,,,14.00M,58.00M,,438.00M,,-340.00M,,-28.00M,-135.00M,,-3.00M,-478.00M,,474.00M,-441.00M,33.00M,,-26.00M,-26.00M,,,-61.00M,-61.00M,19.00M,5.00M,-30.00M,,145.00M,-70.00M,75.00M,,,245.00M,-212.00M,-26.00M,,AOR,Restated
2015-06,123.00M,,16.00M,15.00M,,,109.00M,109.00M,93.00M,,,,-17.00M,-63.00M,-52.00M,,,6.00M,-109.00M,,220.00M,,-285.00M,,-32.00M,-41.00M,,5.00M,-321.00M,,6.00M,276.00M,282.00M,,-13.00M,-13.00M,,,-61.00M,-61.00M,7.00M,7.00M,222.00M,,24.00M,121.00M,145.00M,,,379.00M,-2.00M,-13.00M,,AOR,Restated
2015-03,80.00M,,15.00M,14.00M,,,107.00M,107.00M,34.00M,,,,-26.00M,-9.00M,2.00M,,,-12.00M,-19.00M,,198.00M,,-240.00M,,-14.00M,0.00,,-6.00M,-246.00M,,-4.00M,95.00M,91.00M,,0.00,0.00,,,-56.00M,-56.00M,6.00M,8.00M,49.00M,,23.00M,1.00M,24.00M,,,,-4.00M,0.00,,AOR,Restated
2014-12,93.39M,,5.944M,4.56M,,,104.95M,104.95M,41.92M,,,,-32.59M,15.28M,2.986M,,,15.24M,33.50M,,256.74M,,-317.17M,,-26.04M,-2.947M,,27.46M,-292.66M,,-101.56M,136.33M,34.77M,,0.00,0.00,,,-55.15M,-55.15M,5.554M,-0.415M,-15.24M,,74.13M,-51.16M,23.00M,,,41.50M,-6.733M,0.00,,AOR,Restated
2014-09,152.18M,,6.018M,6.017M,,,107.11M,107.11M,103.78M,,,,-34.35M,-23.54M,71.52M,,,-2.062M,45.92M,,389.65M,,-283.68M,,-20.59M,-3.184M,,3.70M,-283.17M,,367.12M,-388.46M,-21.34M,,0.00,0.00,,,-55.46M,-55.46M,3.277M,9.032M,-64.48M,,32.13M,42.00M,74.13M,,,207.37M,-228.70M,0.00,,AOR,Restated
2014-06,109.30M,,6.02M,5.675M,,,105.86M,105.86M,63.38M,0.349M,,-2.711M,4.232M,-52.73M,-51.66M,9.654M,-19.87M,24.83M,-89.77M,,205.74M,,-230.22M,,-20.91M,-0.59M,,-2.163M,-232.97M,,-2.373M,64.21M,61.84M,,0.00,0.00,1.20M,1.20M,-55.42M,-55.42M,3.97M,17.02M,28.61M,,30.76M,1.378M,32.13M,,,99.21M,-37.37M,1.20M,,AOR,Restated
2014-03,68.12M,,6.018M,5.748M,,,106.08M,106.08M,44.92M,-0.349M,,2.711M,-3.291M,-1.015M,4.157M,-9.654M,19.87M,,13.36M,,244.87M,,-202.93M,,-10.46M,-2.279M,,0.005M,-205.20M,,-2.192M,7.92M,5.728M,,,,-1.20M,-1.20M,-49.97M,-49.97M,8.199M,1.358M,-35.88M,,26.96M,3.791M,30.76M,,,228.92M,-223.19M,-1.20M,,AOR,Restated
2013-12,59.43M,,19.45M,19.92M,,,104.00M,104.00M,54.76M,1.126M,,-8.916M,0.823M,34.58M,-13.97M,13.19M,6.848M,,-32.36M,-0.127M,207.32M,,-330.39M,,-15.36M,-7.446M,,3.912M,-333.63M,,-81.59M,240.55M,158.96M,,,,2.92M,2.92M,-49.45M,-49.45M,6.212M,2.64M,121.29M,,32.45M,-5.021M,27.00M,,,641.81M,-482.85M,2.92M,,AOR,Restated
2013-09,150.66M,,19.52M,20.25M,,,101.99M,101.99M,103.31M,-0.375M,,2.454M,-23.38M,-48.67M,58.61M,-7.889M,32.11M,,34.16M,0.127M,398.48M,,-254.36M,,-19.21M,-11.95M,,6.617M,-259.98M,,-6.081M,-77.03M,-83.11M,,,,0.00,0.00,-49.81M,-49.81M,5.008M,1.499M,-126.41M,,20.37M,12.09M,32.45M,,,-75.67M,-7.44M,0.00,,AOR,Restated
2013-06,101.26M,,19.52M,19.40M,,,101.37M,101.37M,62.48M,-0.375M,,4.42M,-35.12M,-80.14M,-55.26M,7.504M,9.001M,,-118.89M,,140.57M,,-236.45M,,-19.70M,-1.766M,,6.538M,-231.68M,,-3.317M,132.68M,129.36M,,,,-1.72M,-1.72M,-49.74M,-49.74M,6.639M,5.756M,90.29M,,21.18M,-0.815M,20.37M,,,132.68M,-3.317M,-1.72M,,AOR,Restated
2013-03,57.64M,,19.52M,19.42M,,,99.65M,99.65M,29.45M,-0.376M,,2.042M,-41.32M,15.23M,25.61M,-12.80M,-47.96M,,-19.92M,,149.62M,,-223.81M,,-10.72M,-2.836M,,-1.067M,-227.71M,,-1.014M,63.80M,62.79M,,,,-1.20M,-1.20M,0.00,0.00,8.141M,5.105M,74.83M,,24.43M,-3.252M,21.18M,,,65.18M,-2.392M,-1.20M,,AOR,Restated
2012-12,55.48M,,26.86M,26.68M,,,100.85M,100.85M,3.439M,-0.379M,,2.921M,-21.83M,70.60M,-0.996M,10.45M,-37.39M,,42.67M,,220.58M,,-266.71M,,-18.50M,-0.227M,,69.94M,-197.00M,,90.06M,-27.87M,62.18M,,,,-0.449M,-0.449M,-88.44M,-88.44M,5.798M,3.224M,-17.68M,,18.53M,5.902M,24.43M,,,300.70M,-238.52M,-0.449M,,AOR,Restated
2012-09,153.81M,,20.14M,20.11M,,,96.22M,96.22M,94.31M,-0.38M,,3.286M,-28.28M,-35.53M,54.58M,-14.17M,65.65M,,70.53M,,418.14M,,-218.03M,,-13.97M,-0.04M,,3.044M,-215.02M,,-103.12M,-64.11M,-167.23M,,,,-2.827M,-2.827M,-44.08M,-44.08M,9.468M,7.167M,-197.51M,,12.92M,5.612M,18.53M,,,0.00,-321.12M,-2.827M,,AOR,Restated
2012-06,107.03M,,20.14M,19.93M,,,92.33M,92.33M,63.02M,-0.379M,,2.995M,-45.78M,-88.54M,-39.55M,10.53M,42.14M,,-75.42M,,168.77M,,-256.64M,,-13.71M,-44.19M,,100.89M,-199.94M,,-151.60M,214.63M,63.03M,,,,0.00,0.00,-40.53M,-40.53M,2.96M,9.119M,34.58M,,9.502M,3.417M,12.92M,,,0.358M,-151.96M,0.00,,AOR,Restated
2012-03,41.75M,,20.14M,19.73M,,,92.10M,92.10M,39.67M,-0.38M,,2.268M,-50.44M,17.02M,18.19M,-12.04M,-22.13M,,1.037M,,148.10M,,-244.29M,,-10.93M,-0.104M,,474.00M,229.60M,,8.143M,-368.52M,-360.38M,,,,-1.10M,-1.10M,-40.41M,-40.41M,9.634M,9.849M,-382.41M,,14.21M,-4.705M,9.502M,,,14.37M,-6.229M,-1.10M,,AOR,Restated
2011-12,64.85M,1.339M,17.86M,18.21M,,,89.28M,89.28M,195.49M,-0.386M,,,-178.64M,19.76M,-4.849M,31.38M,-9.595M,134.82M,171.52M,,232.31M,,-317.14M,-7.044M,-21.26M,-0.839M,-54.19M,,-306.40M,,-1.196M,105.73M,104.53M,-10.36M,,-10.36M,-1.748M,-1.748M,-40.39M,-40.39M,,6.772M,72.67M,,15.62M,-1.414M,14.21M,,-10.36M,303.18M,-18.22M,-1.748M,,AOR,Restated
2011-09,137.42M,-1.339M,17.86M,16.22M,,,88.32M,88.32M,-69.58M,-0.385M,,,3.192M,-7.633M,45.98M,2.875M,9.847M,-62.82M,-11.74M,,313.65M,,-245.02M,0.387M,-14.49M,-1.612M,15.67M,,-230.58M,,-4.406M,-42.10M,-46.51M,1.511M,,1.511M,-0.134M,-0.134M,-40.36M,-40.36M,,4.573M,-80.92M,,13.47M,2.155M,15.62M,,1.511M,0.075M,-4.481M,-0.134M,,AOR,Restated
2011-06,81.11M,,17.86M,17.89M,,,87.34M,87.34M,29.59M,-0.386M,,,12.14M,-68.54M,-38.59M,-17.46M,14.75M,-23.20M,-133.04M,,100.87M,,-230.82M,6.499M,-8.942M,-3.324M,18.41M,,-209.24M,,10.41M,127.85M,138.25M,2.158M,,2.158M,-0.006M,-0.006M,-38.58M,-38.58M,,6.481M,108.30M,,13.53M,-0.062M,13.47M,,2.158M,11.98M,-1.571M,-0.006M,,AOR,Restated
2011-03,26.23M,,17.86M,18.13M,,,86.88M,86.88M,39.99M,-0.385M,,,7.974M,20.39M,38.14M,-18.10M,-10.46M,-48.80M,-18.83M,,161.53M,,-185.01M,0.158M,-8.439M,-1.445M,20.11M,,-166.19M,,-62.34M,94.69M,32.35M,6.694M,,6.694M,0.00,0.00,-38.52M,-38.52M,,4.559M,5.078M,,13.11M,0.416M,13.53M,,6.694M,0.298M,-62.64M,0.00,,AOR,Restated
2010-12,40.15M,,22.34M,22.28M,,,83.50M,83.50M,6.676M,-0.391M,,,-162.06M,63.68M,4.651M,10.35M,-4.40M,110.74M,185.01M,,187.91M,,-258.97M,-0.15M,-15.58M,0.028M,-45.93M,,-240.79M,,29.77M,47.86M,77.62M,-3.823M,,-3.823M,-0.078M,-0.078M,-38.48M,-38.48M,,0.537M,42.50M,,23.50M,-10.39M,13.11M,,-3.823M,106.02M,-76.25M,-0.078M,,AOR,Restated
2010-09,124.11M,,22.34M,22.55M,,,84.00M,84.00M,69.50M,-0.39M,,,26.53M,-36.21M,32.10M,2.356M,9.863M,-50.38M,-42.28M,,289.52M,,-205.98M,0.051M,-11.12M,-0.098M,31.31M,,-174.73M,,7.576M,-83.97M,-76.39M,1.958M,,1.958M,-0.134M,-0.134M,-38.46M,-38.46M,,1.122M,-111.90M,,20.61M,2.891M,23.50M,,1.958M,161.35M,-153.77M,-0.134M,,AOR,Restated
2010-06,72.75M,,22.34M,22.36M,,,80.70M,80.70M,34.41M,-0.389M,,,-1.203M,-44.91M,-36.30M,6.137M,3.529M,-22.58M,-94.13M,,121.52M,,-195.78M,0.012M,-11.17M,-1.044M,3.371M,,-193.44M,,-4.584M,117.91M,113.33M,1.064M,,1.064M,-0.006M,-0.006M,-36.69M,-36.69M,,2.203M,79.90M,,12.63M,7.977M,20.61M,,1.064M,0.092M,-4.676M,-0.006M,,AOR,Restated
2010-03,30.81M,,22.34M,22.26M,,,82.06M,82.06M,42.18M,-0.391M,,,-1.132M,-0.608M,46.37M,-11.05M,-0.076M,-37.78M,-3.15M,,175.99M,,-148.59M,0.087M,-5.823M,-0.528M,11.25M,,-137.78M,,-36.90M,28.40M,-8.504M,0.801M,,0.801M,-0.01M,-0.01M,-36.68M,-36.68M,,-3.439M,-47.83M,,22.26M,-9.623M,12.63M,,0.801M,1.101M,-38.00M,-0.01M,,AOR,Restated
2009-12,36.37M,,22.89M,22.12M,,,118.24M,118.24M,36.45M,-30.65M,0.00,,-9.294M,16.13M,-55.75M,19.03M,1.369M,-37.02M,-56.24M,,124.60M,,-222.27M,,-28.66M,-17.49M,128.58M,-67.46M,-177.40M,,203.83M,-101.78M,102.05M,0.00,,0.00,-0.078M,-0.078M,,-36.67M,,1.916M,67.22M,,7.831M,14.42M,22.26M,,0.00,205.93M,255.63M,-0.078M,,AOR,Restated
2009-09,91.64M,,26.33M,26.52M,,,74.85M,74.85M,57.18M,9.872M,0.00,,-4.055M,-17.94M,41.09M,-3.823M,2.915M,-35.41M,-13.16M,,242.84M,,-192.72M,,,-0.65M,0.906M,23.36M,-169.11M,,3.425M,-47.47M,-44.04M,0.00,,0.00,-0.134M,-0.134M,,-36.66M,,5.919M,-74.92M,,9.012M,-1.181M,7.831M,,0.00,27.21M,-71.25M,-0.134M,,AOR,Restated
2009-06,51.99M,0.202M,29.63M,29.64M,-68.84M,-10.01M,63.23M,63.23M,15.57M,19.74M,0.00,,-5.269M,-43.19M,-16.73M,-6.624M,5.354M,-27.51M,-88.70M,,86.21M,,-198.96M,,5.031M,0.00,0.017M,44.12M,-154.82M,,235.92M,-376.34M,-140.42M,241.78M,,241.78M,-0.006M,-0.006M,,-31.93M,,-0.308M,69.11M,,8.516M,0.496M,9.012M,,241.78M,44.84M,-185.26M,-0.006M,,AOR,Restated
2009-03,-413.08M,-0.202M,26.28M,26.08M,68.84M,10.01M,78.85M,78.85M,31.63M,-0.401M,450.00M,,-1.094M,8.329M,24.62M,-15.32M,-19.60M,-27.51M,-29.49M,,142.50M,,-201.21M,,-5.031M,0.00,0.204M,-1.276M,-202.28M,,-78.39M,166.08M,87.69M,0.526M,,0.526M,0.00,0.00,,-32.07M,,2.608M,58.76M,,9.542M,-1.026M,8.516M,,0.526M,264.94M,-177.25M,0.00,,AOR,Restated
2008-12,36.41M,,,97.81M,,,,113.18M,18.90M,,,,-777.72M,67.06M,12.86M,13.54M,-53.85M,-117.60M,-77.98M,,159.26M,,-301.75M,-12.16M,694.90M,-4.491M,,-4.297M,-310.09M,,,,166.18M,-244.16M,0.151M,-244.01M,,,,-32.06M,,263.82M,153.69M,,6.689M,2.853M,9.542M,,-244.16M,,,-0.078M,,,Restated
2008-09,88.16M,,,13.10M,,,,47.97M,54.78M,,,,33.12M,-41.56M,10.36M,-4.195M,39.52M,10.37M,14.50M,,251.64M,,-301.03M,11.36M,-289.67M,-7.773M,,1.484M,-295.96M,,,,79.95M,245.00M,-0.137M,244.86M,,,,-31.99M,,-247.73M,45.10M,,5.914M,0.775M,6.689M,,245.00M,,,-0.137M,,,
2008-06,45.44M,,,-28.61M,,,,77.56M,16.49M,,,,2.201M,-45.92M,9.599M,-6.976M,18.79M,-32.69M,-57.20M,,55.88M,,-240.67M,0.716M,-239.95M,-0.248M,,0.289M,-239.91M,,,,-84.02M,,-0.014M,-0.014M,,,,,,264.78M,180.74M,,9.202M,-3.288M,5.914M,,,,,-0.014M,,,
2008-03,-732.43M,,,-31.10M,,,,74.06M,5.474M,,,,748.24M,22.82M,-13.60M,-13.56M,-9.383M,34.87M,21.14M,,85.39M,,-190.15M,0.082M,-190.07M,,,2.364M,-187.70M,,,,130.82M,,,,,,,,,-32.79M,98.04M,,13.48M,-4.279M,9.202M,,,,,,,,
